state,municipality,municipality_id,county_geoid,county_name,source_for_county_mapping,municipality_source,population_rank_note,already_scouted,already_in_corpus,notes
PA,Erie,pa_erie,42049,Erie County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv; docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,4th largest PA city,yes,no,
PA,Harrisburg,pa_harrisburg,42043,Dauphin County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,state capital; top-10 PA city,yes,no,
PA,Hazleton,pa_hazleton,42079,Luzerne County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 15-25 by population; general knowledge basis),yes,no,
PA,Johnstown,pa_johnstown,42021,Cambria County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 20-30 by population; general knowledge basis),yes,no,
PA,Lancaster,pa_lancaster,42071,Lancaster County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,8th largest PA city,yes,no,
PA,Lebanon,pa_lebanon,42075,Lebanon County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 15-25 by population; general knowledge basis),yes,no,
PA,McKeesport,pa_mckeesport,42003,Allegheny County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city; Pittsburgh region (approx. rank 20-30 by population; general knowledge basis),yes,no,
PA,New Castle,pa_newcastle,42073,Lawrence County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 15-25 by population; general knowledge basis),yes,no,
PA,Norristown,pa_norristown,42091,Montgomery County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,larger PA borough (approx. rank 15-25 by population; general knowledge basis),yes,no,
PA,Philadelphia,pa_philadelphia,42101,Philadelphia County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv; docs/analysis/national_source_targets_2026-07-12.csv; docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,largest PA city,yes,yes,County-equivalent consolidated city-county for project accounting purposes.
PA,Pittsburgh,pa_pittsburgh,42003,Allegheny County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv; docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,2nd largest PA city,yes,no,
PA,Pottstown,pa_pottstown,42091,Montgomery County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA borough (approx. rank 15-25 by population; general knowledge basis),yes,no,
PA,Reading,pa_reading,42011,Berks County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,5th largest PA city,yes,no,
PA,Scranton,pa_scranton,42069,Lackawanna County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv; docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,6th largest PA city,yes,no,
PA,State College,pa_statecollege,42027,Centre County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA borough/university town (approx. rank 15-25 by population; general knowledge basis),yes,no,
PA,Wilkes-Barre,pa_wilkesbarre,42079,Luzerne County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 11-15 by population; general knowledge basis),yes,no,
PA,Williamsport,pa_williamsport,42081,Lycoming County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 11-20 by population; general knowledge basis),yes,no,
PA,York,pa_york,42133,York County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,top-10 PA city,yes,no,
TX,Austin,tx_austin,48453,Travis County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,Primary county assignment only; municipality spans multiple counties.
TX,Houston,tx_houston,48201,Harris County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,Primary county assignment only; municipality spans multiple counties.
TX,San Antonio,tx_san_antonio,48029,Bexar County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
WA,Seattle,wa_seattle,53033,King County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
WI,Madison,wi_madison,55025,Dane County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
