state,municipality,municipality_id,batch_id,scout_status,parse_status,candidate_count,police_candidate_count,fire_candidate_count,non_safety_candidate_count,unknown_candidate_count,likely_triad,best_source_owner_type,best_candidate_priority,needs_retry,needs_verification,total_cost,input_tokens_total,reasoning_tokens_total,output_tokens_total,time_taken_successful_seconds,run_id,raw_outputs_ref,parsed_candidates_ref,failed_parses_ref
PA,Altoona,pa_altoona,pa_batch25_2026-07-15,scouted_parseable,parseable,4,1,1,2,0,yes,city,medium,no,yes,0.0061002999999999995,17414.0,767.0,1327,15.627255201339722,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Wilkes-Barre,pa_wilkesbarre,pa_batch25_2026-07-15,scouted_parseable,parseable,3,2,1,0,0,no,third_party,low,no,yes,0.016539650000000003,60392.0,1566.0,2003,63.55278730392456,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Chester,pa_chester,pa_batch25_2026-07-15,retry_parseable,parseable,3,2,1,0,0,no,state_labor_board,high,no,yes,0.011286999999999998,34460,1498,2018,33.07792091369629,pa_2026-07-15_120857,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/failed_parses.csv
PA,Williamsport,pa_williamsport,pa_batch25_2026-07-15,retry_parseable,parseable,3,1,1,1,0,yes,city,medium,no,yes,0.01080925,31115,1638,2031,26.43685507774353,pa_2026-07-15_120857,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/failed_parses.csv
PA,Easton,pa_easton,pa_batch25_2026-07-15,retry_parseable,parseable,2,1,0,1,0,no,city,medium,no,yes,0.008810700000000001,24816,1391,1687,20.193133115768433,pa_2026-07-15_120857,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/failed_parses.csv
PA,Lebanon,pa_lebanon,pa_batch25_2026-07-15,scouted_parseable,parseable,2,2,0,0,0,no,state_labor_board,medium,no,yes,0.00837375,25950.0,1108.0,1439,19.37361979484558,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Hazleton,pa_hazleton,pa_batch25_2026-07-15,scouted_parseable,parseable,3,1,1,1,0,yes,city,medium,no,yes,0.010828049999999999,34559.0,1335.0,1798,21.588095903396606,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,New Castle,pa_newcastle,pa_batch25_2026-07-15,scouted_parseable,parseable,1,0,1,0,0,no,third_party,low,no,yes,0.006675650000000001,21447.0,871.0,1038,19.0366849899292,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Norristown,pa_norristown,pa_batch25_2026-07-15,scouted_parseable,parseable,4,2,0,2,0,no,city,low,no,yes,0.012986850000000001,39128.0,1807.0,2322,35.62640595436096,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Pottstown,pa_pottstown,pa_batch25_2026-07-15,scouted_parseable,parseable,1,1,0,0,0,no,third_party,low,no,yes,0.0068631000000000005,21503.0,942.0,1108,12.287206888198853,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Chambersburg,pa_chambersburg,pa_batch25_2026-07-15,scouted_parseable,parseable,6,2,2,2,0,yes,city,medium,no,yes,0.0117733,35504.0,1479.0,2259,27.000889778137207,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Carlisle,pa_carlisle,pa_batch25_2026-07-15,scouted_parseable,parseable,0,0,0,0,0,no,,,no,no,0.00871745,25806.0,1404.0,1441,17.862077951431274,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,State College,pa_statecollege,pa_batch25_2026-07-15,scouted_parseable,parseable,1,1,0,0,0,no,city,medium,no,yes,0.012999,44370.0,1574.0,1726,45.07538414001465,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Johnstown,pa_johnstown,pa_batch25_2026-07-15,scouted_parseable,parseable,4,2,1,1,0,yes,city,low,no,yes,0.0157049,37037.0,2987.0,3651,41.733763694763184,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,McKeesport,pa_mckeesport,pa_batch25_2026-07-15,scouted_parseable,parseable,1,0,0,1,0,no,state_labor_board,medium,no,yes,0.006916500000000001,21570.0,940.0,1142,11.889189004898071,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
