rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,population,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,data_completeness_score,evidence_signal_score,retry_flag,retry_priority,priority_reason_summary,recommended_future_wave
1,NV,Las Vegas,cog_2025_169988,169988,CITY OF LAS VEGAS,municipal,660929,79.537,Tier 1,low,27.137,10.000,17.256,12.360,6.783,5.000,1.000,yes,high,population percentile 99.9; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
12,CA,Moreno Valley,cog_2025_161238,161238,CITY OF MORENO VALLEY,municipal,212392,76.114,Tier 1,high,25.824,10.000,18.043,13.079,3.167,5.000,1.000,yes,high,population percentile 99.7; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
13,CA,Oxnard,cog_2025_161299,161299,CITY OF OXNARD,municipal,198488,76.010,Tier 1,high,25.742,10.000,18.043,13.079,3.146,5.000,1.000,yes,high,population percentile 99.6; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
14,CA,Fairfield,cog_2025_100750,100750,CITY OF FAIRFIELD,municipal,120768,75.746,Tier 1,high,25.135,10.000,18.043,13.079,3.489,5.000,1.000,yes,high,population percentile 99.2; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
15,IA,Waterloo,cog_2025_207992,207992,CITY OF WATERLOO,municipal,66606,75.720,Tier 1,medium,24.329,10.000,16.157,11.645,7.590,5.000,1.000,yes,high,population percentile 98.1; municipal/place; state evidence medium; smoothed yield component 16.2/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
16,MO,Joplin,cog_2025_194606,194606,CITY OF JOPLIN,municipal,53095,75.669,Tier 1,low,23.991,10.000,15.797,10.173,9.708,5.000,1.000,yes,high,population percentile 97.5; municipal/place; state evidence low; smoothed yield component 15.8/20; 3 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
17,AZ,Phoenix,cog_2025_207536,207536,CITY OF PHOENIX,municipal,1650070,75.668,Tier 1,medium,28.179,10.000,15.221,9.638,6.630,5.000,1.000,yes,high,population percentile 100.0; municipal/place; state evidence medium; smoothed yield component 15.2/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
18,SD,Brookings,cog_2025_134551,134551,CITY OF BROOKINGS,municipal,24312,75.536,Tier 1,low,22.699,10.000,16.907,12.054,8.875,5.000,0.000,no,not_applicable,population percentile 94.0; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
19,NH,Keene,cog_2025_169999,169999,CITY OF KEENE,municipal,22917,75.480,Tier 1,low,22.592,10.000,17.280,11.851,8.757,5.000,0.000,no,not_applicable,population percentile 93.7; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
20,NH,Portsmouth,cog_2025_170002,170002,CITY OF PORTSMOUTH,municipal,22733,75.465,Tier 1,low,22.577,10.000,17.280,11.851,8.757,5.000,0.000,no,not_applicable,population percentile 93.7; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
21,SD,Watertown,cog_2025_175035,175035,CITY OF WATERTOWN,municipal,23230,75.452,Tier 1,low,22.615,10.000,16.907,12.054,8.875,5.000,0.000,no,not_applicable,population percentile 93.8; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
22,SD,Box Elder,cog_2025_191508,191508,CITY OF BOX ELDER,municipal,13868,75.396,Tier 1,low,21.612,10.000,16.907,12.054,9.821,5.000,0.000,no,not_applicable,population percentile 90.3; municipal/place; state evidence low; smoothed yield component 16.9/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
23,AR,Little Rock,cog_2025_100435,100435,CITY OF LITTLE ROCK,municipal,203842,75.282,Tier 1,low,25.775,10.000,15.491,9.743,8.273,5.000,1.000,yes,high,population percentile 99.7; municipal/place; state evidence low; smoothed yield component 15.5/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
24,ME,Bangor,cog_2025_166166,166166,CITY OF BANGOR,municipal,31628,75.272,Tier 1,low,23.165,10.000,16.731,11.464,8.912,5.000,0.000,no,not_applicable,population percentile 95.5; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
25,CA,Hollister,cog_2025_161242,161242,CITY OF HOLLISTER,municipal,44658,75.199,Tier 1,high,23.730,10.000,18.043,13.079,4.346,5.000,1.000,yes,high,population percentile 96.9; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
26,WA,Vancouver,cog_2025_176816,176816,CITY OF VANCOUVER,municipal,196442,75.173,Tier 1,high,25.729,10.000,18.494,12.065,2.884,5.000,1.000,yes,high,population percentile 99.6; municipal/place; state evidence high; smoothed yield component 18.5/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
27,RI,Central Falls,cog_2025_134385,134385,CITY OF CENTRAL FALLS,municipal,22543,75.110,Tier 1,low,22.565,10.000,17.207,12.823,7.515,5.000,0.000,no,not_applicable,population percentile 93.6; municipal/place; state evidence low; smoothed yield component 17.2/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
28,NH,Laconia,cog_2025_169998,169998,CITY OF LACONIA,municipal,17142,74.930,Tier 1,low,22.042,10.000,17.280,11.851,8.757,5.000,0.000,no,not_applicable,population percentile 91.9; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
29,ME,South Portland,cog_2025_166161,166161,CITY OF SOUTH PORTLAND,municipal,26840,74.882,Tier 1,low,22.883,10.000,16.731,11.464,8.805,5.000,0.000,no,not_applicable,population percentile 94.6; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
30,OH,Napoleon,cog_2025_132457,132457,CITY OF NAPOLEON,municipal,8750,74.864,Tier 1,high,20.595,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 86.1; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
31,IL,Bloomington,cog_2025_124994,124994,CITY OF BLOOMINGTON,municipal,78587,74.827,Tier 1,high,24.557,10.000,17.147,12.269,4.854,5.000,1.000,yes,high,population percentile 98.5; municipal/place; state evidence high; smoothed yield component 17.1/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
32,OH,Bryan,cog_2025_194840,194840,CITY OF BRYAN,municipal,8609,74.825,Tier 1,high,20.556,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 86.0; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
33,OH,Girard,cog_2025_209100,209100,CITY OF GIRARD,municipal,9469,74.810,Tier 1,high,20.791,10.000,19.353,15.076,4.590,5.000,0.000,no,not_applicable,population percentile 87.0; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
34,WY,Laramie,cog_2025_177842,177842,CITY OF LARAMIE,municipal,32152,74.799,Tier 1,low,23.197,10.000,16.729,11.054,8.819,5.000,0.000,no,not_applicable,population percentile 95.6; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
35,OH,Shelby,cog_2025_209091,209091,CITY OF SHELBY,municipal,9263,74.799,Tier 1,high,20.737,10.000,19.353,15.076,4.633,5.000,0.000,no,not_applicable,population percentile 86.8; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
36,MD,Westminster,cog_2025_105997,105997,CITY OF WESTMINSTER,municipal,20536,74.757,Tier 1,low,22.395,10.000,17.456,11.487,8.420,5.000,0.000,no,not_applicable,population percentile 93.1; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
37,OH,Eaton,cog_2025_110796,110796,CITY OF EATON,municipal,8301,74.735,Tier 1,high,20.466,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 85.6; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
38,OH,Rittman,cog_2025_110822,110822,CITY OF RITTMAN,municipal,6105,74.734,Tier 1,high,19.720,10.000,19.353,15.076,5.585,5.000,0.000,no,not_applicable,population percentile 82.2; municipal/place; state evidence high; smoothed yield component 19.4/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
39,OH,Struthers,cog_2025_110776,110776,CITY OF STRUTHERS,municipal,9916,74.731,Tier 1,high,20.891,10.000,19.353,15.076,4.411,5.000,0.000,no,not_applicable,population percentile 87.4; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
40,NH,Lebanon,cog_2025_170000,170000,CITY OF LEBANON,municipal,15342,74.705,Tier 1,low,21.816,10.000,17.280,11.851,8.757,5.000,0.000,no,not_applicable,population percentile 91.0; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
41,SD,Yankton,cog_2025_209494,209494,CITY OF YANKTON,municipal,15630,74.691,Tier 1,low,21.855,10.000,16.907,12.054,8.875,5.000,0.000,no,not_applicable,population percentile 91.2; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
42,SD,Mitchell,cog_2025_212778,212778,CITY OF MITCHELL,municipal,15621,74.690,Tier 1,low,21.853,10.000,16.907,12.054,8.875,5.000,0.000,no,not_applicable,population percentile 91.2; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
43,ME,Biddeford,cog_2025_208202,208202,CITY OF BIDDEFORD,municipal,22367,74.657,Tier 1,low,22.551,10.000,16.731,11.464,8.912,5.000,0.000,no,not_applicable,population percentile 93.6; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
44,ME,Sanford,cog_2025_240557,240557,CITY OF SANFORD,municipal,22251,74.647,Tier 1,low,22.540,10.000,16.731,11.464,8.912,5.000,0.000,no,not_applicable,population percentile 93.6; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
45,MS,Southaven,cog_2025_107416,107416,CITY OF SOUTHAVEN,municipal,56851,74.626,Tier 1,low,24.090,10.000,16.122,10.554,8.860,5.000,0.000,no,not_applicable,population percentile 97.6; municipal/place; state evidence low; smoothed yield component 16.1/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
46,ME,Auburn,cog_2025_166158,166158,CITY OF AUBURN,municipal,24793,74.626,Tier 1,low,22.734,10.000,16.731,11.464,8.697,5.000,0.000,no,not_applicable,population percentile 94.2; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
47,OH,St. Marys,cog_2025_191157,191157,CITY OF ST MARYS,municipal,8377,74.622,Tier 1,high,20.489,10.000,19.353,15.076,4.703,5.000,0.000,no,not_applicable,population percentile 85.7; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
48,OH,Kenton,cog_2025_110752,110752,CITY OF KENTON,municipal,7840,74.595,Tier 1,high,20.326,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 84.9; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
49,OH,Orrville,cog_2025_172668,172668,CITY OF ORRVILLE,municipal,8422,74.585,Tier 1,high,20.503,10.000,19.353,15.076,4.652,5.000,0.000,no,not_applicable,population percentile 85.7; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
50,MD,Cumberland,cog_2025_193455,193455,CITY OF CUMBERLAND,municipal,18751,74.582,Tier 1,low,22.219,10.000,17.456,11.487,8.420,5.000,0.000,no,not_applicable,population percentile 92.5; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
51,SD,Huron,cog_2025_209461,209461,CITY OF HURON,municipal,14618,74.558,Tier 1,low,21.721,10.000,16.907,12.054,8.875,5.000,0.000,no,not_applicable,population percentile 90.7; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
52,ME,Saco,cog_2025_166168,166168,CITY OF SACO,municipal,20960,74.537,Tier 1,low,22.431,10.000,16.731,11.464,8.912,5.000,0.000,no,not_applicable,population percentile 93.2; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
53,MD,Aberdeen,cog_2025_208249,208249,CITY OF ABERDEEN,municipal,18006,74.501,Tier 1,low,22.139,10.000,17.456,11.487,8.420,5.000,0.000,no,not_applicable,population percentile 92.2; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
54,OH,Wauseon,cog_2025_132437,132437,CITY OF WAUSEON,municipal,7443,74.475,Tier 1,high,20.205,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 84.4; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
55,LA,Lake Charles,cog_2025_127813,127813,CITY OF LAKE CHARLES,municipal,79633,74.474,Tier 1,low,24.576,10.000,15.814,10.317,8.767,5.000,0.000,no,not_applicable,population percentile 98.5; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
56,SD,Pierre,cog_2025_175062,175062,CITY OF PIERRE,municipal,13880,74.451,Tier 1,low,21.614,10.000,16.907,12.054,8.875,5.000,0.000,no,not_applicable,population percentile 90.3; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
57,WV,Wheeling,cog_2025_187964,187964,CITY OF WHEELING,municipal,26208,74.415,Tier 1,low,22.839,10.000,15.952,10.674,9.951,5.000,0.000,no,not_applicable,population percentile 94.5; municipal/place; state evidence low; smoothed yield component 16.0/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
58,MD,Easton,cog_2025_166423,166423,TOWN OF EASTON,municipal,17225,74.413,Tier 1,low,22.051,10.000,17.456,11.487,8.420,5.000,0.000,no,not_applicable,population percentile 91.9; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
59,OH,North College Hill,cog_2025_212981,212981,CITY OF NORTH COLLEGE HILL,municipal,9463,74.398,Tier 1,high,20.789,10.000,19.353,15.076,4.180,5.000,0.000,no,not_applicable,population percentile 87.0; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
60,ME,Westbrook,cog_2025_166162,166162,CITY OF WESTBROOK,municipal,20564,74.397,Tier 1,low,22.397,10.000,16.731,11.464,8.805,5.000,0.000,no,not_applicable,population percentile 93.1; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
61,OH,Madeira,cog_2025_110748,110748,CITY OF MADEIRA,municipal,9423,74.387,Tier 1,high,20.778,10.000,19.353,15.076,4.180,5.000,0.000,no,not_applicable,population percentile 87.0; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
62,OH,Logan,cog_2025_132460,132460,CITY OF LOGAN,municipal,7166,74.383,Tier 1,high,20.114,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 84.0; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
63,NH,Claremont,cog_2025_208735,208735,CITY OF CLAREMONT,municipal,13111,74.382,Tier 1,low,21.494,10.000,17.280,11.851,8.757,5.000,0.000,no,not_applicable,population percentile 89.8; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
64,WV,Charleston,cog_2025_176983,176983,CITY OF CHARLESTON,municipal,46838,74.380,Tier 1,low,23.803,10.000,15.952,10.674,8.951,5.000,0.000,no,not_applicable,population percentile 97.1; municipal/place; state evidence low; smoothed yield component 16.0/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
65,ME,Augusta,cog_2025_204590,204590,CITY OF AUGUSTA,municipal,19102,74.362,Tier 1,low,22.255,10.000,16.731,11.464,8.912,5.000,0.000,no,not_applicable,population percentile 92.6; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
66,SD,Spearfish,cog_2025_175079,175079,CITY OF SPEARFISH,municipal,13282,74.356,Tier 1,low,21.519,10.000,16.907,12.054,8.875,5.000,0.000,no,not_applicable,population percentile 89.9; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
67,MS,Olive Branch,cog_2025_168628,168628,CITY OF OLIVE BRANCH,municipal,47029,74.346,Tier 1,low,23.810,10.000,16.122,10.554,8.860,5.000,0.000,no,not_applicable,population percentile 97.1; municipal/place; state evidence low; smoothed yield component 16.1/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
68,MD,Hyattsville,cog_2025_184209,184209,CITY OF HYATTSVILLE,municipal,20662,74.324,Tier 1,low,22.406,10.000,17.456,11.487,7.975,5.000,0.000,no,not_applicable,population percentile 93.1; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
69,OH,Sunbury,cog_2025_172386,172386,VILLAGE OF SUNBURY,municipal,8340,74.321,Tier 1,high,20.480,10.000,19.353,15.076,4.411,5.000,0.000,no,not_applicable,population percentile 85.6; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
70,OH,Sheffield Lake,cog_2025_186940,186940,CITY OF SHEFFIELD LAKE,municipal,8965,74.308,Tier 1,high,20.657,10.000,19.353,15.076,4.222,5.000,0.000,no,not_applicable,population percentile 86.4; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
71,DE,Newark,cog_2025_101815,101815,CITY OF NEWARK,municipal,30169,74.289,Tier 1,low,23.087,10.000,16.608,10.945,8.650,5.000,0.000,no,not_applicable,population percentile 95.2; municipal/place; state evidence low; smoothed yield component 16.6/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
72,VT,South Burlington,cog_2025_176549,176549,CITY OF SOUTH BURLINGTON,municipal,21043,74.275,Tier 1,low,22.440,10.000,16.605,11.443,8.786,5.000,0.000,no,not_applicable,population percentile 93.2; municipal/place; state evidence low; smoothed yield component 16.6/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
73,OH,Hubbard,cog_2025_194842,194842,CITY OF HUBBARD,municipal,7568,74.265,Tier 1,high,20.246,10.000,19.353,15.076,4.590,5.000,0.000,no,not_applicable,population percentile 84.6; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
74,MD,Elkton,cog_2025_166380,166380,TOWN OF ELKTON,municipal,15968,74.258,Tier 1,low,21.896,10.000,17.456,11.487,8.420,5.000,0.000,no,not_applicable,population percentile 91.3; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
75,MO,Cape Girardeau,cog_2025_129466,129466,CITY OF CAPE GIRARDEAU,municipal,40508,74.256,Tier 1,low,23.578,10.000,15.797,10.173,9.708,5.000,0.000,no,not_applicable,population percentile 96.6; municipal/place; state evidence low; smoothed yield component 15.8/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
76,OH,Upper Sandusky,cog_2025_110835,110835,CITY OF UPPER SANDUSKY,municipal,6647,74.200,Tier 1,high,19.931,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 83.2; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
77,WY,Rock Springs,cog_2025_211495,211495,CITY OF ROCK SPRINGS,municipal,22954,74.197,Tier 1,low,22.594,10.000,16.729,11.054,8.819,5.000,0.000,no,not_applicable,population percentile 93.7; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
78,OH,Hillsboro,cog_2025_172456,172456,CITY OF HILLSBORO,municipal,6617,74.191,Tier 1,high,19.922,10.000,19.353,15.076,4.840,5.000,0.000,no,not_applicable,population percentile 83.2; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
79,OH,Wyoming,cog_2025_132446,132446,CITY OF WYOMING,municipal,8672,74.184,Tier 1,high,20.575,10.000,19.353,15.076,4.180,5.000,0.000,no,not_applicable,population percentile 86.1; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
80,LA,Kenner,cog_2025_193422,193422,CITY OF KENNER,municipal,63333,74.153,Tier 1,low,24.255,10.000,15.814,10.317,8.767,5.000,0.000,no,not_applicable,population percentile 98.0; municipal/place; state evidence low; smoothed yield component 15.8/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
81,OH,Cheviot,cog_2025_209056,209056,CITY OF CHEVIOT,municipal,8565,74.152,Tier 1,high,20.543,10.000,19.353,15.076,4.180,5.000,0.000,no,not_applicable,population percentile 85.9; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
82,SD,Vermillion,cog_2025_134561,134561,CITY OF VERMILLION,municipal,12011,74.149,Tier 1,low,21.312,10.000,16.907,12.054,8.875,5.000,0.000,no,not_applicable,population percentile 89.1; municipal/place; state evidence low; smoothed yield component 16.9/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
83,MD,Havre de Grace,cog_2025_128040,128040,CITY OF HAVRE DE GRACE,municipal,15032,74.144,Tier 1,low,21.781,10.000,17.456,11.487,8.420,5.000,0.000,no,not_applicable,population percentile 90.9; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
84,OH,Campbell,cog_2025_132479,132479,CITY OF CAMPBELL,municipal,7745,74.140,Tier 1,high,20.299,10.000,19.353,15.076,4.411,5.000,0.000,no,not_applicable,population percentile 84.8; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
85,MD,Takoma Park,cog_2025_166403,166403,CITY OF TAKOMA PARK,municipal,17464,74.124,Tier 1,low,22.077,10.000,17.456,11.487,8.104,5.000,0.000,no,not_applicable,population percentile 92.0; municipal/place; state evidence low; smoothed yield component 17.5/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
86,MD,Mount Airy,cog_2025_184210,184210,TOWN OF MOUNT AIRY,municipal,9889,74.123,Tier 1,low,20.886,10.000,17.456,11.487,9.295,5.000,0.000,no,not_applicable,population percentile 87.4; municipal/place; state evidence low; smoothed yield component 17.5/20; 3 county relationship(s); unscouted,next_cross_state_150_priority_pool
