verification_id,source_stage,municipality,state,municipality_id,source_row_id,original_unit_type,verified_unit_type,document_title_scouted,document_title_verified,source_url,final_url,url_reachable,http_status_or_error,access_type,source_owner_type,source_owner_name,target_employer_verified,verified_employer_name,wrong_employer_flag,wrong_employer_notes,wrong_unit_flag,wrong_unit_notes,document_type_verified,document_completeness,bargaining_unit_verified,union_name_verified,contract_years_scouted,contract_years_verified,wage_material_present,city_specific_purpose_supported,verification_status,ingestion_recommendation,verification_priority,evidence_notes,limits_or_uncertainties,next_action
MA-NB01-V011,verification_stage,Arlington,MA,ma_arlington,ma-scout-row-011,police,police,"JLMC-22-9174 Arlington Police Patrolmen’s Association — Interest Arbitration Award (Aug 5, 2024)",JLMC-22-9174 Arlington Police Award,https://www.mass.gov/doc/jlmc-22-9174-arlington-police-award/download,https://www.mass.gov/doc/jlmc-22-9174-arlington-police-award/download,partial,403 direct download and 403 on one allowed official document-page follow-up,official_endpoint_blocked_403,official_state_labor_board,Massachusetts Department of Labor Relations / JLMC,partial,Town of Arlington (supported by exact official case title and prior local verified-portal inventory; PDF not inspected this pass),0,No alternate Arlington employer appears; exact parties could not be re-read from the blocked PDF.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",arbitration_award,unreviewed_blocked,Arlington police patrol unit / APPA (official title/prior inventory; exact unit name not re-read from PDF).,Arlington Police Patrolmen's Association / APPA,"Award identifies a preceding/introductory Agreement dated July 1, 2018 to June 30, 2021; successor term effective dates must be confirmed within the full award text","Successor-cycle dates not directly verified; scout references the preceding July 1, 2018-June 30, 2021 agreement",unknown,partial,partially_verified_candidate,needs_manual_review,medium,"Both the exact Mass.gov download and the single allowed parent document page returned 403. A pre-existing local award inventory records this exact case as an official verified-portal Arlington police award dated August 5, 2024.","The award text, exact successor term, wage disposition, and signatures remain unverified in this pass.",Use a manual browser to download this exact official award before ingestion; confirm whether its cycle is exactly July 2021-June 2024.
MA-NB01-V012,verification_stage,Georgetown,MA,ma_georgetown,ma-scout-row-012,fire,context_only,Board of Selectmen Meeting Minutes (08/15/2016) — Ratification of the Firefighter Collective Bargaining Agreement,"Town of Georgetown Board of Selectmen Meeting Minutes, August 15, 2016",https://cms5.revize.com/revize/georgetownma/Document%20Center/Agendas%20%26%20Minutes/Board%20of%20Selectmen/2016/Minutes/bos_minutes_august_15_2016.pdf,https://cms5.revize.com/revize/georgetownma/Document%20Center/Agendas%20%26%20Minutes/Board%20of%20Selectmen/2016/Minutes/bos_minutes_august_15_2016.pdf,yes,200,public_pdf_no_login,official_town,Town of Georgetown,yes,Town of Georgetown,0,The minutes are for the Town of Georgetown Board of Selectmen.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",meeting_minutes,context_summary_only,Minutes reference an AFSCME Council 93 firefighter agreement for a call-firefighter department; the underlying unit description is not attached.,AFSCME Council 93 (firefighter agreement referenced),Not specified (minutes dated 2016; agreement ratified that night),"Agreement term not stated; minutes dated August 15, 2016",no,no,context_only_verified,context_only_do_not_ingest,low,"The official minutes record unanimous ratification of a firefighter CBA and say a fair-market wage scale was developed, but contain no agreement or wage schedule.","No effective dates, signatures, full unit scope, or operative terms are attached.",Keep as a locator/context trace only; do not ingest as a fire agreement.
MA-NB01-V013,verification_stage,Georgetown,MA,ma_georgetown,ma-scout-row-013,fire,context_only,"Board of Selectmen Meeting Minutes (06/12/2024) — Fire Dept. Collective Bargaining Agreement: negotiating a one-year renewal expiring June 30, 2024","Town of Georgetown Board of Selectmen Meeting Minutes, June 12, 2024",https://cms5.revize.com/revize/georgetownma/Document%20Center/Agendas%20%26%20Minutes/Board%20of%20Selectmen/2024/Minutes/06122024_meeting_minutes.pdf,https://cms5.revize.com/revize/georgetownma/Document%20Center/Agendas%20%26%20Minutes/Board%20of%20Selectmen/2024/Minutes/06122024_meeting_minutes.pdf,yes,200,public_pdf_no_login,official_town,Town of Georgetown,yes,Town of Georgetown,0,The minutes are for the Town of Georgetown Board of Selectmen.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",meeting_minutes,context_summary_only,Five full-time Georgetown firefighters are described as covered by the firefighter union contract; union name is not stated.,Not named in minutes,"One-year renewal; expires June 30, 2024 (renewal term start date not specified in excerpt)","One-year renewal under negotiation; existing contract expires June 30, 2024; start date not stated",no,no,context_only_verified,context_only_do_not_ingest,low,The official minutes say the Town Administrator and Fire Chief were negotiating a one-year renewal and that the contract covers five full-time firefighters.,"The minutes contain no executed agreement, MOA, wage schedule, settlement terms, or union identity.",Keep as context only; Georgetown did not produce an ingestible fire agreement in this queue.
MA-NB01-V014,verification_stage,Franklin,MA,ma_franklin,ma-scout-row-014,police,police,Collective Bargaining Agreement (Town of Franklin and the Franklin Police Association),Collective Bargaining Agreement between the Town of Franklin and the Franklin Police Association,https://www.franklinma.gov/DocumentCenter/View/444/Police-Association-PDF,https://www.franklinma.gov/DocumentCenter/View/444/Police-Association-PDF,yes,200,public_pdf_no_login,official_town,Town of Franklin,yes,Town of Franklin,0,The CBA expressly names the Town of Franklin.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document,"Regular Franklin patrol officers; Chief, Deputy Chief, lieutenants, and sergeants excluded.",Franklin Police Association,"July 1, 2022 through June 30, 2025","July 1, 2022-June 30, 2025",yes,yes,duplicate_or_superseded,do_not_ingest,high,"The 49-page official CBA has full recognition, salary/wage article, FY2023-FY2025 schedules, duration, and signatures.",The identical source is already represented by contracts.csv row ma_franklin_police_2022.,Do not duplicate; retain only as evidence that the scout rediscovered a strong existing source.
MA-NB01-V015,verification_stage,Franklin,MA,ma_franklin,ma-scout-row-015,police,police,Collective Bargaining Agreement (Town of Franklin and the Franklin Police Sergeants Union),Collective Bargaining Agreement between the Town of Franklin and the Franklin Police Sergeants Union,https://www.franklinma.gov/DocumentCenter/View/445/Police-Sergeants-PDF,https://www.franklinma.gov/DocumentCenter/View/445/Police-Sergeants-PDF,yes,200,public_pdf_no_login,official_town,Town of Franklin,yes,Town of Franklin,0,The CBA expressly names the Town of Franklin.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document,Franklin Police Department sergeants bargaining unit.,Franklin Police Sergeants Union,"July 1, 2022 through June 30, 2025","July 1, 2022-June 30, 2025",yes,yes,duplicate_or_superseded,do_not_ingest,high,"The 48-page official CBA contains recognition, salaries/wages, FY2023-FY2025 schedules, duration, and signatures.",The identical source is already represented by contracts.csv row ma_franklin_police_sergeants_2022.,Do not duplicate; retain only as scout-quality evidence.
MA-NB01-V016,verification_stage,Franklin,MA,ma_franklin,ma-scout-row-016,fire,fire,"Collective Bargaining Agreement (Town of Franklin and Professional Firefighters of Franklin, International Association of Firefighters, Local 2637)","Collective Bargaining Agreement between the Town of Franklin and Professional Firefighters of Franklin, IAFF Local 2637",https://www.franklinma.gov/DocumentCenter/View/443/Firefighters-PDF,https://www.franklinma.gov/DocumentCenter/View/443/Firefighters-PDF,yes,200,public_pdf_no_login,official_town,Town of Franklin,yes,Town of Franklin,0,The CBA expressly names the Town of Franklin.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document,Professional firefighters employed by the Town of Franklin under the IAFF Local 2637 recognition clause.,"Professional Firefighters of Franklin, IAFF Local 2637","July 1, 2022 through June 30, 2025","July 1, 2022-June 30, 2025",yes,yes,duplicate_or_superseded,do_not_ingest,high,"The 38-page official CBA contains the Town/union parties, fire recognition, compensation and salary schedules, duration, and signatures.",The identical source is already represented by contracts.csv row ma_franklin_fire_2022.,Do not duplicate; retain only as scout-quality evidence.
MA-NB01-V017,verification_stage,Franklin,MA,ma_franklin,ma-scout-row-017,non_safety,ordinary_non_safety,"Collective Bargaining Agreement (Town of Franklin and AFSCME Council 93, Local 1298 - Department of Public Works)","Collective Bargaining Agreement between the Town of Franklin and AFSCME Council 93 Local 1298, Department of Public Works",https://www.franklinma.gov/DocumentCenter/View/441/Department-of-Public-Works-PDF,https://www.franklinma.gov/DocumentCenter/View/441/Department-of-Public-Works-PDF,yes,200,public_pdf_no_login,official_town,Town of Franklin,yes,Town of Franklin,0,The CBA expressly names the Town of Franklin.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document,"Franklin Department of Public Works employees, with directors/office administrator and other stated exclusions.",AFSCME Council 93 Local 1298,"July 1, 2022 through June 30, 2025","July 1, 2022-June 30, 2025",yes,yes,duplicate_or_superseded,do_not_ingest,high,"The 39-page official CBA contains civilian DPW recognition, salary schedules and COLAs, duration, and signatures.",The identical source is already represented by contracts.csv row ma_franklin_public_works_2022.,Do not duplicate; retain only as scout-quality evidence.
MA-NB01-V018,verification_stage,Franklin,MA,ma_franklin,ma-scout-row-018,non_safety,ordinary_non_safety,"Agreement (Town of Franklin and Franklin Public Library Staff Association; Massachusetts Library Staff Association, Local 4928; AFT/AFT Massachusetts)","Agreement between the Town of Franklin and Franklin Public Library Staff Association, MLSA Local 4928",https://www.franklinma.gov/DocumentCenter/View/442/Franklin-Public-Library-PDF,https://www.franklinma.gov/DocumentCenter/View/442/Franklin-Public-Library-PDF,yes,200,public_pdf_no_login,official_town,Town of Franklin,yes,Town of Franklin,0,The CBA expressly names the Town of Franklin.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document,"Full-time and regular part-time Franklin Public Library employees, with director/assistant director and other stated exclusions.","Franklin Public Library Staff Association, MLSA Local 4928, AFT Massachusetts","July 1, 2022 through June 30, 2025","July 1, 2022-June 30, 2025",yes,yes,duplicate_or_superseded,do_not_ingest,high,"The 26-page official CBA contains civilian library recognition, wage article, salary schedule, duration, and signatures.",The identical source is already represented by contracts.csv row ma_franklin_library_2022.,Do not duplicate; retain only as scout-quality evidence.
MA-NB01-V019,verification_stage,Seekonk,MA,ma_seekonk,ma-scout-row-019,police,police,Police Unit Contract (7-1-2022 to 6-30-2025),Collective Bargaining Agreement between Town of Seekonk and Fraternal Order of Police Mass C.O.P. Local 215,https://www.seekonk-ma.gov/Archive.aspx?ADID=282,https://www.seekonk-ma.gov/ArchiveCenter/ViewFile/Item/282,yes,200 after redirect,public_pdf_no_login,official_town,Town of Seekonk,yes,Town of Seekonk,0,The CBA expressly identifies the Town of Seekonk.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document,All permanent full-time regular Seekonk Police Department members represented by Local 215.,"Fraternal Order of Police, Mass C.O.P. Local 215 / Seekonk Lodge 5","July 1, 2022 - June 30, 2025","July 1, 2022-June 30, 2025",yes,yes,duplicate_or_superseded,do_not_ingest,high,"The 35-page official archive PDF contains the police parties, recognition, salaries, full articles, duration, and schedules.",The identical source is already represented by contracts.csv row ma_seekonk_police_2022.,Do not duplicate; retain only as scout-quality evidence.
MA-NB01-V020,verification_stage,Seekonk,MA,ma_seekonk,ma-scout-row-020,police,police,Police Unit Contract (7-1-2019 to 6-30-2022),Collective Bargaining Agreement between Town of Seekonk and Fraternal Order of Police Mass C.O.P. Local 215,https://www.seekonk-ma.gov/Archive.aspx?ADID=281,https://www.seekonk-ma.gov/ArchiveCenter/ViewFile/Item/281,yes,200 after redirect,public_scanned_pdf_no_login,official_town,Town of Seekonk,yes,Town of Seekonk,0,OCR-visible parties are the Town of Seekonk and its police Local 215.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document_scanned,All permanent full-time regular Seekonk Police Department members represented by Local 215.,"Fraternal Order of Police, Mass C.O.P. Local 215 / Seekonk Lodge 5","July 1, 2019 - June 30, 2022","July 1, 2019-June 30, 2022",yes,yes,verified_candidate,later_ingest_candidate,high,"OCR of the 33-page official archive PDF verifies the cover, police recognition, exact duration, 2% annual increases, wage adjustments, and full salary schedules.","The agreement body retains an older generic effective-date sentence (July 2013), but its cover and specific wage/duration provisions clearly govern 2019-2022. Production ingestion would require OCR.",Retain for a later Seekonk repeat-cycle ingestion wave; verify signatures and resolve the inherited July 2013 sentence during metadata review.
MA-NB01-V021,verification_stage,Seekonk,MA,ma_seekonk,ma-scout-row-021,fire,fire,Fire Unit Contract (7-1-2022 to 6-30-2025),Contract between Town of Seekonk and International Association of Firefighters Local 1931,https://www.seekonk-ma.gov/Archive.aspx?ADID=641,https://www.seekonk-ma.gov/ArchiveCenter/ViewFile/Item/641,yes,200 after redirect,public_pdf_no_login,official_town,Town of Seekonk,yes,Town of Seekonk,0,The CBA expressly identifies the Town of Seekonk.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document,All full-time Seekonk firefighters represented by Local 1931; the contract includes Firefighter/EMT-P provisions but remains a fire safety unit.,International Association of Firefighters Local 1931,"July 1, 2022 - June 30, 2025","July 1, 2022-June 30, 2025",yes,yes,duplicate_or_superseded,do_not_ingest,high,"The 38-page official archive CBA contains fire recognition, salaries, step provisions, duration, and signatures.",The identical source is already represented by contracts.csv row ma_seekonk_fire_2022.,Do not duplicate; retain only as scout-quality evidence.
