source_domain,verification_rows,verified_reachable,unavailable,blocked_or_timeout,verification_error,global_analysis_readiness
buckeye.novusagenda.com,1,1,0,0,0,false
buckhannonwv.org,2,2,0,0,0,false
bucksportmaine.granicus.com,1,1,0,0,0,false
budgetnotices.in.gov,2,2,0,0,0,false
buenavistaco.gov,3,1,2,0,0,false
buenavistava.gov,3,3,0,0,0,false
builder1.revize.com,2,0,2,0,0,false
bullheadcity.granicus.com,1,1,0,0,0,false
bunnellcity.us,3,0,3,0,0,false
burgsimpson.com,1,1,0,0,0,false
burlington.org,5,0,5,0,0,false
burlingtonct.us,2,0,2,0,0,false
burlingtonkansas.gov,1,1,0,0,0,false
burlingtonnd.org,2,2,0,0,0,false
burrillville.org,1,0,1,0,0,false
butlerborough.com,1,1,0,0,0,false
butlercountypa.gov,1,1,0,0,0,false
butnernc.org,1,0,1,0,0,false
byhalia-ms.com,1,1,0,0,0,false
byronwyoming.org,1,1,0,0,0,false
ca-montereypark.civicplus.com,1,1,0,0,0,false
ca-tehachapi2.civicplus.com,1,0,1,0,0,false
cabq.gov,1,1,0,0,0,false
cadillac-mi.net,2,2,0,0,0,false
calaismaine.org,1,1,0,0,0,false
caldwellohio.org,1,1,0,0,0,false
caleraok.org,2,0,2,0,0,false
californiacity-ca.gov,3,2,1,0,0,false
calimesa.gov,3,3,0,0,0,false
calumetcity.org,1,1,0,0,0,false
camancheia.org,1,0,1,0,0,false
cambridgene.org,1,1,0,0,0,false
camden.delaware.gov,1,1,0,0,0,false
cameronmo.com,1,1,0,0,0,false
camptonhills.illinois.gov,2,2,0,0,0,false
camptonnh.org,1,0,1,0,0,false
canaannh.gov,2,0,2,0,0,false
canandaiguanewyork.gov,1,1,0,0,0,false
cannonfallsmn.gov,1,0,1,0,0,false
canoncity.org,2,2,0,0,0,false
cantonga.gov,3,0,3,0,0,false
cantonillinois.org,3,3,0,0,0,false
cantonmi.gov,3,0,3,0,0,false
canyontx.gov,1,0,1,0,0,false
capeelizabeth.com,1,0,1,0,0,false
carbonmt.gov,1,1,0,0,0,false
careers-vailgov.icims.com,1,0,1,0,0,false
carencro.org,1,1,0,0,0,false
carlisleiowa.org,3,1,2,0,0,false
carljunction.socs.net,1,1,0,0,0,false
carnationwa.gov,1,1,0,0,0,false
carnegieborough.com,2,2,0,0,0,false
carolinemd.org,1,0,1,0,0,false
carpinteriaca.gov,2,2,0,0,0,false
carrboro.legistar.com,1,1,0,0,0,false
carringtonnd.com,1,1,0,0,0,false
carrizozonm.us,2,2,0,0,0,false
carsoncity.gov,1,0,1,0,0,false
caruthersvillecity.com,1,1,0,0,0,false
carverma.gov,2,2,0,0,0,false
caryillinois.com,3,1,2,0,0,false
casemine.com,1,0,1,0,0,false
castlepinesco.gov,1,1,0,0,0,false
castletonvermont.org,1,1,0,0,0,false
castlewoodcity.com,3,3,0,0,0,false
cavecity.us,1,1,0,0,0,false
cavecreekaz.gov,3,1,2,0,0,false
cawh.org,1,1,0,0,0,false
caycesc.gov,1,1,0,0,0,false
cc-publicdocs.santa-ana.org,1,1,0,0,0,false
cch160.org,1,1,0,0,0,false
cclp.us,2,2,0,0,0,false
cdn.downers.us,2,2,0,0,0,false
cdn.muckrock.com,2,2,0,0,0,false
cdn.myocv.com,1,1,0,0,0,false
cdn.prod.website-files.com,5,5,0,0,0,false
cdn.saffire.com,1,0,1,0,0,false
cdn.sudbury.ma.us,2,2,0,0,0,false
cdn.toledo.oh.gov,3,3,0,0,0,false
cdn.townweb.com,8,7,1,0,0,false
cdn.website-editor.net,2,1,1,0,0,false
cdn4.creativecirclemedia.com,2,0,2,0,0,false
cdn4.site-media.eu,1,1,0,0,0,false
cdnsm5-hosted.civiclive.com,7,6,1,0,0,false
cdnsm5-ss11.sharpschool.com,1,1,0,0,0,false
ceciltonmd.gov,3,3,0,0,0,false
cedaredgecolorado.com,1,0,1,0,0,false
cedarlakein.gov,4,4,0,0,0,false
centernd.net,1,1,0,0,0,false
centertonar.us,1,0,1,0,0,false
centervilleutah.gov,1,0,1,0,0,false
centralmarinpolice.org,1,0,1,0,0,false
ceredo-external.s3.amazonaws.com,1,1,0,0,0,false
ceres.gov,1,1,0,0,0,false
cerescone.com,1,1,0,0,0,false
cesl.us,2,1,1,0,0,false
cga.ct.gov,1,0,0,1,0,false
chadron-nebraska.com,1,0,1,0,0,false
chagrinfallsoh.gov,2,2,0,0,0,false
champaignil.gov,1,1,0,0,0,false
channahon.org,1,1,0,0,0,false
channahonfire.com,1,1,0,0,0,false
charlestownwv.granicus.com,1,1,0,0,0,false
charlottemi.gov,3,2,1,0,0,false
chasecity.org,1,1,0,0,0,false
chathamborough.org,2,1,1,0,0,false
chathamil.gov,2,0,0,2,0,false
cheboygan.org,1,1,0,0,0,false
chelmsfordma.gov,2,0,2,0,0,false
cheneyks.org,1,1,0,0,0,false
cherokeeiowa.net,2,0,2,0,0,false
cherokeevillage.gov,1,1,0,0,0,false
cherryhillsvillage.com,2,1,1,0,0,false
chesapeake.wv.gov,2,0,2,0,0,false
cheshirect.gov,4,1,3,0,0,false
chester-montana.com,1,1,0,0,0,false
chesterfieldtwp.org,4,0,4,0,0,false
chestertonin.org,3,0,3,0,0,false
chestervt.gov,3,3,0,0,0,false
cheswold.delaware.gov,1,1,0,0,0,false
chevychasevillagemd.gov,2,0,2,0,0,false
chicagoridge.org,3,0,3,0,0,false
chickasha.gov,2,1,1,0,0,false
chickasha.k12.ok.us,1,1,0,0,0,false
chilhowie.org,1,1,0,0,0,false
chiltonwi.gov,1,0,1,0,0,false
chinamaine.org,2,2,0,0,0,false
chincoteague-va.gov,1,1,0,0,0,false
chinoaz.net,1,0,1,0,0,false
chinovalleyaz.gov,2,0,2,0,0,false
choteau.municipalcodeonline.com,1,0,1,0,0,false
choteaumt.org,1,1,0,0,0,false
christiansburg.org,3,1,2,0,0,false
churchhillmd.com,2,2,0,0,0,false
churchhilltn.gov,1,1,0,0,0,false
ci.anderson.ca.us,1,1,0,0,0,false
ci.auburn.in.us,1,0,1,0,0,false
ci.aurora.or.us,1,0,1,0,0,false
ci.bay-city.or.us,2,0,2,0,0,false
ci.becker.mn.us,2,2,0,0,0,false
ci.blaine.wa.us,3,0,3,0,0,false
ci.bloomer.wi.us,1,0,1,0,0,false
ci.boerne.tx.us,2,1,1,0,0,false
ci.buffalo.mn.us,1,0,1,0,0,false
ci.cannon-beach.or.us,4,0,4,0,0,false
ci.carnation.wa.us,1,0,0,1,0,false
ci.chehalis.wa.us,3,1,2,0,0,false
ci.chisholm.mn.us,2,2,0,0,0,false
ci.crowley.tx.us,2,0,2,0,0,false
ci.durham.nh.us,3,0,0,3,0,false
ci.east-bethel.mn.us,2,2,0,0,0,false
ci.emporia.va.us,2,0,2,0,0,false
ci.garibaldi.or.us,1,0,0,1,0,false
ci.goldendale.wa.us,1,1,0,0,0,false
ci.gothenburg.ne.us,2,2,0,0,0,false
ci.healdsburg.ca.us,2,0,2,0,0,false
ci.international-falls.mn.us,3,3,0,0,0,false
ci.jerome.id.us,2,2,0,0,0,false
ci.king.nc.us,2,2,0,0,0,false
ci.lacenter.wa.us,2,2,0,0,0,false
ci.larkspur.ca.us,3,0,3,0,0,false
ci.lincolnton.nc.us,1,0,1,0,0,false
ci.marathon.fl.us,2,0,0,2,0,false
ci.mill-city.or.us,3,0,3,0,0,false
ci.monticello.ia.us,1,1,0,0,0,false
ci.mora.mn.us,2,2,0,0,0,false
ci.morris.mn.us,1,1,0,0,0,false
ci.nederland.tx.us,4,0,4,0,0,false
ci.poquoson.va.us,2,1,1,0,0,false
ci.redwood-falls.mn.us,1,1,0,0,0,false
ci.sauk-rapids.mn.us,1,1,0,0,0,false
ci.selma.tx.us,1,1,0,0,0,false
ci.sisters.or.us,2,0,2,0,0,false
ci.stanley.wi.gov,2,0,2,0,0,false
ci.waseca.mn.us,2,0,2,0,0,false
ci.washington.il.us,3,3,0,0,0,false
ci.west-point.ne.us,1,0,1,0,0,false
ci.wisner.ne.us,2,2,0,0,0,false
ci.wolf-point.mt.us,1,0,0,1,0,false
ci.woodland.wa.us,2,0,2,0,0,false
ci.yreka.ca.us,3,0,3,0,0,false
ci.zumbrota.mn.us,1,1,0,0,0,false
cieversonwa.civicweb.net,1,1,0,0,0,false
cigrovestx.com,2,0,2,0,0,false
cincinnati-oh.gov,2,2,0,0,0,false
cincinnatioh.legistar.com,1,1,0,0,0,false
city-of-bristow.squarespace.com,1,1,0,0,0,false
city-of-plymouth.paperturn-view.com,1,1,0,0,0,false
city.redfield-sd.com,2,2,0,0,0,false
citybudgets.tarrantcounty.com,1,1,0,0,0,false
citycouncildocuments.acfw.net,2,2,0,0,0,false
cityfortbragg.legistar.com,2,1,0,0,0,false
citymedfordwi.civicweb.net,2,2,0,0,0,false
cityofabbeville.net,1,1,0,0,0,false
cityofabbotsfordwi.gov,1,0,1,0,0,false
cityofainsworth.com,2,2,0,0,0,false
cityofallegan.org,1,1,0,0,0,false
cityofalliance.net,2,0,2,0,0,false
cityofaltonil.gov,1,1,0,0,0,false
cityofamericanfalls.com,1,1,0,0,0,false
cityofandrews.org,1,1,0,0,0,false
cityofangoon.org,1,1,0,0,0,false
cityofarco.municipalimpact.com,2,2,0,0,0,false
cityofardenhills.org,2,2,0,0,0,false
cityofargusville.com,1,1,0,0,0,false
cityofartesia.us,4,0,4,0,0,false
cityofasbury.community.diligentoneplatform.com,1,1,0,0,0,false
cityofatchison.com,1,1,0,0,0,false
cityofathena.com,2,2,0,0,0,false
cityofathenstn.com,2,2,0,0,0,false
cityofathol.us,1,1,0,0,0,false
cityofaurora.org,1,1,0,0,0,false
cityofaurorasd.com,1,0,0,1,0,false
cityofavenal.com,1,1,0,0,0,false
cityofavenal.gov,2,1,1,0,0,false
cityofazle.org,3,3,0,0,0,false
cityofbakerla.com,1,1,0,0,0,false
cityofbanks.org,1,1,0,0,0,false
cityofbarnwell.com,2,2,0,0,0,false
cityofbasehor.org,1,1,0,0,0,false
cityofbayard.net,2,2,0,0,0,false
cityofbayminetteal.gov,3,0,3,0,0,false
cityofbelington.com,1,1,0,0,0,false
cityofbelmont.civicweb.net,2,2,0,0,0,false
cityofbishopvillesc.com,1,0,1,0,0,false
cityofblackfoot.org,2,1,1,0,0,false
cityofblackjack.com,2,2,0,0,0,false
cityofbloomfield.org,1,0,1,0,0,false
cityofblythe.ca.gov,4,4,0,0,0,false
cityofblytheville.com,1,0,1,0,0,false
cityofbn.com,1,1,0,0,0,false
cityofboardman.com,1,1,0,0,0,false
cityofbolivar.com,2,2,0,0,0,false
cityofboonevillems.com,2,2,0,0,0,false
cityofbrevard.com,2,0,2,0,0,false
cityofbrokenbow.org,1,1,0,0,0,false
cityofbrookland.com,3,2,1,0,0,false
cityofbrooksville.us,1,0,1,0,0,false
cityofbuckley.com,3,1,2,0,0,false
cityofbuffalowy.com,2,2,0,0,0,false
cityofbuhl.us,1,1,0,0,0,false
cityofcalera.org,5,3,2,0,0,false
cityofcalhoun-ga.com,3,3,0,0,0,false
cityofcando.com,2,2,0,0,0,false
cityofcanyonville.com,2,2,0,0,0,false
cityofcapitola.gov,1,0,1,0,0,false
cityofcapitola.org,1,0,1,0,0,false
cityofcarey.org,3,3,0,0,0,false
cityofcarroll.com,1,1,0,0,0,false
cityofcarterlake.com,1,1,0,0,0,false
cityofcarver.com,3,3,0,0,0,false
cityofcascade.org,3,3,0,0,0,false
cityofcentralia.org,4,0,4,0,0,false
cityofcharlescity.org,2,2,0,0,0,false
cityofcharlestown.com,2,1,1,0,0,false
cityofchecotah.com,2,2,0,0,0,false
cityofchelan.gov,1,0,1,0,0,false
cityofcherryvalley.com,2,0,2,0,0,false
cityofchewelah.org,2,0,2,0,0,false
cityofchickasaw.org,1,1,0,0,0,false
cityofchino.org,1,0,1,0,0,false
cityofchowchilla.org,2,0,2,0,0,false
cityofclatskanie.com,2,2,0,0,0,false
cityofclevelandms.com,2,2,0,0,0,false
cityofclintonnc.com,3,0,3,0,0,false
cityofclintonsc.com,3,2,1,0,0,false
cityofcolbyks.gov,2,2,0,0,0,false
cityofcollinsville.com,2,2,0,0,0,false
cityofcoltonsd.com,2,2,0,0,0,false
cityofconnell.com,2,2,0,0,0,false
cityofcoopersville.com,2,2,0,0,0,false
cityofcordova.net,1,1,0,0,0,false
cityofcorsicana.com,2,2,0,0,0,false
cityofcouncilgrove.com,1,1,0,0,0,false
cityofcouncilidaho.org,1,1,0,0,0,false
cityofcoweta-ok.gov,2,2,0,0,0,false
cityofcrestwood.org,1,0,1,0,0,false
cityofcrossettar.gov,2,2,0,0,0,false
cityofcrystalsprings.com,1,1,0,0,0,false
cityofculver.net,1,1,0,0,0,false
cityofcushing.com,1,1,0,0,0,false
cityofcuster.com,1,0,1,0,0,false
cityofdavisonmi.gov,2,1,1,0,0,false
cityofdecatur.in.gov,1,1,0,0,0,false
cityofdeerpark.legistar.com,1,1,0,0,0,false
cityofdekalb.com,2,0,2,0,0,false
cityofdelafieldwi.gov,5,5,0,0,0,false
cityofdelano.org,1,0,1,0,0,false
cityofdelcity.gov,3,3,0,0,0,false
cityofdenhamsprings.com,1,1,0,0,0,false
cityofdepoebay.org,1,0,1,0,0,false
cityofdesmet.com,1,1,0,0,0,false
cityofdewittiowa.org,1,1,0,0,0,false
cityofdonna.org,2,2,0,0,0,false
cityofdouglasshills.com,1,0,1,0,0,false
cityofdouglasshills.gov,2,0,2,0,0,false
cityofdrain.org,2,0,2,0,0,false
cityofdublin.org,2,2,0,0,0,false
cityofdyersville.com,1,0,0,1,0,false
cityofedgemont.org,1,1,0,0,0,false
cityofedwardsville.com,1,1,0,0,0,false
cityofeldon.org,1,1,0,0,0,false
cityofeldridgeia.org,1,1,0,0,0,false
cityofelginok.com,2,2,0,0,0,false
cityofelginor.org,1,1,0,0,0,false
cityofelma.com,1,0,1,0,0,false
cityofelsmere.com,2,0,2,0,0,false
cityofemerado.com,1,1,0,0,0,false
cityofestherville.org,1,1,0,0,0,false
cityofeudoraks.gov,1,1,0,0,0,false
cityofeunice.org,2,2,0,0,0,false
cityofexeter.ca.gov,3,3,0,0,0,false
cityoffairfieldiowa.com,1,0,1,0,0,false
cityoffarmersville-ca.gov,3,0,3,0,0,false
cityoffellsmere.org,1,0,1,0,0,false
cityoffircrest.net,2,2,0,0,0,false
cityofflandreau.com,2,2,0,0,0,false
cityofflint.com,2,2,0,0,0,false
cityofflorenceco.gov,2,2,0,0,0,false
cityofflorencesc.gov,1,1,0,0,0,false
cityoffoley.legistar.com,1,1,0,0,0,false
cityofforestcity.com,2,2,0,0,0,false
cityoffortbenton.org,2,2,0,0,0,false
cityoffortmorgan.com,2,1,1,0,0,false
cityoffortpierce.com,2,0,2,0,0,false
cityoffortwayne.in.gov,2,2,0,0,0,false
cityoffullerton.com,1,0,1,0,0,false
cityofgadsden.com,1,1,0,0,0,false
cityofgaffney-sc.gov,2,1,1,0,0,false
cityofgalt.org,3,0,3,0,0,false
cityofgardena.org,2,2,0,0,0,false
cityofgearhart.com,1,0,1,0,0,false
cityofgenesee.com,1,1,0,0,0,false
cityofglencoe.org,3,3,0,0,0,false
cityofglendora.gov,1,0,1,0,0,false
cityofglenullin.yolasite.com,1,1,0,0,0,false
cityofgloucester.org,2,1,1,0,0,false
cityofgoldbar.us,1,1,0,0,0,false
cityofgoldhill.gov,2,0,2,0,0,false
cityofgraham.com,1,1,0,0,0,false
cityofgrainvalley.org,3,3,0,0,0,false
cityofgrandledge.com,2,1,1,0,0,false
cityofgrandrapidsmn.com,2,0,0,2,0,false
cityofgreensburg.com,1,1,0,0,0,false
cityofgregory.com,2,2,0,0,0,false
cityofgriffin.com,3,0,3,0,0,false
cityofgroton.com,2,0,2,0,0,false
cityofgroveok.gov,1,0,1,0,0,false
cityofgrovetown.com,2,2,0,0,0,false
cityofguadalupe.org,5,5,0,0,0,false
cityofguthrie.com,1,0,1,0,0,false
cityofhaleyville.com,1,1,0,0,0,false
cityofhancock.com,1,1,0,0,0,false
cityofhardeeville.com,1,0,1,0,0,false
cityofharlan.com,1,1,0,0,0,false
cityofharrah.com,2,2,0,0,0,false
cityofharriman.net,1,1,0,0,0,false
cityofharveyil.gov,1,1,0,0,0,false
cityofhastings.org,2,0,2,0,0,false
cityofhauser.us,1,1,0,0,0,false
cityofhawthorne.org,1,0,1,0,0,false
cityofhealdsburg.org,1,0,1,0,0,false
cityofhenderson.org,2,0,0,2,0,false
cityofhenryetta.com,1,1,0,0,0,false
cityofherington.com,1,1,0,0,0,false
cityofherrin.com,3,3,0,0,0,false
cityofhiawatha.org,2,0,2,0,0,false
cityofhillsboro.net,1,1,0,0,0,false
cityofhillsdale.org,3,0,0,3,0,false
cityofhines.com,1,0,1,0,0,false
