original_path,size_bytes,file_count,sha256,removed_at,classification,safety_basis,preserved_reference
tmp/bounded_live_verification_relay_2026-07-23_ee7041a,5083359,60,95b6c169c404b7c26610c88556285defd6d4091c1219ee3167cf132854163009,2026-08-03T17:47:50.966494+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/bounded_live_verification_relay_2026-07-23_ee7041a.zip
tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_496142896c5a42562123f9f8a6d381ec001547e9,34585,32,360d310c134cd450b924c39bd161accc0959702452c4063c8db111fd98d7980c,2026-08-03T17:47:50.975253+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_496142896c5a42562123f9f8a6d381ec001547e9.zip
tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_f3d9ff8fbdcbe402c0163a99c7f7f1468aa15556,34805,32,271f7117b893d9db2bb4872a2f8f7c4f7f8dd2ddffc22b2c9c7f23ae8241ccd6,2026-08-03T17:47:50.984511+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_f3d9ff8fbdcbe402c0163a99c7f7f1468aa15556.zip
tmp/branded_project_hub_dashboard_relay_2026-07-22_42dbe52,2530791,52,63f1cbd2290fd2365b5d55cad80db03ca78aa249a3258ce2a20813f6530482e5,2026-08-03T17:47:51.014915+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/branded_project_hub_dashboard_relay_2026-07-22_42dbe52.zip
tmp/broad_candidate_verification_4x3000_relay_2026-07-28_e8adad9c6bcafe0255b8269c5b0f8494a5aa33b7,1473149,41,df6cfeb3729fd484e3f1d72b1432af83a56f75a24a7f0b024d3ba74122a46014,2026-08-03T17:47:51.029360+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/broad_candidate_verification_4x3000_relay_2026-07-28_e8adad9c6bcafe0255b8269c5b0f8494a5aa33b7.zip
tmp/broad_state_4x1000_scout_dry_run_prep_relay_2026-07-27_c74adb525bf38bf9b5cfb46d99b0f6df5d5d94e3,24668,28,904014a8749b131d9c96b9993440772f009288ceae82ba0dd775c5ede9875990,2026-08-03T17:47:51.036421+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/broad_state_4x1000_scout_dry_run_prep_relay_2026-07-27_c74adb525bf38bf9b5cfb46d99b0f6df5d5d94e3.zip
tmp/broad_state_4x2500_live_scout_finalize_candidate_review_relay_2026-07-30_8375280,281705,35,3a4a14325b6091520cf88ea3e120fb7fc29d1d1ccd778ac5205693eaa13c64a6,2026-08-03T17:47:51.048035+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/broad_state_4x2500_live_scout_finalize_candidate_review_relay_2026-07-30_8375280.zip
tmp/broad_state_4x2500_scout_infrastructure_prep_relay_2026-07-29_2658de3,21370,30,3155ae4866534ddc09bc9646e56a8099b99f1672ffdacd2b4586999b0081ab32,2026-08-03T17:47:51.060614+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/broad_state_4x2500_scout_infrastructure_prep_relay_2026-07-29_2658de3.zip
tmp/broad_state_4x2500_verification_relay_2026-07-30_079d27295952,12396548,26,facc7e385d394fae6ab0c1cd36028c63b6780443b68fbf99350c577eecd8fac2,2026-08-03T17:47:51.099844+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/broad_state_4x2500_verification_relay_2026-07-30_079d27295952.zip
tmp/broad_state_by_state_source_scout_wave_relay_2026-07-27_dcf42778b3ccaa6e17146adea2b39d849838c8a1,17558,25,42afaa20283f9b89c0b040e5b3f92f6672e3206e32a0710c218bcc702a2e128d,2026-08-03T17:47:51.106487+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/broad_state_by_state_source_scout_wave_relay_2026-07-27_dcf42778b3ccaa6e17146adea2b39d849838c8a1.zip
tmp/checkpoint_3x160_parallel_round_prep_relay_2026-07-23_67a41c4_stage,3549839,46,b558400d560b4383df24ad7b5798624626a7a6401f68031fb4e0f38c24403ad1,2026-08-03T17:47:51.131683+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/checkpoint_3x160_parallel_round_prep_relay_2026-07-23_67a41c4.zip
tmp/combined_broad_candidate_review_relay_2026-07-28_845333f,1742501,58,1d05f688b62d8aad2c7d6ec3b381fddfec3b4ce678a3d2586bcab7360f00ff08,2026-08-03T17:47:51.147232+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_candidate_review_relay_2026-07-28_845333f.zip
tmp/combined_broad_exact_span_rating_17259_relay_2026-07-28_8ff655e,628105,87,6ba4da00a25f7cdee3cf6ca0f87b12556ba149a146045261ba78afc089fbb88f,2026-08-03T17:47:51.173505+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_exact_span_rating_17259_relay_2026-07-28_8ff655e.zip
tmp/combined_broad_exact_span_rating_summary_16947_relay_2026-07-28_bff7369,1005054,67,4ad32606e28e34b61f352aa75705d9a27755c4e03e17bcd2a4e7b24f4ce479bb,2026-08-03T17:47:51.201409+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_exact_span_rating_summary_16947_relay_2026-07-28_bff7369.zip
tmp/combined_broad_pdf_text_layer_readiness_4961_relay_2026-07-28_d17549fe065c243d753167e5df4c7edba4e89209,1609669,50,fb3f75d007ee49e9f7bb82e5e3224d0b9bd44b66d8c7d74b958b2f254004fa1a,2026-08-03T17:47:51.213869+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_pdf_text_layer_readiness_4961_relay_2026-07-28_d17549fe065c243d753167e5df4c7edba4e89209.zip
tmp/combined_broad_rating_ingestion_codification_16947_relay_2026-07-28_46dc9e7,54399,40,5ccc6fcec4fc8ef74b98f55edf2897c5b81cdf38ff3aeb081bfff8b8b50b0e99,2026-08-03T17:47:51.221542+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_rating_ingestion_codification_16947_relay_2026-07-28_46dc9e7.zip
tmp/combined_broad_rating_ingestion_codification_16947_relay_2026-07-28_b9e9ec5,54225,40,494255e3678fb2d8c171056e31cb02b9a15c4d5ab3bbe46bb94c6e107e0378ae,2026-08-03T17:47:51.230166+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_rating_ingestion_codification_16947_relay_2026-07-28_b9e9ec5.zip
tmp/combined_broad_source_review_download_5589_relay_2026-07-28_1b46e0d,1088929,50,97d62e6a4264f4798a8e69ff2c574877dbadccb14719a0785d6b1de9567c97cf,2026-08-03T17:47:51.246534+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_source_review_download_5589_relay_2026-07-28_1b46e0d.zip
tmp/combined_broad_span_extraction_3815_relay_2026-07-28_6a0d5d7,713256,93,fed44816da585194e80cb424dd26a77c589aa2683e0729cb12776e88f390d5d2,2026-08-03T17:47:51.262982+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_span_extraction_3815_relay_2026-07-28_6a0d5d7.zip
tmp/combined_broad_text_extraction_4051_relay_2026-07-28_a59b21fa800057e3a060f6dde183cf5c5f5c47e7,761853,46,fd6e76c03b4e4495b052163f89b965bc3412d872da073f29fcaad54a54f75bcf,2026-08-03T17:47:51.278895+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/combined_broad_text_extraction_4051_relay_2026-07-28_a59b21fa800057e3a060f6dde183cf5c5f5c47e7.zip
tmp/compensation_evidence_bounded_pdf_text_span_capture_system_hardening_relay_2026-07-25_f891aea59d129ec533ee781088cf844bbe37811e,2968221,31,62ff65b9b5790d0b3fd6fecdce8289bfb7a590bc1f5f2f39bbabdc4671367feb,2026-08-03T17:47:51.299678+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_bounded_pdf_text_span_capture_system_hardening_relay_2026-07-25_f891aea59d129ec533ee781088cf844bbe37811e.zip
tmp/compensation_evidence_bounded_qualitative_span_residual_metadata_repair_relay_2026-07-25_5b14af5,2760610,28,95568f55845e3c3b46b1c02068d28e4352257fbde4976535ce3009ad4cb809d4,2026-08-03T17:47:51.317979+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_bounded_qualitative_span_residual_metadata_repair_relay_2026-07-25_5b14af5.zip
tmp/compensation_evidence_bounded_schema_repair_followup_relay_2026-07-25_579cf0f,4917358,35,21fc1f914dbba2cc38b1851e6225044e8d8f00fe9b45c672d486be9bfcc7a619,2026-08-03T17:47:51.344808+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_bounded_schema_repair_followup_relay_2026-07-25_579cf0f.zip
tmp/compensation_evidence_claim_oriented_qa_rating_phase_close_relay_2026-07-25_4c6b816,48092,28,9b5367d7be49f15fe58b98ddd957d6837b3bace90ce436e4c5b5b743a4b154f2,2026-08-03T17:47:51.352695+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_claim_oriented_qa_rating_phase_close_relay_2026-07-25_4c6b816.zip
tmp/compensation_evidence_extraction_1000_relay_2026-07-25_505306c,5778071,48,14a36d3b8df18ce06b66d0887a148252487fb17fe4a83e715a46e3de3e55f47e,2026-08-03T17:47:51.386359+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_extraction_1000_relay_2026-07-25_505306c.zip
tmp/compensation_evidence_final_provisional_merge_prompt_prep_relay_2026-07-25_acfc1e817aa8b3fc32d108ccaf33d1c38d7f50d5,3196810,36,5fb0810e827b496aca3d252f430dfe69545f8d1facc49164d41e15b366eb5b4a,2026-08-03T17:47:51.409663+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_final_provisional_merge_prompt_prep_relay_2026-07-25_acfc1e817aa8b3fc32d108ccaf33d1c38d7f50d5.zip
tmp/compensation_evidence_final_provisional_merge_relay_2026-07-25_02a239d8b8529a27258b127d4fd49f304b0da989,2674988,26,5c9c176870523cfb9a25aedf9c4d33e89a563c3ede113f241a8fb380282fed5a,2026-08-03T17:47:51.426406+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_final_provisional_merge_relay_2026-07-25_02a239d8b8529a27258b127d4fd49f304b0da989.zip
tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_6d03c37fbf2e3b98073f6b35c5298f5c7a6cb784,2682310,24,2bb914e33c9879ca3b2b81f8ac9cb3384f7964b81e95dd2dcd46a85789dd507a,2026-08-03T17:47:51.442141+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_6d03c37fbf2e3b98073f6b35c5298f5c7a6cb784.zip
tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_aa2a473f0f997a37fb764587683955b738d306b3,2683112,24,d1f461f078b77467f79b028262b7f40158c57c37cb5b39f044e2d8761516520a,2026-08-03T17:47:51.457810+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_final_provisional_schema_readiness_review_relay_2026-07-25_aa2a473f0f997a37fb764587683955b738d306b3.zip
tmp/compensation_evidence_final_qa_categorization_gabriel_readiness_relay_2026-07-25_5b1e883,25796,22,010e16cc33891c998762c0037497506ca527f37f0d22b61c810819eeb915986f,2026-08-03T17:47:51.465927+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_final_qa_categorization_gabriel_readiness_relay_2026-07-25_5b1e883.zip
tmp/compensation_evidence_gabriel_claim_rating_35_quarantine_repair_relay_2026-07-25_9f252b9,15369,19,c599d4110d0f76148d2c0a4be680090ea517566dba7ca888da7106de3feb29a2,2026-08-03T17:47:51.471127+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_gabriel_claim_rating_35_quarantine_repair_relay_2026-07-25_9f252b9.zip
tmp/compensation_evidence_gabriel_claim_rating_643_relay_2026-07-25_19bc7ca,21152,19,eba1cbf2a7bdc79123958cb0ab7912ebce852d886fcb6bff7cf2631cc6bc6a0a,2026-08-03T17:47:51.477099+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_gabriel_claim_rating_643_relay_2026-07-25_19bc7ca.zip
tmp/compensation_evidence_gabriel_claim_rating_summary_review_636_relay_2026-07-25_6751002,49084,33,e1dbd3af6d2087868bb1bd47102de050d3aa7747be3a4f81b5b3268310888c08,2026-08-03T17:47:51.488855+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_gabriel_claim_rating_summary_review_636_relay_2026-07-25_6751002.zip
tmp/compensation_evidence_limited_exact_span_qualitative_promotion_relay_2026-07-25_9052a30,88012,21,d36d667ba2cb6ca49d22b8728b69532aa8e28b2747a319ee2e317de775cec994,2026-08-03T17:47:51.495022+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_limited_exact_span_qualitative_promotion_relay_2026-07-25_9052a30.zip
tmp/compensation_evidence_limited_exact_span_qualitative_readiness_review_relay_2026-07-25_9767732798f4d5a9e0cb08c1edefee45dbccdae0,2812193,29,8dfddfdbddbe78bb5978843d0c999377b8cd125bf80f7969c670e4cf292ec3cd,2026-08-03T17:47:51.515459+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_limited_exact_span_qualitative_readiness_review_relay_2026-07-25_9767732798f4d5a9e0cb08c1edefee45dbccdae0.zip
tmp/compensation_evidence_limited_exact_span_qualitative_usage_review_relay_2026-07-25_f723623,2890250,32,76e2c0fe79ed5f1a30040e4ad09906e5d4fe94afc27116ae66cbb87f73a001b5,2026-08-03T17:47:51.533433+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_limited_exact_span_qualitative_usage_review_relay_2026-07-25_f723623.zip
tmp/compensation_evidence_limited_qualitative_usage_layer_acceptance_relay_2026-07-25_016bc1b,2919887,29,bdbcb87f858b21227567bbd81c50a3343078618f5169bea246d60af982555461,2026-08-03T17:47:51.550124+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_limited_qualitative_usage_layer_acceptance_relay_2026-07-25_016bc1b.zip
tmp/compensation_evidence_limited_qualitative_usage_layer_qa_review_relay_2026-07-25_8953392,2968469,35,a8cf8e135bf36a00791ac219cd938414df391415e0937e1dd612b0a63db8cb1a,2026-08-03T17:47:51.569886+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_limited_qualitative_usage_layer_qa_review_relay_2026-07-25_8953392.zip
tmp/compensation_evidence_limited_qualitative_usage_layer_relay_2026-07-25_b6f97c0,2944555,38,15a937890b5578cfef0b3a5eafb9ac75cb29278d074f70c63f37b7707d7e2a90,2026-08-03T17:47:51.589944+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_limited_qualitative_usage_layer_relay_2026-07-25_b6f97c0.zip
tmp/compensation_evidence_limited_qualitative_usage_registry_acceptance_relay_2026-07-25_02d3710,24720,19,5d9fe50894c92cfbf3a3d621d8f76dfcee09179c7bb34ee6810cffd12d340113,2026-08-03T17:47:51.596305+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_limited_qualitative_usage_registry_acceptance_relay_2026-07-25_02d3710.zip
tmp/compensation_evidence_limited_qualitative_usage_registry_review_relay_2026-07-25_f6c66ed,24665,21,3dcf057577168e478451fd92dfd1e30efaab424158c9c590f4bf97c52799cbea,2026-08-03T17:47:51.601907+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_limited_qualitative_usage_registry_review_relay_2026-07-25_f6c66ed.zip
tmp/compensation_evidence_pipeline_hardening_readiness_accelerator_relay_2026-07-25_cf06781,107878,38,2e01175632d291d6dc2749763c6459fb0513cefb16966f1b41854c147bd629c5,2026-08-03T17:47:51.611883+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_pipeline_hardening_readiness_accelerator_relay_2026-07-25_cf06781.zip
tmp/compensation_evidence_schema_repair_relay_2026-07-25_b6407970bbb69f11af4e8fa3b6692ae323890a8a,2743740,32,50534198ff4da70438f12cb52f8d64b2672bdb2ee2c4a7e5165f25ddcef8baa8,2026-08-03T17:47:51.629017+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_evidence_schema_repair_relay_2026-07-25_b6407970bbb69f11af4e8fa3b6692ae323890a8a.zip
tmp/compensation_extraction_500_targeted_qa_relay_2026-07-25_513f6b8,6166210,45,c4d3481757401dac448c45b82f16a1ec10b95ca5f677e549fb68193ca97690dc,2026-08-03T17:47:51.659182+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_extraction_500_targeted_qa_relay_2026-07-25_513f6b8.zip
tmp/compensation_extraction_readable_parse_text_1826_independent_bounded_review_relay_2026-07-25_30fc55db984e7a4de8837e6534b327a87a42403c,3231439,40,2c5b038bcea0622f46b316a81104ed504d0c89402bb48117a7231717fe31f8a6,2026-08-03T17:47:51.678704+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_extraction_readable_parse_text_1826_independent_bounded_review_relay_2026-07-25_30fc55db984e7a4de8837e6534b327a87a42403c.zip
tmp/compensation_extraction_readable_parse_text_1826_targeted_conflict_qa_relay_2026-07-25_f28c7f2,3242573,40,4a4361cf8736d456af5d0f47959f498a257e0e713f42605a72ee6688b9332ff2,2026-08-03T17:47:51.700758+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_extraction_readable_parse_text_1826_targeted_conflict_qa_relay_2026-07-25_f28c7f2.zip
tmp/compensation_extraction_remaining_parse_text_onecase_relay_2026-07-25_61814d1,2800831,33,2dda9e4ad850bf5ebcc9603d6071211175547d7e70d8014d8b2f97e105bf38b1,2026-08-03T17:47:51.726547+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_extraction_remaining_parse_text_onecase_relay_2026-07-25_61814d1.zip
tmp/compensation_extraction_remaining_parse_text_relay_2026-07-25_16c33b1,5850161,49,bd0eb2299aa067f6c387202df072a171ade980b26fa071373319cd0337963b85,2026-08-03T17:47:51.771956+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/compensation_extraction_remaining_parse_text_relay_2026-07-25_16c33b1.zip
tmp/content_triage_framework_relay_2026-07-24_eccbd0d,4813684,84,fd3e2baa5d6b2ffa3eaff44c929aba0eb4e82d6a9618649a8f99331728336ed8,2026-08-03T17:47:51.821016+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/content_triage_framework_relay_2026-07-24_eccbd0d.zip
tmp/content_triage_full_universe_metadata_relay_2026-07-24_0097d30,14815948,92,78aad65e885d5fb5d2a7658b82a099a5a156cb37fb5bdb4d6b496def7e1e10c8,2026-08-03T17:47:51.904556+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/content_triage_full_universe_metadata_relay_2026-07-24_0097d30.zip
tmp/content_triage_full_universe_metadata_serial_merge_relay_2026-07-24_79df80c,17260983,64,e90e7ab351c22f0b3f4b76499ba00e73d333d552dbb4cb4055f6e52f7016fd1f,2026-08-03T17:47:51.963082+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/content_triage_full_universe_metadata_serial_merge_relay_2026-07-24_79df80c.zip
tmp/content_triage_round1_metadata_only_relay_2026-07-24_4a49f93,4088616,50,e5373fae3418924e1b0146183fd81509ae0536afd10cc4e50d969669a3105413,2026-08-03T17:47:51.995768+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/content_triage_round1_metadata_only_relay_2026-07-24_4a49f93.zip
tmp/coordinator_150row_serial_live_relay_2026-07-21_f6f4376,22567516,61,163cb30457ee7dafe0bcdb1195d0643107ecf10871f8e6df8f6c6a98b008933e,2026-08-03T17:47:52.079114+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/coordinator_150row_serial_live_relay_2026-07-21_f6f4376.zip
tmp/dashboard_architecture_scaffold_2026-07-21_relay_d8c269a,1721684,29,1a04e03470efa0835b2d10a1d253979e62043455f490821dd44354f583fd9921,2026-08-03T17:47:52.120404+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/dashboard_architecture_scaffold_2026-07-21_relay_d8c269a.zip
tmp/dashboard_declutter_map_correction_tier_c_text_span_extraction_relay_2026-07-27_b6406ee,25647,34,f81a250a1e5708d30d1ebda5e33c81beef36d9c7af9180f7195eedf229613075,2026-08-03T17:47:52.136485+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/dashboard_declutter_map_correction_tier_c_text_span_extraction_relay_2026-07-27_b6406ee.zip
tmp/dashboard_fix_and_tier_c_source_review_download_556_relay_2026-07-27_09d6cbc,19958,26,7d8fc22f18796331c51ba14276c801ec934ebaf10ebd53c650c34675f7ccba11,2026-08-03T17:47:52.154540+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/dashboard_fix_and_tier_c_source_review_download_556_relay_2026-07-27_09d6cbc.zip
tmp/dashboard_live_results_consolidation_2026-07-21_relay_943a458,2122975,43,efa55a8743d644a085fdf1023fa86069b0525375985f6176f72fcf4ca04320f7,2026-08-03T17:47:52.191102+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/dashboard_live_results_consolidation_2026-07-21_relay_943a458.zip
tmp/direct_sdk_outer_timeout_fix_relay_2026-07-23_3a7d762,1989423,24,31790a465c6a474760aba8f5a31db9ea87f077bacf952f975d4a5318b7f84fdd,2026-08-03T17:47:52.207877+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/direct_sdk_outer_timeout_fix_relay_2026-07-23_3a7d762.zip
