path,size_bytes,git_status,tracked_or_ignored,classification,proposed_action,safety_basis,active_reference_count,manifest_or_hash_coverage,archive_target_path,deletion_allowed_flag,requires_manual_confirmation_flag,reason,verification_kind,verification_reference,sha256
tmp/agent_relay_bundle_2026-07-14_225015.zip,342073,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_3x300_attempt2_live_collection_relay_2026-07-23_18c3415,4262844,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/aggressive_3x300_attempt2_live_collection_relay_2026-07-23_18c3415.zip,b1a9a8e8a6494303f4b75d9b4885882888734e37ec14b7ffd066ab7a811f9e64
tmp/aggressive_3x300_attempt2_live_collection_relay_2026-07-23_18c3415.zip,754028,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_3x300_attempt3_live_collection_relay_2026-07-23_27d3cd2,27638431,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/aggressive_3x300_attempt3_live_collection_relay_2026-07-23_27d3cd2.zip,fbd06e675b1af090de357bcfb7b58c60a9c74b22692426509ea831ee5b5d5068
tmp/aggressive_3x300_attempt3_live_collection_relay_2026-07-23_27d3cd2.zip,3450999,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_3x300_attempt3_serial_merge_2026-07-23,32596,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_3x300_attempt3_serial_merge_relay_2026-07-23_98ad608,49267988,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/aggressive_3x300_attempt3_serial_merge_relay_2026-07-23_98ad608.zip,7674f7c6444a1fa799834fbf86f01e4b581671ff842fadf48e5686d97432883d
tmp/aggressive_3x300_attempt3_serial_merge_relay_2026-07-23_98ad608.zip,5286839,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_3x300_live_collection_relay_2026-07-23_dcf3cd5,12539886,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/aggressive_3x300_live_collection_relay_2026-07-23_dcf3cd5.zip,fdd8cd78f5981e4c9f67b15f33f08d0a3942cb26c83ca416b262c9480ba02fd7
tmp/aggressive_3x300_live_collection_relay_2026-07-23_dcf3cd5.zip,1048187,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_3x300_parallel_round_prep_relay_2026-07-23_663ffaf,4539659,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/aggressive_3x300_parallel_round_prep_relay_2026-07-23_663ffaf.zip,048367cc941ed3ba83905353564d37bcebb163626e525fa971978fb3865df0f9
tmp/aggressive_3x300_parallel_round_prep_relay_2026-07-23_663ffaf.zip,769732,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_3x300_parallel_round_prep_validation_2026-07-23,29595,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_parallel_scaling_framework_relay_2026-07-23_d015800.zip,875307,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/aggressive_parallel_scaling_framework_relay_2026-07-23_d015800_contents,5812941,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/bounded_internal_mechanism_linkage_claim_memo_relay_2026-07-26_fb3ec07,73662,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/bounded_internal_mechanism_linkage_claim_memo_relay_2026-07-26_fb3ec07.zip,d936545906517699cae5106835d88ebe9444035341acaaa937564bf6fc8177cd
tmp/bounded_internal_mechanism_linkage_claim_memo_relay_2026-07-26_fb3ec07.zip,32526,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/bounded_live_verification_relay_2026-07-23_ee7041a,5083359,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/bounded_live_verification_relay_2026-07-23_ee7041a.zip,95b6c169c404b7c26610c88556285defd6d4091c1219ee3167cf132854163009
tmp/bounded_live_verification_relay_2026-07-23_ee7041a.zip,1278219,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/bounded_pdf_text_span_capture_checkpoint.jsonl,3129349,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/bounded_pdf_text_span_capture_checkpoint_rebuild.jsonl,3125841,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/bounded_qualitative_span_disambiguation_checkpoint_2026-07-25.jsonl,2489864,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_496142896c5a42562123f9f8a6d381ec001547e9,34585,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_496142896c5a42562123f9f8a6d381ec001547e9.zip,360d310c134cd450b924c39bd161accc0959702452c4063c8db111fd98d7980c
tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_496142896c5a42562123f9f8a6d381ec001547e9.zip,30579,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_f3d9ff8fbdcbe402c0163a99c7f7f1468aa15556,34805,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_f3d9ff8fbdcbe402c0163a99c7f7f1468aa15556.zip,271f7117b893d9db2bb4872a2f8f7c4f7f8dd2ddffc22b2c9c7f23ae8241ccd6
tmp/bounded_tier_c_evidence_memo_supplement_relay_2026-07-27_f3d9ff8fbdcbe402c0163a99c7f7f1468aa15556.zip,30662,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/branded_project_hub_dashboard_relay_2026-07-22_42dbe52,2530791,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/branded_project_hub_dashboard_relay_2026-07-22_42dbe52.zip,63f1cbd2290fd2365b5d55cad80db03ca78aa249a3258ce2a20813f6530482e5
tmp/branded_project_hub_dashboard_relay_2026-07-22_42dbe52.zip,768704,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/branded_project_hub_dashboard_validation_2026-07-22,89676,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_candidate_verification_4x3000_relay_2026-07-28_e8adad9c6bcafe0255b8269c5b0f8494a5aa33b7,1473149,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/broad_candidate_verification_4x3000_relay_2026-07-28_e8adad9c6bcafe0255b8269c5b0f8494a5aa33b7.zip,df6cfeb3729fd484e3f1d72b1432af83a56f75a24a7f0b024d3ba74122a46014
tmp/broad_candidate_verification_4x3000_relay_2026-07-28_e8adad9c6bcafe0255b8269c5b0f8494a5aa33b7.zip,88376,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_candidate_verification_4x3000_resume_lane_004_relay_2026-07-28_bf9fef4.zip,65262,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_candidate_verification_4x3000_resume_lane_004_relay_contents_bf9fef4,214798,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x1000_live_scout_2026-07-27_preflight_attempt1,9558,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x1000_parallel_live_scout_2026-07-27_preflight_attempt1,9567,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x1000_parallel_live_scout_relay_2026-07-27_c839a853,28648,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x1000_parallel_live_scout_relay_2026-07-27_c839a853249d96aff7880ed5045da791e0f4f852.zip,28640,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x1000_scout_dry_run_prep_relay_2026-07-27_c74adb525bf38bf9b5cfb46d99b0f6df5d5d94e3,24668,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/broad_state_4x1000_scout_dry_run_prep_relay_2026-07-27_c74adb525bf38bf9b5cfb46d99b0f6df5d5d94e3.zip,904014a8749b131d9c96b9993440772f009288ceae82ba0dd775c5ede9875990
tmp/broad_state_4x1000_scout_dry_run_prep_relay_2026-07-27_c74adb525bf38bf9b5cfb46d99b0f6df5d5d94e3.zip,22084,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_bounded_wage_differential_validation_2026-07-30_logs,0,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_bounded_wage_differential_validation_relay_2026-07-30_df9802202a843f3c734818d39243079910ee7f5b.zip,1125406,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_live_scout_2026-07-29_logs,849946,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_live_scout_2026-07-29_preflight_attempt1,9558,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_live_scout_2026-07-29_preflight_attempt2,9562,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_live_scout_crash_recovery_relay_2026-07-29_workers_still_running_monitoring.zip,22206,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_live_scout_finalize_candidate_review_relay_2026-07-30_8375280,281705,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/broad_state_4x2500_live_scout_finalize_candidate_review_relay_2026-07-30_8375280.zip,3a4a14325b6091520cf88ea3e120fb7fc29d1d1ccd778ac5205693eaa13c64a6
tmp/broad_state_4x2500_live_scout_finalize_candidate_review_relay_2026-07-30_8375280.zip,59987,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_mechanism_attributed_wage_growth_continuity_2026-07-31_logs,857,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_normalization_matching_paraphrase_repair_relay_2026-07-30_940cb65b657fbb4b0efe91761fe4ad0de60763a5.zip,1053982,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_normalization_rescue_gap_growth_claims_2026-07-30_logs,0,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_normalization_rescue_gap_growth_claims_relay_2026-07-30_74c87c7836b6ce4a277df076db288791b06feaf1.zip,3310846,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_normalization_rescue_gap_growth_claims_relay_2026-07-30_9baeed5089b663d5b853e04c3b84fc810e1ff5f9.zip,3311340,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pdf_text_readiness_2026-07-30_logs,141297,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pdf_text_readiness_relay_2026-07-30_4f2317e9002beddbfc8839ba03862f454b44f87c.zip,2181215,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_comparison_mechanism_repair_2026-07-30_logs,0,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_comparison_mechanism_repair_recent_changes_2026-07-30.md,1156,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_comparison_mechanism_repair_relay_2026-07-30_a8b7458a96a81ecc5c91d98403d778ef2d23b2ab.zip,1019970,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_comparison_mechanism_repair_relay_status_2026-07-30.json,4941,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_draft_2026-07-30_logs,0,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_draft_relay_2026-07-30_0639bff1081b85ffc5698e7dc1063e65c1191369.zip,375989,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_finalize_2026-07-30_logs,499187,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_finalize_relay_2026-07-30_28e1e84ecfa37092c8c8f705bd81c9de2dd49edb.zip,96675,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_finalize_relay_2026-07-30_e8fa2bfa789fb79bd857562bb1f3cd91d6da128e.zip,97340,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_pdf_dashboard_publish_2026-07-30_logs,587090,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_pdf_dashboard_publish_relay_2026-07-30_30ea71276af07e1ffb0778cfc4cb943b01917055.zip,98466,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_pi_report_pdf_dashboard_publish_relay_2026-07-30_f080a7fcf242a667b1d360852705c3e223f94639.zip,98525,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_rating_ingest_codify_pi_evidence_relay_2026-07-30_3c3bb2ac01b0d069b79484f4facd92d096410cb8.zip,1079891,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_rating_ingest_codify_pi_evidence_relay_status_2026-07-30.json,28201,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_scout_infrastructure_prep_relay_2026-07-29_2658de3,21370,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/broad_state_4x2500_scout_infrastructure_prep_relay_2026-07-29_2658de3.zip,3155ae4866534ddc09bc9646e56a8099b99f1672ffdacd2b4586999b0081ab32
tmp/broad_state_4x2500_scout_infrastructure_prep_relay_2026-07-29_2658de3.zip,22479,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_source_review_download_2026-07-30_logs,4179426,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_source_review_download_relay_2026-07-30_26d44f268dc4197138f50f83ab95036ddd9156c5.zip,6423509,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_source_review_download_relay_status.json,1745,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_span_extraction_2026-07-30_logs,2059,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_span_extraction_relay_2026-07-30_73c10bd.zip,2644158,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_span_extraction_relay_2026-07-30_73c10bdf5bbf434d85fac163410ad8a0ac6388c8.zip,2644158,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_span_extraction_relay_status_2026-07-30.json,5255,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_span_rating_dashboard_cleanup_2026-07-30_logs,10775557,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_span_rating_dashboard_cleanup_relay_2026-07-30_1ceec2543b3989bc3f601539516dea4aae97e040.zip,8392306,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_span_rating_dashboard_cleanup_relay_status_2026-07-30.json,1427,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_text_extraction_2026-07-30_logs,3458,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_text_extraction_relay_2026-07-30_0952668.zip,2440426,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_text_extraction_relay_2026-07-30_0952668f76a0.zip,2440452,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_verification_relay_2026-07-30_079d27295952,12396548,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/broad_state_4x2500_verification_relay_2026-07-30_079d27295952.zip,facc7e385d394fae6ab0c1cd36028c63b6780443b68fbf99350c577eecd8fac2
tmp/broad_state_4x2500_verification_relay_2026-07-30_079d27295952.zip,1413010,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/broad_state_4x2500_wage_growth_continuity_relay_2026-07-31_5c2c23fae31589def35f604402df569e3599057d.zip,561148,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
