local_comparison_record_id,source_layer,municipality,state,period,safety_side_label,non_safety_side_label,qa_status,claim_boundary,confidence,caveats,source_lineage,no_causal_claim
BRMLOCALQA-85175dc6875331269bcab4e8,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Oakland,PA,2021,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}""]",true
BRMLOCALQA-97cb1f3ecadb4315c69a40bb,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,New Sewickley,PA,2023,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}""]",true
BRMLOCALQA-b3bd2e2f65b9363a431008ca,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Oakland,PA,2021,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}""]",true
BRMLOCALQA-ae20121f179111688798406b,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Wilkins,PA,2025,police_direct,non_safety_direct,conditional_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}""]",true
BRMLOCALQA-ff26383578574f77836222b2,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Franklin,IN,2025,police_direct,non_safety_direct,conditional_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-04329-01\"", \""final\"": \""https://franklin.in.gov/egov/documents/1733852781_74171.pdf\"", \""original\"": \""https://www.franklin.in.gov/egov/documents/1733852781_74171.pdf\"", \""scout_target_id\"": \""BRM5-20260731-04329\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-04329-01\"", \""final\"": \""https://franklin.in.gov/egov/documents/1733852781_74171.pdf\"", \""original\"": \""https://www.franklin.in.gov/egov/documents/1733852781_74171.pdf\"", \""scout_target_id\"": \""BRM5-20260731-04329\""}""]",true
BRMLOCALQA-3ab423742b8612fee969e009,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Wilkins,PA,2025,police_direct,non_safety_direct,conditional_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}""]",true
BRMLOCALQA-df79804285c81854ca51f928,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Wilkins,PA,2025,police_direct,non_safety_direct,conditional_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}""]",true
B4X2500GAP-41d42064465db4099b779674,BROAD-STATE-4X2500-BOUNDED-WAGE-DIFFERENTIAL-VALIDATION-2026-07-30,Alburtis,PA,2018-01-01 through 2018-06-30 overlapping rate window; source ordinance and police award cycle labeled 2018-2021,safety,non_safety,conditional_example_ready,conditional_with_caveats,moderate,"Same ordinance and overlapping period, but not matched bargaining-unit contracts: the Chief was outside the police bargaining unit, and role/rank/hours/schedule equivalence with the Administrative Assistant is unverified. Use only as bounded local documentary evidence after manual/legal/substantive validation, not as a final wage-gap estimate.","Both values trace to Alburtis Ordinance No. 546, PDF page 4, downloaded from the municipal codified-ordinance site. The retained PDF is B4X2500SRD-20260730-6ddfdb5fcb55a74977c0 (SHA-256 e1071e681d9ca1aa6ba1e9b73ce02084c3ca6e2f196868d861000ca11ea151d4), linked through scout target B4X2500-20260729-03846, verification row B4X2500V-20260730-04057, readiness row B4X2500RDY-20260730-49b270db104d6d876965, and extraction B4X2500TXT-20260730-a7728e27d6a354107235.",true
B4X2500GAP-4193e4d9ff2676c7d2680e77,BROAD-STATE-4X2500-BOUNDED-WAGE-DIFFERENTIAL-VALIDATION-2026-07-30,Cammack Village,AR,2024,safety,non_safety,conditional_example_ready,conditional_with_caveats,moderate,"Same-page hourly maximum schedule values and arithmetic are validated, but Section 2 permits actual salaries below the maxima and the council-packet copy has blank adoption/approval fields; use only as a bounded local comparison of listed maximum rates pending manual/legal validation.","{""candidate_id"": ""B4X2500LIVE-20260729-009230"", ""extracted_text_hash_rechecked"": true, ""extracted_text_path"": ""artifacts/local_extracted_text/broad_state_4x2500_text_extraction_2026-07-30/text_extraction_lane_004/B4X2500TXT-20260730-5ba36a80d4b057dd5e4d.txt"", ""extracted_text_sha256_manifest"": ""3644ac155dc2260461bb6c51c44473d7aab71a4185e4f6167bf894eaceda717a"", ""extracted_text_sha256_rechecked"": ""3644ac155dc2260461bb6c51c44473d7aab71a4185e4f6167bf894eaceda717a"", ""extraction_id"": ""B4X2500TXT-20260730-5ba36a80d4b057dd5e4d"", ""readiness_id"": ""B4X2500RDY-20260730-52c599c1e162c2f9d866"", ""retained_hash_rechecked"": true, ""retained_source_path"": ""artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-b3751c739a08b7117ec2.pdf"", ""retained_source_sha256_manifest"": ""15c96995bb594ff5e9b04c7e99cd8c157b9cc1b24363a93778d0991f9786dffc"", ""retained_source_sha256_rechecked"": ""15c96995bb594ff5e9b04c7e99cd8c157b9cc1b24363a93778d0991f9786dffc"", ""same_retained_source"": true, ""scout_target_id"": ""B4X2500-20260729-09064"", ""source_locator"": ""https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3538/Cammack/3809577/Council_packet_12.12.23_final.pdf"", ""source_review_download_id"": ""B4X2500SRD-20260730-b3751c739a08b7117ec2"", ""source_review_status"": ""retained_pdf"", ""source_title"": ""Council packet (12.12.23) containing Ordinance 23-06: 2024 maximum salary schedule (includes Marshal/Full Time Patrolman/Part Time Patrolman)"", ""text_extraction_method"": ""poppler_pdftotext_layout_utf8_non_ocr"", ""text_extraction_status"": ""extracted_ok"", ""verification_row_id"": ""B4X2500V-20260730-02912"", ""verification_status"": ""reachable""}",true
B4X2500GAP-498d2fdd8da985bf2455ab27,BROAD-STATE-4X2500-BOUNDED-WAGE-DIFFERENTIAL-VALIDATION-2026-07-30,Canastota,NY,2023-2024,safety,non_safety,conditional_example_ready,conditional_with_caveats,moderate,"The police value is specifically the Year 1 entry step for officers hired after 1999, while the Code Enforcement Officer line provides a single listed rate with no tenure, step, or experience label. The source establishes common municipality, cycle, page, hourly pay basis, and schedule-listed wage status, but it does not establish comparable tenure, experience, duties, qualifications, hours, full-time status, or schedule position. The upstream normalized Code Enforcement Officer record was incorrectly tagged as police; this validation corrects the candidate interpretation from the verbatim source line but does not overwrite the raw upstream record. The negative $0.91/hour documentary difference pertains only to these two specifically listed schedule values and must not be generalized to police and non-safety employees in Canastota. This is bounded local documentary evidence, not a final wage-gap estimate, and is not nationally representative. Substantive/manual validation of occupational and schedule-position comparability is required before analytic use beyond a qualified supporting example.","{""candidate_id"": ""B4X2500LIVE-20260729-006395"", ""extracted_text_sha256"": ""fd41d71ce599f0645d2985c6eab82248e01481503a1aa34c6fd8b86ec45ac2c6"", ""extraction_id"": ""B4X2500TXT-20260730-00970d81537bd8db1772"", ""lineage_integrity"": ""passed; local retained-source and extracted-text hashes match the tracked manifests"", ""readiness_id"": ""B4X2500RDY-20260730-a8d3be473679172d086a"", ""retained_source_page_count"": 17, ""retained_source_sha256"": ""719a57bc2ba6e629a4d2f34db552a08d9444c70fe062bbda05103bc1ef45ed39"", ""retained_source_size_bytes"": 127365, ""scout_target_id"": ""B4X2500-20260729-06271"", ""source_locator"": ""https://canastota.gov/wp-content/uploads/2023/07/ADOPTED-BUDGET-2023-2024.pdf"", ""source_review_download_id"": ""B4X2500SRD-20260730-9b26daffb18fd9eb0082"", ""source_title"": ""Adopted Village Budget 2023-2024 (Schedule of Salaries of Elected and Appointed Officers and Employees; Police Officer Step Plan)"", ""validated_source_page"": 15, ""verification_row_id"": ""B4X2500V-20260730-02422""}",true
B4X2500GAP-a27c57fde6a6f134fcd6ff7d,BROAD-STATE-4X2500-BOUNDED-WAGE-DIFFERENTIAL-VALIDATION-2026-07-30,Shreve,OH,2024,safety,non_safety,local_supporting_example_ready,supporting_example_ready,high,"Same-document hourly rates are validated, but duties, experience, hours, and other job requirements are not matched; use only as a bounded local documentary comparison.","{""candidate_id"": ""B4X2500LIVE-20260729-003326"", ""extracted_text_hash_rechecked"": true, ""extracted_text_sha256"": ""4c273fa1161e220d49d78842561514440244d782441ae98cf96f74f4c1ce2f54"", ""extraction_id"": ""B4X2500TXT-20260730-61df0dd28e368f082959"", ""readiness_id"": ""B4X2500RDY-20260730-3a3391805d7b76e20fc2"", ""retained_hash_rechecked"": true, ""retained_source_sha256"": ""8561876e961d2e68792fa67b37307a353e0068167a1275bfe1eaffff2aba68e0"", ""same_retained_source"": true, ""source_locator"": ""https://irp.cdn-website.com/c5204193/files/uploaded/Ordinance_No_10-2024.pdf"", ""source_review_download_id"": ""B4X2500SRD-20260730-6db34d2126a26b38694f"", ""source_title"": ""Ordinance No. 10-2024 - Amended and Restated Ordinance Modifies Salary Schedule, Wage Scale, and Health Benefits (Village of Shreve)"", ""verification_row_id"": ""B4X2500V-20260730-05462""}",true
