national_readiness_record_id,source_layer,municipality,state,region,source_family,side_label,pay_basis,compensation_type,readiness_status,readiness_gate,claim_boundary,blockers,no_national_claim
BRMNATQA-2af9470ade407eb57b6ffab8,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Baxter,MN,Midwest,cba,police_direct,allowance,allowance_reimbursement,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-bd83ad79eaee7486b9362bad,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Ralpho,PA,Northeast,agenda_packet_or_minutes,police_direct,hourly,base_wage,national_mechanism_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-86289be3aa9e3fc3b6edf121,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Springfield,WI,Midwest,agenda_packet_or_minutes,not_applicable,budget_amount,cola_or_raise,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-9bf0e21f5a998083aafc51d9,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,North Sewickley,PA,Northeast,civil_service_or_hr_pay_plan,police_direct,allowance,allowance_reimbursement,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-213f2b7684cfcf494370b133,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Perry,OH,Midwest,wage_schedule,fire_direct,percentage_raise,cola_or_raise,national_mechanism_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-1c5473f886381a95277d16ef,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Clarendon,TX,South,mou_or_memorandum,remains_unclear,unknown_or_mixed,non_base_compensation,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""pay_basis_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-d2f777307fed9c1c2b1f7b36,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Hanover,PA,Northeast,cba,police_direct,cola_cpi,cola_or_raise,national_growth_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-879a97183d530636f49645a3,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Marion,OH,Midwest,mou_or_memorandum,police_direct,percentage_raise,cola_or_raise,national_growth_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-09b539cdeca2be6b601820d8,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Virgil,IL,Midwest,other_local_government_pay_policy,non_safety_direct,allowance,allowance_reimbursement,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-aa1db950e27213934dcdec2f,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,East Fallowfield,PA,Northeast,budget_or_pay_plan,remains_unclear,budget_amount,other,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable""]",true
BRMNATQA-eb7cfc7b2183e6beaf8e2601,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Elmira,NY,Northeast,civil_service_or_hr_pay_plan,write_off,overtime_rate,overtime_holiday,national_write_off,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-61afff4866ab14fca1c6ba40,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Tinicum,PA,Northeast,budget_or_pay_plan,non_safety_direct,allowance,allowance_reimbursement,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-bc2a74cf6c2bb05e10706c1e,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Franklin,OH,Midwest,other_local_government_pay_policy,police_direct,hourly,allowance_reimbursement,national_readiness_stratum_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""readiness_stratum_requirements_met""]",true
BRMNATQA-0452b45b404e45b5c07991e2,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Washington,WI,Midwest,budget_or_pay_plan,police_direct,budget_amount,allowance_reimbursement,national_mechanism_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-97dd249178be47debda0b654,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,McPherson,KS,Midwest,arbitration_award,fire_direct,overtime_rate,stipend_premium,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-67391a8a8d5d7cebce7c5dd6,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Bay,OH,Midwest,cba,remains_unclear,percentage_raise,other,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-7ab45957b4bed2039121a509,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Penn,PA,Northeast,agenda_packet_or_minutes,police_direct,hourly,base_wage,national_needs_period_repair,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-8fb0d4e327b0fc92b65b7bdb,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Pearl City,IL,Midwest,wage_schedule,remains_unclear,percentage_raise,cola_or_raise,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-743521349a9be0d9d945697c,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Isabella,MI,Midwest,budget_or_pay_plan,remains_unclear,allowance,allowance_reimbursement,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-d906da3ce342d39ed24fe3f2,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Foster,MN,Midwest,agenda_packet_or_minutes,remains_unclear,hourly,base_wage,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-042cddca01549133a60ab956,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Grant,NE,Midwest,agenda_packet_or_minutes,remains_unclear,overtime_rate,other,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-eded5e9f505021a605b2be9d,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Decatur,MI,Midwest,budget_or_pay_plan,remains_unclear,budget_amount,salary_schedule,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-8c176e7178d489f98c08d25c,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Independence,OH,Midwest,cba,remains_unclear,hourly,base_wage,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-7e61a769d0ffaa927f2a9d35,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Stanton,MI,Midwest,civil_service_or_hr_pay_plan,write_off,overtime_rate,overtime_holiday,national_write_off,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-85bf5811e250238d1a9d0424,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Stamford,NY,Northeast,wage_schedule,remains_unclear,unknown_or_mixed,other,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""pay_basis_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-269f123ebf6b36ecc1fcec03,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Chardon,OH,Midwest,factfinding_report,police_direct,unknown_or_mixed,base_wage,national_needs_period_repair,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""pay_basis_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-44e028bc5a8f2edfb8b9ef0b,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Brownville,NY,Northeast,mou_or_memorandum,remains_unclear,unknown_or_mixed,base_wage,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""pay_basis_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-2bd27ddf615a570c41a0e21f,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Cecil,PA,Northeast,mou_or_memorandum,police_direct,overtime_rate,overtime_holiday,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-0de9ec8fc0e13f183d59cd68,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Bazetta,OH,Midwest,cba,police_direct,hourly,base_wage,national_needs_period_repair,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-1d157e3b036aa95af5d852dd,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Hamilton,NC,South,agenda_packet_or_minutes,remains_unclear,cola_cpi,cola_or_raise,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-5c918bf8ed56ba0fd1cbf85b,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Ohio,OH,Midwest,factfinding_report,police_direct,unknown_or_mixed,salary_schedule,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""pay_basis_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-c848b417b443c3b2047b6f12,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Greenwood,PA,Northeast,personnel_policy,remains_unclear,cola_cpi,cola_or_raise,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-49e7012b0f0a66d634d70c14,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Shelby,MI,Midwest,agenda_packet_or_minutes,non_safety_direct,budget_amount,other,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-20fdfa448bbb4393dd7f5386,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Franklin,OH,Midwest,cba,remains_unclear,allowance,allowance_reimbursement,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable""]",true
BRMNATQA-5f77e8e27de8091d08caa538,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Groton,NY,Northeast,wage_schedule,write_off,unknown_or_mixed,salary_schedule,national_write_off,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""pay_basis_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-298c98fa8e5fda20900b20a3,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Vergas,MN,Midwest,wage_schedule,non_safety_direct,overtime_rate,other,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-abf8454ffe96c2264fdbf805,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Forest View,IL,Midwest,salary_ordinance,remains_unclear,unknown_or_mixed,other,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""pay_basis_unresolved"",""role_unit_anchor_unresolved_or_not_applicable""]",true
BRMNATQA-a73ffbf96c13376250072dad,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Upper Uwchlan,PA,Northeast,budget_or_pay_plan,police_direct,budget_amount,cola_or_raise,national_mechanism_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-63c0bb944cd229606a34bc6a,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Kinderhook,NY,Northeast,cba,remains_unclear,allowance,allowance_reimbursement,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-878f53e594c2a4cd7b6ab276,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Kinderhook,NY,Northeast,factfinding_report,write_off,allowance,allowance_reimbursement,national_write_off,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-1878f7fb56ff3ab8dfc610bf,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Manheim,PA,Northeast,agenda_packet_or_minutes,fire_direct,overtime_rate,overtime_holiday,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-34fbe3368ff7e00389d044ed,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Marion,OH,Midwest,mou_or_memorandum,remains_unclear,hourly,base_wage,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-846c94586da8e5c88e1f4ae8,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Franklin,IN,Midwest,budget_or_pay_plan,police_direct,hourly,budget_or_pay_plan,national_readiness_stratum_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""readiness_stratum_requirements_met""]",true
BRMNATQA-c9cf031777129be30b4c86d0,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Grandview,IN,Midwest,other_local_government_pay_policy,non_safety_direct,hourly,base_wage,national_needs_period_repair,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-85dcd75028dbc1ec044ec1ce,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,San Leanna,TX,South,budget_or_pay_plan,remains_unclear,annual_salary,allowance_reimbursement,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-2f34a0615ca471ba178051ac,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Medford,WI,Midwest,cba,police_direct,percentage_raise,cola_or_raise,national_mechanism_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-8103a55b33f8f111012a9be9,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Long Beach,NJ,Northeast,cba,remains_unclear,stipend,non_base_compensation,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-8c44d3d1709cd23b13c91b03,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Watertown,NY,Northeast,budget_or_pay_plan,non_safety_direct,unknown_or_mixed,budget_or_pay_plan,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""pay_basis_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-5d15e8e383bb13c27eee1c29,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Bay Mills,MI,Midwest,civil_service_or_hr_pay_plan,remains_unclear,overtime_rate,overtime_holiday,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-cb15723c0eaabd4d23d94e82,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Templeton,IA,Midwest,wage_schedule,remains_unclear,overtime_rate,other,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
