mechanism_record_id,source_layer,original_record_id,municipality,state,side_label,mechanism_class,mechanism_strength,claim_boundary,source_lineage,no_causal_claim
WCM-9fa5ffd52ecc1fab29ab9f5f,initial_4726_source_pipeline,WCRS-2b6fd2e7bd02d1d494ece7ec,,,remains_unclear,collective_bargaining,weak,mechanism_only,lobs_07823ba1699c5a20b69eac86,true
WCM-2679855138091352e132e340,initial_4726_source_pipeline,WCRS-16f73bd7d53e4a69872bb35a,,,remains_unclear,cola_cpi_indexing,strong,mechanism_only,lobs_07e6da7b57d0082cf5ef0fb1,true
WCM-5ac96daa8619cde2ddea2197,initial_4726_source_pipeline,WCRS-1c9c518043c463a5b7b7b6c6,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_080a5c596af4aded2e2024bb,true
WCM-cf8c1c73717e0d74b09ade97,initial_4726_source_pipeline,WCRS-7b9fc4ef683af2a25ee69ce4,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_08b2db187a40195c1ea6dc7a,true
WCM-0fe196d40c0d937cd1f15250,initial_4726_source_pipeline,WCRS-83fe1aea553f0f1f1ea0d299,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_08ba3bf246af07a17259fec9,true
WCM-8c43160e5629d327484ce9d7,initial_4726_source_pipeline,WCRS-e89878b018efe9f92a20f6e5,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_08efea99be6a889c1ff9d038,true
WCM-fcb1e64dcb4f1c941f7a9b2b,initial_4726_source_pipeline,WCRS-3584113acf319a6984de1b0c,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_0a20cffb8ceb1d1bd67fe0e3,true
WCM-3c06bbdeb6146c6effcd33b2,initial_4726_source_pipeline,WCRS-d493ead1d29b8eb9cd7686de,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_0b01ff022d0f0db2fd3d39e4,true
WCM-f4a32fc2d368f386fb1246b8,initial_4726_source_pipeline,WCRS-2b6634c792ade3f082c8d38e,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_0b2dc09a9220ded163d87b64,true
WCM-921ace0a90814f1bafb6e5dd,initial_4726_source_pipeline,WCRS-9f93fa86819f76f5615c4143,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_0ba2ab07187af618deb701a1,true
WCM-78bb0f68a32c6da05f923b9e,initial_4726_source_pipeline,WCRS-ad636cd76ffb5ced7fc9974d,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_0ca3a046bf59fc283f5f0170,true
WCM-c394749a04ce4765853020e5,initial_4726_source_pipeline,WCRS-cf42bd7a54c65a73e8aa4541,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_0cf42a3c9837cbbde76681c3,true
WCM-61fa10d8c8ce61318c874df4,initial_4726_source_pipeline,WCRS-e2315c91c7d8fc7ec643660f,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_0d5423a9fc2b1796a80db643,true
WCM-930b523ff8d686975c523087,initial_4726_source_pipeline,WCRS-9378aea903e79ebc335de21c,,,remains_unclear,retroactivity_implementation,moderate,mechanism_only,lobs_0d9894951eb7dfbcc3747a0a,true
WCM-faba08734c2066d5a7cf61ed,initial_4726_source_pipeline,WCRS-b0854064b5b2482fcc07eb99,,,remains_unclear,cola_cpi_indexing,weak,mechanism_only,lobs_0dafb0aeb03cbb1c3a4573fb,true
WCM-42f8330a6319539bc014b1bb,initial_4726_source_pipeline,WCRS-4c053dec9c036bb4e3c0bb57,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_0dffa1fec27f5d8a9a38aa1f,true
WCM-19d0b563e136d58d19e16786,initial_4726_source_pipeline,WCRS-9dd2952baa9dd046efb12277,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_0e10b5a23bbbcaa59c0790d7,true
WCM-92d5e1d894d5123b45d79812,initial_4726_source_pipeline,WCRS-6cb57f261774516f3c80e650,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_0ea1e6031f1122e4a19f7e7f,true
WCM-9a7d73d2d57fcd501cfbb963,initial_4726_source_pipeline,WCRS-54fb530c346bc24c122677cb,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_112c6e115bf289353e12bd94,true
WCM-10782b6f82b9beff4b3242a3,initial_4726_source_pipeline,WCRS-99b9a70436af941a0602942b,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_11b9469f7e488b96f3668b4b,true
WCM-6d40f148e5cde6f7452943f7,initial_4726_source_pipeline,WCRS-df2077db6145945ada6443f0,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_121d30790a9396212fff0b3c,true
WCM-338ad46d387d097f3128a499,initial_4726_source_pipeline,WCRS-211ec297627b74b208e6584f,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_12744d8decb3d5913fd5c27d,true
WCM-34590bac4009e6ac5508ea64,initial_4726_source_pipeline,WCRS-50a1fd2ee132b96cf0d4aca3,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_12e39c748e2ff93788fd98cd,true
WCM-c0e6294e9e9d0150ab65be48,initial_4726_source_pipeline,WCRS-407364475ff87a5cda7e8214,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_1354b624c86e695a74ab7e12,true
WCM-f5fa0d98fb19e98a6a3a93f6,initial_4726_source_pipeline,WCRS-1e24841ef4558a8995e8ee68,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_137c25c4b1646df9e12670f2,true
WCM-61a41a7a8310e0e3772f354f,initial_4726_source_pipeline,WCRS-a28a049a0c4648219adc2da3,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_14861bf513159c968b4ed4f1,true
WCM-ff328c860454b783a2706c70,initial_4726_source_pipeline,WCRS-b52392df823398a8c5349bf6,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_14b21c0930fb05307f925a88,true
WCM-fcfef1ed2f31756540229ded,initial_4726_source_pipeline,WCRS-abaa873c42b13844a0d886c5,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_15067fe514e0c804701b7c69,true
WCM-9fdcfb84615b8eb430b90ddc,initial_4726_source_pipeline,WCRS-65de3480df17b6f9be1842a2,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_1542090aec0ae417a714cb2e,true
WCM-90079ba50acb5a22ff749f3c,initial_4726_source_pipeline,WCRS-3b015f19a8af67cac65f02f7,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_154a91a7063a07ac5e9c604b,true
WCM-2d6e5b99b6e21f540a68f11f,initial_4726_source_pipeline,WCRS-72a5aedafcaaa6680eae2092,,,remains_unclear,base_wage_direct_value,moderate,mechanism_only,lobs_159e2081db9609dda3b11098,true
WCM-f2ea02dea1def7812e89137a,initial_4726_source_pipeline,WCRS-cc953d8b2d924159fa30f4e3,,,remains_unclear,retroactivity_implementation,moderate,mechanism_only,lobs_163bb32f3c7268e2f28e76ea,true
WCM-93df159b59db3c2a01bb4f4f,initial_4726_source_pipeline,WCRS-397b9ac83d466c6f7989fa5a,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_167492b8c58e063c9f780333,true
WCM-cc8547e25758e16f26342e11,initial_4726_source_pipeline,WCRS-da6fae744666a1dd8252467d,,,remains_unclear,collective_bargaining,weak,mechanism_only,lobs_169fe1f971d8b0e81b729eee,true
WCM-1828c767d2a4de5c781c4f69,initial_4726_source_pipeline,WCRS-1dd405b3e173f1dbe4404c64,,,remains_unclear,collective_bargaining,weak,mechanism_only,lobs_16dae25d828950a27b5d7574,true
WCM-8952a8641b169479c01e29b3,initial_4726_source_pipeline,WCRS-04c938923c8e8e60721fd995,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_170ab36b18c89d3097f7bcce,true
WCM-1ef91a675b0c37596a228ec0,initial_4726_source_pipeline,WCRS-2d20c8376d5d8816e61daca1,,,remains_unclear,cola_cpi_indexing,weak,mechanism_only,lobs_17a4a95c701d27b9f2faea2e,true
WCM-9788f218af244e9345c5e1ca,initial_4726_source_pipeline,WCRS-0c0663b36d498b242ec7fd23,,,remains_unclear,weak_or_no_claim_support,not_supported,claim_ready,lobs_17f59d483c418dd4610899a0,true
WCM-a8f0e43a503f22d8b71219be,initial_4726_source_pipeline,WCRS-25ae5f5aff01f3ab4c3969b8,,,remains_unclear,base_wage_direct_value,moderate,mechanism_only,lobs_183b2015c414fee3027898e5,true
WCM-bc797adc53d91d7f41afc86c,initial_4726_source_pipeline,WCRS-9712eaeffe33cbf380c77f88,,,remains_unclear,non_base_compensation,weak,claim_ready,lobs_18f4212214cbb54d2e21f720,true
WCM-28cc3aa7977f7707b32010e1,initial_4726_source_pipeline,WCRS-fe72ab2a22a133143d11c222,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_19e13aeaceb57713ab40d13a,true
WCM-578e1c7b6519b46da761a33a,initial_4726_source_pipeline,WCRS-f22c164b9b66736f3c3fc917,,,remains_unclear,non_base_compensation,weak,mechanism_only,lobs_1a6fef66ba241161bd12d02a,true
WCM-c1b49e9a328e299cee8616ca,initial_4726_source_pipeline,WCRS-1e1fc6a39385333116e111f5,,,remains_unclear,base_wage_direct_value,strong,mechanism_only,lobs_1b5e9cfe1ec1670f9e9f0ac0,true
WCM-9b26036362c35affd30e7986,initial_4726_source_pipeline,WCRS-e96395ca4c4f1f1ec20286a8,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_1c4da1669fde567afd7a359a,true
WCM-a5819c68b8d47e08e60c9095,initial_4726_source_pipeline,WCRS-4bb0c2a84408e0319ecb5f57,,,remains_unclear,collective_bargaining,moderate,mechanism_only,lobs_1c8dcfc3e817ac5a5121d1ed,true
WCM-c3a67660f4353a0429224dd6,initial_4726_source_pipeline,WCRS-b348994d74eacd2a0bf73adb,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_1cc32e05e8744817ddf06d6c,true
WCM-8feb7e44400fb505df68576e,initial_4726_source_pipeline,WCRS-5d2647fae60de83e6494a9b4,,,remains_unclear,base_wage_direct_value,weak,mechanism_only,lobs_1d7d158d133ce3bbd4166ed8,true
WCM-6ab0a74a80b3c830257fa08e,initial_4726_source_pipeline,WCRS-d698bc96a52eba2475b1ee94,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_1e208783a37dc94f9ae2a6bd,true
WCM-88c1e9a9e4e5e1ed52af0743,initial_4726_source_pipeline,WCRS-0e2233df538278f1dd17367e,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_20851a55680ee9e68dda3ab1,true
WCM-66297014bf15751b2224f64a,initial_4726_source_pipeline,WCRS-1100205a678bb36051575cec,,,remains_unclear,retroactivity_implementation,moderate,mechanism_only,lobs_20d65e665197b9e7ab2f882b,true
WCM-d8d37b28e665ace2a7af815e,initial_4726_source_pipeline,WCRS-e8a50b1b6acb250a7d72720b,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_21a5a79843616d2edbe24023,true
WCM-ddafb0ec031b5c2814f0af47,initial_4726_source_pipeline,WCRS-380b5fee3eee4734497a588f,,,remains_unclear,non_base_compensation,weak,mechanism_only,lobs_21bfe901ccc60abb29fb373d,true
WCM-0706cf52001b250351f534e4,initial_4726_source_pipeline,WCRS-a766b08af4b2169f2786e5ab,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_23650e2a3d03ca4b72dc3e3a,true
WCM-9c0e5bfa115b2054c07a41bd,initial_4726_source_pipeline,WCRS-a9887b90909e54d35a382310,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_2389ac63981b11fa8981b554,true
WCM-be95dc190407fed48d4aa6fb,initial_4726_source_pipeline,WCRS-2b176eff4eaf79ce433407d7,,,remains_unclear,retroactivity_implementation,moderate,mechanism_only,lobs_24d1334a7e2060d186ff5c8d,true
WCM-dfe95a7d2eb3e6b976d0ad38,initial_4726_source_pipeline,WCRS-62fe941cbe1616f42ef16114,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_24d4b840799b0808ad196e9e,true
WCM-7b68579ad8762195fda035e5,initial_4726_source_pipeline,WCRS-3d453aea9a516faeff56253e,,,remains_unclear,non_base_compensation,weak,mechanism_only,lobs_25483f7c98b248266bd5479a,true
WCM-63ea89a370eb60b899ece311,initial_4726_source_pipeline,WCRS-fec078a1b5e71c9311afd4c6,,,remains_unclear,base_wage_direct_value,moderate,mechanism_only,lobs_257ab7918274831ff643e8a9,true
WCM-29ddc69731db0a1538d90933,initial_4726_source_pipeline,WCRS-a5a4daa7d5380261ec050e00,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_26283099ba7e400b8801e1d8,true
WCM-9c357c9605b1dd4b42722c3d,initial_4726_source_pipeline,WCRS-263484e8690b2d458b2badc0,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_2674ed65bf442095b28bae00,true
WCM-55a8c048a71f263e269546d2,initial_4726_source_pipeline,WCRS-0cbdba2560f831f1d0203a9d,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_26e575c8dcd7173590c4b957,true
WCM-eed66d3f6ac9a5de481ad165,initial_4726_source_pipeline,WCRS-b2e4adeee5a2e0230e0a8038,,,remains_unclear,retroactivity_implementation,moderate,mechanism_only,lobs_26e95bee6ffcb4a0d8855e40,true
WCM-604c3f888755739f67b37c53,initial_4726_source_pipeline,WCRS-a2a389eda871ac2b9c77d34c,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_275ae8c2e7fd393d0a2f5999,true
WCM-9ea2abdfb7ea37028a1c62f8,initial_4726_source_pipeline,WCRS-ebf2291be35a5dc606ba62f3,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_279285820a4d0b101bd68120,true
WCM-d91b055477c3907286b2035f,initial_4726_source_pipeline,WCRS-7fff3e0f727eb387903d3a52,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_27da8538b8c5eac3a2a38a2d,true
WCM-b00552ffb0b0f85643db9ce9,initial_4726_source_pipeline,WCRS-5040c29a4697c476ffca98aa,,,remains_unclear,base_wage_direct_value,weak,mechanism_only,lobs_28212095d51b70f3190e8f49,true
WCM-9131fc17968f028fa47664f6,initial_4726_source_pipeline,WCRS-cceefe1efd18571e6d81eb56,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2839fd2291e5fba18eefa4c0,true
WCM-8af1b31f4d81f5bcd74b8238,initial_4726_source_pipeline,WCRS-e21cadfa8446147f42d732e8,,,remains_unclear,market_recruitment_retention,moderate,mechanism_only,lobs_28a619e1243f82e38e5bc4f2,true
WCM-1cf69194907f4bebb3664e48,initial_4726_source_pipeline,WCRS-8aa130481b6e3f8776c35b1c,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_28c7ce0c59b41e337c47283a,true
WCM-3ea37774673a8fcac9172112,initial_4726_source_pipeline,WCRS-d60238a01247022c905ee164,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_29bb0fb351222567c446af2f,true
WCM-b00f693232d8a3e98c17d326,initial_4726_source_pipeline,WCRS-366fa0db0c7935114e1d21e7,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_29c68477fc087f0fe195908c,true
WCM-8e262534647d4ef52d544dff,initial_4726_source_pipeline,WCRS-d6b01f1926c8fc127400912f,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_29cffb2730f0f7e4e9210da8,true
WCM-c95f6d5edfff5e96bc2fae34,initial_4726_source_pipeline,WCRS-e6c525477ce012f147a9fcac,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_29e5b2e0544b49a0acd24502,true
WCM-a7c1ca4aaf2464d6bd02c394,initial_4726_source_pipeline,WCRS-9127e3836c3b3a4a676e8a6d,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2a3bea02e80b407de441041a,true
WCM-7413de50972789631c0a4538,initial_4726_source_pipeline,WCRS-82930e09ff6837538c6eeff0,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_2ace8f053e2982f93a39a31c,true
WCM-a928b0e5c7673f47eefce124,initial_4726_source_pipeline,WCRS-7b5f549883853d83a202f642,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_2b3c862a93ee204c36ee53e6,true
WCM-d519fed74d880754967f6208,initial_4726_source_pipeline,WCRS-303de59431b991e373be7004,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2b49e374feadd5cbda493015,true
WCM-3a8b954014a853c3d3c5a16e,initial_4726_source_pipeline,WCRS-98ffb6c0a450cade88b18965,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_2c0dc8954a7f816503e8bd38,true
WCM-f45a638eeba60f4b76d37a1f,initial_4726_source_pipeline,WCRS-360296f2544f22a2edc096d0,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2c4fe911e49d92d55ee9c5c1,true
WCM-0aa3e8e2cb41cb3600c1c72e,initial_4726_source_pipeline,WCRS-c3a7cb4c4c65aa340d10ede2,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_2c61d48fabd207ac0fde9ebd,true
WCM-05330ba291adf320a7ea4b19,initial_4726_source_pipeline,WCRS-ed50936835b13c45c5019c09,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2c9ee96903e3a87d9a0149eb,true
WCM-3ae4cb244fd5eaf76d90d548,initial_4726_source_pipeline,WCRS-85fce0858dd8850890c64736,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_2d0d74557a4fa18b07187136,true
WCM-b53a1a25f8e5dea53fcc8738,initial_4726_source_pipeline,WCRS-2c47b097c5dfcf1695fc85b1,,,remains_unclear,retroactivity_implementation,moderate,mechanism_only,lobs_2d2c0c6b5ba0afd03d0df102,true
WCM-2b24dd79cd5ecd9007fa931b,initial_4726_source_pipeline,WCRS-834d9d670a35770dcd84a530,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2d75e2647fe72a0255be3171,true
WCM-cd7ae236a296ccd06943c20d,initial_4726_source_pipeline,WCRS-3d1babd44195e6a882be648d,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_2d9afcd37b81c60586893cbb,true
WCM-18134bd040dfafa09626d65c,initial_4726_source_pipeline,WCRS-9b9319e2af2eaabb1ed4a30d,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2e1b80e6a5545bd3408ff66d,true
WCM-ea0ab43c9ad62844f63c01e7,initial_4726_source_pipeline,WCRS-ebbfc4b384eb53ba6a431065,,,remains_unclear,collective_bargaining,moderate,mechanism_only,lobs_2e344f5681c01d3d0c8d06ab,true
WCM-933dc71e15632eba363a13a9,initial_4726_source_pipeline,WCRS-b3e87cce50e4eeff19970793,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_2f02488c9320af9a78933fa7,true
WCM-8f58b169b1731e1b6a9ba108,initial_4726_source_pipeline,WCRS-c445f43d697113bdbc2417f5,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_2f038cd732506dff8e6167a1,true
WCM-938e7d6b6f3fe800819fb916,initial_4726_source_pipeline,WCRS-8960ee5230d87e9ecbad1788,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_2f1e404f178dea58246ccac6,true
WCM-1ff61bbeb2c7ed364e7c7eaa,initial_4726_source_pipeline,WCRS-6176c8ed464e7a33270ecaf4,,,remains_unclear,budget_fiscal_constraint,weak,mechanism_only,lobs_2f215c16f89e2da52e92e3eb,true
WCM-394f29f435249cd71a38f79c,initial_4726_source_pipeline,WCRS-1642b42678dfe7d56a1f2e95,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2f504053a6dfdc81d4de135d,true
WCM-d8eab8eb1434b3e60b7a5a20,initial_4726_source_pipeline,WCRS-24f2da384f3634061a2704d9,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_2f5537f15cd5303a8e0d06ee,true
WCM-8124d501983ae6b158cce129,initial_4726_source_pipeline,WCRS-90cf0ca8b9934922fcebbbea,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_30accc6cdc19d75ec00d37fb,true
WCM-d0168a64de4f18f7f2c53718,initial_4726_source_pipeline,WCRS-a1b50845776ca267d6fc8df3,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_30ee0fd5877146507daca338,true
WCM-fdc353a562d6ee248b4dd3cc,initial_4726_source_pipeline,WCRS-3e7d91f5fc13576448c5bc57,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_3232855663389a176dfe533e,true
WCM-9821ce36053463ada140c2f9,initial_4726_source_pipeline,WCRS-7167e506222e2dd0e19b651e,,,remains_unclear,base_wage_direct_value,moderate,mechanism_only,lobs_323971bf7ffcee0473442d36,true
WCM-aa0dd5b538fc827789d127b9,initial_4726_source_pipeline,WCRS-55bf61175c5c417172e4ce78,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_32463629689eb34ceed27c81,true
WCM-7d5cc74979d0a4212a75663d,initial_4726_source_pipeline,WCRS-e4523c6c3459a0629b221ad5,,,remains_unclear,budget_fiscal_constraint,moderate,mechanism_only,lobs_32f4b0507726aca27fb322ce,true
WCM-3d1e084f5d8289750f3c7ef9,initial_4726_source_pipeline,WCRS-d1913bc3ef362128f765e70c,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_330395c8bbbaa6c50a314271,true
WCM-87dbc6280c88285df5229e1f,initial_4726_source_pipeline,WCRS-7e55491e315843757f089942,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_33e718fcd3de418ad213c676,true
WCM-8ada76a11a3188879f225042,initial_4726_source_pipeline,WCRS-a35750e74115f950093011b5,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_35263ebbc49eda893cd9d828,true
WCM-643f48ad5a1b20e8cc20d83a,initial_4726_source_pipeline,WCRS-dab9eb00f170b5011d0ac240,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_354d6dd4076dd9c8509fc4b9,true
WCM-8faf4aebcb3283c743773e82,initial_4726_source_pipeline,WCRS-0c32cddcf5c174f0fb9e998e,,,remains_unclear,base_wage_direct_value,weak,mechanism_only,lobs_359797a1f95444df0f34d9fb,true
WCM-ac94188b3fcb450f6e7358bc,initial_4726_source_pipeline,WCRS-1dca7e07b6a9222556b91429,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_35f439b4b55311bc3a6df3fb,true
WCM-2cf699ded5a0ef630df78cca,initial_4726_source_pipeline,WCRS-042585b940cad912bcb5e79e,,,remains_unclear,non_base_compensation,moderate,mechanism_only,lobs_3615ffb918f4da29293b4fe2,true
WCM-023f54d107727d23898bc3de,initial_4726_source_pipeline,WCRS-1230855501281e6d89b3d3d1,,,remains_unclear,retroactivity_implementation,weak,mechanism_only,lobs_36243f31a8b46cf453f9f282,true
WCM-e60dc13dc880fa320fb96bb8,initial_4726_source_pipeline,WCRS-46b99cfd05ad983ce5e6a418,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_36b39fbc5f98ee94b6d9cd7a,true
WCM-e2e9fdb922b73014df2a3d5c,initial_4726_source_pipeline,WCRS-f2371f3f507acedfbb2f6676,,,remains_unclear,weak_or_no_claim_support,weak,claim_ready,lobs_370300097ce6175d754abf21,true
WCM-7018455c429ce5487f63d2f2,initial_4726_source_pipeline,WCRS-2ca2103dd609241c71eda748,,,remains_unclear,cola_cpi_indexing,moderate,mechanism_only,lobs_372c3c32ccd2d5e935a1e405,true
