candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verified_municipality,verified_state,verified_region,verified_unit_type,verified_source_family,verified_contract_or_document_period,locator_accessibility_status,verification_timestamp,candidate_only_lineage_status
TS4L-0f354a5935bad3aee436,lane_1,tier_c,verification_ready_medium,137,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://cms.tacoma.gov/HR/Collective_Bargaining_Agreements/2013-2016_120_General_final_signed.pdf,2013-2016 Agreement by and between (Tacoma) - General (Final signed) (PDF),Tacoma,WA,West,non_safety_comparator,City of Tacoma general bargaining unit (non-public-safety comparator lead),General bargaining unit (identifier indicates 'General'),"January 1, 2013 to December 31, 2016 (includes 2015-2016)",2015-01-01,2016-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Tacoma match,Overlaps expected period (2015-2016),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Tacoma,WA,West,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"January 1, 2013 to December 31, 2016 (includes 2015-2016)",head_http_200,2026-07-27T12:58:39Z,verified_source_lead_not_downloaded
TS4L-11df7e4f45e8553b14ae,lane_1,tier_c,verification_ready_medium,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/1820/Asd/30a8fa75-fd8b-40b6-b243-9eb0473d5cc8/Teacher_s_CBA_from_9-1-2021_to_August_31_2023.pdf?disposition=inline,Teacher’s CBA (Independent School District No. 10 of Anaconda-Deer Lodge County) — PDF,Anaconda-Deer Lodge County,MT,West,non_safety_comparator,Classroom Teachers / Teacher bargaining unit,Anaconda Teachers Union (Local 502) (as stated in document),From 9/1/2021 to 8/31/2023 (as indicated by file title),2021-09-01,2023-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_expected,overlaps_with_2021-2023_classified_lead_expected,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Anaconda-Deer Lodge County,MT,West,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,From 9/1/2021 to 8/31/2023 (as indicated by file title),head_http_200,2026-07-27T12:58:35Z,verified_source_lead_not_downloaded
TS4L-13011dee35fe595fb7b4,lane_1,tier_c,verification_ready_medium,137,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/FF/IAFF%202251%20Battalion%20Chiefs.pdf,"IAFF 2251 Battalion Chiefs (Collective Bargaining Agreement) — Carson City (Effective from July 1, 2023 through June 30, 2027)",Carson,NV,West,non_safety_comparator,Fire Department supervisory (Battalion Chiefs),"Carson City Fire Fighters Association, Local #2251 of the International Association of Fire Fighters (IAFF) — Battalion Chiefs supervisory unit (as titled)","July 1, 2023 through June 30, 2027",2023-07-01,2027-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same_city (Carson City, NV)",exact match to expected period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Carson,NV,West,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"July 1, 2023 through June 30, 2027",head_http_200,2026-07-27T12:58:39Z,verified_source_lead_not_downloaded
TS4L-14b7a45e94724ad1cbbe,lane_1,tier_c,verification_ready_medium,143,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://dspace.njstatelib.org/items/6204e48c-2092-442c-bc63-74b3b768b9e9,"July 1, 2011 - June 30, 2015 Administrative/Clerical Unit, Professional Unit, Primary Supervisory Unit, Higher Level Supervisory Unit",Newark,NJ,Northeast,non_safety_comparator,Administrative/Clerical (plus other non-safety units listed in title),Administrative/Clerical Unit (as titled),"July 1, 2011 - June 30, 2015",2013,2015,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Potential same-city lead (Newark, NJ; unit identified via NJ State Library repository record)",Overlaps expected period (2013-2015 within 2011-2015 span),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Newark,NJ,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"July 1, 2011 - June 30, 2015",head_http_200,2026-07-27T12:58:10Z,verified_source_lead_not_downloaded
TS4L-15f87c90310db48bb036,lane_1,tier_c,verification_ready_medium,147,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.chestercity.com/wp-content/uploads/2020/08/ChesterReceiverRecoveryPlan_FINAL_20200820.pdf,"Chester Receiver Recovery Plan (Chester, PA) — FRP/Recovery Plan PDF (includes bargaining-unit expirations and referenced union CBAs)",Chester,PA,Northeast,non_safety_comparator,City employees (union bargaining units referenced; non-safety units may be included depending on listing),Fraternal Order of Police (FOP) and Firefighters Local 1400 referenced; other bargaining units may be listed in the plan,"Recovery plan document (published/dated 2020-08-20) referencing prior/expiring agreements (e.g., FOP/Firefighters expire 12/31/2016 as noted in the document excerpt)",,2016-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Same city (Chester, PA) — referenced municipal union agreements",Overlaps expected 2014-2024 window via referenced expirations and continuity context (document references agreements tied to 2016),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Chester,PA,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Recovery plan document (published/dated 2020-08-20) referencing prior/expiring agreements (e.g., FOP/Firefighters expire 12/31/2016 as noted in the document excerpt)",head_http_200,2026-07-27T12:57:43Z,verified_source_lead_not_downloaded
TS4L-17f61520f8305d89ab1d,lane_1,tier_c,verification_ready_medium,140,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://lbft.nj.aft.org/collective-bargaining-agreement-19,"LONG BRANCH FEDERATION of TEACHERS (LBFT, NJ AFT) — Collective Bargaining Agreement",Long Branch,NJ,Northeast,non_safety_comparator,Teachers,Long Branch Federation of Teachers (LBFT),2023-2026,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Yes (Long Branch, NJ)","Unclear from search snippet (needs period確認 in document metadata/content, not performed here)",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Long Branch,NJ,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2023-2026,head_http_200,2026-07-27T12:58:34Z,verified_source_lead_not_downloaded
TS4L-1912acc0162402646dd3,lane_1,tier_c,verification_ready_medium,137,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://cms.cityoftacoma.org/CBA/Collective_Bargaining_Agreements/JLC_2015_2016_Final_signed.pdf,2015-2016 Collective Bargaining Agreement (Tacoma Joint Labor Committee) - Final signed (PDF),Tacoma,WA,West,non_safety_comparator,City of Tacoma represented employees (Joint Labor Committee; non-public-safety comparator lead),Joint Labor Committee of Tacoma (JLC) - member unions (common terms),"January 1, 2015 to December 31, 2016",2015-01-01,2016-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Tacoma match,Overlaps expected period (2015-2016),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Tacoma,WA,West,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"January 1, 2015 to December 31, 2016",head_http_200,2026-07-27T12:58:41Z,verified_source_lead_not_downloaded
TS4L-1fa0df5acd3f57e78df3,lane_1,tier_c,verification_ready_medium,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2022/22-MED-04-0419.pdf,"SERB MOU/Agreement PDF: City of Brookville, Ohio and Ohio Patrolmen's Benevolent Association (file dated 07/25/2022)",Brookville,OH,Midwest,non_safety_comparator,Police patrol officers (bargaining unit context referenced in lead metadata),Brookville Bargaining Unit (Ohio Patrolmen's Benevolent Association),Document dated 07/25/2022; effective/term dates not confirmed in lead metadata,2022-01-01,2022-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,unknown_overlap_with_expected_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Brookville,OH,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,Document dated 07/25/2022; effective/term dates not confirmed in lead metadata,head_http_200,2026-07-27T12:58:32Z,verified_source_lead_not_downloaded
TS4L-211fdcf6f6c4860e4049,lane_1,tier_c,verification_ready_medium,142,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.ramseynj.com/AgendaCenter/ViewFile/Agenda/_04232025-1939,"Ramsey Borough (AgendaCenter) – Resolution/approval of Collective Bargaining Agreement for Non-Supervisory Employees Group (period Jan 1, 2024–Dec 31, 2025)",Ramsey,NJ,Northeast,non_safety_comparator,Non-supervisory employees (union group not specified in snippet),Non-Supervisory Employees Group (per agenda snippet),"January 1, 2024 through December 31, 2025",2024-01-01,2025-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_expected,overlaps_target_period_(2022-01-01_to_2026-12-31),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Ramsey,NJ,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"January 1, 2024 through December 31, 2025",head_http_200,2026-07-27T12:58:13Z,verified_source_lead_not_downloaded
TS4L-2180f325dfca28ec355a,lane_1,tier_c,verification_ready_medium,147,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://resources.finalsite.net/images/v1717607175/scasdorg/wvd30vmf0qzxjoulzw8e/SCESPA_20232028.pdf,"SCESPA Collective Bargaining Agreement (Secretarial/Clerical & Paraprofessional Employees), July 1, 2023 – June 30, 2028",State College,PA,Northeast,non_safety_comparator,Secretarial/Clerical & Paraprofessional employees,State College Educational Support Personnel Association (SCESPA),07/01/2023 - 06/30/2028,2023-07-01,2028-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_2014_2024_window,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,State College,PA,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,07/01/2023 - 06/30/2028,head_http_200,2026-07-27T12:57:43Z,verified_source_lead_not_downloaded
TS4L-22a60e21a312b77db18c,lane_1,tier_c,verification_ready_medium,136,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://mccmeetingspublic.blob.core.usgovcloudapi.net/groptwdsmi-meet-70d62fe6908a43718d9d2f97ad761d02/ITEM-Attachment-001-5ba1e206af464176a09b0acf3b527789.pdf,"CITY OF GROSSE POINTE WOODS (Attachment) — four (4) year contract, July 1, 2022 through June 30, 2026",Grosse Pointe Woods,MI,Midwest,non_safety_comparator,Unknown from locator/snippet (requires unit confirmation at source),Unknown from locator/snippet (requires unit confirmation at source),"Four (4) year contract: July 1, 2022 through June 30, 2026",2022-07-01,2026-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same city (Grosse Pointe Woods, MI)","exact overlap with target cycle (July 1, 2022–June 30, 2026)",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Grosse Pointe Woods,MI,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Four (4) year contract: July 1, 2022 through June 30, 2026",head_http_200,2026-07-27T12:59:00Z,verified_source_lead_not_downloaded
TS4L-2989e9a3654a49a8b811,lane_1,tier_c,verification_ready_medium,144,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://resources.finalsite.net/images/v1717607190/scasdorg/nw3yha8krrqw4riy0xhv/AFSCME_Contract_Bus_Driver_2022_2027_FINAL.pdf,"AFSCME Contract (Bus Drivers), 2022 – 2027",State College,PA,Northeast,non_safety_comparator,Bus drivers / transportation operations,AFSCME (bus drivers unit),2022 - 2027,2022-01-01,2027-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_2014_2024_window,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,State College,PA,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2022 - 2027,head_http_200,2026-07-27T12:58:09Z,verified_source_lead_not_downloaded
TS4L-2ccd244d025dee4872f6,lane_1,tier_c,verification_ready_medium,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-CON-02-1696.pdf,"SERB Contract PDF: Agreement between the Brookville School Employees’ Association and the Brookville Board of Education (July 1, 2020 through June 30, 2023)",Brookville,OH,Midwest,non_safety_comparator,School employees (bargaining unit not further specified in lead metadata),Brookville School Employees’ Association,"July 1, 2020 through June 30, 2023 (overlaps Jan 1, 2021 through June 30, 2022)",2021-01-01,2022-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_expected_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Brookville,OH,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"July 1, 2020 through June 30, 2023 (overlaps Jan 1, 2021 through June 30, 2022)",head_http_200,2026-07-27T12:58:32Z,verified_source_lead_not_downloaded
TS4L-2ce3bd0126525bebf59c,lane_1,tier_c,verification_ready_medium,144,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://werc.wi.gov/interest_awards/int_pre-99_vol_2_of_2/int25933.pdf,"Edgerton Education Support Staff, INT/ARB-4975, Decision No. 25933-A (WERC) (PDF)",Edgerton,WI,Midwest,non_safety_comparator,education support staff,Edgerton Education Support Staff / Edgerton School District,"Contract term stated in document (run from July 1, 1988 through June 30, 1999).",1988-07-01,1999-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city (Edgerton, WI) comparator lead",overlaps target interest-award timeframe (1989) based on document contract term,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Edgerton,WI,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Contract term stated in document (run from July 1, 1988 through June 30, 1999).",head_http_200,2026-07-27T12:58:10Z,verified_source_lead_not_downloaded
