state,municipality,unit_type,contract_or_document_period,download_queue_rows,retained_sources,coverage_status
GA,Covington,safety_and_non_safety_compensation_units,2015 (personnel policy compilation),1,0,no_retained_source_in_tier_c
GA,Decatur,non_safety_municipal_units,2018-2019,1,0,no_retained_source_in_tier_c
GA,Forest Park,non_safety_municipal_units,2014-2024 target window,1,0,no_retained_source_in_tier_c
GA,Holly Springs,non_safety_municipal_units,FY2016 budget,1,1,retained_source_not_ingested
GA,Kingsland,non_safety_municipal_units,Fiscal Year 2013-14 budget adoption (City budget report labeled FY2014),1,1,retained_source_not_ingested
GA,Kingsland,non_safety_municipal_units,Fiscal Year 2015-16 budget cycle (document labeled FY2016),1,1,retained_source_not_ingested
GA,Kingsland,non_safety_municipal_units,Fiscal Year 2023-24 budget cycle (document labeled FY2024),1,0,no_retained_source_in_tier_c
GA,Marietta,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,retained_source_not_ingested
GA,Marietta,safety_and_non_safety_bargaining_units,2018 (article date),1,1,retained_source_not_ingested
GA,St. Marys,non_safety_municipal_units,FY2018 budget document,1,1,retained_source_not_ingested
GA,Sugar Hill,non_safety_municipal_units,Fiscal Year 2014 budget,1,1,retained_source_not_ingested
GA,Sugar Hill,non_safety_municipal_units,Fiscal Year 2019 budget,1,1,retained_source_not_ingested
GA,Villa Rica,non_safety_municipal_units,2024-08-20 (meeting packet date in filename),1,1,retained_source_not_ingested
ID,Boise City,non_safety_comparator,"October 1, 2022 through September 30, 2026",1,1,retained_source_not_ingested
IL,Algonquin,safety_and_non_safety_bargaining_units,"May 1, 2018 – April 30, 2022",1,1,retained_source_not_ingested
IL,Algonquin,safety_and_non_safety_bargaining_units,"May 1, 2021 – April 30, 2025",1,1,retained_source_not_ingested
IL,Capital,safety_and_non_safety_bargaining_units,"Issued Feb 24, 2020 (interest arbitration award within 2014-2024 window)",1,1,retained_source_not_ingested
IL,Cicero,non_safety_comparator,"July 1, 2019 - June 30, 2024",1,1,retained_source_not_ingested
IL,Downers Grove,safety_and_non_safety_bargaining_units,2024-2027,1,0,no_retained_source_in_tier_c
IL,Downers Grove,safety_and_non_safety_bargaining_units,May 2023 - April 2026,1,1,retained_source_not_ingested
IL,Edwardsville,safety_and_non_safety_bargaining_units,2024-2027 (listed on page),1,1,retained_source_not_ingested
IL,Hanover,safety_and_non_safety_bargaining_units,2015-2017,1,1,retained_source_not_ingested
IL,Hanover,safety_and_non_safety_bargaining_units,2017-2021,1,1,retained_source_not_ingested
IL,Hanover,safety_and_non_safety_bargaining_units,2022-2025 (per hosted agreement title block),1,1,retained_source_not_ingested
IL,Lake Villa,safety_and_non_safety_bargaining_units,2016 (10-month bargaining failure context; strike called off after this period),1,0,no_retained_source_in_tier_c
IL,Lansing,non_safety_comparator,Effective: 5/1/2021 through 4/30/2025 (auto-renewal language year-to-year unless modified),1,1,retained_source_not_ingested
IL,Lockport,safety_and_non_safety_bargaining_units,2019-2023,1,1,retained_source_not_ingested
IL,Mattoon,non_safety_comparator,"2022/2023 Compensation Plan (effective May 1, 2022 per ordinance text)",1,1,retained_source_not_ingested
IL,Mokena,non_safety_municipal_units,FY 2013/2014 budget materials (FY14Budget.pdf; within 2014 target window),1,1,retained_source_not_ingested
IL,Mount Prospect,non_safety_comparator,2024–2029 (PDF labeled as MPESPA CBA 2024–2029),1,1,retained_source_not_ingested
IL,Naperville,safety_and_non_safety_bargaining_units,"January 1, 2021 – December 31, 2025",1,1,retained_source_not_ingested
IL,Naperville,safety_and_non_safety_bargaining_units,"Retroactive term to January 1, 2021 – December 31, 2025",1,1,retained_source_not_ingested
IL,Park Ridge,non_safety_comparator,"July 19, 2024 through November 15, 2027",1,1,retained_source_not_ingested
IL,Park Ridge,non_safety_comparator,"May 1, 2023 to April 30, 2027 (per document title/coverage)",1,1,retained_source_not_ingested
IL,St. Clair,safety_and_non_safety_bargaining_units,2016 arbitration award (exact effective start/end not captured in lead snippet),1,1,retained_source_not_ingested
IL,Thornton,safety_and_non_safety_bargaining_units,"May 1, 2024 through April 30, 2026",1,1,retained_source_not_ingested
IL,Zion,non_safety_municipal_units,2021–2024 (document title; specific start/end dates need confirmation within the CBA),1,1,retained_source_not_ingested
IL,Zion,non_safety_municipal_units,Fiscal year 2019–2020 referenced for compensation-related adjustments (MOU/addendum context),1,1,retained_source_not_ingested
IL,Zion,non_safety_municipal_units,"May 1, 2018 through April 30, 2021 (referenced in minutes)",1,1,retained_source_not_ingested
IN,Centre,safety_and_non_safety_compensation_units,2021 Budget Order (Amended),1,1,retained_source_not_ingested
IN,Logansport,non_safety_municipal_units,2023,1,1,retained_source_not_ingested
IN,New Albany,safety_and_non_safety_bargaining_units,2022-04-19 grievance hearing (minutes document; contract period not specified in lead),1,0,no_retained_source_in_tier_c
IN,New Albany,safety_and_non_safety_bargaining_units,2024-09-19 council packet (budget packet; arbitration award period not specified in lead),1,0,no_retained_source_in_tier_c
KY,Fort Thomas,safety_and_non_safety_compensation_units,Ordinance O-03-2024 (described as 24/25 Pay Classification Plan in minutes),1,1,retained_source_not_ingested
KY,Fort Thomas,safety_and_non_safety_compensation_units,"Ordinance O-05-2024 (effective on September 1, 2024 per document snippet)",1,1,retained_source_not_ingested
KY,Fort Thomas,safety_and_non_safety_compensation_units,Ordinance O-08-2017 (2017-2018 Fiscal Year per snippet),1,1,retained_source_not_ingested
KY,Mount Washington,non_safety_municipal_units,2014-2024 target window,1,1,retained_source_not_ingested
KY,Mount Washington,non_safety_municipal_units,"Fiscal Year July 1, 2024 through June 30, 2025",1,1,retained_source_not_ingested
KY,Shepherdsville,safety_and_non_safety_compensation_units,"Term beginning July 1, 2023; ending June 30, 2025 (within expected 2014-2024 window overlap via July 1, 2023 portion)",1,1,retained_source_not_ingested
LA,Hammond,non_safety_comparator,"Fiscal Year 2006/07; pay grid effective July 1, 2006",1,0,no_retained_source_in_tier_c
MA,Arlington,non_safety_comparator,"July 1, 2018 — June 30, 2021",1,1,retained_source_not_ingested
MA,Braintree Town,non_safety_comparator,"Issued January 20, 2016 (CBA referenced; full contract term not reproduced in lead snippet)",1,1,retained_source_not_ingested
MA,Braintree Town,non_safety_comparator,"Narrative references contract negotiations and “On January 20, 2016, the arbitrator issued his award” (full CBA/MOA period not reproduced in snippet)",1,1,retained_source_not_ingested
MA,Brookline,safety_and_non_safety_bargaining_units,2016–2019 (successor agreement period per document title),1,1,retained_source_not_ingested
MA,Brookline,safety_and_non_safety_bargaining_units,"Effective July 1, 2021 through June 30, 2024",1,1,retained_source_not_ingested
MA,Danvers,safety_and_non_safety_bargaining_units,Not stated in lead listing (source appears to be a multi-year/continuing fiscal-year contract; target window inferred),1,1,retained_source_not_ingested
MA,Dartmouth,safety_and_non_safety_bargaining_units,"April 6, 2015 (as indicated by related case identifier listing on referenced index page; exact award period not provided in lead)",1,1,retained_source_not_ingested
MA,Dracut,safety_and_non_safety_bargaining_units,2014-2024 target window,2,2,retained_source_not_ingested
MA,Easton,non_safety_municipal_units,2018-07-01 to 2021-06-30,1,1,retained_source_not_ingested
MA,Fall River,non_safety_comparator,multiple (site lists current/prior agreements),1,1,retained_source_not_ingested
MA,Foxborough,non_safety_municipal_units,"Contract dated July 1, 2021 to June 30, 2022 (referenced in Annual Town Meeting articles)",1,0,no_retained_source_in_tier_c
MA,Foxborough,non_safety_municipal_units,"Referenced fiscal years 2023, 2024, 2025 (DPW contract cost items)",1,0,no_retained_source_in_tier_c
MA,Georgetown,non_safety_comparator,2015–2018 (document appears as “2015-2018 Georgetown CBA - Draft” per locator context),1,1,retained_source_not_ingested
MA,Holliston,safety_and_non_safety_compensation_units,"July 1, 2014 to June 30, 2017",1,1,retained_source_not_ingested
MA,Mashpee,safety_and_non_safety_compensation_units,"Police Unit B Sergeants MOA series shown as 2014-2017, 2017-2020, 2020-2023, with later MOAs through 2023-2026; page also lists DPW Unit B Contract 2023-2026 and other salary-table periods (page aggregation)",1,1,retained_source_not_ingested
MA,Middleborough,non_safety_municipal_units,2021-2024,3,3,retained_source_not_ingested
MA,Rehoboth,safety_and_non_safety_compensation_units,FY24-FY26 for Dispatchers funding (w/ FY24 retro); FY25 first year funding of a 3-year agreement for Patrolmen/Superior Officers,1,1,retained_source_not_ingested
MA,Somerville,non_safety_comparator,"July 1, 2010 – June 30, 2013",1,1,retained_source_not_ingested
MA,Worcester,non_safety_comparator,"July 1, 2017 - June 30, 2020",2,2,retained_source_not_ingested
ME,Augusta,non_safety_comparator,"July 1, 2022–June 30, 2025 (duration clause requires verification in full document)",1,1,retained_source_not_ingested
ME,Brewer,non_safety_comparator,"2021-2024 (expires June 30, 2024)",1,1,retained_source_not_ingested
ME,Portland,non_safety_comparator,PAE Contract listed as 2025-2028 (district bargaining calendar),1,0,no_retained_source_in_tier_c
ME,Scarborough,non_safety_municipal_units,2014-2024 target window,2,1,retained_source_not_ingested
ME,Scarborough,non_safety_municipal_units,Three-year contract (ratified in late 2021; pay mechanism described as 2.5% wage increase every other year),1,0,no_retained_source_in_tier_c
MI,Antwerp,safety_and_non_safety_compensation_units,Document indicates 2022 (CVTRS-2022); specific payroll-year coverage not confirmed,1,1,retained_source_not_ingested
MI,Brownstown charter,safety_and_non_safety_bargaining_units,Effective Date: 01-01-2023 (successor); Expiration Date: 12-31-2022 shown in MERC packet summary,1,0,no_retained_source_in_tier_c
MI,Clinton charter,safety_and_non_safety_bargaining_units,2016-2021 (expires/term appears within title/filename),1,1,retained_source_not_ingested
MI,Coldwater,non_safety_comparator,"Effective July 1, 2024 – June 30, 2027",1,1,retained_source_not_ingested
MI,Comstock charter,safety_and_non_safety_compensation_units,2021-01-01 through 2021-12-31 (agreement term language) + referenced rate schedule Exhibit I,1,1,retained_source_not_ingested
MI,Delta charter,safety_and_non_safety_bargaining_units,2022 (CBA; effective/expiration not extracted),1,1,retained_source_not_ingested
MI,Delta charter,safety_and_non_safety_bargaining_units,Memorandum of Understanding 2022-2 (effective Feb. 2022; end date not extracted),1,1,retained_source_not_ingested
MI,Delta charter,safety_and_non_safety_bargaining_units,Tentative Agreement (08-11-2023 date appears in packet; full effective/expiration not extracted),1,0,no_retained_source_in_tier_c
MI,Eastpointe,non_safety_comparator,"Effective July 1, 2023 through June 30, 2026",1,1,retained_source_not_ingested
MI,Grand Blanc charter,safety_and_non_safety_bargaining_units,Case dated 2016 (CU14 C-020; docket references 14-006843-MERC),1,0,no_retained_source_in_tier_c
MI,Grand Blanc charter,safety_and_non_safety_bargaining_units,Case dated 2016 (CU16 C-012; docket 16-005998-MERC),1,0,no_retained_source_in_tier_c
MI,Grosse Pointe Woods,non_safety_comparator,"Four (4) year contract: July 1, 2022 through June 30, 2026",1,1,retained_source_not_ingested
MI,Independence charter,safety_and_non_safety_bargaining_units,"Decision and Order issued December 17, 2021 (representation petition context)",1,0,no_retained_source_in_tier_c
MI,Meridian charter,safety_and_non_safety_bargaining_units,2014-2016 (as referenced in board minutes),1,1,retained_source_not_ingested
MI,Northville,safety_and_non_safety_bargaining_units,Includes references to IAFF CBA expiration on 2016-03-31; TPOAM CBA expiration on 2018-12-31; Teamsters CBA expiration on 2018-12-31,1,1,retained_source_not_ingested
MI,Oxford charter,non_safety_municipal_units,"Adopted March 11, 2014 (with later updates noted)",1,1,retained_source_not_ingested
MI,Plainfield charter,safety_and_non_safety_bargaining_units,"January 1, 2022 to December 31, 2026",1,1,retained_source_not_ingested
MI,Portage,non_safety_comparator,"Effective July 1, 2024 through June 30, 2027",1,1,retained_source_not_ingested
MI,White Lake charter,safety_and_non_safety_bargaining_units,"January 1, 2022 through December 31, 2026",1,1,retained_source_not_ingested
MN,Anoka,non_safety_comparator,Operative period unclear from lead snippet; file name shows 12-31-2026; earlier 2022–2024 cycle referenced by related city materials,1,1,retained_source_not_ingested
MN,Brainerd,non_safety_comparator,"1/1/2025 to 12/31/2027 (wages sections include 2025, 2026, 2027)",1,1,retained_source_not_ingested
MN,Brainerd,non_safety_comparator,"successor labor agreement 1/1/2025–12/31/2027 (wage provisions referenced for 1/1/25, 7/1/25, 1/1/26, 1/1/27)",1,1,retained_source_not_ingested
MN,Eden Prairie,non_safety_comparator,"Effective July 1, 2023 through June 30, 2025",1,1,retained_source_not_ingested
MO,Belton,non_safety_comparator,2024-2025,1,0,no_retained_source_in_tier_c
MO,Gladstone,non_safety_comparator,2023-2026,1,1,retained_source_not_ingested
MO,Lee's Summit,non_safety_comparator,2022-2025 (with contingent alignment through 2026 suggested by target window),1,1,retained_source_not_ingested
MO,Wentzville,non_safety_comparator,"Effective October 28, 2016 (contract period/duration not established from search snippet)",1,1,retained_source_not_ingested
MT,Anaconda-Deer Lodge County,non_safety_comparator,"August 1, 2021 through July 31, 2023",1,1,retained_source_not_ingested
MT,Anaconda-Deer Lodge County,non_safety_comparator,From 9/1/2021 to 8/31/2023 (as indicated by file title),1,1,retained_source_not_ingested
MT,Anaconda-Deer Lodge County,non_safety_comparator,"Not explicitly confirmed from snippet (document appears dated/entered May 24, 2022)",1,1,retained_source_not_ingested
NC,Elizabeth City,non_safety_municipal_units,Revision PDF (published/posted within last ~1.1 years per search snippet; no explicit FY stated in lead),1,1,retained_source_not_ingested
NC,Elizabeth City,non_safety_municipal_units,Updated/posted 2025-06-23 (manual); pay plan administration language present,1,1,retained_source_not_ingested
NC,Havelock,safety_and_non_safety_compensation_units,FY 2014-2015,1,1,retained_source_not_ingested
NC,Havelock,safety_and_non_safety_compensation_units,FY 2020-2021,1,1,retained_source_not_ingested
NC,Henderson,safety_and_non_safety_compensation_units,"FY 2018-2019 (with Public Safety Pay Schedule Phase Five, FY2019)",1,1,retained_source_not_ingested
NC,Henderson,safety_and_non_safety_compensation_units,FY 2024 (with pay schedule revision effective 7/1/23),1,1,retained_source_not_ingested
NC,Henderson,safety_and_non_safety_compensation_units,FY 2025 (contains Public Safety Schedule revised 7/1/23 which falls within target window boundary),1,1,retained_source_not_ingested
NC,Hendersonville,safety_and_non_safety_compensation_units,FY22-23 (budget adopted for the fiscal year),1,1,retained_source_not_ingested
NC,Hope Mills,non_safety_municipal_units,2014-2024 (collection page pointing to multiple adopted budget PDFs),1,1,retained_source_not_ingested
NC,Knightdale,non_safety_municipal_units,FY2025 (Limited Service Position Classification Plan; Effective 07/01/2024),1,1,retained_source_not_ingested
NC,Lenoir,non_safety_municipal_units,"Fiscal Year July 1, 2014 – June 30, 2015",1,1,retained_source_not_ingested
NC,Lenoir,non_safety_municipal_units,"Fiscal Year July 1, 2018 – June 30, 2019",1,1,retained_source_not_ingested
NC,Lenoir,non_safety_municipal_units,"Fiscal Year July 1, 2020 – June 30, 2021",1,1,retained_source_not_ingested
NC,Lewisville,safety_and_non_safety_compensation_units,Fiscal Year 2020-2021 (budget ordinance; includes Appendix B Salary Ranges by Pay Grade),1,1,retained_source_not_ingested
NC,Lewisville,safety_and_non_safety_compensation_units,Proposed Budget 2019-2020 (by line item),1,1,retained_source_not_ingested
NC,Mebane,non_safety_municipal_units,"FY2020-2021 budget cycle (pay plan adopted each year with the budget; packet dated Jan 6, 2020)",1,1,retained_source_not_ingested
NC,Mebane,non_safety_municipal_units,"FY2020-2021 budget ordinance cycle (packet dated Jun 1, 2020)",1,0,no_retained_source_in_tier_c
NC,Mebane,non_safety_municipal_units,FY2023-2024 budget cycle (recommended budget document),1,1,retained_source_not_ingested
NC,Stallings,safety_and_non_safety_compensation_units,2018-07-09 (document date; pay plan development phase),1,1,retained_source_not_ingested
NC,Stallings,safety_and_non_safety_compensation_units,2018-09-10 (study scope; implementation timing not determined here),1,1,retained_source_not_ingested
NC,Weddington,safety_and_non_safety_compensation_units,FY2014-2019 (forecast/plan section shown),1,1,retained_source_not_ingested
NC,Weddington,safety_and_non_safety_compensation_units,FY2017 budget approval context (referenced in July 2016 journal),1,1,retained_source_not_ingested
NE,North Platte,non_safety_comparator,"Oct 1, 2024 through Sep 30, 2027 (term stated in agenda)",1,1,retained_source_not_ingested
NH,Durham,safety_and_non_safety_compensation_units,"January 1, 2016 through December 31, 2020 (ratification item references this DPFFA unit contract period)",1,0,no_retained_source_in_tier_c
NH,Durham,safety_and_non_safety_compensation_units,"January 1, 2022 through December 31, 2024",1,1,retained_source_not_ingested
NH,Exeter,safety_and_non_safety_compensation_units,2019-2022,1,1,retained_source_not_ingested
NH,Exeter,safety_and_non_safety_compensation_units,2022-2024,1,1,retained_source_not_ingested
NH,Goffstown,non_safety_municipal_units,2019 budget discussion (annual report),1,1,retained_source_not_ingested
NH,Goffstown,non_safety_municipal_units,Proposed 2025 adjustment; references wage matrix implementation on 07/01/2024,1,1,retained_source_not_ingested
NH,Hooksett,safety_and_non_safety_compensation_units,07/01/2024-06/30/2027,1,1,retained_source_not_ingested
NH,Hooksett,safety_and_non_safety_compensation_units,Referenced contract period(s) include 2016-2017 and related NEPBA negotiation context (document labeled 2014-2015).,1,1,retained_source_not_ingested
NH,Hooksett,safety_and_non_safety_compensation_units,Referenced: 07/01/2017-06/30/2020,1,1,retained_source_not_ingested
NH,Hudson,non_safety_municipal_units,"July 1, 2020 — June 30, 2024 (as indicated by agreement headings/wage schedule sections)",1,1,retained_source_not_ingested
NH,Londonderry,non_safety_municipal_units,"2016 report section detailing ratification/extension cost items across multiple FY years (e.g., FY 2017–FY 2020 shown in the report excerpt)",1,0,no_retained_source_in_tier_c
NJ,Barnegat,non_safety_municipal_units,"Five (5) year agreement; contract absent since December 31, 2014 (resolution dated Nov 16, 2015)",1,1,retained_source_not_ingested
NJ,Barnegat,non_safety_municipal_units,"Four (4) year agreement (resolution dated Jan 1, 2020)",1,1,retained_source_not_ingested
NJ,Barnegat,non_safety_municipal_units,"Four (4) year agreement (resolution dated Jan 1, 2024)",1,1,retained_source_not_ingested
NJ,Bernards,safety_and_non_safety_bargaining_units,"Agreement effective January 1, 2020 (per resolution context; expiration/term details referenced in the document)",1,1,retained_source_not_ingested
NJ,Bernards,safety_and_non_safety_bargaining_units,"Memorandum of Agreement dated December 28, 2023; Union contracts for period starting January 1, 2024",1,1,retained_source_not_ingested
NJ,Bloomfield,safety_and_non_safety_bargaining_units,2018 (resolution list for 2018; includes 5/21/18 settlement agreement reference),1,1,retained_source_not_ingested
NJ,Bridgewater,safety_and_non_safety_bargaining_units,2017-08-10 GC report (references litigation involving expired vs successor collective negotiations agreement hiatus),1,1,retained_source_not_ingested
NJ,Bridgewater,safety_and_non_safety_bargaining_units,Biennial report (published content; retrieve within 2014-2024 window as relevant during follow-up),1,1,retained_source_not_ingested
NJ,Burlington,non_safety_municipal_units,2020 municipal budget (municipal user friendly budget),1,0,no_retained_source_in_tier_c
NJ,Burlington,non_safety_municipal_units,2022 municipal budget (municipal user friendly budget),1,0,no_retained_source_in_tier_c
NJ,Burlington,non_safety_municipal_units,2024 municipal budget (municipal user friendly budget),1,0,no_retained_source_in_tier_c
NJ,City of Orange,safety_and_non_safety_bargaining_units,"Reported reference to City of Orange Township arbitration-related matter (noting “City of Orange Twp., 2019 …” within the biennial report)",1,1,retained_source_not_ingested
NJ,Delran,non_safety_municipal_units,CY 2014 municipal budget cycle (introduced for CY 2014),1,1,retained_source_not_ingested
