calibration_id,text_table_detection_id,review_status,elapsed_seconds,pdf_opened,pages_inspected,pages_with_text
cal_00fa74a685b40b8d5aa3ba95,ttd_8e861bd2c1a8288eb2f035d4,reviewed,0.575157,1,"1,2,3,4,9,5",6
cal_01b501e66b32cf45fd24174e,ttd_0d59199b2b670d5f7b3b7df0,reviewed,0.584770,1,"1,2,10,19,37,82",6
cal_06c1c72323f9983456949e2d,ttd_fa5eb99585f510ba80b43b05,needs_second_review,0.554183,1,"1,2,13,26,38,63",5
cal_1c65b87742c2909d651c0dd4,ttd_2d3152d3105b3bf7262cc4d9,reviewed,0.503786,1,"1,2,52,87,51,53",6
cal_1ef8e0d5da94ae36c8e09fd6,ttd_7552e1136fa9cbfdfa1527b5,reviewed,0.184575,1,"1,2",2
cal_27f7aa01a1896ab84af3af3e,ttd_5f472b7db25754a94330be53,reviewed,0.146335,1,1,1
cal_2d3dc84a859cfc2741388967,ttd_af8e018d3fd64becac557f2d,needs_second_review,0.358761,1,"1,2,11,21,45,3",6
cal_2ea02abee856ba348e248a5e,ttd_2f86370314669ecf6faa4d08,reviewed,0.384542,1,"1,2,3,8,10,11",6
cal_30283fc6e2d14875aa45d22a,ttd_8e5694385c6e3595d7702c81,reviewed,0.427314,1,"1,2,4,5,6,3",6
cal_328a06695d4802a821952280,ttd_22db735d8d0e57c74e12f5d2,needs_second_review,0.389824,1,"1,2,6,15,20,42",6
cal_400c52f8b0cd3b590bd71b01,ttd_20e6d556de8e2533ec8b0a6b,needs_second_review,0.424000,1,"1,2,9,25,40,3,11,10,12",9
cal_460035e3d14dd100535ec9af,ttd_8c850ee9dd9f157c75bef14a,needs_second_review,0.644029,1,"1,2,6,24,5,7",6
cal_4693f3c71a20f4eb25208da8,ttd_c48c06bdaff7b82eb60857b8,reviewed,0.415575,1,"1,2,13,54,59,106",6
cal_4aefeb6cfe71c227f04b40ce,ttd_1b4419322f21182bba9f21d5,reviewed,0.399251,1,"1,2,4,14,16,17",6
cal_4b8c0f2fbec01fc31c4d1bdf,ttd_047c3cdcbfcb43008e936e78,reviewed,0.421942,1,"1,2,19,55,163,3",6
cal_4fe76654ac85757e54ce375c,ttd_398b8d405d2bf353dbc904de,needs_second_review,0.583429,1,"1,2,12,17,26,3",6
cal_4fefc95c2dd184081e2c4bcb,ttd_9c452668d1ecb679c53f2f1d,reviewed,0.399946,1,"1,2,21,28,35,3",6
cal_5808929cad746350208e11ea,ttd_496df4959527715daa723961,reviewed,0.174025,1,1,1
cal_588f2668993e30ba509fcc32,ttd_d59c7b0c03f2ee877687f99f,reviewed,0.371516,1,"1,2,33,65,74,3",6
cal_59abb44c0f0cef9b0ee90ce0,ttd_f85f8693f99a6355f7b51e49,reviewed,0.385110,1,"1,2",2
cal_59e0c9975d42c0201649f54f,ttd_fe33e24f52d97b0b263e21a1,reviewed,0.282158,1,"1,2,58,57,59",4
cal_5b7934f9ba9519a8ed1dcd1e,ttd_3974a4c8c103a90951dc755d,reviewed,0.182091,1,"1,2",2
cal_60128043e36b6c0d8555f5c7,ttd_ed690ebfc5468e311ddc2430,reviewed,0.387787,1,"1,2,7,10,18,6",6
cal_60525fc350946d96a8f68394,ttd_b633211705f211c7a4863f0b,needs_second_review,0.640836,1,"1,2,3",3
cal_645e00c35add9fb70dd99056,ttd_cffb438c51e9f28d0eab5ccc,reviewed,0.427089,1,"1,2,9,18,26,35",6
cal_65b89fbb6772702300db7e2e,ttd_9bcb5fe5e443c3717b1b27e7,reviewed,0.309771,1,"1,2,18,17,19",4
cal_65f2bfd170dacbedf457f638,ttd_95b1b3500eb39b01dbd7ee1c,reviewed,0.269927,1,"1,2,13,24,52,3",5
cal_69524b5a47867071e2806e3e,ttd_25b1eda52f71e20848eb7a0d,reviewed,1.847010,1,"1,2,39,58,64,38",6
cal_6a208150a8de8c2d69e12d5e,ttd_b7e3a02f9e139033bd52b538,reviewed,0.450788,1,"1,2,18,17,19",5
cal_6bf56516ac212c2ee18e2f10,ttd_ed035685fff00f6d333b0e99,reviewed,0.250822,1,"1,2,14,21,40,3,37,36,38",9
cal_6d24935c413ad0bdc8607dbb,ttd_dc31d96f0b3e0207a92eaa79,needs_second_review,0.259705,1,"1,2",1
cal_6fbc497a9759a10134a19419,ttd_8402563434ceefb946805a2e,reviewed,0.389202,1,"1,2,12,34,55,11",6
cal_6fe7c10c932ed1b1f4bcfb97,ttd_72110f1ccfd32be2381c4241,needs_second_review,0.417101,1,"1,2,4,13,14,3",6
cal_721ee1673b96b88435bc23bb,ttd_a2e531b2907bcc3acc0b3e9f,reviewed,0.205276,1,1,1
cal_72371735c99169c73d808454,ttd_f45bb51befc16980f22dfa94,needs_second_review,0.424850,1,"1,2,10,19,47,9",6
cal_756e7caed96960ff002c0ed8,ttd_90fb086b2af045f005704609,reviewed,0.223326,1,"1,2",2
cal_7849c4c177ef5602a1f03e63,ttd_a413b7cf64d59910847498fe,needs_second_review,0.728599,1,"1,2,21,32,61,3",5
cal_8329a0a9084d026768f49536,ttd_947dccbfb5c747720a54b5b8,reviewed,0.516991,1,"1,2,3",3
cal_85631411808b69e6dcd54348,ttd_a0e9f087cb23308681ad1dfa,reviewed,0.594283,1,"1,2,75,74,76",5
cal_9c592860c65cb52d54f0eaf9,ttd_099ffa5cdddbe9280ca4e40a,reviewed,0.500704,1,"1,2,3,5,7,4",6
cal_a35c98e8b52c47a5f129435f,ttd_e7c2e7abf7ec4506ed526e3b,reviewed,0.496423,1,"1,2,5,7,12,4",6
cal_a418b8af9c3f67e690c4d6a8,ttd_42548472695373c03373b3ef,needs_second_review,0.238596,1,"1,2",2
cal_a50d6d888fe00de9dc7e09db,ttd_e6f2f2b5549d61a0b920589b,reviewed,0.371840,1,"1,2",2
cal_b4777a90d0509a26c8911894,ttd_6b2fa79f38c8529aca8ee5a1,reviewed,0.468167,1,"1,2,5,11,12,4",6
cal_b9205eed0ec3938ece2f9fd4,ttd_10d84b8f79d819c47f1a4ccf,reviewed,0.756609,1,"1,2,17,42,73,16",6
cal_c645403fd5fd2f680fdd3958,ttd_ac651ce20a584d7000ae168d,needs_second_review,0.376051,1,"1,2,12,24,51,3",6
cal_c83b9d01e07e2dabe00e6f51,ttd_dce03d9d92ebd2b94dcd8792,needs_second_review,0.570007,1,"1,2,10,39,85,3",6
cal_d08ebb86455c7331bb8c32c6,ttd_76dfee39fe63a1fe2592e985,reviewed,0.064707,1,1,1
cal_d4182e8a949c9391932e7658,ttd_4e6ca2273690f8cc12f2fd5e,needs_second_review,0.335429,1,"1,2,22,29,33,36",6
cal_d6db8625cf091a6f5530800e,ttd_5ea9e73b5c1f986ce8cebe11,needs_second_review,0.407470,1,"1,2,8,32,35,7",6
cal_dfc29c196ce08425ffae9c64,ttd_49e5daa617aaf705e84ed58b,needs_second_review,0.425204,1,"1,2,3,5,7,4",6
cal_e053fd0727a992a0b1a44bc7,ttd_0a1d497bf5759ebb954e3080,reviewed,0.413149,1,"1,2,8,15,32,3",6
cal_e0594174be1efac431317ba4,ttd_bd9c656f286e2dec979de514,needs_second_review,0.356087,1,"1,2,6,11,21,5",6
cal_e4f5b1e57a13a096588f6e51,ttd_dbde909a543d52ed2cb97dfc,reviewed,0.317058,1,"1,2,12,16,19,3",6
cal_ed5099d4fecae6f4f32146de,ttd_23d39c5fab17908a5e566fdf,needs_second_review,0.276032,1,"1,2",2
cal_f380c785bb181d6af78e9da4,ttd_b38ad45dd15718668d197716,needs_second_review,0.357123,1,"1,2,8,16,31,38",6
cal_03d7428f4019e5bbf4596191,ttd_4c072922ba8a25173e4a33cc,reviewed,0.225773,1,"1,2",2
cal_06a195b37f6ec5b2402d7d78,ttd_bb6a69fc42d48a8e7d9e52bc,reviewed,0.175357,1,"1,2",1
cal_1a64d49cf0f616075b51efa6,ttd_85561bec4d096b5ab84c8649,reviewed,0.252948,1,"1,2",1
cal_22de015af1d83548293f582d,ttd_2afeb88a2f614d31ca571761,reviewed,0.244254,1,"1,2",1
cal_42644d72570e92753dc0c39b,ttd_e66ac25d2b825128cc024995,reviewed,0.145318,1,"1,2",1
cal_85c9ba206759d1b599cce539,ttd_2ff966f982e0c73c74c45c5f,needs_second_review,0.260714,1,"1,2",1
cal_89c1b9619fe6cc4e626cfadf,ttd_68b7acd33982752f48b8e349,reviewed,0.189629,1,"1,2",2
cal_a1fb3965ab3e3565c1ace456,ttd_43966f271ff5f4ed92432c33,reviewed,0.165467,1,"1,2",1
cal_a8060adcdb502a4219ca05c9,ttd_7aa0e1eb1abb277c2f20f977,reviewed,0.142994,1,1,1
cal_ae9fbbec16d7d486289555d1,ttd_4c528de738d8481c2d1ce42b,reviewed,0.313042,1,"1,2",2
cal_be0f3b35b2659d3bb577343b,ttd_b8306cc9cd3a077079cedc79,reviewed,0.265650,1,"1,2",1
cal_da3e2c381ee1e242b0e4f679,ttd_3c1bb4fdfb092d793539525c,needs_second_review,0.006690,1,"1,2",0
