state,municipality,unit_type,contract_or_document_period,verification_queue_rows,verified_source_leads,mechanism_families,coverage_status
CA,Sunnyvale,non_safety_comparator,Not specified in locator (likely aligned to an MOU implementation year; inferred),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Upland,non_safety_comparator,Non-Rep/Confidential 06.25.23 rev 06.12.24 (document label on City salary schedules page),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CO,Aurora,non_safety_comparator,2023 - 2024,2,2,non_safety_constraint_signal,verified_locator_metadata_only
CO,Aurora,non_safety_comparator,Referenced salary impacts include 2023-2024 and 2024-2025,1,1,non_safety_constraint_signal,verified_locator_metadata_only
CO,Castle Pines,safety_and_non_safety_compensation_units,2019 Budget Book,1,1,market_or_comparability_pressure,verified_locator_metadata_only
CO,Castle Pines,safety_and_non_safety_compensation_units,2020 Budget (proposed/adopted budget book; contains 2020 staffing/compensation sections),1,1,market_or_comparability_pressure,verified_locator_metadata_only
CO,Castle Pines,safety_and_non_safety_compensation_units,2024 Annual Budget,1,1,market_or_comparability_pressure,verified_locator_metadata_only
CO,Commerce City,safety_and_non_safety_bargaining_units,"January 1, 2023 – December 31, 2024",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CO,Englewood,safety_and_non_safety_bargaining_units,"January 1, 2020 – December 31, 2022",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CO,Englewood,safety_and_non_safety_bargaining_units,"January 1, 2021 – December 31, 2022",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CO,Fruita,safety_and_non_safety_compensation_units,"2023 Budget context (meeting dated Nov 1, 2022)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CO,Lafayette,safety_and_non_safety_bargaining_units,Not explicitly stated in lead metadata (file name suggests 2015-era CBA),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CO,Littleton,non_safety_comparator,2023-2024 (per document title),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CO,Northglenn,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CO,Steamboat Springs,safety_and_non_safety_compensation_units,2024 budget (FY/annual budget publication),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CO,Wheat Ridge,safety_and_non_safety_bargaining_units,referenced negotiations leading to a one-year contract starting by 2014–2015 context (exact dates not stated in the lead),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Clinton,safety_and_non_safety_compensation_units,2016-2020 (as indicated by document title),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CT,Clinton,safety_and_non_safety_compensation_units,2020-2023 (as indicated by document title),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CT,Clinton,safety_and_non_safety_compensation_units,until 2024-2027 (as indicated by document title),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CT,East Hartford,safety_and_non_safety_bargaining_units,"Effective July 1, 2019 through June 30, 2022",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,East Hartford,safety_and_non_safety_bargaining_units,"Effective July 1, 2021 through June 30, 2025",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Enfield,safety_and_non_safety_bargaining_units,2021-2024 (contract period as indicated by title),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,Enfield,safety_and_non_safety_bargaining_units,2022-07-01 to 2024-06-30 (contract period inferred from title/document context),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,Fairfield,safety_and_non_safety_bargaining_units,"Award dated January 31, 2024 (Case No. 2023-A-0096)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,Fairfield,safety_and_non_safety_bargaining_units,"Award dated June 28, 2024 (Case No. 2023-A-0086)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,Fairfield,safety_and_non_safety_bargaining_units,"Hearing date October 28, 2024; Award dated March 12, 2025 (Case No. 2025-A-0012)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,Greenwich,safety_and_non_safety_bargaining_units,2012-2013 through 2014-2015 (document title indicates 2012–2015; exact term boundaries indicated within the document),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Greenwich,safety_and_non_safety_bargaining_units,2021-2024 (and document shows/links into 2024-2027 formatting),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Greenwich,safety_and_non_safety_bargaining_units,"July 1, 2014 – June 30, 2016 (with extension through June 30, 2019 per document formatting)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,Groton,safety_and_non_safety_bargaining_units,Not unit-specific; serves as a gateway to mediation/arbitration processes and related procedures,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Hamden,safety_and_non_safety_bargaining_units,2017-07-01 to 2023-06-30,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,New Milford,safety_and_non_safety_bargaining_units,Arbitration Award 2015 (documented as 'NMBOE and NMEA Arbitration Award 2015.pdf'),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,New Milford,safety_and_non_safety_bargaining_units,"July 1, 2022 – June 30, 2026",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Seymour,safety_and_non_safety_compensation_units,"Includes language indicating a general wage increase retroactive to July 1, 2014 (full term not extracted)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CT,Simsbury,non_safety_municipal_units,2019-2023 (includes FY20-FY23 wage tables),1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
CT,Stonington,non_safety_municipal_units,2022-2025,1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
CT,Stratford,safety_and_non_safety_bargaining_units,"2022-2026 contract (effective July 1, 2022 to June 30, 2026) (as referenced in award)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,Suffield,safety_and_non_safety_compensation_units,Document filename indicates 2013-2016; includes year-by-year hourly/salary-related amounts (snippet mentions 2014-15 and 2015-16),1,1,market_or_comparability_pressure,verified_locator_metadata_only
CT,Suffield,safety_and_non_safety_compensation_units,"Effective July 1, 2014 (document references “2014-17”)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CT,Wallingford,safety_and_non_safety_bargaining_units,"Interest Arbitration Award effective July 1, 2013 to June 30, 2016",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Wallingford,safety_and_non_safety_bargaining_units,Reported arbitration ruling affecting wage/contract terms around 2013-2014,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Westport,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
CT,Westport,safety_and_non_safety_bargaining_units,"July 1, 2019 – June 30, 2022",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Wilton,non_safety_municipal_units,"July 1, 2022 to June 30, 2026",1,1,fiscal_constraint_signal,verified_locator_metadata_only
CT,Windsor,safety_and_non_safety_bargaining_units,"2015-MBA-0207 (award dated August 30, 2016)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
DE,Wilmington,non_safety_comparator,"CBA referenced as July 7, 2015 through June 30, 2018 (as stated in the amendment)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
DE,Wilmington,non_safety_comparator,"July 1, 2018 through June 30, 2022 (per resolution synopsis/title)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Doral,non_safety_comparator,"Successor CBA term corresponding to Oct 1, 2022 to Sep 30, 2025 (exact dates to be confirmed in the linked agreement documents)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Doral,non_safety_comparator,"Successor CBA/MOU following a prior CBA running Oct 1, 2019 through Sep 30, 2022 (successor term dates to be confirmed in the document)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Haines City,non_safety_comparator,"through September 30, 2024 (other operative duration terms not verified in scout stage)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Jupiter,non_safety_comparator,"October 1, 2025 through September 30, 2028",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Miami Springs,safety_and_non_safety_compensation_units,Fiscal years 2021–2022 through 2023–2024,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
FL,New Port Richey,non_safety_comparator,"Amends Article 14 of the CBA effective Oct 1, 2021 through Sep 30, 2024 (used as a wage/schedule lead pattern for comparator unit identification)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,New Port Richey,non_safety_comparator,"October 1, 2024 through September 30, 2027",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Niceville,non_safety_comparator,"July 1, 2024 through June 30, 2027",1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Orange City,non_safety_comparator,"Fiscal Years 2023/24, 2024/25, 2025/26",1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Palm Bay,non_safety_comparator,10/1/2021 - 9/30/2024,1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Port St. Lucie,non_safety_comparator,10/1/2024 through 9/30/2027 (term inference to match expected period 2024–2027; verify on document if needed),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Port St. Lucie,non_safety_comparator,"Effective October 1, 2024 through September 30, 2027 (as stated in Legistar executive summary; verify linked attachments if needed)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Sarasota,non_safety_comparator,10/01/2022 - 09/30/2025,1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Sarasota,non_safety_comparator,10/01/2022 - 09/30/2025 CBA term (FY2024-2025 MOU document),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Sarasota,non_safety_comparator,FY2024-2025 (within 10/01/2022 - 09/30/2025 contract term),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,South Daytona,safety_and_non_safety_compensation_units,"Proposed in effect through Sep 30, 2026 (from Sep 6, 2023 approval memo context)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
FL,Tarpon Springs,non_safety_comparator,Three-year collective bargaining agreement (period not explicitly confirmed in lead metadata),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
FL,Winter Haven,non_safety_comparator,"unclear (snippet indicates CBA expires September 30, 2024, but full operative duration terms not scout-verified)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
GA,Americus,safety_and_non_safety_compensation_units,2014-2024 target window (reference indicates 2024 Council Approved / Implementation Completed),1,1,market_or_comparability_pressure,verified_locator_metadata_only
GA,Atlanta,non_safety_comparator,"August 1, 2022 - July 31, 2024",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
GA,Buford,non_safety_municipal_units,Fiscal Year 2015,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Buford,non_safety_municipal_units,Fiscal Year 2024,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,College Park,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
GA,Covington,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
GA,Decatur,non_safety_municipal_units,Adopted 2017-2018,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Decatur,non_safety_municipal_units,Adopted 2023-2024 (FY2023),1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Dublin,safety_and_non_safety_compensation_units,FY24 (Operating Budget adoption; compensation/classification schedule attached),1,1,market_or_comparability_pressure,verified_locator_metadata_only
GA,Forest Park,non_safety_municipal_units,FY 2024-2025,1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
GA,Lilburn,safety_and_non_safety_compensation_units,2019 survey (public safety wage/salary survey cycle),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
GA,Lilburn,safety_and_non_safety_compensation_units,"FY24-25 (effective July 1, 2024)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
GA,Marietta,safety_and_non_safety_bargaining_units,2014-2024 (target window; requires targeted navigation),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
GA,Monroe,safety_and_non_safety_compensation_units,2020,1,1,market_or_comparability_pressure,verified_locator_metadata_only
GA,Riverdale,safety_and_non_safety_compensation_units,FY 2025 budget book; includes 2024 job classification/pay plan update materials,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
GA,Riverdale,safety_and_non_safety_compensation_units,Survey year 2020 (statewide instrument),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
GA,Tifton,safety_and_non_safety_compensation_units,2022,1,1,market_or_comparability_pressure,verified_locator_metadata_only
GA,Villa Rica,non_safety_municipal_units,2023 (RFP document date/identifier),1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Winder,non_safety_municipal_units,"Fiscal Year Ending June 30, 2014 (Annual Budget)",1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Winder,non_safety_municipal_units,"Fiscal Year Ending June 30, 2024 (Annual Budget)",1,1,fiscal_constraint_signal,verified_locator_metadata_only
IA,Indianola,non_safety_comparator,2023–2027,1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IA,Indianola,non_safety_comparator,unclear (tentative labor agreement referenced; specific dates not extracted here),1,1,non_safety_constraint_signal,verified_locator_metadata_only
ID,Post Falls,non_safety_comparator,SY24-25 (as indicated by filename),1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Addison,non_safety_comparator,2015-2018,1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IL,Addison,non_safety_comparator,"January 1, 2015 – December 31, 2017 (referenced)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Barrington,safety_and_non_safety_compensation_units,Effective 01.01.2021 to 12.31.2021 (Fiscal Year 2021),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
IL,Bloom,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Bloomington City,safety_and_non_safety_bargaining_units,"CBA at issue effective September 1, 2014 (per search snippet)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Bradley,safety_and_non_safety_compensation_units,"May 1, 2020 – April 30, 2024",1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Bremen,safety_and_non_safety_bargaining_units,2024-09-18 meeting agenda (references Bremen-related case(s) and includes 'Strike Report Update' agenda item),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Bridgeview,safety_and_non_safety_compensation_units,"May 1, 2024 – April 30, 2028",1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Cahokia Heights,safety_and_non_safety_compensation_units,"April 1, 2024 prevailing wage rate schedule",1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Cahokia Heights,safety_and_non_safety_compensation_units,Effective on/after 8/16/2021 (exact effective date stated within the PDF),1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Champaign City,safety_and_non_safety_bargaining_units,"May 1, 2012 to April 30, 2015 (as indicated in search snippet for this arbitration award PDF)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Chicago Ridge,safety_and_non_safety_compensation_units,2014-2017,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
IL,Collinsville,non_safety_comparator,"Fiscal Year 2012-2013 (July 1, 2012 through June 30, 2013)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Collinsville,non_safety_comparator,Referenced as part of a 2011-2013 collective bargaining agreement context (document includes wage offer/appendix content),1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Decatur,safety_and_non_safety_bargaining_units,2020-2024,2,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Dixon,safety_and_non_safety_compensation_units,May 1 2019 – April 30 2023,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
IL,Downers Grove,safety_and_non_safety_bargaining_units,2024-2028,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Du Page,safety_and_non_safety_bargaining_units,"Award dated August 18, 2015 (interest in successor or contract administration timeline referenced in document snippet)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Du Page,safety_and_non_safety_bargaining_units,"Successor CBA; interest arbitration award (hearing Feb 17, 2017; mediation May 16, 2017; briefs Aug 14, 2017)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Dundee,safety_and_non_safety_bargaining_units,2023-2026 (as named in filename),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Dundee,safety_and_non_safety_bargaining_units,"agenda packet (Aug. 5, 2024)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Elgin,safety_and_non_safety_bargaining_units,Mid-2010s (article indicates impasse then settlement; exact contract dates not confirmed here),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Elk Grove,safety_and_non_safety_bargaining_units,"5-year extension referenced in the news release (starting with April 24, 2018 signing)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Elk Grove,safety_and_non_safety_bargaining_units,Five-year contract extension referenced in the news release (record length extension),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Elk Grove,safety_and_non_safety_bargaining_units,Interest Arbitration Award (case/timeframe tied to S-MA-16-150),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Elmwood Park,non_safety_comparator,"May 1, 2025 – April 30, 2029 (as stated in the lead text)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IL,Frankfort,safety_and_non_safety_bargaining_units,"effective May 1, 2018 through April 30, 2022",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
IL,Frankfort,safety_and_non_safety_bargaining_units,"not specified in locator snippet (meeting document dated Nov. 24, 2020; within 2014–2024 window)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Galesburg City,safety_and_non_safety_bargaining_units,"Entered June 3, 2024; term shown as 2024-2026 on file title",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Galesburg City,safety_and_non_safety_bargaining_units,"Entered May 20, 2024; term shown as 2024-2026 on file title",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,La Grange,safety_and_non_safety_compensation_units,2014 (exact term not visible in search snippet; document appears to relate to a police CBA dated in 2014),1,1,market_or_comparability_pressure,verified_locator_metadata_only
IL,Lake Villa,safety_and_non_safety_bargaining_units,2016 (describes a four-year tentative agreement after impasse/mediation),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Lake in the Hills,non_safety_comparator,"January 1, 2018 – December 31, 2022",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Lake in the Hills,non_safety_comparator,"January 1, 2023 – December 31, 2026",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Lake in the Hills,non_safety_comparator,Terms referenced through a 2023 end-date context (exact contract term not fully determined from the locator alone),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IL,Lansing,non_safety_comparator,CBA with an effective term stated inside the document; renewal/entire agreement provisions present,1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
IL,Libertyville,safety_and_non_safety_bargaining_units,Arbitration award document S-MA-18-345--346 (within target window requested: 2014-2024),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Libertyville,safety_and_non_safety_bargaining_units,Arbitration award document referenced as S-MA-16-123 (within target window requested: 2014-2024),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Libertyville,safety_and_non_safety_bargaining_units,Document/case dated around the docket cycle indicated by case number (within target window requested: 2014-2024),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Lindenhurst,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
