doc_id,obs_id,city_id,city,city_name,occupation_class,safety_flag,source_type,source_corpus,cycle_start,cycle_end,cycle_window,text_quality,match_tier,matched_non_safety_classes,matched_non_safety_obs_ids,exact_or_overlap_healthy,year_or_cycle,text,comparability_emphasis,gabriel_notes,supporting_quotes,estimated_pages,flagged_quotes,flagged_pages,excerpts_submitted,excerpts_verified,excerpts_relevant,excerpts_flagged,excerpts_failed,excerpts_retry_attempted,excerpts_retry_recovered,prompt_tokens,completion_tokens
ma_arlington_public_works_2021,ma_arlington_public_works_2021,ma_arlington,Arlington,Arlington,public_works,0,cba,causal,2021-07-01,2024-06-30,2021-2024,ocr_messy,,,,,2021-2024,"Bargaining Agreement between the Town of Arlington
                                and the
 American Federation of State, County and Municipal Employees, Council
                       93, Local - 680",0,The provided text establishes bargaining purposes and enumerates covered positions but contains no explicit wage/compensation comparisons to peer employers or jurisdictions.,[],[],[],[],0,0,0,0,0,0,0,1957,101
ma_newton_police_2015,ma_newton_police_2015,ma_newton,Newton,Newton,police,1,cba,causal,2015-07-01,2018-06-30,2015-2018,partial,unmatched,,,0,2015-2018,"COLLECTIVE BARGAINING AGREEMENTS

CITY OF NEWTON
AND
NEWTON POLICE ASSOCIATION

EFFECTIVE

JULY 1, 2014 — JUNE 30, 2015
AND

JULY 1, 2015 —- JUNE 30, 2018

TABLE OF CONTENTS

ARTICLE

ARTICLE I
RECOGN",6,"Text provides detailed internal wage amounts, stipends, and differentials but contains no explicit comparisons to other employers or jurisdictions for justification.",[],[],[],[],0,0,0,0,0,0,0,28664,74
ma_georgetown_police_2020,ma_georgetown_police_2020,ma_georgetown,Georgetown,Georgetown,police,1,cba,causal,2020-07-01,2023-06-30,2020-2023,clean,exact_cycle,other,ma_georgetown_other_2020,1,2020-2023,"TOWN OF GEORGETOWN

            Municipal Contract

             Between the Town

                  and the

AMERICAN FEDERATION OF STATE, COUNTY
      AND MUNICIPAL EMPLOYEES

          AFL-CIO COUN",0,"Text contains wage amounts and differentials, but no explicit comparisons to other employers or jurisdictions to justify rates.",[],[],[],[],0,0,0,0,0,0,0,8015,98
ma_georgetown_other_2020,ma_georgetown_other_2020,ma_georgetown,Georgetown,Georgetown,other,0,cba,causal,2020-07-01,2023-06-30,2020-2023,clean,,,,,2020-2023,"AGREEMENT

                  BETWEEN

    GEORGETOWN     SCHOOL DEPARTMENT

                     AND

AMERICAN FEDERATION OF STATE, COUNTY AND

           MUNICIPAL EMPLOYESS



AFL-CIO, MASS. PUBLIC ",5,"Text sets internal pay rates, stipends, and overtime/benefits without explicit wage or compensation comparisons to other employers or jurisdictions.",[],[],[],[],0,0,0,0,0,0,0,10112,99
ma_seekonk_police_2022,ma_seekonk_police_2022,ma_seekonk,Seekonk,Seekonk,police,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,overlap_cycle,clerical_admin;library;public_works;teacher,ma_seekonk_clerical_admin_2021;ma_seekonk_teacher_2021;ma_seekonk_public_works_2023;ma_seekonk_library_2023,1,2022-2025,"COLLECTIVE BARGAINING AGREEMENT

             BETWEEN

        TOWN OF SEEKONK

                AND

 THE FRATERNAL ORDER OF POLICE
      MASS C.O.P. LOCAL # 215




     JULY 1, 2022 - JUNE 30, 2025
",5,"The agreement sets detailed wages and benefits but contains no explicit comparisons to other employers, jurisdictions, or peer labor markets to justify pay levels.",[],[],[],[],0,0,0,0,0,0,0,18009,74
ma_seekonk_fire_2022,ma_seekonk_fire_2022,ma_seekonk,Seekonk,Seekonk,fire,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,overlap_cycle,clerical_admin;library;public_works;teacher,ma_seekonk_clerical_admin_2021;ma_seekonk_teacher_2021;ma_seekonk_public_works_2023;ma_seekonk_library_2023,1,2022-2025,"CONTRACT

               BETWEEN THE

    TOWN OF SEEKONK, MASSACHUSETTS

                 AND THE

INTERNATIONAL ASSOCIATION OF FIREFIGHTERS

                LOCAL 1931


              AGREEMENT OF:
",5,"The agreement lists wage rates, stipends, and increases but contains no explicit comparisons of pay/benefits to other communities or employers.",[],[],[],[],0,0,0,0,0,0,0,20529,96
ma_seekonk_clerical_admin_2021,ma_seekonk_clerical_admin_2021,ma_seekonk,Seekonk,Seekonk,clerical_admin,0,cba,causal,2021-07-01,2024-06-30,2021-2024,ocr_messy,,,,,2021-2024,"AGREEMENT BETWEEN THE
SEEKONK SCHOOL COMMITTEE
AND
LOCAL 1701, STATE COUNCIL NO. 93,
AMERICAN FEDERAL OF STATE, COUNTY AND
MUNICIPAL EMPLOYEES, AFL-CIO

ADMINISTRATIVE SECRETARIES

JULY 1, 2021 THROUG",0,"Text sets wages, steps, and fixed dollar amounts without any explicit comparisons to peer communities or other employers’ compensation.",[],[],[],[],0,0,0,0,0,0,0,10030,119
ma_seekonk_teacher_2021,ma_seekonk_teacher_2021,ma_seekonk,Seekonk,Seekonk,teacher,0,cba,causal,2021-09-01,2024-08-31,2021-2024,clean,,,,,2021-2024,"AGREEMENT BETWEEN SCHOOL
 COMMITTEE OF THE TOWN OF SEEKONK
AND SEEKONK EDUCATORS ASSOCIATION




        SEPTEMBER 1, 2021 TO AUGUST 31, 2024
                         TABLE OF CONTENTS
ARTICLE SECTIO",5,The agreement specifies local salary schedules and monetary rates but contains no explicit wage/compensation comparisons to peer communities or employers.,[],[],[],[],0,0,0,0,0,0,0,30241,67
ma_seekonk_public_works_2023,ma_seekonk_public_works_2023,ma_seekonk,Seekonk,Seekonk,public_works,0,cba,causal,2023-07-01,2026-06-30,2023-2026,clean,,,,,2023-2026,"C OLLECTIVE B ARGAINING
A GREEMENT
July 1, 2023 – June 30, 2026




                     Between

               The Town of Seekonk

                       And

               AFSCME Council 93

    ",0,"The agreement sets wages, bonuses, and stipends via fixed percentages and internal schedules without any explicit peer-jurisdiction compensation comparisons.",[],[],[],[],0,0,0,0,0,0,0,9587,86
ma_seekonk_library_2023,ma_seekonk_library_2023,ma_seekonk,Seekonk,Seekonk,library,0,cba,causal,2023-07-01,2026-06-30,2023-2026,clean,,,,,2023-2026,"C OLLECTIVE B ARGAINING
   A GREEMENT
   July 1, 2023 through June 30, 2026




                    Between

            The Town of Seekonk

                       And

Seekonk Public Library Employe",8,"The agreement sets wage schedules, increases, and benefit percentages internally, with no explicit peer-jurisdiction or comparator-employer compensation comparisons justifying terms.",[],[],[],[],0,0,0,0,0,0,0,9976,79
ma_franklin_fire_2022,ma_franklin_fire_2022,ma_franklin,Franklin,Franklin,fire,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,exact_cycle,library;other;public_works,ma_franklin_public_works_2022;ma_franklin_library_2022;ma_franklin_other_2022,1,2022-2025,"Collective Bargaining Agreement
                 Between
         The Town of Franklin
                   And
  Professional Firefighters of Franklin
International Association of Firefighters
        ",0,"The agreement sets wages, stipends, and differentials internally (salary schedules, COLA, percentages) without any explicit comparison to peer employers or jurisdictions.",[],[],[],[],0,0,0,0,0,0,0,20269,84
ma_franklin_police_2022,ma_franklin_police_2022,ma_franklin,Franklin,Franklin,police,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,exact_cycle,library;other;public_works,ma_franklin_public_works_2022;ma_franklin_library_2022;ma_franklin_other_2022,1,2022-2025,"Collective Bargaining Agreement
              Between
      The Town of Franklin
                And
 The Franklin Police Association
July 1, 2022 through June 30, 2025
                              ",5,Wage and stipend terms are set internally via appendices and fixed schedules without any explicit comparisons to other employers or jurisdictions.,[],[],[],[],0,0,0,0,0,0,0,27273,79
ma_franklin_police_sergeants_2022,ma_franklin_police_sergeants_2022,ma_franklin,Franklin,Franklin,police,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,exact_cycle,library;other;public_works,ma_franklin_public_works_2022;ma_franklin_library_2022;ma_franklin_other_2022,1,2022-2025,"Collective Bargaining Agreement
               Between
       The Town of Franklin
                 And
The Franklin Police Sergeants Union
 July 1, 2022 through June 30, 2025
                       ",5,"Text sets specific wages and stipends but contains no explicit comparisons to other employers, communities, or jurisdictions to justify compensation levels.",[],[],[],[],0,0,0,0,0,0,0,25906,77
ma_franklin_public_works_2022,ma_franklin_public_works_2022,ma_franklin,Franklin,Franklin,public_works,0,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,,,,,2022-2025,"Collective Bargaining Agreement
               Between
       The Town of Franklin
                 And
              AFSCME
        AFL-CIO, Local 1298
Department of Public Works (DPW)
 July 1, 2022 ",10,"Text sets wages and differentials internally and references Massachusetts minimum wage, but contains no peer-jurisdiction pay comparison to justify specific wage terms.",[],[],[],[],0,0,0,0,0,0,0,19874,159
ma_franklin_library_2022,ma_franklin_library_2022,ma_franklin,Franklin,Franklin,library,0,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,,,,,2022-2025,"AGREEMENT

                   between the

             TOWN OF FRANKLIN
                      and the

FRANKLIN PUBLIC LIBRARY STAFF ASSOCIATION
 MASSACHUSETTS LIBRARY STAFF ASSOCIATION (MLSA)
      ",0,"Text sets wages via internal salary schedule, step increases, and COLA, without any explicit comparisons to peer jurisdictions or employers.",[],[],[],[],0,0,0,0,0,0,0,12301,69
ma_franklin_other_2022,ma_franklin_other_2022,ma_franklin,Franklin,Franklin,other,0,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,,,,,2022-2025,"Collective Bargaining Agreement
              Between
      The Town of Franklin
                And
             AFSCME
AFL-CIO, Council 93, Local 1298
            Custodians
July 1, 2022 through Jun",10,"Text sets wages via internal schedules, COLAs, and Massachusetts minimum-wage compliance, with no explicit peer-jurisdiction wage/comp comparisons to justify rates.",[],[],[],[],0,0,0,0,0,0,0,12608,112
ma_wayland_police_2020,ma_wayland_police_2020,ma_wayland,Wayland,Wayland,police,1,cba,causal,2020-07-01,2023-06-30,2020-2023,ocr_messy,exact_cycle,library;public_works,ma_wayland_public_works_2020;ma_wayland_library_2020,1,2020-2023,"COLLECTIVE BARGAINING AGREEMENT
BETWEEN
TOWN OF WAYLAND
AND
THE WAYLAND POLICE OFFICERS UNION
IN AFFILIATION WITH

THE NEW ENGLAND POLICE BENEVOLENT ASSOCIATION, INC.

July 1, 2020 - June 30, 2023


A",5,"Text contains wage/stipend amounts and internal schedules, but no explicit comparisons to other jurisdictions or peer employers for wage justification.",[],[],[],[],0,0,0,0,0,0,0,21103,96
ma_wayland_fire_2020,ma_wayland_fire_2020,ma_wayland,Wayland,Wayland,fire,1,cba,causal,2020-07-01,2023-06-30,2020-2023,ocr_messy,exact_cycle,library;public_works,ma_wayland_public_works_2020;ma_wayland_library_2020,1,2020-2023,"COLLECTIVE BARGAINING AGREEMENT BETWEEN
TOWN OF WAYLAND AND

INTERNATIONAL ASSOCIATION OF FIREFIGHTERS,
AFL-CIO LOCAL 1978

Effective: July 1, 2020 through June 30, 2023

Table of Contents

ARTICLE 1 ",10,The text sets specific pay/stipend amounts but uses no explicit wage or compensation comparisons to other employers or jurisdictions for justification.,[],[],[],[],0,0,0,0,0,0,0,18373,120
ma_wayland_other_2021,ma_wayland_other_2021,ma_wayland,Wayland,Wayland,other,0,cba,causal,2021-07-01,2023-06-30,2021-2023,ocr_messy,,,,,2021-2023,"COLLECTIVE BARGAINING AGREEMENT
BETWEEN
THE TOWN OF WAYLAND
AND
LOCAL 690 WAYLAND ~ 1 and LOCAL 690 WAYLAND - 2
AMERICAN FEDERATION OF STATE,
COUNTY, AND MUNICIPAL EMPLOYEES

(AFSCME 690 Wayland — 1 a",10,"The agreement sets specific wages and stipends but relies almost entirely on internal schedules/studies, with no explicit peer-jurisdiction wage comparisons to justify terms.",[],[],[],[],0,0,0,0,0,0,0,27431,108
ma_wayland_public_works_2020,ma_wayland_public_works_2020,ma_wayland,Wayland,Wayland,public_works,0,cba,causal,2020-07-01,2023-06-30,2020-2023,ocr_messy,,,,,2020-2023,"COLLECTIVE BARGAINING AGREEMENT

BETWEEN

TOWN OF WAYLAND
AND
WAYLAND DPW ASSOCIATION,

TEAMSTERS LOCAL !70

Effective: July 1, 2020 - June 30, 2023

TABLE OF CONTENTS

ARTICLE

Oo OG +s DA A Rh Wwe P",5,The agreement sets wages and stipends via internal step/base-rate schedules without any explicit comparisons to other employers or jurisdictions.,[],[],[],[],0,0,0,0,0,0,0,20245,75
ma_wayland_library_2020,ma_wayland_library_2020,ma_wayland,Wayland,Wayland,library,0,cba,causal,2020-07-01,2023-06-30,2020-2023,ocr_messy,,,,,2020-2023,"TOWN OF WAYLAND

BETWEEN THE
TOWN OF WAYLAND
AND
THE WAYLAND LIBRARY STAFF ASSOCIATION

MET, AFT, AFL-CIO

COLLECTIVE BARGANING
CONTRACT

July 1, 2020 — June 30, 2023

Table of Contents

Preamble ....",5,"Text sets wages and other compensation via fixed percentages, internal step ranges, and internal agreements, with no explicit peer/employer wage comparisons.",[],[],[],[],0,0,0,0,0,0,0,14890,97
ma_wayland_fire_jlmc_2020,ma_wayland_fire_jlmc_2020,ma_wayland,Wayland,Wayland,fire,1,arbitration_award,causal,2020-07-01,2023-06-30,2020-2023,clean,exact_cycle,library;public_works,ma_wayland_public_works_2020;ma_wayland_library_2020,1,2020-2023,"COMMONWEALTH OF MASSACHUSETTS
                                  BEFORE THE
                      JOINT LABOR-MANAGEMENT COMMITTEE


                                                           DOCKET NO",0,"The award specifies wage increases and specific pay rates but provides no explicit comparisons to other employers, communities, or jurisdictions.",[],[],[],[],0,0,0,0,0,0,0,1770,88
