compatible_units,direction_only_if_tier3,formula_reproduced,passed,result_id,role_caveat_present,second_pass,tier,tier_traceable,unit_type
True,True,True,True,AGGRES-96a455bfe26e6f98490383b9,True,passed,tier_2_bounded_analytically_usable,True,growth
True,True,True,True,AGGRES-5191ec9e3f4606bff37caa91,True,passed,tier_2_bounded_analytically_usable,True,growth
True,True,True,True,AGGRES-054fe2010a4621503ae885c0,True,passed,tier_2_bounded_analytically_usable,True,growth
True,True,True,True,AGGRES-7770d125784ab4abee283cad,True,passed,tier_2_bounded_analytically_usable,True,staffing
True,True,True,True,AGGRES-42ef61f8982997ae94addc7f,True,passed,tier_2_bounded_analytically_usable,True,staffing
True,True,True,True,AGGRES-dff21ef350b089f73572e4de,True,passed,tier_2_bounded_analytically_usable,True,staffing
True,True,True,True,AGGRES-70394126da89da99e61d6ca2,True,passed,tier_2_bounded_analytically_usable,True,staffing
True,True,True,True,AGGRES-819fcc8c7f3ea042004dd8e8,True,passed,tier_2_bounded_analytically_usable,True,staffing
True,True,True,True,AGGRES-7a147f4aef3b801b1fffcc62,True,passed,tier_2_bounded_analytically_usable,True,staffing
True,True,True,True,AGGRES-7863ea24f07253328014ed64,True,passed,tier_2_bounded_analytically_usable,True,staffing
True,True,True,True,AGGRES-9460bdb87d2e09b039766fc6,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-9842e6ded6cb2f1743c3da45,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-86dd3ca31b063e4379bf44bd,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-eb31e8dce0ab3f924fdc461e,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-b17f640fa3768a8168473d5f,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-fe2c8b7dd38d811df5971e25,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-babdbda6a5c0c300d4951b36,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-489abf5e606286aa59b8c0f8,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-8c68346ed23e5753c96b2f67,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-35a668dc98a9727a9172202d,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-2c1c2d0a38930238a08e5375,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-52dfdaf8e5dd6f346bb76e01,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-f5472649019ef1754bd617ac,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-3edb7a80fd92fa8fef0eae65,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-a907293e46f43d49fa1d4cfa,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-75c891732e775bb173ab608b,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-202df50279385265c5e39481,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-974754fca0f86d21e7c5eee2,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-aa322bd24e1e03b18bd022e6,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-b47c862119ddea62a5175ae1,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-4d4b36bff5f28ef45e9c6c18,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-3e1759b46929d8d1debe3087,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-7dd5fc9120e89d9abe90df0c,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-22014bc76c97bfb77722e375,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-8c01a4e337bf23426cf65a04,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-c47185ebda56763f3afc3e48,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-6d605a5d38451f4f3a3178f6,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-649998d84ca9af359d30f628,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-be5637fb656776c491b7fe53,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-7cf138256725c43fb3b4844f,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-92d9b8d01895c1563821c048,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-25d540c480dbab2dab9849ad,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-0d97b49bfc4186bc38d333e3,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-b9d445fc3de667cd31fbd96c,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-7d88d6f70d94337319f8baf1,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-fbec05a54eac0325e2088311,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-1a60592fcf2ee66333ad376d,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-afa7a7cb45acb2c5c99223ca,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-fae297d22f5565147a7f44e8,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-dfea62a672b0621683f1b41a,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-8fae5c305b85bee3c54ca3d6,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-0d735da7fc1f9a75601abfdc,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-f050f96d00f1514b4acb2a1d,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-c668dd758ccc8de1132f58cc,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-b9be7b9708a15adc335e2b36,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-1107794181e7091ef8c7715d,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-2a64a44f5b68235f9b9ce56a,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-7aa623c9df0ace8fdf933c53,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-639d3c6a5dd1287bad2948b4,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-7594a9b5a19327863f029726,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-0db6fae47281bb73fd40a6ac,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-2ff5d9165b98163812817626,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-50c2f69f55b7940a07b30a00,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-89ea49dc2292c571cfe4d46a,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-55cc2e35888389a5c85a6fd0,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-cccc88b199ca0e882a1cb537,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-6cc23b9930cd8805d937ef7c,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-0ac0c466365029038a9d921a,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-2bef5904e8cb9a7da5f4fd09,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-4af69b7e1b20a50721241959,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-c1b12caee5842c4989604612,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-168f9f5a8f898ee6d34dcdf6,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-47b873b067e1a49bc61a7b41,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-bfe4b49224479ff94e606e25,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-ac6b614323b7b1660164546e,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-830112af40775e38119cbdb1,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-861b49fef45f8094102e9e27,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-4ca9f8d75b93608fca1e2ecd,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-95fe367b7bc7cf2054a71532,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-67b85a87508c07050df1c2a4,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-f964f3f1738f2463822e1eb2,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-b49659bdedaf5d6aee18abd4,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-511da298cf6c259bf2987f33,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-63ca0f1d6e772bfbed7373ed,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-74352a4914b87a7756961ac1,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-df89bbda18208cbad088e5c8,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-4ba1e3975b6ac070a504ac38,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-87355c42b21f7b42603df44e,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-90ac70b92dc6cc97208f9328,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-617d658d07ee03e13d8e6f70,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-2df1b87df742d08c62e1e67b,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-941f8aa132f0c77a26de63e3,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-b4460248d18485d0b6abefb3,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-ae4abb67a987b07342b90a3d,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-34b5df076a26d6eb6b9c02f5,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-de8117d886832c3f5d432162,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-1f18b00647fdd8a491ad50bd,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-85b694c2386e7ecb6c0d12cb,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-1aa5cb3bafcf9be3799590e8,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-983e41110b9221c5389781e7,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-a2c172b11f36d7ce38f29a05,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-e594cd645f2129160df47b4f,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-cdd8cf4c23747cdb0a6ec336,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-164e20236875d87ddd0783ce,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-e6c068dc2c60a01f03b57071,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-7b010e1518bcef49f4d67500,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-0bcd1f9687adc6d50664d918,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-7c6f1f8de9fe23359a150a4f,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-ca76f23b48fff1e198c695de,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-9ed7eb89f1475fa3506824ff,True,passed,tier_3_directional_or_mechanism_supporting,True,growth
True,True,True,True,AGGRES-8a3c476b663911d22e77f363,True,passed,tier_2_bounded_analytically_usable,True,counterexample
True,True,True,True,AGGRES-ca6cbd945d2a65a1e31cdd05,True,passed,tier_3_directional_or_mechanism_supporting,True,counterexample
True,True,True,True,AGGRES-8b0e82a45e2b49048511273f,True,passed,tier_3_directional_or_mechanism_supporting,True,counterexample
True,True,True,True,AGGRES-5acddcb9b6ccf903e5635fb7,True,passed,tier_3_directional_or_mechanism_supporting,True,counterexample
True,True,True,True,AGGRES-97ce0631159c576cd89fb778,True,passed,tier_3_directional_or_mechanism_supporting,True,counterexample
True,True,True,True,AGGRES-775a791c28628b67e73e4866,True,passed,tier_3_directional_or_mechanism_supporting,True,counterexample
True,True,True,True,AGGRES-c9295b8cc6631db1b0a5c948,True,passed,tier_3_directional_or_mechanism_supporting,True,counterexample
