document_identity_id,retained_content_hash_reference,retained_content_hash_status,extraction_case_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,quantitative_source_row_count,quantitative_active_row_count,qualitative_source_row_count,qualitative_active_row_count,mixed_source_row_count,mixed_active_row_count,non_base_wage_source_row_count,non_base_wage_active_row_count,reference_and_exclusion_source_row_count,reference_and_exclusion_active_row_count,has_inactive_provenance_rows,has_duplicate_provenance,has_explicit_unresolved_conflict
doc_026927b3d41346fa915e3ba4,doc_026927b3d41346fa915e3ba4,opaque_sha256_derived_identity_from_frozen_selection,cexrem_1d893c0124dddd44b0afb34f,ttd_ac651ce20a584d7000ae168d,sr_77d74e69b23f0683d6e3d27b,NSCQ-IL-20260720-0219,IL,Bartlett,VILLAGE OF BARTLETT,police,arbitration_award,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_02a95f05841194513f8d7a7c,doc_02a95f05841194513f8d7a7c,opaque_sha256_derived_identity_from_frozen_selection,cex1000_4c4974544ece48d95021df22,ttd_2dd18fed31bed69736e37386,sr_f8aa3f99435a5de2de09b8af,NSCQ-CA-20260720-0429,CA,Glendora,CITY OF GLENDORA,non_safety,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_02b2fa3c25b8c8961594b650,doc_02b2fa3c25b8c8961594b650,opaque_sha256_derived_identity_from_frozen_selection,cex_7ed821d25d407095ec0fd2e4,ttd_294967b35b523a4c83cc9185,sr_cb1f7d077c71c782a0121ef0,NSCQ-MT-20260720-0025,MT,Belgrade,CITY OF BELGRADE,police,cba,3,3,3,3,1,1,6,6,0,0,false,false,false
doc_02c0c9cf75873b9720b83cb8,doc_02c0c9cf75873b9720b83cb8,opaque_sha256_derived_identity_from_frozen_selection,cexrem_5edbe3cea67fb15e47297d39,ttd_979440ff7e6f988d2a4ba2b7,sr_263db17be4557b353a1af125,NSCQ-MA-20260720-0158,MA,Winthrop Town,CITY OF WINTHROP TOWN,non_safety,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_02cec9f0111f5a978cc48ab1,doc_02cec9f0111f5a978cc48ab1,opaque_sha256_derived_identity_from_frozen_selection,cexrem_af7e0f6ce570b70fc386c895,ttd_925ce8259fce7aa521a1f75d,sr_e6351d9a7848419225432909,NSCQ-PA-20260720-0009,PA,Allentown,CITY OF ALLENTOWN,fire,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_02e040ab70a9eab9ecea108c,doc_02e040ab70a9eab9ecea108c,opaque_sha256_derived_identity_from_frozen_selection,cex1000_4849bd96f9a0001488c0649d,ttd_7299afdb7bf850bc30ba652d,sr_3b405a4c42f45ccb2bcb3bd4,NSCQ-IL-20260720-0012,IL,Springfield,CITY OF SPRINGFIELD,non_safety,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_02ee034e039b6a8cee52c08b,doc_02ee034e039b6a8cee52c08b,opaque_sha256_derived_identity_from_frozen_selection,cex1000_fb8b018b3fd1fc6f43795dd0,ttd_242b3b319015284092c60325,sr_df542961e17320c80649f361,NSCQ-OH-20260720-0348,OH,Niles,CITY OF NILES,non_safety,cba,3,3,3,3,1,1,5,5,0,0,false,false,false
doc_0325899cb21bd9f00b728eb8,doc_0325899cb21bd9f00b728eb8,opaque_sha256_derived_identity_from_frozen_selection,cex_b57cdda4f0119a7aef3c0107,ttd_d91e66364052f0c0ae10c962,sr_5e79d0a78c7dc124f2fa368b,NSCQ-NH-20260720-0019,NH,Dover,CITY OF DOVER,non_safety,cba,1,1,1,1,1,1,2,2,0,0,false,false,false
doc_032ab3eb92cd7ac1814f13a9,doc_032ab3eb92cd7ac1814f13a9,opaque_sha256_derived_identity_from_frozen_selection,cexrem_cbc0e41f00e239065afd8a3f,ttd_4952ef58bd79c81e7c31dc1e,sr_e411ecfbef2a2c5990fad942,NSCQ-WI-20260720-0041,WI,Fond du Lac,CITY OF FOND DU LAC,fire,cba,0,0,0,0,0,0,4,4,0,0,false,false,false
doc_032ec138ab96d8e495bb72c3,doc_032ec138ab96d8e495bb72c3,opaque_sha256_derived_identity_from_frozen_selection,cex_634d8c2916509fe7e7dce92c,ttd_fbd5fadbb062e75ec84aacaa,sr_2b64a90c6f6403d9713a2c99,NSCQ-AK-20260720-0012,AK,Wasilla,CITY OF WASILLA,non_safety,cba,0,0,1,1,0,0,3,3,1,1,false,false,false
doc_03b6f85240ee47948d6d4343,doc_03b6f85240ee47948d6d4343,opaque_sha256_derived_identity_from_frozen_selection,cex1000_4148e18eeba6c95d4623a80d,ttd_6d0cbf2d447fb1910d340fec,sr_a0d250979f8615dfb368c9eb,NSCQ-OH-20260720-0130,OH,Stow,CITY OF STOW,non_safety,cba,0,0,1,1,0,0,1,1,0,0,false,false,false
doc_03d9f6bf16f23edc6190919c,doc_03d9f6bf16f23edc6190919c,opaque_sha256_derived_identity_from_frozen_selection,cex_602e82106d789d67e1473e4e,ttd_22f64f3afd4f65ac49242941,sr_e6845e2324cccd5f4349b2d3,NSCQ-WA-20260720-0151,WA,Anacortes,CITY OF ANACORTES,fire,cba,0,0,1,1,0,0,0,0,1,1,false,false,false
doc_0465abc1d0ebb6a5902f5b36,doc_0465abc1d0ebb6a5902f5b36,opaque_sha256_derived_identity_from_frozen_selection,cex1000_e8238269767fed135c5a6edf,ttd_694e34251166116184c5613b,sr_533041479c3d734ad971cc4e,NSCQ-IL-20260720-0125,IL,Carpentersville,VILLAGE OF CARPENTERSVILLE,non_safety,cba,0,0,0,0,0,0,4,4,0,0,false,false,false
doc_046f3891685a7013d3f9837d,doc_046f3891685a7013d3f9837d,opaque_sha256_derived_identity_from_frozen_selection,cex1000_5f64492d0aed14a457df8ddb,ttd_7a8cb857315413e58db09fea,sr_961b10dd386dd33c9c08e650,NSCQ-OH-20260720-0755,OH,Moraine,CITY OF MORAINE,police,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_0489000e761db9eca0aeb2da,doc_0489000e761db9eca0aeb2da,opaque_sha256_derived_identity_from_frozen_selection,cex1000_e3a2f4704927f916738b8c52,ttd_8437063d32ddbe7733902f53,sr_47a672fe23527bcf4357ef92,NSCQ-OH-20260720-0252,OH,Painesville,CITY OF PAINESVILLE,police,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_04a3577a67910e7b33c250d4,doc_04a3577a67910e7b33c250d4,opaque_sha256_derived_identity_from_frozen_selection,cex_ba96381e5253b417468c090a,ttd_a147f01b5ce620b2873c6853,sr_81abc2adbe409911ae27758a,NSCQ-OK-20260720-0009,OK,Norman,CITY OF NORMAN,police,cba,0,0,1,1,0,0,3,3,0,0,false,false,false
doc_04ad2b80d7b2698b1274d178,doc_04ad2b80d7b2698b1274d178,opaque_sha256_derived_identity_from_frozen_selection,cexrem_57da78a0a53d62acbf454aec,ttd_42548472695373c03373b3ef,sr_95d5f5cc16e8e5f218da0e09,NSCQ-CO-20260720-0021,CO,Brighton,CITY OF BRIGHTON,non_safety,ordinance_or_policy,0,0,2,2,0,0,0,0,0,0,false,false,false
doc_04bb5286fdf302366c2b1f83,doc_04bb5286fdf302366c2b1f83,opaque_sha256_derived_identity_from_frozen_selection,cexrem_9fa31dd718d78d98028c9b43,ttd_95cdf07630b559dca940ca7b,sr_776fc0f7c32652337425eb8b,NSCQ-IL-20260720-0253,IL,Homer Glen,VILLAGE OF HOMER GLEN,non_safety,cba,0,0,0,0,0,0,2,2,0,0,false,false,false
doc_04f12d902d6e4e983844ae8b,doc_04f12d902d6e4e983844ae8b,opaque_sha256_derived_identity_from_frozen_selection,cex_47fc35f9d528af0ec6185b9d,ttd_ec34d7978abf7b0f7a0ad879,sr_8597d3a12fde454e0d499f62,NSCQ-MN-20260720-0014,MN,Duluth,CITY OF DULUTH,non_safety,cba,5,5,3,3,1,1,5,5,0,0,false,false,false
doc_052cd5da69634b43c60b89c5,doc_052cd5da69634b43c60b89c5,opaque_sha256_derived_identity_from_frozen_selection,cexrem_1d8c94e3fafe3d853d5df15d,ttd_c6dd2d07d5023b5bae0ecbd3,sr_511114747f83b44ebfa8b081,NSCQ-TX-20260720-0079,TX,Bryan,CITY OF BRYAN,fire,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_052d35483c771b0535ac993f,doc_052d35483c771b0535ac993f,opaque_sha256_derived_identity_from_frozen_selection,cexrem_65816a49be8a7f157865fbb5,ttd_e185a4d682549841cbcc4016,sr_5a6761663e781b052f8a609b,NSCQ-MA-20260720-0110,MA,Marlborough,CITY OF MARLBOROUGH,fire,cba,0,0,0,0,0,0,4,4,0,0,false,false,false
doc_054a6af95f12a12431368490,doc_054a6af95f12a12431368490,opaque_sha256_derived_identity_from_frozen_selection,cexrem_43f707e151b7ebfc9fe0bfd2,ttd_fbca72d2ac15b1b2c028d91b,sr_a169432c0d4dc3e223248d36,NSCQ-NY-20260720-0089,NY,Plattsburgh,CITY OF PLATTSBURGH,non_safety,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_0552704caf68568641fa7f14,doc_0552704caf68568641fa7f14,opaque_sha256_derived_identity_from_frozen_selection,cex_17f26d91d738a16964d7b0e7,ttd_dcab1abb2b421c7f336a5ca0,sr_d6ef2ecfb0edd5ecd4a5bf45,NSCQ-MI-20260720-0026,MI,Midland,CITY OF MIDLAND,non_safety,cba,0,0,4,4,0,0,4,4,0,0,false,false,false
doc_05846987cebc241be3b400d0,doc_05846987cebc241be3b400d0,opaque_sha256_derived_identity_from_frozen_selection,cex_39c647f48c9ce29b5fba4239,ttd_45873d3d17895009e207a8ef,sr_aee1d12b03cb5aa6880b6dba,NSCQ-OR-20260720-0111,OR,Ontario,CITY OF ONTARIO,non_safety,wage_schedule_or_compensation_plan,5,5,0,0,0,0,0,0,0,0,false,false,false
doc_05a50ba88af6a8e7ef44ab85,doc_05a50ba88af6a8e7ef44ab85,opaque_sha256_derived_identity_from_frozen_selection,cexrem_169c7e7206c05458ed225399,ttd_9e770c3f592d278fb4f31272,sr_afc1fc081e6a8d2f3e96038b,NSCQ-MS-20260720-0007,MS,Biloxi,CITY OF BILOXI,non_safety,wage_schedule_or_compensation_plan,5,5,0,0,0,0,0,0,0,0,false,false,false
doc_05a7886aee9b42297167c5cd,doc_05a7886aee9b42297167c5cd,opaque_sha256_derived_identity_from_frozen_selection,cexrem_7ff459ee7efa18e0381dce44,ttd_5e8e84d7483b9816da046526,sr_234b9111fcc0441633fcc935,NSCQ-MN-20260720-0060,MN,Savage,CITY OF SAVAGE,non_safety,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_05ae94499158f877b817c17f,doc_05ae94499158f877b817c17f,opaque_sha256_derived_identity_from_frozen_selection,cex_d007a3ad5fc6446b74229fa0,ttd_eb174a76d03767000b80953b,sr_b9a2055dbdd4fd2994034acd,NSCQ-MN-20260720-0012,MN,Duluth,CITY OF DULUTH,police,cba,0,0,5,5,0,0,8,8,0,0,false,false,false
doc_05bb560aa9034e679cd20109,doc_05bb560aa9034e679cd20109,opaque_sha256_derived_identity_from_frozen_selection,cexrem_674e89d2030a0b0e2e2be5b6,ttd_ebca6b17447fffa24758caa5,sr_f46a3bcde5cc70e4276e1e3f,NSCQ-OH-20260720-0696,OH,Fairlawn,CITY OF FAIRLAWN,fire,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_05c62080ba0f61fd87437d0d,doc_05c62080ba0f61fd87437d0d,opaque_sha256_derived_identity_from_frozen_selection,cex_99bd10f87d91931f59aacf04,ttd_e7de2fa959f1cdd12ba3e87e,sr_6380ea150066ba608512a9de,NSCQ-CA-20260720-0394,CA,San Bruno,CITY OF SAN BRUNO,police,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_060db59a973dc63a06125293,doc_060db59a973dc63a06125293,opaque_sha256_derived_identity_from_frozen_selection,cexrem_2b932aa6c51ec19491082310,ttd_f11c1fbea385518e998e2d43,sr_70758f3abcd79d9f1fc5aaf3,NSCQ-CA-20260720-0085,CA,Garden Grove,CITY OF GARDEN GROVE,non_safety,cba,4,4,0,0,0,0,5,5,0,0,false,false,false
doc_0612737cb3a4077bdea38639,doc_0612737cb3a4077bdea38639,opaque_sha256_derived_identity_from_frozen_selection,cexrem_faba7df21ba469398040dea9,ttd_535211fdda1d5955a66f49f8,sr_b39929bf685c63053951b574,NSCQ-OH-20260720-0123,OH,Mason,CITY OF MASON,police,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_065a39ebc7e0b8d966482356,doc_065a39ebc7e0b8d966482356,opaque_sha256_derived_identity_from_frozen_selection,cex_96493b49736d6f7327c3e0ce,ttd_11cc9d75a067349da0e43602,sr_0c71b3057818ff31c8d80d8d,NSCQ-MA-20260720-0100,MA,Attleboro,CITY OF ATTLEBORO,non_safety,cba,3,3,1,1,1,1,5,5,0,0,false,false,false
doc_06603920ebc913f3f6afe1c8,doc_06603920ebc913f3f6afe1c8,opaque_sha256_derived_identity_from_frozen_selection,cexrem_1301e6955416ea4378194e19,ttd_5152ab99181d22d564ae4964,sr_272eba05d55d401649848e75,NSCQ-MI-20260720-0107,MI,Hamtramck,CITY OF HAMTRAMCK,fire,memorandum_or_settlement,5,5,1,1,1,1,5,5,0,0,false,false,false
doc_06732dab57ddb71b8c3640c6,doc_06732dab57ddb71b8c3640c6,opaque_sha256_derived_identity_from_frozen_selection,cex1000_c08611b9899fd8bdf1445155,ttd_93f5a59de798d1e54fab85fe,sr_8883da35542d21f9c08306a8,NSCQ-CA-20260720-0039,CA,Modesto,CITY OF MODESTO,fire,cba,0,0,3,3,0,0,4,4,0,0,false,false,false
doc_0678588a7325ca6be975d921,doc_0678588a7325ca6be975d921,opaque_sha256_derived_identity_from_frozen_selection,cex1000_c8a71b4536665774513b2c66,ttd_99d8234acb4d52b175e1cd24,sr_a92cb9fac364c91b275ab9f7,NSCQ-WA-20260720-0173,WA,Tukwila,CITY OF TUKWILA,police,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_06b718cb90e09c0cdcd92864,doc_06b718cb90e09c0cdcd92864,opaque_sha256_derived_identity_from_frozen_selection,cexrem_2cbf5ad5f1a9237b3a761feb,ttd_dd427968c7e3d16189f9862f,sr_c12bb57fd17f3bd9781f4cda,NSCQ-IL-20260720-0077,IL,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,police,cba,0,0,0,0,0,0,2,2,0,0,false,false,false
doc_06d3efc56d5928f6f34191cd,doc_06d3efc56d5928f6f34191cd,opaque_sha256_derived_identity_from_frozen_selection,cex_e469fdd18c2c380fe9bc356d,ttd_a7ca0dde0ef19ad10047f56c,sr_e502cbf1452fd01f3ef87efc,NSCQ-MN-20260720-0117,MN,Golden Valley,CITY OF GOLDEN VALLEY,police,cba,5,4,5,5,0,0,6,6,0,0,true,false,false
doc_06f128c85be3e2229ac6dc86,doc_06f128c85be3e2229ac6dc86,opaque_sha256_derived_identity_from_frozen_selection,cexrem_60dab7076636ed91058798d8,ttd_9a66d5df8f82ce17dd124331,sr_612e9790326d2a8b95224587,NSCQ-OH-20260720-0677,OH,Bellbrook,CITY OF BELLBROOK,police,cba,0,0,0,0,0,0,1,1,0,0,false,false,false
doc_0708e524fbdbc4c8d01999a0,doc_0708e524fbdbc4c8d01999a0,opaque_sha256_derived_identity_from_frozen_selection,cex1000_7ff8988a7cf263e1c455ee89,ttd_add19f1db87093f452dddc8e,sr_f67b353700ac352fd81508f5,NSCQ-OH-20260720-0187,OH,Wadsworth,CITY OF WADSWORTH,police,cba,0,0,0,0,0,0,1,1,0,0,false,false,false
doc_075dd1368b9c28b420176b7a,doc_075dd1368b9c28b420176b7a,opaque_sha256_derived_identity_from_frozen_selection,cex1000_117dc02569d1133da59bd47d,ttd_68a92de7f4833f61f8dcb11a,sr_2aec268604d3098da63be6db,NSCQ-OH-20260720-0255,OH,Parma Heights,CITY OF PARMA HEIGHTS,police,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_07a25ff891920b4d732a180c,doc_07a25ff891920b4d732a180c,opaque_sha256_derived_identity_from_frozen_selection,cexrem_f09cc0a9db4f3b170fc9268a,ttd_f540ed99a9b2bfa9aa8c9066,sr_a925a781be81468ae85e6da1,NSCQ-CO-20260720-0012,CO,Greeley,CITY OF GREELEY,police,cba,5,5,2,2,1,1,5,5,0,0,false,false,false
doc_07c571f514fbd5c8dcddfce1,doc_07c571f514fbd5c8dcddfce1,opaque_sha256_derived_identity_from_frozen_selection,cex_cba212433b28e2332af5a304,ttd_f03426b4892b87d38a790bf0,sr_f071e09d1c895d37c9cd1ec3,NSCQ-MT-20260720-0042,MT,Whitefish,CITY OF WHITEFISH,police,cba,5,5,2,2,1,1,3,3,0,0,false,false,false
doc_07dae4b5dd69bd179a27c43b,doc_07dae4b5dd69bd179a27c43b,opaque_sha256_derived_identity_from_frozen_selection,cexrem_9a14df939ff93a27609db2d4,ttd_c267211a10504ef011a74567,sr_85c56ab5824fb977fae5847f,NSCQ-OH-20260720-0072,OH,Pickerington,CITY OF PICKERINGTON,non_safety,cba,0,0,2,2,0,0,0,0,0,0,false,false,false
doc_081030ab42a8023c034d183a,doc_081030ab42a8023c034d183a,opaque_sha256_derived_identity_from_frozen_selection,cexrem_97304c98a92cabebfa40b28a,ttd_8694fb252acee96b428bb3e5,sr_dc4393d6b65f959505502bd2,NSCQ-OH-20260720-0720,OH,Kirtland,CITY OF KIRTLAND,police,cba,0,0,0,0,0,0,3,3,0,0,false,false,false
doc_085e552af3785ac59004ef05,doc_085e552af3785ac59004ef05,opaque_sha256_derived_identity_from_frozen_selection,cex1000_de26705b4e10e4e7b4a8ce04,ttd_c0a16838f2c15ada3803a0f7,sr_ba0d16e0b435765e1a451cff,NSCQ-CA-20260720-0230,CA,San Leandro,CITY OF SAN LEANDRO,police,cba,0,0,1,1,0,0,4,4,0,0,false,false,false
doc_089f5024f853c8d25f683744,doc_089f5024f853c8d25f683744,opaque_sha256_derived_identity_from_frozen_selection,cex_58d8cbf0484faedc01ef18ad,ttd_0b141ffac96904f0b9f0ca38,sr_c17c393257b3cfce47e18781,NSCQ-CT-20260720-0061,CT,Manchester,TOWN OF MANCHESTER,fire,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_08b5ba425cdc6e33796d5932,doc_08b5ba425cdc6e33796d5932,opaque_sha256_derived_identity_from_frozen_selection,cexrem_8f874b79109afd37ca03171b,ttd_32fb95b1da28c3c58fa2a2d9,sr_54d4733da5d100e386d52091,NSCQ-NE-20260720-0025,NE,Scottsbluff,CITY OF SCOTTSBLUFF,non_safety,wage_schedule_or_compensation_plan,3,3,2,2,1,1,0,0,0,0,false,false,false
doc_08e9104b0d41f69d83a7d185,doc_08e9104b0d41f69d83a7d185,opaque_sha256_derived_identity_from_frozen_selection,cexrem_a974d9d17d8a33a827f09d70,ttd_d0c4a4c9dfaa1ec82d24a7cb,sr_b1f38910d6b594330536cbfc,NSCQ-WA-20260720-0138,WA,Bonney Lake,CITY OF BONNEY LAKE,non_safety,cba,0,0,0,0,0,0,3,3,0,0,false,false,false
doc_09260a1e0b22fb78f68d3e3e,doc_09260a1e0b22fb78f68d3e3e,opaque_sha256_derived_identity_from_frozen_selection,cex1000_c9936a8b0375adae050e6d6a,ttd_bb7ed6cf5bbcb31a290162b8,sr_18f364ece4f31d0af7ea187c,NSCQ-CA-20260720-0707,CA,El Cerrito,CITY OF EL CERRITO,police,cba,0,0,0,0,0,0,5,5,0,0,false,false,false
doc_0932091ec94a1c91ee17a3b4,doc_0932091ec94a1c91ee17a3b4,opaque_sha256_derived_identity_from_frozen_selection,cexrem_5e9ae4b53f71d0f7cb088fa5,ttd_e01ac2c10aae43c84a225c18,sr_a467f2dabc204c457f23a9a7,NSCQ-CA-20260720-0534,CA,Placentia,CITY OF PLACENTIA,fire,cba,0,0,0,0,0,0,0,0,1,1,false,false,false
doc_09b792627b1f25132c9cb97e,doc_09b792627b1f25132c9cb97e,opaque_sha256_derived_identity_from_frozen_selection,cex_9ef5de7ba915e0082c99d79e,ttd_6e8e602b54ea66c7bfd18956,sr_bc0a55592c5f063b88711d94,NSCQ-IL-20260720-0212,IL,Alton,CITY OF ALTON,fire,cba,1,1,1,1,1,1,1,1,0,0,false,false,false
