municipality,attempted_count,extracted_ok_count,empty_or_too_short_count,low_text_density_count,suspected_bad_text_layer_count,html_noisy_or_shell_count,other_document_extraction_unsupported_count,extraction_error_count
Andalusia,1,1,0,0,0,0,0,0
Anderson,6,6,0,0,0,0,0,0
Andover,2,2,0,0,0,0,0,0
Andrews,2,2,0,0,0,0,0,0
Angel Fire,1,1,0,0,0,0,0,0
Angleton,1,1,0,0,0,0,0,0
Angola,2,2,0,0,0,0,0,0
Angoon,2,2,0,0,0,0,0,0
Anna,1,1,0,0,0,0,0,0
Anniston,3,3,0,0,0,0,0,0
Ansted,2,2,0,0,0,0,0,0
Anthony,2,2,0,0,0,0,0,0
Antwerp,2,2,0,0,0,0,0,0
Apache Junction,1,1,0,0,0,0,0,0
Appalachia,1,0,0,0,0,1,0,0
Apple Creek,1,1,0,0,0,0,0,0
Appomattox,2,2,0,0,0,0,0,0
Arcadia,5,4,0,0,0,1,0,0
Arcanum,2,2,0,0,0,0,0,0
Archdale,2,2,0,0,0,0,0,0
Arco,2,1,0,0,0,1,0,0
Arden,3,3,0,0,0,0,0,0
Argusville,2,2,0,0,0,0,0,0
Arkansas City,1,1,0,0,0,0,0,0
Arlington,2,2,0,0,0,0,0,0
Armour,1,1,0,0,0,0,0,0
Artesia,1,1,0,0,0,0,0,0
Asbury,1,1,0,0,0,0,0,0
Asheboro,2,2,0,0,0,0,0,0
Ashland,2,2,0,0,0,0,0,0
Ashland City,1,1,0,0,0,0,0,0
Asotin,1,1,0,0,0,0,0,0
Atchison,1,0,0,0,0,1,0,0
Athena,2,2,0,0,0,0,0,0
Athens,7,7,0,0,0,0,0,0
Athol,2,2,0,0,0,0,0,0
Atkinson,2,2,0,0,0,0,0,0
Atlanta,1,0,0,0,0,1,0,0
Atlantic Beach,2,2,0,0,0,0,0,0
Atqasuk,1,1,0,0,0,0,0,0
Attalla,1,1,0,0,0,0,0,0
Auburn,3,3,0,0,0,0,0,0
Audubon,3,3,0,0,0,0,0,0
Augusta,2,2,0,0,0,0,0,0
Aumsville,1,1,0,0,0,0,0,0
Austell,2,1,0,0,0,1,0,0
Austintown,4,4,0,0,0,0,0,0
Avenal,4,4,0,0,0,0,0,0
Avon,1,1,0,0,0,0,0,0
Azle,5,4,0,0,0,1,0,0
Aztec,2,2,0,0,0,0,0,0
Babylon,2,2,0,0,0,0,0,0
Bainville,2,2,0,0,0,0,0,0
Baker,1,1,0,0,0,0,0,0
Baltimore,2,2,0,0,0,0,0,0
Banks,2,2,0,0,0,0,0,0
Bar Harbor,2,2,0,0,0,0,0,0
Bar Nunn,3,3,0,0,0,0,0,0
Barboursville,1,1,0,0,0,0,0,0
Bardstown,2,2,0,0,0,0,0,0
Barnwell,1,1,0,0,0,0,0,0
Barrington,7,7,0,0,0,0,0,0
Barton,1,1,0,0,0,0,0,0
Basehor,1,1,0,0,0,0,0,0
Bastrop,2,2,0,0,0,0,0,0
Batavia,2,2,0,0,0,0,0,0
Batesburg-Leesville,1,0,0,0,0,1,0,0
Batesville,5,4,0,0,0,1,0,0
Bath,5,5,0,0,0,0,0,0
Baxter Springs,2,2,0,0,0,0,0,0
Bay Harbor Islands,1,1,0,0,0,0,0,0
Bayard,4,4,0,0,0,0,0,0
Bayside,2,2,0,0,0,0,0,0
Beach,1,1,0,0,0,0,0,0
Beach Park,2,2,0,0,0,0,0,0
Bear River,1,0,0,0,0,1,0,0
Beaufort,1,1,0,0,0,0,0,0
Beaumont,1,1,0,0,0,0,0,0
Beaver Falls,1,1,0,0,0,0,0,0
Beavercreek,1,1,0,0,0,0,0,0
Beaverton,3,1,0,0,0,2,0,0
Becker,3,3,0,0,0,0,0,0
Bedford,1,1,0,0,0,0,0,0
Beech Grove,2,2,0,0,0,0,0,0
Beekman,1,1,0,0,0,0,0,0
Beeville,3,3,0,0,0,0,0,0
Bel Aire,2,2,0,0,0,0,0,0
Belchertown,1,1,0,0,0,0,0,0
Belding,2,2,0,0,0,0,0,0
Belgrade,2,1,0,0,1,0,0,0
Belington,1,0,0,0,0,1,0,0
Belle,3,3,0,0,0,0,0,0
Belle Isle,2,2,0,0,0,0,0,0
Bellefontaine Neighbors,1,1,0,0,0,0,0,0
Bellefonte,3,3,0,0,0,0,0,0
Belleview,1,1,0,0,0,0,0,0
Belleville,3,3,0,0,0,0,0,0
Bellevue,1,1,0,0,0,0,0,0
Bellmawr,2,2,0,0,0,0,0,0
Bellwood,4,4,0,0,0,0,0,0
Belmont,3,3,0,0,0,0,0,0
Belton,3,3,0,0,0,0,0,0
Benbrook,1,1,0,0,0,0,0,0
Bennet,1,1,0,0,0,0,0,0
Bennettsville,3,3,0,0,0,0,0,0
Bennington,6,6,0,0,0,0,0,0
Benton,2,2,0,0,0,0,0,0
Benton charter,3,3,0,0,0,0,0,0
Benwood,1,1,0,0,0,0,0,0
Beresford,1,1,0,0,0,0,0,0
Berkeley,3,3,0,0,0,0,0,0
Berkeley Heights,1,1,0,0,0,0,0,0
Berlin,4,4,0,0,0,0,0,0
Berthold,1,1,0,0,0,0,0,0
Bethel,2,2,0,0,0,0,0,0
Beulah,1,1,0,0,0,0,0,0
Beverly Hills,3,3,0,0,0,0,0,0
Big Rapids,1,1,0,0,0,0,0,0
Big Sandy,2,2,0,0,0,0,0,0
Big Spring,1,1,0,0,0,0,0,0
Big Stone Gap,1,1,0,0,0,0,0,0
Black Jack,2,2,0,0,0,0,0,0
Blackfoot,1,1,0,0,0,0,0,0
Blades,2,2,0,0,0,0,0,0
Blanchard,1,1,0,0,0,0,0,0
Bloom,1,1,0,0,0,0,0,0
Bloomer,2,2,0,0,0,0,0,0
Bloomfield,4,3,0,0,0,1,0,0
Bloomington,1,1,0,0,0,0,0,0
Bloomington City,1,1,0,0,0,0,0,0
Blue Ash,2,2,0,0,0,0,0,0
Blythe,6,5,0,0,0,1,0,0
Boardman,5,5,0,0,0,0,0,0
Boerne,1,1,0,0,0,0,0,0
Bogota,1,1,0,0,0,0,0,0
Bolivar,4,2,0,0,0,2,0,0
Boone,1,1,0,0,0,0,0,0
Booneville,4,4,0,0,0,0,0,0
Boonsboro,3,3,0,0,0,0,0,0
Boothbay,1,1,0,0,0,0,0,0
Boscawen,3,3,0,0,0,0,0,0
Boscobel,2,2,0,0,0,0,0,0
Bottineau,1,0,0,0,0,1,0,0
Boulder,1,1,0,0,0,0,0,0
Bourbonnais,2,1,0,0,0,1,0,0
Bourne,1,1,0,0,0,0,0,0
Bowers,1,1,0,0,0,0,0,0
Bradford,5,5,0,0,0,0,0,0
Bradley,2,2,0,0,0,0,0,0
Brandenburg,1,1,0,0,0,0,0,0
Brattleboro,2,2,0,0,0,0,0,0
Brazil,3,3,0,0,0,0,0,0
Breaux Bridge,1,1,0,0,0,0,0,0
Brenham,2,2,0,0,0,0,0,0
Brentwood,3,3,0,0,0,0,0,0
Brewster,1,1,0,0,0,0,0,0
Briarcliff Manor,2,2,0,0,0,0,0,0
Bridgeport,3,3,0,0,0,0,0,0
Bridger,1,1,0,0,0,0,0,0
Bridgeview,1,1,0,0,0,0,0,0
Bridgeville,1,1,0,0,0,0,0,0
Bridgewater,3,3,0,0,0,0,0,0
Bridgton,1,1,0,0,0,0,0,0
Brier,1,1,0,0,0,0,0,0
Brighton,5,5,0,0,0,0,0,0
Bristol,2,2,0,0,0,0,0,0
Bristow,3,3,0,0,0,0,0,0
Britton,1,1,0,0,0,0,0,0
Broadus,2,2,0,0,0,0,0,0
Brockport,2,2,0,0,0,0,0,0
Brodhead,1,1,0,0,0,0,0,0
Brookfield,6,6,0,0,0,0,0,0
Brookhaven,4,4,0,0,0,0,0,0
Brookland,2,2,0,0,0,0,0,0
Brookline,4,4,0,0,0,0,0,0
Brooklyn,1,0,0,0,0,1,0,0
Brownstown charter,1,1,0,0,0,0,0,0
Brownsville,1,1,0,0,0,0,0,0
Brownwood,2,2,0,0,0,0,0,0
Brunswick,3,3,0,0,0,0,0,0
Brusly,1,1,0,0,0,0,0,0
Buckhannon,3,3,0,0,0,0,0,0
Buckingham,1,1,0,0,0,0,0,0
Buckley,1,1,0,0,0,0,0,0
Bucyrus,1,1,0,0,0,0,0,0
Buena Vista,4,3,0,0,0,1,0,0
Buffalo,3,3,0,0,0,0,0,0
Buffalo Grove,1,1,0,0,0,0,0,0
Buford,1,1,0,0,0,0,0,0
Buhl,2,2,0,0,0,0,0,0
Bullhead City,1,1,0,0,0,0,0,0
Burbank,1,1,0,0,0,0,0,0
Burlington,4,3,0,0,0,1,0,0
Burnsville,1,1,0,0,0,0,0,0
Burr Ridge,1,1,0,0,0,0,0,0
Butler,5,5,0,0,0,0,0,0
Byhalia,1,1,0,0,0,0,0,0
Byron,2,2,0,0,0,0,0,0
Cadillac,2,2,0,0,0,0,0,0
Calais,2,0,0,0,0,2,0,0
Caldwell,1,0,0,0,0,1,0,0
Caledonia,2,2,0,0,0,0,0,0
Calera,3,3,0,0,0,0,0,0
Calhoun,2,1,0,0,0,1,0,0
Caliente,1,1,0,0,0,0,0,0
Calimesa,2,2,0,0,0,0,0,0
Calumet,1,1,0,0,0,0,0,0
Cambridge,1,1,0,0,0,0,0,0
Camden,4,4,0,0,0,0,0,0
Cameron,2,2,0,0,0,0,0,0
Camillus,3,3,0,0,0,0,0,0
Camp Hill,1,1,0,0,0,0,0,0
Campton,1,1,0,0,0,0,0,0
Canandaigua,2,2,0,0,0,0,0,0
Cando,2,1,0,0,0,1,0,0
Canfield,2,2,0,0,0,0,0,0
Cannon Falls,1,1,0,0,0,0,0,0
Canton,1,1,0,0,0,0,0,0
Canyon Lake,1,1,0,0,0,0,0,0
Canyonville,1,1,0,0,0,0,0,0
Carefree,1,1,0,0,0,0,0,0
Carencro,2,2,0,0,0,0,0,0
Carlin,3,3,0,0,0,0,0,0
Carlisle,1,1,0,0,0,0,0,0
Carmel,1,1,0,0,0,0,0,0
Carnation,1,1,0,0,0,0,0,0
Carnegie,2,2,0,0,0,0,0,0
Carpinteria,2,2,0,0,0,0,0,0
Carrington,2,1,1,0,0,0,0,0
Carrizozo,3,1,0,0,0,2,0,0
Carroll,2,2,0,0,0,0,0,0
Carrollton,1,0,0,0,0,1,0,0
Carter Lake,2,2,0,0,0,0,0,0
Carthage,1,1,0,0,0,0,0,0
Caruthersville,1,1,0,0,0,0,0,0
Carver,2,2,0,0,0,0,0,0
Cary,1,1,0,0,0,0,0,0
Casco,1,1,0,0,0,0,0,0
Caseyville,1,1,0,0,0,0,0,0
Cashmere,1,1,0,0,0,0,0,0
Castle Dale,1,1,0,0,0,0,0,0
Castle Pines,1,1,0,0,0,0,0,0
Castle Rock,2,2,0,0,0,0,0,0
Castleton,1,1,0,0,0,0,0,0
Castlewood,4,4,0,0,0,0,0,0
Cave City,1,0,0,0,0,1,0,0
Cave Creek,1,1,0,0,0,0,0,0
Cayce,1,1,0,0,0,0,0,0
Cañon City,3,3,0,0,0,0,0,0
Cecil,3,3,0,0,0,0,0,0
Cecilton,1,1,0,0,0,0,0,0
Cedar Creek,1,1,0,0,0,0,0,0
Cedar Lake,5,5,0,0,0,0,0,0
Center,2,2,0,0,0,0,0,0
Center Line,1,1,0,0,0,0,0,0
Centerville,1,1,0,0,0,0,0,0
Centre,1,1,0,0,0,0,0,0
Ceredo,1,1,0,0,0,0,0,0
Ceres,1,1,0,0,0,0,0,0
Chagrin Falls,2,2,0,0,0,0,0,0
Chamblee,1,1,0,0,0,0,0,0
Champaign City,2,1,0,0,0,1,0,0
Channahon,4,4,0,0,0,0,0,0
Chanute,2,2,0,0,0,0,0,0
Chariton,1,1,0,0,0,0,0,0
Charleston,7,7,0,0,0,0,0,0
Charlotte,3,3,0,0,0,0,0,0
Chase City,1,0,0,0,0,1,0,0
Chaska,1,1,0,0,0,0,0,0
Chatfield,1,1,0,0,0,0,0,0
Chatham,1,1,0,0,0,0,0,0
Cheboygan,2,2,0,0,0,0,0,0
Chelsea,1,1,0,0,0,0,0,0
Cheney,2,2,0,0,0,0,0,0
Cherokee Village,2,2,0,0,0,0,0,0
Cherry Hills Village,2,2,0,0,0,0,0,0
Cheshire,1,1,0,0,0,0,0,0
Chester,6,6,0,0,0,0,0,0
Cheswold,2,2,0,0,0,0,0,0
Chickasaw,2,2,0,0,0,0,0,0
Chickasha,2,1,0,0,0,1,0,0
Chilhowie,2,2,0,0,0,0,0,0
Chilton,1,1,0,0,0,0,0,0
Chincoteague,2,2,0,0,0,0,0,0
Chisholm,2,1,0,0,0,1,0,0
Choteau,1,1,0,0,0,0,0,0
Christiansburg,2,2,0,0,0,0,0,0
Chubbuck,1,0,0,0,0,1,0,0
Church Hill,3,3,0,0,0,0,0,0
Church Point,2,2,0,0,0,0,0,0
Cicero,1,1,0,0,0,0,0,0
Cimarron,1,1,0,0,0,0,0,0
Cincinnati,3,3,0,0,0,0,0,0
Circle,2,2,0,0,0,0,0,0
Citrus Heights,1,1,0,0,0,0,0,0
Claremore,3,3,0,0,0,0,0,0
Clarinda,2,2,0,0,0,0,0,0
Clarion,2,2,0,0,0,0,0,0
Clark,2,1,0,0,0,1,0,0
Clark Fork,1,1,0,0,0,0,0,0
Clarkston,6,6,0,0,0,0,0,0
Clatskanie,2,2,0,0,0,0,0,0
Cle Elum,2,2,0,0,0,0,0,0
Clear Lake,1,1,0,0,0,0,0,0
Clearmont,1,1,0,0,0,0,0,0
Clearwater,2,2,0,0,0,0,0,0
Clemmons,4,4,0,0,0,0,0,0
Clemson,2,1,0,0,0,1,0,0
Cleveland,6,6,0,0,0,0,0,0
Clifton,2,2,0,0,0,0,0,0
Clifton Forge,2,2,0,0,0,0,0,0
Clifton Heights,1,1,0,0,0,0,0,0
Clinton,4,4,0,0,0,0,0,0
Cloudcroft,3,3,0,0,0,0,0,0
Clover,2,1,1,0,0,0,0,0
Clyde Hill,2,2,0,0,0,0,0,0
Clyde Park,1,0,0,0,0,1,0,0
Coburg,1,1,0,0,0,0,0,0
Coffeyville,2,2,0,0,0,0,0,0
Colby,3,3,0,0,0,0,0,0
Colchester,4,2,0,0,0,2,0,0
Cold Spring,2,1,0,1,0,0,0,0
Coldwater,1,1,0,0,0,0,0,0
Colerain,1,1,0,0,0,0,0,0
Collingdale,2,2,0,0,0,0,0,0
Collinsville,4,4,0,0,0,0,0,0
Colstrip,2,2,0,0,0,0,0,0
Colton,1,1,0,0,0,0,0,0
Columbia,1,1,0,0,0,0,0,0
Columbus,3,3,0,0,0,0,0,0
Columbus Grove,1,1,0,0,0,0,0,0
Colusa,1,1,0,0,0,0,0,0
Combined Locks,2,2,0,0,0,0,0,0
Commerce City,1,1,0,0,0,0,0,0
Commerce charter,3,3,0,0,0,0,0,0
Comstock charter,1,1,0,0,0,0,0,0
Concord,5,5,0,0,0,0,0,0
Connell,3,2,0,0,0,1,0,0
Connellsville,3,3,0,0,0,0,0,0
Conover,1,1,0,0,0,0,0,0
Conshohocken,1,1,0,0,0,0,0,0
Conway,2,2,0,0,0,0,0,0
Coolbaugh,1,1,0,0,0,0,0,0
Coolidge,4,4,0,0,0,0,0,0
Coon Rapids,2,2,0,0,0,0,0,0
Cooperstown,3,1,0,0,0,2,0,0
Coopersville,2,2,0,0,0,0,0,0
Coquille,1,1,0,0,0,0,0,0
Corcoran,1,1,0,0,0,0,0,0
Cordova,1,1,0,0,0,0,0,0
Corning,2,2,0,0,0,0,0,0
Coronado,6,6,0,0,0,0,0,0
Corry,2,2,0,0,0,0,0,0
Corsicana,2,2,0,0,0,0,0,0
Corte Madera,1,1,0,0,0,0,0,0
Cortez,2,2,0,0,0,0,0,0
Corvallis,1,1,0,0,0,0,0,0
Cosmopolis,2,1,0,0,1,0,0,0
Council,1,1,0,0,0,0,0,0
Council Grove,1,1,0,0,0,0,0,0
Country Club Hills,5,5,0,0,0,0,0,0
Coupeville,2,2,0,0,0,0,0,0
Coventry,4,4,0,0,0,0,0,0
Covina,2,2,0,0,0,0,0,0
Covington,8,8,0,0,0,0,0,0
Credit River,1,1,0,0,0,0,0,0
Creighton,1,1,0,0,0,0,0,0
Crescent City,1,1,0,0,0,0,0,0
Cresskill,3,3,0,0,0,0,0,0
Crest Hill,2,2,0,0,0,0,0,0
Creston,1,1,0,0,0,0,0,0
Crete,4,4,0,0,0,0,0,0
Cromwell,1,1,0,0,0,0,0,0
Crooks,2,2,0,0,0,0,0,0
Cross Plains,2,1,1,0,0,0,0,0
Crossett,2,2,0,0,0,0,0,0
Croton-on-Hudson,1,1,0,0,0,0,0,0
Crystal Springs,2,1,0,0,1,0,0,0
Cuba,2,1,0,0,0,1,0,0
Cuba City,1,1,0,0,0,0,0,0
Culbertson,1,1,0,0,0,0,0,0
Culpeper,3,3,0,0,0,0,0,0
Culver,1,1,0,0,0,0,0,0
Cumberland,2,2,0,0,0,0,0,0
Cut Bank,1,1,0,0,0,0,0,0
D'Iberville,1,1,0,0,0,0,0,0
Dade City,4,4,0,0,0,0,0,0
Dalhart,1,1,0,0,0,0,0,0
Dalton,2,2,0,0,0,0,0,0
Danvers,3,3,0,0,0,0,0,0
Danville,5,4,0,0,1,0,0,0
Darby,2,2,0,0,0,0,0,0
Dardanelle,1,1,0,0,0,0,0,0
Dardenne Prairie,1,1,0,0,0,0,0,0
Dartmouth,2,2,0,0,0,0,0,0
David City,2,2,0,0,0,0,0,0
Davidson,2,2,0,0,0,0,0,0
Davison,1,1,0,0,0,0,0,0
Dayton,2,2,0,0,0,0,0,0
Daytona Beach Shores,1,1,0,0,0,0,0,0
De Pere,1,1,0,0,0,0,0,0
De Smet,1,1,0,0,0,0,0,0
De Witt,3,3,0,0,0,0,0,0
DeWitt,3,3,0,0,0,0,0,0
Deadwood,2,2,0,0,0,0,0,0
Decatur,3,3,0,0,0,0,0,0
Defiance,1,1,0,0,0,0,0,0
Del City,3,2,0,0,0,1,0,0
Del Rio,1,1,0,0,0,0,0,0
Delafield,5,5,0,0,0,0,0,0
Delcambre,1,1,0,0,0,0,0,0
Delhi,2,2,0,0,0,0,0,0
Delhi charter,2,2,0,0,0,0,0,0
Dell Rapids,2,2,0,0,0,0,0,0
Delmar,4,4,0,0,0,0,0,0
Delta Junction,2,2,0,0,0,0,0,0
Denham Springs,2,2,0,0,0,0,0,0
Denison,3,2,0,0,0,1,0,0
Denton,2,1,0,0,0,1,0,0
Derby,2,2,0,0,0,0,0,0
Derry,1,1,0,0,0,0,0,0
Detroit,1,1,0,0,0,0,0,0
Detroit Lakes,2,2,0,0,0,0,0,0
Diamondville,3,2,0,0,0,1,0,0
Dickinson,3,3,0,0,0,0,0,0
Dickson,1,1,0,0,0,0,0,0
Dickson City,1,1,0,0,0,0,0,0
Dilworth,2,2,0,0,0,0,0,0
Dobbs Ferry,1,1,0,0,0,0,0,0
Dodgeville,1,1,0,0,0,0,0,0
Dolton,1,1,0,0,0,0,0,0
Donald,2,2,0,0,0,0,0,0
Donna,3,3,0,0,0,0,0,0
Doraville,1,1,0,0,0,0,0,0
Dormont,2,2,0,0,0,0,0,0
Douglas,2,2,0,0,0,0,0,0
Dover-Foxcroft,1,1,0,0,0,0,0,0
Dowagiac,1,1,0,0,0,0,0,0
Downers Grove,3,2,0,1,0,0,0,0
Doylestown,2,2,0,0,0,0,0,0
Drayton,1,1,0,0,0,0,0,0
Driggs,1,1,0,0,0,0,0,0
DuPont,1,1,0,0,0,0,0,0
Dublin,3,3,0,0,0,0,0,0
Duchouquet,1,0,0,0,0,1,0,0
Dumfries,1,1,0,0,0,0,0,0
Dunbar,1,1,0,0,0,0,0,0
Duncan,2,2,0,0,0,0,0,0
Dundee,3,3,0,0,0,0,0,0
Dunkirk,1,1,0,0,0,0,0,0
Durant,1,1,0,0,0,0,0,0
Dutton,2,2,0,0,0,0,0,0
Duxbury,2,2,0,0,0,0,0,0
Eagar,1,1,0,0,0,0,0,0
East Aurora,1,1,0,0,0,0,0,0
East Bethel,1,1,0,0,0,0,0,0
East Chicago,5,5,0,0,0,0,0,0
East Goshen,3,3,0,0,0,0,0,0
East Grand Forks,1,1,0,0,0,0,0,0
East Grand Rapids,1,1,0,0,0,0,0,0
East Greenwich,3,3,0,0,0,0,0,0
East Haddam,1,1,0,0,0,0,0,0
East Hartford,1,1,0,0,0,0,0,0
East Haven,2,1,1,0,0,0,0,0
East Helena,3,3,0,0,0,0,0,0
East Hempfield,2,2,0,0,0,0,0,0
East Lyme,3,3,0,0,0,0,0,0
East Point,1,1,0,0,0,0,0,0
East Ridge,2,2,0,0,0,0,0,0
East Rochester,1,1,0,0,0,0,0,0
East St. Louis,1,1,0,0,0,0,0,0
East Troy,1,1,0,0,0,0,0,0
East Whiteland,2,2,0,0,0,0,0,0
East Windsor,1,1,0,0,0,0,0,0
Easton,1,1,0,0,0,0,0,0
Eastport,2,2,0,0,0,0,0,0
Eaton Rapids,1,1,0,0,0,0,0,0
Eatonville,3,3,0,0,0,0,0,0
Eau Claire,3,2,0,0,0,1,0,0
Economy,1,1,0,0,0,0,0,0
Edgemont,1,1,0,0,0,0,0,0
Edinboro,2,2,0,0,0,0,0,0
Edinburgh,1,1,0,0,0,0,0,0
Edison,2,2,0,0,0,0,0,0
Edmonston,1,1,0,0,0,0,0,0
Edwardsville,4,4,0,0,0,0,0,0
Effingham,2,2,0,0,0,0,0,0
El Dorado,4,3,0,0,0,1,0,0
El Mirage,2,2,0,0,0,0,0,0
El Paso,1,0,0,0,0,1,0,0
Eldon,1,0,0,0,0,1,0,0
Eldridge,1,1,0,0,0,0,0,0
Elgin,8,8,0,0,0,0,0,0
Elim,1,1,0,0,0,0,0,0
Eliot,2,2,0,0,0,0,0,0
Elizabeth,1,1,0,0,0,0,0,0
Elizabeth City,3,2,0,0,0,1,0,0
Elizabethton,2,2,0,0,0,0,0,0
Elk Mountain,2,2,0,0,0,0,0,0
Elkins,1,1,0,0,0,0,0,0
Elko New Market,1,1,0,0,0,0,0,0
Elkton,2,2,0,0,0,0,0,0
Ellendale,4,3,0,0,0,1,0,0
Ellettsville,3,3,0,0,0,0,0,0
Ellsworth,5,5,0,0,0,0,0,0
Elm Grove,2,2,0,0,0,0,0,0
Elmwood Park,1,1,0,0,0,0,0,0
Elon,1,1,0,0,0,0,0,0
Elsmere,2,2,0,0,0,0,0,0
Elwood,1,0,0,0,0,1,0,0
Ely,2,2,0,0,0,0,0,0
Emerson,2,1,1,0,0,0,0,0
Emmaus,1,0,0,0,0,1,0,0
Emmetsburg,1,1,0,0,0,0,0,0
Emmitsburg,1,1,0,0,0,0,0,0
Emporia,1,1,0,0,0,0,0,0
Englewood,3,3,0,0,0,0,0,0
Ennis,5,4,0,0,0,1,0,0
Enosburg Falls,1,1,0,0,0,0,0,0
Enterprise,1,1,0,0,0,0,0,0
Erath,2,2,0,0,0,0,0,0
Estherville,1,1,0,0,0,0,0,0
Eudora,2,2,0,0,0,0,0,0
Eunice,2,2,0,0,0,0,0,0
Eureka,1,1,0,0,0,0,0,0
Evans,2,2,0,0,0,0,0,0
Evansdale,1,1,0,0,0,0,0,0
Evansville,3,2,0,0,0,1,0,0
Everson,3,3,0,0,0,0,0,0
Exeter,3,3,0,0,0,0,0,0
Exmore,2,2,0,0,0,0,0,0
Fair Haven,3,3,0,0,0,0,0,0
Fair Oaks Ranch,1,1,0,0,0,0,0,0
Fairburn,1,1,0,0,0,0,0,0
Fairbury,2,2,0,0,0,0,0,0
Fairfax,2,2,0,0,0,0,0,0
Fairfield,8,7,0,0,0,1,0,0
Fairhaven,3,2,0,0,0,1,0,0
Fairmont,1,1,0,0,0,0,0,0
Fairmount Heights,1,1,0,0,0,0,0,0
Fairport,1,1,0,0,0,0,0,0
Fairview,2,2,0,0,0,0,0,0
Falls City,2,2,0,0,0,0,0,0
Falmouth,2,2,0,0,0,0,0,0
False Pass,2,2,0,0,0,0,0,0
Farmerville,1,1,0,0,0,0,0,0
Farmingdale,1,1,0,0,0,0,0,0
Farmington,6,6,0,0,0,0,0,0
Fate,1,1,0,0,0,0,0,0
Faulkton,2,2,0,0,0,0,0,0
Fayetteville,8,8,0,0,0,0,0,0
Federal Heights,1,1,0,0,0,0,0,0
Federal Way,1,0,0,0,0,1,0,0
Ferriday,1,1,0,0,0,0,0,0
Ferrisburgh,2,2,0,0,0,0,0,0
Ferron,1,1,0,0,0,0,0,0
Festus,4,4,0,0,0,0,0,0
Fillmore,2,2,0,0,0,0,0,0
Fircrest,1,1,0,0,0,0,0,0
Firebaugh,3,3,0,0,0,0,0,0
Firestone,2,2,0,0,0,0,0,0
Flagler Beach,1,1,0,0,0,0,0,0
Flandreau,3,3,0,0,0,0,0,0
Flemingsburg,1,1,0,0,0,0,0,0
Fletcher,2,1,0,0,0,1,0,0
Flint,2,2,0,0,0,0,0,0
Florence,4,4,0,0,0,0,0,0
Flowery Branch,1,1,0,0,0,0,0,0
Floyd,1,0,0,0,0,1,0,0
Folcroft,1,1,0,0,0,0,0,0
Foley,1,1,0,0,0,0,0,0
Fontana,1,1,0,0,0,0,0,0
Forest Acres,2,1,0,0,0,1,0,0
Forest City,4,4,0,0,0,0,0,0
Forest Heights,1,1,0,0,0,0,0,0
Forest Hills,2,2,0,0,0,0,0,0
Forest Park,1,1,0,0,0,0,0,0
Forks,3,3,0,0,0,0,0,0
Forman,2,1,0,0,0,1,0,0
Forney,3,3,0,0,0,0,0,0
Forrest City,1,1,0,0,0,0,0,0
Forsyth,2,2,0,0,0,0,0,0
Fort Benton,1,1,0,0,0,0,0,0
Fort Calhoun,2,2,0,0,0,0,0,0
Fort Fairfield,1,1,0,0,0,0,0,0
