evidence_id,stage,attempt,request_id,backend,model,status,schema_valid,input_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
qualitative:lobs_77bd16fc54403f2c8659eb6b,repair_live,1,resp_0c16f1b408a6dfb7006a66634691b88195a8ae612bb07dfb9d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5069,3155,1535,4690,22.920940,,,false,false
qualitative:lobs_7c83c95869b04310fca693cb,repair_live,1,resp_08d7bc3fc9b72497006a6663471858819085a8339dfbe9218d,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5086,3156,1213,4369,19.992543,,,false,false
qualitative:lobs_895ed5bd5dee0e3d876d864a,repair_live,1,resp_0ce8e18fb256f97c006a66634e2fbc8190995a1cbfdcfc7577,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5046,3151,1546,4697,31.850207,,,false,false
qualitative:lobs_8afd840319a4f94e4c5adeb7,repair_live,1,resp_0ff868f6644f9879006a66634bd7d88196b0b38fe53d0950eb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5078,3158,1210,4368,24.413733,,,false,false
qualitative:lobs_8e78c1f4e193499293c04f38,repair_live,1,resp_0a3500cacad6c2ad006a666351e198819699a926e24a5c67a2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5071,3166,1393,4559,33.226161,,,false,false
qualitative:lobs_92008d60e2fb5bad81007465,repair_live,1,resp_093aaca116f91d32006a666354c42881979a52203b550483e9,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5065,3160,1638,4798,36.759831,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_51d5b08940fb49b9b653b73f,repair_live,2,resp_021ba836fbe8b9b1006a666362b73881959c02a8bc6b966a34,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5311,3204,1241,4445,9.911811,,,false,false
qualitative:lobs_53c2e6713eba586585db1104,repair_live,2,resp_093c045d3dd8bc4c006a666362ba988195b7d9811379aa6cf6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5260,3189,1307,4496,12.590352,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_698c36b2be5198d4fbeef9e1,repair_live,2,resp_09aa143d6b6a1e12006a666362b5148197925bb55bcb788101,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5256,3196,1114,4310,8.894933,StrictValidationError,no_supported_attribute_without_weak_marker,false,false
qualitative:lobs_92008d60e2fb5bad81007465,repair_live,2,resp_03876de05c394ec9006a666362b99c81948c79613307e73a0f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5277,3199,1365,4564,13.210515,StrictValidationError,no_supported_attribute_without_weak_marker,false,false
qualitative:lobs_968a71b31a8ece8bd353811e,repair_live,1,resp_001713cdb2968434006a66636fea44819798b83a1cfcdb5af8,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5125,3168,1596,4764,15.015470,,,false,false
qualitative:lobs_9c39f50ba59e2d9c914219c8,repair_live,1,resp_0b1f4f872319fec6006a66636fe6c08193a10ca64b61b0c958,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5096,3162,1459,4621,12.377330,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_add75fa7672ad2b5882a4c49,repair_live,1,resp_048708c2d70eff90006a66636fe7488194af9ce6597bd4a1ef,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5131,3184,1432,4616,13.446566,,,false,false
qualitative:lobs_baa2b2933f95f0952c4d5e5c,repair_live,1,resp_062ef280df8a8b59006a66636feb8c819385b177a479b5827f,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5087,3163,1639,4802,13.687028,,,false,false
qualitative:lobs_bcf614863c1283ef21f50f09,repair_live,1,resp_0abfba9300d89804006a66637c48f88196a9262c22d7b898cb,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5046,3150,1032,4182,22.501931,,,false,false
qualitative:lobs_c4553bdc85d670b308953d7b,repair_live,1,resp_0b887c5193474791006a66637d549881968bfa317b45f9ae50,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5069,3157,973,4130,21.956948,,,false,false
qualitative:lobs_c8faa70a5f9e6fa3e2ad3b8f,repair_live,1,resp_044dd82e1b890dc5006a66637d881881908c74d79f5bca2163,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5117,3178,1682,4860,27.887205,,,false,false
qualitative:lobs_d1dddcdb851b839de898e659,repair_live,1,resp_0d3ea60374018e4e006a66637ed8f08197a25b5f04cd6ef009,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5051,3150,1666,4816,30.547627,,,false,false
qualitative:lobs_d8052656664036944ea43cb9,repair_live,1,resp_0b9bc8040dc29339006a666385d0a881909fa7e4e43b6ddaf1,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5096,3161,1199,4360,32.524059,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_dc7e73e8f67ec70d3dda5227,repair_live,1,resp_0d0d570179e1abd0006a666386556481948293c57b3efda9d8,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5080,3163,1124,4287,33.470992,,,false,false
qualitative:lobs_9c39f50ba59e2d9c914219c8,repair_live,2,resp_0bcd83fc71ad4a15006a6663915f448193ba5a786d2e4fa232,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5308,3201,1819,5020,17.188789,,,false,false
qualitative:lobs_d8052656664036944ea43cb9,repair_live,2,resp_056f8fee472ab0b7006a6663915d0c8194bd2a943c18152768,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5308,3200,1246,4446,11.983211,,,false,false
qualitative:lobs_ddadd26f731b4b88bccddd11,repair_live,1,resp_0b031dcf941732f4006a6663a299088195bb203ff2fd7e0c22,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5097,3159,1125,4284,11.498057,,,false,false
qualitative:lobs_e1912544cad890ab8b7b1a46,repair_live,1,resp_0e31a9b414d1bd18006a6663a29c048194b279d8ebb10b2538,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5108,3163,1642,4805,14.711377,,,false,false
qualitative:lobs_e831656e706058e27d3da3f2,repair_live,1,resp_0f1a6f334c341d2a006a6663a29e348197ab5662827ba298d6,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5118,3169,1373,4542,11.511633,StrictValidationError,supporting_quote_not_exact_substring,false,false
qualitative:lobs_f36e3f4b3de743590affc1ba,repair_live,1,resp_0ac5fe896f888f1b006a6663a29a048190aa9bc6a2e5598d96,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5079,3161,1603,4764,13.305917,,,false,false
qualitative:lobs_f7f88df16d9dd88e41991f59,repair_live,1,resp_031ffb6b053bf30f006a6663ae070c8196b4d29d3c29dc4134,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,5135,3171,1684,4855,24.804007,,,false,false
qualitative:lobs_e831656e706058e27d3da3f2,repair_live,2,resp_0ad54ca55f471ad4006a6663bb77c081968383a3c38ff8999e,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,5330,3208,1382,4590,11.334569,StrictValidationError,supporting_quote_not_exact_substring,false,false
