evidence_id,row_document_id,attribute_taxonomy_version,primary_attribute,overall_evidence_quality,scout_priority_signal,no_wage_gap_claim,no_final_causal_claim,gabriel_backend,gabriel_model,gabriel_request_id,gabriel_attempt_count,qa_status,automatic_raise_mechanism__attribute_present,automatic_raise_mechanism__direction_of_pressure,automatic_raise_mechanism__evidence_strength,automatic_raise_mechanism__claim_relevance,automatic_raise_mechanism__reason_code,automatic_raise_mechanism__supporting_quote,automatic_raise_mechanism__claim_boundary,bargaining_power_signal__attribute_present,bargaining_power_signal__direction_of_pressure,bargaining_power_signal__evidence_strength,bargaining_power_signal__claim_relevance,bargaining_power_signal__reason_code,bargaining_power_signal__supporting_quote,bargaining_power_signal__claim_boundary,market_or_comparability_pressure__attribute_present,market_or_comparability_pressure__direction_of_pressure,market_or_comparability_pressure__evidence_strength,market_or_comparability_pressure__claim_relevance,market_or_comparability_pressure__reason_code,market_or_comparability_pressure__supporting_quote,market_or_comparability_pressure__claim_boundary,rank_or_specialization_premium__attribute_present,rank_or_specialization_premium__direction_of_pressure,rank_or_specialization_premium__evidence_strength,rank_or_specialization_premium__claim_relevance,rank_or_specialization_premium__reason_code,rank_or_specialization_premium__supporting_quote,rank_or_specialization_premium__claim_boundary,implementation_or_retroactivity_advantage__attribute_present,implementation_or_retroactivity_advantage__direction_of_pressure,implementation_or_retroactivity_advantage__evidence_strength,implementation_or_retroactivity_advantage__claim_relevance,implementation_or_retroactivity_advantage__reason_code,implementation_or_retroactivity_advantage__supporting_quote,implementation_or_retroactivity_advantage__claim_boundary,fiscal_constraint_signal__attribute_present,fiscal_constraint_signal__direction_of_pressure,fiscal_constraint_signal__evidence_strength,fiscal_constraint_signal__claim_relevance,fiscal_constraint_signal__reason_code,fiscal_constraint_signal__supporting_quote,fiscal_constraint_signal__claim_boundary,parity_or_internal_equity_signal__attribute_present,parity_or_internal_equity_signal__direction_of_pressure,parity_or_internal_equity_signal__evidence_strength,parity_or_internal_equity_signal__claim_relevance,parity_or_internal_equity_signal__reason_code,parity_or_internal_equity_signal__supporting_quote,parity_or_internal_equity_signal__claim_boundary,non_base_compensation_signal__attribute_present,non_base_compensation_signal__direction_of_pressure,non_base_compensation_signal__evidence_strength,non_base_compensation_signal__claim_relevance,non_base_compensation_signal__reason_code,non_base_compensation_signal__supporting_quote,non_base_compensation_signal__claim_boundary,base_wage_direct_value__attribute_present,base_wage_direct_value__direction_of_pressure,base_wage_direct_value__evidence_strength,base_wage_direct_value__claim_relevance,base_wage_direct_value__reason_code,base_wage_direct_value__supporting_quote,base_wage_direct_value__claim_boundary,safety_advantage_signal__attribute_present,safety_advantage_signal__direction_of_pressure,safety_advantage_signal__evidence_strength,safety_advantage_signal__claim_relevance,safety_advantage_signal__reason_code,safety_advantage_signal__supporting_quote,safety_advantage_signal__claim_boundary,non_safety_constraint_signal__attribute_present,non_safety_constraint_signal__direction_of_pressure,non_safety_constraint_signal__evidence_strength,non_safety_constraint_signal__claim_relevance,non_safety_constraint_signal__reason_code,non_safety_constraint_signal__supporting_quote,non_safety_constraint_signal__claim_boundary,gap_narrowing_signal__attribute_present,gap_narrowing_signal__direction_of_pressure,gap_narrowing_signal__evidence_strength,gap_narrowing_signal__claim_relevance,gap_narrowing_signal__reason_code,gap_narrowing_signal__supporting_quote,gap_narrowing_signal__claim_boundary,strike_or_no_strike_constraint__attribute_present,strike_or_no_strike_constraint__direction_of_pressure,strike_or_no_strike_constraint__evidence_strength,strike_or_no_strike_constraint__claim_relevance,strike_or_no_strike_constraint__reason_code,strike_or_no_strike_constraint__supporting_quote,strike_or_no_strike_constraint__claim_boundary,weak_or_no_claim_support__attribute_present,weak_or_no_claim_support__direction_of_pressure,weak_or_no_claim_support__evidence_strength,weak_or_no_claim_support__claim_relevance,weak_or_no_claim_support__reason_code,weak_or_no_claim_support__supporting_quote,weak_or_no_claim_support__claim_boundary
qualitative:lobs_7c83c95869b04310fca693cb,lobs_7c83c95869b04310fca693cb,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_08d7bc3fc9b72497006a6663471858819085a8339dfbe9218d,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not state any automatic raise mechanism.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not mention bargaining or negotiated pay leverage.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not reference market/competitiveness justification for pay.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not describe rank/classification-based pay differentiation.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not provide any timing or retroactivity terms affecting compensation.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not cite budget or fiscal constraints.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,"Not assessed; span does not mention parity, compression, or internal equity language.",false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,"Not assessed; span does not state any overtime, stipend, or other non-base compensation terms.",false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,"Not assessed; span does not directly report base wage, rate, step, or pay amounts.",false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not describe any safety-vs-non-safety compensation mechanism.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not state any constraints or standardization on non-safety pay.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not provide any parity/equity/compression mechanism to narrow differences.,false,not_applicable,not_supported,not_claim_ready,on_exclusion_no_reason_code_needed,,Not assessed; span does not mention strike/no-strike or labor-peace provisions.,true,not_applicable,not_supported,not_claim_ready,transfer_without_pay_terms,When an employee is temporarily transferred to another job,"The span describes a temporary transfer but does not include any pay amount, pay formula, compensation timing, or comparative mechanism needed for a compensation claim."
qualitative:lobs_895ed5bd5dee0e3d876d864a,lobs_895ed5bd5dee0e3d876d864a,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0ce8e18fb256f97c006a66634e2fbc8190995a1cbfdcfc7577,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span contains only a CPI index reference without an explicit automatic raise mechanism or formula.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: no bargaining/negotiation or labor-leverage language appears in the span.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,"documentary limited: span does not mention market comparison, peers, or competitiveness rationales.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span provides no rank/classification/specialty pay differentiation.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span contains no effective-date/retroactivity/staging language.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span includes no budget or funding constraint discussion.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,"documentary limited: span does not reference parity, compression, or internal equity alignment.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span does not mention non-base compensation components.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,"documentary limited: span does not state any base wage, rate, step, grade, or pay amount.",false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span provides no safety/non-safety comparative compensation mechanism.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span does not describe constraints or delays affecting non-safety pay.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span does not indicate any equity/compression mechanism aimed at narrowing a gap.,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary limited: span contains no strike/no-strike or labor-peace clause language.,true,not_applicable,weak,not_claim_ready,cpi_index_reference_without_mechanism_or_amount,National CPI Index,"documentary limited: the span only references the National CPI Index and does not, by itself, specify an automatic pay formula, wage amount, or a comparative compensation effect."
qualitative:lobs_8afd840319a4f94e4c5adeb7,lobs_8afd840319a4f94e4c5adeb7,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0ff868f6644f9879006a66634bd7d88196b0b38fe53d0950eb,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,The provided text does not specify any automatic compensation mechanism; it only indicates that executive board members are paid.,false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not discuss bargaining, negotiation leverage, arbitration, or similar bargaining processes.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not mention market comparison, recruitment, retention, or competitive pay rationale.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not specify compensation differences by rank, classification, specialty, hazard, or role beyond a general 'shall be paid' statement.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not include any effective date, retroactivity, staged increases, or timing terms.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not cite budget, affordability, funding, or fiscal constraints.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not mention parity, internal equity, or compression with other employee groups.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not mention overtime, stipends, longevity, healthcare, pension, leave, reimbursements, or other non-base compensation terms.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text indicates that executive board members are to be paid but does not directly state base wage amounts, rates, or step/grade values.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,The provided text does not provide a safety vs non-safety comparative compensation mechanism.,false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,The provided text does not describe constraints or standardization/delays affecting non-safety pay.,false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not mention compression, equity, shared raises, or any mechanism that could narrow differences.",false,not_applicable,not_supported,not_claim_ready,secret_not_needed,,"The provided text does not address strike rights, no-strike clauses, essential service limits, or strike-related labor peace terms.",true,not_applicable,weak,not_claim_ready,truncated_member_compensation_without_wage_mechanism,The Executive Board members shall be paid at their,"This snippet is too incomplete to identify a specific wage-related mechanism, compensation amount, or pay policy that could support an interpretable claim in this phase."
qualitative:lobs_8e78c1f4e193499293c04f38,lobs_8e78c1f4e193499293c04f38,v1.1,implementation_or_retroactivity_advantage,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0a3500cacad6c2ad006a666351e198819699a926e24a5c67a2,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_evidence_of_automatic_rule_in_span,,documentary text does not describe an automatic raise formula within the provided span,false,not_applicable,not_supported,not_claim_ready,no_union_or_negotiation_leverage_in_span,,documentary text does not mention bargaining/negotiation or related mechanisms in the provided span,false,not_applicable,not_supported,not_claim_ready,no_market_or_comparability_language_in_span,,documentary text does not reference market comparison or competitiveness in the provided span,false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_compensation_differentiation_in_span,,documentary text does not indicate compensation differentiation by rank/specialty in the provided span,true,neutral_or_unclear,weak,context_only,only_effective_date_stated_no_comparative_timing_terms_in_span,"2023 and effective September 25, 2023.","documentary text provides only an effective-date timing marker; it does not, by itself, specify retroactivity or a comparative implementation advantage",false,not_applicable,not_supported,not_claim_ready,no_budget_or_fiscal_constraints_in_span,,documentary text does not cite budget limits or fiscal constraints within the provided span,false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_language_in_span,,"documentary text does not mention parity, compression relief, or internal equity within the provided span",false,not_applicable,not_supported,not_claim_ready,no_non_base_compensation_items_in_span,,"documentary text does not reference overtime, stipends, longevity, or other non-base items within the provided span",false,not_applicable,not_supported,not_claim_ready,no_base_wage_rate_or_step_value_in_span,,"documentary text does not state a base wage amount, rate, step, or pay grade within the provided span",false,not_applicable,not_supported,not_claim_ready,no_safety_relative_compensation_mechanism_in_span,,documentary text does not describe a safety-relative pay mechanism in the provided span,false,not_applicable,not_supported,not_claim_ready,no_non_safety_pay_constraint_or_standardization_in_span,,documentary text does not indicate constraints or standardization for non-safety pay in the provided span,false,not_applicable,not_supported,not_claim_ready,no_gap_narrowing_parity_or_compression_language_in_span,,documentary text does not describe any mechanism that would narrow a safety/non-safety pay difference within the provided span,false,not_applicable,not_supported,not_claim_ready,no_strike_or_labor_peace_language_in_span,,documentary text does not mention strike/no-strike or related labor-peace constraints within the provided span,false,not_applicable,not_supported,not_claim_ready,weak_or_no_claim_support_not_applicable_when_other_attribute_used,,not used because implementation_or_retroactivity_advantage is already rated from the span
qualitative:lobs_968a71b31a8ece8bd353811e,lobs_968a71b31a8ece8bd353811e,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_001713cdb2968434006a66636fea44819798b83a1cfcdb5af8,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,supporting_text_does_not_describe_automatic_pay_adjustment,,Only a clause fragment referencing seniority and rank senior officer is present; it does not specify any automatic compensation adjustment formula or rule.,false,not_applicable,not_supported,not_claim_ready,no_union_arbitration_or_negotiation_language_in_span,,"The span does not describe bargaining, arbitration, or negotiated leverage.",false,not_applicable,not_supported,not_claim_ready,no_market_or_comparison_justification_present,,"The span does not mention market comparisons, competitiveness, or peer benchmarking.",false,not_applicable,not_supported,not_claim_ready,references_rank_seniority_without_any_pay_differential,,"The span mentions highest rank seniority, but does not state that rank/seniority changes compensation.",false,not_applicable,not_supported,not_claim_ready,no_effective_date_retroactivity_or_staged_increase_terms,,No implementation timing terms are shown in the provided fragment.,false,not_applicable,not_supported,not_claim_ready,no_budget_or_affordability_constraint_language,,"The span does not cite fiscal limits, budget constraints, or funding limitations.",false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_construction_present,,The span does not use parity/equity/compression language.,false,not_applicable,not_supported,not_claim_ready,no_overtime_stipend_longevity_or_benefit_terms,,The span does not reference any non-base compensation components.,false,not_applicable,not_supported,not_claim_ready,no_wage_rate_grade_step_or_salary_amount_reported,,The span does not directly report any base wage or pay amount.,false,not_applicable,not_supported,not_claim_ready,no_comparative_safety_compensation_mechanism_described,,The span does not describe a mechanism that changes police/fire/safety compensation relative to others.,false,not_applicable,not_supported,not_claim_ready,no_non_safety_pay_constraint_or_standardization_terms,,The span does not indicate constraints or standardization affecting non-safety pay.,false,not_applicable,not_supported,not_claim_ready,no_equity_compression_or_shared_raise_mechanism_in_span,,"The span does not mention gap-narrowing, compression relief, or shared raise mechanisms.",false,not_applicable,not_supported,not_claim_ready,no_strike_or_work_stoppage_or_labor_peace_clause_present,,"The span does not address strike rights, no-strike clauses, or labor peace restrictions.",true,not_applicable,weak,not_claim_ready,span_is_fragmentary_and_does_not_reference_pay_adjustments,"if none is so designated or on duty, then the Police Officer with the highest rank seniority","This is an incomplete clause fragment that mentions police officer seniority/rank but does not specify any compensation terms, amounts, or pay-related mechanism."
qualitative:lobs_9c39f50ba59e2d9c914219c8,lobs_9c39f50ba59e2d9c914219c8,v1.1,rank_or_specialization_premium,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0bcd83fc71ad4a15006a6663915f448193ba5a786d2e4fa232,2,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_mechanism_text,,"The span does not describe any automatic formula (e.g., COLA/CPI/steps/seniority/contract formula) that would determine future increases.",false,not_applicable,not_supported,not_claim_ready,no_bargaining_or_negotiation_language,,"The span does not mention bargaining, arbitration, settlement, memoranda, factfinding, or negotiated leverage.",false,not_applicable,not_supported,not_claim_ready,no_market_or_competitive_justification,,The span does not provide any market/peer/retention/recruitment justification for pay.,true,neutral_or_unclear,weak,documentary_mechanism_claim,trainee_assignment_pay_differential_language,"assigned to atrainee, said employee shall receive a pay differential","This indicates a pay differential tied to being assigned to a trainee role, without stating the amount or whether it applies to safety vs non-safety comparisons.",false,not_applicable,not_supported,not_claim_ready,no_effective_date_or_timing_terms,,"The span does not mention effective dates, retroactivity, staged increases, or other timing terms.",false,not_applicable,not_supported,not_claim_ready,no_budget_or_funding_constraints,,"The span does not cite budget limits, affordability, funding, or municipal finance constraints.",false,not_applicable,not_supported,not_claim_ready,no_parity_or_equity_language,,"The span does not reference parity, compression, internal equity, or alignment with other employee groups.",false,not_applicable,not_supported,not_claim_ready,no_overtime_stipend_or_benefit_reference,,"The span does not specify overtime, stipends, longevity, healthcare, pension, leave, reimbursement, or other non-base compensation categories.",false,not_applicable,not_supported,not_claim_ready,no_base_rate_or_amount_stated,,"The span mentions a pay differential but does not directly report a base wage rate, step/grade value, salary, hourly amount, or percentage.",false,not_applicable,not_supported,not_claim_ready,no_safety_comparative_mechanism,,The span does not indicate a mechanism that advantages safety compensation relative to non-safety compensation.,false,not_applicable,not_supported,not_claim_ready,no_constraint_on_non_safety_pay,,"The span does not describe any constraint, standardization, delay, or weaker treatment of non-safety pay.",false,not_applicable,not_supported,not_claim_ready,no_equity_comparison_or_compression_mechanism,,"The span does not reference parity, compression relief, shared raises, or any mechanism intended to narrow a safety/non-safety pay difference.",false,not_applicable,not_supported,not_claim_ready,no_strike_or_labor_peace_clause,,"The span does not discuss strike rights, no-strike clauses, work stoppage restrictions, or labor-peace/arbitration substitutes.",false,not_applicable,not_supported,not_claim_ready,not_used_when_other_attribute_supported,,This field is intentionally not used because another attribute (rank_or_specialization_premium) is coded as present.
qualitative:lobs_add75fa7672ad2b5882a4c49,lobs_add75fa7672ad2b5882a4c49,v1.1,base_wage_direct_value,high,medium,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_048708c2d70eff90006a66636fe7488194af9ce6597bd4a1ef,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,no_automatic_rule_in_span,,Document only whether the span describes an automatic COLA/CPI/step/seniority/contract formula; this span does not state such an automatic mechanism.,false,not_applicable,not_supported,not_claim_ready,no_bargaining_leverage_text,,The span should explicitly mention bargaining/negotiation/arbitration leverage to qualify; it does not.,false,not_applicable,not_supported,not_claim_ready,no_market_comparison_language,,"No language in the span justifies pay via market, peers, or competitiveness.",false,not_applicable,not_supported,not_claim_ready,no_rank_or_specialty_differentiation,,The span must describe pay differing by rank/certification/specialty/hazard; it does not.,true,neutral_or_unclear,moderate,documentary_mechanism_claim,effective_date_and_stated_percentage_increase,"4  Effective  July  1, 2025,  the Salag  Schedules  shall  be increased  by  three  percent  (3%).",Document that the span states an increase amount and an effective date for the Salag Schedules; it does not establish any comparative timing advantage.,false,not_applicable,not_supported,not_claim_ready,no_funding_or_budget_constraints,,"No budget limits, affordability, funding, or fiscal crisis constraints are mentioned.",false,not_applicable,not_supported,not_claim_ready,no_parity_or_internal_equity_language,,"The span does not reference parity, compression relief, or internal equity alignment.",false,not_applicable,not_supported,not_claim_ready,no_overtime_stipend_or_benefits_text,,"The span addresses schedule increases, not overtime/stipends/benefits as non-base compensation.",true,neutral_or_unclear,strong,direct_text_claim,explicit_three_percent_schedule_increase,"4  Effective  July  1, 2025,  the Salag  Schedules  shall  be increased  by  three  percent  (3%).","The span directly reports a percentage increase to the Salag Schedules effective July 1, 2025; it does not, by itself, quantify wage gaps or causal wage effects.",false,not_applicable,not_supported,not_claim_ready,no_safety_relative_compensation_mechanism,,No safety-versus-non-safety comparative mechanism is described.,false,not_applicable,not_supported,not_claim_ready,no_non_safety_pay_constraints_mentioned,,The span does not discuss constraints or standardization/delay specific to non-safety pay.,false,not_applicable,not_supported,not_claim_ready,no_comparative_equity_or_gap_language,,The span does not mention parity/compression relief or any quantified narrowing of differences.,false,not_applicable,not_supported,not_claim_ready,no_strike_or_no_strike_language,,"No strike rights, no-strike clause, essential-service limits, or labor-peace provisions appear.",false,not_applicable,not_supported,not_claim_ready,excluded_because_specific_value_reported,,Not used because other attributes are supported directly by the span.
qualitative:lobs_baa2b2933f95f0952c4d5e5c,lobs_baa2b2933f95f0952c4d5e5c,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_062ef280df8a8b59006a66636feb8c819385b177a479b5827f,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,documentary constraint only; no stated raise mechanism in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no bargaining/negotiation language in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no market or comparability justification in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no rank/classification or premium differentiation in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no effective-date/retroactivity/staged-timing terms in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no budget/funding/tax/affordability constraint language in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no parity/compression/internal-equity language in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no overtime/stipend/benefits/reimbursement/leave language in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no direct wage/step/rate/amount stated in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no safety-vs-non-safety comparative advantage mechanism in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no constraint specific to non-safety pay in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no parity/compression/comparison mechanism indicating gap narrowing in the provided span,false,not_applicable,not_supported,not_claim_ready,weak_attribute_controls_invalid,,no strike/no-strike/labor-peace terms in the provided span,true,neutral_or_unclear,weak,not_claim_ready,no_mechanism_or_amount_in_no_decrease_clause,In no case shall this result in a decrease in compensation.,"a general constraint against decreased compensation; it does not specify pay amounts, timing, or a comparative mechanism sufficient for claim attribution"
qualitative:lobs_bcf614863c1283ef21f50f09,lobs_bcf614863c1283ef21f50f09,v1.1,weak_or_no_claim_support,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0abfba9300d89804006a66637c48f88196a9262c22d7b898cb,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,none,,No wage mechanism is stated in the provided span.,false,not_applicable,not_supported,not_claim_ready,none,,"The provided span does not mention bargaining, negotiation, or leverage.",false,not_applicable,not_supported,not_claim_ready,none,,The provided span does not reference market or comparable pay.,false,not_applicable,not_supported,not_claim_ready,none,,"No rank, certification, specialty, or differential compensation is described in the span.",false,not_applicable,not_supported,not_claim_ready,none,,The provided span contains no timing or effective-date language tied to pay.,false,not_applicable,not_supported,not_claim_ready,none,,"No budget, funding, or fiscal constraint language appears in the span.",false,not_applicable,not_supported,not_claim_ready,none,,No parity or internal equity/compression language is present in the span.,false,not_applicable,not_supported,not_claim_ready,none,,"The provided span does not mention non-base compensation such as overtime, stipends, or benefits.",false,not_applicable,not_supported,not_claim_ready,none,,"The provided span does not state any base wage, hourly rate, salary, step, or pay amount.",false,not_applicable,not_supported,not_claim_ready,none,,The span does not describe a safety-compensation mechanism relative to other groups.,false,not_applicable,not_supported,not_claim_ready,none,,The span does not indicate constraints or standardization affecting non-safety pay.,false,not_applicable,not_supported,not_claim_ready,none,,No parity/compression relief or gap-narrowing mechanism is described in the span.,false,not_applicable,not_supported,not_claim_ready,none,,"The span does not reference strike rights, no-strike clauses, or labor-peace provisions.",true,not_applicable,weak,not_claim_ready,span_too_short_no_compensation_mechanism,unless denied,"The span is too short and does not contain wage, compensation mechanism, or comparative language needed to support any compensation-related attribute."
qualitative:lobs_c4553bdc85d670b308953d7b,lobs_c4553bdc85d670b308953d7b,v1.1,base_wage_direct_value,low,low,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_0b887c5193474791006a66637d549881968bfa317b45f9ae50,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,true,non_safety_advantage,moderate,direct_text_claim,reported_civilian_pay_amount_per_year,$150/year for each Civilian employee,"Documentary: Text reports a $150/year payment amount for each Civilian employee; does not specify timing, formula type, or compare to other employee classes in this span.",false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<,false,not_applicable,not_supported,not_claim_ready,not_applicable,,>>not_applicable<<
qualitative:lobs_c8faa70a5f9e6fa3e2ad3b8f,lobs_c8faa70a5f9e6fa3e2ad3b8f,v1.1,base_wage_direct_value,medium,medium,true,true,huit_openai_responses_direct_sdk,gpt-5.4-nano,resp_044dd82e1b890dc5006a66637d881881908c74d79f5bca2163,1,schema_valid_exact_quote_verified,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,true,neutral_or_unclear,weak,context_only,references_current_compensation_funding_levels,"$158,400 for 2019, 2020, and 2021, respectively, over current compensation funding levels.",The span references a comparison to current compensation funding levels but does not establish a specific constraint mechanism.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,true,neutral_or_unclear,moderate,documentary_mechanism_claim,direct_dollar_amount_for_years,"$158,400 for 2019, 2020, and 2021, respectively, over current compensation funding levels.","The span directly states a dollar amount associated with 2019–2021, but it does not specify how this maps to base wage levels or rates.",false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not assessed from the provided span.,false,not_applicable,not_supported,not_claim_ready,not_applicable,,Not used because other attributes are supported from the provided span.
