aggressive_tier,caveat,claim_links,corroboration_status,direction,formula,magnitude,raw_values,relaxation_rule,result_id,semantic_outcome,source_basis,source_coordinates,source_count,source_ids,source_record_id,strict_eligibility,unit_type
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-e92da279d2ba4aa091e66b72,unresolved_rejected_from_math,64515,"{""character_end"": """", ""character_start"": """", ""column"": ""6"", ""page"": """", ""row"": ""2"", ""table_id"": ""html_table_138""}",1,EXTSOURCE-fe6abb31cfb14ee7e9614818,XREVIEW-11560c04809da540bd071850,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-75f7e0e47d8a0b71c03c9cb2,unresolved_rejected_from_math,64455,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_1074""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-12cad7a4fd226a22f7a28992,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-0c2b5c4b5c6574f48055cf10,unresolved_rejected_from_math,73594,"{""character_end"": """", ""character_start"": """", ""column"": ""9"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_1850""}",1,EXTSOURCE-9b301cbf2dc9009a9d0d1bc3,XREVIEW-13b0bdcac56b4197dba819b6,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-5d083d10ddd39d8e14ee8055,unresolved_rejected_from_math,147042,"{""character_end"": """", ""character_start"": """", ""column"": ""7"", ""page"": """", ""row"": ""10"", ""table_id"": ""html_table_490""}",1,EXTSOURCE-2b375b6626cfc22f53a63540,XREVIEW-13b96ea6fe8ca678ef498e8b,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-a1f1f999f41723b4e23f9c3e,unresolved_rejected_from_math,113296,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""10"", ""table_id"": ""html_table_626""}",1,EXTSOURCE-44ad17c14c1f1db2f5c2248d,XREVIEW-175c4939f83e0120d5aec46f,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-a852c4810548a3ad06bb794b,unresolved_rejected_from_math,105860,"{""character_end"": """", ""character_start"": """", ""column"": ""8"", ""page"": """", ""row"": ""3"", ""table_id"": ""html_table_734""}",1,EXTSOURCE-fe6abb31cfb14ee7e9614818,XREVIEW-177ebd9d2b810c1bfdeddcce,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-3e744a726137b681fb39ee11,unresolved_rejected_from_math,183210,"{""character_end"": """", ""character_start"": """", ""column"": ""11"", ""page"": """", ""row"": ""15"", ""table_id"": ""html_table_1394""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-19491752850c3c569be8cdb5,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-672c530e736b60d5d73f4104,unresolved_rejected_from_math,129595,"{""character_end"": """", ""character_start"": """", ""column"": ""9"", ""page"": """", ""row"": ""13"", ""table_id"": ""html_table_1454""}",1,EXTSOURCE-9b301cbf2dc9009a9d0d1bc3,XREVIEW-1b81e1102caf5ad3a24b777a,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-697131cdf2039c777574c87e,unresolved_rejected_from_math,73243,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""8"", ""table_id"": ""html_table_1330""}",1,EXTSOURCE-9d68f7a197a1422459ffbad0,XREVIEW-1e907d4bff1f6291fb14e302,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-6a32c05984d286a8e844a147,unresolved_rejected_from_math,134195,"{""character_end"": """", ""character_start"": """", ""column"": ""11"", ""page"": """", ""row"": ""9"", ""table_id"": ""html_table_570""}",1,EXTSOURCE-9b301cbf2dc9009a9d0d1bc3,XREVIEW-217027ecca93e43dc87c0919,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-6507f6a8b9ebe638eed5e568,unresolved_rejected_from_math,9855,"{""character_end"": """", ""character_start"": """", ""column"": ""8"", ""page"": """", ""row"": ""57"", ""table_id"": ""html_table_92""}",1,EXTSOURCE-ed282969a152ee10ebcb9710,XREVIEW-233fc3938956047e6b0421e9,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-11f4a88772f0b0eda1c53d47,unresolved_rejected_from_math,"FRESNO-MADERA-HANFORD, CA LOCALITY PAY AREA","{""character_end"": """", ""character_start"": """", ""column"": ""4"", ""page"": """", ""row"": ""17"", ""table_id"": ""html_table_1292""}",1,EXTSOURCE-2b375b6626cfc22f53a63540,XREVIEW-24d11091d7b1b27b93783345,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-3070af6b31657eb0216c1c53,unresolved_rejected_from_math,142067,"{""character_end"": """", ""character_start"": """", ""column"": ""11"", ""page"": """", ""row"": ""3"", ""table_id"": ""html_table_890""}",1,EXTSOURCE-a9f23fd03eb83ee93d70974a,XREVIEW-26d72f0f79a643d693ca5203,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-58860a4a8b91060b8cd6fa4c,unresolved_rejected_from_math,170108,"{""character_end"": """", ""character_start"": """", ""column"": ""5"", ""page"": """", ""row"": ""5"", ""table_id"": ""html_table_730""}",1,EXTSOURCE-fe6abb31cfb14ee7e9614818,XREVIEW-28539f78e9e80e0155a84936,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-91df66e72cf02dae2fde5817,unresolved_rejected_from_math,91359,"{""character_end"": """", ""character_start"": """", ""column"": ""9"", ""page"": """", ""row"": ""2"", ""table_id"": ""html_table_950""}",1,EXTSOURCE-a9f23fd03eb83ee93d70974a,XREVIEW-2a65635aebebfa7a20826670,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-50411bbeefdb391a86b9c8b9,unresolved_rejected_from_math,117384,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""8"", ""table_id"": ""html_table_942""}",1,EXTSOURCE-fe6abb31cfb14ee7e9614818,XREVIEW-2b93cb06f171f4ec463e8cf9,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-489faa95ef05a348637f8ea5,unresolved_rejected_from_math,171607,"{""character_end"": """", ""character_start"": """", ""column"": ""8"", ""page"": """", ""row"": ""16"", ""table_id"": ""html_table_1""}",1,EXTSOURCE-6b9c68964da5d5ac36b074b9,XREVIEW-2bed357b9653d044f8c95df8,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-d74151c3d2b77db288a876ba,unresolved_rejected_from_math,86828,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""4"", ""table_id"": ""html_table_1882""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-2d7b0b71a6d957179da232db,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-78f93d86fd1b3ee33c43954f,unresolved_rejected_from_math,106620,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_1350""}",1,EXTSOURCE-fe6abb31cfb14ee7e9614818,XREVIEW-2dd6fbcfccb656650aa162fb,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-f7f3337839d954feb514ccda,unresolved_rejected_from_math,127466,"{""character_end"": """", ""character_start"": """", ""column"": ""8"", ""page"": """", ""row"": ""10"", ""table_id"": ""html_table_682""}",1,EXTSOURCE-886430f45a89a0270fa56412,XREVIEW-2e0f5e5313939838e9e6fee1,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-265b23dd9ea2b46fd97eaeb4,unresolved_rejected_from_math,168607,"{""character_end"": """", ""character_start"": """", ""column"": ""5"", ""page"": """", ""row"": ""16"", ""table_id"": ""html_table_1098""}",1,EXTSOURCE-9b301cbf2dc9009a9d0d1bc3,XREVIEW-2e3e845c8a277004e44e4cae,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-19ad962ffaed2ca9f937ae83,unresolved_rejected_from_math,194633,"{""character_end"": """", ""character_start"": """", ""column"": ""7"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_850""}",1,EXTSOURCE-9d68f7a197a1422459ffbad0,XREVIEW-2fe6225d52fcd3a572c5580c,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-056acbb8e56d6edf41d294b1,unresolved_rejected_from_math,85483,"{""character_end"": """", ""character_start"": """", ""column"": ""4"", ""page"": """", ""row"": ""12"", ""table_id"": ""html_table_1070""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-303f3b4eae19190833e08156,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-19a079154c042263c262dce2,unresolved_rejected_from_math,X,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""42"", ""table_id"": ""html_table_1492""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-3145559943323bf7cfd8d6ba,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-8b3c3ebf8bede77163d16db9,unresolved_rejected_from_math,96613,"{""character_end"": """", ""character_start"": """", ""column"": ""11"", ""page"": """", ""row"": ""7"", ""table_id"": ""html_table_1350""}",1,EXTSOURCE-fc2b0a9e21ae1ca5022e6abb,XREVIEW-3212b2503abec9851aba0b2e,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-40f21554a5a32fb4d4f97ea9,unresolved_rejected_from_math,162161,"{""character_end"": """", ""character_start"": """", ""column"": ""9"", ""page"": """", ""row"": ""7"", ""table_id"": ""html_table_706""}",1,EXTSOURCE-a9f23fd03eb83ee93d70974a,XREVIEW-3412ddb8ea5de12b2be7a26b,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-65065c0f6c82ca498960efa5,unresolved_rejected_from_math,130531,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""5"", ""table_id"": ""html_table_890""}",1,EXTSOURCE-fe6abb31cfb14ee7e9614818,XREVIEW-34e265acc6b613c83a46974b,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-a79ea68fdfa8f4f6195841f6,unresolved_rejected_from_math,130754,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""9"", ""table_id"": ""html_table_534""}",1,EXTSOURCE-9b301cbf2dc9009a9d0d1bc3,XREVIEW-3732d4c9b7367801c4fa2771,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-e49614903c076405a87df849,unresolved_rejected_from_math,72828,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""5"", ""table_id"": ""html_table_1018""}",1,EXTSOURCE-a9f23fd03eb83ee93d70974a,XREVIEW-37b8734afcb7616ca5643ee8,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-0fc735a47f09181c238cf789,unresolved_rejected_from_math,76896,"{""character_end"": """", ""character_start"": """", ""column"": ""7"", ""page"": """", ""row"": ""2"", ""table_id"": ""html_table_318""}",1,EXTSOURCE-9d68f7a197a1422459ffbad0,XREVIEW-3869c5ba12a42c191317b556,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-82c0b7fcb385117bd0120ca0,unresolved_rejected_from_math,111998,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_1070""}",1,EXTSOURCE-fe6abb31cfb14ee7e9614818,XREVIEW-39464d2b287bcd6446b745da,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-266af9d0db2fc93fdb6f4968,unresolved_rejected_from_math,87263,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""4"", ""table_id"": ""html_table_886""}",1,EXTSOURCE-fc2b0a9e21ae1ca5022e6abb,XREVIEW-397a19752f369b2b26528b71,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-ab3c92925ea9a402db0a818f,unresolved_rejected_from_math,83147,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""7"", ""table_id"": ""html_table_1570""}",1,EXTSOURCE-9d68f7a197a1422459ffbad0,XREVIEW-3b4b6373c5a9f0042e59ada4,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-bb5c2c5213c74f5451c369f6,unresolved_rejected_from_math,49695,"{""character_end"": """", ""character_start"": """", ""column"": ""10"", ""page"": """", ""row"": ""4"", ""table_id"": ""html_table_1134""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-3e23efd10ff0e19d8a716dcd,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-27ef257012abcd7c9c0185c4,unresolved_rejected_from_math,Trainer Borough,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""4"", ""table_id"": ""html_table_23""}",1,EXTSOURCE-27f43945f2ffe7fd43fca30b,XREVIEW-410de1ba470fe946c1a8525b,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-f85969724ac1c84abb727be4,unresolved_rejected_from_math,182230,"{""character_end"": """", ""character_start"": """", ""column"": ""4"", ""page"": """", ""row"": ""6"", ""table_id"": ""html_table_698""}",1,EXTSOURCE-9b301cbf2dc9009a9d0d1bc3,XREVIEW-415a48a7a98daba42b5e79c6,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-36951f5d2c839fee10dc7a68,unresolved_rejected_from_math,87586,"{""character_end"": """", ""character_start"": """", ""column"": ""3"", ""page"": """", ""row"": ""4"", ""table_id"": ""html_table_1310""}",1,EXTSOURCE-2b375b6626cfc22f53a63540,XREVIEW-475559a1b336af8076d7524e,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-a3e63a0fc266b52e3c01a4dc,unresolved_rejected_from_math,44342,"{""character_end"": """", ""character_start"": """", ""column"": ""8"", ""page"": """", ""row"": ""4"", ""table_id"": ""html_table_1446""}",1,EXTSOURCE-d18f3cfa7146b4081b1f4564,XREVIEW-491e4a3bddf58643760c00fe,unresolved_conflict,conflict
rejected,direction-changing conflict remains excluded,,conflict_not_corroboration,unresolved,,,[],CONFLICT-X,AGGRES-5bf0c942d0342f9fd32ae8da,unresolved_rejected_from_math,48236,"{""character_end"": """", ""character_start"": """", ""column"": ""2"", ""page"": """", ""row"": ""2"", ""table_id"": ""html_table_738""}",1,EXTSOURCE-2b375b6626cfc22f53a63540,XREVIEW-4a91b911f455e5434d4387e1,unresolved_conflict,conflict
