selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status,cumulative_cohort,requires_gabriel,seed_selection_rank,inventory_rows_for_content_hash,duplicate_hash_representative_rule,excluded_duplicate_detection_ids
11,cexrem_a5724468211f889fbfd83ba4,doc_ef2846790b0144852762a932,ttd_6795bffbc75e8348e4897e73,pr_9c4b1782587eccdd10edb2a9,sr_24d497829fab42d9ce35bd83,NSCQ-CA-20260720-0024,TRI-9b1697d2404e925a72d8,VER-c2c291c5447bfd64cefd,CA,Anaheim,CITY OF ANAHEIM,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0209_sr_24d497829fab42d9ce35bd83.pdf,4371238b2b026a4785ce5bea78c23349e5f816d93fda51329307e05d063e9159,83,present,likely,p1,"2,10,19,28,37,47,83",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_2a9f874d61ae89a768b05e2a,no,,quantitative,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
12,cexrem_4561c8f9a774443c87be4edc,doc_768bdab4abe4cb82cfef7102,ttd_2574304542d0ac3503a69293,pr_490bd9a283e5252ec85dfd33,sr_b5e4cbf91b4ca5579bedb541,NSCQ-CA-20260720-0670,TRI-b648b17c1549ab858da6,VER-fca75b42af51e7d8dd56,CA,Arcata,CITY OF ARCATA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0001_sr_b5e4cbf91b4ca5579bedb541.pdf,ae19cf143a3ad726b8602dd05d01b35499ae9a175c47c0ca82f8a4d78c87ac26,70,present,possible,p2,36,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH,match_b2c376d9fa5ebd94c98290c5,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
13,cexrem_dc7b0801c438edd76a9405b3,doc_bc8e8af8bd5e98fa9b84dea8,ttd_cccd410c5a34fab04ed033b4,pr_ca7b651694018faa03a2ac05,sr_d60ff4b9d0901c2fb4aa4110,NSCQ-CA-20260720-0022,TRI-f0dab25cbd61eccb39c7,VER-1aa4ce9230be402b4f81,CA,Bakersfield,CITY OF BAKERSFIELD,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0136_sr_d60ff4b9d0901c2fb4aa4110.pdf,b76446375bc35900ee04bd2cf93702db98cf7082f55bb35966b6890001bb2915,31,present,likely,p1,"1,4,8,11,14",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_4eec4d534dd4771b9c978d48,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
14,cexrem_f96568a560c125afaeb3d35f,doc_c6abc6dabeaed9ac7c51df04,ttd_2747a81a56c813f2858c7a44,pr_d0f79b90c600933f7e4b24e8,sr_90c2fe897b9b2d05ed41e5d2,NSCQ-CA-20260720-0021,TRI-505e8f02df0a3b68eebe,VER-d444ccdd3e147961c063,CA,Bakersfield,CITY OF BAKERSFIELD,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0201_sr_90c2fe897b9b2d05ed41e5d2.pdf,fd0da2c8fc97644fbedf333f69caf46009ceef9f33ad057d94a7b362b6bff2ab,22,present,likely,p1,"2,3,6,10,12,13,21",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_4eec4d534dd4771b9c978d48,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
15,cexrem_d48a82071fbe3ab45f91e231,doc_a068647e2eb7c60477b69614,ttd_0c8dae40bb42848a1b2df614,pr_42f7a5cb2a9cbfde61f9de84,sr_b9a6ad0786e3e56c6c5abf7d,NSCQ-CA-20260720-0637,TRI-0e311261f3a65245c006,VER-53f3d6f9600238386e26,CA,Banning,CITY OF BANNING,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0167_sr_b9a6ad0786e3e56c6c5abf7d.pdf,50b05942f0f635e79269c40ae7cd387fae39d83e942481562a2a8ade12f29c58,40,present,possible,p2,"2,5,10,14,18,21,23",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|MATCHED_NON_SAFETY_OPPORTUNITY,match_c194f02afdc06619d80d4539,yes,cexrem_d48a82071fbe3ab45f91e231,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
16,cexrem_0d5fa53b153d7e2e6bc9e5e0,doc_6f2521e6c87340427ee6d242,ttd_51b8cf615f9d7f56025008ff,pr_1512e5a0a7bdc1fb6e7975bd,sr_e8ffa07154ab72579f9a11dd,NSCQ-CA-20260720-0635,TRI-568e85fd2cbcddc6b04e,VER-44956310b441fa6c0ede,CA,Banning,CITY OF BANNING,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_e8ffa07154ab72579f9a11dd.pdf,d9774a7efbf80e94e83dc26cfe0c2d1a0f26d4d59caf4e9c76a7e5c918e45c72,32,present,possible,p2,"2,8,11,18,31",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|MATCHED_NON_SAFETY_OPPORTUNITY,match_c194f02afdc06619d80d4539,yes,cexrem_d48a82071fbe3ab45f91e231,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
17,cexrem_6b61dfa45e8a6c081a62b29b,doc_f9cd1bbc95e98a6e9d0eef0c,ttd_9051c1e0a2f9872d02acf8f9,pr_46d768ce49a7a6ad664a716f,sr_8464163e220b283b926c1314,NSCQ-CA-20260720-0601,TRI-53542d0de7c5896ae613,VER-117413c5da6defb8f2b9,CA,Bell,CITY OF BELL,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0231_sr_8464163e220b283b926c1314.pdf,df05f15bd89d7f2151edc1baf081ffb2b7f17cc9c9a88fb5ef86818efc318151,25,present,likely,p1,"4,6,9,12,13",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_74f02f193826b5c3985d9329,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
18,cexrem_8715f1d101bba8d08e834850,doc_c2846f6b4eed8f56d9dd6c37,ttd_afa62da426ae61d28f1d7f97,pr_f4eeb14921c1bc50dec4e37e,sr_35cd31166035de729083e527,NSCQ-CA-20260720-0632,TRI-cf4409f2d16e6207ccbb,VER-564b69e2890dbcc50d5e,CA,Benicia,CITY OF BENICIA,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0196_sr_35cd31166035de729083e527.pdf,4bfae54e7336a08b0627d542f9de0801f189356f40afeb448330fcba8505f539,12,present,likely,p1,"2,3,6,8,10,11",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_878aa28c3ababd4cfc307bda,yes,cexrem_8715f1d101bba8d08e834850,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
19,cexrem_e60f30f4a5908d72daf92bb5,doc_edc9d3b1fee3964f791a5a77,ttd_216add851424d7e84becee78,pr_82607ca5a2d0f87a682d753f,sr_6f11504afd5b29726a4fd6d5,NSCQ-CA-20260720-0372,TRI-ba7bb1d3b5e1eded9df5,VER-167b2fa7e23af2e475a8,CA,Calexico,CITY OF CALEXICO,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0143_sr_6f11504afd5b29726a4fd6d5.pdf,d60553c22b3230499abcabd94c303d1a1098ce8b71e4c75fd3219d841e8fc1ca,31,present,likely,p1,"2,4,8,11,16,18,30",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY|MATCHED_NON_SAFETY_OPPORTUNITY,match_09f24fd9ff884d23219fe72d,yes,cexrem_e60f30f4a5908d72daf92bb5,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
20,cexrem_7980eafd9321c1fcfee8b73e,doc_7a22be9af444b4132ed1a682,ttd_7da20ee9f434479005bb62f5,pr_0a52dc5ab590ea8baa843d86,sr_e93b7d54218fc869b7b200ae,NSCQ-CA-20260720-0516,TRI-7ebbcc39b7c6621a3402,VER-69b56dab9f4782797926,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0088_sr_e93b7d54218fc869b7b200ae.pdf,8d8b8770507ed30bde3abfe06e2a0549ef92a75e81c8e8854f79b9447e87a601,9,present,possible,p2,"1,2,3,4,5,6",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|MATCHED_NON_SAFETY_OPPORTUNITY,match_4ca8b96de265e3db25cec531,yes,cexrem_e31361e568106f7578e6139a,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
21,cexrem_e31361e568106f7578e6139a,doc_b450f8a62bcabc16e986cf0d,ttd_f2f43345f053b18c2f5aa924,pr_03dc602bcf1a7d3b2107b8f8,sr_92387577f0bdf101b83c02fc,NSCQ-CA-20260720-0517,TRI-10bc8be3f55d46042b43,VER-a0a4f453ea197dff4d7b,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0265_sr_92387577f0bdf101b83c02fc.pdf,1c5cf52b07f6a763fe82236f9d55bd685015b7d78d6a59676a1447d595840cee,34,present,possible,p2,"2,5,8,12",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|MATCHED_NON_SAFETY_OPPORTUNITY,match_4ca8b96de265e3db25cec531,yes,cexrem_e31361e568106f7578e6139a,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
22,cexrem_058b6d1546a652696ceada65,doc_7e5d50c9a035a6444d4024a9,ttd_13e3301298b66146357cc961,pr_3a253e75f4859212e0fc4564,sr_8664fe6a98dc7bd7cba78e11,NSCQ-CA-20260720-0381,TRI-f8ed57f1facd613f4a46,VER-814d15ecf44e1866ce1b,CA,Ceres,CITY OF CERES,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0222_sr_8664fe6a98dc7bd7cba78e11.pdf,06b94c24403c64e33288d5f3bc7434cb93a7b11334e17c9770d3b2202e28e28e,52,present,possible,p2,"7,12,29",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|MATCHED_NON_SAFETY_OPPORTUNITY,match_ec8a66c15b94201636478d38,yes,cexrem_058b6d1546a652696ceada65,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
23,cexrem_a435d2a13f30025748248431,doc_fffd4b16e42f848961ebd3e5,ttd_b1a32bdabde13d02b7e78024,pr_c1ee423da133b9799489bedd,sr_337d4afae793d0c7907db579,NSCQ-CA-20260720-0380,TRI-9e2a8316d3a7e7962747,VER-ea3ff8e95d3b8218d0b9,CA,Ceres,CITY OF CERES,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0215_sr_337d4afae793d0c7907db579.pdf,a1973ce9e10f0020bfc9d2868dc3a8e663a678b83e1e5eb56c9f2b4547a552e8,29,present,possible,p2,"2,10,13,15,29",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|MATCHED_NON_SAFETY_OPPORTUNITY,match_ec8a66c15b94201636478d38,yes,cexrem_058b6d1546a652696ceada65,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
24,cexrem_941b5e6ebd31e634032d914c,doc_98b6e38de9fdcaa240ae4600,ttd_d67fa8aefcf5bb31037661b7,pr_19c632abfe78bfa221456f5e,sr_151e6e7574140b5b24dcf094,NSCQ-CA-20260720-0051,TRI-99e7f87c354a6c520e27,VER-a04e0088fbd7e772f3b7,CA,Chico,CITY OF CHICO,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0035_sr_151e6e7574140b5b24dcf094.pdf,8bff7aa628e50b812fd5e914f8103f52f2bb6a0d7c94b42a6f5d6c5fa31f3495,64,present,likely,p1,"2,22,36,64",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|OUTSIDE_FROZEN_1000_HASHES|TARGETED_QA_ROUTING_V2|FINAL_READABLE_PARSE_TEXT_BATCH|LIKELY_P1_PRIORITY,match_b0d04ae10a590be2cdfa65c2,no,,mixed,,,0,frozen_remaining_requires_api,remaining_parse_text_826_new,yes,,1,single_eligible_identity,
