span_id,rating_id,source_id,retained_source_id,municipality,state,region,source_family,source_title,source_locator,cba_non_cba_hint,evidence_category,exact_span_text,short_paraphrase,side_classification,rating_direction_bucket,evidence_quality_score,report_usability_bucket,line_offset,character_start_offset,character_end_offset,claim_boundary,audit_universe,bargaining_power_signal_strength,strike_or_no_strike_constraint_strength,primary_mechanism_subtype,mechanism_subtypes,wage_pressure_pathway,audit_disposition
B4X2500SPAN-20260730-1df481cc82d8155e6203598e,B4X2500-RATING-20260730-787810ae48aa3addc2f4d396,B4X2500LIVE-20260729-007320,B4X2500SRD-20260730-314962a0e14a8224c3dc,Blue Lake,CA,West,wage_schedule,City of Blue Lake Salary Plan - Fiscal Year 2024-2025 (Amendment Number 4 effective 5/12/25) / Acting City Manager-May 2025 (job description + wage range),https://bluelake.ca.gov/wp-content/uploads/2025/05/May-13-2025-Special-Meeting-Agenda-Packet.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,"• Represents the City in intergovernmental affairs, negotiations, and public","The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,153,7562,7639,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-11a75cb22c27be91eb0122bd,B4X2500-RATING-20260730-e2f841c2b4e647ad991e7218,B4X2500LIVE-20260729-009839,B4X2500SRD-20260730-db7cd0f9b608a5d236eb,Fort Jones,CA,West,mou_or_memorandum,Memorandum of Understanding Regarding Strike Team Pay / Pay Per Call / Pay Per Meeting (Fort Jones Vol. Fire Department),https://fortjonesca.org/wp-content/uploads/2024/06/Packet_6_10_2024-1.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,Discuss possible action to enter into negotiations for a maintenance agreement for the,"The passage references bargaining, impasse, factfinding, or arbitration context.",safety,not_applicable,2,pi_report_context_only,48,1698,1786,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-cf5f970f6129195fdfd8c317,B4X2500-RATING-20260730-1646af2d42eac452b37bb331,B4X2500LIVE-20260729-009849,B4X2500SRD-20260730-72a64c7440cbb4b1ac53,Monte Sereno,CA,West,mou_or_memorandum,"Resolution No. 23-3881: Adopting Memorandum of Understanding with Monte Sereno Association of City Employees (MOU dated June 1, 2023)",https://montesereno.civicweb.net/document/93781,non_cba_or_other_hint,bargaining_or_arbitration_context,"(“Association”) as a bargaining unit, and has participated in collective bargaining with","The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,3,pi_report_supporting_example,12,464,553,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,2,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-21ad9387de3771961fb227a8,B4X2500-RATING-20260730-7263a984c0be470f70dfd9b0,B4X2500LIVE-20260729-009856,B4X2500SRD-20260730-b6b9455b235a6e7ef14d,San Juan Bautista,CA,West,wage_schedule,Employee Compensation and Benefits (Adopt “Salary Resolution” / Salary and Benefits Plan; includes classification pay ranges),https://cms6.revize.com/revize/sanjuanbautistaca/document_center/City%20Council/packet/2019/Packet%20052119.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,"meetings, and one on one situations for various purposes, including negotiations for right-","The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,2348,119030,119122,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-3eede8fd0ac9222720a421a1,B4X2500-RATING-20260730-dd765d72ac4db097bf2a4b6b,B4X2500LIVE-20260729-009859,B4X2500SRD-20260730-1414cda1a65079b5a0e6,Sutter Creek,CA,West,mou_or_memorandum,"Memorandum of Understanding by and between City of Sutter Creek and S.E.I.U. Local 1021 (July 1, 2022 through June 30, 2023)",https://seiu1021.org/sites/main/files/file-attachments/sutter_creek-city_mou_7.1.2022-6.30.2023.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,this proposal are also subject to negotiations.,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,77,5246,5294,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-c09e2e39921f0b803c6c477a,B4X2500-RATING-20260730-5778b502f01409471862feaa,B4X2500LIVE-20260729-009859,B4X2500SRD-20260730-1414cda1a65079b5a0e6,Sutter Creek,CA,West,mou_or_memorandum,"Memorandum of Understanding by and between City of Sutter Creek and S.E.I.U. Local 1021 (July 1, 2022 through June 30, 2023)",https://seiu1021.org/sites/main/files/file-attachments/sutter_creek-city_mou_7.1.2022-6.30.2023.pdf,non_cba_or_other_hint,qualitative_mechanism,UNION RESPONSIBILITY/WORK STOPPAGE.,The passage describes a possible wage-setting or employment-rule mechanism for later review.,unclear,neutral_or_general,2,pi_report_context_only,111,6934,6970,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,0,1,settlement,strike_or_no_strike|settlement,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-d7831aff721b5f5e45072a86,B4X2500-RATING-20260730-c69d08968d07eaf39ef2fe77,B4X2500LIVE-20260729-009859,B4X2500SRD-20260730-1414cda1a65079b5a0e6,Sutter Creek,CA,West,mou_or_memorandum,"Memorandum of Understanding by and between City of Sutter Creek and S.E.I.U. Local 1021 (July 1, 2022 through June 30, 2023)",https://seiu1021.org/sites/main/files/file-attachments/sutter_creek-city_mou_7.1.2022-6.30.2023.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,It is agreed and understood that during the negotiations which culminated in,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,90,5800,5878,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-dcbf08b4b8b7d2f18cc2f0f6,B4X2500-RATING-20260730-5772fb7f655bd17abf352fef,B4X2500LIVE-20260729-009859,B4X2500SRD-20260730-1414cda1a65079b5a0e6,Sutter Creek,CA,West,mou_or_memorandum,"Memorandum of Understanding by and between City of Sutter Creek and S.E.I.U. Local 1021 (July 1, 2022 through June 30, 2023)",https://seiu1021.org/sites/main/files/file-attachments/sutter_creek-city_mou_7.1.2022-6.30.2023.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,"The City recognizes the Union as the sole collective bargaining agent for those miscellaneous employees, excluding safety","The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,not_applicable,3,pi_report_supporting_example,68,4714,4837,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,2,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-9fc3c66e5ad90ca3873d80c8,B4X2500-RATING-20260730-3f8c8529f397ed740abd35a5,B4X2500LIVE-20260729-004821,B4X2500SRD-20260730-85768ae2f4274b33d6e1,Wheatland,CA,West,mou_or_memorandum,Memorandum of Understanding Between the City of Wheatland and the General Employees' Association,https://mccmeetingspublic.blob.core.usgovcloudapi.net/wheatlndca-meet-e90fcc2fd44944998381eca1be2f3ff8/ITEM-Attachment-001-b0aa5c4920c8467dab34b10acf3b2eb7.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,negotiations leading to this Memorandum.,"The passage references bargaining, impasse, factfinding, or arbitration context.",non_safety,neutral_or_general,2,pi_report_context_only,359,19944,19984,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-b31aa702fa0711ec443be02f,B4X2500-RATING-20260730-062c843fc6ec50c31fb75fa2,B4X2500LIVE-20260729-004821,B4X2500SRD-20260730-85768ae2f4274b33d6e1,Wheatland,CA,West,mou_or_memorandum,Memorandum of Understanding Between the City of Wheatland and the General Employees' Association,https://mccmeetingspublic.blob.core.usgovcloudapi.net/wheatlndca-meet-e90fcc2fd44944998381eca1be2f3ff8/ITEM-Attachment-001-b0aa5c4920c8467dab34b10acf3b2eb7.pdf,non_cba_or_other_hint,qualitative_mechanism,ARTICLE XXI – NO STRIKE – NO LOCKOUT:,The passage describes a possible wage-setting or employment-rule mechanism for later review.,non_safety,not_applicable,4,pi_report_core_finding_ready,309,16877,16915,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,0,4,settlement,strike_or_no_strike|settlement,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-f346f6e9da0dae25181474c7,B4X2500-RATING-20260730-b31c495c111df466d3787520,B4X2500LIVE-20260729-004821,B4X2500SRD-20260730-85768ae2f4274b33d6e1,Wheatland,CA,West,mou_or_memorandum,Memorandum of Understanding Between the City of Wheatland and the General Employees' Association,https://mccmeetingspublic.blob.core.usgovcloudapi.net/wheatlndca-meet-e90fcc2fd44944998381eca1be2f3ff8/ITEM-Attachment-001-b0aa5c4920c8467dab34b10acf3b2eb7.pdf,non_cba_or_other_hint,bargaining_or_arbitration_context,to reopen negotiations with the Association.,"The passage references bargaining, impasse, factfinding, or arbitration context.",non_safety,neutral_or_general,2,pi_report_context_only,110,6662,6707,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,settlement,settlement|collective_bargaining,"a negotiated or adjudicated outcome is translated into wage terms, effective dates, or retroactivity",documentary_context_only
B4X2500SPAN-20260730-96fe9507764b6598846be06c,B4X2500-RATING-20260730-c76ad888118368bf84c06cc9,B4X2500LIVE-20260729-009871,B4X2500SRD-20260730-825e6965a2c78da90c2f,Cripple Creek,CO,West,budget_or_pay_plan,Cripple Creek pay plan / compensation-related document (access blocked),https://cityofcripplecreek.com/media/4111,non_cba_or_other_hint,bargaining_or_arbitration_context,municipalities cannot be compelled to engage in collective bargaining with employees).,"The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,not_applicable,2,pi_report_context_only,468,29222,29309,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-f40d2a19fefefc1899c69ce3,B4X2500-RATING-20260730-835430715b3ab27c930f8f1b,B4X2500LIVE-20260729-004829,B4X2500SRD-20260730-319ff973a71ac4129c50,Dinosaur,CO,West,other_local_government_pay_policy,Municipal Code (Town of Dinosaur) — Title 2 (Officers and Employees): Wages and Salaries & salary-setting mechanism,https://townofdinosaur.org/municipal-code,non_cba_or_other_hint,non_base_compensation,"B. Work Schedules for Officers, Professional and Exempt Employees. Full time officers, professional, administrative, and other exempt employees who are ineligible for overtime compensation or compensatory time-off, shall work a minimum of thirty-five (35) hours per week or such additional amount as is necessary, in the opinion of the Town Council, to perform his/her duties in a complete and satisfactory manner. Such officers or employees shall receive no additional compensation or compensatory time-off for work in excess of thirty-five (35) hours p",The passage references a non-base compensation component for later review.,non_safety,neutral_or_general,2,pi_report_context_only,505,42630,43203,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,0,1,general_bargaining_or_dispute_context,general_bargaining_or_dispute_context,the record provides general bargaining/dispute context but does not identify a precise wage-setting pathway,exclude_false_positive
B4X2500SPAN-20260730-4ee379620bcab0877e4d621c,B4X2500-RATING-20260730-89ea036ebe2bb555700d85a8,B4X2500LIVE-20260729-002379,B4X2500SRD-20260730-098de5868c0daaf2dd0e,Morrison,CO,West,wage_schedule,Town of Morrison Pay Structure (Board Action Form) — Proposed Pay Structure for 2025,https://morrisonco.us/AgendaCenter/ViewFile/Agenda/_09162025-1038,non_cba_or_other_hint,bargaining_or_arbitration_context,"strategy for negotiations, and/or instruct negotiators concerning the wastewater treatment","The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,13,311,402,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-68c6a4f53f1d7ac2cd300475,B4X2500-RATING-20260730-f34e10a0a85e3d98b0462978,B4X2500LIVE-20260729-002379,B4X2500SRD-20260730-098de5868c0daaf2dd0e,Morrison,CO,West,wage_schedule,Town of Morrison Pay Structure (Board Action Form) — Proposed Pay Structure for 2025,https://morrisonco.us/AgendaCenter/ViewFile/Agenda/_09162025-1038,non_cba_or_other_hint,bargaining_or_arbitration_context,"To determine positions relative to matters that may be subject to negotiations, develop a","The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,12,220,311,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
B4X2500SPAN-20260730-ed0f29e303a5b8f12f1441df,B4X2500-RATING-20260730-1d91df0eed14db8dd7303c5e,B4X2500LIVE-20260729-002379,B4X2500SRD-20260730-098de5868c0daaf2dd0e,Morrison,CO,West,wage_schedule,Town of Morrison Pay Structure (Board Action Form) — Proposed Pay Structure for 2025,https://morrisonco.us/AgendaCenter/ViewFile/Agenda/_09162025-1038,non_cba_or_other_hint,bargaining_or_arbitration_context,"To determine positions relative to matters that may be subject to negotiations, develop a","The passage references bargaining, impasse, factfinding, or arbitration context.",unclear,neutral_or_general,2,pi_report_context_only,15,484,575,"documentary mechanism evidence only; no causal effect, wage-gap, national-prevalence, or representative-population claim",rated_bargaining_or_strike_positive,1,0,collective_bargaining,collective_bargaining,"bilateral negotiation can set base wages, non-base compensation, and implementation timing",documentary_context_only
