figure_id,kind,title,mechanism_tags,claim_ids,event_count,mapped_event_count,lower48_event_count,alaska_event_count,side_counts,fixed_extent,projection,hex_radius_km,input_unit,png_path,svg_path,thumbnail_path,data_path,outside_fixed_extent,all_events_accounted_for,northern_records_present,alaska_explicit,qa_status
corrected-category-map-non-base-compensation-other,category,Non Base Compensation Other,non_base_compensation_other,CLAIM-C,292,292,292,0,"{'unresolved': 104, 'safety': 174, 'mixed': 2, 'non_safety': 12}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-non-base-compensation-other.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-non-base-compensation-other.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-non-base-compensation-other.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-non-base-compensation-other.csv,0,True,True,True,pass
corrected-category-map-ordinance-council-adoption,category,Ordinance Council Adoption,ordinance_council_adoption,CLAIM-F,255,255,252,3,"{'unresolved': 117, 'side_independent': 60, 'safety': 61, 'non_safety': 17}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-ordinance-council-adoption.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-ordinance-council-adoption.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-ordinance-council-adoption.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-ordinance-council-adoption.csv,0,True,True,True,pass
corrected-category-map-ordinance-adoption,category,Ordinance Adoption,ordinance_adoption,CLAIM-F,206,206,204,2,"{'unresolved': 102, 'side_independent': 42, 'safety': 50, 'non_safety': 12}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-ordinance-adoption.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-ordinance-adoption.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-ordinance-adoption.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-ordinance-adoption.csv,0,True,True,True,pass
corrected-category-map-unclear,category,Unclear,unclear,,140,140,140,0,"{'side_independent': 37, 'unresolved': 31, 'safety': 55, 'non_safety': 12, 'mixed': 5}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-unclear.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-unclear.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-unclear.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-unclear.csv,0,True,True,True,pass
corrected-category-map-base-wage-change,category,Base Wage Change,base_wage_change,CLAIM-B,120,120,120,0,"{'unresolved': 58, 'safety': 59, 'non_safety': 3}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-base-wage-change.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-base-wage-change.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-base-wage-change.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-base-wage-change.csv,0,True,True,True,pass
corrected-category-map-step-progression,category,Step Progression,step_progression,CLAIM-B,87,87,86,1,"{'side_independent': 7, 'non_safety': 7, 'safety': 45, 'unresolved': 27, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-step-progression.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-step-progression.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-step-progression.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-step-progression.csv,0,True,True,True,pass
corrected-category-map-cola-cpi-adjustment,category,COLA CPI Adjustment,cola_cpi_adjustment,CLAIM-B,79,79,79,0,"{'unresolved': 33, 'non_safety': 5, 'safety': 35, 'side_independent': 6}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-cola-cpi-adjustment.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-cola-cpi-adjustment.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-cola-cpi-adjustment.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-cola-cpi-adjustment.csv,0,True,True,True,pass
corrected-category-map-uniform-or-equipment-allowance,category,Uniform Or Equipment Allowance,uniform_or_equipment_allowance,CLAIM-C,68,68,68,0,"{'unresolved': 23, 'safety': 36, 'non_safety': 4, 'mixed': 1, 'side_independent': 4}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-uniform-or-equipment-allowance.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-uniform-or-equipment-allowance.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-uniform-or-equipment-allowance.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-uniform-or-equipment-allowance.csv,0,True,True,True,pass
corrected-category-map-benefit-cost-change,category,Benefit Cost Change,benefit_cost_change,CLAIM-C,65,65,65,0,"{'non_safety': 5, 'unresolved': 23, 'safety': 28, 'side_independent': 9}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-benefit-cost-change.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-benefit-cost-change.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-benefit-cost-change.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-benefit-cost-change.csv,0,True,True,True,pass
corrected-category-map-budget-appropriation,category,Budget Appropriation,budget_appropriation,CLAIM-F,64,64,64,0,"{'unresolved': 25, 'non_safety': 6, 'side_independent': 16, 'safety': 17}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-budget-appropriation.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-budget-appropriation.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-budget-appropriation.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-budget-appropriation.csv,0,True,True,True,pass
corrected-category-map-stipend-or-premium,category,Stipend Or Premium,stipend_or_premium,CLAIM-C,62,62,61,1,"{'safety': 30, 'unresolved': 25, 'side_independent': 6, 'non_safety': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-stipend-or-premium.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-stipend-or-premium.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-stipend-or-premium.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-stipend-or-premium.csv,0,True,True,True,pass
corrected-category-map-settlement-or-mou,category,Settlement Or MOU,settlement_or_mou,CLAIM-A,58,58,58,0,"{'side_independent': 9, 'unresolved': 18, 'non_safety': 4, 'safety': 27}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-settlement-or-mou.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-settlement-or-mou.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-settlement-or-mou.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-settlement-or-mou.csv,0,True,True,True,pass
corrected-category-map-market-recruitment-retention,category,Market Recruitment Retention,market_recruitment_retention,CLAIM-D,44,44,44,0,"{'safety': 17, 'unresolved': 21, 'side_independent': 1, 'non_safety': 5}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-market-recruitment-retention.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-market-recruitment-retention.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-market-recruitment-retention.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-market-recruitment-retention.csv,0,True,True,True,pass
corrected-category-map-classification-band-change,category,Classification Band Change,classification_band_change,CLAIM-F,43,43,43,0,"{'unresolved': 17, 'non_safety': 2, 'side_independent': 4, 'safety': 19, 'mixed': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-classification-band-change.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-classification-band-change.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-classification-band-change.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-classification-band-change.csv,0,True,True,True,pass
corrected-category-map-longevity,category,Longevity,longevity,CLAIM-C,40,40,40,0,"{'unresolved': 16, 'side_independent': 5, 'non_safety': 1, 'safety': 18}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-longevity.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-longevity.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-longevity.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-longevity.csv,0,True,True,True,pass
corrected-category-map-overtime,category,Overtime,overtime,CLAIM-C,38,38,38,0,"{'safety': 15, 'unresolved': 19, 'non_safety': 2, 'side_independent': 2}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-overtime.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-overtime.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-overtime.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-overtime.csv,0,True,True,True,pass
corrected-category-map-inflation-indexing,category,Inflation Indexing,inflation_indexing,CLAIM-B,31,31,31,0,"{'safety': 21, 'unresolved': 10}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-inflation-indexing.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-inflation-indexing.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-inflation-indexing.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-inflation-indexing.csv,0,True,True,True,pass
corrected-category-map-holiday-pay,category,Holiday Pay,holiday_pay,CLAIM-C,22,22,22,0,"{'safety': 13, 'unresolved': 5, 'non_safety': 1, 'mixed': 1, 'side_independent': 2}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-holiday-pay.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-holiday-pay.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-holiday-pay.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-holiday-pay.csv,0,True,True,True,pass
corrected-category-map-lump-sum,category,Lump Sum,lump_sum,CLAIM-C,18,18,18,0,"{'safety': 14, 'unresolved': 4}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-lump-sum.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-lump-sum.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-lump-sum.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-lump-sum.csv,0,True,True,True,pass
corrected-category-map-bargaining-leverage,category,Bargaining Leverage,bargaining_leverage,CLAIM-A,17,17,17,0,"{'unresolved': 4, 'safety': 12, 'non_safety': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-bargaining-leverage.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-bargaining-leverage.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-bargaining-leverage.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-bargaining-leverage.csv,0,True,True,True,pass
corrected-category-map-collective-bargaining,category,Collective Bargaining,collective_bargaining,CLAIM-A,17,17,17,0,"{'unresolved': 4, 'safety': 12, 'non_safety': 1}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-collective-bargaining.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-collective-bargaining.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-collective-bargaining.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-collective-bargaining.csv,0,True,True,True,pass
corrected-category-map-salary-range-change,category,Salary Range Change,salary_range_change,CLAIM-B,12,12,12,0,"{'side_independent': 1, 'unresolved': 9, 'safety': 2}","[-2471470.260722646, 2373511.492285076, 167264.18964099674, 3267119.089553831]",EPSG:5070,50,deduplicated municipality × compensation cycle × mechanism × side implementation event,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-salary-range-change.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/maps/corrected-category-map-salary-range-change.svg,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/assets/thumbnails/corrected-category-map-salary-range-change.png,docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/data/corrected-category-map-salary-range-change.csv,0,True,True,True,pass
