page,image_path,width,height,content_bbox,blank,edge_intersection,status
33,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-33.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
34,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-34.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
35,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-35.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
36,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-36.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
37,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-37.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
38,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-38.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
39,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-39.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
40,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-40.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
41,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-41.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
42,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-42.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
43,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-43.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
44,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-44.png,1980,1530,"(0, 0, 1980, 1530)",False,True,pass
45,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-45.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
46,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-46.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
47,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-47.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
48,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-48.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
49,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-49.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
50,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-50.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
51,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-51.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
52,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-52.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
53,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-53.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
54,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-54.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
55,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-55.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
56,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-56.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
57,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-57.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
58,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-58.png,1980,1530,"(0, 0, 1980, 1530)",False,True,pass
59,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-59.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
60,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-60.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
61,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-61.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
62,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-62.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
63,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-63.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
64,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-64.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
65,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-65.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
66,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-66.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
67,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-67.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
68,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-68.png,1980,1530,"(0, 0, 1980, 1530)",False,True,pass
69,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-69.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
70,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-70.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
71,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_revised_2026-08-06/rendered_pages/page-71.png,1980,1530,"(0, 0, 1980, 1489)",False,True,pass
