page,width,height,extracted_text_chars,blank_text,first_text
20,792.0,612.0,500,False,"COMPENSATION MECHANISMS 20 Documented evidence, not national prevalence or causal effect This map shows 140 distinct documented unclear implementation events ac"
21,792.0,612.0,462,False,"COMPENSATION MECHANISMS 21 Documented evidence, not national prevalence or causal effect This map shows 120 distinct documented base wage change implementation "
22,792.0,612.0,497,False,"COMPENSATION MECHANISMS 22 Documented evidence, not national prevalence or causal effect This map shows 87 distinct documented step progression implementation e"
23,792.0,612.0,489,False,"COMPENSATION MECHANISMS 23 Documented evidence, not national prevalence or causal effect This map shows 79 distinct documented cola cpi adjustment implementatio"
24,792.0,612.0,498,False,"COMPENSATION MECHANISMS 24 Documented evidence, not national prevalence or causal effect This map shows 68 distinct documented uniform or equipment allowance im"
25,792.0,612.0,490,False,"COMPENSATION MECHANISMS 25 Documented evidence, not national prevalence or causal effect This map shows 65 distinct documented benefit cost change implementatio"
26,792.0,612.0,473,False,"COMPENSATION MECHANISMS 26 Documented evidence, not national prevalence or causal effect This map shows 64 distinct documented budget appropriation implementati"
27,792.0,612.0,494,False,"COMPENSATION MECHANISMS 27 Documented evidence, not national prevalence or causal effect This map shows 62 distinct documented stipend or premium implementation"
28,792.0,612.0,487,False,"COMPENSATION MECHANISMS 28 Documented evidence, not national prevalence or causal effect This map shows 58 distinct documented settlement or mou implementation "
29,792.0,612.0,502,False,"COMPENSATION MECHANISMS 29 Documented evidence, not national prevalence or causal effect This map shows 44 distinct documented market recruitment retention impl"
30,792.0,612.0,478,False,"COMPENSATION MECHANISMS 30 Documented evidence, not national prevalence or causal effect This map shows 43 distinct documented classification band change implem"
31,792.0,612.0,452,False,"COMPENSATION MECHANISMS 31 Documented evidence, not national prevalence or causal effect This map shows 40 distinct documented longevity implementation events a"
32,792.0,612.0,460,False,"COMPENSATION MECHANISMS 32 Documented evidence, not national prevalence or causal effect This map shows 38 distinct documented overtime implementation events ac"
33,792.0,612.0,474,False,"COMPENSATION MECHANISMS 33 Documented evidence, not national prevalence or causal effect This map shows 31 distinct documented inflation indexing implementation"
34,792.0,612.0,1286,False,"COMPENSATION MECHANISMS 34 Documented evidence, not national prevalence or causal effect Small-multiple mechanisms Holiday Pay This map shows 22 distinct docume"
35,792.0,612.0,1363,False,"COMPENSATION MECHANISMS 35 Documented evidence, not national prevalence or causal effect Small-multiple mechanisms Collective Bargaining This map shows 17 disti"
36,792.0,612.0,1355,False,"COMPENSATION MECHANISMS 36 Documented evidence, not national prevalence or causal effect Small-multiple mechanisms Vacancy Pressure This map shows 8 distinct do"
37,792.0,612.0,973,False,"COMPENSATION MECHANISMS 37 Documented evidence, not national prevalence or causal effect Sparse mechanisms Classification Civil Service I found 4 documented cla"
38,792.0,612.0,2034,False,"COMPENSATION MECHANISMS 38 Documented evidence, not national prevalence or causal effect Mechanism glossary None Identified (3,694) No specific compensation mec"
39,792.0,612.0,1894,False,"COMPENSATION MECHANISMS 39 Documented evidence, not national prevalence or causal effect Mechanism glossary (continued) Budget Appropriation (64) A budget alloc"
40,792.0,612.0,119,False,"COMPENSATION MECHANISMS 40 Documented evidence, not national prevalence or causal effect Mechanism glossary (continued)"
41,792.0,612.0,98,False,"Section II What the claims say A visual section built from adjudicated, source-linked evidence. 41"
42,792.0,612.0,236,False,"CLAIMS 42 Documented evidence, not national prevalence or causal effect This overview preserves the final analytical unit and evidence boundary. Counts show doc"
43,792.0,612.0,236,False,"CLAIMS 43 Documented evidence, not national prevalence or causal effect This overview preserves the final analytical unit and evidence boundary. Counts show doc"
44,792.0,612.0,236,False,"CLAIMS 44 Documented evidence, not national prevalence or causal effect This overview preserves the final analytical unit and evidence boundary. Counts show doc"
45,792.0,612.0,236,False,"CLAIMS 45 Documented evidence, not national prevalence or causal effect This overview preserves the final analytical unit and evidence boundary. Counts show doc"
46,792.0,612.0,619,False,"CLAIMS 46 Documented evidence, not national prevalence or causal effect I classify this claim as mechanism supported only. In the reviewed corpus, formal bargai"
47,792.0,612.0,604,False,"CLAIMS 47 Documented evidence, not national prevalence or causal effect I classify this claim as conditionally supported. The reviewed documentary corpus contai"
48,792.0,612.0,656,False,"CLAIMS 48 Documented evidence, not national prevalence or causal effect I classify this claim as mechanism supported only. Reviewed safety-compensation records "
49,792.0,612.0,634,False,"CLAIMS 49 Documented evidence, not national prevalence or causal effect I classify this claim as mechanism supported only. Reviewed sources explicitly use recru"
50,792.0,612.0,607,False,"CLAIMS 50 Documented evidence, not national prevalence or causal effect I classify this claim as mechanism supported only. Reviewed records show that retroactiv"
51,792.0,612.0,611,False,"CLAIMS 51 Documented evidence, not national prevalence or causal effect I classify this claim as mechanism supported only. Reviewed ordinances, budgets, pay pla"
52,792.0,612.0,583,False,"CLAIMS 52 Documented evidence, not national prevalence or causal effect I classify this claim as mixed or countervailing. Safety and non-safety units both use f"
53,792.0,612.0,647,False,"CLAIMS 53 Documented evidence, not national prevalence or causal effect I classify this claim as supported. The reviewed corpus supports a bounded account of me"
54,792.0,612.0,517,False,"CLAIMS 54 Documented evidence, not national prevalence or causal effect I classify this claim as unsupported. A national safety wage-gap estimate is not support"
55,792.0,612.0,543,False,"CLAIMS 55 Documented evidence, not national prevalence or causal effect I classify this claim as unsupported. A national prevalence estimate for any compensatio"
56,792.0,612.0,537,False,"CLAIMS 56 Documented evidence, not national prevalence or causal effect I classify this claim as unsupported. A causal effect estimate for any compensation mech"
57,792.0,612.0,558,False,"CLAIMS 57 Documented evidence, not national prevalence or causal effect I classify this claim as unsupported. No regression-based claim is supported because no "
58,792.0,612.0,558,False,"CLAIMS 58 Documented evidence, not national prevalence or causal effect I classify this claim as unsupported. A precise claim that safety wages grow a fixed per"
59,792.0,612.0,537,False,"CLAIMS 59 Documented evidence, not national prevalence or causal effect I classify this claim as unsupported. The evidence does not establish that a documented "
60,792.0,612.0,105,False,"Section III What limited the analysis A visual section built from adjudicated, source-linked evidence. 60"
61,792.0,612.0,76,False,"LIMITATIONS 61 Documented evidence, not national prevalence or causal effect"
62,792.0,612.0,76,False,"LIMITATIONS 62 Documented evidence, not national prevalence or causal effect"
63,792.0,612.0,76,False,"LIMITATIONS 63 Documented evidence, not national prevalence or causal effect"
64,792.0,612.0,76,False,"LIMITATIONS 64 Documented evidence, not national prevalence or causal effect"
65,792.0,612.0,76,False,"LIMITATIONS 65 Documented evidence, not national prevalence or causal effect"
66,792.0,612.0,76,False,"LIMITATIONS 66 Documented evidence, not national prevalence or causal effect"
67,792.0,612.0,76,False,"LIMITATIONS 67 Documented evidence, not national prevalence or causal effect"
68,792.0,612.0,76,False,"LIMITATIONS 68 Documented evidence, not national prevalence or causal effect"
69,792.0,612.0,76,False,"LIMITATIONS 69 Documented evidence, not national prevalence or causal effect"
70,792.0,612.0,76,False,"LIMITATIONS 70 Documented evidence, not national prevalence or causal effect"
71,792.0,612.0,101,False,"Section IV How the project worked A visual section built from adjudicated, source-linked evidence. 71"
72,792.0,612.0,76,False,"METHODOLOGY 72 Documented evidence, not national prevalence or causal effect"
73,792.0,612.0,76,False,"METHODOLOGY 73 Documented evidence, not national prevalence or causal effect"
74,792.0,612.0,76,False,"METHODOLOGY 74 Documented evidence, not national prevalence or causal effect"
75,792.0,612.0,76,False,"METHODOLOGY 75 Documented evidence, not national prevalence or causal effect"
76,792.0,612.0,853,False,"APPENDIX 76 Documented evidence, not national prevalence or causal effect Technical notes and evidence boundary Native PDF pages (1,029,482) remain separate fro"
