mechanism_tag,mechanism_name,category_type,event_count,municipality_count,state_count,safety_event_count,non_safety_event_count,mixed_event_count,side_independent_event_count,unresolved_event_count,side_classified_denominator,safety_share_classified,non_safety_share_classified,definition,wage_channel,claim_ids,analytical_unit
benefit_cost_change,Benefit Cost Change,reader_facing_mechanism,65,53,15,28,5,0,9,23,33,0.8485,0.1515,"A change in benefit value, employee contributions, or employer benefit costs.",It can change total compensation or take-home value even when base wages do not move.,CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
budget_appropriation,Budget Appropriation,reader_facing_mechanism,64,58,24,17,6,0,16,25,23,0.7391,0.2609,A budget allocation that authorizes or funds compensation.,It supplies the legal or financial authority for compensation to be paid.,CLAIM-F,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
stipend_or_premium,Stipend Or Premium,reader_facing_mechanism,62,52,15,30,1,0,6,25,31,0.9677,0.0323,"Supplemental pay for assignments, qualifications, shifts, or special duties.","It raises pay for specific duties, qualifications, shifts, or working conditions.",CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
settlement_or_mou,Settlement Or MOU,reader_facing_mechanism,58,48,19,27,4,0,9,18,31,0.871,0.129,A settlement or memorandum of understanding that changes compensation terms.,It can implement targeted changes faster or more narrowly than a complete successor contract.,CLAIM-A,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
market_recruitment_retention,Market Recruitment Retention,reader_facing_mechanism,44,35,16,17,5,0,1,21,22,0.7727,0.2273,"A pay action justified by labor-market competition, hiring, or retention pressure.",It can produce targeted raises or premiums when employers struggle to hire or keep workers.,CLAIM-D,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
classification_band_change,Classification Band Change,reader_facing_mechanism,43,40,13,19,2,1,4,17,21,0.9048,0.0952,"A change to a job classification, pay grade, range, or band.",It can raise or lower attainable pay by moving a job into a different grade or range.,CLAIM-F,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
longevity,Longevity,reader_facing_mechanism,40,35,13,18,1,0,5,16,19,0.9474,0.0526,Additional compensation tied to years of service.,It adds scheduled pay as service accumulates and can steepen wage growth for long-tenured workers.,CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
overtime,Overtime,reader_facing_mechanism,38,36,15,15,2,0,2,19,17,0.8824,0.1176,Compensation for hours or duties beyond the regular schedule.,It can substantially increase earnings beyond base pay when staffing or scheduling produces extra hours.,CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
inflation_indexing,Inflation Indexing,reader_facing_mechanism,31,22,8,21,0,0,0,10,21,1.0,0.0,A compensation rule explicitly linked to inflation or a price index.,It can trigger recurring adjustments as inflation changes.,CLAIM-B,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
holiday_pay,Holiday Pay,reader_facing_mechanism,22,19,9,13,1,1,2,5,14,0.9286,0.0714,Premium or additional compensation for holidays.,It adds premium compensation for holiday work or recognized holidays.,CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
lump_sum,Lump Sum,reader_facing_mechanism,18,16,6,14,0,0,0,4,14,1.0,0.0,A single payment rather than a recurring wage-rate increase.,It increases compensation once but does not by itself raise future base wages.,CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
bargaining_leverage,Bargaining Leverage,reader_facing_mechanism,17,15,6,12,1,0,0,4,13,0.9231,0.0769,The practical power employees or unions can use to win better terms during negotiations.,"It can improve negotiated terms when employees can credibly apply staffing, political, legal, or job-action pressure.",CLAIM-A,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
collective_bargaining,Collective Bargaining,reader_facing_mechanism,17,15,6,12,1,0,0,4,13,0.9231,0.0769,Negotiation between a public employer and represented employees over compensation.,It provides the formal channel through which wage schedules and non-base terms are negotiated.,CLAIM-A,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
salary_range_change,Salary Range Change,reader_facing_mechanism,12,12,5,2,0,0,1,9,2,1.0,0.0,"A change to the minimum, maximum, or span of a salary range.","It changes the floor, ceiling, or spread of possible pay rather than necessarily changing observed earnings immediately.",CLAIM-B,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
contract_ratification,Contract Ratification,reader_facing_mechanism,9,9,6,5,1,0,1,2,6,0.8333,0.1667,Formal approval of negotiated contract terms by the relevant parties.,It approves negotiated terms but remains distinct from their payroll-effective or paid stage.,CLAIM-A,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
vacancy_pressure,Vacancy Pressure,reader_facing_mechanism,8,8,4,2,2,1,1,2,4,0.5,0.5,Unfilled jobs or vacancy conditions cited in compensation or staffing decisions.,"It can motivate targeted raises, premiums, or retention measures when positions are hard to fill.",CLAIM-D,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
reimbursement,Reimbursement,reader_facing_mechanism,7,6,4,2,1,0,1,3,3,0.6667,0.3333,Repayment of eligible work-related expenses rather than ordinary wages.,It offsets work expenses but should not be treated as recurring wages.,CLAIM-C,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
comparability_parity,Comparability Parity,reader_facing_mechanism,6,6,5,4,0,0,1,1,4,1.0,0.0,"Compensation linked to comparison with another role, unit, or jurisdiction.","It can pull pay toward a reference job, bargaining unit, or neighboring jurisdiction.",CLAIM-A|CLAIM-D,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
classification_civil_service,Classification Civil Service,reader_facing_mechanism,4,4,2,2,0,0,0,2,2,1.0,0.0,Civil-service or classification rules that structure pay placement or progression.,It governs placement and progression in ways that can structure long-run pay paths.,CLAIM-F,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
interest_arbitration,Interest Arbitration,reader_facing_mechanism,1,1,1,1,0,0,0,0,1,1.0,0.0,A neutral decision process that resolves a bargaining impasse over contract terms.,It can impose compensation terms when ordinary bargaining reaches an impasse.,CLAIM-A,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
