aggressive_tier,caveat,claim_links,computed_percentage,corroboration_status,direction,directional_value_retained,formula,magnitude,mechanism,municipality,period,raw_values,relaxation_rule,reported_percentage,reproduced,result_id,semantic_outcome,side,source_basis,source_coordinates,source_count,source_ids,source_record_id,state,stored_percentage,strict_eligibility,unit_type
tier_1_strict_claim_safe,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment.,safety_wage_growth,18.730340291678594,corroborated,positive,,(later-prior)/prior*100,18.73034,base_wage_schedule_change,Monongahela,2022->2024,"[""$34.97"", ""$41.52"", """"]",GROWTH-1,,True,AGGRES-423cde695c0e479509257684,strict_baseline_preserved,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-695485abaccc3445b699aff9"", ""prior_span_id"": ""B4X2500SPAN-20260730-212abf255c49f2a4cd12dc07"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-5bc3802b77090db943c3,PA,18.73034,exact_position_schedule_match,growth
tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,4.823247453565007,corroborated,positive,4.823247,(later-prior)/prior*100,,base_wage_schedule_change,Monongahela,2022->2024,"[""$33.38"", ""$34.99"", """"]",GROWTH-3,,True,AGGRES-fe2c8b7dd38d811df5971e25,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-0de90496144d4728ce0e739e"", ""prior_span_id"": ""B4X2500SPAN-20260730-06f94071d33d7e2499d7cbc8"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-7d0654bfa25eaf4359c6,PA,4.823247,defensible_unit_level_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,1.8999612252811242,corroborated,positive,,(later-prior)/prior*100,1.899961,base_wage_schedule_change,Fletcher,2019->2020,"[""$25.79"", ""$26.28"", """"]",GROWTH-2,,True,AGGRES-96a455bfe26e6f98490383b9,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-012bf8cead7934237b78c3de"", ""prior_span_id"": ""B4X2500SPAN-20260730-a22ebf0850935e179f89db9b"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-7475c696dd64eb78b50d,VT,1.899961,strong_named_position_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,3.014818599897802,corroborated,positive,,(later-prior)/prior*100,3.014819,base_wage_schedule_change,Vershire,2021->2022,"[""$19.57"", ""$20.16"", """"]",GROWTH-2,,True,AGGRES-5191ec9e3f4606bff37caa91,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-ffea126559aa654be3497ee0"", ""prior_span_id"": ""B4X2500SPAN-20260730-fef1069420116d179f432121"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-1378bf1e9b1f59d540a9,VT,3.014819,strong_named_position_match,growth
tier_2_bounded_analytically_usable,"Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Named position matches, but full rank/step/grade schedule location is incomplete.",safety_wage_growth,3.0163934426229564,corroborated,positive,,(later-prior)/prior*100,3.016393,base_wage_schedule_change,Vershire,2021->2022,"[""$15.25"", ""$15.71"", """"]",GROWTH-2,,True,AGGRES-054fe2010a4621503ae885c0,uphold_tier_2_with_narrower_wording,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-22bc2673ca99923709eed3b8"", ""prior_span_id"": ""B4X2500SPAN-20260730-778ec813465a51a5738bf9d8"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-dc47b522c2b1bc492468,VT,3.016393,strong_named_position_match,growth
tier_3_directional_or_mechanism_supporting,Computed from preserved normalized wage levels; no inflation or cost-of-living adjustment. Unit-level comparison lacks a fully resolved named position or schedule location; excluded from dashboard default.,safety_wage_growth,1.4705882352941175,corroborated,positive,1.470588,(later-prior)/prior*100,,base_wage_schedule_change,Vershire,2021->2022,"[""$17.00"", ""$17.25"", """"]",GROWTH-3,,True,AGGRES-babdbda6a5c0c300d4951b36,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": ""B4X2500SPAN-20260730-802897e413238400a808d6e5"", ""prior_span_id"": ""B4X2500SPAN-20260730-e442afef6f540316341b0cf7"", ""span_id"": """"}",2,2,B4X2500GROWTHCONT-07e9c354dabfcfd51ab7,VT,1.470588,defensible_unit_level_match,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Ligonier,->,"["""", """", ""3.5%""]",GROWTH-3,3.5,True,AGGRES-489abf5e606286aa59b8c0f8,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-7b2e1a3d5508606e630636b4""}",1,,B4X2500GROWTHSRC-742d1a8b4b670fb85764,IN,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,1.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Ligonier,->,"["""", """", ""1.5%""]",GROWTH-3,1.5,True,AGGRES-8c68346ed23e5753c96b2f67,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-8c9b0e907e1911adb8bb1223""}",1,,B4X2500GROWTHSRC-dc70d9887bb14fb2858c,IN,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,step_schedule_progression,Gibson City,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-35a668dc98a9727a9172202d,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-bb9be34ff67ec3705f917d1b""}",1,,B4X2500GROWTHSRC-bb931c14114a8bcb9943,IL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,39.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Augusta charter,->,"["""", """", ""39%""]",GROWTH-3,39.0,True,AGGRES-2c1c2d0a38930238a08e5375,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e871a58ce0b2c17bcfba54f0""}",1,,B4X2500GROWTHSRC-25bb6582bf0f0061e0dc,MI,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,23.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Augusta charter,->,"["""", """", ""23%""]",GROWTH-3,23.0,True,AGGRES-52dfdaf8e5dd6f346bb76e01,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-3014d7c4d244b9fac7a5e0d0""}",1,,B4X2500GROWTHSRC-35244792353c5005224b,MI,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,17.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Augusta charter,->,"["""", """", ""17%""]",GROWTH-3,17.0,True,AGGRES-f5472649019ef1754bd617ac,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-2f1cc66679ff0a2017511e6e""}",1,,B4X2500GROWTHSRC-6dc7105dc69a4d673321,MI,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,source_reported_direction_or_percentage,,COLA_CPI,Augusta charter,->,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-3edb7a80fd92fa8fef0eae65,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e577314bfc1ea62ee78e92bd""}",1,,B4X2500GROWTHSRC-9e591bf8cf638fff0a6e,MI,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,5.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Union charter,->,"["""", """", ""5.5%""]",GROWTH-3,5.5,True,AGGRES-a907293e46f43d49fa1d4cfa,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-b90d2f614a4fd6f81ed4d334""}",1,,B4X2500GROWTHSRC-90a38e78155abf6685ae,MI,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wellsville,->,"["""", """", ""2%; 2%; 2%""]",GROWTH-3,2.0,True,AGGRES-75c891732e775bb173ab608b,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-249f37f3084d6f5163a8b5f7""}",1,,B4X2500GROWTHSRC-bc2f7635da38a63f23a6,NY,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wellsville,->,"["""", """", ""2%; 2%""]",GROWTH-3,2.0,True,AGGRES-202df50279385265c5e39481,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-835abb695d4d6d438c820909""}",1,,B4X2500GROWTHSRC-f0a2b490cb508e8bc650,NY,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,15.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Madison,->,"["""", """", ""15%""]",GROWTH-3,15.0,True,AGGRES-974754fca0f86d21e7c5eee2,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-ee44a8f3910295c2330f5ada""}",1,,B4X2500GROWTHSRC-2d92605fecc00b9379a6,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,COLA_CPI,Condon,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-aa322bd24e1e03b18bd022e6,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-d079c0043a4800b97456fc89""}",1,,B4X2500GROWTHSRC-d2c74533e127d8577357,OR,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,6.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Mountain Village,->,"["""", """", ""19%; 6%""]",GROWTH-3,6.0,True,AGGRES-b47c862119ddea62a5175ae1,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-596d95de81ba0f5895077016""}",1,,B4X2500GROWTHSRC-28189182dc61bb11fcbe,CO,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,6.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Mountain Village,->,"["""", """", ""19%; 6%""]",GROWTH-3,6.0,True,AGGRES-4d4b36bff5f28ef45e9c6c18,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e3d7398ebcd20f62c5b1fd95""}",1,,B4X2500GROWTHSRC-566f8933c8633c86a533,CO,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,4.5,source_reported_direction_or_percentage,,COLA_CPI,Mountain Village,->,"["""", """", ""4.5%""]",GROWTH-3,4.5,True,AGGRES-3e1759b46929d8d1debe3087,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-960ec306cad1d7a998541dc8""}",1,,B4X2500GROWTHSRC-a79efc2fe2e552ec0beb,CO,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Boiling Springs,->,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-7dd5fc9120e89d9abe90df0c,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-807057da78df8b4c84279905""}",1,,B4X2500GROWTHSRC-acdee73cb77be31b3cab,NC,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Nimishillen,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-22014bc76c97bfb77722e375,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-f1d0c6cf36249e0ec6db66be""}",1,,B4X2500GROWTHSRC-a6d0bf13cc12879c12b6,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Olmsted,->,"["""", """", ""3%; 3%; 2%""]",GROWTH-3,3.0,True,AGGRES-8c01a4e337bf23426cf65a04,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-bb397e7ccb0b2a4b38ecbc72""}",1,,B4X2500GROWTHSRC-3757bd753c974750d344,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Olmsted,->,"["""", """", ""3%; 3%""]",GROWTH-3,3.0,True,AGGRES-c47185ebda56763f3afc3e48,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-0ceb12648676bcb28860212a""}",1,,B4X2500GROWTHSRC-ce43e04ef804ac1ab563,OH,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,East Dundee,->,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-6d605a5d38451f4f3a3178f6,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e66ac2fc47b9e57d0cf1eb11""}",1,,B4X2500GROWTHSRC-7a8b09644291879d2dfb,IL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.25,source_reported_direction_or_percentage,,across_the_board_percentage_raise,East Dundee,->,"["""", """", ""2.25%""]",GROWTH-3,2.25,True,AGGRES-649998d84ca9af359d30f628,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-05b5a96d05d7af6f34429230""}",1,,B4X2500GROWTHSRC-c528637567a3c5e18877,IL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,source_reported_direction_or_percentage,,across_the_board_percentage_raise,East Dundee,->,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-be5637fb656776c491b7fe53,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-af9ecf505e5e3f5f306bed16""}",1,,B4X2500GROWTHSRC-da27430bf1b72ccff0f2,IL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,5.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Tolono,->,"["""", """", ""5%""]",GROWTH-3,5.0,True,AGGRES-7cf138256725c43fb3b4844f,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-b8fa3ab66c08013412ee130e""}",1,,B4X2500GROWTHSRC-ea408fdf5d43fc13e191,IL,,source_reported_growth_rate,growth
tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Cassopolis,->,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-92d9b8d01895c1563821c048,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-1324d6a345b246084af6918b""}",1,,B4X2500GROWTHSRC-0f4c71d7fba5f16c2973,MI,,source_reported_growth_rate,growth
