document_identity_id,candidate_queue_row_id,source_review_id,verification_id,retrieval_date,retrieval_method,source_type,source_corpus,source_cite,artifact_pointer,retrieval_bridge_status,retrieval_support_fields,source_corpus_bridge_status
doc_01b2528720ce9606b96bb571,NSCQ-CA-20260720-0309,sr_0f253031a3e1d599c51c1b5a,VER-9e4d93924efbd0e11996,2026-07-24,public_download,cba,causal,https://cms3.revize.com/revize/yubacity/Document%20Center/Departments/Human%20Resources/Bargaining%20Unit%20Agreements/MM%20MOU%20FINAL%2011.7.23.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0200_sr_0f253031a3e1d599c51c1b5a.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_01c1ce0d9bc4370e282e7277,NSCQ-MI-20260720-0080,sr_4f9146fdff4cb0c2603278c1,VER-54eb3c684b01407eede7,2026-07-24,public_download,cba,causal,https://www.cityofjackson.org/DocumentCenter/View/13801/MAPE-CBA-2025-2029-Approved,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0405_sr_4f9146fdff4cb0c2603278c1.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_01f15067dc9af7378e09749b,NSCQ-OH-20260720-0467,sr_4fe1dcaf7cc9c89e43390190,VER-8b782b96549379853b3a,2026-07-24,public_download,cba,causal,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1417.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0314_sr_4fe1dcaf7cc9c89e43390190.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_0204ad65859ef7655f0afd53,NSCQ-AK-20260720-0017,sr_e4e8dd7813d98c4a8a3b835e,VER-7700f23870a792003af3,2026-07-24,public_download,cba,causal,https://www.ketchikan.gov/media/HR%20Documents/IAFF%202025-2027%20CBA.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0382_sr_e4e8dd7813d98c4a8a3b835e.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_021eacc134544dddd03eb53c,NSCQ-OH-20260720-0132,sr_bc28309e4084fc08f7a79adc,VER-1914da4b7219b7343435,2026-07-24,public_download,cba,causal,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-08-0777.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0134_sr_bc28309e4084fc08f7a79adc.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_022928c6f0d8277e9cbe0e3e,NSCQ-CA-20260720-0267,sr_c3f1d6b47534ba7781a13e4d,VER-466c77a5cd6aa6dc5217,2026-07-24,public_download,cba,causal,https://tustin.granicus.com/MetaViewer.php?clip_id=2021&meta_id=128489&view_id=5,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0022_sr_c3f1d6b47534ba7781a13e4d.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_0244767252df4273d6a4366b,NSCQ-OH-20260720-0240,sr_64e0de48dab6603c920fe583,VER-d1ddeaee96ee46da800f,2026-07-24,public_download,cba,causal,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-12-1419.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0277_sr_64e0de48dab6603c920fe583.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_0264a120be1bb93d010753a7,NSCQ-CA-20260720-0042,sr_0f62a79d5fc397e785fb8026,VER-dec14bcdc395aa1d13a8,2026-07-24,public_download,cba,causal,https://www.srcity.org/DocumentCenter/View/35091/Unit-2-Memorandum-of-Understanding-2021-2024-Searchable-PDF,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0111_sr_0f62a79d5fc397e785fb8026.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_026927b3d41346fa915e3ba4,NSCQ-IL-20260720-0219,sr_77d74e69b23f0683d6e3d27b,VER-7e33cebf219c3c1b469c,2026-07-24,public_download,arbitration_award,causal,https://ilrb.illinois.gov/content/dam/soi/en/web/ilrb/arbitration/documents/S-MA-21-145_arb_award.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0463_sr_77d74e69b23f0683d6e3d27b.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_02a95f05841194513f8d7a7c,NSCQ-CA-20260720-0429,sr_f8aa3f99435a5de2de09b8af,VER-2eff963b368edd765661,2026-07-24,public_download,cba,causal,https://www.cityofglendora.gov/files/assets/city/v/2/administrative-services/human-resources/documents/employee-mou/afscme-mou-resolution-cc-2025-36-signed.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0160_sr_f8aa3f99435a5de2de09b8af.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_02b2fa3c25b8c8961594b650,NSCQ-MT-20260720-0025,sr_cb1f7d077c71c782a0121ef0,VER-758df77a921ec27bdbd3,2026-07-24,public_download,cba,causal,https://www.belgrademt.gov/DocumentCenter/View/2807/BPOA-Collective-Bargaining-Agreement-FY26-FY28?bidId=,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0372_sr_cb1f7d077c71c782a0121ef0.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_02c0c9cf75873b9720b83cb8,NSCQ-MA-20260720-0158,sr_263db17be4557b353a1af125,VER-a64ae2d2de878cfd7087,2026-07-24,public_download,cba,causal,https://winthropma.gov/DocumentCenter/View/234/Library-Union-PDF,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0425_sr_263db17be4557b353a1af125.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_02cec9f0111f5a978cc48ab1,NSCQ-PA-20260720-0009,sr_e6351d9a7848419225432909,VER-f81af79d1ea61414cd46,2026-07-24,public_download,cba,causal,https://allentownpa.legistar.com/View.ashx?GUID=94BCB643-554B-4F45-A24B-15382AB4A873&ID=12153833&M=F,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0151_sr_e6351d9a7848419225432909.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_02e040ab70a9eab9ecea108c,NSCQ-IL-20260720-0012,sr_3b405a4c42f45ccb2bcb3bd4,VER-ac9a0d01e88edec766da,2026-07-24,public_download,cba,causal,https://www.springfield.il.us/Departments/HumanResources/Documents/CollectiveBargainingAgreements/IUOECWLP965CBA20202025.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0214_sr_3b405a4c42f45ccb2bcb3bd4.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_02ee034e039b6a8cee52c08b,NSCQ-OH-20260720-0348,sr_df542961e17320c80649f361,VER-6840306d60306caaeaf9,2026-07-24,public_download,cba,causal,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1370.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0179_sr_df542961e17320c80649f361.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_0325899cb21bd9f00b728eb8,NSCQ-NH-20260720-0019,sr_5e79d0a78c7dc124f2fa368b,VER-78f3d8eb608cd9c4e78f,2026-07-24,public_download,cba,causal,https://www.dover.nh.gov/Assets/government/city-operations/2document/executive/human-resources/union-information/AFSCME-CBA-2021.07.01-2024.06.30-as-of-1.2024.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0009_sr_5e79d0a78c7dc124f2fa368b.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_032ab3eb92cd7ac1814f13a9,NSCQ-WI-20260720-0041,sr_e411ecfbef2a2c5990fad942,VER-f8b600a49fe924ec094a,2026-07-24,public_download,cba,causal,https://www.fdl.wi.gov/hr/wp-content/uploads/sites/12/2022/11/2022-2025-FireLocalAgreement-final.7.20-1.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0114_sr_e411ecfbef2a2c5990fad942.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_032ec138ab96d8e495bb72c3,NSCQ-AK-20260720-0012,sr_2b64a90c6f6403d9713a2c99,VER-04839d30e08df16aeeeb,2026-07-24,public_download,cba,causal,https://www.cityofwasilla.gov/DocumentCenter/View/5155/14-23-PDF,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_03b6f85240ee47948d6d4343,NSCQ-OH-20260720-0130,sr_a0d250979f8615dfb368c9eb,VER-b63e54daaccb2df70d2a,2026-07-24,public_download,cba,causal,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-11-1511.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0276_sr_a0d250979f8615dfb368c9eb.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_03d9f6bf16f23edc6190919c,NSCQ-WA-20260720-0151,sr_e6845e2324cccd5f4349b2d3,VER-21f00daf2be08757617c,2026-07-24,public_download,cba,causal,https://www.anacorteswa.gov/DocumentCenter/View/21866/2022---2025-IAFF-CBA,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0222_sr_e6845e2324cccd5f4349b2d3.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_0465abc1d0ebb6a5902f5b36,NSCQ-IL-20260720-0125,sr_533041479c3d734ad971cc4e,VER-d6ae815c1f11fe5ce070,2026-07-24,public_download,cba,causal,https://www.cville.org/Archive/ViewFile/Item/487,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0128_sr_533041479c3d734ad971cc4e.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_046f3891685a7013d3f9837d,NSCQ-OH-20260720-0755,sr_961b10dd386dd33c9c08e650,VER-8542c136fb8c4278e50d,2026-07-24,public_download,cba,causal,https://www.moraine.oh.us/pdf/Guides/CBA%20-%20Patrol%20-%202018-2021.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0323_sr_961b10dd386dd33c9c08e650.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_0489000e761db9eca0aeb2da,NSCQ-OH-20260720-0252,sr_47a672fe23527bcf4357ef92,VER-abee2f7af59a1e959a20,2026-07-24,public_download,cba,causal,https://www.painesville.com/vertical/sites/%7B66FDE066-2B9A-43E2-8DFC-2129003D50A7%7D/uploads/%7B28F424AE-A722-4FAB-B73F-747CAD1FC644%7D.PDF,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0423_sr_47a672fe23527bcf4357ef92.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_04a3577a67910e7b33c250d4,NSCQ-OK-20260720-0009,sr_81abc2adbe409911ae27758a,VER-4b2995f3d38be2337986,2026-07-24,public_download,cba,causal,https://www.normanok.gov/sites/default/files/documents/2024-02/FOP%20FY24-25%20Contract.pdf,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0024_sr_81abc2adbe409911ae27758a.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_04ad2b80d7b2698b1274d178,NSCQ-CO-20260720-0021,sr_95d5f5cc16e8e5f218da0e09,VER-e64778d47c1751b4ae81,2026-07-24,public_download,ordinance_or_policy,causal,https://brightonco.legistar.com/View.ashx?M=F&ID=13334797&GUID=118442D5-3156-4D42-8C63-A45A884F0350,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0486_sr_95d5f5cc16e8e5f218da0e09.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_04bb5286fdf302366c2b1f83,NSCQ-IL-20260720-0253,sr_776fc0f7c32652337425eb8b,VER-5298e43b4e7164d7d809,2026-07-24,public_download,cba,causal,https://ecode360.com/HO3123/laws/LF2236404.pdf,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0452_sr_776fc0f7c32652337425eb8b.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_04f12d902d6e4e983844ae8b,NSCQ-MN-20260720-0014,sr_8597d3a12fde454e0d499f62,VER-90dc2eaa7a91885db688,2026-07-24,public_download,cba,causal,https://duluthmn.gov/media/8546/2019-2020-afscme-fully-executed.pdf,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0016_sr_8597d3a12fde454e0d499f62.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
doc_052cd5da69634b43c60b89c5,NSCQ-TX-20260720-0079,sr_511114747f83b44ebfa8b081,VER-027a61adaeec6000b7ed,2026-07-24,public_download,cba,causal,https://cityofbryantx.granicus.com/MetaViewer.php?meta_id=48177,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0025_sr_511114747f83b44ebfa8b081.pdf,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,established_from_document_source_family_contract
