municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
Algoma,2,"{""weak"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Algona,4,"{""weak"": 4}","{""context_only"": 3, ""quantitative_compensation_claim"": 1}"
Alice,7,"{""moderate"": 1, ""not_supported"": 3, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 1}"
Allegan,6,"{""moderate"": 2, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Allendale,10,"{""moderate"": 2, ""not_supported"": 4, ""strong"": 3, ""weak"": 1}","{""context_only"": 4, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Allendale charter,3,"{""strong"": 3}","{""direct_text_claim"": 2, ""quantitative_compensation_claim"": 1}"
Allenstown,8,"{""strong"": 3, ""weak"": 5}","{""context_only"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Alma,10,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 1, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Alpena,12,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 5, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Alpine,1,"{""not_supported"": 1}","{""context_only"": 1}"
Alsip,12,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 4, ""weak"": 5}","{""context_only"": 8, ""quantitative_compensation_claim"": 4}"
Altavista,3,"{""moderate"": 1, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1}"
Alton,24,"{""moderate"": 3, ""not_supported"": 7, ""strong"": 4, ""weak"": 10}","{""context_only"": 13, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Alva,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
Alvin,42,"{""moderate"": 5, ""not_supported"": 9, ""strong"": 12, ""weak"": 16}","{""context_only"": 17, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 9}"
Ambler,2,"{""strong"": 1, ""weak"": 1}","{""quantitative_compensation_claim"": 2}"
American,12,"{""moderate"": 1, ""strong"": 6, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 4}"
Americus,11,"{""not_supported"": 3, ""strong"": 1, ""weak"": 7}","{""context_only"": 9, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Amery,9,"{""moderate"": 1, ""strong"": 3, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Amherst,77,"{""moderate"": 16, ""not_supported"": 12, ""strong"": 26, ""weak"": 23}","{""context_only"": 20, ""direct_text_claim"": 11, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 8, ""quantitative_compensation_claim"": 36}"
Amity,3,"{""not_supported"": 1, ""strong"": 2}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Amityville,10,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 4, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Anaktuvuk Pass,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Anamosa,7,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Andalusia,8,"{""moderate"": 3, ""strong"": 3, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Anderson,68,"{""moderate"": 17, ""not_supported"": 6, ""strong"": 19, ""weak"": 26}","{""context_only"": 27, ""direct_text_claim"": 16, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 22}"
Andover,2,"{""moderate"": 1, ""not_supported"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
Andrews,11,"{""moderate"": 1, ""not_supported"": 4, ""strong"": 4, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Angel Fire,14,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 5, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Angleton,8,"{""not_supported"": 2, ""strong"": 2, ""weak"": 4}","{""context_only"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4}"
Angola,6,"{""moderate"": 4, ""strong"": 2}","{""direct_text_claim"": 6}"
Angoon,2,"{""moderate"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Anniston,6,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 3}","{""context_only"": 4, ""quantitative_compensation_claim"": 2}"
Ansted,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Anthony,2,"{""weak"": 2}","{""context_only"": 2}"
Apache Junction,1,"{""not_supported"": 1}","{""context_only"": 1}"
Appomattox,1,"{""weak"": 1}","{""context_only"": 1}"
Arcadia,30,"{""moderate"": 6, ""not_supported"": 4, ""strong"": 6, ""weak"": 14}","{""context_only"": 13, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 10}"
Arcanum,3,"{""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Arkansas City,1,"{""weak"": 1}","{""documentary_mechanism_claim"": 1}"
Arlington,11,"{""moderate"": 1, ""strong"": 4, ""weak"": 6}","{""context_only"": 4, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Artesia,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
Asheboro,13,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 5, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 6}"
Ashland,10,"{""moderate"": 1, ""strong"": 5, ""weak"": 4}","{""context_only"": 1, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 6}"
Ashland City,12,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 3, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 4, ""quantitative_compensation_claim"": 4}"
Asotin,1,"{""not_supported"": 1}","{""context_only"": 1}"
Athens,29,"{""moderate"": 3, ""not_supported"": 9, ""weak"": 17}","{""context_only"": 20, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Atkinson,3,"{""not_supported"": 1, ""strong"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Atlantic Beach,23,"{""moderate"": 5, ""not_supported"": 3, ""strong"": 7, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 8, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 7}"
Atqasuk,9,"{""strong"": 3, ""weak"": 6}","{""context_only"": 3, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Attalla,2,"{""moderate"": 1, ""weak"": 1}","{""context_only"": 2}"
Audubon,12,"{""moderate"": 2, ""strong"": 4, ""weak"": 6}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Augusta,19,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 4, ""weak"": 10}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 4}"
Aumsville,1,"{""weak"": 1}","{""not_claim_ready"": 1}"
Austell,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Austintown,54,"{""moderate"": 6, ""not_supported"": 8, ""strong"": 14, ""weak"": 26}","{""context_only"": 18, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 6, ""quantitative_compensation_claim"": 18, ""source_navigation_claim"": 1}"
Avenal,5,"{""strong"": 4, ""weak"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 4}"
Avon,15,"{""moderate"": 7, ""not_supported"": 2, ""strong"": 4, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4}"
Azle,36,"{""moderate"": 5, ""not_supported"": 8, ""strong"": 7, ""weak"": 16}","{""context_only"": 13, ""direct_text_claim"": 4, ""not_claim_ready"": 8, ""quantitative_compensation_claim"": 11}"
Aztec,13,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 2, ""weak"": 8}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4}"
Babylon,11,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 6}","{""context_only"": 2, ""direct_text_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Baltimore,3,"{""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 2, ""quantitative_compensation_claim"": 1}"
Banks,7,"{""moderate"": 3, ""weak"": 4}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Bar Harbor,9,"{""moderate"": 1, ""strong"": 3, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
Bar Nunn,4,"{""moderate"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Bardstown,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 2, ""weak"": 5}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Barrington,50,"{""moderate"": 10, ""not_supported"": 3, ""strong"": 20, ""weak"": 17}","{""context_only"": 14, ""direct_text_claim"": 8, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 21, ""source_navigation_claim"": 1}"
Barton,3,"{""not_supported"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 1}"
Basehor,5,"{""moderate"": 2, ""weak"": 3}","{""context_only"": 2, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 2}"
Bastrop,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
Batavia,23,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 12, ""weak"": 7}","{""context_only"": 5, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 8}"
Batesville,10,"{""moderate"": 3, ""strong"": 6, ""weak"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 9}"
Bath,56,"{""moderate"": 5, ""not_supported"": 6, ""strong"": 17, ""weak"": 28}","{""context_only"": 24, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 8, ""not_claim_ready"": 6, ""quantitative_compensation_claim"": 11}"
Bay Harbor Islands,1,"{""weak"": 1}","{""context_only"": 1}"
Bayard,6,"{""weak"": 6}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Bayside,12,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 3, ""weak"": 6}","{""context_only"": 6, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Beach Park,6,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 2, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Beaufort,16,"{""moderate"": 4, ""strong"": 3, ""weak"": 9}","{""context_only"": 5, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 5}"
Beaumont,10,"{""strong"": 5, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Beavercreek,13,"{""not_supported"": 2, ""strong"": 2, ""weak"": 9}","{""context_only"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 6}"
Beaverton,2,"{""not_supported"": 1, ""strong"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Becker,25,"{""moderate"": 6, ""not_supported"": 3, ""strong"": 8, ""weak"": 8}","{""context_only"": 8, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Bedford,10,"{""not_supported"": 4, ""strong"": 3, ""weak"": 3}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Beech Grove,18,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 4, ""weak"": 7}","{""context_only"": 4, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4}"
Beekman,5,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Beeville,17,"{""moderate"": 5, ""strong"": 2, ""weak"": 10}","{""context_only"": 5, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3, ""source_navigation_claim"": 2}"
Bel Aire,5,"{""moderate"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 3}"
Belding,24,"{""moderate"": 7, ""not_supported"": 3, ""strong"": 8, ""weak"": 6}","{""context_only"": 7, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 8}"
Belgrade,6,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3}","{""direct_text_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Belle,9,"{""moderate"": 3, ""not_supported"": 1, ""weak"": 5}","{""context_only"": 7, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Belle Isle,20,"{""moderate"": 7, ""strong"": 6, ""weak"": 7}","{""context_only"": 4, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 8}"
Bellefonte,20,"{""moderate"": 2, ""not_supported"": 9, ""weak"": 9}","{""context_only"": 14, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 2}"
Belleview,3,"{""weak"": 3}","{""context_only"": 2, ""documentary_mechanism_claim"": 1}"
Belleville,18,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 5, ""weak"": 9}","{""context_only"": 6, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 5, ""source_navigation_claim"": 1}"
Bellevue,6,"{""strong"": 3, ""weak"": 3}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Bellwood,15,"{""moderate"": 2, ""not_supported"": 4, ""strong"": 1, ""weak"": 8}","{""context_only"": 8, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Belmont,18,"{""moderate"": 5, ""not_supported"": 3, ""strong"": 2, ""weak"": 8}","{""context_only"": 10, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 5}"
Belton,25,"{""moderate"": 1, ""not_supported"": 8, ""strong"": 3, ""weak"": 13}","{""context_only"": 17, ""direct_text_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Benbrook,10,"{""not_supported"": 6, ""strong"": 1, ""weak"": 3}","{""context_only"": 9, ""direct_text_claim"": 1}"
Bennettsville,3,"{""moderate"": 1, ""strong"": 2}","{""quantitative_compensation_claim"": 3}"
Bennington,19,"{""moderate"": 2, ""not_supported"": 6, ""strong"": 2, ""weak"": 9}","{""context_only"": 14, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Benton charter,25,"{""moderate"": 4, ""not_supported"": 4, ""strong"": 9, ""weak"": 8}","{""context_only"": 7, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 11}"
Benwood,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Beresford,3,"{""moderate"": 1, ""strong"": 2}","{""quantitative_compensation_claim"": 3}"
Berkeley,14,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 2, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Berlin,43,"{""moderate"": 11, ""not_supported"": 2, ""strong"": 11, ""weak"": 19}","{""context_only"": 13, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 12, ""source_navigation_claim"": 2}"
Bethel,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Beverly Hills,17,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 8, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 8}"
Big Rapids,7,"{""not_supported"": 2, ""weak"": 5}","{""context_only"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Big Spring,5,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 3}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Blades,1,"{""weak"": 1}","{""context_only"": 1}"
Blanchard,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Bloom,10,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 3, ""weak"": 3}","{""context_only"": 5, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 4}"
Bloomer,7,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 1, ""weak"": 3}","{""context_only"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Bloomington,16,"{""moderate"": 4, ""strong"": 1, ""weak"": 11}","{""context_only"": 10, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2, ""source_navigation_claim"": 1}"
Bloomington City,3,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 1}","{""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1}"
Blue Ash,18,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 9, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 9}"
Blythe,5,"{""moderate"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 3}"
Boardman,47,"{""moderate"": 16, ""not_supported"": 6, ""strong"": 8, ""weak"": 17}","{""context_only"": 18, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 7, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 13, ""source_navigation_claim"": 1}"
Boerne,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Bogota,13,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 7, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 9, ""source_navigation_claim"": 1}"
Bolivar,6,"{""not_supported"": 2, ""weak"": 4}","{""context_only"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 2}"
Boone,9,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 3, ""weak"": 3}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Boonsboro,15,"{""moderate"": 2, ""strong"": 11, ""weak"": 2}","{""context_only"": 3, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 8}"
Boothbay,1,"{""weak"": 1}","{""context_only"": 1}"
Boscawen,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 6}","{""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Boscobel,5,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Boulder,1,"{""strong"": 1}","{""direct_text_claim"": 1}"
Bourbonnais,2,"{""weak"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Bourne,2,"{""not_supported"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Bradford,7,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 6}"
Bradley,25,"{""moderate"": 8, ""not_supported"": 3, ""strong"": 2, ""weak"": 12}","{""context_only"": 11, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 5}"
Brandenburg,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Brattleboro,7,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Brazil,2,"{""moderate"": 1, ""weak"": 1}","{""quantitative_compensation_claim"": 2}"
Brenham,27,"{""moderate"": 6, ""not_supported"": 8, ""strong"": 6, ""weak"": 7}","{""context_only"": 9, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 8}"
Brentwood,16,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 13}","{""context_only"": 9, ""quantitative_compensation_claim"": 5, ""source_navigation_claim"": 2}"
Briarcliff Manor,4,"{""not_supported"": 4}","{""context_only"": 3, ""not_claim_ready"": 1}"
Bridgeport,13,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 1, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Bridger,5,"{""moderate"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Bridgeview,15,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 2, ""weak"": 10}","{""context_only"": 11, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Bridgeville,4,"{""strong"": 1, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1}"
Bridgton,13,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 4, ""weak"": 4}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Brier,10,"{""moderate"": 5, ""strong"": 1, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Brighton,32,"{""moderate"": 6, ""not_supported"": 9, ""strong"": 1, ""weak"": 16}","{""context_only"": 20, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 6}"
Bristol,14,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 3, ""weak"": 9}","{""context_only"": 7, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 2, ""source_navigation_claim"": 2}"
Bristow,5,"{""not_supported"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 1}"
Britton,7,"{""strong"": 6, ""weak"": 1}","{""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Broadus,1,"{""weak"": 1}","{""not_claim_ready"": 1}"
Brockport,19,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 7, ""weak"": 7}","{""context_only"": 7, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
