document_identity_id,candidate_queue_row_id,unit_type,controlled_occupation_class,occupation_class_bridge_status,occupation_support_fields,residual_occupation_bridge_status,residual_occupation_support_fields,residual_occupation_evidence_token,residual_occupation_evidence_sha256
doc_02e040ab70a9eab9ecea108c,NSCQ-IL-20260720-0012,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_02ee034e039b6a8cee52c08b,NSCQ-OH-20260720-0348,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0325899cb21bd9f00b728eb8,NSCQ-NH-20260720-0019,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.union_name,Municipal Employees,8a8c714fe54240acfc86979df4d087df82a8c7f8ddfa1e07e596139d19e84fe6
doc_032ab3eb92cd7ac1814f13a9,NSCQ-WI-20260720-0041,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_032ec138ab96d8e495bb72c3,NSCQ-AK-20260720-0012,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_03b6f85240ee47948d6d4343,NSCQ-OH-20260720-0130,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.union_name,Municipal Employees,8a8c714fe54240acfc86979df4d087df82a8c7f8ddfa1e07e596139d19e84fe6
doc_03d9f6bf16f23edc6190919c,NSCQ-WA-20260720-0151,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0465abc1d0ebb6a5902f5b36,NSCQ-IL-20260720-0125,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_046f3891685a7013d3f9837d,NSCQ-OH-20260720-0755,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0489000e761db9eca0aeb2da,NSCQ-OH-20260720-0252,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_04a3577a67910e7b33c250d4,NSCQ-OK-20260720-0009,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_04ad2b80d7b2698b1274d178,NSCQ-CO-20260720-0021,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.document_title,City Employees,f28800c01d06e66cadd25f1712497e07575e00961252cfead91157dde609a3b3
doc_04bb5286fdf302366c2b1f83,NSCQ-IL-20260720-0253,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_04f12d902d6e4e983844ae8b,NSCQ-MN-20260720-0014,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_052cd5da69634b43c60b89c5,NSCQ-TX-20260720-0079,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_052d35483c771b0535ac993f,NSCQ-MA-20260720-0110,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_054a6af95f12a12431368490,NSCQ-NY-20260720-0089,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.union_name,Municipal Employees,8a8c714fe54240acfc86979df4d087df82a8c7f8ddfa1e07e596139d19e84fe6
doc_0552704caf68568641fa7f14,NSCQ-MI-20260720-0026,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.document_title|candidate_queue.union_name,Supervisory Employees,269477317c0f993472207e0476322dce3aae132301d2b557d79b6e59eca96959
doc_05846987cebc241be3b400d0,NSCQ-OR-20260720-0111,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_05a50ba88af6a8e7ef44ab85,NSCQ-MS-20260720-0007,non_safety,public_works,established_single_explicit_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,preserved_prior_controlled_class,,,
doc_05a7886aee9b42297167c5cd,NSCQ-MN-20260720-0060,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_05ae94499158f877b817c17f,NSCQ-MN-20260720-0012,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_05bb560aa9034e679cd20109,NSCQ-OH-20260720-0696,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_05c62080ba0f61fd87437d0d,NSCQ-CA-20260720-0394,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_060db59a973dc63a06125293,NSCQ-CA-20260720-0085,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.document_title|candidate_queue.union_name,County Employee,46b670b00c2499732d5ed1189e35f2792e6c1652001697fd7f3f35ab3bf143a7
doc_0612737cb3a4077bdea38639,NSCQ-OH-20260720-0123,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_065a39ebc7e0b8d966482356,NSCQ-MA-20260720-0100,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_06603920ebc913f3f6afe1c8,NSCQ-MI-20260720-0107,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_06732dab57ddb71b8c3640c6,NSCQ-CA-20260720-0039,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0678588a7325ca6be975d921,NSCQ-WA-20260720-0173,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_06b718cb90e09c0cdcd92864,NSCQ-IL-20260720-0077,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_06d3efc56d5928f6f34191cd,NSCQ-MN-20260720-0117,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_06f128c85be3e2229ac6dc86,NSCQ-OH-20260720-0677,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0708e524fbdbc4c8d01999a0,NSCQ-OH-20260720-0187,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_075dd1368b9c28b420176b7a,NSCQ-OH-20260720-0255,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_07a25ff891920b4d732a180c,NSCQ-CO-20260720-0012,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_07c571f514fbd5c8dcddfce1,NSCQ-MT-20260720-0042,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_07dae4b5dd69bd179a27c43b,NSCQ-OH-20260720-0072,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_081030ab42a8023c034d183a,NSCQ-OH-20260720-0720,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_085e552af3785ac59004ef05,NSCQ-CA-20260720-0230,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_089f5024f853c8d25f683744,NSCQ-CT-20260720-0061,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_08b5ba425cdc6e33796d5932,NSCQ-NE-20260720-0025,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_08e9104b0d41f69d83a7d185,NSCQ-WA-20260720-0138,non_safety,public_works,established_single_explicit_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,preserved_prior_controlled_class,,,
doc_09260a1e0b22fb78f68d3e3e,NSCQ-CA-20260720-0707,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0932091ec94a1c91ee17a3b4,NSCQ-CA-20260720-0534,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_09b792627b1f25132c9cb97e,NSCQ-IL-20260720-0212,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_09e3cf5ed1675de64e8afde0,NSCQ-IL-20260720-0167,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_09e4d1f0cbc1382f285f2024,NSCQ-MI-20260720-0076,non_safety,clerical_admin,established_single_explicit_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,preserved_prior_controlled_class,,,
doc_09ef1e68809ea9bd80179226,NSCQ-IL-20260720-0066,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0a0bba73c7f900b4c602fbb6,NSCQ-OH-20260720-0607,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0a0e4519bfa0f6b5779ba39d,NSCQ-OR-20260720-0062,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.union_name,Municipal Employees,8a8c714fe54240acfc86979df4d087df82a8c7f8ddfa1e07e596139d19e84fe6
doc_0a112444fd54ad64d263bb15,NSCQ-FL-20260720-0081,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0a296cfbdc9b589463cc9c6f,NSCQ-MA-20260720-0023,non_safety,library,established_single_explicit_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,preserved_prior_controlled_class,,,
doc_0a3a497e310c64dda69af9c5,NSCQ-FL-20260720-0039,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0a86415b33350afd0dae7e2c,NSCQ-OH-20260720-0318,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0a98aac0d2c5cd146a99cfad,NSCQ-KY-20260720-0004,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0a9c045822d0ada469977476,NSCQ-OH-20260720-0367,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.union_name,Municipal Employees,8a8c714fe54240acfc86979df4d087df82a8c7f8ddfa1e07e596139d19e84fe6
doc_0abcb44dbe9fdc41eae58257,NSCQ-TX-20260720-0013,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0b1777c959421103fea248d0,NSCQ-CA-20260720-0106,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0b7b3444e23c9366c0396158,NSCQ-MI-20260720-0155,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0b89201fdbe84f8748f0adae,NSCQ-NY-20260720-0030,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0b9118ba955d9f17e14295a1,NSCQ-PA-20260720-0082,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0bb8b633dd5c0ec0aaf0b60c,NSCQ-CA-20260720-0544,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0bc0421fcd3acbc3fdb208d4,NSCQ-IL-20260720-0005,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0bc3a0e8fbf998599f364bb3,NSCQ-CT-20260720-0045,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0bc561c06597e4d059a475ae,NSCQ-WI-20260720-0023,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0bc98fe334ee5dd02aad2314,NSCQ-TX-20260720-0040,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0bdd6f682c0d15fc5522915b,NSCQ-OH-20260720-0294,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0be453f413c5db26a27f11bc,NSCQ-CA-20260720-0678,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0bf71de5a7b8c012570209b4,NSCQ-OH-20260720-0539,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0c07b19fac8f8cfaf3e692d9,NSCQ-CT-20260720-0039,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0c5885338388db1623f0fb9b,NSCQ-CA-20260720-0338,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0cb5887a0640db17450e2195,NSCQ-WA-20260720-0118,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0cc668dfcb79b06461cc5b24,NSCQ-WI-20260720-0072,non_safety,clerical_admin,established_single_explicit_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,preserved_prior_controlled_class,,,
doc_0cc937ef3e169e3753c8bff3,NSCQ-OH-20260720-0483,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0d2c2e84efbb21f8ce72d67b,NSCQ-CT-20260720-0019,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0d31a2bed9989dea46cf5406,NSCQ-FL-20260720-0225,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0d688c12b5d03b08cfdd8649,NSCQ-CA-20260720-0406,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0dcb44a2608171d452f4dd28,NSCQ-IL-20260720-0148,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0dfab419876d730f03d14259,NSCQ-OH-20260720-0508,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0e0a1917b1ffe37490be0201,NSCQ-IA-20260720-0040,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0e5a8511ad6defc551c99c11,NSCQ-WA-20260720-0171,non_safety,clerical_admin,established_single_explicit_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,preserved_prior_controlled_class,,,
doc_0e60bc0317c13ef4f071edd7,NSCQ-OH-20260720-0449,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0ebd2035feb329160a96672e,NSCQ-OR-20260720-0034,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0ebee1ceeff70373e10b636c,NSCQ-OH-20260720-0273,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0ed70d5b86a5c39c9177ca1f,NSCQ-IL-20260720-0236,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0ee05d335f50eab7bcb0862e,NSCQ-FL-20260720-0045,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0ee3c2f7f3838d6b8b86c0ab,NSCQ-OH-20260720-0709,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0eee8c516ecc8dec1402200b,NSCQ-OH-20260720-0201,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0f08283eadd8b476dce6d0d1,NSCQ-OH-20260720-0295,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0fb8275841f0d61a6d5ce4ad,NSCQ-WA-20260720-0160,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_0fc99c32b38cef5e8e5ebc01,NSCQ-NY-20260720-0055,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0fcf8273dcff21772a9c9636,NSCQ-IL-20260720-0251,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_0ff29aa265967154ba40cea1,NSCQ-IL-20260720-0232,non_safety,public_works,established_single_explicit_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,preserved_prior_controlled_class,,,
doc_100686c27902679339251484,NSCQ-OH-20260720-0522,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_102b59a0faf788060f28f8f6,NSCQ-OH-20260720-0178,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_104068239fa3cf3e8b6ff782,NSCQ-MI-20260720-0097,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_1049afc7fa22ac40fb34c100,NSCQ-CA-20260720-0162,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_1049d2489e3bc56a095dca87,NSCQ-OH-20260720-0356,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_107eba6563e4c58908a327aa,NSCQ-IA-20260720-0034,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_10d74d4817a88b3dd1b923eb,NSCQ-DE-20260720-0002,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_1101b00680cdee1c6e56fa69,NSCQ-OH-20260720-0546,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.union_name,Municipal Employees,8a8c714fe54240acfc86979df4d087df82a8c7f8ddfa1e07e596139d19e84fe6
doc_1120fae21cfa773d8464ba13,NSCQ-MI-20260720-0087,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
doc_114b139fe203048bf9111c3e,NSCQ-OR-20260720-0035,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.document_title|candidate_queue.union_name,Municipal Employees,8a8c714fe54240acfc86979df4d087df82a8c7f8ddfa1e07e596139d19e84fe6
doc_114edbcd8ffcaaae918bf55b,NSCQ-OH-20260720-0540,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_116a6433e2d553a4c00844de,NSCQ-IA-20260720-0054,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.union_name,Municipal Employees,8a8c714fe54240acfc86979df4d087df82a8c7f8ddfa1e07e596139d19e84fe6
doc_11753ea495db3280669728d1,NSCQ-OR-20260720-0128,non_safety,other,established_single_explicit_residual_structured_label_rule,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_single_explicit_residual_structured_label_rule,candidate_queue.union_name,City Employees,f28800c01d06e66cadd25f1712497e07575e00961252cfead91157dde609a3b3
doc_1186106dbc74234a2db1c956,NSCQ-MI-20260720-0103,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_11a2934eeda2a2948cbd4726,NSCQ-OH-20260720-0462,police,police,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_11d54a6051ca024b7d119834,NSCQ-OH-20260720-0401,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_11dbaefb6cf29b64ef538679,NSCQ-MA-20260720-0075,fire,fire,exact_public_safety_unit_type,prior_bridge.unit_type,preserved_prior_controlled_class,,,
doc_127ad188d19f5230c0580c8e,NSCQ-OH-20260720-0376,non_safety,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,quarantined_no_explicit_controlled_residual_label,,,
