normalized_record_id,evidence_route,municipality,state,reason,detail
B4X2500NORM-604113f0bc5bdf8d459a0042,computed_cycle_to_cycle,Green,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [17.0, 25.69]"
B4X2500NORM-61696769e5a95dccae8e4171,computed_cycle_to_cycle,Green,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [17.0, 25.69]"
B4X2500NORM-7df6863212c7b02c44af3440,computed_cycle_to_cycle,Green,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.0, 25.69]"
B4X2500NORM-9979e9147376a0c8efb99875,computed_cycle_to_cycle,Green,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.0, 25.69]"
B4X2500NORM-2780d01ad3ffc7a31b28e511,computed_cycle_to_cycle,Jamestown,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [10.0, 13.0, 18.0]"
B4X2500NORM-80cc345fb3398b72a4cd6328,computed_cycle_to_cycle,Jamestown,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [10.0, 13.0, 18.0]"
B4X2500NORM-959a6589e1b5be1032b73507,computed_cycle_to_cycle,Jamestown,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [10.0, 13.0, 18.0]"
B4X2500NORM-7fbfe4935b11ee8a4c8ba359,computed_cycle_to_cycle,Ligonier,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.25, 13.5]"
B4X2500NORM-8fffd24e7e1648231fdd32a5,computed_cycle_to_cycle,Ligonier,IN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.25, 13.5]"
B4X2500NORM-9b67458bef81027f52e72d46,computed_cycle_to_cycle,Altamont,KS,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [20.0, 22.5]"
B4X2500NORM-c26eb7f5628ec226e29a06be,computed_cycle_to_cycle,Altamont,KS,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [20.0, 22.5]"
B4X2500NORM-3b84740500d3860ce4a31bd8,computed_cycle_to_cycle,Cunningham,KS,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [20.0, 150.0]"
B4X2500NORM-f8ce5c7659e78441b4c3c1da,computed_cycle_to_cycle,Cunningham,KS,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [20.0, 150.0]"
B4X2500NORM-10642b1793f7df64b3ee22c1,computed_cycle_to_cycle,Sedgwick,KS,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 32.0]"
B4X2500NORM-4615c7946dd9508c5756a885,computed_cycle_to_cycle,Sedgwick,KS,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 32.0]"
B4X2500NORM-eca2268e6289689f68cdbb4f,computed_cycle_to_cycle,Sedgwick,KS,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 32.0]"
B4X2500NORM-37a9c94f5e40706bb5340a17,computed_cycle_to_cycle,Indian Hills,KY,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [34.6, 41.7]"
B4X2500NORM-3f04c9da67be6854d716e2d0,computed_cycle_to_cycle,Indian Hills,KY,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [34.6, 41.7]"
B4X2500NORM-87c44db38f621236ccbb2a03,computed_cycle_to_cycle,Louisa,KY,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [23.0, 24.5]"
B4X2500NORM-9054d1d6324a5201e41f00f5,computed_cycle_to_cycle,Louisa,KY,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [23.0, 24.5]"
B4X2500NORM-364cf6d7795f864b5607b0ff,computed_cycle_to_cycle,Mount Olivet,KY,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.86, 15.0]"
B4X2500NORM-c44b364aa908c20afa5b1180,computed_cycle_to_cycle,Mount Olivet,KY,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.86, 15.0]"
B4X2500NORM-15cd2a477e73870835cbacf1,computed_cycle_to_cycle,West Bridgewater,MA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [63.15, 85.0]"
B4X2500NORM-28f67e2db12b8ddc47f2599f,computed_cycle_to_cycle,West Bridgewater,MA,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [63.15, 85.0]"
B4X2500NORM-79e797f84708c4d15346a672,computed_cycle_to_cycle,Alna,ME,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [18.0, 20.0]"
B4X2500NORM-bc9d035a2787f1a701276c43,computed_cycle_to_cycle,Alna,ME,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [18.0, 20.0]"
B4X2500NORM-3bfeaae24ac16e820bc39cf9,computed_cycle_to_cycle,Bradley,ME,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [13.3, 22.0]"
B4X2500NORM-ece0a7af392e84fad1f51b5e,computed_cycle_to_cycle,Bradley,ME,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [13.3, 22.0]"
B4X2500NORM-7a820676299a1c3332e9aa4c,computed_cycle_to_cycle,Phippsburg,ME,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [23.56, 33.65]"
B4X2500NORM-d1686036e33d3514bb8fc01a,computed_cycle_to_cycle,Phippsburg,ME,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [23.56, 33.65]"
B4X2500NORM-110b4ab00c41b347b79f674c,computed_cycle_to_cycle,Pennfield charter,MI,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.6, 18.51]"
B4X2500NORM-27dc80f10e0b3b96ba568e5f,computed_cycle_to_cycle,Pennfield charter,MI,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.6, 18.51]"
B4X2500NORM-908f6704dfdef11e196e23dc,computed_cycle_to_cycle,Pennfield charter,MI,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.6, 18.51]"
B4X2500NORM-46a24cc9124b5639b9d3b352,computed_cycle_to_cycle,Putnam,MI,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [21.87, 22.47]"
B4X2500NORM-d1913c9533bd20665b5b4be1,computed_cycle_to_cycle,Putnam,MI,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [21.87, 22.47]"
B4X2500NORM-1a819ebd6979ebe02e83cc81,computed_cycle_to_cycle,Becker,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [23.0, 24.5]"
B4X2500NORM-ce57fe85d691abadc1d48ff6,computed_cycle_to_cycle,Becker,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [23.0, 24.5]"
B4X2500NORM-db94e7a7b5e209a42c3d0659,computed_cycle_to_cycle,Becker,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [23.0, 24.5]"
B4X2500NORM-513678a29357e24565a335bb,computed_cycle_to_cycle,Jackson,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [145.0, 150.0]"
B4X2500NORM-a4607eda154fa4fc1f48a78f,computed_cycle_to_cycle,Jackson,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [145.0, 150.0]"
B4X2500NORM-1b9c0f5e2f576a1eab9d02a7,computed_cycle_to_cycle,Medford,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 25.5]"
B4X2500NORM-966fc626b9d8e3addf2fba9e,computed_cycle_to_cycle,Medford,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 25.5]"
B4X2500NORM-f354ee1d917f43a162056d57,computed_cycle_to_cycle,Medford,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 25.5]"
B4X2500NORM-55cf1e92f5898f80f1c3a813,computed_cycle_to_cycle,Welcome,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [15.0, 20.0]"
B4X2500NORM-f47118d2c7962958b3cb0af0,computed_cycle_to_cycle,Welcome,MN,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [15.0, 20.0]"
B4X2500NORM-46e9f2ea518a85fb6534a712,computed_cycle_to_cycle,Concordia,MO,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [19.7, 24.84, 37.36]"
B4X2500NORM-6204d239760e72534253acb2,computed_cycle_to_cycle,Concordia,MO,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [19.7, 24.84, 37.36]"
B4X2500NORM-cedafe8880e12906f154b016,computed_cycle_to_cycle,Concordia,MO,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [19.7, 24.84, 37.36]"
B4X2500NORM-40e419fdacc5a1da5c642b51,computed_cycle_to_cycle,Miner,MO,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [10.0, 13.0]"
B4X2500NORM-615503b9bcb55affc535dedf,computed_cycle_to_cycle,Miner,MO,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [10.0, 13.0]"
B4X2500NORM-1023e7d1966482ccc497736a,computed_cycle_to_cycle,Duck,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [185.0, 245.0]"
B4X2500NORM-30773343de99dc27d717c4ad,computed_cycle_to_cycle,Duck,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [185.0, 245.0]"
B4X2500NORM-23b3187958ede6b8b171e07b,computed_cycle_to_cycle,Elizabethtown,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [30.0, 250.0]"
B4X2500NORM-abd99c5dbf8f36ca3b52ea3a,computed_cycle_to_cycle,Elizabethtown,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [30.0, 250.0]"
B4X2500NORM-eacb3f2f5ef3a3cc763fd629,computed_cycle_to_cycle,Elizabethtown,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [30.0, 250.0]"
B4X2500NORM-3ae565c8d54d0c0489359772,computed_cycle_to_cycle,Faison,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [10.0, 12.0]"
B4X2500NORM-a53549190221847633a7b065,computed_cycle_to_cycle,Faison,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [10.0, 12.0]"
B4X2500NORM-c4ce0bd5ddd21dd046ade0c1,computed_cycle_to_cycle,Faison,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [10.0, 12.0]"
B4X2500NORM-27462105fc4733d704492e10,computed_cycle_to_cycle,Mocksville,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 30.0]"
B4X2500NORM-bfcc5398080a34b6033f32dc,computed_cycle_to_cycle,Mocksville,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [25.0, 30.0]"
B4X2500NORM-c0fc9a609d94b1ba09f8859d,computed_cycle_to_cycle,Rutherfordton,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [15.0, 30.0]"
B4X2500NORM-c177c5c12329275e942a3b08,computed_cycle_to_cycle,Rutherfordton,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [15.0, 30.0]"
B4X2500NORM-084b27dd8e42031acbf357ef,computed_cycle_to_cycle,Weaverville,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [80.0, 90.0]"
B4X2500NORM-63610f1cf31a7c04797407b8,computed_cycle_to_cycle,Weaverville,NC,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [80.0, 90.0]"
B4X2500NORM-3672e4f24ea6f21d94d9d102,computed_cycle_to_cycle,Clearwater,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.0, 14.5]"
B4X2500NORM-97a42bb878ba3838a0a086b2,computed_cycle_to_cycle,Clearwater,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.0, 14.5]"
B4X2500NORM-263e7c7811300cae5a485161,computed_cycle_to_cycle,Deshler,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.5, 125.0]"
B4X2500NORM-8558127cb33b821a96285fc9,computed_cycle_to_cycle,Deshler,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.5, 125.0]"
B4X2500NORM-e9aa44ae804a7dee36bf3d78,computed_cycle_to_cycle,Deshler,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [12.5, 125.0]"
B4X2500NORM-067ec5eefa0434d224ff86e2,computed_cycle_to_cycle,Kenesaw,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [16.9, 20.1, 75.0]"
B4X2500NORM-1c4a1b0d2f8c37814ba97572,computed_cycle_to_cycle,Kenesaw,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [16.9, 20.1, 75.0]"
B4X2500NORM-6c86aa47d9d04779160519f9,computed_cycle_to_cycle,Kenesaw,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [16.9, 20.1, 75.0]"
B4X2500NORM-81924fc3ce67fab27724dbc3,computed_cycle_to_cycle,Kenesaw,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [17.0, 21.0, 50.0]"
B4X2500NORM-90465f3f0878985dc9622f72,computed_cycle_to_cycle,Kenesaw,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [17.0, 21.0, 50.0]"
B4X2500NORM-e0d8a3d96f9d8f1dffb9106a,computed_cycle_to_cycle,Kenesaw,NE,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [17.0, 21.0, 50.0]"
B4X2500NORM-30f12ffaebc3f1774c844e16,computed_cycle_to_cycle,Bernards,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"4 distinct values: [14.5, 18.0, 25.24, 31.0]"
B4X2500NORM-3950ebcf02d683dbad6798de,computed_cycle_to_cycle,Bernards,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"4 distinct values: [14.5, 18.0, 25.24, 31.0]"
B4X2500NORM-518866f2c9616dfca14ce403,computed_cycle_to_cycle,Bernards,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"4 distinct values: [14.5, 18.0, 25.24, 31.0]"
B4X2500NORM-81e0cc6859ea0536098ee2f4,computed_cycle_to_cycle,Bernards,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"4 distinct values: [14.5, 18.0, 25.24, 31.0]"
B4X2500NORM-86ba159336f9aaa2aa5d5762,computed_cycle_to_cycle,Brooklawn,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [13.5, 16.0, 25.0]"
B4X2500NORM-b85e613cf663e0a8b2afec0a,computed_cycle_to_cycle,Brooklawn,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.0, 25.0]"
B4X2500NORM-c58def8986a216d8eb33098a,computed_cycle_to_cycle,Brooklawn,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [13.5, 16.0, 25.0]"
B4X2500NORM-d550679a6b5433008f10bb4e,computed_cycle_to_cycle,Brooklawn,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.0, 25.0]"
B4X2500NORM-f1c8b478749a53bece326848,computed_cycle_to_cycle,Brooklawn,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [13.5, 16.0, 25.0]"
B4X2500NORM-fd47700149ad0fda6efbd4c0,computed_cycle_to_cycle,Brooklawn,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [16.0, 25.0]"
B4X2500NORM-448c7bec5b42f4154faa258a,computed_cycle_to_cycle,Clementon,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [18.0, 19.0]"
B4X2500NORM-ed20f6a10f0d3783ee186a1b,computed_cycle_to_cycle,Clementon,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [18.0, 19.0]"
B4X2500NORM-19af6a5d674ad2b977ad6baf,computed_cycle_to_cycle,East Windsor,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [19.89, 20.29, 20.69]"
B4X2500NORM-87510d43ffa744da8b12f7e7,computed_cycle_to_cycle,East Windsor,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [19.89, 20.29, 20.69]"
B4X2500NORM-aeec33e12b9adc55f1445379,computed_cycle_to_cycle,East Windsor,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [19.89, 20.29, 20.69]"
B4X2500NORM-1dff99ef6300a986133160a4,computed_cycle_to_cycle,Evesham,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [39.0, 41.0, 61.0]"
B4X2500NORM-7f58163ad0664fa47fb74f23,computed_cycle_to_cycle,Evesham,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [39.0, 41.0, 61.0]"
B4X2500NORM-9e58776cf3973c37970a66f9,computed_cycle_to_cycle,Evesham,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"3 distinct values: [39.0, 41.0, 61.0]"
B4X2500NORM-17e97736a2688c43b8723b59,computed_cycle_to_cycle,Gloucester,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"5 distinct values: [10.0, 13.125, 34.57, 35.27, 35.97]"
B4X2500NORM-1d65fd7edab3d220c295ad21,computed_cycle_to_cycle,Gloucester,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"5 distinct values: [10.0, 13.125, 34.57, 35.27, 35.97]"
B4X2500NORM-ba5941c72006b88f7e6076ba,computed_cycle_to_cycle,Gloucester,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"5 distinct values: [10.0, 13.125, 34.57, 35.27, 35.97]"
B4X2500NORM-c9ffefc8099eaa581be7c58f,computed_cycle_to_cycle,Gloucester,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"5 distinct values: [10.0, 13.125, 34.57, 35.27, 35.97]"
B4X2500NORM-f99f369d68cbdd8da37767cb,computed_cycle_to_cycle,Gloucester,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"5 distinct values: [10.0, 13.125, 34.57, 35.27, 35.97]"
B4X2500NORM-626a7f940d726e2573ff903b,computed_cycle_to_cycle,Lambertville,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [30.0, 55.0]"
B4X2500NORM-cc06f58468ea7f446790f15a,computed_cycle_to_cycle,Lambertville,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [30.0, 55.0]"
B4X2500NORM-40c38aa66e072ea448b72c77,computed_cycle_to_cycle,Middletown,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [15.0, 25.0]"
B4X2500NORM-f5650bc9a89bdaea2de6f240,computed_cycle_to_cycle,Middletown,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [15.0, 25.0]"
B4X2500NORM-0d16eb2ca269f2fd1b842823,computed_cycle_to_cycle,Millstone,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [20.0, 25.0]"
B4X2500NORM-21f29412cb37cf688865d2ae,computed_cycle_to_cycle,Millstone,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [20.0, 22.0]"
B4X2500NORM-38adfc912aeb621027950af6,computed_cycle_to_cycle,Millstone,NJ,multiple_distinct_values_at_same_position_cycle_without_resolved_schedule_location,"2 distinct values: [20.0, 22.0]"
