obs_id,city_id,city_name,state,bargaining_unit_name,occupation_class,safety_flag,cycle_start,cycle_end,predecessor_obs_id,base_wage_entry,base_wage_top,pct_increase_annual,num_steps,years_to_top,longevity_pay_flag,longevity_detail,total_comp_note,interest_arbitration_flag,arbitration_clause_text,comparability_clause_flag,comparability_text,comparability_referent,me_too_clause_flag,me_too_text,no_strike_clause_flag,binding_arbitration_statute,source_type,source_corpus,source_url_or_cite,retrieval_date,retrieval_method,full_text_path,text_quality
ma_arlington_public_works_2021,ma_arlington,Arlington,MA,"American Federation of State County and Municipal Employees, Council 93, Local 680",public_works,0,2021-07-01,2024-06-30,,,,,,,1,,Full base CBA (35 pp) but scanned with poor OCR (4485 text chars from 35 pages). Cycle Jul 2021-Jun 2024 matches Arlington Fire FY2022-2024 exactly. Wage rates and mechanism clause text require OCR or manual extraction for GABRIEL fields.,0,,0,,,0,,1,MA G.L. c. 150E,cba,causal,https://archive.org/download/Arlington_MA_ShowDocument_Id_62981/AFSCME%20Contract%20Expires%20Ju.pdf,2026-06-17,public_download,corpus/ma_arlington/ma_arlington_afscme_cba_thru_june2024.pdf,ocr_messy
ma_newton_police_2015,ma_newton,Newton,MA,Newton Police Association (union name unconfirmed — document scanned no text layer),police,1,2015-07-01,2018-06-30,,,,,,,,,CYCLE DATES ESTIMATED. Scanned PDF 74 pages 43MB ~0 extractable text chars. File created March 2018 suggests this is the then-current contract (likely 2015-2018 or 2016-2019 cycle). All fields including union name and cycle dates require OCR (pytesseract not installed). Source: LRIS public contract database.,0,,0,,,0,,0,MA G.L. c. 1078 (JLMC),cba,causal,https://www.lris.com/wp-content/uploads/contracts/newton_ma_police.pdf,2026-06-17,public_download,corpus/ma_newton/ma_newton_police_cba_lris.pdf,partial
ma_georgetown_police_2020,ma_georgetown,Georgetown,MA,"American Federation of State, County and Municipal Employees, AFL-CIO Council 93, Local 939 (Police Command Staff)",police,1,2020-07-01,2023-06-30,,,,0.02,,,1,Longevity for Police Department employees with 15+ years; see Article 18.,"StateReference DLR Contracts item. Original image-only PDF and StateReference OCR PDF downloaded locally; OCR text confirms Town of Georgetown police command staff unit (Lieutenant, Sergeant, Detective Sergeant), full municipal contract, 2020-2023 cycle, and 2% COLA effective July 1 of 2020, 2021, and 2022. DLR original route: Public Information Search employer Georgetown, Town of.",0,,0,,,0,,1,MA G.L. c. 1078 (JLMC),cba,causal,https://www.statereference.com/items/dlr_contracts/20210818_ascme_local_939_police_command_staff_7_1_20_to_6_30_23_georgetown_town_of,2026-06-23,public_download,corpus/ma_georgetown/ma_georgetown_police_command_staff_2020_2023_ocr.pdf,clean
ma_georgetown_other_2020,ma_georgetown,Georgetown,MA,"American Federation of State, County and Municipal Employees, AFL-CIO, Mass. Public Council 93, Local 939 (Custodians)",other,0,2020-07-01,2023-06-30,,,,0.02,,,,,"StateReference DLR Contracts item. Original image-only PDF and StateReference OCR PDF downloaded locally; OCR text confirms Georgetown School Department custodians/matrons/maintenance unit, full CBA, 2020-2023 cycle, and Appendix A wage schedule with 2% steps for 7/1/2020, 7/1/2021, and 7/1/2022. DLR original route: Public Information Search employer Georgetown School Committee.",0,,0,,,0,,1,MA G.L. c. 150E,cba,causal,https://www.statereference.com/items/dlr_contracts/20200716_afscme_local_939_custodians_7_1_20_to_6_30_23_georgetown_school_committee,2026-06-23,public_download,corpus/ma_georgetown/ma_georgetown_afscme_custodians_2020_2023_ocr.pdf,clean
ma_seekonk_police_2022,ma_seekonk,Seekonk,MA,The Fraternal Order of Police Mass C.O.P. Local # 215,police,1,2022-07-01,2025-06-30,,,,,,,,,Official Seekonk archive PDF. First-page text confirms collective bargaining agreement between Town of Seekonk and FOP Mass C.O.P. Local #215 for July 1 2022 through June 30 2025.,0,,0,,,0,,0,MA G.L. c. 1078 (JLMC),cba,causal,https://www.seekonk-ma.gov/Archive.aspx?ADID=282,2026-06-24,public_download,corpus/ma_seekonk/ma_seekonk_police_mcop_local_215_2022_2025.pdf,clean
ma_seekonk_fire_2022,ma_seekonk,Seekonk,MA,International Association of Firefighters Local 1931,fire,1,2022-07-01,2025-06-30,,,,,,,,,Official Seekonk archive PDF. First-page text confirms contract between Town of Seekonk Massachusetts and International Association of Firefighters Local 1931 for July 1 2022 through June 30 2025.,0,,0,"An annual group re-alignment shall be offered once a year between September 1st and November 1st.
Employees shall be able to submit a bid, and be awarded based on availability and seniority, a work slot on
another group. Group re-alignments will be posted by December 1st and take effect on January 1st. Any re-
alignment of employees shall occur upon the agreement of the affected employees, and upon the condition
that the emergency medical certifications are identical and their years of employment with the department
are somewhat comparable. Re-alignments will be granted and become effective at the Fire Chief’s discretion.","work-group realignment eligibility ('years of employment... somewhat comparable') -- scheduling/seniority context, not wage comparability",0,,0,MA G.L. c. 1078 (JLMC),cba,causal,https://www.seekonk-ma.gov/Archive.aspx?ADID=641,2026-06-24,public_download,corpus/ma_seekonk/ma_seekonk_fire_iaff_local_1931_2022_2025.pdf,clean
ma_seekonk_clerical_admin_2021,ma_seekonk,Seekonk,MA,"Local 1701, State Council No. 93, American Federation of State, County and Municipal Employees, AFL-CIO (Administrative Secretaries)",clerical_admin,0,2021-07-01,2024-06-30,,,,,,,,,Official Seekonk school-contract archive PDF. Local OCR confirms agreement between Seekonk School Committee and AFSCME Local 1701 administrative secretaries for July 1 2021 through June 30 2024.,0,,0,,,0,,1,MA G.L. c. 150E,cba,causal,https://www.seekonk-ma.gov/Archive.aspx?ADID=261,2026-06-24,public_download,corpus/ma_seekonk/ma_seekonk_admin_secretaries_afscme_local_1701_2021_2024.pdf,ocr_messy
ma_seekonk_teacher_2021,ma_seekonk,Seekonk,MA,Seekonk Educators Association,teacher,0,2021-09-01,2024-08-31,,,,,,,,,Official Seekonk school-contract archive PDF. First-page text confirms agreement between School Committee of the Town of Seekonk and Seekonk Educators Association for September 1 2021 through August 31 2024.,0,,0,,,0,,1,MA G.L. c. 150E,cba,causal,https://www.seekonk-ma.gov/Archive.aspx?ADID=260,2026-06-24,public_download,corpus/ma_seekonk/ma_seekonk_educators_association_2021_2024.pdf,clean
ma_seekonk_public_works_2023,ma_seekonk,Seekonk,MA,AFSCME Council 93 Local 1701 Department of Public Works,public_works,0,2023-07-01,2026-06-30,,,,,,,,,Official Seekonk archive PDF. First-page text confirms collective bargaining agreement between Town of Seekonk and AFSCME Council 93 Local 1701 Department of Public Works for July 1 2023 through June 30 2026.,0,Final binding arbitration will prevail on grievances only.,0,,,0,,0,MA G.L. c. 150E,cba,causal,https://www.seekonk-ma.gov/Archive.aspx?ADID=727,2026-06-24,public_download,corpus/ma_seekonk/ma_seekonk_public_works_afscme_local_1701_2023_2026.pdf,clean
ma_seekonk_library_2023,ma_seekonk,Seekonk,MA,"Seekonk Public Library Employee Association MLSA, AFT Massachusetts, AFL-CIO Local 4928",library,0,2023-07-01,2026-06-30,,,,,,,,,Official Seekonk archive PDF. First-page text confirms collective bargaining agreement between Town of Seekonk and Seekonk Public Library Employee Association MLSA/AFT Massachusetts Local 4928 for July 1 2023 through June 30 2026.,0,,0,,,0,,0,MA G.L. c. 150E,cba,causal,https://www.seekonk-ma.gov/Archive.aspx?ADID=711,2026-06-24,public_download,corpus/ma_seekonk/ma_seekonk_library_mlsa_local_4928_2023_2026.pdf,clean
ma_franklin_fire_2022,ma_franklin,Franklin,MA,"Professional Firefighters of Franklin, International Association of Firefighters Local 2637",fire,1,2022-07-01,2025-06-30,,,,,,,,,Official Franklin CBA portal PDF. First-page text confirms collective bargaining agreement between Town of Franklin and Professional Firefighters of Franklin IAFF Local 2637 for July 1 2022 through June 30 2025.,0,,0,,,0,,1,MA G.L. c. 1078 (JLMC),cba,causal,https://www.franklinma.gov/DocumentCenter/View/443/Firefighters-PDF,2026-06-25,public_download,corpus/ma_franklin/ma_franklin_firefighters_2022_2025.pdf,clean
ma_franklin_police_2022,ma_franklin,Franklin,MA,The Franklin Police Association,police,1,2022-07-01,2025-06-30,,,,,,,,,Official Franklin CBA portal PDF. First-page text confirms collective bargaining agreement between Town of Franklin and the Franklin Police Association for July 1 2022 through June 30 2025.,0,,0,,,0,,0,MA G.L. c. 1078 (JLMC),cba,causal,https://www.franklinma.gov/DocumentCenter/View/444/Police-Association-PDF,2026-06-25,public_download,corpus/ma_franklin/ma_franklin_police_association_2022_2025.pdf,clean
ma_franklin_police_sergeants_2022,ma_franklin,Franklin,MA,The Franklin Police Sergeants Union,police,1,2022-07-01,2025-06-30,,,,,,,,,Official Franklin CBA portal PDF. First-page text confirms collective bargaining agreement between Town of Franklin and the Franklin Police Sergeants Union for July 1 2022 through June 30 2025. Distinct police bargaining unit from the police association.,0,,0,,,0,,0,MA G.L. c. 1078 (JLMC),cba,causal,https://www.franklinma.gov/DocumentCenter/View/445/Police-Sergeants-PDF,2026-06-25,public_download,corpus/ma_franklin/ma_franklin_police_sergeants_2022_2025.pdf,clean
ma_franklin_public_works_2022,ma_franklin,Franklin,MA,AFSCME AFL-CIO Local 1298 Department of Public Works,public_works,0,2022-07-01,2025-06-30,,,,,,,,,Official Franklin CBA portal PDF. First-page text confirms collective bargaining agreement between Town of Franklin and AFSCME AFL-CIO Local 1298 Department of Public Works for July 1 2022 through June 30 2025.,0,,0,,,0,,1,MA G.L. c. 150E,cba,causal,https://www.franklinma.gov/DocumentCenter/View/441/Department-of-Public-Works-PDF,2026-06-25,public_download,corpus/ma_franklin/ma_franklin_public_works_2022_2025.pdf,clean
ma_franklin_library_2022,ma_franklin,Franklin,MA,"Franklin Public Library Staff Association, Massachusetts Library Staff Association Local 4928, AFT Massachusetts",library,0,2022-07-01,2025-06-30,,,,,,,,,Official Franklin CBA portal PDF. First-page text confirms agreement between Town of Franklin and Franklin Public Library Staff Association/MLSA Local 4928 for July 1 2022 through June 30 2025.,0,,0,,,0,,0,MA G.L. c. 150E,cba,causal,https://www.franklinma.gov/DocumentCenter/View/442/Franklin-Public-Library-PDF,2026-06-25,public_download,corpus/ma_franklin/ma_franklin_library_2022_2025.pdf,clean
ma_franklin_other_2022,ma_franklin,Franklin,MA,AFSCME AFL-CIO Council 93 Local 1298 Custodians,other,0,2022-07-01,2025-06-30,,,,,,,,,Official Franklin CBA portal PDF. First-page text confirms collective bargaining agreement between Town of Franklin and AFSCME Council 93 Local 1298 Custodians for July 1 2022 through June 30 2025. Classified as other because custodians are not a controlled occupation class.,0,,0,,,0,,1,MA G.L. c. 150E,cba,causal,https://www.franklinma.gov/DocumentCenter/View/440/Custodians-PDF,2026-06-25,public_download,corpus/ma_franklin/ma_franklin_custodians_2022_2025.pdf,clean
ma_wayland_police_2020,ma_wayland,Wayland,MA,"Wayland Police Officers Union, New England Police Benevolent Association",police,1,2020-07-01,2023-06-30,,,,,,,,,Official Wayland CBA portal PDF. OCR of cover page confirms collective bargaining agreement between Town of Wayland and Wayland Police Officers Union/NEPBA for July 1 2020 through June 30 2023.,0,,0,,,0,,1,MA G.L. c. 1078 (JLMC),cba,causal,https://www.wayland.ma.us/DocumentCenter/View/4561/2020-2023-Police-CBA,2026-06-25,public_download,corpus/ma_wayland/ma_wayland_police_2020_2023.pdf,ocr_messy
ma_wayland_fire_2020,ma_wayland,Wayland,MA,International Association of Firefighters AFL-CIO Local 1978,fire,1,2020-07-01,2023-06-30,,,,,,,,,Official Wayland CBA portal PDF. OCR of cover page confirms collective bargaining agreement between Town of Wayland and IAFF Local 1978 effective July 1 2020 through June 30 2023.,0,,0,"c. The Town agrees that in the event that it is be unable to provide coverage through any carrier, or if
they should choose to offer any other health insurance plan{s), the Town will contribute at least the
same percentage rate(s} for a comparable plan(s).","health insurance plan contribution parity ('comparable plan(s)') -- benefits comparability, not wage comparability",0,,0,MA G.L. c. 1078 (JLMC),cba,causal,https://www.wayland.ma.us/DocumentCenter/View/4559/2020-2023-Fire-CBA,2026-06-25,public_download,corpus/ma_wayland/ma_wayland_fire_2020_2023.pdf,ocr_messy
ma_wayland_other_2021,ma_wayland,Wayland,MA,"Local 690 Wayland-1 and Local 690 Wayland-2, AFSCME",other,0,2021-07-01,2023-06-30,,,,,,,,,"Official Wayland CBA portal PDF. OCR of cover page gives July 1 2021 through June 30 2023 despite posting section title. Recognition text covers mixed town employees including clerical, DPW, nurses, dispatch, and other positions, so classified as other.",0,,0,"b. The Town agrees that in the event that it is unable to provide coverage through any
carrier, or if they should choose to offer any other health insurance plan(s), the Town
will contribute at least the same percentage rate(s) for a comparable plan(s).","health insurance plan contribution parity ('comparable plan(s)') -- benefits comparability, not wage comparability",0,,1,MA G.L. c. 150E,cba,causal,https://www.wayland.ma.us/DocumentCenter/View/4557/2020-2023-AFSCME-1-and-2-CBA,2026-06-25,public_download,corpus/ma_wayland/ma_wayland_afscme_1_2_2020_2023.pdf,ocr_messy
ma_wayland_public_works_2020,ma_wayland,Wayland,MA,Wayland Department of Public Works employees represented by Teamsters Local 170,public_works,0,2020-07-01,2023-06-30,,,,,,,,,Official Wayland CBA portal PDF. OCR confirms agreement between Town of Wayland and Wayland DPW employees represented by Teamsters Local 170 effective July 1 2020 through June 30 2023; recognition covers DPW employees.,0,,0,,,0,,1,MA G.L. c. 150E,cba,causal,https://www.wayland.ma.us/DocumentCenter/View/4558/2020-2023-DPW-CBA,2026-06-25,public_download,corpus/ma_wayland/ma_wayland_dpw_2020_2023.pdf,ocr_messy
ma_wayland_library_2020,ma_wayland,Wayland,MA,"Wayland Library Staff Association, MFT, AFT, AFL-CIO",library,0,2020-07-01,2023-06-30,,,,,,,,,Official Wayland CBA portal PDF. OCR of cover and recognition pages confirms Town of Wayland agreement with the Wayland Library Staff Association for July 1 2020 through June 30 2023.,0,,0,,,0,,1,MA G.L. c. 150E,cba,causal,https://www.wayland.ma.us/DocumentCenter/View/4560/2020-2023-Library-CBA,2026-06-25,public_download,corpus/ma_wayland/ma_wayland_library_2020_2023.pdf,ocr_messy
ma_wayland_fire_jlmc_2020,ma_wayland,Wayland,MA,International Association of Firefighters Local 1978,fire,1,2020-07-01,2023-06-30,,,,,,,,,"Official Wayland CBA portal PDF. Text layer confirms Commonwealth of Massachusetts JLMC docket JLM-21-8988 stipulated award for Town of Wayland and IAFF Local 1978, signed April 14 2023, modifying the 2020-2023 fire agreement.",0,,0,,,0,,0,MA G.L. c. 1078 (JLMC),arbitration_award,causal,https://www.wayland.ma.us/DocumentCenter/View/4570/2020-2023-Fire---JLMC-Stipulated-Award,2026-06-25,public_download,corpus/ma_wayland/ma_wayland_fire_jlmc_stipulated_award_2020_2023.pdf,clean
tx_houston_police_2024,tx_houston,Houston,TX,Houston Police Officers' Union (HPOU),police,1,2024-07-01,2025-06-30,,,,,,,1,- A wage rate calculation that includes base pay and longevity only. Sworn Date The anniversary of employment service calculated from the date the officer - was sworn in officially as a police officer with ...,"Fetched public agreement on 2026-07-08. Identity confirmed as HPOU Meet & Confer Agreement; cycle 2024-07-01 to 2025-06-30. Caveat: Start date uses FY2025 wage schedule/negotiation-cycle cue; agreement states effective upon City Council approval and through June 30, 2025.",0,,0,,,0,,0,Texas Local Government Code Chapters 142/143,cba,causal,https://www.houstontx.gov/hr/hrfiles/classified_testing/agreement_meet_conf.pdf,2026-07-08,public_download,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,clean
