state,municipality,span_queue_source_count,sources_with_positive_spans,positive_exact_span_count,no_span_or_weak_source_count,ambiguous_source_count,extraction_error_source_count
CA,Solana Beach,3,3,40,0,0,0
CA,Sonoma,2,2,14,0,0,0
CA,Sonora,4,3,42,0,1,0
CA,South El Monte,1,0,0,0,1,0
CA,Stockton,1,1,11,0,0,0
CA,Tehachapi,2,1,11,0,1,0
CA,Tiburon,1,1,7,0,0,0
CA,Vallejo,1,1,16,0,0,0
CO,Castle Pines,1,0,0,0,1,0
CO,Castle Rock,1,0,0,0,1,0
CO,Cañon City,3,3,26,0,0,0
CO,Cherry Hills Village,2,1,4,0,1,0
CO,Commerce City,1,1,6,0,0,0
CO,Cortez,2,0,0,0,2,0
CO,Elizabeth,1,1,1,0,0,0
CO,Englewood,3,3,38,0,0,0
CO,Evans,2,2,4,0,0,0
CO,Federal Heights,1,1,2,0,0,0
CO,Firestone,2,0,0,1,1,0
CO,Florence,2,1,9,0,1,0
CO,Fort Morgan,1,1,1,0,0,0
CO,Frederick,1,1,1,0,0,0
CO,Granby,1,1,13,0,0,0
CO,Greenwood Village,1,1,1,0,0,0
CO,Gypsum,1,1,5,0,0,0
CO,Johnstown,1,1,3,0,0,0
CO,Lafayette,2,1,2,1,0,0
CO,Limon,1,1,8,0,0,0
CO,Lone Tree,2,2,13,0,0,0
CO,Manitou Springs,2,2,13,0,0,0
CO,Mead,2,2,6,0,0,0
CO,Montrose,1,1,6,0,0,0
CO,Northglenn,3,3,3,0,0,0
CO,Parker,1,1,3,0,0,0
CO,Rifle,1,1,6,0,0,0
CO,Snowmass Village,2,0,0,0,2,0
CO,Superior,2,1,2,0,1,0
CO,Timnath,2,1,1,0,1,0
CO,Trinidad,3,3,29,0,0,0
CO,Wellington,2,1,2,0,1,0
CO,Woodland Park,1,1,4,0,0,0
CT,Avon,1,1,15,0,0,0
CT,Berlin,3,3,46,0,0,0
CT,Brookfield,1,1,3,0,0,0
CT,Cheshire,1,1,2,0,0,0
CT,Colchester,1,1,11,0,0,0
CT,Coventry,2,1,1,0,1,0
CT,Cromwell,1,0,0,0,1,0
CT,East Haddam,1,1,6,0,0,0
CT,East Hartford,1,1,14,0,0,0
CT,East Haven,1,1,2,0,0,0
CT,East Lyme,3,3,48,0,0,0
CT,East Windsor,1,0,0,0,1,0
CT,Fairfield,2,2,32,0,0,0
CT,Greenwich,3,3,48,0,0,0
CT,Guilford,2,2,18,0,0,0
CT,Killingly,2,2,4,0,0,0
CT,Madison,1,1,3,0,0,0
CT,Mansfield,1,1,6,0,0,0
CT,New Canaan,3,3,46,0,0,0
CT,New Milford,2,2,30,0,0,0
CT,Newtown,2,2,26,0,0,0
CT,North Branford,3,3,7,0,0,0
CT,Orange,1,1,1,0,0,0
CT,Plainfield,1,1,1,0,0,0
CT,Plainville,2,2,32,0,0,0
CT,Prospect,1,1,5,0,0,0
CT,Ridgefield,1,0,0,0,1,0
CT,Seymour,3,3,34,0,0,0
CT,Simsbury,1,1,15,0,0,0
CT,Southbury,2,0,0,0,2,0
CT,Southington,1,1,16,0,0,0
CT,Trumbull,1,1,3,0,0,0
CT,Vernon,2,2,7,0,0,0
CT,Wallingford,1,1,12,0,0,0
CT,Watertown,3,3,7,0,0,0
CT,Wilton,1,1,14,0,0,0
CT,Winchester,2,2,27,0,0,0
CT,Windsor,1,0,0,1,0,0
CT,Windsor Locks,2,1,13,0,1,0
CT,Wolcott,1,0,0,0,1,0
CT,Woodbridge,1,1,2,0,0,0
CT,Woodbury,1,1,13,0,0,0
DE,Arden,3,0,0,0,3,0
DE,Bellefonte,2,2,6,0,0,0
DE,Blades,2,1,1,1,0,0
DE,Bowers,1,0,0,1,0,0
DE,Bridgeville,1,1,4,0,0,0
DE,Camden,1,1,4,0,0,0
DE,Cheswold,2,1,3,0,1,0
DE,Delmar,4,3,5,0,1,0
DE,Ellendale,1,0,0,0,1,0
DE,Elsmere,2,1,1,1,0,0
DE,Frederica,2,1,1,0,1,0
DE,Greenwood,1,0,0,0,1,0
DE,Henlopen Acres,1,1,6,0,0,0
DE,Houston,2,0,0,0,2,0
DE,Magnolia,3,0,0,0,3,0
DE,Millville,3,2,2,0,1,0
DE,Milton,1,0,0,0,1,0
DE,Ocean View,2,1,16,0,1,0
DE,Rehoboth Beach,2,2,4,0,0,0
DE,South Bethany,3,1,3,1,1,0
DE,Wyoming,2,1,2,0,1,0
FL,Atlantic Beach,2,2,23,0,0,0
FL,Bay Harbor Islands,1,1,1,0,0,0
FL,Belle Isle,2,2,20,0,0,0
FL,Belleview,1,1,3,0,0,0
FL,Dade City,4,4,22,0,0,0
FL,Daytona Beach Shores,1,1,1,0,0,0
FL,Dundee,2,2,17,0,0,0
FL,Flagler Beach,1,1,13,0,0,0
FL,Fort Meade,1,1,14,0,0,0
FL,Gulf Breeze,1,1,8,0,0,0
FL,High Springs,2,1,5,0,1,0
FL,Highland Beach,2,2,20,0,0,0
FL,Indian Harbour Beach,1,1,14,0,0,0
FL,Indian River Shores,3,3,13,0,0,0
FL,Jupiter,1,0,0,1,0,0
FL,LaBelle,2,2,9,0,0,0
FL,Lake City,2,2,25,0,0,0
FL,Lake Park,2,1,2,0,1,0
FL,Lantana,1,1,15,0,0,0
FL,Lighthouse Point,2,1,1,1,0,0
FL,Marianna,1,1,1,0,0,0
FL,Milton,1,1,6,0,0,0
FL,Neptune Beach,2,2,29,0,0,0
FL,Newberry,1,1,1,0,0,0
FL,North Bay Village,1,1,8,0,0,0
FL,North Palm Beach,3,3,32,0,0,0
FL,Orange Park,1,1,11,0,0,0
FL,Pahokee,1,1,1,0,0,0
FL,Palm Beach,1,1,9,0,0,0
FL,Tampa,2,2,32,0,0,0
FL,Tequesta,1,1,13,0,0,0
FL,Treasure Island,2,2,26,0,0,0
FL,Wauchula,1,0,0,0,1,0
FL,West Miami,1,1,2,0,0,0
FL,West Park,1,1,6,0,0,0
FL,Westlake,1,1,1,0,0,0
FL,Wilton Manors,1,0,0,0,1,0
GA,Acworth,3,0,0,0,3,0
GA,Alpharetta,1,0,0,0,1,0
GA,Americus,1,1,11,0,0,0
GA,Austell,1,1,1,0,0,0
GA,Brookhaven,1,1,4,0,0,0
GA,Buford,1,1,5,0,0,0
GA,Calhoun,1,1,3,0,0,0
GA,Chamblee,1,1,5,0,0,0
GA,Clarkston,4,2,11,0,2,0
GA,Covington,2,0,0,0,2,0
GA,Dalton,2,2,10,0,0,0
GA,Decatur,2,2,6,0,0,0
GA,Doraville,1,1,6,0,0,0
GA,Dublin,2,2,2,0,0,0
GA,East Point,1,1,2,0,0,0
GA,Fairburn,1,0,0,0,1,0
GA,Fayetteville,4,2,15,0,2,0
GA,Flowery Branch,1,1,7,0,0,0
GA,Forest Park,1,1,9,0,0,0
GA,Fort Oglethorpe,2,2,12,0,0,0
GA,Griffin,1,1,5,0,0,0
GA,Grovetown,4,2,5,0,2,0
GA,Holly Springs,1,0,0,1,0,0
GA,Jefferson,2,0,0,0,2,0
GA,Jesup,2,0,0,1,1,0
GA,Johns Creek,1,1,15,0,0,0
GA,Kingsland,1,1,1,0,0,0
GA,Lilburn,1,0,0,0,1,0
GA,Loganville,1,0,0,0,1,0
GA,Mableton,3,2,9,0,1,0
GA,McDonough,2,2,6,0,0,0
GA,Milledgeville,1,0,0,0,1,0
GA,Moultrie,3,2,8,0,1,0
GA,Newnan,3,3,17,0,0,0
GA,Perry,3,1,1,0,2,0
GA,Port Wentworth,2,0,0,0,2,0
GA,Powder Springs,3,3,6,0,0,0
GA,Snellville,2,2,12,0,0,0
GA,St. Marys,1,1,2,0,0,0
GA,Stonecrest,2,2,16,0,0,0
GA,Sugar Hill,1,0,0,1,0,0
GA,Suwanee,2,2,18,0,0,0
GA,Thomaston,1,0,0,1,0,0
GA,Thomasville,2,2,3,0,0,0
GA,Tifton,2,2,3,0,0,0
GA,Valdosta,1,0,0,0,1,0
GA,Waycross,1,1,2,0,0,0
GA,Woodstock,1,0,0,0,1,0
IA,Adel,1,1,5,0,0,0
IA,Albia,3,2,3,1,0,0
IA,Algona,1,1,4,0,0,0
IA,Anamosa,2,2,7,0,0,0
IA,Asbury,1,0,0,1,0,0
IA,Carlisle,1,1,4,0,0,0
IA,Carroll,2,2,16,0,0,0
IA,Carter Lake,2,2,16,0,0,0
IA,Chariton,1,1,2,0,0,0
IA,Clarinda,2,1,3,0,1,0
IA,Clarion,2,0,0,0,2,0
IA,DeWitt,1,1,2,0,0,0
IA,Denison,1,1,1,0,0,0
IA,Eldridge,1,0,0,0,1,0
IA,Emmetsburg,1,1,1,0,0,0
IA,Estherville,1,1,6,0,0,0
IA,Evansdale,1,1,16,0,0,0
IA,Forest City,1,1,2,0,0,0
IA,Fort Madison,2,1,7,0,1,0
IA,Glenwood,1,1,2,0,0,0
IA,Grundy Center,3,2,4,0,1,0
IA,Hampton,1,1,2,0,0,0
IA,Harlan,1,1,2,0,0,0
IA,Hiawatha,2,2,2,0,0,0
IA,Independence,1,1,4,0,0,0
IA,Iowa Falls,1,1,1,0,0,0
IA,Jefferson,1,1,7,0,0,0
IA,Jesup,1,1,8,0,0,0
IA,Keokuk,1,1,14,0,0,0
IA,Maquoketa,1,0,0,1,0,0
IA,Milford,3,0,0,0,3,0
IA,Monticello,1,1,8,0,0,0
IA,Mount Vernon,1,0,0,0,1,0
IA,New Hampton,2,2,4,0,0,0
IA,Oelwein,2,2,19,0,0,0
IA,Polk City,2,2,30,0,0,0
IA,Red Oak,2,2,10,0,0,0
IA,Robins,1,1,4,0,0,0
IA,Rock Rapids,1,1,2,0,0,0
IA,Sergeant Bluff,1,1,5,0,0,0
IA,Sheldon,1,1,16,0,0,0
IA,Shenandoah,3,1,2,0,2,0
IA,Sioux Center,2,2,4,0,0,0
IA,Spirit Lake,1,0,0,0,1,0
IA,Story City,3,3,6,0,0,0
IA,Tiffin,1,0,0,0,1,0
IA,Waukon,2,0,0,0,2,0
IA,Waverly,1,0,0,0,1,0
IA,Webster City,1,1,4,0,0,0
IA,Winterset,2,1,2,0,1,0
ID,American Falls,1,0,0,0,1,0
ID,Arco,1,0,0,0,1,0
ID,Athol,2,0,0,0,2,0
ID,Blackfoot,1,0,0,0,1,0
ID,Buhl,2,0,0,2,0,0
ID,Clark Fork,1,0,0,1,0,0
ID,Council,1,0,0,0,1,0
ID,Driggs,1,1,1,0,0,0
ID,Fruitland,3,0,0,0,3,0
ID,Genesee,1,0,0,1,0,0
ID,Grangeville,2,2,4,0,0,0
ID,Hailey,1,1,1,0,0,0
ID,Hauser,1,0,0,0,1,0
ID,Hayden,1,1,2,0,0,0
ID,Heyburn,2,1,1,0,1,0
ID,Idaho Falls,1,1,10,0,0,0
ID,Inkom,3,1,1,0,2,0
ID,Jerome,3,3,16,0,0,0
ID,Malad City,2,0,0,0,2,0
ID,Meridian,1,1,1,0,0,0
ID,Montpelier,1,1,1,0,0,0
ID,New Meadows,2,2,5,0,0,0
ID,Orofino,1,0,0,0,1,0
ID,Payette,1,1,3,0,0,0
ID,Ponderay,2,0,0,0,2,0
ID,Post Falls,2,2,4,0,0,0
ID,Preston,2,0,0,1,1,0
ID,Rigby,1,0,0,0,1,0
ID,Roberts,1,1,1,0,0,0
ID,Sandpoint,2,1,16,0,1,0
ID,Shelley,1,0,0,0,1,0
ID,Shoshone,2,1,2,0,1,0
ID,Sun Valley,1,1,7,0,0,0
ID,Teton,2,1,3,0,1,0
ID,Wallace,2,0,0,0,2,0
ID,Weiser,2,0,0,0,2,0
IL,Alsip,2,2,12,0,0,0
IL,Alton,1,1,10,0,0,0
IL,Barrington,1,1,5,0,0,0
IL,Beach Park,2,2,6,0,0,0
IL,Bellwood,4,4,15,0,0,0
IL,Bloom,1,1,10,0,0,0
IL,Bloomington City,1,1,3,0,0,0
IL,Bourbonnais,1,1,2,0,0,0
IL,Bradley,2,2,25,0,0,0
IL,Bridgeview,1,1,15,0,0,0
IL,Brookfield,5,5,44,0,0,0
IL,Buffalo Grove,1,0,0,0,1,0
IL,Burr Ridge,1,1,14,0,0,0
IL,Calumet,1,1,2,0,0,0
IL,Campton,1,0,0,0,1,0
IL,Canton,1,1,16,0,0,0
IL,Cary,1,1,11,0,0,0
IL,Caseyville,1,1,4,0,0,0
IL,Champaign City,1,1,2,0,0,0
IL,Channahon,4,3,29,0,1,0
IL,Charleston,7,6,73,0,1,0
IL,Collinsville,1,1,9,0,0,0
IL,Country Club Hills,5,5,12,0,0,0
IL,Crest Hill,2,1,3,0,1,0
IL,Crete,2,0,0,1,1,0
IL,Dolton,1,1,16,0,0,0
IL,Downers Grove,2,2,11,0,0,0
IL,East St. Louis,1,0,0,0,1,0
IL,Edwardsville,1,1,9,0,0,0
IL,Effingham,2,2,22,0,0,0
IL,Elgin,1,1,13,0,0,0
IL,Elmwood Park,1,0,0,0,1,0
IL,Fox Lake,3,3,6,0,0,0
IL,Franklin Park,4,3,5,0,1,0
IL,Freeport,1,1,1,0,0,0
IL,Geneva,1,1,16,0,0,0
IL,Glen Carbon,2,1,6,0,1,0
IL,Hanover Park,1,1,10,0,0,0
IL,Harlem,1,1,3,0,0,0
IL,Harvey,3,3,21,0,0,0
IL,Hickory Hills,1,1,1,0,0,0
IL,Hinsdale,1,1,8,0,0,0
IL,Huntley,3,3,48,0,0,0
IL,Island Lake,2,0,0,0,2,0
IL,Kewanee,2,2,31,0,0,0
IL,La Grange,1,1,16,0,0,0
IL,LaSalle,3,3,48,0,0,0
IL,Lake Forest,3,3,42,0,0,0
IL,Lake Zurich,1,0,0,0,1,0
IL,Lemont,3,3,27,0,0,0
IL,Limestone,1,0,0,0,1,0
IL,Lindenhurst,3,3,46,0,0,0
IL,Lisle,1,1,2,0,0,0
IL,Little Rock,2,1,4,0,1,0
IL,Macomb,1,1,9,0,0,0
IL,Macomb City,1,0,0,0,1,0
IL,Matteson,4,2,30,0,2,0
IL,Midlothian,2,0,0,0,2,0
IL,Minooka,2,1,3,0,1,0
IL,Mokena,4,2,15,0,2,0
IL,Montgomery,1,0,0,0,1,0
IL,Morton,4,1,14,0,3,0
IL,Mount Vernon,4,4,59,0,0,0
IL,Palos,1,1,16,0,0,0
IL,Peru,1,1,13,0,0,0
IL,Plano,1,1,9,0,0,0
IL,Pontiac,2,2,19,0,0,0
IL,Prospect Heights,2,2,7,0,0,0
IL,Quincy,1,1,5,0,0,0
IL,Rich,1,1,15,0,0,0
IL,Rochelle,2,2,28,0,0,0
IL,Rock Island,1,1,12,0,0,0
IL,Rockford,1,1,6,0,0,0
IL,Rockton,3,2,2,0,1,0
IL,Roscoe,2,2,10,0,0,0
IL,Rutland,2,2,30,0,0,0
IL,Shorewood,3,3,27,0,0,0
IL,South Rock Island,1,1,2,0,0,0
IL,St. Clair,1,1,12,0,0,0
IL,Steger,3,3,4,0,0,0
IL,Sterling,2,2,26,0,0,0
IL,Streator,2,2,18,0,0,0
IL,Swansea,1,0,0,0,1,0
IL,Taylorville,1,1,6,0,0,0
IL,Thornton,2,2,14,0,0,0
IL,Tinley Park,1,1,5,0,0,0
IL,Troy,4,3,12,0,1,0
IL,Washington,2,1,4,0,1,0
IL,Waterloo,3,3,9,0,0,0
IL,Wauconda,3,3,22,0,0,0
IL,Westchester,4,4,63,0,0,0
IL,Wood River,1,1,10,0,0,0
IN,Angola,2,2,6,0,0,0
IN,Batesville,1,0,0,0,1,0
IN,Beech Grove,2,2,18,0,0,0
IN,Bloomington,1,1,16,0,0,0
IN,Brazil,3,1,2,0,2,0
IN,Carmel,1,1,8,0,0,0
IN,Cedar Creek,1,1,2,0,0,0
IN,Cedar Lake,5,3,16,0,2,0
IN,Centre,1,1,1,0,0,0
IN,Cumberland,2,2,9,0,0,0
IN,Danville,3,3,8,0,0,0
IN,Decatur,1,0,0,0,1,0
IN,East Chicago,5,3,7,0,2,0
IN,Edinburgh,1,0,0,0,1,0
IN,Ellettsville,3,2,7,0,1,0
IN,Fort Wayne,1,1,11,0,0,0
IN,Frankfort,4,0,0,0,4,0
IN,Franklin,1,1,7,0,0,0
IN,Garrett,2,0,0,0,2,0
IN,Greensburg,2,0,0,0,2,0
IN,Hartford City,1,0,0,0,1,0
IN,Highland,1,1,8,0,0,0
IN,Huntertown,2,0,0,0,2,0
IN,Huntingburg,1,1,1,0,0,0
IN,Huntington,2,2,7,0,0,0
IN,Indianapolis city (balance),2,2,32,0,0,0
IN,Jasper,3,1,1,0,2,0
IN,Kendallville,2,2,6,0,0,0
IN,La Porte,1,1,1,0,0,0
IN,Lawrence,1,0,0,0,1,0
IN,Lebanon,1,1,7,0,0,0
IN,Lowell,3,0,0,0,3,0
IN,McCordsville,1,1,11,0,0,0
IN,Munster,2,2,18,0,0,0
IN,New Castle,5,5,32,0,0,0
IN,New Whiteland,2,1,2,0,1,0
IN,North Manchester,2,1,1,0,1,0
IN,North Vernon,4,1,2,0,3,0
IN,Peru,2,2,6,0,0,0
IN,Pike,2,2,27,0,0,0
IN,Plymouth,3,1,4,1,1,0
IN,Portland,3,1,9,0,2,0
IN,Princeton,1,0,0,0,1,0
IN,Rensselaer,2,2,2,0,0,0
IN,Schererville,2,2,3,0,0,0
IN,St. John,1,0,0,1,0,0
IN,Wabash,1,1,2,0,0,0
IN,Warsaw,5,0,0,0,5,0
IN,Wayne,2,2,4,0,0,0
IN,Whitestown,2,2,17,0,0,0
IN,Winfield,5,2,3,0,3,0
IN,Yorktown,1,1,6,0,0,0
KS,Andover,2,2,2,0,0,0
KS,Anthony,2,2,2,0,0,0
KS,Arkansas City,1,1,1,0,0,0
KS,Augusta,2,2,19,0,0,0
KS,Basehor,1,1,5,0,0,0
KS,Baxter Springs,2,0,0,0,2,0
KS,Bel Aire,2,1,5,0,1,0
KS,Burlington,1,1,4,0,0,0
KS,Chanute,2,1,1,0,1,0
KS,Cheney,2,1,4,1,0,0
KS,Clearwater,2,2,14,0,0,0
KS,Coffeyville,2,2,32,0,0,0
KS,Colby,3,3,6,0,0,0
KS,Columbus,1,1,6,0,0,0
KS,Council Grove,1,0,0,0,1,0
KS,Edwardsville,3,2,3,0,1,0
KS,Ellsworth,2,2,11,0,0,0
KS,Eudora,2,0,0,0,2,0
KS,Galena,1,0,0,0,1,0
KS,Goodland,1,1,9,0,0,0
KS,Great Bend,2,1,2,0,1,0
KS,Halstead,1,1,3,0,0,0
KS,Herington,1,1,4,0,0,0
KS,Hillsboro,2,2,10,0,0,0
KS,Hoisington,1,0,0,0,1,0
KS,Kechi,1,1,5,0,0,0
KS,Lansing,2,2,23,0,0,0
KS,Louisburg,1,1,3,0,0,0
KS,Maize,1,1,2,0,0,0
KS,Marysville,4,1,1,0,3,0
KS,McPherson,1,0,0,0,1,0
KS,Mission,1,1,6,0,0,0
KS,Mission Hills,2,2,4,0,0,0
KS,Mulvane,1,1,3,0,0,0
KS,Neodesha,1,1,3,0,0,0
KS,Oakley,2,2,6,0,0,0
KS,Osage City,2,2,7,0,0,0
KS,Ottawa,3,3,12,0,0,0
KS,Park City,1,1,1,0,0,0
KS,Pratt,1,1,1,0,0,0
KS,Seneca,4,3,6,0,1,0
KS,Soldier,1,1,2,0,0,0
KS,South Hutchinson,1,0,0,0,1,0
KS,Spring Hill,1,0,0,1,0,0
KS,Sterling,1,0,0,0,1,0
KS,Wellington,1,1,1,0,0,0
KY,Ashland,2,2,10,0,0,0
KY,Bardstown,2,2,9,0,0,0
KY,Bellevue,1,1,7,0,0,0
KY,Benton,2,0,0,2,0,0
KY,Brandenburg,1,1,2,0,0,0
KY,Danville,1,1,8,0,0,0
KY,Dayton,1,1,4,0,0,0
KY,Flemingsburg,1,1,5,0,0,0
KY,Fort Thomas,2,2,12,0,0,0
