ranking_scope,rank,object_type,relative_path,logical_bytes,logical_human,allocated_entry_bytes,allocated_entry_human,file_count_or_blank,extension_or_blank,primary_artifact_family_or_blank
largest_directories,85,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_002,536911925,512.04 MiB,537214976,512.33 MiB,148,,
largest_directories,86,directory,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_001,536884717,512.01 MiB,537186304,512.30 MiB,148,,
largest_directories,87,directory,.venv,535680218,510.86 MiB,593960960,566.45 MiB,23798,,
largest_directories,88,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1,534930277,510.15 MiB,536186880,511.35 MiB,500,,
largest_directories,89,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts,534391440,509.64 MiB,535642112,510.83 MiB,497,,
largest_directories,90,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content,534120629,509.38 MiB,534618112,509.85 MiB,247,,
largest_directories,91,directory,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002,533434130,508.72 MiB,534654976,509.89 MiB,572,,
largest_directories,92,directory,.venv/lib,530755706,506.17 MiB,588910592,561.63 MiB,23760,,
largest_directories,93,directory,.venv/lib/python3.11,530755706,506.17 MiB,588910592,561.63 MiB,23760,,
largest_directories,94,directory,.venv/lib/python3.11/site-packages,530755706,506.17 MiB,588910592,561.63 MiB,23760,,
largest_directories,95,directory,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SIDE-RELEVANCE-RECONCILIATION-2026-08-03,530203547,505.64 MiB,530452480,505.88 MiB,95,,
largest_directories,96,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1,475478376,453.45 MiB,476758016,454.67 MiB,501,,
largest_directories,97,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts,474934830,452.93 MiB,476209152,454.15 MiB,498,,
largest_directories,98,directory,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content,474662404,452.67 MiB,475185152,453.17 MiB,248,,
largest_directories,99,directory,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/07_EXTERNAL-DATA-FIELD-SPAN-EXTRACTION,472655943,450.76 MiB,473198592,451.28 MiB,203,,
largest_directories,100,directory,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-SPAN-RATING-AND-DASHBOARD-CLEANUP-2026-07-30,431784555,411.78 MiB,432009216,412.00 MiB,81,,
largest_files,1,file,.git/objects/pack/pack-354df34965c86a21986204944eb29bf960e0800b.pack,11175261039,10.41 GiB,11175264256,10.41 GiB,,.pack,git_metadata
largest_files,2,file,.git/objects/pack/pack-c2a1996011b743f167985a2a07dc6eaf222bec61.pack,1404816395,1.31 GiB,1404817408,1.31 GiB,,.pack,git_metadata
largest_files,3,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/indexes/reconciliation_integrity.sqlite,1196736512,1.11 GiB,1197801472,1.12 GiB,,.sqlite,reconciliation
largest_files,4,file,.git/objects/pack/pack-158110ff34c43e1e24690580c22445024c1aaa48.pack,1165654795,1.09 GiB,1165656064,1.09 GiB,,.pack,git_metadata
largest_files,5,file,.git/objects/pack/pack-1f876edf22327de8a66c030439b9d27bd604c6e0.pack,989049960,943.23 MiB,989052928,943.23 MiB,,.pack,git_metadata
largest_files,6,file,tmp/source_review_batch2_500_live_collection_relay_2026-07-24_4db4317.zip,911013190,868.81 MiB,911015936,868.81 MiB,,.zip,tmp_relays_archives
largest_files,7,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/indexes/canonical_id_integrity_audit.sqlite,885383168,844.37 MiB,887099392,846.00 MiB,,.sqlite,artifacts_other
largest_files,8,file,tmp/broad_state_whole_corpus_available_external_data_non_ocr_extraction_2026-08-05_logs/extraction_lane_001_page_table_indexes.jsonl,434819930,414.68 MiB,434823168,414.68 MiB,,.jsonl,tmp_other
largest_files,9,file,tmp/broad_state_whole_corpus_available_external_data_non_ocr_extraction_2026-08-05_logs/extraction_lane_005_page_table_indexes.jsonl,413517673,394.36 MiB,413519872,394.36 MiB,,.jsonl,tmp_other
largest_files,10,file,tmp/broad_state_whole_corpus_available_external_data_non_ocr_extraction_2026-08-05_logs/extraction_lane_003_page_table_indexes.jsonl,398923359,380.44 MiB,398925824,380.45 MiB,,.jsonl,tmp_other
largest_files,11,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/indexes/span_observation_map.sqlite,373768192,356.45 MiB,383754240,365.98 MiB,,.sqlite,artifacts_other
largest_files,12,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/indexes/corroboration.sqlite,341094400,325.29 MiB,342102016,326.25 MiB,,.sqlite,compact_observations
largest_files,13,file,tmp/broad_state_whole_corpus_available_external_data_non_ocr_extraction_2026-08-05_logs/extraction_lane_002_page_table_indexes.jsonl,338238609,322.57 MiB,338239488,322.57 MiB,,.jsonl,tmp_other
largest_files,14,file,tmp/broad_state_whole_corpus_available_external_data_non_ocr_extraction_2026-08-05_logs/extraction_lane_004_page_table_indexes.jsonl,323127922,308.16 MiB,323129344,308.16 MiB,,.jsonl,tmp_other
largest_files,15,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/indexes/normalization_integrity.sqlite,314351616,299.79 MiB,314531840,299.96 MiB,,.sqlite,normalization
largest_files,16,file,tmp/source_review_pilot1_httpx_retry_relay_2026-07-24_5e14f63.zip,305543584,291.39 MiB,305545216,291.39 MiB,,.zip,tmp_relays_archives
largest_files,17,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/indexes/primary_span_observation.sqlite,291250176,277.76 MiB,292945920,279.38 MiB,,.sqlite,artifacts_other
largest_files,18,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/quarantine/unaccepted_prepare_attempt_20260806T002802Z/indexes/span_observation_map.sqlite,216109056,206.10 MiB,218169344,208.06 MiB,,.sqlite,artifacts_other
largest_files,19,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_005/evidence_spans.jsonl.gz,142751727,136.14 MiB,142753792,136.14 MiB,,.gz,raw_spans
largest_files,20,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_003/raw_spans.jsonl.gz,114999154,109.67 MiB,114999296,109.67 MiB,,.gz,raw_spans
largest_files,21,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_004/raw_spans.jsonl.gz,110609853,105.49 MiB,110612480,105.49 MiB,,.gz,raw_spans
largest_files,22,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_005/raw_spans.jsonl.gz,108617357,103.59 MiB,108617728,103.59 MiB,,.gz,raw_spans
largest_files,23,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_003/evidence_spans.jsonl.gz,107841384,102.85 MiB,107843584,102.85 MiB,,.gz,raw_spans
largest_files,24,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_005/field_records.jsonl.gz,105686540,100.79 MiB,105689088,100.79 MiB,,.gz,raw_fields
largest_files,25,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_002/raw_spans.jsonl.gz,105400982,100.52 MiB,105402368,100.52 MiB,,.gz,raw_spans
largest_files,26,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_001/raw_spans.jsonl.gz,104684551,99.83 MiB,104685568,99.84 MiB,,.gz,raw_spans
largest_files,27,file,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b578be96749942d94bf5dd8fa9311187a68fb5fa82477738c832cec95bd44619.pdf,103006506,98.23 MiB,103010304,98.24 MiB,,.pdf,original_sources
largest_files,28,file,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/524828664059c8c121a5d7179d1da9d086d8e90390a436a1d4355bb2bde88eca.pdf,99457044,94.85 MiB,99459072,94.85 MiB,,.pdf,original_sources
largest_files,29,file,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/0a54d000fa9366565d6880598d59ce64214edca8e0ab6da4ee646ea6796a5ebf.pdf,93780997,89.44 MiB,93782016,89.44 MiB,,.pdf,original_sources
largest_files,30,file,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-SPAN-RATING-AND-DASHBOARD-CLEANUP-2026-07-30/merged_span_ratings_valid.jsonl,93427898,89.10 MiB,93429760,89.10 MiB,,.jsonl,docs_analysis_other
largest_files,31,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_002/evidence_spans.jsonl.gz,91534807,87.29 MiB,91537408,87.30 MiB,,.gz,raw_spans
largest_files,32,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes/field_span_lane_004/evidence_spans.jsonl.gz,90360465,86.17 MiB,90361856,86.18 MiB,,.gz,raw_spans
largest_files,33,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_004/raw_fields.jsonl.gz,89855153,85.69 MiB,89858048,85.70 MiB,,.gz,raw_fields
largest_files,34,file,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/59127ae8514cd9ed9130980db226794abb804808f2fd4459ec7667bfa32f890c.pdf,89810120,85.65 MiB,89812992,85.65 MiB,,.pdf,original_sources
largest_files,35,file,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs/classification_lane_003/raw_fields.jsonl.gz,88787234,84.67 MiB,88788992,84.68 MiB,,.gz,raw_fields
largest_files,36,file,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a32674d404dc6a7db2f13b674d42a86a63a1e0beb81c05a08cf006b8804ab9c7.pdf,88298380,84.21 MiB,88301568,84.21 MiB,,.pdf,original_sources
largest_files,37,file,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/649f0efa2fd2890ecbaff0d341853598a01b26e317598a2b8edd6f19d33cd934.pdf,88210965,84.12 MiB,88211456,84.12 MiB,,.pdf,original_sources
largest_files,38,file,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/280f6ec2157881000e0bb1048d9e3317223658c885214bad0c9f1f14f0b97ebf.pdf,88175667,84.09 MiB,88178688,84.09 MiB,,.pdf,original_sources
