size_rank_within_published_directories,relative_path,logical_bytes,logical_human,allocated_entry_bytes,allocated_entry_human,descendant_file_count,descendant_directory_count,inclusion_reason,snapshot_generated_at
18,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04,10113702715,9.42 GiB,10121949184,9.43 GiB,3279,16,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
19,tmp,9884928139,9.21 GiB,9928151040,9.25 GiB,14987,1262,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
20,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30,6557753939,6.11 GiB,6565273600,6.11 GiB,3672,4,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
21,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers,4734648763,4.41 GiB,4739010560,4.41 GiB,757,69,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
22,tmp/source_review_pilots,4524452506,4.21 GiB,4536561664,4.23 GiB,4717,96,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
23,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers,3691294558,3.44 GiB,3547672576,3.30 GiB,586,49,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
24,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/02_MERGED-EXTERNAL-CANDIDATE-REVIEW,3636803118,3.39 GiB,3637530624,3.39 GiB,318,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
25,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003,3468275354,3.23 GiB,3470671872,3.23 GiB,1183,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
26,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_003,3468275354,3.23 GiB,3470671872,3.23 GiB,1183,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
27,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02,3265531012,3.04 GiB,3271450624,3.05 GiB,2865,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
28,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004,3256717193,3.03 GiB,3259260928,3.04 GiB,1230,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
29,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_004,3256717193,3.03 GiB,3259265024,3.04 GiB,1230,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
30,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001,3211332961,2.99 GiB,3213840384,2.99 GiB,1283,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
31,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_001,3211332961,2.99 GiB,3213840384,2.99 GiB,1283,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
32,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24,3196733637,2.98 GiB,3204468736,2.98 GiB,3051,24,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
33,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations,2761942602,2.57 GiB,2763915264,2.57 GiB,355,33,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
34,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes,2685021497,2.50 GiB,2686595072,2.50 GiB,741,65,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
35,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002,2539624263,2.37 GiB,2542153728,2.37 GiB,1265,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
36,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002,2539624263,2.37 GiB,2542153728,2.37 GiB,1265,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
37,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html,2310038403,2.15 GiB,2328358912,2.17 GiB,8947,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
38,tmp/broad_state_whole_corpus_available_external_data_non_ocr_extraction_2026-08-05_logs,2087039254,1.94 GiB,2087096320,1.94 GiB,25,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
39,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003,1766585622,1.65 GiB,1768480768,1.65 GiB,920,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
40,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004,1740094131,1.62 GiB,1741975552,1.62 GiB,914,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
41,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/04_EXTERNAL-DATA-SOURCE-REVIEW-DOWNLOAD,1619921706,1.51 GiB,1620705280,1.51 GiB,343,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
42,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001,1567187135,1.46 GiB,1569099776,1.46 GiB,923,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
43,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/indexes,1488052224,1.39 GiB,1490812928,1.39 GiB,6,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
44,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002,1483887051,1.38 GiB,1485717504,1.38 GiB,915,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
45,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/06_EXTERNAL-DATA-EXTRACTION,1358189240,1.26 GiB,1359331328,1.27 GiB,491,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
46,artifacts/local_extracted_text,1312030768,1.22 GiB,1441685504,1.34 GiB,51977,533,mandatory_root|at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
47,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/indexes,1259741184,1.17 GiB,1271443456,1.18 GiB,6,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
48,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/03_EXTERNAL-DATA-VERIFICATION,1179171146,1.10 GiB,1180090368,1.10 GiB,410,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
49,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/01_RESIDUAL-HOSTED-SEARCH-SCOUT,1115336734,1.04 GiB,1115717632,1.04 GiB,146,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
50,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1,1111127453,1.03 GiB,1113632768,1.04 GiB,995,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
51,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts,1110067306,1.03 GiB,1112563712,1.04 GiB,992,2,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
52,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content,1109526689,1.03 GiB,1110515712,1.03 GiB,492,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
53,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27,1087145671,1.01 GiB,1088274432,1.01 GiB,507,1,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
54,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources,1083844645,1.01 GiB,1084841984,1.01 GiB,463,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
55,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1,1050943802,1002.26 MiB,1053470720,1004.67 MiB,997,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
56,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts,1049880674,1001.24 MiB,1052397568,1003.64 MiB,994,2,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
57,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content,1049339398,1000.73 MiB,1050349568,1001.69 MiB,494,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
58,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1,1032357115,984.53 MiB,1034883072,986.94 MiB,997,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
59,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts,1031290563,983.52 MiB,1033809920,985.92 MiB,994,2,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
60,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content,1030748002,983.00 MiB,1031761920,983.96 MiB,494,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
61,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction,1014354770,967.36 MiB,1014407168,967.41 MiB,27,20,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
62,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/field_span_extraction/lanes,1013462690,966.51 MiB,1013514240,966.56 MiB,25,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
63,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24,1011251823,964.40 MiB,1013940224,966.97 MiB,1059,19,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
64,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26,980738592,935.31 MiB,981647360,936.17 MiB,421,1,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
65,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources,978700187,933.36 MiB,979513344,934.14 MiB,387,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
66,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/raw_inputs,966765938,921.98 MiB,966782976,922.00 MiB,10,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
67,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/quarantine,926519248,883.60 MiB,769994752,734.32 MiB,13,4,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
68,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/quarantine/unaccepted_prepare_attempt_20260806T002802Z,926519248,883.60 MiB,769994752,734.32 MiB,13,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
69,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes,873257326,832.80 MiB,874434560,833.93 MiB,557,40,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
70,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers,872765884,832.33 MiB,873345024,832.89 MiB,192,48,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
71,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004,794025369,757.24 MiB,795168768,758.33 MiB,572,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
72,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04,732465178,698.53 MiB,732925952,698.97 MiB,173,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
73,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001,713161203,680.12 MiB,714366976,681.27 MiB,575,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
74,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/lanes,703137262,670.56 MiB,703270912,670.69 MiB,55,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
75,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04,657496108,627.04 MiB,767086592,731.55 MiB,42429,516,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
76,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003,626671471,597.64 MiB,627847168,598.76 MiB,577,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
77,.claude,622331943,593.50 MiB,624373760,595.45 MiB,938,99,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
78,.claude/worktrees,622329676,593.50 MiB,624369664,595.45 MiB,937,98,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
79,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/05_EXTERNAL-DATA-READINESS,614288247,585.83 MiB,614825984,586.34 MiB,207,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
80,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005,598238839,570.53 MiB,599412736,571.64 MiB,569,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
81,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/lanes,553728611,528.08 MiB,554106880,528.44 MiB,185,40,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
82,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_004,537215292,512.33 MiB,537550848,512.65 MiB,149,12,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
83,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_003,537020348,512.14 MiB,537325568,512.43 MiB,148,12,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
84,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_005,536989215,512.11 MiB,537317376,512.43 MiB,148,12,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
85,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_002,536911925,512.04 MiB,537214976,512.33 MiB,148,12,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
86,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/lanes/reconciliation_lane_001,536884717,512.01 MiB,537186304,512.30 MiB,148,12,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
87,.venv,535680218,510.86 MiB,593960960,566.45 MiB,23798,2885,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
88,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1,534930277,510.15 MiB,536186880,511.35 MiB,500,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
89,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts,534391440,509.64 MiB,535642112,510.83 MiB,497,2,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
90,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content,534120629,509.38 MiB,534618112,509.85 MiB,247,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
91,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002,533434130,508.72 MiB,534654976,509.89 MiB,572,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
92,.venv/lib,530755706,506.17 MiB,588910592,561.63 MiB,23760,2873,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
93,.venv/lib/python3.11,530755706,506.17 MiB,588910592,561.63 MiB,23760,2872,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
94,.venv/lib/python3.11/site-packages,530755706,506.17 MiB,588910592,561.63 MiB,23760,2871,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
95,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SIDE-RELEVANCE-RECONCILIATION-2026-08-03,530203547,505.64 MiB,530452480,505.88 MiB,95,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
96,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1,475478376,453.45 MiB,476758016,454.67 MiB,501,3,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
97,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts,474934830,452.93 MiB,476209152,454.15 MiB,498,2,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
98,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content,474662404,452.67 MiB,475185152,453.17 MiB,248,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
99,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/07_EXTERNAL-DATA-FIELD-SPAN-EXTRACTION,472655943,450.76 MiB,473198592,451.28 MiB,203,1,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
100,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-SPAN-RATING-AND-DASHBOARD-CLEANUP-2026-07-30,431784555,411.78 MiB,432009216,412.00 MiB,81,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
101,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EVIDENCE-CORRECTION-IMPLEMENTATION-EVENT-RECODING-AND-VISUAL-PREP-2026-08-04,407874726,388.98 MiB,408182784,389.27 MiB,103,1,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
102,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/locked_spans,402842055,384.18 MiB,402849792,384.19 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
103,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/quarantine/unaccepted_prepare_attempt_20260806T002802Z/locked_spans,402842055,384.18 MiB,402849792,384.19 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
104,tmp/broad_state_whole_corpus_external_data_exhaustive_pipeline_2026-08-04_logs,394310326,376.04 MiB,394489856,376.21 MiB,63,37,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
105,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-SPAN-EXTRACTION-2026-07-30,388133008,370.15 MiB,388358144,370.37 MiB,91,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
106,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01,372819592,355.55 MiB,803180544,765.97 MiB,131162,37453,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
107,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-RATING-SPAN-SYNTHESIS-AND-CLAIM-READINESS-2026-08-03,372546262,355.29 MiB,372785152,355.52 MiB,97,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
108,artifacts/local_extracted_text/combined_broad_text_extraction_4051_2026-07-28,369061301,351.96 MiB,377495552,360.01 MiB,4050,4,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
109,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf,368185674,351.13 MiB,413044736,393.91 MiB,16272,256,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
110,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-BLOCKER-RESCUE-ANALYSIS-READY-RECLASSIFICATION-2026-08-03,354816954,338.38 MiB,355094528,338.64 MiB,107,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
111,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/indexes,341258240,325.45 MiB,342298624,326.44 MiB,3,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
112,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24,316467046,301.81 MiB,318152704,303.41 MiB,607,50,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
113,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/normalized_matched_external_layers/indexes,314351616,299.79 MiB,314531840,299.96 MiB,1,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
114,.claude/worktrees/remote-diagnosis,313655164,299.12 MiB,314683392,300.11 MiB,476,46,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
115,.claude/worktrees/tx-oh-expansion-recovery,308674512,294.37 MiB,309686272,295.34 MiB,461,50,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
116,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/reconciled_external_layers/locked_queue,305098168,290.96 MiB,305111040,290.98 MiB,5,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
117,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/quarantine/unaccepted_prepare_attempt_20260806T002802Z/indexes,294742448,281.09 MiB,301330432,287.37 MiB,3,0,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
118,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html,289309979,275.91 MiB,354029568,337.63 MiB,26154,256,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
119,docs/analysis/compensation_extraction/COMBINED-BROAD-EXACT-SPAN-RATING-17259-PARALLEL-LIVE-LANES-2026-07-28,286419092,273.15 MiB,286851072,273.56 MiB,154,5,at_least_100_MiB,2026-08-07T15:30:16.438726+00:00
