obs_id,doc_id,city_id,city_name,occupation_class,safety_flag,source_type,source_corpus,cycle_start,cycle_end,cycle_window,text_quality,score,comparability_emphasis,gabriel_notes,support_excerpts,excerpt_count,excerpts_submitted,excerpts_verified,excerpts_relevant,excerpts_flagged,excerpts_failed,excerpts_retry_attempted,excerpts_retry_recovered,flagged_quotes,flagged_pages,estimated_pages,match_tier,matched_non_safety_classes,matched_non_safety_obs_ids,exact_or_overlap_healthy,prompt_tokens,completion_tokens
ma_arlington_public_works_2021,ma_arlington_public_works_2021,ma_arlington,Arlington,public_works,0,cba,causal,2021-07-01,2024-06-30,2021-2024,ocr_messy,0,0,The provided text establishes bargaining purposes and enumerates covered positions but contains no explicit wage/compensation comparisons to peer employers or jurisdictions.,[],0,0,0,0,0,0,0,0,[],[],[],,,,0,1957,101
ma_newton_police_2015,ma_newton_police_2015,ma_newton,Newton,police,1,cba,causal,2015-07-01,2018-06-30,2015-2018,partial,6,6,"Text provides detailed internal wage amounts, stipends, and differentials but contains no explicit comparisons to other employers or jurisdictions for justification.",[],0,0,0,0,0,0,0,0,[],[],[],unmatched,,,0,28664,74
ma_georgetown_police_2020,ma_georgetown_police_2020,ma_georgetown,Georgetown,police,1,cba,causal,2020-07-01,2023-06-30,2020-2023,clean,0,0,"Text contains wage amounts and differentials, but no explicit comparisons to other employers or jurisdictions to justify rates.",[],0,0,0,0,0,0,0,0,[],[],[],exact_cycle,other,ma_georgetown_other_2020,1,8015,98
ma_georgetown_other_2020,ma_georgetown_other_2020,ma_georgetown,Georgetown,other,0,cba,causal,2020-07-01,2023-06-30,2020-2023,clean,5,5,"Text sets internal pay rates, stipends, and overtime/benefits without explicit wage or compensation comparisons to other employers or jurisdictions.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,10112,99
ma_seekonk_police_2022,ma_seekonk_police_2022,ma_seekonk,Seekonk,police,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,5,5,"The agreement sets detailed wages and benefits but contains no explicit comparisons to other employers, jurisdictions, or peer labor markets to justify pay levels.",[],0,0,0,0,0,0,0,0,[],[],[],overlap_cycle,clerical_admin;library;public_works;teacher,ma_seekonk_clerical_admin_2021;ma_seekonk_teacher_2021;ma_seekonk_public_works_2023;ma_seekonk_library_2023,1,18009,74
ma_seekonk_fire_2022,ma_seekonk_fire_2022,ma_seekonk,Seekonk,fire,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,5,5,"The agreement lists wage rates, stipends, and increases but contains no explicit comparisons of pay/benefits to other communities or employers.",[],0,0,0,0,0,0,0,0,[],[],[],overlap_cycle,clerical_admin;library;public_works;teacher,ma_seekonk_clerical_admin_2021;ma_seekonk_teacher_2021;ma_seekonk_public_works_2023;ma_seekonk_library_2023,1,20529,96
ma_seekonk_clerical_admin_2021,ma_seekonk_clerical_admin_2021,ma_seekonk,Seekonk,clerical_admin,0,cba,causal,2021-07-01,2024-06-30,2021-2024,ocr_messy,0,0,"Text sets wages, steps, and fixed dollar amounts without any explicit comparisons to peer communities or other employers’ compensation.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,10030,119
ma_seekonk_teacher_2021,ma_seekonk_teacher_2021,ma_seekonk,Seekonk,teacher,0,cba,causal,2021-09-01,2024-08-31,2021-2024,clean,5,5,The agreement specifies local salary schedules and monetary rates but contains no explicit wage/compensation comparisons to peer communities or employers.,[],0,0,0,0,0,0,0,0,[],[],[],,,,0,30241,67
ma_seekonk_public_works_2023,ma_seekonk_public_works_2023,ma_seekonk,Seekonk,public_works,0,cba,causal,2023-07-01,2026-06-30,2023-2026,clean,0,0,"The agreement sets wages, bonuses, and stipends via fixed percentages and internal schedules without any explicit peer-jurisdiction compensation comparisons.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,9587,86
ma_seekonk_library_2023,ma_seekonk_library_2023,ma_seekonk,Seekonk,library,0,cba,causal,2023-07-01,2026-06-30,2023-2026,clean,8,8,"The agreement sets wage schedules, increases, and benefit percentages internally, with no explicit peer-jurisdiction or comparator-employer compensation comparisons justifying terms.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,9976,79
ma_franklin_fire_2022,ma_franklin_fire_2022,ma_franklin,Franklin,fire,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,0,0,"The agreement sets wages, stipends, and differentials internally (salary schedules, COLA, percentages) without any explicit comparison to peer employers or jurisdictions.",[],0,0,0,0,0,0,0,0,[],[],[],exact_cycle,library;other;public_works,ma_franklin_public_works_2022;ma_franklin_library_2022;ma_franklin_other_2022,1,20269,84
ma_franklin_police_2022,ma_franklin_police_2022,ma_franklin,Franklin,police,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,5,5,Wage and stipend terms are set internally via appendices and fixed schedules without any explicit comparisons to other employers or jurisdictions.,[],0,0,0,0,0,0,0,0,[],[],[],exact_cycle,library;other;public_works,ma_franklin_public_works_2022;ma_franklin_library_2022;ma_franklin_other_2022,1,27273,79
ma_franklin_police_sergeants_2022,ma_franklin_police_sergeants_2022,ma_franklin,Franklin,police,1,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,5,5,"Text sets specific wages and stipends but contains no explicit comparisons to other employers, communities, or jurisdictions to justify compensation levels.",[],0,0,0,0,0,0,0,0,[],[],[],exact_cycle,library;other;public_works,ma_franklin_public_works_2022;ma_franklin_library_2022;ma_franklin_other_2022,1,25906,77
ma_franklin_public_works_2022,ma_franklin_public_works_2022,ma_franklin,Franklin,public_works,0,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,10,10,"Text sets wages and differentials internally and references Massachusetts minimum wage, but contains no peer-jurisdiction pay comparison to justify specific wage terms.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,19874,159
ma_franklin_library_2022,ma_franklin_library_2022,ma_franklin,Franklin,library,0,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,0,0,"Text sets wages via internal salary schedule, step increases, and COLA, without any explicit comparisons to peer jurisdictions or employers.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,12301,69
ma_franklin_other_2022,ma_franklin_other_2022,ma_franklin,Franklin,other,0,cba,causal,2022-07-01,2025-06-30,2022-2025,clean,10,10,"Text sets wages via internal schedules, COLAs, and Massachusetts minimum-wage compliance, with no explicit peer-jurisdiction wage/comp comparisons to justify rates.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,12608,112
ma_wayland_police_2020,ma_wayland_police_2020,ma_wayland,Wayland,police,1,cba,causal,2020-07-01,2023-06-30,2020-2023,ocr_messy,5,5,"Text contains wage/stipend amounts and internal schedules, but no explicit comparisons to other jurisdictions or peer employers for wage justification.",[],0,0,0,0,0,0,0,0,[],[],[],exact_cycle,library;public_works,ma_wayland_public_works_2020;ma_wayland_library_2020,1,21103,96
ma_wayland_fire_2020,ma_wayland_fire_2020,ma_wayland,Wayland,fire,1,cba,causal,2020-07-01,2023-06-30,2020-2023,ocr_messy,10,10,The text sets specific pay/stipend amounts but uses no explicit wage or compensation comparisons to other employers or jurisdictions for justification.,[],0,0,0,0,0,0,0,0,[],[],[],exact_cycle,library;public_works,ma_wayland_public_works_2020;ma_wayland_library_2020,1,18373,120
ma_wayland_other_2021,ma_wayland_other_2021,ma_wayland,Wayland,other,0,cba,causal,2021-07-01,2023-06-30,2021-2023,ocr_messy,10,10,"The agreement sets specific wages and stipends but relies almost entirely on internal schedules/studies, with no explicit peer-jurisdiction wage comparisons to justify terms.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,27431,108
ma_wayland_public_works_2020,ma_wayland_public_works_2020,ma_wayland,Wayland,public_works,0,cba,causal,2020-07-01,2023-06-30,2020-2023,ocr_messy,5,5,The agreement sets wages and stipends via internal step/base-rate schedules without any explicit comparisons to other employers or jurisdictions.,[],0,0,0,0,0,0,0,0,[],[],[],,,,0,20245,75
ma_wayland_library_2020,ma_wayland_library_2020,ma_wayland,Wayland,library,0,cba,causal,2020-07-01,2023-06-30,2020-2023,ocr_messy,5,5,"Text sets wages and other compensation via fixed percentages, internal step ranges, and internal agreements, with no explicit peer/employer wage comparisons.",[],0,0,0,0,0,0,0,0,[],[],[],,,,0,14890,97
ma_wayland_fire_jlmc_2020,ma_wayland_fire_jlmc_2020,ma_wayland,Wayland,fire,1,arbitration_award,causal,2020-07-01,2023-06-30,2020-2023,clean,0,0,"The award specifies wage increases and specific pay rates but provides no explicit comparisons to other employers, communities, or jurisdictions.",[],0,0,0,0,0,0,0,0,[],[],[],exact_cycle,library;public_works,ma_wayland_public_works_2020;ma_wayland_library_2020,1,1770,88
