extraction_id,search_id,city,state,source_title,source_url,source_owner,document_type_guess,source_corpus_recommendation,unit_or_occupation_guess,occupation_class_guess,safety_flag_guess,cycle_or_document_date,attribute,attribute_signal,score_or_level,short_verbatim_excerpt,named_comparator_cities,impasse_process_terms,wage_terms,evidence_relevance,extraction_confidence,ingestion_recommendation,notes
gws_ext_011,gws_somerville_002,Somerville,MA,Somerville Police Employees Association CBA and award packet,https://cdn.muckrock.com/foia_files/2020/08/27/SPEA_CBA_July_1_2004_-_June_30_2015.pdf,MuckRock public FOIA release,arbitration_award,causal,police employees,police,1,2012-2015,arbitration_or_impasse_backstop,high,high,MA G.L. c. 1078 (JLMC),,JLMC; arbitration award,FY13; FY14; FY15,direct,high,skip,Known v9/v10 calibration source already in causal corpus.
gws_ext_012,gws_somerville_002,Somerville,MA,Somerville Police Employees Association CBA and award packet,https://cdn.muckrock.com/foia_files/2020/08/27/SPEA_CBA_July_1_2004_-_June_30_2015.pdf,MuckRock public FOIA release,arbitration_award,causal,police employees,police,1,2012-2015,comparability_emphasis,high,high,MA G.L. c. 1078 (JLMC),,JLMC; arbitration award,wages and benefits,direct,high,skip,Known high-comparability safety award family from v9.
gws_ext_013,gws_somerville_002,Somerville,MA,Somerville Police Employees Association CBA and award packet,https://cdn.muckrock.com/foia_files/2020/08/27/SPEA_CBA_July_1_2004_-_June_30_2015.pdf,MuckRock public FOIA release,arbitration_award,causal,police employees,police,1,2012-2015,source_ingestability,high,already_in_corpus,MA G.L. c. 1078 (JLMC),,JLMC; arbitration award,,direct,high,skip,Already in data/contracts.csv; no action in this pilot.
gws_ext_014,gws_somerville_003,Somerville,MA,SEU Press Release Contract Ratification,https://drive.google.com/uc?id=1o4iiXs0F3cWqqfG6bnk_tdKGgE9B9JuI&export=download,Somerville Educators Union,bargaining_update,mechanism_proxy,educators and paraprofessionals,teacher,0,2025-07-14,wage_reasoning_density,high,high,SEU Press Release Contract Ratification,,,wage; contract ratification,direct,medium,add_to_mechanism_queue,Mechanism proxy with wage-rationale framing from known queue.
gws_ext_015,gws_somerville_003,Somerville,MA,SEU Press Release Contract Ratification,https://drive.google.com/uc?id=1o4iiXs0F3cWqqfG6bnk_tdKGgE9B9JuI&export=download,Somerville Educators Union,bargaining_update,mechanism_proxy,educators and paraprofessionals,teacher,0,2025-07-14,source_ingestability,medium,mechanism_proxy,SEU Press Release Contract Ratification,,,wage; contract ratification,context_only,medium,add_to_mechanism_queue,Not a final CBA award or factfinding report.
gws_ext_016,gws_newton_001,Newton,MA,Negotiations Update - Comparison of Packages,https://www.newteach.org/_files/ugd/68adaf_af3bb4926cdc415fb52aa005cbada744.pdf,Newton Teachers Association,bargaining_update,mechanism_proxy,educators,teacher,0,2024-01-30,wage_reasoning_density,high,high,Negotiations Update - Comparison of Packages,,,wage package,direct,medium,add_to_mechanism_queue,Compares union and school-committee packages rather than peer districts.
gws_ext_017,gws_newton_001,Newton,MA,Negotiations Update - Comparison of Packages,https://www.newteach.org/_files/ugd/68adaf_af3bb4926cdc415fb52aa005cbada744.pdf,Newton Teachers Association,bargaining_update,mechanism_proxy,educators,teacher,0,2024-01-30,comparability_emphasis,low,low,Negotiations Update - Comparison of Packages,,,wage package,indirect,medium,add_to_mechanism_queue,Package comparison is not the same as peer-jurisdiction comparability.
gws_ext_018,gws_newton_001,Newton,MA,Negotiations Update - Comparison of Packages,https://www.newteach.org/_files/ugd/68adaf_af3bb4926cdc415fb52aa005cbada744.pdf,Newton Teachers Association,bargaining_update,mechanism_proxy,educators,teacher,0,2024-01-30,source_ingestability,medium,mechanism_proxy,Negotiations Update - Comparison of Packages,,,wage package,context_only,medium,add_to_mechanism_queue,Mechanism-proxy lead not a causal CBA.
gws_ext_019,gws_newton_002,Newton,MA,NPS Package Proposal for Mediation Cover Sheet,https://www.newteach.org/_files/ugd/68adaf_83e95a049645432296846586288eaa39.pdf,Newton Public Schools and School Committee,proposal,mechanism_proxy,educators,teacher,0,2024-01-30,arbitration_or_impasse_backstop,medium,medium,NPS Package Proposal for Mediation Cover Sheet,,mediation,wage package,direct,medium,add_to_mechanism_queue,Mediation signal but not a final impasse award.
gws_ext_020,gws_newton_002,Newton,MA,NPS Package Proposal for Mediation Cover Sheet,https://www.newteach.org/_files/ugd/68adaf_83e95a049645432296846586288eaa39.pdf,Newton Public Schools and School Committee,proposal,mechanism_proxy,educators,teacher,0,2024-01-30,wage_reasoning_density,high,high,NPS Package Proposal for Mediation Cover Sheet,,mediation,wage package,direct,medium,add_to_mechanism_queue,Public mediation proposal with wage terms.
gws_ext_021,gws_newton_002,Newton,MA,NPS Package Proposal for Mediation Cover Sheet,https://www.newteach.org/_files/ugd/68adaf_83e95a049645432296846586288eaa39.pdf,Newton Public Schools and School Committee,proposal,mechanism_proxy,educators,teacher,0,2024-01-30,source_ingestability,medium,mechanism_proxy,NPS Package Proposal for Mediation Cover Sheet,,mediation,wage package,context_only,medium,add_to_mechanism_queue,Mechanism-proxy proposal not a final causal row.
gws_ext_022,gws_newton_003,Newton,MA,Memorandum of Agreement Between NTA and NPS School Committee,https://www.newteach.org/_files/ugd/68adaf_eb39b3f966644745bea13e7fbd4c04a9.pdf,Newton Teachers Association and Newton School Committee,moa,causal,educators,teacher,0,2024-02-02,source_ingestability,medium,manual_review,Memorandum of Agreement Between NTA and NPS School Committee,,,MOA,context_only,medium,stage_for_manual_review,Potential future causal candidate but unit scope needs manual verification.
gws_ext_023,gws_wayland_001,Wayland,MA,2020-2023 Fire - JLMC Stipulated Award,https://www.wayland.ma.us/DocumentCenter/View/4570/2020-2023-Fire---JLMC-Stipulated-Award,Town of Wayland,stipulated_award,causal,firefighters,fire,1,2020-2023,arbitration_or_impasse_backstop,high,high,Commonwealth of Massachusetts JLMC docket JLM-21-8988 stipulated award,,JLMC; stipulated award,wage settlement,direct,high,skip,Known v10 positive calibration source already in corpus.
gws_ext_024,gws_wayland_001,Wayland,MA,2020-2023 Fire - JLMC Stipulated Award,https://www.wayland.ma.us/DocumentCenter/View/4570/2020-2023-Fire---JLMC-Stipulated-Award,Town of Wayland,stipulated_award,causal,firefighters,fire,1,2020-2023,wage_reasoning_density,medium,medium,Commonwealth of Massachusetts JLMC docket JLM-21-8988 stipulated award,,JLMC; stipulated award,wage settlement,direct,medium,skip,Shows formal settlement process but not a rich peer-comparator narrative in this seed.
gws_ext_025,gws_wayland_001,Wayland,MA,2020-2023 Fire - JLMC Stipulated Award,https://www.wayland.ma.us/DocumentCenter/View/4570/2020-2023-Fire---JLMC-Stipulated-Award,Town of Wayland,stipulated_award,causal,firefighters,fire,1,2020-2023,source_ingestability,high,already_in_corpus,Commonwealth of Massachusetts JLMC docket JLM-21-8988 stipulated award,,JLMC; stipulated award,,direct,high,skip,Already in data/contracts.csv; no action in this pilot.
gws_ext_026,gws_wayland_002,Wayland,MA,2020-2023 Police CBA,https://www.wayland.ma.us/DocumentCenter/View/4561/2020-2023-Police-CBA,Town of Wayland,cba,causal,police,police,1,2020-2023,source_ingestability,high,already_in_corpus,2020-2023 Police CBA,,,,context_only,high,skip,Official CBA already in corpus.
gws_ext_027,gws_wayland_003,Wayland,MA,2020-2023 DPW CBA,https://www.wayland.ma.us/DocumentCenter/View/4558/2020-2023-DPW-CBA,Town of Wayland,cba,causal,DPW employees,public_works,0,2020-2023,arbitration_or_impasse_backstop,none,0,2020-2023 DPW CBA,,,,irrelevant,medium,skip,Ordinary CBA row retained as grievance-arbitration exclusion example.
gws_ext_028,gws_wayland_003,Wayland,MA,2020-2023 DPW CBA,https://www.wayland.ma.us/DocumentCenter/View/4558/2020-2023-DPW-CBA,Town of Wayland,cba,causal,DPW employees,public_works,0,2020-2023,source_ingestability,high,already_in_corpus,2020-2023 DPW CBA,,,,context_only,high,skip,Official CBA already in corpus.
gws_ext_029,gws_seekonk_001,Seekonk,MA,Seekonk Police FOP Local 215 CBA 2022-2025,https://www.seekonk-ma.gov/Archive.aspx?ADID=282,Town of Seekonk,cba,causal,police,police,1,2022-2025,source_ingestability,high,already_in_corpus,collective bargaining agreement between Town of Seekonk and FOP Mass C.O.P. Local #215,,,,direct,high,skip,Official CBA already in corpus.
gws_ext_030,gws_seekonk_001,Seekonk,MA,Seekonk Police FOP Local 215 CBA 2022-2025,https://www.seekonk-ma.gov/Archive.aspx?ADID=282,Town of Seekonk,cba,causal,police,police,1,2022-2025,arbitration_or_impasse_backstop,low,low,collective bargaining agreement between Town of Seekonk and FOP Mass C.O.P. Local #215,,MA G.L. c. 1078,,context_only,medium,skip,Statutory lane is present in metadata but no seeded evidence of an award or impasse settlement.
gws_ext_031,gws_seekonk_002,Seekonk,MA,Seekonk DPW AFSCME Local 1701 CBA 2023-2026,https://www.seekonk-ma.gov/Archive.aspx?ADID=727,Town of Seekonk,cba,causal,public works,public_works,0,2023-2026,arbitration_or_impasse_backstop,none,0,Final binding arbitration will prevail on grievances only,,,grievances,irrelevant,high,skip,Grievance arbitration should remain near zero for v10.
gws_ext_032,gws_seekonk_002,Seekonk,MA,Seekonk DPW AFSCME Local 1701 CBA 2023-2026,https://www.seekonk-ma.gov/Archive.aspx?ADID=727,Town of Seekonk,cba,causal,public works,public_works,0,2023-2026,source_ingestability,high,already_in_corpus,Final binding arbitration will prevail on grievances only,,,,direct,high,skip,Official CBA already in corpus.
gws_ext_033,gws_seekonk_003,Seekonk,MA,Seekonk Educators Association CBA 2021-2024,https://www.seekonk-ma.gov/Archive.aspx?ADID=260,Town of Seekonk,cba,causal,teachers,teacher,0,2021-2024,source_ingestability,high,already_in_corpus,agreement between School Committee of the Town of Seekonk and Seekonk Educators Association,,,,direct,high,skip,Official CBA already in corpus.
gws_ext_034,gws_seekonk_003,Seekonk,MA,Seekonk Educators Association CBA 2021-2024,https://www.seekonk-ma.gov/Archive.aspx?ADID=260,Town of Seekonk,cba,causal,teachers,teacher,0,2021-2024,wage_reasoning_density,low,low,agreement between School Committee of the Town of Seekonk and Seekonk Educators Association,,,salary schedule,context_only,medium,skip,Ordinary CBA likely lists terms with little wage reasoning.
