raw_row_number,raw_target_id,classification,prior_compacted_target_id,raw_resolution,terminal_without_search
47,EXTTARGET-82694dda3d6ce9f5a76edb62,residual,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,linked_to_compacted_live_target,
48,EXTTARGET-598c98298df0bed92198f739,residual,EXTSEARCH-ed1e2fefaf60f8c5b6d69f46,linked_to_compacted_live_target,
49,EXTTARGET-254d6c06deb0d0d954da46a8,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
50,EXTTARGET-7ba30e7393b67b21b0e73f50,residual,EXTSEARCH-c97d8fd862124d4723bc54ee,linked_to_compacted_live_target,
51,EXTTARGET-589bdd58143e307c030caae9,residual,EXTSEARCH-c97d8fd862124d4723bc54ee,linked_to_compacted_live_target,
52,EXTTARGET-4abfa9125bad38cd93d15a63,canonical_primary_representative,EXTSEARCH-c97d8fd862124d4723bc54ee,linked_to_compacted_live_target,prior_wave_primary_representative
53,EXTTARGET-a1a33ef0f819c147a7176dd5,residual,EXTSEARCH-c97d8fd862124d4723bc54ee,linked_to_compacted_live_target,
54,EXTTARGET-67e94bacdd76f32340f17c25,residual,EXTSEARCH-c97d8fd862124d4723bc54ee,linked_to_compacted_live_target,
55,EXTTARGET-70efb92e981f5b8b092a00ce,residual,EXTSEARCH-c97d8fd862124d4723bc54ee,linked_to_compacted_live_target,
56,EXTTARGET-4580a1183cd7af33e9f52b06,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
57,EXTTARGET-99a27d59faba62e2a291f353,residual,EXTSEARCH-b866271979411a3a4a7389f6,linked_to_compacted_live_target,
58,EXTTARGET-c9323eaa564e2124c202c6cf,residual,EXTSEARCH-b866271979411a3a4a7389f6,linked_to_compacted_live_target,
59,EXTTARGET-89bba986fc0a41b5dcb4ae49,residual,EXTSEARCH-b866271979411a3a4a7389f6,linked_to_compacted_live_target,
60,EXTTARGET-e937b8d9b13c62420e3c51f8,residual,EXTSEARCH-b866271979411a3a4a7389f6,linked_to_compacted_live_target,
61,EXTTARGET-70933fd69bfcbf85aa784b13,canonical_primary_representative,EXTSEARCH-b866271979411a3a4a7389f6,linked_to_compacted_live_target,prior_wave_primary_representative
62,EXTTARGET-ea91c1bd9b4d8e54295c4f3a,residual,EXTSEARCH-b866271979411a3a4a7389f6,linked_to_compacted_live_target,
63,EXTTARGET-308cb794d3000d439675a343,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
64,EXTTARGET-be0b67a27006a4050f39e53f,residual,EXTSEARCH-61c3a015d2296b0e0782b2ba,linked_to_compacted_live_target,
65,EXTTARGET-d7720d4764921f0a6ddc6f4c,residual,EXTSEARCH-61c3a015d2296b0e0782b2ba,linked_to_compacted_live_target,
66,EXTTARGET-5a780305e8198b962953000b,canonical_primary_representative,EXTSEARCH-61c3a015d2296b0e0782b2ba,linked_to_compacted_live_target,prior_wave_primary_representative
67,EXTTARGET-5b910828f7fa91135bad7e0b,residual,EXTSEARCH-61c3a015d2296b0e0782b2ba,linked_to_compacted_live_target,
68,EXTTARGET-8864c1a0210e34e916360c1e,residual,EXTSEARCH-61c3a015d2296b0e0782b2ba,linked_to_compacted_live_target,
69,EXTTARGET-a69716e533dd1e4e002a1f22,residual,EXTSEARCH-61c3a015d2296b0e0782b2ba,linked_to_compacted_live_target,
70,EXTTARGET-a88ee185c12852b5871bddbc,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
71,EXTTARGET-6ba24dbe0752b9a979db1d6c,residual,EXTSEARCH-e5cdbc9ca84736aad3207808,linked_to_compacted_live_target,
72,EXTTARGET-d2e2df1f52d12afaf358cc09,residual,EXTSEARCH-e5cdbc9ca84736aad3207808,linked_to_compacted_live_target,
73,EXTTARGET-b0e6f02370dc39d9f3a00c33,residual,EXTSEARCH-e5cdbc9ca84736aad3207808,linked_to_compacted_live_target,
74,EXTTARGET-08dd736f8cbc5eb8ede3b63d,canonical_primary_representative,EXTSEARCH-e5cdbc9ca84736aad3207808,linked_to_compacted_live_target,prior_wave_primary_representative
75,EXTTARGET-9b5fe68a458f9a4191d417d0,residual,EXTSEARCH-e5cdbc9ca84736aad3207808,linked_to_compacted_live_target,
76,EXTTARGET-185ae73dd6aa10e2cf0bc46d,residual,EXTSEARCH-e5cdbc9ca84736aad3207808,linked_to_compacted_live_target,
77,EXTTARGET-daeec61d44dd01223a4b4700,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
78,EXTTARGET-81753bfcfb9b8072a09289a1,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
79,EXTTARGET-25fd2e9628b42cc54c5734dd,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
80,EXTTARGET-b6229fabd9a8b88a238aa918,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
81,EXTTARGET-60374cc8b2f34662150b085c,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
82,EXTTARGET-f0d7434b2b42103487659be6,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
83,EXTTARGET-167b486fecff4b59f942ab70,canonical_primary_representative,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,prior_wave_primary_representative
84,EXTTARGET-eaeddf9d21ab6ad2caaa9a85,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
85,EXTTARGET-81753bfcfb9b8072a09289a1,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
86,EXTTARGET-25fd2e9628b42cc54c5734dd,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
87,EXTTARGET-b6229fabd9a8b88a238aa918,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
88,EXTTARGET-60374cc8b2f34662150b085c,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
89,EXTTARGET-f0d7434b2b42103487659be6,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
90,EXTTARGET-167b486fecff4b59f942ab70,residual,EXTSEARCH-4c8915e30033b420d1508640,linked_to_compacted_live_target,
91,EXTTARGET-eaeddf9d21ab6ad2caaa9a85,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
92,EXTTARGET-00db29d483ccbef1f52ac77c,canonical_primary_representative,EXTSEARCH-468e88096ed4ac6417df3d47,linked_to_compacted_live_target,prior_wave_primary_representative
93,EXTTARGET-25b94c12bc6371cb9db88f7c,residual,EXTSEARCH-468e88096ed4ac6417df3d47,linked_to_compacted_live_target,
94,EXTTARGET-434c3c03973c7901f0414a35,residual,EXTSEARCH-468e88096ed4ac6417df3d47,linked_to_compacted_live_target,
95,EXTTARGET-48ca51c2eeef8b0e1f7039e4,residual,EXTSEARCH-468e88096ed4ac6417df3d47,linked_to_compacted_live_target,
96,EXTTARGET-5dd464eb3d67a220dd32ca4e,residual,EXTSEARCH-468e88096ed4ac6417df3d47,linked_to_compacted_live_target,
97,EXTTARGET-4705a8f76dc99f322ca52001,residual,EXTSEARCH-468e88096ed4ac6417df3d47,linked_to_compacted_live_target,
98,EXTTARGET-c3d359ebeb16499045212cd1,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
99,EXTTARGET-1c82a4e5c45f54a904195466,canonical_primary_representative,EXTSEARCH-eae2b66079e8e14a98cdace8,linked_to_compacted_live_target,prior_wave_primary_representative
100,EXTTARGET-750ec50787b0ec311e0da925,residual,EXTSEARCH-eae2b66079e8e14a98cdace8,linked_to_compacted_live_target,
101,EXTTARGET-2ca0e24e3a9986736c6de942,residual,EXTSEARCH-eae2b66079e8e14a98cdace8,linked_to_compacted_live_target,
102,EXTTARGET-3994c4abf9379efa71f38c15,residual,EXTSEARCH-eae2b66079e8e14a98cdace8,linked_to_compacted_live_target,
103,EXTTARGET-98c978fb3379d51a8f2d5f76,residual,EXTSEARCH-eae2b66079e8e14a98cdace8,linked_to_compacted_live_target,
104,EXTTARGET-bece4064250ba754417022db,residual,EXTSEARCH-eae2b66079e8e14a98cdace8,linked_to_compacted_live_target,
105,EXTTARGET-94520a432bdcbec8fc5f0adc,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
106,EXTTARGET-710a3af7952d1dfa65c48643,residual,EXTSEARCH-ba2900c5ebd9c9df31865fd6,linked_to_compacted_live_target,
107,EXTTARGET-fab06b179719b447fc6a074d,residual,EXTSEARCH-ba2900c5ebd9c9df31865fd6,linked_to_compacted_live_target,
108,EXTTARGET-9ebd2c7b5b7b404feee7d387,residual,EXTSEARCH-ba2900c5ebd9c9df31865fd6,linked_to_compacted_live_target,
109,EXTTARGET-3009e7dbcafe84d7ea482065,canonical_primary_representative,EXTSEARCH-ba2900c5ebd9c9df31865fd6,linked_to_compacted_live_target,prior_wave_primary_representative
110,EXTTARGET-652c091761806d4e2bd5d5d2,residual,EXTSEARCH-ba2900c5ebd9c9df31865fd6,linked_to_compacted_live_target,
111,EXTTARGET-b3d5a71407edc290d8d91d97,residual,EXTSEARCH-ba2900c5ebd9c9df31865fd6,linked_to_compacted_live_target,
112,EXTTARGET-40a004068fe0acbf898be6a5,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
113,EXTTARGET-dd85998660d52ba905adb54d,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
114,EXTTARGET-081082aa0aa86b2012e814f1,canonical_primary_representative,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,prior_wave_primary_representative
115,EXTTARGET-9322ce290981e2d6c68c8ba7,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
116,EXTTARGET-e8d63c09c56a873de7eb2ed2,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
117,EXTTARGET-9f0d9cb2aca4b4f09deb9ef3,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
118,EXTTARGET-b98c7aee2a5eef01947e1469,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
119,EXTTARGET-55c6773a72174ca3f4fc3f88,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
120,EXTTARGET-dd85998660d52ba905adb54d,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
121,EXTTARGET-081082aa0aa86b2012e814f1,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
122,EXTTARGET-9322ce290981e2d6c68c8ba7,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
123,EXTTARGET-e8d63c09c56a873de7eb2ed2,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
124,EXTTARGET-9f0d9cb2aca4b4f09deb9ef3,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
125,EXTTARGET-b98c7aee2a5eef01947e1469,residual,EXTSEARCH-4da105770582a96dbdd1561d,linked_to_compacted_live_target,
126,EXTTARGET-55c6773a72174ca3f4fc3f88,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
127,EXTTARGET-bb7307bfa88a8717ea987872,residual,EXTSEARCH-8afd9e1173cf4b871067e7fa,linked_to_compacted_live_target,
128,EXTTARGET-6a6eb1f37fc636646aec25d2,residual,EXTSEARCH-8afd9e1173cf4b871067e7fa,linked_to_compacted_live_target,
129,EXTTARGET-252ec2fe4fb74de46d7b7aef,canonical_primary_representative,EXTSEARCH-8afd9e1173cf4b871067e7fa,linked_to_compacted_live_target,prior_wave_primary_representative
130,EXTTARGET-382833f391296e8a888c3eb8,residual,EXTSEARCH-8afd9e1173cf4b871067e7fa,linked_to_compacted_live_target,
131,EXTTARGET-c184ae775d514f05b33b6de4,residual,EXTSEARCH-8afd9e1173cf4b871067e7fa,linked_to_compacted_live_target,
132,EXTTARGET-a99c567402cd980c77ccb6d2,residual,EXTSEARCH-8afd9e1173cf4b871067e7fa,linked_to_compacted_live_target,
133,EXTTARGET-cc1ee7278925012fcde58be1,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
134,EXTTARGET-312694cd367dc1fc02772cab,canonical_primary_representative,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,prior_wave_primary_representative
135,EXTTARGET-7698e99c9ec847129d375093,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
136,EXTTARGET-4331cdcb5deceb609492843c,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
137,EXTTARGET-3eff332c07eec318bd151e40,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
138,EXTTARGET-63172ec2094cb95648fb854a,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
139,EXTTARGET-d1df13c315d893a952ce8469,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
140,EXTTARGET-868effea6cccfd12f97b8290,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
141,EXTTARGET-312694cd367dc1fc02772cab,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
142,EXTTARGET-7698e99c9ec847129d375093,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
143,EXTTARGET-4331cdcb5deceb609492843c,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
144,EXTTARGET-3eff332c07eec318bd151e40,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
145,EXTTARGET-63172ec2094cb95648fb854a,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
146,EXTTARGET-d1df13c315d893a952ce8469,residual,EXTSEARCH-4e2a5d47fbd44f8332540886,linked_to_compacted_live_target,
147,EXTTARGET-868effea6cccfd12f97b8290,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
148,EXTTARGET-6fe6cd47d6e47cf055135f76,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
149,EXTTARGET-f643d8ae35c4acf0c946386c,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
150,EXTTARGET-4e2776a110751df541353b79,canonical_primary_representative,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,prior_wave_primary_representative
151,EXTTARGET-5cc588145fc7cc3cfa211d14,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
152,EXTTARGET-d64dc8bde066529a0ebffb85,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
153,EXTTARGET-6c91d684111afcffa75b0ce7,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
154,EXTTARGET-b8a5cc12fb9d26f53677e1e4,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
155,EXTTARGET-6fe6cd47d6e47cf055135f76,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
156,EXTTARGET-f643d8ae35c4acf0c946386c,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
157,EXTTARGET-4e2776a110751df541353b79,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
158,EXTTARGET-5cc588145fc7cc3cfa211d14,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
159,EXTTARGET-d64dc8bde066529a0ebffb85,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
160,EXTTARGET-6c91d684111afcffa75b0ce7,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
161,EXTTARGET-b8a5cc12fb9d26f53677e1e4,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
162,EXTTARGET-6fe6cd47d6e47cf055135f76,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
163,EXTTARGET-f643d8ae35c4acf0c946386c,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
164,EXTTARGET-4e2776a110751df541353b79,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
165,EXTTARGET-5cc588145fc7cc3cfa211d14,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
166,EXTTARGET-d64dc8bde066529a0ebffb85,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
167,EXTTARGET-6c91d684111afcffa75b0ce7,residual,EXTSEARCH-48ff3dcc08032b55f42990a6,linked_to_compacted_live_target,
168,EXTTARGET-b8a5cc12fb9d26f53677e1e4,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
169,EXTTARGET-57f96071a4bc8b54f09b7d90,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
170,EXTTARGET-1e46100f578da1b4c7d7ffc3,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
171,EXTTARGET-31d8abe031cd8c5cf2985a20,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
172,EXTTARGET-08cd23549017a43ff8e68dbf,canonical_primary_representative,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,prior_wave_primary_representative
173,EXTTARGET-cb1d56a56af50d98b4d73fa7,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
174,EXTTARGET-b0ac5835a1baa19b35f5ff47,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
175,EXTTARGET-668e84d808b4b9808640db02,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
176,EXTTARGET-57f96071a4bc8b54f09b7d90,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
177,EXTTARGET-1e46100f578da1b4c7d7ffc3,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
178,EXTTARGET-31d8abe031cd8c5cf2985a20,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
179,EXTTARGET-08cd23549017a43ff8e68dbf,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
180,EXTTARGET-cb1d56a56af50d98b4d73fa7,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
181,EXTTARGET-b0ac5835a1baa19b35f5ff47,residual,EXTSEARCH-f8492d700e38e7aa84d6a7f6,linked_to_compacted_live_target,
182,EXTTARGET-668e84d808b4b9808640db02,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
183,EXTTARGET-af10c9053e84efcc57e44169,residual,EXTSEARCH-d7cb7d53ba7d92ac0f84fbae,linked_to_compacted_live_target,
184,EXTTARGET-3b603385ecb9dcf7aa7c8e72,canonical_primary_representative,EXTSEARCH-d7cb7d53ba7d92ac0f84fbae,linked_to_compacted_live_target,prior_wave_primary_representative
185,EXTTARGET-5c4b8a2b68440bfdd47ac201,residual,EXTSEARCH-d7cb7d53ba7d92ac0f84fbae,linked_to_compacted_live_target,
186,EXTTARGET-984aef9cd707533ef533d5a2,residual,EXTSEARCH-d7cb7d53ba7d92ac0f84fbae,linked_to_compacted_live_target,
187,EXTTARGET-cd1fa1a2d7b2350880f2fa41,residual,EXTSEARCH-d7cb7d53ba7d92ac0f84fbae,linked_to_compacted_live_target,
188,EXTTARGET-70bc5fa220312aab24e7eb8b,residual,EXTSEARCH-d7cb7d53ba7d92ac0f84fbae,linked_to_compacted_live_target,
189,EXTTARGET-40581b1c3c7417a7fc25377b,residual,,target_resolved_by_authoritative_bulk_join,resolved_by_authoritative_bulk_join
190,EXTTARGET-ebd39472d91ee5a68fe6857e,residual,EXTSEARCH-53db5416b5946180f2cbf1f2,linked_to_compacted_live_target,
191,EXTTARGET-547fe02771e88d711357ef98,residual,EXTSEARCH-53db5416b5946180f2cbf1f2,linked_to_compacted_live_target,
192,EXTTARGET-c04da605afe1381c8c44cef8,residual,EXTSEARCH-53db5416b5946180f2cbf1f2,linked_to_compacted_live_target,
193,EXTTARGET-1bc4c19cc5b99c122e7fbbe5,canonical_primary_representative,EXTSEARCH-53db5416b5946180f2cbf1f2,linked_to_compacted_live_target,prior_wave_primary_representative
194,EXTTARGET-b21717294a7d6f00968c40d8,residual,EXTSEARCH-53db5416b5946180f2cbf1f2,linked_to_compacted_live_target,
