absolute_difference,aggressive_tier,caveat,claim_links,computed_percentage,corroboration_status,direction,directional_value_retained,duplicate_representations,formula,magnitude,mechanism,municipality,non_safety_value,pay_basis,percentage_difference,period,ratio,raw_values,relaxation_rule,reported_percentage,reproduced,result_id,safety_value,semantic_outcome,side,source_basis,source_coordinates,source_count,source_ids,source_record_id,staffing_review_class,staffing_type,state,stored_percentage,strict_eligibility,unique_mechanism_events,unique_municipalities,unique_root_events,unique_sources,unit_type
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,,source_reported_direction_or_percentage,,step_schedule_progression,Gibson City,,,,->,,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-35a668dc98a9727a9172202d,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-bb9be34ff67ec3705f917d1b""}",1,,B4X2500GROWTHSRC-bb931c14114a8bcb9943,,,IL,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,39.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Augusta charter,,,,->,,"["""", """", ""39%""]",GROWTH-3,39.0,True,AGGRES-2c1c2d0a38930238a08e5375,,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e871a58ce0b2c17bcfba54f0""}",1,,B4X2500GROWTHSRC-25bb6582bf0f0061e0dc,,,MI,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,23.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Augusta charter,,,,->,,"["""", """", ""23%""]",GROWTH-3,23.0,True,AGGRES-52dfdaf8e5dd6f346bb76e01,,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-3014d7c4d244b9fac7a5e0d0""}",1,,B4X2500GROWTHSRC-35244792353c5005224b,,,MI,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,17.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Augusta charter,,,,->,,"["""", """", ""17%""]",GROWTH-3,17.0,True,AGGRES-f5472649019ef1754bd617ac,,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-2f1cc66679ff0a2017511e6e""}",1,,B4X2500GROWTHSRC-6dc7105dc69a4d673321,,,MI,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,,source_reported_direction_or_percentage,,COLA_CPI,Augusta charter,,,,->,,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-3edb7a80fd92fa8fef0eae65,,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e577314bfc1ea62ee78e92bd""}",1,,B4X2500GROWTHSRC-9e591bf8cf638fff0a6e,,,MI,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,5.5,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Union charter,,,,->,,"["""", """", ""5.5%""]",GROWTH-3,5.5,True,AGGRES-a907293e46f43d49fa1d4cfa,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-b90d2f614a4fd6f81ed4d334""}",1,,B4X2500GROWTHSRC-90a38e78155abf6685ae,,,MI,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wellsville,,,,->,,"["""", """", ""2%; 2%; 2%""]",GROWTH-3,2.0,True,AGGRES-75c891732e775bb173ab608b,,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-249f37f3084d6f5163a8b5f7""}",1,,B4X2500GROWTHSRC-bc2f7635da38a63f23a6,,,NY,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wellsville,,,,->,,"["""", """", ""2%; 2%""]",GROWTH-3,2.0,True,AGGRES-202df50279385265c5e39481,,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-835abb695d4d6d438c820909""}",1,,B4X2500GROWTHSRC-f0a2b490cb508e8bc650,,,NY,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,15.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Madison,,,,->,,"["""", """", ""15%""]",GROWTH-3,15.0,True,AGGRES-974754fca0f86d21e7c5eee2,,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-ee44a8f3910295c2330f5ada""}",1,,B4X2500GROWTHSRC-2d92605fecc00b9379a6,,,OH,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,,source_reported_direction_or_percentage,,COLA_CPI,Condon,,,,->,,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-aa322bd24e1e03b18bd022e6,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-d079c0043a4800b97456fc89""}",1,,B4X2500GROWTHSRC-d2c74533e127d8577357,,,OR,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,6.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Mountain Village,,,,->,,"["""", """", ""19%; 6%""]",GROWTH-3,6.0,True,AGGRES-b47c862119ddea62a5175ae1,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-596d95de81ba0f5895077016""}",1,,B4X2500GROWTHSRC-28189182dc61bb11fcbe,,,CO,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,6.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Mountain Village,,,,->,,"["""", """", ""19%; 6%""]",GROWTH-3,6.0,True,AGGRES-4d4b36bff5f28ef45e9c6c18,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e3d7398ebcd20f62c5b1fd95""}",1,,B4X2500GROWTHSRC-566f8933c8633c86a533,,,CO,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,4.5,,source_reported_direction_or_percentage,,COLA_CPI,Mountain Village,,,,->,,"["""", """", ""4.5%""]",GROWTH-3,4.5,True,AGGRES-3e1759b46929d8d1debe3087,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-960ec306cad1d7a998541dc8""}",1,,B4X2500GROWTHSRC-a79efc2fe2e552ec0beb,,,CO,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Boiling Springs,,,,->,,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-7dd5fc9120e89d9abe90df0c,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-807057da78df8b4c84279905""}",1,,B4X2500GROWTHSRC-acdee73cb77be31b3cab,,,NC,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Nimishillen,,,,->,,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-22014bc76c97bfb77722e375,,uphold_tier_3_directional,non_safety,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-f1d0c6cf36249e0ec6db66be""}",1,,B4X2500GROWTHSRC-a6d0bf13cc12879c12b6,,,OH,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Olmsted,,,,->,,"["""", """", ""3%; 3%; 2%""]",GROWTH-3,3.0,True,AGGRES-8c01a4e337bf23426cf65a04,,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-bb397e7ccb0b2a4b38ecbc72""}",1,,B4X2500GROWTHSRC-3757bd753c974750d344,,,OH,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Olmsted,,,,->,,"["""", """", ""3%; 3%""]",GROWTH-3,3.0,True,AGGRES-c47185ebda56763f3afc3e48,,uphold_tier_3_directional,fire,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-0ceb12648676bcb28860212a""}",1,,B4X2500GROWTHSRC-ce43e04ef804ac1ab563,,,OH,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,East Dundee,,,,->,,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-6d605a5d38451f4f3a3178f6,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e66ac2fc47b9e57d0cf1eb11""}",1,,B4X2500GROWTHSRC-7a8b09644291879d2dfb,,,IL,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.25,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,East Dundee,,,,->,,"["""", """", ""2.25%""]",GROWTH-3,2.25,True,AGGRES-649998d84ca9af359d30f628,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-05b5a96d05d7af6f34429230""}",1,,B4X2500GROWTHSRC-c528637567a3c5e18877,,,IL,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,East Dundee,,,,->,,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-be5637fb656776c491b7fe53,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-af9ecf505e5e3f5f306bed16""}",1,,B4X2500GROWTHSRC-da27430bf1b72ccff0f2,,,IL,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,5.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Tolono,,,,->,,"["""", """", ""5%""]",GROWTH-3,5.0,True,AGGRES-7cf138256725c43fb3b4844f,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-b8fa3ab66c08013412ee130e""}",1,,B4X2500GROWTHSRC-ea408fdf5d43fc13e191,,,IL,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Cassopolis,,,,->,,"["""", """", ""2%""]",GROWTH-3,2.0,True,AGGRES-92d9b8d01895c1563821c048,,uphold_tier_3_directional,police,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-1324d6a345b246084af6918b""}",1,,B4X2500GROWTHSRC-0f4c71d7fba5f16c2973,,,MI,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,0.5,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wadesboro,,,,->,,"["""", """", ""$14,548.00; 0.5%""]",GROWTH-3,0.5,True,AGGRES-25d540c480dbab2dab9849ad,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-9d2257ddff9d4d5fe1b742b6""}",1,,B4X2500GROWTHSRC-18a1486988e3105aa62f,,,NC,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wadesboro,,,,->,,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-0d97b49bfc4186bc38d333e3,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-e8218643fd3a1eb41521c452""}",1,,B4X2500GROWTHSRC-7db6ffdf7b84da7e31c0,,,NC,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,0.4,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wadesboro,,,,->,,"["""", """", ""0.4%""]",GROWTH-3,0.4,True,AGGRES-b9d445fc3de667cd31fbd96c,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-ccdab2de0d8bdc5b38674ae0""}",1,,B4X2500GROWTHSRC-85d7c305206af1b85076,,,NC,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,2.5,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wadesboro,,,,->,,"["""", """", ""2.5%""]",GROWTH-3,2.5,True,AGGRES-7d88d6f70d94337319f8baf1,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-56982d283f99892d85b9b67a""}",1,,B4X2500GROWTHSRC-af19d6bad59ed32a13a4,,,NC,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,0.5,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wadesboro,,,,->,,"["""", """", ""$14,548.00; 0.5%""]",GROWTH-3,0.5,True,AGGRES-fbec05a54eac0325e2088311,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-09f051f476ae66d7a5d9ab7b""}",1,,B4X2500GROWTHSRC-b96b93068ff0812dd46c,,,NC,,source_reported_growth_rate,,,,,growth
,tier_3_directional_or_mechanism_supporting,source-reported directional value; not a reconstructed compatible wage panel,safety_wage_growth,,not_corroborated,positive,3.0,,source_reported_direction_or_percentage,,across_the_board_percentage_raise,Wadesboro,,,,->,,"["""", """", ""3%""]",GROWTH-3,3.0,True,AGGRES-1a60592fcf2ee66333ad376d,,uphold_tier_3_directional,unclear,exact raw source span(s) preserved in canonical documentary growth layer,"{""later_span_id"": """", ""prior_span_id"": """", ""span_id"": ""B4X2500SPAN-20260730-38e8562a3c12a7c36aa15264""}",1,,B4X2500GROWTHSRC-bfcdd12ebb681ea23181,,,NC,,source_reported_growth_rate,,,,,growth
