period_rescue_id,normalization_id,original_period_status,original_period_label,period_rescue_status,cleaned_period_label,period_evidence_basis,period_rescue_confidence,source_title,raw_period_tokens,source_locator_lineage
BRMPERRES-6827da8733e973394ac238ef,BRMQNORM-20260803-008e33031f6286a41d16e40f,explicit_or_bounded_repair,2023,explicit_period_rescued,2023,existing explicit or bounded normalized period,high,"Regular City Council Meeting - Agenda Packet (Nov 20, 2023) — revising personnel policy to include on-call stipulations and compensation ($80/week; $120/week if holiday)","[""Nov 20, 2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-03619-01"", ""final"": ""https://bluemoundtexas.gov/wp-content/uploads/2023/11/11.20.23-AGENDA-PACKET-website.pdf"", ""original"": ""https://bluemoundtexas.gov/wp-content/uploads/2023/11/11.20.23-AGENDA-PACKET-website.pdf"", ""scout_target_id"": ""BRM5-20260731-03619""}"
BRMPERRES-2e5879514dd93f44d0c61391,BRMQNORM-20260803-0091860ebfa5a04f45ec19bd,explicit_or_bounded_repair,2022–2027,explicit_period_rescued,2022–2027,existing explicit or bounded normalized period,high,Ralpho Township Supervisors Minutes (adopt 2023-2027 Collective Bargaining Agreement for Ralpho Township Police),"[""2023-2027"",""September 28, 2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10874-01"", ""final"": ""https://ralphotownship.org/app/download/16146883/20220913.pdf"", ""original"": ""https://www.ralphotownship.org/app/download/16146883/20220913.pdf"", ""scout_target_id"": ""BRM5-20260731-10874""}"
BRMPERRES-6820fa0d5d8a59325f4d885c,BRMQNORM-20260803-0098b513b4ce64ce6c2504d2,explicit_or_bounded_repair,2025,period_not_applicable,2025,existing explicit or bounded normalized period,high,Springfield Town Board Minutes (Part-Time Road Patrolman Wage Increase),"[""2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14072-01"", ""final"": ""https://town.springfield.wi.us/wp-content/uploads/10.15.24-TB-Minutes.pdf"", ""original"": ""https://www.town.springfield.wi.us/wp-content/uploads/10.15.24-TB-Minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-14072""}"
BRMPERRES-4450d345dfc2dcbc4a5ad4a1,BRMQNORM-20260803-009939a34aea7fdd1f16f016,explicit_or_bounded_repair,2025–2027,explicit_period_rescued,2025–2027,existing explicit or bounded normalized period,high,North Sewickley Township Police Agreement (2025–2027),"[""2025–2027""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10832-01"", ""final"": ""https://beavervalleyfop.org/wp-content/uploads/2025/05/north-sewickley-2025-2027.pdf"", ""original"": ""https://beavervalleyfop.org/wp-content/uploads/2025/05/north-sewickley-2025-2027.pdf"", ""scout_target_id"": ""BRM5-20260731-10832""}"
BRMPERRES-7d6f37ff8ceac3b1c2dd8154,BRMQNORM-20260803-009b264c17858bf657f99ca7,explicit_or_bounded_repair,2018–2019,explicit_period_rescued,2018–2019,existing explicit or bounded normalized period,high,"Fact-Finding Report and Recommendations — Perry Township (Firefighter/Paramedics & Capts.) / IAFF Local 3960 (Case: 2018-MED-10-0993) (Date of Issuance: June 11, 2019)","[""2018"",""January 1, 2019"",""June 11, 2019""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09853-04"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-10-0993.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-10-0993.pdf"", ""scout_target_id"": ""BRM5-20260731-09853""}"
BRMPERRES-348bb03691894bb0577d2439,BRMQNORM-20260803-009ead44f634c282410d7751,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,"Employment Agreement (Executed) — City of Clarendon, Texas (City Secretary)",[],"{""candidate_id"": ""BRM5C-BRM5-20260731-07373-01"", ""final"": ""https://cityofclarendontx.com/documents/451/2025_Covey_Employment_Agreement_OCR.pdf"", ""original"": ""https://cityofclarendontx.com/documents/451/2025_Covey_Employment_Agreement_OCR.pdf"", ""scout_target_id"": ""BRM5-20260731-07373""}"
BRMPERRES-856eb43767042a2bc2173a2a,BRMQNORM-20260803-009f6fbaf363bf7649f5daca,explicit_or_bounded_repair,2020–2024,explicit_period_rescued,2020–2024,existing explicit or bounded normalized period,high,Agreement Between the Borough of Hanover and Hanover Borough Police Officer’s Association (Police Contract 2020-2024),"[""2020-2024"",""2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-03252-01"", ""final"": ""https://crimewatch.net/sites/default/files/42186/page/2022/08/hanover_borough_police_contract_cba_2020-2024_final.pdf"", ""original"": ""https://crimewatch.net/sites/default/files/42186/page/2022/08/hanover_borough_police_contract_cba_2020-2024_final.pdf"", ""scout_target_id"": ""BRM5-20260731-03252""}"
BRMPERRES-f6c2779c717c41f45b9dfc71,BRMQNORM-20260803-00a80f78485a0c3b3a53acec,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Collective Bargaining Agreement (FOP/OLC Blue Unit — Patrol Officers and MOU items),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-17288-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-09-0945.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-09-0945.pdf"", ""scout_target_id"": ""BRM5-20260731-17288""}"
BRMPERRES-ae6bfab5e593fcb1d0bbb8be,BRMQNORM-20260803-00ad8cdeabcce59863ed68d6,explicit_or_bounded_repair,2023,explicit_period_rescued,2023,existing explicit or bounded normalized period,high,"Village of Virgil Village Code (Revised March 15, 2023) — Subchapter 3 (Compensation), § 122 (Clerk) / § 120 (President) / § 121 (Trustees) / § 123 (Treasurer)","[""March 15, 2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-00500-01"", ""final"": ""https://villageofvirgil.net/wp-content/uploads/2023/04/2023-02-28-Code-Expanded2.pdf"", ""original"": ""https://villageofvirgil.net/wp-content/uploads/2023/04/2023-02-28-Code-Expanded2.pdf"", ""scout_target_id"": ""BRM5-20260731-00500""}"
BRMPERRES-d971026650a81e8a4827e2e2,BRMQNORM-20260803-00b13e6599a214dd40b89c4d,explicit_or_bounded_repair,2023,explicit_period_rescued,2023,existing explicit or bounded normalized period,high,East Fallowfield Township — Fiscal Year 2023 General Fund Budget (line items include personnel overtime/benefits),"[""2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-18166-02"", ""final"": ""https://eastfallowfield.org/2015pdf/2023_Proposed_East.Fallowfield.Township.Budget.pdf"", ""original"": ""https://www.eastfallowfield.org/2015pdf/2023_Proposed_East.Fallowfield.Township.Budget.pdf"", ""scout_target_id"": ""BRM5-20260731-18166""}"
BRMPERRES-cfd5bb7e933606e16e6633d5,BRMQNORM-20260803-00c1e51030788459373d2aca,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,"Memorandum of Understanding (MOU) between Civil Service Employees Association, Inc., Local 1000 AFSCME, AFL-CIO for the City of Elmira Unit #6351 and City of Elmira (modifications/amendments to existing CBA expiring Dec 31, 2026)","[""Dec 31, 2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14177-03"", ""final"": ""https://d3n9y02raazwpg.cloudfront.net/cityofelmira/b206158e-8df0-11ed-9024-0050569183fa-ac35a5f0-ac44-4d79-9290-2e26ac1d98b1-1701379648.pdf"", ""original"": ""https://d3n9y02raazwpg.cloudfront.net/cityofelmira/b206158e-8df0-11ed-9024-0050569183fa-ac35a5f0-ac44-4d79-9290-2e26ac1d98b1-1701379648.pdf"", ""scout_target_id"": ""BRM5-20260731-14177""}"
BRMPERRES-3b4871492ccc6ef10dbded38,BRMQNORM-20260803-00d4584dfc5c7bc9c8ab9726,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,Tinicum Township Final Budget-2026 (General Fund) – Police salary line items,"[""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-03456-01"", ""final"": ""https://tinicumtownship.org/wp-content/uploads/2025/12/2026-Final-Budget-All-Funds21.pdf"", ""original"": ""https://tinicumtownship.org/wp-content/uploads/2025/12/2026-Final-Budget-All-Funds21.pdf"", ""scout_target_id"": ""BRM5-20260731-03456""}"
BRMPERRES-c94cbf051a10dafffdb58e00,BRMQNORM-20260803-00da630611c9a9722b2c7837,explicit_or_bounded_repair,2025–2026,explicit_period_rescued,2025–2026,existing explicit or bounded normalized period,high,Resolution 2025-88: Establishing the Organizational Listings and Pay Rates for City of Franklin Officials and Employees for the Year 2026,"[""2025-88"",""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-05998-01"", ""final"": ""https://cms2.revize.com/revize/franklinoh/Legislation/Resolutions/2025/R-25-88%20Pay%20Rates%202026.pdf"", ""original"": ""https://cms2.revize.com/revize/franklinoh/Legislation/Resolutions/2025/R-25-88%20Pay%20Rates%202026.pdf?t=202512171012090"", ""scout_target_id"": ""BRM5-20260731-05998""}"
BRMPERRES-ae64280a20e5b91b2c518c45,BRMQNORM-20260803-00f827a2f5297fa31aff728e,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,Town of Washington Budget Worksheet 2026 (Approved),"[""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02866-02"", ""final"": ""https://static1.squarespace.com/static/639390de9155a340ff2c2c88/t/690b822a8175045bce6a2db1/1762361898281/Town_of_Washington_Budget_Worksheet_2026_Approved_251104.pdf"", ""original"": ""https://www.washingtonisland-wi.gov/s/Town_of_Washington_Budget_Worksheet_2026_Approved_251104.pdf"", ""scout_target_id"": ""BRM5-20260731-02866""}"
BRMPERRES-1f6e66f595eaf281c4f93145,BRMQNORM-20260803-00fbdd76e87a38b90a0f9374,explicit_or_bounded_repair,1976,explicit_period_rescued,1976,existing explicit or bounded normalized period,high,"75-UDC-6-1976 (Kansas DOL PERB) — Unit determination for firefighters employed by the City of McPherson, Kansas (IAFF Local 2522)","[""1976""]","{""candidate_id"": ""BRM5C-BRM5-20260731-08397-03"", ""final"": ""https://labordecisions.dol.ks.gov/Documents/PDF/PEERA/75-udc-6-1976.pdf"", ""original"": ""https://labordecisions.dol.ks.gov/Documents/PDF/PEERA/75-udc-6-1976.pdf"", ""scout_target_id"": ""BRM5-20260731-08397""}"
BRMPERRES-d126de1b39f0ab4d3a85245b,BRMQNORM-20260803-00fe991130100e5e9b358c1f,explicit_or_bounded_repair,2024,explicit_period_rescued,2024,existing explicit or bounded normalized period,high,"Collective Bargaining Agreement between the City of Bay Village, Ohio and AFSCME Ohio Council 8 & Local 3816 (Administrative Unit)","[""January 1, 2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-13411-03"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-09-0998.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-09-0998.pdf"", ""scout_target_id"": ""BRM5-20260731-13411""}"
BRMPERRES-5ad4dc11e274757fb268878c,BRMQNORM-20260803-01026e85ed29ae9d15a03d30,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Organizational Meeting – Continued (Penn Township) [contract compensation set under police collective bargaining agreement Addendum #1],[],"{""candidate_id"": ""BRM5C-BRM5-20260731-14599-01"", ""final"": ""https://penntownship.org/wp-content/uploads/2024/10/January-2-2024.pdf"", ""original"": ""https://penntownship.org/wp-content/uploads/2024/10/January-2-2024.pdf"", ""scout_target_id"": ""BRM5-20260731-14599""}"
BRMPERRES-1b081749838b67a328da0a6a,BRMQNORM-20260803-010c948ae7b405bb9cc46992,explicit_or_bounded_repair,2020,explicit_period_rescued,2020,existing explicit or bounded normalized period,high,"December 7, 2020 — Board Meeting Minutes (wage increase motion)","[""December 7, 2020""]","{""candidate_id"": ""BRM5C-BRM5-20260731-00400-01"", ""final"": ""https://villageofpearlcity.com/board-meeting-minutes/kp4fnqn036s5dsk0f8fiolq4755tbf"", ""original"": ""https://www.villageofpearlcity.com/board-meeting-minutes/kp4fnqn036s5dsk0f8fiolq4755tbf"", ""scout_target_id"": ""BRM5-20260731-00400""}"
BRMPERRES-d95e8598550503ceb128fae5,BRMQNORM-20260803-011e1c6ccf8136019754979e,explicit_or_bounded_repair,2023,explicit_period_rescued,2023,existing explicit or bounded normalized period,high,Village Council meeting packet (includes Resolution 2023-14; Compensation Plan Adjustments),"[""2023-14""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16106-01"", ""final"": ""https://webgen1files1.revize.com/lakeisabellami/Government/Meeting%20Minutes/2023/2023-07-18-VC-packet.pdf"", ""original"": ""https://www.lakeisabellami.org/Government/Meeting%20Minutes/2023/2023-07-18-VC-packet.pdf"", ""scout_target_id"": ""BRM5-20260731-16106""}"
BRMPERRES-251f4086722a221ecd9b7f98,BRMQNORM-20260803-0127b264495406a07eba4268,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Foster Township Board of Supervisors — Organization Meeting Minutes (Compensation motions),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-08886-01"", ""final"": ""https://fostertownship.org/cms/assets/_core/file/mi01042021reorg%281%29.pdf"", ""original"": ""https://fostertownship.org/cms/assets/_core/file/mi01042021reorg%281%29.pdf"", ""scout_target_id"": ""BRM5-20260731-08886""}"
BRMPERRES-4b82fa7c0687925b0997a7a7,BRMQNORM-20260803-012936d5341e48bbe7be363d,explicit_or_bounded_repair,2024–2025,explicit_period_rescued,2024–2025,existing explicit or bounded normalized period,high,"City of Grant Council Minutes - September 24, 2024 (Ordinance No. 24-08-04; compensation for officers and employees for FY Oct 1, 2024–Sep 30, 2025)","[""Oct 1, 2024"",""Sep 30, 2025"",""September 24, 2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09614-01"", ""final"": ""https://grantnebraska.socs.net/vnews/display.v/ART/6706f67d64d0c"", ""original"": ""https://grantnebraska.socs.net/vnews/display.v/ART/6706f67d64d0c"", ""scout_target_id"": ""BRM5-20260731-09614""}"
BRMPERRES-2914f93ab83dbffa1139bd9f,BRMQNORM-20260803-012d23478ada5fc09ae63729,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Approved FY-21 Budget (Village of Decatur),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-04835-01"", ""final"": ""https://cms5.revize.com/revize/decatur/Document_Center/Forms/Financial%20Transparency/Approved-FY-21-Budget.pdf"", ""original"": ""https://cms5.revize.com/revize/decatur/Document_Center/Forms/Financial%20Transparency/Approved-FY-21-Budget.pdf"", ""scout_target_id"": ""BRM5-20260731-04835""}"
BRMPERRES-cd79aa0cff2a4402427546b0,BRMQNORM-20260803-0134ffadf9b0571b6084f0df,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Collective Bargaining Agreement between the City of Independence and AFSCME Local 2339 / Ohio Council 8,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-06034-03"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2015/15-MED-10-1169.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2015/15-MED-10-1169.pdf"", ""scout_target_id"": ""BRM5-20260731-06034""}"
BRMPERRES-50dd7f3a9832dea0dca2ea91,BRMQNORM-20260803-0138a27d7e70a14b07626129,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,City of Stanton Personnel Manual (07-01-19) — Compensation section (overtime/comp time/longevity policy),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-04991-01"", ""final"": ""https://stantononline.com/wp-content/uploads/2019/08/City-of-Stanton_Personnel-Manual-07-01-19.pdf"", ""original"": ""https://stantononline.com/wp-content/uploads/2019/08/City-of-Stanton_Personnel-Manual-07-01-19.pdf"", ""scout_target_id"": ""BRM5-20260731-04991""}"
BRMPERRES-914d7c741eaa01eadf4997e8,BRMQNORM-20260803-013fc9ca248477d5dcda34bd,explicit_or_bounded_repair,2022,explicit_period_rescued,2022,existing explicit or bounded normalized period,high,Town Board Minutes - Regular Meeting (Oct. 2022) (references union contract negotiations with Local 317),"[""2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06831-02"", ""final"": ""https://townofstamfordny.us/application/files/8916/6809/9570/t.b.mtg._OCT._2022.pdf"", ""original"": ""https://townofstamfordny.us/application/files/8916/6809/9570/t.b.mtg._OCT._2022.pdf"", ""scout_target_id"": ""BRM5-20260731-06831""}"
BRMPERRES-d1b4350f09cd3042e2f3d830,BRMQNORM-20260803-01439dfe68737a66239663c8,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,"Fact-Finding Report — City of Chardon, Ohio and Ohio Patrolmen’s Benevolent Association (OPBA) (Part-time Patrol Officers)",[],"{""candidate_id"": ""BRM5C-BRM5-20260731-02213-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2023/23-MED-04-0377.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2023/23-MED-04-0377.pdf"", ""scout_target_id"": ""BRM5-20260731-02213""}"
BRMPERRES-2a29f8761bd987b25837df92,BRMQNORM-20260803-0143bd90f32d679a541da1f1,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,Brownville Village Special Board Meeting (Executive Session): Union contract negotiations (Teamsters) + Memorandum of Agreement referenced,"[""June 1, 2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14150-01"", ""final"": ""https://villageofbrownvilleny.gov/uploads/1/0/7/7/107725795/august_6_2025_executive.pdf"", ""original"": ""https://www.villageofbrownvilleny.gov/uploads/1/0/7/7/107725795/august_6_2025_executive.pdf"", ""scout_target_id"": ""BRM5-20260731-14150""}"
BRMPERRES-208d9c95f38ebf8893c5d9bd,BRMQNORM-20260803-01448f9aca78d86fc0a56c23,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Pennsylvania Labor Relations Board Proposed Decision and Order (Case No. PF-C-24-32-W): Joseph Stokes and Stephen Welsh v. Cecil Township,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-14383-01"", ""final"": ""https://pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/proposed/2025/cecil-twp-pf-c-24-32-w.pdf"", ""original"": ""https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/proposed/2025/cecil-twp-pf-c-24-32-w.pdf"", ""scout_target_id"": ""BRM5-20260731-14383""}"
BRMPERRES-096ce7d4f0f6e15222a194e1,BRMQNORM-20260803-015ba1343ac3f713749bb6de,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Collective Bargaining Agreement (Bazetta Township Trustees and Fraternal Order of Police/Ohio Labor Council) — SERB Case 16-MED-09-0912,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-17159-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-09-0912.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-09-0912.pdf"", ""scout_target_id"": ""BRM5-20260731-17159""}"
BRMPERRES-cfeaf79d4d4dfe63afd5ba8c,BRMQNORM-20260803-0176b8de4c45fc146d357979,explicit_or_bounded_repair,2022,explicit_period_rescued,2022,existing explicit or bounded normalized period,high,"Minutes (June 23, 2022) — Motion to institute plan to implement a salary increase ($750.00 per certification)","[""June 23, 2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-11047-01"", ""final"": ""https://town-of-hamilton.org/images/Documents/Minutes/Minutes062322.pdf"", ""original"": ""https://town-of-hamilton.org/images/Documents/Minutes/Minutes062322.pdf"", ""scout_target_id"": ""BRM5-20260731-11047""}"
BRMPERRES-8996e370e3952254d9143098,BRMQNORM-20260803-01770339e0d80b19e4b05ebb,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Fact Finding Report (Fraternal Order of Police Ohio Labor Council Lodge 1) vs. The City of Steubenville; SERB Case No. 14-MED-10-1430,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-17324-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2014/14-MED-10-1430.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2014/14-MED-10-1430.pdf"", ""scout_target_id"": ""BRM5-20260731-17324""}"
