growth_candidate_id,normalization_id,municipality,state,region,side_label,role_unit,growth_value,growth_value_candidates,growth_value_type,pay_basis,period_label,normalization_status,normalization_confidence,mechanism_class,quant_qual_link_id,growth_continuity_status,caveats,source_locator_lineage,cleaned_analysis_use_primary_category,cross_side_wage_level_comparison_forced
BRMGROWTHNORM-20260803-e279ab6be8dd39dac705077e,BRMQNORM-20260803-0ccb487eafda9cebd99b0853,Circleville,OH,Midwest,police_direct,police_role,750.0,[750.0],step_schedule_values,allowance,2018–2020,normalized_non_base_only,moderate,,,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-13451-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-10-1276.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-10-1276.pdf"", ""scout_target_id"": ""BRM5-20260731-13451""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-1a176bac0932b55250d7b9f7,BRMQNORM-20260803-0ce8c4c9dba5c2178c2a941c,La Paz,IN,Midwest,police_direct,police_role,3.0,[3.0],percentage,percentage_raise,2023–2024,normalized_growth_or_percentage_only,moderate,ordinance_council_adoption,BRMQLINK-20260803-1a176bac0932b55250d7b9f7,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-00624-01"", ""final"": ""https://lapazindiana.com/application/files/6817/0015/7109/Meeting_Minutes_09_14_2023.pdf"", ""original"": ""https://www.lapazindiana.com/application/files/6817/0015/7109/Meeting_Minutes_09_14_2023.pdf"", ""scout_target_id"": ""BRM5-20260731-00624""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-778cfca8839efc02eef6c622,BRMQNORM-20260803-0d077fc0ff3f3e7303573389,Warren,OH,Midwest,police_direct,police_role,11.1,[11.1],percentage,cola_cpi,2012,normalized_growth_or_percentage_only,moderate,cola_cpi_indexing,BRMQLINK-20260803-778cfca8839efc02eef6c622,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02449-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2019/19-MED-10-1099.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2019/19-MED-10-1099.pdf"", ""scout_target_id"": ""BRM5-20260731-02449""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-0bb8e28359195daaa507fd83,BRMQNORM-20260803-0da77bdbe849df00d135adaf,Plymouth,WI,Midwest,fire_direct,fire_role,12.0,[12.0],percentage,percentage_raise,2026,normalized_growth_or_percentage_only,moderate,collective_bargaining,BRMQLINK-20260803-0bb8e28359195daaa507fd83,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17764-03"", ""final"": ""https://plymouthwi.gov/AgendaCenter/ViewFile/Agenda/_03102026-309"", ""original"": ""https://www.plymouthwi.gov/AgendaCenter/ViewFile/Agenda/_03102026-309"", ""scout_target_id"": ""BRM5-20260731-17764""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-db645f4b41cf843415e1588e,BRMQNORM-20260803-0dd18ec8aac6251f0a7591e2,Tomah,WI,Midwest,police_direct,police_role,2.2,[2.2],percentage,percentage_raise,1947–1976,normalized_growth_or_percentage_only,moderate,other_pay_setting_mechanism,BRMQLINK-20260803-db645f4b41cf843415e1588e,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06600-02"", ""final"": ""https://werc.wi.gov/interest_awards/mia_pre-99_vol_1_of_1/mia14428.pdf"", ""original"": ""https://werc.wi.gov/interest_awards/mia_pre-99_vol_1_of_1/mia14428.pdf"", ""scout_target_id"": ""BRM5-20260731-06600""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-392360bab10e1f517bcbbbaf,BRMQNORM-20260803-0e864e20d85a6ab77c7b5448,Butler,OH,Midwest,fire_direct,fire_role,75.0,[75.0],percentage,percentage_raise,2014,normalized_growth_or_percentage_only,moderate,classification_civil_service,BRMQLINK-20260803-392360bab10e1f517bcbbbaf,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02206-04"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2012/12-MED-10-1304.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2012/12-MED-10-1304.pdf"", ""scout_target_id"": ""BRM5-20260731-02206""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-db392c8a3945151c4e4e1331,BRMQNORM-20260803-0e8a1929b7551cc1df054c50,Ohio,OH,Midwest,police_direct,police_role,6.0,[6.0],percentage,annual_salary,2024,normalized_growth_or_percentage_only,moderate,market_recruitment_retention,BRMQLINK-20260803-db392c8a3945151c4e4e1331,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17324-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2024/24-MED-10-1275.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2024/24-MED-10-1275.pdf"", ""scout_target_id"": ""BRM5-20260731-17324""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-4d69d3c0c26e421570b843f0,BRMQNORM-20260803-0e97fa21c4d20d4d9b8047ff,Warren,OH,Midwest,police_direct,police_role,2.0,[2.0],percentage,percentage_raise,2021,normalized_growth_or_percentage_only,moderate,collective_bargaining,BRMQLINK-20260803-4d69d3c0c26e421570b843f0,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02449-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2019/19-MED-10-1099.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2019/19-MED-10-1099.pdf"", ""scout_target_id"": ""BRM5-20260731-02449""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-975b999754224bf0685de52b,BRMQNORM-20260803-0fd2c80cbada3c11f76909ec,Wadsworth,OH,Midwest,fire_direct,fire_role,12.0,[12.0],percentage,percentage_raise,2018,normalized_growth_or_percentage_only,moderate,classification_civil_service,BRMQLINK-20260803-975b999754224bf0685de52b,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06184-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""scout_target_id"": ""BRM5-20260731-06184""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-df1f015c2d0ff225b886514f,BRMQNORM-20260803-100a4a337a9f817ed2ecfdf5,Perry,OH,Midwest,police_direct,police_role,3.0,[3.0],percentage,percentage_raise,2022–2024,normalized_growth_or_percentage_only,moderate,strike_no_strike_dispute_process,BRMQLINK-20260803-df1f015c2d0ff225b886514f,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09853-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-09-1096.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-09-1096.pdf"", ""scout_target_id"": ""BRM5-20260731-09853""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-73e084394da946c93d3177a1,BRMQNORM-20260803-101ae6f71a2871497400c640,Ford Heights,IL,Midwest,police_direct,police_role,14.55,[14.55],step_schedule_values,hourly,2008–2011,normalized_ready,high,,,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-03977-01"", ""final"": ""https://ilrb.illinois.gov/content/dam/soi/en/web/ilrb/decisions/decisionorders/documents/S-CA-09-055-C%20RDO.pdf"", ""original"": ""https://ilrb.illinois.gov/content/dam/soi/en/web/ilrb/decisions/decisionorders/documents/S-CA-09-055-C%20RDO.pdf"", ""scout_target_id"": ""BRM5-20260731-03977""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-71f39ebc68d3c71f9d60ac0f,BRMQNORM-20260803-112a199dde0e32f7d149375f,Wadsworth,OH,Midwest,fire_direct,fire_role,,"[1.0,4.0]",step_schedule_values,hourly,2018,normalized_partial,moderate,classification_civil_service,BRMQLINK-20260803-71f39ebc68d3c71f9d60ac0f,growth_partial_review,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06184-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""scout_target_id"": ""BRM5-20260731-06184""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-1c79f0b9d171ba1df93b5b5c,BRMQNORM-20260803-1248224179ed755a7b6b225b,Delaware,OH,Midwest,fire_direct,fire_role,1.0,[1.0],percentage,percentage_raise,2022–2023,normalized_growth_or_percentage_only,moderate,non_base_compensation,BRMQLINK-20260803-1c79f0b9d171ba1df93b5b5c,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09725-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2020/20-MED-12-1414.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2020/20-MED-12-1414.pdf"", ""scout_target_id"": ""BRM5-20260731-09725""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-8a6b0e3aea129cac6e18af9a,BRMQNORM-20260803-128b56e9afac38ec600809b7,Dunn,WI,Midwest,police_direct,police_role,,"[1.0,2.0]",percentage,percentage_raise,2010,normalized_growth_or_percentage_only,moderate,cola_cpi_indexing,BRMQLINK-20260803-8a6b0e3aea129cac6e18af9a,growth_partial_review,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17657-01"", ""final"": ""https://werc.wi.gov/interest_awards/mia33091.pdf"", ""original"": ""https://werc.wi.gov/interest_awards/mia33091.pdf"", ""scout_target_id"": ""BRM5-20260731-17657""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-27de431d8be04ccc3197e9fd,BRMQNORM-20260803-12c47db5e9dab870d29b0058,Ephraim,WI,Midwest,non_safety_direct,non_safety_role,7.0,[7.0],percentage,budget_amount,2024,normalized_budget_context_only,moderate,non_base_compensation,BRMQLINK-20260803-27de431d8be04ccc3197e9fd,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-13930-01"", ""final"": ""https://storage.googleapis.com/juniper-media-library/416/2025/09/2024-VOE-Budget.pdf"", ""original"": ""https://storage.googleapis.com/juniper-media-library/416/2025/09/2024-VOE-Budget.pdf"", ""scout_target_id"": ""BRM5-20260731-13930""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-1be24ccf6884aa321ea72ce2,BRMQNORM-20260803-12c6bea2f2916e76258bb467,Clarion,PA,Northeast,non_safety_direct,non_safety_role,,"[1.6,5.0]",percentage,percentage_raise,2015–2016,normalized_growth_or_percentage_only,moderate,collective_bargaining,BRMQLINK-20260803-1be24ccf6884aa321ea72ce2,growth_partial_review,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06896-01"", ""final"": ""https://clarionboro.org/wp-content/uploads/2010/02/November-17-2015-2nd-Council-Meeting.pdf"", ""original"": ""https://clarionboro.org/wp-content/uploads/2010/02/November-17-2015-2nd-Council-Meeting.pdf"", ""scout_target_id"": ""BRM5-20260731-06896""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-7135f99e6605bce0bd324e9a,BRMQNORM-20260803-13392aa3d07361983d679ad2,Salix,IA,Midwest,non_safety_direct,non_safety_role,4.0,[4.0],percentage,percentage_raise,2024–2025,normalized_growth_or_percentage_only,moderate,,,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-00079-02"", ""final"": ""https://salixiowa.com/documents/500/Minutes_2025.pdf"", ""original"": ""https://salixiowa.com/documents/500/Minutes_2025.pdf"", ""scout_target_id"": ""BRM5-20260731-00079""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-6689050ccdac5b1391fedd83,BRMQNORM-20260803-13698a95c4f917ef8c7de220,Middlefield,OH,Midwest,police_direct,police_role,,"[1.5,3.0]",percentage,cola_cpi,2025,normalized_growth_or_percentage_only,moderate,cola_cpi_indexing,BRMQLINK-20260803-6689050ccdac5b1391fedd83,growth_partial_review,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09820-01"", ""final"": ""https://middlefieldohio.com/wp-content/uploads/2025/03/02.13.2025.pdf"", ""original"": ""https://www.middlefieldohio.com/wp-content/uploads/2025/03/02.13.2025.pdf"", ""scout_target_id"": ""BRM5-20260731-09820""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-63ccfa71368b75d93c6d4c9b,BRMQNORM-20260803-1440e3a307b61c6130beff66,Granville,NY,Northeast,police_direct,police_role,2.0,[2.0],percentage,percentage_raise,2018–2020,normalized_growth_or_percentage_only,moderate,classification_civil_service,BRMQLINK-20260803-63ccfa71368b75d93c6d4c9b,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02985-01"", ""final"": ""https://seethroughny.net/contracts/VillageofGranville_P_2021.pdf"", ""original"": ""https://www.seethroughny.net/contracts/VillageofGranville_P_2021.pdf"", ""scout_target_id"": ""BRM5-20260731-02985""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-fe36b7d771fc5911d6042b5c,BRMQNORM-20260803-14e264dd6eaaf3ec13588061,Corning,NY,Northeast,police_direct,police_role,1.0,[1.0],percentage,percentage_raise,1983,normalized_growth_or_percentage_only,moderate,classification_civil_service,BRMQLINK-20260803-fe36b7d771fc5911d6042b5c,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17911-01"", ""final"": ""https://perb.ny.gov/system/files/documents/2024/03/ia82-038-award-8-5-83.pdf"", ""original"": ""https://perb.ny.gov/system/files/documents/2024/03/ia82-038-award-8-5-83.pdf"", ""scout_target_id"": ""BRM5-20260731-17911""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-dab4124b0f20f09a6e216c3a,BRMQNORM-20260803-1532f6e469037be68a1956c7,Wadsworth,OH,Midwest,fire_direct,fire_role,1.0,[1.0],percentage,percentage_raise,2018,normalized_growth_or_percentage_only,moderate,classification_civil_service,BRMQLINK-20260803-dab4124b0f20f09a6e216c3a,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06184-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-09-0935.pdf"", ""scout_target_id"": ""BRM5-20260731-06184""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-f42a84da101a9ec60b3e9131,BRMQNORM-20260803-1546b10bb966345e30a87147,Watertown,NY,Northeast,non_safety_direct,non_safety_role,1.0,[1.0],percentage,percentage_raise,2026,normalized_growth_or_percentage_only,moderate,ordinance_council_adoption,BRMQLINK-20260803-f42a84da101a9ec60b3e9131,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14315-03"", ""final"": ""https://watertown-ny.gov/media/ArchiveDocuments/CityCouncil/CouncilAgendas/2026/02-17-2026_Council_Meeting_Agenda.pdf"", ""original"": ""https://www.watertown-ny.gov/media/ArchiveDocuments/CityCouncil/CouncilAgendas/2026/02-17-2026_Council_Meeting_Agenda.pdf"", ""scout_target_id"": ""BRM5-20260731-14315""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-bb85f251747c60fdcb2224cb,BRMQNORM-20260803-164e399b1e718696a07e4fa5,Monroe,OH,Midwest,fire_direct,fire_role,,"[1.0,2.0]",percentage,percentage_raise,2019,normalized_growth_or_percentage_only,moderate,other_pay_setting_mechanism,BRMQLINK-20260803-bb85f251747c60fdcb2224cb,growth_partial_review,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02345-04"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2019/19-MED-07-0620.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2019/19-MED-07-0620.pdf"", ""scout_target_id"": ""BRM5-20260731-02345""}",same_side_growth_evidence,false
BRMGROWTHNORM-20260803-8b2965fed07aa965d4431a8e,BRMQNORM-20260803-166a26fc683cc1cb10d3a33a,Williamson,NY,Northeast,non_safety_direct,non_safety_role,22.09,[22.09],step_schedule_values,hourly,2014–2018,normalized_ready,high,,,side_specific_growth_ready,"[""side_specific_documentary_growth_record"",""no_forced_cross_side_wage_level_comparison""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06850-01"", ""final"": ""https://williamsonny.gov/wp-content/uploads/2017/04/01-06-2015-Organizational.pdf"", ""original"": ""https://williamsonny.gov/wp-content/uploads/2017/04/01-06-2015-Organizational.pdf"", ""scout_target_id"": ""BRM5-20260731-06850""}",same_side_growth_evidence,false
