mechanism_prep_id,span_rating_id,source_rating_id,span_id,side_label,mechanism_class,source_family,municipality,state,source_ids,span_ids,claim_readiness_bucket,downstream_use_bucket,mechanism_strength,clear_side_confidence,attachable_to_quantitative_cluster_flag,attachable_to_growth_cluster_flag,attachable_to_comparison_cluster_flag,recommended_use,reconciliation_reason_codes,source_locator_lineage
BRMMECHPREP-20260803-b384b5c5db3113a197176ae4,BRMGRT-20260802-3dcb583c7bd8c018c7091f51,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-00cdfbaa19238fdfe8dc9f42,police_direct,non_base_compensation,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-00cdfbaa19238fdfe8dc9f42""]",quantitative_needs_normalization,supporting_example_candidate,moderate,high,true,true,false,supporting,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-e6e42dd01f0d2b2f4231712e,BRMGRT-20260802-1e98162fe65c7984722b824d,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-0c2df1673bc06b26d9d1f635,police_direct,non_base_compensation,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-0c2df1673bc06b26d9d1f635""]",source_navigation_or_reference_only,exclude_or_write_off,none,high,true,true,false,write_off,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-99f52a47dd5923cffcca669f,BRMGRT-20260802-04e52896ecba61c9ce5792da,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-325974123b54f6001c759bb7,police_direct,strike_no_strike_dispute_process,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-325974123b54f6001c759bb7""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,moderate,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-3fc2896d35313999ecdfc95b,BRMGRT-20260802-cc8f451ef6b5a6c53e065e38,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-39494b570fd4b6f604a10016,police_direct,non_base_compensation,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-39494b570fd4b6f604a10016""]",quantitative_needs_normalization,supporting_example_candidate,moderate,high,true,true,false,supporting,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-2cf7b4c5badb835f146bc308,BRMGRT-20260802-e28d3e01a61951e90f2124ae,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-436f4dd256005669f774a482,police_direct,strike_no_strike_dispute_process,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-436f4dd256005669f774a482""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,moderate,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-c88b99c0b7fd6fe5567c21cb,BRMGRT-20260802-ec0200e20a34a12ea9dd30de,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-5d761dd3f8251afd35489231,police_direct,strike_no_strike_dispute_process,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-5d761dd3f8251afd35489231""]",qualitative_mechanism_claim_ready,local_context_candidate,moderate,high,true,true,false,local context,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-56833433b1a4cbae054e6408,BRMGRT-20260802-83a700b551ac64f07af7c8a4,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-85c353124c1f1825c1a8ed18,police_direct,other_pay_setting_mechanism,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-85c353124c1f1825c1a8ed18""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,weak,original_rating_preserved,true,true,false,mechanism summary,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-9d2d22e93a95e554dff3b974,BRMGRT-20260802-dcd2df534fe4dddbe1d4d5b0,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-8a04836b66a0080a1bd26347,police_direct,classification_civil_service,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-8a04836b66a0080a1bd26347""]",source_navigation_or_reference_only,manual_review_candidate,weak,high,true,true,false,defer,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-6be3852e4d9f2425f721aad5,BRMGRT-20260802-649a2b42c0a27225834a5936,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-8aa75f7feb9e4816090eaf9b,police_direct,other_pay_setting_mechanism,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-8aa75f7feb9e4816090eaf9b""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,weak,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-4cc22f2f33ec837276cd4029,BRMGRT-20260802-1f89fdadc8fc7c5616fe6767,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-909a4c3bff587cc4599023d2,police_direct,market_recruitment_retention,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-909a4c3bff587cc4599023d2""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,weak,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-8d154836e6412b4451f9b21b,BRMGRT-20260802-8fad82ba2f69dcc790b366d7,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-9bb0d29ff90ed6740c319439,police_direct,other_pay_setting_mechanism,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-9bb0d29ff90ed6740c319439""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,weak,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-e1747843ccf25a30b94f64a9,BRMGRT-20260802-7eca8a41ee1c8281529cff32,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-cb37e3b3a70e4ef127e7da74,police_direct,non_base_compensation,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-cb37e3b3a70e4ef127e7da74""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,weak,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-747b08f91f2609e97398384a,BRMGRT-20260802-2e10326d46201037121f7955,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-cf86f2165897c8a740d57337,police_direct,non_base_compensation,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-cf86f2165897c8a740d57337""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,weak,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-36aee998733c138bfcd54f45,BRMGRT-20260802-9082f8d27a0940230db57434,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-e1de194c06328e148219738e,police_direct,other_pay_setting_mechanism,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-e1de194c06328e148219738e""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,weak,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-86f0805d9e092b1d4e3ae646,BRMGRT-20260802-df145cc740fe14d7c932e371,BRMGRS-20260802-9a57aeab751fdda4982d4dd1,BRMSPAN-20260802-f333ed66cbfd7adc75e946be,police_direct,non_base_compensation,cba,Norwalk,OH,"[""BRMGRS-20260802-9a57aeab751fdda4982d4dd1""]","[""BRMSPAN-20260802-f333ed66cbfd7adc75e946be""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,weak,high,true,true,false,mechanism summary,"[""source_title_anchor:police_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17323-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-07-0847.pdf"", ""scout_target_id"": ""BRM5-20260731-17323""}"
BRMMECHPREP-20260803-b349d70a662f8db6702ce188,BRMGRT-20260802-2867857b2d6833c44a64d12f,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-3d576e33ae40f040451c267d,non_safety_direct,non_base_compensation,budget_or_pay_plan,Richland,PA,"[""BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8""]","[""BRMSPAN-20260802-3d576e33ae40f040451c267d""]",quantitative_needs_normalization,supporting_example_candidate,none,high,true,false,true,supporting,"[""primary_anchor:non_safety_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMMECHPREP-20260803-d422ed8090018004a5982a57,BRMGRT-20260802-cd12fcefdeab1f92606abe6f,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-90ff95a55572135d0421b9bb,non_safety_direct,non_base_compensation,budget_or_pay_plan,Richland,PA,"[""BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8""]","[""BRMSPAN-20260802-90ff95a55572135d0421b9bb""]",quantitative_needs_normalization,supporting_example_candidate,none,high,true,false,true,supporting,"[""primary_anchor:non_safety_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMMECHPREP-20260803-d3088bf198cc4e5804a4f776,BRMGRT-20260802-e3b9b0b9c91d180960296057,BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8,BRMSPAN-20260802-df4a483206fe3aae365cca02,non_safety_direct,non_base_compensation,budget_or_pay_plan,Richland,PA,"[""BRMGRS-20260802-fefb93d0bfa11a0f8ea0e7c8""]","[""BRMSPAN-20260802-df4a483206fe3aae365cca02""]",quantitative_needs_normalization,supporting_example_candidate,none,high,true,false,true,supporting,"[""primary_anchor:non_safety_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMMECHPREP-20260803-da0b4e7d5550952f2716cc5f,BRMGRT-20260802-0f72926548271ef12cd34132,BRMGRS-20260802-d9a410b9974a3f54bfd3c94e,BRMSPAN-20260802-1e9052022cd82d578a5be941,fire_direct,non_base_compensation,cba,Dover,OH,"[""BRMGRS-20260802-d9a410b9974a3f54bfd3c94e""]","[""BRMSPAN-20260802-1e9052022cd82d578a5be941""]",weak_or_not_supported,exclude_or_write_off,none,high,true,true,true,write_off,"[""source_title_anchor:fire_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02242-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1259.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1259.pdf"", ""scout_target_id"": ""BRM5-20260731-02242""}"
BRMMECHPREP-20260803-140ba2fcbd6cabbc71c02cce,BRMGRT-20260802-a7d2cc1f3e2f4ba7e0b4e8d4,BRMGRS-20260802-d9a410b9974a3f54bfd3c94e,BRMSPAN-20260802-3f7f7c89c57fa93b98a5904b,fire_direct,non_base_compensation,cba,Dover,OH,"[""BRMGRS-20260802-d9a410b9974a3f54bfd3c94e""]","[""BRMSPAN-20260802-3f7f7c89c57fa93b98a5904b""]",weak_or_not_supported,exclude_or_write_off,none,high,true,true,true,write_off,"[""source_title_anchor:fire_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02242-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1259.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1259.pdf"", ""scout_target_id"": ""BRM5-20260731-02242""}"
BRMMECHPREP-20260803-64be877648d19988805f2d17,BRMGRT-20260802-335ac7387c5e251e564d92c7,BRMGRS-20260802-d9a410b9974a3f54bfd3c94e,BRMSPAN-20260802-4d99687f35db486982db63e7,fire_direct,retroactivity_implementation,cba,Dover,OH,"[""BRMGRS-20260802-d9a410b9974a3f54bfd3c94e""]","[""BRMSPAN-20260802-4d99687f35db486982db63e7""]",qualitative_mechanism_claim_ready,mechanism_summary_candidate,moderate,high,true,true,true,mechanism summary,"[""source_title_anchor:fire_direct""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02242-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1259.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1259.pdf"", ""scout_target_id"": ""BRM5-20260731-02242""}"
