qualitative_observation_id,extraction_case_id,source_review_id,text_table_detection_id,mechanism_type,page_number,bounded_evidence_pointer,span_capture_status,span_qa_status,span_failure_reason,span_candidate_count,span_disambiguation_rule,evidence_contract_tier,evidence_contract_reason_code
lobs_ec1cf67774167199c9234357,cex_d406166f3aeabb43a6852065,sr_39e6c969a752873791a0e3e3,ttd_99e6ba85776a1f2420fbd4d5,other,14,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0002_sr_39e6c969a752873791a0e3e3.pdf#page=14,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_7e30b014c6bafe3c08f06827,cexrem_637cdc5241563eaaf93d821e,sr_5fb648c88c4fb42756e82929,ttd_affc65a62ade60862636341c,longevity_or_service_based_pay,26,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0250_sr_5fb648c88c4fb42756e82929.pdf#page=26,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_97bf8a0c3548f61c4711643b,cex_ad7f5c422f9d6418a27c898f,sr_e9ad5c6322946be86acbc110,ttd_215d81ff29a04f7c400fc0b2,implementation_or_effective_date_logic,5,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0182_sr_e9ad5c6322946be86acbc110.pdf#page=5,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_269fa51bf23f971ac587d529,cex_c2202928f4164b05bc2cba18,sr_956ef9bd3d574810f518107e,ttd_dcfe7f727ec893c4e50f4146,fiscal_constraint_or_budget_logic,3,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0461_sr_956ef9bd3d574810f518107e.pdf#page=3,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_45155168270dc4809ba1f410,cex_2a077e71191385e92b633afe,sr_101d64b4de5175a63f7b20a3,ttd_c6dbf96a2c31389794e84bb1,implementation_or_effective_date_logic,4,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_101d64b4de5175a63f7b20a3.pdf#page=4,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_81cd0b232f9204e3838d290f,cexrem_6d92bb81815b543173d3961b,sr_884224de3752895857901eac,ttd_4739da660a3df6d4ccbe2caa,implementation_or_effective_date_logic,17,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0362_sr_884224de3752895857901eac.pdf#page=17,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_2fd74b01e87774e5c0d3bb7d,cexrem_0c804d558eb12ad31160d0c9,sr_38b342f09f2ec8b7aef45b24,ttd_c545e57e184b4c34c55da8fc,other,16,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0106_sr_38b342f09f2ec8b7aef45b24.pdf#page=16,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_cc0d6bfcb30d5b3d6c6dd4ab,cex_c4092e4dec488c6dc9f84361,sr_29be04399ee7807610da281c,ttd_7c5cc7f89c3b192e06785274,arbitration_or_factfinding_reasoning,29,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0067_sr_29be04399ee7807610da281c.pdf#page=29,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_3f2a616db5662fb7eb413b51,cex_0f21f7f72e851886c4e82191,sr_10cb9191b1b576792d8ec4f9,ttd_c48c06bdaff7b82eb60857b8,implementation_or_effective_date_logic,13,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0375_sr_10cb9191b1b576792d8ec4f9.pdf#page=13,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_4b10bd0b5294c3324b0a7047,cexrem_405ba26689ad53394d61c6e4,sr_e96a86a255eaaefb8a2ac1a9,ttd_bef5b57351cc12271e19af95,other,18,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0080_sr_e96a86a255eaaefb8a2ac1a9.pdf#page=18,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_2e8287659eb9d3cd175e851f,cex_7fb62cac4d915b216871b5a5,sr_be95ac3ad1ecc8de7da6a319,ttd_2bdb3075f48071d39afa35c9,wage_reopener_or_future_negotiation,21,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0145_sr_be95ac3ad1ecc8de7da6a319.pdf#page=21,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_3771a818927eca91ce6b5f02,cex_b8904d5f29508df492899b0a,sr_8600ac402ca15af56272e37b,ttd_c8edc6823faff1621f990f2e,other,15,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0417_sr_8600ac402ca15af56272e37b.pdf#page=15,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_2cff25bdd93013dab4a12807,cex_c2202928f4164b05bc2cba18,sr_956ef9bd3d574810f518107e,ttd_dcfe7f727ec893c4e50f4146,fiscal_constraint_or_budget_logic,4,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0461_sr_956ef9bd3d574810f518107e.pdf#page=4,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_b7a2e315b16c8ad075f45e4e,cex_0265647a9dfb1ada78c6c015,sr_a2c650a660a27851bfc80165,ttd_c827e9b6910e23eaf962a0ce,wage_reopener_or_future_negotiation,29,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0039_sr_a2c650a660a27851bfc80165.pdf#page=29,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
lobs_61022f6cd00d5a01659db83f,cex_0bdde108326cd26fbfcd23a1,sr_e843a3c1b57bc0692b4c6d48,ttd_339ac32d00e7669cbd148006,fiscal_constraint_or_budget_logic,1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0223_sr_e843a3c1b57bc0692b4c6d48.pdf#page=1,span_unavailable_or_unverified,navigation_only_span_not_qa_sufficient,no_exact_structured_or_literal_mechanism_match,0,no_strict_exact_disambiguation_candidate,unavailable_span_navigation,exact_unique_span_unavailable_or_unverified
