readable_conflict_qa_resolution_id,review_queue_row_number,extraction_case_id,page_number,source_observation_ids,source_observation_count,resolution_classification,resolution_status,quantitative_action,non_base_wage_action,retained_quantitative_observation_ids,routed_quantitative_observation_ids,created_non_base_wage_observation_ids,structured_basis,bounded_evidence_pointer,local_evidence_inspected,reason_codes,confidence,unresolved_flag,notes
qares1826_05b08d7c602f5d200d1cf03f,11,cex1000_66fd40504285e5df2ac22a86,129,qobs_4d58950a8e7886b42bbf01e1|qobs_7d2d1296300d466b673b240b,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_4d58950a8e7886b42bbf01e1|qobs_7d2d1296300d466b673b240b,,,The bounded chart compares separately labeled firefighter classifications.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0126_sr_3d258878af7fa51559495cdb.pdf#page=129,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_e2df06ab7df539728367b197,12,cex1000_a433284429fdbc3027ca08a8,22,qobs_2c533fedde4387fc80a64c4a|qobs_fc59bf9c9b4f6c74ddc33276|qobs_f27f169d4d0f033719de6e3c|qobs_c059d2f4a1a9fd9227abd43e|qobs_359877707504f1764ef7b6d4,5,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_2c533fedde4387fc80a64c4a|qobs_fc59bf9c9b4f6c74ddc33276|qobs_f27f169d4d0f033719de6e3c|qobs_c059d2f4a1a9fd9227abd43e|qobs_359877707504f1764ef7b6d4,,,Five separately printed regular-work hourly-rate cells are visible in the table.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0046_sr_9e38844c9b5707dc4ebc2517.pdf#page=22,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_f3509fb4010e9fe27fef03fb,13,cex1000_a098483d4d8fd43b46903074,18,qobs_16dae25d828950a27b5d7574|qobs_f889c9be1c2ea89d53beb945|qobs_f88e74495f086a3c973274ef,3,distinct_effective_period,resolved,retain_distinct_active_records,no_change,qobs_16dae25d828950a27b5d7574|qobs_f889c9be1c2ea89d53beb945|qobs_f88e74495f086a3c973274ef,,,"The bounded agreement records a sequence of 0%, 1.5%, and 1.5% negotiated wage increases.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0205_sr_95a9fe0c2908e5159d3ab63f.pdf#page=18,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_c802e85965356d72dd9f12b0,14,cex1000_bb94b3a47589687bfa15a57f,11,qobs_bcf614863c1283ef21f50f09|qobs_b6b5686df5996fd526b9673c,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_bcf614863c1283ef21f50f09|qobs_b6b5686df5996fd526b9673c,,,The same-grade values belong to separate Service and Tax schedules.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0325_sr_68e3d158c28de3edd75bd0cd.pdf#page=11,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_73b90a54b7f26e824d5f123b,15,cex1000_bb94b3a47589687bfa15a57f,11,qobs_b4a8ba6882648b0701533c87|qobs_05cafd3ebd6a0a4b06934d47,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_b4a8ba6882648b0701533c87|qobs_05cafd3ebd6a0a4b06934d47,,,The same-grade values belong to separate Service and Tax schedules.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0325_sr_68e3d158c28de3edd75bd0cd.pdf#page=11,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_c62b4f5eaff75f3c9ddbf419,16,cex1000_717c3b80483aec1697f186d5,24,qobs_835149ee462e6637e8f8700f|qobs_ef9a2d125eabc39f794099c6,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_835149ee462e6637e8f8700f|qobs_ef9a2d125eabc39f794099c6,,,Step 1 values belong to separately printed operating-engineer classifications.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0288_sr_002df81a6f483ea97d9378b3.pdf#page=24,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_b39aa747fb573ef4b3fd4160,17,cex1000_717c3b80483aec1697f186d5,24,qobs_b675a2e53a04a44de33bc59d|qobs_3f9b49ed145bb678d54a2852,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_b675a2e53a04a44de33bc59d|qobs_3f9b49ed145bb678d54a2852,,,Step 2 values belong to separately printed operating-engineer classifications.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0288_sr_002df81a6f483ea97d9378b3.pdf#page=24,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_3dded7aaf73536d0a8f5842f,18,cex1000_35dc3daf0d4fcd0332f7d0e2,8,qobs_e7d065a47ede9da2ca9c9bf4|qobs_c702c01aaa380ba5421a63ef|qobs_642603a66adb930a4bc11f89,3,insufficient_evidence_needs_review,unresolved,retain_active_flag_unresolved,no_change,qobs_e7d065a47ede9da2ca9c9bf4|qobs_c702c01aaa380ba5421a63ef|qobs_642603a66adb930a4bc11f89,,,The extracted rank conflicts with the visible schedule row and two records were already marked ambiguous-column captures.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0271_sr_0e186e8cd29f03e5892256ea.pdf#page=8,structured_fields_and_single_bounded_local_page,BOUNDED_EVIDENCE_REMAINS_UNDERSPECIFIED,low,true,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_f0a5f0b8cacd492f5bfd6370,19,cex1000_af84a371c33fa01fd46e1def,9,qobs_44c176d723a45d092b70a220|qobs_2a4ff935eacf0887f6e17bf6,2,distinct_effective_period,resolved,retain_distinct_active_records,no_change,qobs_44c176d723a45d092b70a220|qobs_2a4ff935eacf0887f6e17bf6,,,Battalion Chief values are separately printed for 1/1/19 and 1/1/20.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0181_sr_609637bfe2d8768ded3d56f8.pdf#page=9,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_2ee6ef974211b9243e69a35d,20,cex1000_af84a371c33fa01fd46e1def,9,qobs_fe46d8e0f5e88cafcd12fcb9|qobs_ec129e9ee12c9cb34b781063,2,distinct_effective_period,resolved,retain_distinct_active_records,no_change,qobs_fe46d8e0f5e88cafcd12fcb9|qobs_ec129e9ee12c9cb34b781063,,,Lieutenant values are separately printed for 1/1/19 and 1/1/20.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0181_sr_609637bfe2d8768ded3d56f8.pdf#page=9,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_8355e8d389df6989fb696cd2,21,cexrem_dab56921778c4897f80f92b3,3,qobs_385b65477fc10d7f7e75ea04|qobs_807ac4fbdef04119190cea92,2,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_385b65477fc10d7f7e75ea04|qobs_807ac4fbdef04119190cea92,,,The bounded Accountant row prints separate minimum and maximum monthly-range cells.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0459_sr_e6f58ede919b66be21b31521.pdf#page=3,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_32ecc85e29c51a67e5894eff,22,cexrem_9912821b51d9e593a00167ac,1,qobs_4a1c3ca7714c258dd0a0454e|qobs_d873c5dda67baac7c3527d57|qobs_720b28cb3bdcab6c4c14bb7a|qobs_00404927aa0bcef6e91e9a53|qobs_da3a99c999e5977d01aef733,5,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_4a1c3ca7714c258dd0a0454e|qobs_d873c5dda67baac7c3527d57|qobs_720b28cb3bdcab6c4c14bb7a|qobs_00404927aa0bcef6e91e9a53|qobs_da3a99c999e5977d01aef733,,,The bounded salary schedule prints the values in separate classification/range cells.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0254_sr_27e4f78bb051a0b5d663a0c9.pdf#page=1,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_5d6ad444a076bb87ea8058da,23,cexrem_a9e55bc0aa6bfdef69a5909e,4,qobs_1c316c2b1f0edd6989940ae1|qobs_607aea7d85024b899c0451d6,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_1c316c2b1f0edd6989940ae1|qobs_607aea7d85024b899c0451d6,,,The bounded table labels separate probationary-firefighter and firefighter schedule rows.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf#page=4,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_d3602e19ca39137e07ac9da8,24,cexrem_a9e55bc0aa6bfdef69a5909e,5,qobs_d4ce04e08316696c3f53c9fd|qobs_1023a414cb004adbcd96fd4c|qobs_9d2607efbee146824bce505b,3,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_d4ce04e08316696c3f53c9fd|qobs_1023a414cb004adbcd96fd4c|qobs_9d2607efbee146824bce505b,,,The bounded schedule places the values in separately labeled firefighter/rank sections.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf#page=5,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_6fe17bb6caf1f12b294377ea,25,cexrem_b07dd566b242de8eafb00f46,29,qobs_25fb85325140469b4fa0cd01|qobs_24ffef991e72480c736af4a1|qobs_5d3ab3444d886ea18afc5b03,3,non_base_wage_misroute,resolved,deactivate_and_route_to_non_base_wage,create_corrected_non_base_wage_records,,qobs_25fb85325140469b4fa0cd01|qobs_24ffef991e72480c736af4a1|qobs_5d3ab3444d886ea18afc5b03,nobsqa1826_ff74b667f52eaa8cf7b1d8ba|nobsqa1826_90c199dd2f3e8072b28758b8|nobsqa1826_091a0715827507c803b67d5b,Article 23 labels all three values as temporary working-out-of-classification increases to regular base pay.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0036_sr_68935d28a1c1406c52c39749.pdf#page=29,structured_fields_and_single_bounded_local_page,WORKING_OUT_OF_CLASSIFICATION_PREMIUM,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_03f9dadce924e818ac924ffc,26,cexrem_49dfe4f44d1064b2d1c1f338,1,qobs_f36e3f4b3de743590affc1ba|qobs_3b3350f26db53b5da83a959a,2,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_f36e3f4b3de743590affc1ba|qobs_3b3350f26db53b5da83a959a,,,The Superintendent row prints separate lower and upper salary-range endpoints.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0481_sr_32786611fb6285f4b9d0ad9d.pdf#page=1,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_7287d7507ee134b205728000,27,cexrem_49dfe4f44d1064b2d1c1f338,1,qobs_ec4f52fc46e62858d1a51c77|qobs_83c4551fa846e056b9a96ae7,2,distinct_schedule_cell,resolved,retain_distinct_active_records,no_change,qobs_ec4f52fc46e62858d1a51c77|qobs_83c4551fa846e056b9a96ae7,,,The Director row prints separate lower and upper salary-range endpoints.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0481_sr_32786611fb6285f4b9d0ad9d.pdf#page=1,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_SCHEDULE_CELL,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_f3b10d1170d1586278bee2d9,28,cexrem_6f84956cfa5eea6688384aa8,4,qobs_b9e8cd16e0a8e3e39efda5c6|qobs_68b0b869b7dcbb66b248e257,2,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_b9e8cd16e0a8e3e39efda5c6|qobs_68b0b869b7dcbb66b248e257,,,The bounded ordinance assigns the values to Financial Specialist Senior and GIS Manager rows.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0497_sr_3171db98c0275c9985c97422.pdf#page=4,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_0a5ab6b9dfc7addefd02cb6e,29,cexrem_f21fae4d8174c655137bc513,5,qobs_4bb5a1594319d7ea34946c34|qobs_59b323dfd80ab585addca82b|qobs_c197731be206ec83e64ea7e2,3,distinct_effective_period,resolved,retain_distinct_active_records,no_change,qobs_4bb5a1594319d7ea34946c34|qobs_59b323dfd80ab585addca82b|qobs_c197731be206ec83e64ea7e2,,,"The same firefighter step is printed in separate 2025, 2026, and 2027 columns.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0381_sr_40eecb8b21eccb382e4ef10b.pdf#page=5,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_68289fccf8d5fc05fe6b8758,30,cexrem_f21fae4d8174c655137bc513,5,qobs_8c2bc82f477980d60d998149|qobs_e845ee2d9ac248946c848da3,2,distinct_effective_period,resolved,retain_distinct_active_records,no_change,qobs_8c2bc82f477980d60d998149|qobs_e845ee2d9ac248946c848da3,,,The same firefighter step is printed in separate 2025 and 2026 columns.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0381_sr_40eecb8b21eccb382e4ef10b.pdf#page=5,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_2c8b219669417846e513c7a6,31,cexrem_cafa624e78038f24b742d906,31,qobs_673f1157a566753eab1824f9|qobs_6767c141cd71d40768c126a7|qobs_0df1d7696c5cc89dbca4cf2c,3,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_673f1157a566753eab1824f9|qobs_6767c141cd71d40768c126a7|qobs_0df1d7696c5cc89dbca4cf2c,,,The bounded wage schedule assigns the values to different public-works classifications.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0049_sr_427607f3271b68692ac11411.pdf#page=31,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_94b324cd0a1ec6a9ac7d1529,32,cexrem_80021c9ab0c0dfe13e018498,33,qobs_080a5c596af4aded2e2024bb|qobs_d2c873454eee9ae0894add69|qobs_80da70883316022ab772c079|qobs_90a9d499cb756cc68b6e41c7|qobs_71cde6b875761e01b1e9196c,5,distinct_classification_or_rank,resolved,retain_distinct_active_records,no_change,qobs_080a5c596af4aded2e2024bb|qobs_d2c873454eee9ae0894add69|qobs_80da70883316022ab772c079|qobs_90a9d499cb756cc68b6e41c7|qobs_71cde6b875761e01b1e9196c,,,The bounded pay plan prints separate officer-training through senior-patrol rank cells.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0334_sr_966d2b366534e70292f29775.pdf#page=33,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_CLASSIFICATION_OR_RANK,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
qares1826_4b2c147c71ea8dea883d40ff,33,cexrem_9aff3a6793ab96240acc33ee,10,qobs_4b5db992df89fc51db7bae19|qobs_555594ca210035c9fab0d150|qobs_9de6044cf801424a7364453b,3,distinct_effective_period,resolved,retain_distinct_active_records,no_change,qobs_4b5db992df89fc51db7bae19|qobs_555594ca210035c9fab0d150|qobs_9de6044cf801424a7364453b,,,"The Detective Grade row prints separate 2022, 2023, and 2024 annual columns.",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0328_sr_5b507f41e7656687449db253.pdf#page=10,structured_fields_and_single_bounded_local_page,CONFLICT_RESOLVED_DISTINCT_EFFECTIVE_PERIOD,high,false,"No missing classification, rank, step, pay band, or date was added to an observation."
