implementation_status,join_status,municipality,root_compensation_event_id,side,state,urbanicity
formally_adopted,matched,Vernon,ROOTCOMP-5927c2f74dd7d14580b451c4,remains_unclear,CT,unknown
implemented,matched,Archer,ROOTCOMP-baefca1a69947871639dc1ff,remains_unclear,FL,rural
implemented,matched,Archer,ROOTCOMP-b64ed7697ee120c797b79cd7,remains_unclear,FL,rural
implemented,matched,Astatula,ROOTCOMP-af1ec0547ecec7ed97c696b7,remains_unclear,FL,rural
formally_adopted,matched,Atlantic Beach,ROOTCOMP-8aa7eea6527f9d2f9d800660,remains_unclear,FL,urban
formally_adopted,matched,Atlantic Beach,ROOTCOMP-2231f6f92352d0bd694d8529,remains_unclear,FL,urban
implemented,matched,Biscayne Park,ROOTCOMP-f38b13102a07cce326db092a,police,FL,urban
implemented,matched,Biscayne Park,ROOTCOMP-fbae2d51501ca53daf5e2466,police,FL,urban
implemented,matched,Bonifay,ROOTCOMP-2fa01605114e0ca6d7450397,remains_unclear,FL,rural
implemented,matched,Century,ROOTCOMP-07192482f3bd4db202fa1f70,remains_unclear,FL,rural
implemented,matched,Dunnellon,ROOTCOMP-bf84997d675400265c590e3e,remains_unclear,FL,unknown
implemented,matched,Eagle Lake,ROOTCOMP-9aacb12c32b268c19c742421,remains_unclear,FL,urban
implemented,matched,Golden Beach,ROOTCOMP-9d9cef1e90b6e6ec64070512,police,FL,urban
implemented,matched,Golden Beach,ROOTCOMP-1100d99c298e80c79ed3471e,police,FL,urban
implemented,matched,Golden Beach,ROOTCOMP-6d5868c2eecd16969854d0f4,police,FL,urban
implemented,matched,Golden Beach,ROOTCOMP-7e2cbb6fcd0fb4bd9de4b89d,police,FL,urban
formally_adopted,matched,Golden Beach,ROOTCOMP-00ff490bec9c2bc8a5b14c2d,police,FL,urban
implemented,matched,Greenville,ROOTCOMP-3bca9a7b3183a53be318faf2,remains_unclear,FL,rural
implemented,matched,Holly Hill,ROOTCOMP-bb004f13a92a2b3fa35d3d06,police,FL,urban
implemented,matched,Inglis,ROOTCOMP-cd49acfee736c40d3fe56b40,remains_unclear,FL,rural
formally_adopted,matched,Jupiter Island,ROOTCOMP-b3540574c297c9ed550a3697,police,FL,urban
implemented,matched,Key Colony Beach,ROOTCOMP-130f4d9e6ca85e2cdf872660,police,FL,urban
implemented,matched,Manalapan,ROOTCOMP-941fad2aaf35ac13a625b96d,police,FL,urban
implemented,matched,Melbourne Beach,ROOTCOMP-d4752ca4a1bb517de4ebec98,remains_unclear,FL,urban
formally_adopted,matched,Mexico Beach,ROOTCOMP-55d353bb6a2b43e9c341ce3d,remains_unclear,FL,rural
implemented,matched,Ocean Ridge,ROOTCOMP-2bea223562c44ea9dd07c298,remains_unclear,FL,urban
implemented,matched,Ocean Ridge,ROOTCOMP-f9f0fed797b1980f25207b01,remains_unclear,FL,urban
implemented,matched,Sewall's Point,ROOTCOMP-654161f24c9030341d3fba92,remains_unclear,FL,urban
implemented,matched,Sewall's Point,ROOTCOMP-c4b877346b185afa15a6d840,remains_unclear,FL,urban
formally_adopted,matched,Arnoldsville,ROOTCOMP-5c7765ac3141b416e9a79713,remains_unclear,GA,rural
implemented,matched,Arnoldsville,ROOTCOMP-b7b8d337a7b00dcd532e6eff,remains_unclear,GA,rural
implemented,matched,Buckhead,ROOTCOMP-1b29dfdf09ff5987a773febc,side_independent,GA,rural
formally_adopted,matched,Chattahoochee Hills,ROOTCOMP-cfd7515849c5c7d5111c31a6,remains_unclear,GA,unknown
implemented,matched,Danielsville,ROOTCOMP-adbec70874a11548724ddc8f,non_safety,GA,rural
implemented,matched,Danielsville,ROOTCOMP-f3f8d34a85b46b7620a18921,remains_unclear,GA,rural
formally_adopted,matched,Guyton,ROOTCOMP-6d92a48a84ff38d54c6a57c1,remains_unclear,GA,rural
implemented,matched,Madison,ROOTCOMP-aa9e8a4f30cd1672bbe09b1b,remains_unclear,GA,unknown
formally_adopted,matched,Nicholson,ROOTCOMP-cd22c641ecf31d838a35eb3e,side_independent,GA,rural
implemented,matched,Oxford,ROOTCOMP-dab7721a2aa8a9e55560ce02,remains_unclear,GA,urban
implemented,matched,Pinehurst,ROOTCOMP-65a7972bd10f2f0549d0d8f1,police,GA,rural
implemented,matched,Sandersville,ROOTCOMP-897891d9c77016ba5d5159ed,police,GA,unknown
implemented,matched,Sandersville,ROOTCOMP-5a236cbd11ea019c96d66187,police,GA,unknown
implemented,matched,Social Circle,ROOTCOMP-67f4688300c1e19c75af2da7,remains_unclear,GA,rural
formally_adopted,matched,Social Circle,ROOTCOMP-9d515c323c0a76ea278ad914,remains_unclear,GA,rural
formally_adopted,matched,Statham,ROOTCOMP-13e2873358b960601503bc17,side_independent,GA,urban
formally_adopted,matched,Statham,ROOTCOMP-963d5bb2d3bab8e9b8f0583b,remains_unclear,GA,urban
implemented,matched,Tyrone,ROOTCOMP-e50de8512114a47591654cc6,non_safety,GA,urban
implemented,matched,Andrew,ROOTCOMP-b9b7a2f20266b93987d1355b,side_independent,IA,rural
implemented,matched,Avoca,ROOTCOMP-257bfea8952a7fd8b16cbd83,remains_unclear,IA,rural
implemented,matched,Calamus,ROOTCOMP-ffb9af7ddbb8361ca4a58b1a,non_safety,IA,rural
implemented,matched,Calamus,ROOTCOMP-8a61462ed69c965f853fbfce,side_independent,IA,rural
implemented,matched,Callender,ROOTCOMP-fc93008f70ab9f2c1f02fc2d,remains_unclear,IA,rural
implemented,matched,Clarence,ROOTCOMP-647d5fbf28b42e61771a7fa8,remains_unclear,IA,rural
implemented,matched,Coggon,ROOTCOMP-4f6021715d6e29a7095e86c0,remains_unclear,IA,rural
implemented,matched,Colfax,ROOTCOMP-a6646f135f57dc66d5da404c,remains_unclear,IA,rural
implemented,matched,Colo,ROOTCOMP-7d8c3bd8ecee486ee9976a14,remains_unclear,IA,rural
implemented,matched,Colo,ROOTCOMP-df7fb05171723d2335863c29,remains_unclear,IA,rural
implemented,matched,Dunkerton,ROOTCOMP-9e81e4788eb43967a59559fa,remains_unclear,IA,rural
implemented,matched,Earlham,ROOTCOMP-b3d54cdac3b5aaed2d4e1064,police,IA,rural
implemented,matched,Earlham,ROOTCOMP-bdf171c3b77ce5d2a34ead7f,police,IA,rural
implemented,matched,Elk Horn,ROOTCOMP-4c6d85dbb751e51fea7f7d57,remains_unclear,IA,rural
implemented,matched,Elk Horn,ROOTCOMP-80086536ea90e055f64a18e1,remains_unclear,IA,rural
implemented,matched,Farmington,ROOTCOMP-a9d6287a460d64c042efd359,remains_unclear,IA,rural
implemented,matched,Farmington,ROOTCOMP-642f1ee7b3469ab0da37d39a,remains_unclear,IA,rural
formally_adopted,matched,Fort Madison,ROOTCOMP-0c679c24e2415e59eca36e16,remains_unclear,IA,urban
formally_adopted,matched,Fort Madison,ROOTCOMP-4d55d1029dbd432cd897dce1,remains_unclear,IA,urban
implemented,matched,Fruitland,ROOTCOMP-3fc71d69696b87969bf64497,remains_unclear,IA,unknown
implemented,matched,Fruitland,ROOTCOMP-af94a10fbc6dcff7e19813e0,remains_unclear,IA,unknown
formally_adopted,matched,Garnavillo,ROOTCOMP-957f90169d2e975fbd3e0f3e,remains_unclear,IA,rural
implemented,matched,Gilmore City,ROOTCOMP-a0632418e218d69938dff115,remains_unclear,IA,rural
implemented,matched,Gowrie,ROOTCOMP-eda485ac949a4da1c824d21d,police,IA,rural
implemented,matched,Gowrie,ROOTCOMP-8e4b29f511239ff379c50e09,police,IA,rural
implemented,matched,Graettinger,ROOTCOMP-57a2bc34d49ba8ee8d8567f4,remains_unclear,IA,rural
implemented,matched,Hawkeye,ROOTCOMP-cd809daff7f9a6bf560a8746,side_independent,IA,rural
implemented,matched,Hinton,ROOTCOMP-50675c0fc9fa6c2d1647b8a9,police,IA,rural
implemented,matched,Kanawha,ROOTCOMP-4b8174b77c043d9494f71501,remains_unclear,IA,rural
implemented,matched,Lake City,ROOTCOMP-cee5640f34217c955c843b36,police,IA,rural
implemented,matched,Lake Mills,ROOTCOMP-07175723870278edff089e5f,police,IA,rural
formally_adopted,matched,Madrid,ROOTCOMP-b6bc12371aae7256551831f4,remains_unclear,IA,rural
implemented,matched,Miles,ROOTCOMP-7a9de45c2f9eb9fa7f797744,remains_unclear,IA,rural
implemented,matched,Miles,ROOTCOMP-ea6ed86f2d0882ee608ccbb4,remains_unclear,IA,rural
implemented,matched,Moravia,ROOTCOMP-9091f7c558c719f9ede6574a,non_safety,IA,rural
implemented,matched,Moville,ROOTCOMP-f4efbc5beabc2b6f3110485f,remains_unclear,IA,rural
implemented,matched,Ocheyedan,ROOTCOMP-6ad3daff83f322811bdc507e,police,IA,rural
implemented,matched,Palo,ROOTCOMP-c107376336f60c65706ae85e,remains_unclear,IA,rural
implemented,matched,Pilot Mound,ROOTCOMP-9c3932306ebbdade36ac6125,side_independent,IA,rural
implemented,matched,Pleasantville,ROOTCOMP-e8a656bb10cbbb33d755751e,remains_unclear,IA,rural
implemented,matched,St. Ansgar,ROOTCOMP-f56af7b389d44bd2eb28e775,remains_unclear,IA,rural
implemented,matched,Templeton,ROOTCOMP-bfddc970f8af6f1ecb88f578,side_independent,IA,rural
implemented,matched,University Heights,ROOTCOMP-7ca794b21c03fade9de04da1,police,IA,urban
implemented,matched,Walcott,ROOTCOMP-e3bda4ac030b6116be96f9e1,remains_unclear,IA,rural
implemented,matched,Webb,ROOTCOMP-8ef97d336a80fdf699805b91,side_independent,IA,rural
implemented,matched,Webb,ROOTCOMP-6aa513790b3b37d25b978186,side_independent,IA,rural
formally_adopted,matched,Idaho City,ROOTCOMP-8716384e2f55c10e7381c1c9,remains_unclear,ID,rural
formally_adopted,matched,Moore,ROOTCOMP-636ffba21d179448d418c4ac,remains_unclear,ID,rural
formally_adopted,matched,Moore,ROOTCOMP-2caf386df9adc9199b74389a,non_safety,ID,rural
implemented,matched,Moore,ROOTCOMP-ef5683259b288b6ec14aba1a,remains_unclear,ID,rural
implemented,matched,Moore,ROOTCOMP-af0bd487d93bfa8a9ebb6887,remains_unclear,ID,rural
implemented,matched,Tetonia,ROOTCOMP-3fa33a08fc3ce98b854b3c5b,remains_unclear,ID,rural
implemented,matched,Addison,ROOTCOMP-fc49bcf3fb8f8675662c1ef3,side_independent,IL,urban
implemented,matched,Barrington Hills,ROOTCOMP-dbcbdf8e2ab2274ab6ccdcbe,police,IL,unknown
implemented,matched,Barrington Hills,ROOTCOMP-761b960e7a111a5a572f1bec,police,IL,unknown
implemented,matched,Barrington Hills,ROOTCOMP-158e25b1362e0d71dd429fee,police,IL,unknown
implemented,matched,Barrington Hills,ROOTCOMP-864f0514751180abf23ad3bb,remains_unclear,IL,unknown
implemented,matched,Bedford Park,ROOTCOMP-73797a7a54bd8804da26593f,non_safety,IL,urban
implemented,matched,Bedford Park,ROOTCOMP-ca49dbdce0bbec48ca22543a,non_safety,IL,urban
implemented,matched,Bellflower,ROOTCOMP-c223205d115e5d7b14f4d644,side_independent,IL,rural
formally_adopted,matched,Bellwood,ROOTCOMP-c7e8afc01d4545fd757c6fc6,remains_unclear,IL,urban
implemented,matched,Belvidere,ROOTCOMP-4834db0fefec91cfa75e4054,fire,IL,urban
implemented,matched,Benton,ROOTCOMP-be71973eabc6e4c8e4b874a0,fire,IL,urban
implemented,matched,Benton,ROOTCOMP-8546d048b273f62c05543cbc,fire,IL,urban
implemented,matched,Bethalto,ROOTCOMP-daeaab848d1acbd2171f4667,police,IL,urban
implemented,matched,Breese,ROOTCOMP-3bba0427a7e5e95ae48c1597,remains_unclear,IL,urban
implemented,matched,Broadview,ROOTCOMP-48a063dffef6a99995878084,police,IL,urban
implemented,matched,Broadview,ROOTCOMP-498b5acb2c3b972eac80972f,police,IL,urban
implemented,matched,Broadview,ROOTCOMP-329d0a0286521d22457aac4d,fire,IL,urban
implemented,matched,Camargo,ROOTCOMP-9e584661ba2c0553d57652b8,remains_unclear,IL,rural
formally_adopted,matched,Camargo,ROOTCOMP-beb85ac7fb032e49ae21c99e,remains_unclear,IL,rural
implemented,matched,Carlinville,ROOTCOMP-4ae2b7e2a3b4f850bfa5143e,police,IL,unknown
implemented,matched,Carlock,ROOTCOMP-110494cc88d947b1fb81d9bc,remains_unclear,IL,rural
implemented,matched,Casey,ROOTCOMP-6848382e32df4868e3f8facb,remains_unclear,IL,rural
implemented,matched,Casey,ROOTCOMP-ce806185c900ba8800a63df1,remains_unclear,IL,rural
implemented,matched,Casey,ROOTCOMP-677e1a83240e83d9869f19c1,police,IL,rural
implemented,matched,Casey,ROOTCOMP-41d78f901d02db71a8027813,police,IL,rural
implemented,matched,Casey,ROOTCOMP-77b88e5b29a88a6ee39e9637,police,IL,rural
implemented,matched,Casey,ROOTCOMP-73b8948fdf48c3241c9ee7cb,police,IL,rural
implemented,matched,Casey,ROOTCOMP-cae41083bf85b211e5b22514,police,IL,rural
paid_or_observed,matched,Champaign,ROOTCOMP-6b6d4507011e0682cdae31a7,side_independent,IL,urban
implemented,matched,Charleston,ROOTCOMP-d3d6278f4a97b18a2a156997,police,IL,unknown
implemented,matched,Charleston,ROOTCOMP-80df7fb8c3894df99b646eda,police,IL,unknown
implemented,matched,Colona,ROOTCOMP-bb8adcfe2b587a20a451f310,non_safety,IL,unknown
implemented,matched,Colona,ROOTCOMP-d5a944ff035ab0d84ce00e61,non_safety,IL,unknown
implemented,matched,Colona,ROOTCOMP-d890e272ce75e618346789b6,remains_unclear,IL,unknown
implemented,matched,Colona,ROOTCOMP-59fa856967cdcccdb81b1e26,remains_unclear,IL,unknown
formally_adopted,matched,Country Club Hills,ROOTCOMP-72d2eb04fd569929bb2bd75f,remains_unclear,IL,urban
implemented,matched,East Dundee,ROOTCOMP-cc4112d9ca09997c39eac562,police,IL,urban
implemented,matched,East Dundee,ROOTCOMP-25279a3567e7915f0ebaeee1,police,IL,urban
implemented,matched,East Dundee,ROOTCOMP-6e1d6ed4f9cc39a0850df475,police,IL,urban
formally_adopted,matched,Effingham,ROOTCOMP-e79d15c4e6bd82e88849c58b,remains_unclear,IL,urban
implemented,matched,Elburn,ROOTCOMP-badc64e3396bd6949128b6df,police,IL,urban
implemented,matched,Elburn,ROOTCOMP-e216e25b11f30b4ce39d7531,police,IL,urban
implemented,matched,Elburn,ROOTCOMP-fba36f55e95143699331fb71,police,IL,urban
implemented,matched,Elk Grove,ROOTCOMP-d5bfdf7da468c3e767077d4d,safety_combined,IL,urban
implemented,matched,Elwood,ROOTCOMP-22f4e3210f2cf24b6fbcf6fd,side_independent,IL,rural
implemented,matched,Elwood,ROOTCOMP-8e0b9289bd04e3b69c511c60,side_independent,IL,rural
implemented,matched,Elwood,ROOTCOMP-560d38e8c79f44537ebcdaf8,side_independent,IL,rural
implemented,matched,Farmer City,ROOTCOMP-84d9edb9a4befa39ab5f2074,side_independent,IL,rural
formally_adopted,matched,Farmington,ROOTCOMP-b76e94142a6ae22d47a8db01,police,IL,rural
implemented,matched,Farmington,ROOTCOMP-910ae41360ba25a8da05eab1,police,IL,rural
formally_adopted,matched,Fisher,ROOTCOMP-d080ec30eca78848d5dbad56,remains_unclear,IL,rural
implemented,matched,Flora,ROOTCOMP-5a553f21bdb561d623c450c5,remains_unclear,IL,unknown
implemented,matched,Flora,ROOTCOMP-65bc1c923cb911afed456039,remains_unclear,IL,unknown
formally_adopted,matched,Flossmoor,ROOTCOMP-4b5c095b31ef120f966a3487,remains_unclear,IL,urban
formally_adopted,matched,Flossmoor,ROOTCOMP-93533065a2023bd7625198f4,remains_unclear,IL,urban
formally_adopted,matched,Flossmoor,ROOTCOMP-09d2bbbc03c07957a55ee668,remains_unclear,IL,urban
implemented,matched,Flossmoor,ROOTCOMP-126a15d89f162d65df519bcc,remains_unclear,IL,urban
formally_adopted,matched,Flossmoor,ROOTCOMP-4fd4a3ffb06cf163eddee3bb,remains_unclear,IL,urban
implemented,matched,Flossmoor,ROOTCOMP-e42df993be504135fe81e237,remains_unclear,IL,urban
implemented,matched,Ford Heights,ROOTCOMP-0b8dd20b7079afacfcb3096d,side_independent,IL,urban
implemented,matched,Forest View,ROOTCOMP-501e303b7276c4627c0b410e,side_independent,IL,urban
implemented,matched,Forest View,ROOTCOMP-0559d3f0ba6f376b57c24e87,side_independent,IL,urban
implemented,matched,Forest View,ROOTCOMP-4318c82e187b15a5af768587,side_independent,IL,urban
implemented,matched,Forsyth,ROOTCOMP-5ad9b122a573f6fd3f00ebe0,remains_unclear,IL,urban
implemented,matched,Freeport,ROOTCOMP-90fac9a1c1971401d57b5328,remains_unclear,IL,urban
implemented,matched,Fulton,ROOTCOMP-dc5331524a2e88837da32676,non_safety,IL,urban
implemented,matched,Fulton,ROOTCOMP-1cd10f34e63b5ff1b0afa8d3,police,IL,urban
