qa_resolution_id,review_queue_row_number,review_type,extraction_case_id,page_number,lane,source_observation_ids,source_observation_count,resolution_classification,resolution_status,canonical_observation_id,duplicate_observation_ids,affected_quantitative_observation_ids,affected_non_base_wage_observation_ids,corrected_quantitative_action,corrected_non_base_wage_action,local_evidence_inspected,bounded_evidence_pointer,structured_basis,confidence,unresolved_flag,notes
qares_a9b34eac62c25fc3378760a2,11,potential_quantitative_conflict,cex_60f545713dd3d64f8f7d2580,36,quantitative,qobs_4eccb7887656c2d01ed5891a|qobs_fa06ad19d5b99b9cbebf7851,2,distinct_schedule_cell,resolved,,,qobs_4eccb7887656c2d01ed5891a|qobs_fa06ad19d5b99b9cbebf7851,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0059_sr_06e4275704df1406d053a9e1.pdf#page=36,Distinct reason codes identify separate structured values on the page.,medium,false,
qares_6b86d3d2633dd324ccec0454,12,potential_quantitative_conflict,cex_0bdde108326cd26fbfcd23a1,1,quantitative,qobs_399fb6bc05bb808915e05676|qobs_61022f6cd00d5a01659db83f,2,distinct_effective_period,resolved,,,qobs_399fb6bc05bb808915e05676|qobs_61022f6cd00d5a01659db83f,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0223_sr_e843a3c1b57bc0692b4c6d48.pdf#page=1,Different year tokens identify distinct effective periods.,medium,false,
qares_8486407b045281a98625fb7a,13,potential_quantitative_conflict,cex_0bdde108326cd26fbfcd23a1,2,quantitative,qobs_ca9ae5f89960cc9ea76a9fdd|qobs_95bdd64c7a0562271046a114|qobs_efa686783a8994c3e2550434,3,distinct_effective_period,resolved,,,qobs_ca9ae5f89960cc9ea76a9fdd|qobs_95bdd64c7a0562271046a114|qobs_efa686783a8994c3e2550434,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0223_sr_e843a3c1b57bc0692b4c6d48.pdf#page=2,Different year tokens identify distinct effective periods.,medium,false,
qares_85732e781c5ac4212367de8a,14,potential_quantitative_conflict,cex_579be2561452cc472e1e067c,6,quantitative,qobs_a6794e47f1d9cc906648bc4f|qobs_9e079dcddb40a45c8400d3cb,2,non_base_wage_misroute,resolved,,,qobs_a6794e47f1d9cc906648bc4f|qobs_9e079dcddb40a45c8400d3cb,nobsqa_80ba03adf7de687377a81c8e|nobsqa_1565378dbb992ff02067f7fa,deactivate_and_route_to_non_base_wage,create_corrected_non_base_records,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0077_sr_0e64b08d9ae4f1e480389c3a.pdf#page=6,Structured values/reason codes identify non-base compensation: overtime,high,false,
qares_60482debca95321ea3d1a183,15,potential_quantitative_conflict,cex_579be2561452cc472e1e067c,5,quantitative,qobs_cadb12ccf757ba3f3e4e3f98|qobs_8267cf3612c5a6568975789c|qobs_89a54513858dc5c2ffc60548,3,insufficient_evidence_needs_review,unresolved,,,qobs_cadb12ccf757ba3f3e4e3f98|qobs_8267cf3612c5a6568975789c|qobs_89a54513858dc5c2ffc60548,,retain_active_flag_unresolved,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0077_sr_0e64b08d9ae4f1e480389c3a.pdf#page=5,Different values share an under-specified structured key and reason code.,low,true,
qares_1c1cee76c22ac63ca335a1c0,16,potential_quantitative_conflict,cex_0265647a9dfb1ada78c6c015,28,quantitative,qobs_3182599c90ebc7d9a53ce7a8|qobs_deaef29db45f0e484ecf83cb,2,distinct_classification_or_rank,resolved,,,qobs_3182599c90ebc7d9a53ce7a8|qobs_deaef29db45f0e484ecf83cb,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0039_sr_a2c650a660a27851bfc80165.pdf#page=28,Reason codes distinguish named/classified/market pay components.,medium,false,
qares_741c54649ecf6e82a62d7284,17,potential_quantitative_conflict,cex_0265647a9dfb1ada78c6c015,28,quantitative,qobs_c378eca908a151025bb9b314|qobs_571970b1da5de4214cdb6e7f,2,distinct_classification_or_rank,resolved,,,qobs_c378eca908a151025bb9b314|qobs_571970b1da5de4214cdb6e7f,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0039_sr_a2c650a660a27851bfc80165.pdf#page=28,Reason codes distinguish named/classified/market pay components.,medium,false,
qares_0588c802e3396a75246e0d24,18,potential_quantitative_conflict,cex_4ae96d4716c9d16f51e96338,1,quantitative,qobs_8b795385291a2329c660b313|qobs_616ed91fc6e84cac4546b313|qobs_ac972bfdadb3e8da81f13317,3,distinct_classification_or_rank,resolved,,,qobs_8b795385291a2329c660b313|qobs_616ed91fc6e84cac4546b313|qobs_ac972bfdadb3e8da81f13317,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0494_sr_618a668ac9b41a5cd4636847.pdf#page=1,Distinct structured reason codes identify separate schedule rows/cells.,medium,false,
qares_cfcf7c8230921f98f37625c8,19,potential_quantitative_conflict,cex_4ae96d4716c9d16f51e96338,1,quantitative,qobs_1f67d73bb436adb3a6d166ef|qobs_3993b784bdd5dcb1d082fe02,2,distinct_classification_or_rank,resolved,,,qobs_1f67d73bb436adb3a6d166ef|qobs_3993b784bdd5dcb1d082fe02,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0494_sr_618a668ac9b41a5cd4636847.pdf#page=1,Distinct structured reason codes identify separate schedule rows/cells.,medium,false,
qares_5f4881919c69d635d6c5f955,20,potential_quantitative_conflict,cex_9910ffe374d823ba0403d682,1,quantitative,qobs_0aedd9ce7bcafbaa7c006e87|qobs_a32111d0e07be1a417ac3a00|qobs_d3d77c681e1d95d916fb00ea,3,distinct_effective_period,resolved,,,qobs_0aedd9ce7bcafbaa7c006e87|qobs_a32111d0e07be1a417ac3a00|qobs_d3d77c681e1d95d916fb00ea,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0057_sr_c27e34740861ed318c1bcaed.pdf#page=1,Different year tokens identify distinct effective periods.,medium,false,
qares_2fac3fed12be56d1da88ce84,21,potential_quantitative_conflict,cex_9910ffe374d823ba0403d682,1,quantitative,qobs_d1f487ed8b6a0e4398a22091|qobs_a7ed5daa06348c7ff796e752,2,distinct_schedule_cell,resolved,,,qobs_d1f487ed8b6a0e4398a22091|qobs_a7ed5daa06348c7ff796e752,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0057_sr_c27e34740861ed318c1bcaed.pdf#page=1,Distinct reason codes identify separate percentage components/cells.,medium,false,
qares_6f51ea41900f38d6caa46b7c,22,potential_quantitative_conflict,cex_5c42671b903f2c4c5b1772db,11,quantitative,qobs_7487d85e6da52c266564386c|qobs_3fff7ead5bf92d2bfa54d110|qobs_0ac01ed6fb17d98e9e55f450|qobs_e3f50c415d913677b30993ca,4,distinct_schedule_cell,resolved,,,qobs_7487d85e6da52c266564386c|qobs_3fff7ead5bf92d2bfa54d110|qobs_0ac01ed6fb17d98e9e55f450|qobs_e3f50c415d913677b30993ca,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0060_sr_0d60608a63f5a0142b7e515b.pdf#page=11,Distinct reason codes identify separate structured values on the page.,medium,false,
qares_8e78e4472e733e44abbe66d6,23,potential_quantitative_conflict,cex_03b2c71eb4e4270de7dbae55,4,quantitative,qobs_0594cad82ca893c7036ad446|qobs_3145e5387aceae4bb6a5a020,2,non_base_wage_misroute,resolved,,,qobs_0594cad82ca893c7036ad446|qobs_3145e5387aceae4bb6a5a020,nobsqa_2408469ace9ca869dda2197d|nobsqa_c3e3732b7d986124b7bde4ea,deactivate_and_route_to_non_base_wage,create_corrected_non_base_records,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0392_sr_fbd9fb1a52a4825206da0aaf.pdf#page=4,Structured values/reason codes identify non-base compensation: overtime,high,false,
qares_a1adf7fc4e761cfe225c9e54,24,potential_quantitative_conflict,cex_03b2c71eb4e4270de7dbae55,5,quantitative,qobs_58c90faa148bd87f0a301554|qobs_3232855663389a176dfe533e,2,distinct_schedule_cell,resolved,,,qobs_58c90faa148bd87f0a301554|qobs_3232855663389a176dfe533e,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0392_sr_fbd9fb1a52a4825206da0aaf.pdf#page=5,Distinct reason codes identify separate structured values on the page.,medium,false,
qares_406989fc2121adb8453a1115,25,potential_quantitative_conflict,cex_89199500d21c2dbab6bb3b4c,22,quantitative,qobs_d27117eb74b19b547ef8b778|qobs_419736e633d6cc58da5b6dc0,2,distinct_classification_or_rank,resolved,,,qobs_d27117eb74b19b547ef8b778|qobs_419736e633d6cc58da5b6dc0,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0167_sr_60c30d0f4246524d0bf6eb03.pdf#page=22,Distinct structured reason codes identify separate schedule rows/cells.,medium,false,
qares_086c09f1f1bfb237e8ff07e6,26,potential_quantitative_conflict,cex_1fa1e412a821765bf0673616,6,quantitative,qobs_7d59019de0e975088093191b|qobs_696fec269326e7bd405b6a47|qobs_194aeccaaa80ba41e0ff3892|qobs_e68f60236f4804303aaddbdc|qobs_d8cd849b2a621614dad873d6,5,insufficient_evidence_needs_review,unresolved,,,qobs_7d59019de0e975088093191b|qobs_696fec269326e7bd405b6a47|qobs_194aeccaaa80ba41e0ff3892|qobs_e68f60236f4804303aaddbdc|qobs_d8cd849b2a621614dad873d6,,retain_active_flag_unresolved,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0367_sr_ae7029efe8542a6a8b46ea47.pdf#page=6,"Different rate/salary values lack a captured rank, step, grade, or distinct reason.",low,true,
qares_5f5e8b2e87e5d78606ea89f4,27,potential_quantitative_conflict,cex_8f53bb6a9675f9abb76a9600,1,quantitative,qobs_4d3a3931bf355999436fd22c|qobs_cc5f044a40ca766cb4438a3b,2,distinct_effective_period,resolved,,,qobs_4d3a3931bf355999436fd22c|qobs_cc5f044a40ca766cb4438a3b,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0192_sr_7002d50e3facdd8b4c81b544.pdf#page=1,Different year tokens identify distinct effective periods.,medium,false,
qares_14172bfd9e3cc14d61d6d5e4,28,potential_quantitative_conflict,cex_87f643314ad06cfa714ced23,1,quantitative,qobs_86b37c56b1fe1e21feca3de6|qobs_c2f2fa840af46be0c91436b4|qobs_7dbde19ab20135b3fa4490de|qobs_a5fd4e6733711a3cfdee4534,4,distinct_effective_period,resolved,,,qobs_86b37c56b1fe1e21feca3de6|qobs_c2f2fa840af46be0c91436b4|qobs_7dbde19ab20135b3fa4490de|qobs_a5fd4e6733711a3cfdee4534,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0234_sr_329cda24ea8fa2e5f44cf81c.pdf#page=1,Different year tokens identify distinct effective periods.,medium,false,
qares_1acd79711aad02953b0bab6f,29,potential_quantitative_conflict,cex_22d4d1ba800b504466fa6c16,21,quantitative,qobs_eaa8f07c76407a6d0f5f4f28|qobs_27da8538b8c5eac3a2a38a2d,2,distinct_schedule_cell,resolved,,,qobs_eaa8f07c76407a6d0f5f4f28|qobs_27da8538b8c5eac3a2a38a2d,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0026_sr_140e175be2428c7322e45aad.pdf#page=21,Distinct reason codes identify separate structured values on the page.,medium,false,
qares_2f1415505d3f0cc0cdced012,30,potential_quantitative_conflict,cex_fa42fc634830b4af7bbd55ed,24,quantitative,qobs_94edfdedfe26072c5f43df88|qobs_209be9a836fa5829749587ef,2,distinct_schedule_cell,resolved,,,qobs_94edfdedfe26072c5f43df88|qobs_209be9a836fa5829749587ef,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0380_sr_79100b71dfa8361749005775.pdf#page=24,Distinct reason codes identify separate structured values on the page.,medium,false,
qares_3f0e849b35e951255e2b56cb,31,potential_quantitative_conflict,cex_8296db9331be377a157b0421,12,quantitative,qobs_7f2431bdbc1f074e02cdb4cc|qobs_f9f5d6b8ef24338683649db6|qobs_25264e6502ed619b87edd9e3|qobs_63f476f86b21b7372b0b3461,4,distinct_schedule_cell,resolved,,,qobs_7f2431bdbc1f074e02cdb4cc|qobs_f9f5d6b8ef24338683649db6|qobs_25264e6502ed619b87edd9e3|qobs_63f476f86b21b7372b0b3461,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0396_sr_79fb46d39ccff9b5e787461f.pdf#page=12,Distinct reason codes identify separate structured values on the page.,medium,false,
qares_cf3917f99dfac1ccc3837696,32,potential_quantitative_conflict,cex_16eaf738b05c5647bcaeb569,13,quantitative,qobs_8eb978d47a96e84005c5fbef|qobs_984e79fc6f51b5160bab7d84|qobs_5074c5d9ea5220b2a01f9f00|qobs_3071e41607b1831c315cc24c|qobs_4f2a90d77e431fa982eb64c2,5,distinct_schedule_cell,resolved,,,qobs_8eb978d47a96e84005c5fbef|qobs_984e79fc6f51b5160bab7d84|qobs_5074c5d9ea5220b2a01f9f00|qobs_3071e41607b1831c315cc24c|qobs_4f2a90d77e431fa982eb64c2,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0037_sr_7978c98969264d75c4437cc4.pdf#page=13,Distinct reason codes identify separate structured values on the page.,medium,false,
qares_1dbd120a2fd9f0937fb4dbcf,33,potential_quantitative_conflict,cex_8e895c0bb5dce19638945bf4,9,quantitative,qobs_5147ac2932c6d9b799d3d3dd|qobs_175b7b2105562ae4a732734d,2,distinct_classification_or_rank,resolved,,,qobs_5147ac2932c6d9b799d3d3dd|qobs_175b7b2105562ae4a732734d,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0074_sr_7a75e77fe43a3cb64f662c86.pdf#page=9,Distinct structured reason codes identify separate schedule rows/cells.,medium,false,
qares_f4cb21557547b01c01ff1f24,34,potential_quantitative_conflict,cex_3e940c2d671c549e5967d721,52,quantitative,qobs_11b9469f7e488b96f3668b4b|qobs_228069350461bb0ef04bff48,2,insufficient_evidence_needs_review,unresolved,,,qobs_11b9469f7e488b96f3668b4b|qobs_228069350461bb0ef04bff48,,retain_active_flag_unresolved,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0092_sr_0c7dc75c68a7e6c210594482.pdf#page=52,"Different rate/salary values lack a captured rank, step, grade, or distinct reason.",low,true,
qares_261a3fe9690607f8e5c13fb0,35,potential_quantitative_conflict,cex_5d3e6a5ba223d51087562180,11,quantitative,qobs_4af0ba6b407ab57b07367956|qobs_f3f8577c32d4a73fd9987088,2,distinct_schedule_cell,resolved,,,qobs_4af0ba6b407ab57b07367956|qobs_f3f8577c32d4a73fd9987088,,retain_distinct_active_records,no_change,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0130_sr_e2af60ac672df3592e99cb77.pdf#page=11,Distinct reason codes identify separate structured values on the page.,medium,false,
qares_91bcc8636a4c0de90a548b1f,36,potential_quantitative_conflict,cex_deb2b4781b4fabbbd1b55572,10,quantitative,qobs_426ee8e6885e64c2560a3e1b|qobs_adac346a35aaf58c811439d5|qobs_06f05b2acc3098cf70e0ee9d|qobs_47dd098783ea6cbb8a65ec25|qobs_92ecf1a22c1d175ec9e2979a,5,non_base_wage_misroute,resolved,,,qobs_426ee8e6885e64c2560a3e1b|qobs_adac346a35aaf58c811439d5|qobs_06f05b2acc3098cf70e0ee9d|qobs_47dd098783ea6cbb8a65ec25|qobs_92ecf1a22c1d175ec9e2979a,nobsqa_75d3619ae53566375699c774|nobsqa_bb6239e83a1dcfa850c8877d|nobsqa_6b55d3afa7261696abf9b12f|nobsqa_cb86f3a8fc59f56addf29b66|nobsqa_8307b459cbe4b1be3bb9097b,deactivate_and_route_to_non_base_wage,create_corrected_non_base_records,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0476_sr_0d78f79614e34a7ada7dceb1.pdf#page=10,Structured values/reason codes identify non-base compensation: stipend,high,false,
qares_32fcb850ef8f950040790ade,37,potential_quantitative_conflict,cex_17f26d91d738a16964d7b0e7,13,quantitative,qobs_aa7a410a9ff632f7aa3e1050|qobs_5295dacce63bfacdfaf6ff9c,2,non_base_wage_misroute,resolved,,,qobs_aa7a410a9ff632f7aa3e1050|qobs_5295dacce63bfacdfaf6ff9c,nobsqa_c73ba687ea20f35e32f3cb04|nobsqa_3344d1b932ec27b3cb6963bc,deactivate_and_route_to_non_base_wage,create_corrected_non_base_records,structured_fields_and_bounded_pointer_only,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0053_sr_d6ef2ecfb0edd5ecd4a5bf45.pdf#page=13,Structured values/reason codes identify non-base compensation: overtime,high,false,
