non_base_wage_observation_id,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,non_base_wage_type,value_text,effective_date,eligibility_or_implementation_rule,bounded_evidence_pointer,confidence,reason_code,qa_status,source_quantitative_observation_id,qa_original_status,qa_resolution_id,qa_resolution_classification,qa_resolution_status,canonical_observation_id,duplicate_of,active_in_corrected_lane
nobs_0163d1cf21b6409046547672,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,5,pension,"PENSION 10.53 (per hour, new)","April 10, 2023",Shown in Schedule A benefit package columns for the classification.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=5,high,SCHEDULE_A_PENSION_RATE_TOKEN_FOR_PARTS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_0163d1cf21b6409046547672,,true
nobs_673e6f469f6383819adafc05,cex_98090552e5e889272128f1bd,doc_a0b4ee29350014c974598d0c,ttd_e6600be726ca65db81b0c494,sr_7779b0eddb1962bddabfa357,NSCQ-AK-20260720-0008,AK,Juneau,CITY AND BOROUGH OF JUNEAU,fire,cba,,,15,uniform_or_equipment,uniforms/devices/protective clothing and equipment provided as needed (fire suppression); uniform item examples: class B,,"Employer provides uniforms, devices, protective clothing, and equipment for firefighters as needed.",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0071_sr_7779b0eddb1962bddabfa357.pdf#page=15,medium,N1,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_673e6f469f6383819adafc05,,true
nobs_78a00ef04b988894ec9f91e8,cex_98090552e5e889272128f1bd,doc_a0b4ee29350014c974598d0c,ttd_e6600be726ca65db81b0c494,sr_7779b0eddb1962bddabfa357,NSCQ-AK-20260720-0008,AK,Juneau,CITY AND BOROUGH OF JUNEAU,fire,cba,,,16,stipend,$1000.00 annual allowance (hand tools),July 1 (advance payment tied to fiscal year),"Paid in advance by separate leave without pay, or seasonal leave status for two weeks or longer beginning July 1 of any given fiscal year; proration examples provided (7/12 seasonal; 9/12 for October hire).",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0071_sr_7779b0eddb1962bddabfa357.pdf#page=16,high,N2,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_78a00ef04b988894ec9f91e8,,true
nobs_8f95a811bca8b466d658ab5c,cex_98090552e5e889272128f1bd,doc_a0b4ee29350014c974598d0c,ttd_e6600be726ca65db81b0c494,sr_7779b0eddb1962bddabfa357,NSCQ-AK-20260720-0008,AK,Juneau,CITY AND BOROUGH OF JUNEAU,fire,cba,,,16,uniform_or_equipment,"CARES uniforms/protective clothing/equipment item examples: DOT compliant jacket, duty boots, uniform shirts, uniform",,Employer provides uniforms and protective clothing and equipment for CARES employees as needed.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0071_sr_7779b0eddb1962bddabfa357.pdf#page=16,medium,N3,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_8f95a811bca8b466d658ab5c,,true
nobs_ac77bd3dea6ab8d7d6c0b514,cex_a8b0a89bfcd3f21db563404c,doc_3d0b06598d71d840b43df276,ttd_47afca94785efa8720695f20,sr_5c336396ca5dee10f7c15151,NSCQ-AK-20260720-0009,AK,Juneau,CITY AND BOROUGH OF JUNEAU,non_safety,cba,,,12,stipend,"annual allowance $1, 100.00 (tool allowance for purchase; own hand tools not required clause appears in packet context)",,"Tool allowance paid in advance by July 1 of fiscal year; proration for leave without pay/seasonal leave and based on months budgeted to work (e.g., 7/12; hired in October receives 9/12).",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=12,medium,A7_BOUNDED_PACKET_TOKENS_TOOL_ALLOWANCE_,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_ac77bd3dea6ab8d7d6c0b514,,true
nobs_b9d202876deeb73aa2f4549d,cex_a8b0a89bfcd3f21db563404c,doc_3d0b06598d71d840b43df276,ttd_47afca94785efa8720695f20,sr_5c336396ca5dee10f7c15151,NSCQ-AK-20260720-0009,AK,Juneau,CITY AND BOROUGH OF JUNEAU,non_safety,cba,,,12,stipend,annual allowance $ 550.00,,Paid in advance; included in paycheck issued after first full pay period of employment (packet context includes proration rules).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=12,medium,A7_BOUNDED_PACKET_TOKENS_TOOL_ALLOWANCE_,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_b9d202876deeb73aa2f4549d,,true
nobs_6cc637f539064f5afeb513a3,cex_a8b0a89bfcd3f21db563404c,doc_3d0b06598d71d840b43df276,ttd_47afca94785efa8720695f20,sr_5c336396ca5dee10f7c15151,NSCQ-AK-20260720-0009,AK,Juneau,CITY AND BOROUGH OF JUNEAU,non_safety,cba,,,11,uniform_or_equipment,$275.00 per fiscal year (uniform compensation for cleaning/maintenance/replacement work by employee wearing employer-sup,,"Amount included in paychecks issued first full pay period of employment; proration based on hire month (e.g., hired in October receives 9/12).",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=11,high,A6_BOUNDED_PACKET_TOKENS_UNIFORM_275,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_6cc637f539064f5afeb513a3,,true
nobs_9e35c62b251ba6c492f43845,cex_a8b0a89bfcd3f21db563404c,doc_3d0b06598d71d840b43df276,ttd_47afca94785efa8720695f20,sr_5c336396ca5dee10f7c15151,NSCQ-AK-20260720-0009,AK,Juneau,CITY AND BOROUGH OF JUNEAU,non_safety,cba,,,12,other,Repayment percentages: 100% if service less than 13 weeks; 75% if 13 weeks or greater but less than 26; 50% if 26-39; 25,,Applies to employees paid an advance uniform or tool allowance who leave employment.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=12,high,A7_BOUNDED_PACKET_TOKENS_REPAY_PCTS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_9e35c62b251ba6c492f43845,,true
nobs_ce79cb405b873e74651380ce,cex_a8b0a89bfcd3f21db563404c,doc_3d0b06598d71d840b43df276,ttd_47afca94785efa8720695f20,sr_5c336396ca5dee10f7c15151,NSCQ-AK-20260720-0009,AK,Juneau,CITY AND BOROUGH OF JUNEAU,non_safety,cba,,,13,other,$25 for first security or access badge/card lost; subsequently reimburse full cost of replacement for subsequent lost/,,Employee reimburses employer at replacement value for tools/equipment/property not returned; badge/card loss payment terms apply.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=13,high,A8_BOUNDED_PACKET_TOKENS_BADGE_LOST_25,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_ce79cb405b873e74651380ce,,true
nobs_1ad22d5762b05f14c93b3814,cex_527d357f4098f3fe88a0c046,doc_217979883e3efe727d99b5d9,ttd_5f128dc01792f95755af394b,sr_77c90542858b7430570075e2,NSCQ-AK-20260720-0007,AK,Juneau,CITY AND BOROUGH OF JUNEAU,police,cba,,,10,other,1.72% of gross wages per pay period,,Paid Reserve Officers appointed under the terms of 5 PR 020(a)(3) pay association dues or a service fee of 1.72% of gross wages per pay period (not to exceed the established rate) for months in which scheduled to work beyond 18 hours.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0028_sr_77c90542858b7430570075e2.pdf#page=10,medium,DACA_1_72PCT_VISIBLE_AS_DUES_FORMULA,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_1ad22d5762b05f14c93b3814,,true
nobs_078f76747766cd05374d6f39,cex_527d357f4098f3fe88a0c046,doc_217979883e3efe727d99b5d9,ttd_5f128dc01792f95755af394b,sr_77c90542858b7430570075e2,NSCQ-AK-20260720-0007,AK,Juneau,CITY AND BOROUGH OF JUNEAU,police,cba,,,17,leave,cash value = (hours deducted) * (regular hourly pay rate) then / (recipient regular hourly rate) to establish value in “,,Leave placed in the Association Leave Bank is given a cash value by multiplying the number of hours deducted from the Member’s leave balance by the regular hourly pay rate of the donor; this cash value is then divided by the regular hourly ,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0028_sr_77c90542858b7430570075e2.pdf#page=17,medium,LEAVE_BANK_VALUATION_FORMULA_VISIBLE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_078f76747766cd05374d6f39,,true
nobs_5d1abeaa3183fa020b5e4d0c,cex_527d357f4098f3fe88a0c046,doc_217979883e3efe727d99b5d9,ttd_5f128dc01792f95755af394b,sr_77c90542858b7430570075e2,NSCQ-AK-20260720-0007,AK,Juneau,CITY AND BOROUGH OF JUNEAU,police,cba,,,17,leave,first four hours of accrued personal leave of all new bargaining unit Members,,First four hours of accrued personal leave are transferred to the Association Leave Bank; deductions are not credited toward the minimum personal leave use required of each Member.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0028_sr_77c90542858b7430570075e2.pdf#page=17,medium,ASSOCIATION_LEAVE_BANK_TRANSFER_AMOUNT_P,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_5d1abeaa3183fa020b5e4d0c,,true
nobs_f462de6217e6aa7de53463b3,cex_527d357f4098f3fe88a0c046,doc_217979883e3efe727d99b5d9,ttd_5f128dc01792f95755af394b,sr_77c90542858b7430570075e2,NSCQ-AK-20260720-0007,AK,Juneau,CITY AND BOROUGH OF JUNEAU,police,cba,,,16,leave,paid their regular wage while on jury leave,,A Member on authorized jury leave is paid their regular wage while on jury leave; jury leave is only to make the Member whole for the workweek and the Member gives the Employer all monies received from the court as compensation for services,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0028_sr_77c90542858b7430570075e2.pdf#page=16,high,JURY_LEAVE_REGULAR_WAGE_RULE_VISIBLE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_f462de6217e6aa7de53463b3,,true
nobs_fbd0899b1f3e2b6233dafde3,cex_527d357f4098f3fe88a0c046,doc_217979883e3efe727d99b5d9,ttd_5f128dc01792f95755af394b,sr_77c90542858b7430570075e2,NSCQ-AK-20260720-0007,AK,Juneau,CITY AND BOROUGH OF JUNEAU,police,cba,,,16,leave,terminal leave equal to (number of personal leave hours accumulated) * (Member’s normal hourly rate of pay),,Employer shall pay a Member terminal leave equal to the number of personal leave hours accumulated times the Member’s normal hourly rate of pay (text continues beyond packet).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0028_sr_77c90542858b7430570075e2.pdf#page=16,medium,TERMINAL_LEAVE_CALCULATION_RULE_VISIBLE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_fbd0899b1f3e2b6233dafde3,,true
nobs_431a2b8e554eaa7895468a3d,cex_634d8c2916509fe7e7dce92c,doc_032ec138ab96d8e495bb72c3,ttd_fbd5fadbb062e75ec84aacaa,sr_2b64a90c6f6403d9713a2c99,NSCQ-AK-20260720-0012,AK,Wasilla,CITY OF WASILLA,non_safety,cba,,,6,leave,Holiday Pay,,"Holiday Pay When Working a [holiday-day working condition] is referenced (Section 13.2) and Holidays on Days is referenced (Section 13.3), but rule/value details are not visible.",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=6,low,SECTION_TITLES_ONLY,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_431a2b8e554eaa7895468a3d,,true
nobs_e4102e4978bffb2ac4757a87,cex_634d8c2916509fe7e7dce92c,doc_032ec138ab96d8e495bb72c3,ttd_fbd5fadbb062e75ec84aacaa,sr_2b64a90c6f6403d9713a2c99,NSCQ-AK-20260720-0012,AK,Wasilla,CITY OF WASILLA,non_safety,cba,,,6,benefits,Health Insurance; State Retirement; Supplemental Benefits System; Life Insurance; Employee Assistance Program,,"Benefit article headings are visible, but no contribution amounts, coverage terms, or implementation details are visible.",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=6,low,BENEFITS_HEADINGS_NO_VALUES,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_e4102e4978bffb2ac4757a87,,true
nobs_fbf69702ef7c3ccb9c86c836,cex_634d8c2916509fe7e7dce92c,doc_032ec138ab96d8e495bb72c3,ttd_fbd5fadbb062e75ec84aacaa,sr_2b64a90c6f6403d9713a2c99,NSCQ-AK-20260720-0012,AK,Wasilla,CITY OF WASILLA,non_safety,cba,,,6,education_or_certification,Tuition Reimbursement,,Tuition Reimbursement is referenced (Section 15.2) without further terms or limits in this packet.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0034_sr_2b64a90c6f6403d9713a2c99.pdf#page=6,low,SECTION_TITLE_ONLY,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_fbf69702ef7c3ccb9c86c836,,true
nobs_f612cebca6caa877ac55bc3b,cex_d3c9e38f7fed7af2c097a5ec,doc_ccdf273bb78b3fd567feafd4,ttd_6b2fa79f38c8529aca8ee5a1,sr_0584c9909e395a7de9927bbf,NSCQ-AZ-20260720-0004,AZ,Mesa,CITY OF MESA,fire,memorandum_or_settlement,,,6,leave,release time with pay up to a maximum of 1500 total hours,,subject to operational needs and supervisory approval; for duly elected officers; includes Trustees meetings and other pertinent events; not subject to normal leave policies,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0481_sr_0584c9909e395a7de9927bbf.pdf#page=6,medium,GIVES_PAY_TIME_LIMIT_TOKEN_1500_HOURS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_f612cebca6caa877ac55bc3b,,true
nobs_ede1c65c110fff569051f11d,cex_d3c9e38f7fed7af2c097a5ec,doc_ccdf273bb78b3fd567feafd4,ttd_6b2fa79f38c8529aca8ee5a1,sr_0584c9909e395a7de9927bbf,NSCQ-AZ-20260720-0004,AZ,Mesa,CITY OF MESA,fire,memorandum_or_settlement,,,11,other,Unit Members on a fifty-six (56-hour) workweek receive 10.2 hours of pay (at their regular hourly rate) for enumerated 9,,for listed holidays; pay is at the regular hourly rate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0481_sr_0584c9909e395a7de9927bbf.pdf#page=11,medium,HOLIDAY_PAY_HOURS_10_2_AT_REGULAR_HOURLY,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_ede1c65c110fff569051f11d,,true
nobs_55cc85c81bf1acef4364e04a,cex_d3c9e38f7fed7af2c097a5ec,doc_ccdf273bb78b3fd567feafd4,ttd_6b2fa79f38c8529aca8ee5a1,sr_0584c9909e395a7de9927bbf,NSCQ-AZ-20260720-0004,AZ,Mesa,CITY OF MESA,fire,memorandum_or_settlement,,,11,leave,holiday bank hours reduced by total of six (6) hours for remaining calendar year 2010,2010,applies to Unit Members assigned to a forty (40-hour) assignment; holiday bank of hours is used for holidays,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0481_sr_0584c9909e395a7de9927bbf.pdf#page=11,medium,HOLIDAY_BANK_REDUCTION_6_HOURS_IN_2010,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_55cc85c81bf1acef4364e04a,,true
nobs_32d1f3eeab529222adbd3ec2,cex_d3c9e38f7fed7af2c097a5ec,doc_ccdf273bb78b3fd567feafd4,ttd_6b2fa79f38c8529aca8ee5a1,sr_0584c9909e395a7de9927bbf,NSCQ-AZ-20260720-0004,AZ,Mesa,CITY OF MESA,fire,memorandum_or_settlement,,,11,leave,in January 2011 holiday bank hours established with twenty-one (21) hours for the three (3) remaining holidays between [,January 2011,"applies to Unit Members assigned to a forty (40-hour) assignment; holiday bank is used for holidays; remaining holidays between January 1, 2011 and June 30, 2011",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0481_sr_0584c9909e395a7de9927bbf.pdf#page=11,medium,HOLIDAY_BANK_21_HOURS_JAN_2011,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_32d1f3eeab529222adbd3ec2,,true
nobs_2f369e4a41e20ec538495049,cex_d3c9e38f7fed7af2c097a5ec,doc_ccdf273bb78b3fd567feafd4,ttd_6b2fa79f38c8529aca8ee5a1,sr_0584c9909e395a7de9927bbf,NSCQ-AZ-20260720-0004,AZ,Mesa,CITY OF MESA,fire,memorandum_or_settlement,,,11,leave,sick leave accrual: eight (8) hours per month; eleven point two (11.2) hours per month,,A: accrual rate differs by assignment; specifies 'forty (40-hour) assignment' and coverage,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0481_sr_0584c9909e395a7de9927bbf.pdf#page=11,medium,SICK_LEAVE_ACCRUAL_HOURS_PER_MONTH_8_AND,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_2f369e4a41e20ec538495049,,true
