administrative_source_type,downloaded_in_this_task,expected_byte_size,expected_claim_upgrade_tags,likely_claim_gaps,marginal_claim_value_per_mib,municipality,period,priority_score,recovery_recommendation,required_before_visual,side,source_family,source_review_id,state,uniqueness
payroll_roster,False,57132,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Deer River,undated,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-86ba4d434a600cbfc7b98228,MN,f3f10dd191a188cd657a2b48d5836779c21fdebeb810d17eafec07c46dd3b046
payroll_roster,False,77458,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Chardon,2023,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-9fbefa04aa8d73f0d2c56b52,OH,5ae2bfd55191c0c3bc18fc972fbcabb1d5349eba5ac7b44ac64acf85988fd3ee
payroll_roster,False,45073,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Ohio,2025,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-a1274ce381d030978e9ca0d7,OH,b97c5d5a18f2ed990404fd6ec506063652cce115640aa4338d99723d2e73f062
payroll_roster,False,11277,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Geneseo,undated,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-af4cab86b4008755beab0685,NY,a3dd5e898d57528fab3396bad1a52ec1ba152fc7d415c08d58d808a5f686836c
payroll_roster,False,66525,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",300.0,Monongahela,2024,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-cca7e119e731a2a48c2d4ca2,PA,80b19de57ff6441324582313481b402a5a421e3e8fb0ff6d226457523298fb05
payroll_roster,False,105211,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",298.992311,Cooperstown,2017,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-f69bb109cc74aefdddfdc81f,NY,8070604df09be19e2b1d2eaf6ba645e6264ebd4f5a604d797830c195dba0b73e
payroll_roster,False,111983,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",280.91121,Cooperstown,2020,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-189970c62b30d1306585112d,NY,37dff4845cbcdc76b8d91ddc0242dddbe76993dd81b75ff06c7dbaee2e800744
payroll_roster,False,119238,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",263.819252,Harrison,2024,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-2a2234eafce1b31620cf5b8a,NY,9460fd01a581a946a6c9efb45e4a13103f5dd352e4bfdb1e5087d95c000891f8
payroll_roster,False,119828,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",262.520279,Lawrence Park,2014,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-d42ab13f0d00c3db92d5bb19,PA,c8a808aa43a8867191ddb2fd5f70784bee86c92d7f4e936166f52a50cc566795
payroll_roster,False,139259,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",225.890463,Manalapan,2015,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-991a406da769e052acf36603,FL,ff779fda29dcd421d36a05acec1d087a41e2272d6f85b202db32f304cdef49be
payroll_roster,False,139879,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",224.889226,Cooperstown,2020,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-50542e9eafdf1dcd1d4fa957,NY,205bb6cef59373a114287db6cf5edf7facf0016507226bb164c1b94bf51e7b5c
payroll_roster,False,140090,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",224.550503,South Hackensack,2023,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-94f2c79292b66a329b4d7390,NJ,32017c6e57effd71ade1c300bfb6af7327414e7e8ed31e6af5adeec97b39cff2
payroll_roster,False,143218,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",219.646134,Cooperstown,2020,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-d8b647ef03afc94c82ea47f0,NY,e66db0508ece125b7b78218567942e3978472b6b6e74fa3ce75050751db72c3f
payroll_roster,False,144146,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",218.23207,Rome,2022,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-23aab4f00a1380725f968d13,WI,9ee130c0f39caf6e1389afd1e71dfbb78a2dfae2a23b395e322031ed4899a13f
payroll_roster,False,144903,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",217.091986,Wyckoff,2018,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-65332bbe1324cd50bba1f616,NJ,e7b6bcba2eddba28aba1d2153fc1525b4424fecbedd9aac98ed858301fabfd5a
payroll_roster,False,146114,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",215.292717,Catawissa,2022,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-f7ffd756a574ebbc2845155b,PA,85684dd625bbe47135d5acdb3998badf070e711903513e891e0999ce9464706d
payroll_roster,False,148051,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",212.475971,Lawrence Park,2023,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-9c08184dfc7e1b74816351ee,PA,55b60ae93613a6d6a7820f689ca67253b60b53e2847edd088631d655a530305f
payroll_roster,False,151620,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",207.474476,Geneseo,undated,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-3ac3ed5548924f1b4691dbf0,NY,8d2aebb05ea41c6475fc377729b711116e5ef1ea0eaeba297d601c89039aa452
payroll_roster,False,161549,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",194.72284,River Falls,2020,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-a3a9a739bac8775a491d5454,WI,a64099e17b76d4d9ad5c0ac4d36fa48ce294698b44babf020a66b7e42e0a6843
payroll_roster,False,176027,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",178.70713,Hinckley,2020,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-1ee6ce89b33f70c44ef82ac4,OH,8bf576833310bd0c65bcf3626379cd30bf29e5904183755eac1796a92f0e21d6
payroll_roster,False,179692,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",175.062218,Colfax,undated,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-52d8dac1da739ba993687f18,WI,724d04db6454f6a7e628a3e4ac4ce0d8cd24d9be1fbed29e8bfa478509fdfb01
payroll_roster,False,189549,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",165.958565,North Greenbush,undated,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-cd574ac9008b84c561462254,NY,8a048383b2f7b37cefb4033bc6578dfc83c0382b0801cc5546ba6c7b06548067
payroll_roster,False,191728,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",164.072436,Bethalto,2018,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-c57d5d0236c4fda2cf1ce475,IL,f25206b3eef0f2a830753ebbd125232a8d0650aee2ef6bd2a3b5091c1b36cd0a
payroll_roster,False,192739,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",163.211805,Shelter Island,2024,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-4912e92fe2b8558fe3a3d982,NY,c70947f0d419b2c2e3f10b00f07d6f66d49f46bbb645348c3b83e1d5c603f8bf
payroll_roster,False,196389,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",160.178421,Woodstock,2025,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-fc5cf610e431dc0e9229963c,NY,83acb55ada9f004cd5529190f28d0e0f2d7a510b096347aa2306d8f5694ff43e
payroll_roster,False,197926,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",158.934551,Glencoe,2021,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-6a6b2c96f908a4aa9f47c32e,MN,da5b1230be927704c6e763868737cf68f772f90142e639ce775dd8de2bc16c50
payroll_roster,False,204058,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",154.158524,Cooperstown,2017,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-4f6025e5ff8b1f8bd2b1a8ed,NY,9ab1005ba777cb7f6ef6d0eb0bf74fc7f8b847790e491c4da1c70ad94fb17f8e
payroll_roster,False,205190,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",153.308056,Delaware,2025,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-967344cc2b7eed1b7c966c2b,NJ,de7f93b012ba47042cf1034e0085f41ee0618c53a4c67add9f002ed01a702cab
payroll_roster,False,206254,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",152.517188,Ohio,2025,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-1a68e0b811ff13373fef072e,OH,1c0d8c9639fa86d25fed67fa6c7f23c02695d4dd2fcdfcd4d95e6132932beafc
payroll_roster,False,206507,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",152.330333,Brunswick Hills,2024,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-6d763bb0ce8a4f891228034c,OH,f6bc6cb04907e9d1a197d0e7f4b7a03de0a826b06a3651e2c461ed2f7b0084bc
payroll_roster,False,207392,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",151.680296,Ohio,2025,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-a459250885aa8b9d3737363f,OH,e6a49b0e8c695426438685f06a2453726287b570a96ca21f3007efaee5c95758
payroll_roster,False,207475,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",151.619617,Ohio,2015,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-42d532428d1276ac454dc40c,OH,566d4a3fb884cf3d0bbc30eb17f284ed9213d6cfc02dc55363411d0c98cd5db1
payroll_roster,False,209034,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",150.48882,Bainbridge,2024,30,defer_recovery_to_future_research,False,fire,multi_family_administrative_source,EXTSRCREV-0d5195bcb62c444d98ca5983,OH,94ee7e99471bdc6b21c3172d1630e2af6ab42abe993a08c83eda352378a4b564
payroll_roster,False,212296,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",148.176508,Ohio,2025,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-481b2c527fea47a1a9415fda,OH,ba24e099d7f38e1c917e73a218becaff65f7ba4f90b057ebf613ebdc6122b8ff
payroll_roster,False,212943,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",147.726293,Williamston,2023,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-94c6e8ca2712dcec2900f90e,NC,b7fe4bc236ac86128931133c8250fe52a62448f21cc1ef68d8eca16d53ffc4c8
payroll_roster,False,221274,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",142.164375,Franklin,2025,30,defer_recovery_to_future_research,False,fire,multi_family_administrative_source,EXTSRCREV-c7c408ba536d87f9d77ccd7f,OH,e661112f8da338617847cf0112efaf4f64dfe02adf4a8f31b2b54864baef7573
payroll_roster,False,222918,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",141.115926,Bainbridge,2024,30,defer_recovery_to_future_research,False,fire,multi_family_administrative_source,EXTSRCREV-c2027573378970972fc3ead4,OH,cfd8929bceb7fba3a4ebbda5f51703819e407f2e372670d605083671922477bd
payroll_roster,False,223685,"[""upgrades_growth_analysis"", ""upgrades_implementation_confirmation"", ""upgrades_local_wage_comparison"", ""upgrades_mechanism_claim"", ""upgrades_staffing_hypothesis"", ""upgrades_total_compensation_comparison""]","[""missing compatible local comparison"", ""missing implementation confirmation"", ""missing longitudinal identity"", ""missing total-compensation structure""]",140.63205,Bedford,2026,30,defer_recovery_to_future_research,False,police,multi_family_administrative_source,EXTSRCREV-0eab2d005d437a95ba9ea65c,OH,4cadc089c5f8624ec4daa27c08023b83483dc38ad6caba78eed8c5eb73e9b62c
