state,region,municipality,possible_cycle_or_year,unit_type,candidate_count,verification_status
CO,West,Commerce City,"January 1, 2023 – December 31, 2024",non_safety,1,not_verified
CO,West,Commerce City,"Two years; expires December 31, 2025 (exact start year not shown in snippet)",police,1,not_verified
CO,West,Commerce City,unclear,police,1,not_verified
CO,West,Englewood,"January 1, 2025 – December 31, 2026",non_safety,1,not_verified
CO,West,Englewood,"January 1, 2025 – December 31, 2026",police,1,not_verified
CO,West,Englewood,unclear,unclear,1,not_verified
CO,West,Evans,2026 (pay plan; duration clause not identified),non_safety,1,not_verified
CO,West,Evans,unclear,unclear,1,not_verified
CO,West,Fountain,unclear,unclear,2,not_verified
CO,West,Lafayette,2026 (pay plan year; wage schedule/compensation ranges),non_safety,1,not_verified
CO,West,Lafayette,"3 years (per chapter term language, per snippet evidence)",fire,1,not_verified
CO,West,Lafayette,3 years (per ordinance duration clause),police,1,not_verified
CO,West,Montrose,2010 (operative adoption year; wage/CBA duration unclear),unclear,1,not_verified
CO,West,Montrose,unclear,non_safety,1,not_verified
CO,West,Northglenn,"2024 pay plan (effective Dec. 16, 2023) with exhibits listing classification pay ranges for multiple non-safety positions",non_safety,1,not_verified
CO,West,Northglenn,"2026 pay plan (effective Dec. 12, 2025); step plan for sworn police listed within the adopted pay plan",police,1,not_verified
CO,West,Parker,2025 (adopted budget year),police,1,not_verified
CO,West,Parker,2026 (adopted budget year),police,1,not_verified
CO,West,Parker,unclear,non_safety,1,not_verified
CO,West,Parker,unclear,unclear,1,not_verified
CT,Northeast,East Hartford,"July 1, 2021 - June 30, 2025",non_safety,1,not_verified
CT,Northeast,East Hartford,"July 1, 2021 - June 30, 2025",police,1,not_verified
CT,Northeast,East Hartford,"July 1, 2022 - June 30, 2026",fire,1,not_verified
CT,Northeast,East Hartford,unclear,non_safety,1,not_verified
CT,Northeast,East Hartford,unclear,unclear,1,not_verified
CT,Northeast,Enfield,"July 1, 2022 - June 30, 2024",police,1,not_verified
CT,Northeast,Enfield,"July 1, 2022 - June 30, 2025",non_safety,1,not_verified
CT,Northeast,Enfield,"July 1, 2024 - June 30, 2028",non_safety,1,not_verified
CT,Northeast,Fairfield,"July 1, 2022 to June 30, 2025",police,1,not_verified
CT,Northeast,Fairfield,"Through June 30, 2021",fire,1,not_verified
CT,Northeast,Fairfield,unclear,non_safety,2,not_verified
CT,Northeast,Greenwich,"July 1, 2021 - June 30, 2024",police,1,not_verified
CT,Northeast,Greenwich,"Term commencing retroactively July 1, 2023 and terminating June 30, 2026",non_safety,1,not_verified
CT,Northeast,Greenwich,"Term terminates June 30, 2019 (effective date language references commencement as of approvals; duration clause present)",fire,1,not_verified
CT,Northeast,Groton,"July 1, 2023 - June 30, 2026",non_safety,2,not_verified
CT,Northeast,Groton,"July 1, 2025 - June 30, 2029",fire,1,not_verified
CT,Northeast,Groton,"July 1, 2025 - June 30, 2029",police,1,not_verified
CT,Northeast,Hamden,2022-2025,fire,1,not_verified
CT,Northeast,Hamden,2024-2028,non_safety,1,not_verified
CT,Northeast,Hamden,"July 1, 2024 - June 30, 2028",police,1,not_verified
CT,Northeast,Hamden,unclear,unclear,1,not_verified
CT,Northeast,Southington,2021 to 2025 (exact span requires inspection for precise start/end dates),fire,1,not_verified
CT,Northeast,Southington,"July 1, 2021 to June 30, 2025",police,1,not_verified
CT,Northeast,Southington,"July 1, 2022 to June 30, 2026",non_safety,1,not_verified
CT,Northeast,Stratford,7/1/2021-6/30/2025 (visible in document list name; contract text not verified),police,1,not_verified
CT,Northeast,Stratford,unclear,fire,1,not_verified
CT,Northeast,Trumbull,2019-2023,police,1,not_verified
CT,Northeast,Trumbull,2022-2026,fire,1,not_verified
CT,Northeast,Trumbull,2025-2029,non_safety,1,not_verified
CT,Northeast,Trumbull,"July 1, 2022 to June 30, 2026",non_safety,1,not_verified
CT,Northeast,Trumbull,unclear,police,1,not_verified
CT,Northeast,Wallingford,"2018-2021 (duration specified: July 1, 2018 to June 30, 2021)",police,1,not_verified
CT,Northeast,Wallingford,"unclear (document shows effective period 'until June 30, ____' and references 1998 / 2003 / 2008, but operative end-year text is not fully legible in extracted lines)",non_safety,1,not_verified
DE,South,Camden,unclear,police,1,not_verified
DE,South,Camden,unclear,unclear,1,not_verified
DE,South,Elsmere,unclear,police,1,not_verified
DE,South,Elsmere,unclear,unclear,2,not_verified
DE,South,Harrington,unclear,non_safety,1,not_verified
DE,South,Harrington,unclear,unclear,1,not_verified
DE,South,Laurel,unclear,unknown,2,not_verified
DE,South,Milton,2025 (MOU term/date evidence appears in document but not fully extractable from visible text snippet),police,1,not_verified
DE,South,Milton,unclear,unclear,1,not_verified
DE,South,Milton,unclear (code section; not a CBA term),non_safety,1,not_verified
DE,South,New Castle,"July 1, 2024 through June 30, 2028",police,1,not_verified
DE,South,New Castle,"July 1, 2026 through June 30, 2031",non_safety,1,not_verified
DE,South,New Castle,"November 1, 2024 through June 30, 2026",non_safety,1,not_verified
FL,South,Atlantic Beach,2019-2022 contract (amendment; contract expires 9/30/2022),police,1,not_verified
FL,South,Atlantic Beach,effective 10/1/2025 - 9/30/2028 (three-year agreement),police,1,not_verified
FL,South,Florida City,unclear,unclear,2,not_verified
FL,South,Key Biscayne,2020-2023,police,1,not_verified
FL,South,Key Biscayne,2020-2023 (referenced),non_safety,1,not_verified
FL,South,Key Biscayne,"October 1, 2020 through September 30, 2023 (referenced governing CBA term)",fire,1,not_verified
FL,South,Lake City,"October 1, 2021 through September 30, 2024",police,1,not_verified
FL,South,Lake City,"October 1, 2023 through September 30, 2026",fire,1,not_verified
FL,South,Lantana,2023-2026 (operative terms show 10/01/2023–09/30/2026),police,1,not_verified
FL,South,Lantana,"unclear (contract period referenced, but full operative CBA text not included here)",police,1,not_verified
FL,South,Miami Springs,FY 2023-24 (effective/operative for the fiscal year; year stated as FY 2023-24 / 10/12/2023 in document),non_safety,1,not_verified
FL,South,Miami Springs,"Oct 1, 2021 – Sept 30, 2024",police,1,not_verified
FL,South,Miami Springs,unclear,non_safety,1,not_verified
FL,South,North Palm Beach,10/1/2021-9/30/2024 (MOU term reference),police,1,not_verified
FL,South,North Palm Beach,10/1/2024-9/30/2027,police,1,not_verified
FL,South,North Palm Beach,"Effective Oct 1, 2025 (upon ratification) through Sep 30, 2028",non_safety,1,not_verified
FL,South,North Palm Beach,Fiscal Year 2025 (FY25),non_safety,1,not_verified
FL,South,North Palm Beach,In-force under CBA expiring 9/30/2027; MOU effective through 9/30/2027 (per packet attachment),fire,1,not_verified
FL,South,South Daytona,10/1/2024 through 10/1/2024 (sheet indicates pay grade chart date range entries),non_safety,1,not_verified
FL,South,South Daytona,"Effective October 1, 2020 through September 30, 2023 (per agreement duration clause text); additionally described as proposed in effect through September 30, 2026 (conflicting visible text within document set)",fire,1,not_verified
FL,South,South Daytona,"next three years through September 30, 2026 (as stated in memorandum; binding CBA text not shown in the visible document excerpt)",police,1,not_verified
FL,South,West Park,unclear,unknown,2,not_verified
GA,South,Albany,unclear,non_safety,1,not_verified
GA,South,Albany,unclear,unclear,1,not_verified
GA,South,Alpharetta,unclear,police,1,not_verified
GA,South,Alpharetta,unclear,unclear,1,not_verified
GA,South,Brookhaven,"2019 (operative title indicates 'official 2019 list of authorized positions and salary ranges' and the ordinance is dated March 26, 2019; no multi-year duration clause found in excerpt)",police,1,not_verified
GA,South,Brookhaven,"Unclear (policy manual appears to be effective as of Council Approved July 7, 2015; no contract term)",non_safety,1,not_verified
GA,South,Dunwoody,unclear,police,2,not_verified
GA,South,Johns Creek,unclear,unclear,2,not_verified
GA,South,Johns Creek,unclear,unknown,1,not_verified
GA,South,Mableton,unclear,non_safety,3,not_verified
GA,South,Mableton,unclear,unclear,1,not_verified
GA,South,Marietta,unclear,unclear,2,not_verified
GA,South,Smyrna,unclear,unclear,2,not_verified
GA,South,Stonecrest,unclear,unclear,1,not_verified
GA,South,Stonecrest,unclear (no explicit CBA/MOU term; operative effective date not captured in visible excerpt),non_safety,1,not_verified
GA,South,Stonecrest,unclear (ordinance adoption year not fully captured in visible excerpt),non_safety,1,not_verified
GA,South,Stonecrest,unclear (references FY2024 budget; operative pay/classification actions are in Exhibit A which is not visible in excerpt),unclear,1,not_verified
GA,South,Valdosta,"2016 (operative implementation details referenced, but no full pay/compensation matrices included in this minutes PDF)",unclear,1,not_verified
GA,South,Valdosta,"Effective Date: May 17, 2021 (procedural policy; not a wage schedule/CBA)",fire,1,not_verified
GA,South,Valdosta,unclear,non_safety,1,not_verified
GA,South,Valdosta,unclear,unclear,1,not_verified
IA,Midwest,Bondurant,unclear,unclear,2,not_verified
IA,Midwest,Carroll,unclear,unclear,2,not_verified
IA,Midwest,Fairfield,"2020-2021 (Fiscal Year 2020-2021; effective July 1, 2020 stated)",fire,1,not_verified
IA,Midwest,Fairfield,"unclear (effective April 1, 2023 stated; no explicit end date found)",police,1,not_verified
IA,Midwest,Fort Madison,"July 1, 2021 to June 30, 2024",police,1,not_verified
IA,Midwest,Fort Madison,unclear,fire,2,not_verified
IA,Midwest,Fort Madison,unclear,unclear,1,not_verified
IA,Midwest,Grinnell,"July 1, 2024 to June 30, 2027 (operative duration stated in minutes; full CBA text not provided in this PDF)",police,1,not_verified
IA,Midwest,Grinnell,unclear,non_safety,1,not_verified
IA,Midwest,Grinnell,unclear (PDF retrieval succeeded but operative year text could not be extracted from tool output),police,1,not_verified
IA,Midwest,Keokuk,unclear,fire,1,not_verified
IA,Midwest,Keokuk,unclear,non_safety,1,not_verified
IA,Midwest,Keokuk,unclear,police,1,not_verified
IA,Midwest,Keokuk,unclear,unclear,1,not_verified
IA,Midwest,Le Mars,unclear,police,1,not_verified
IA,Midwest,Le Mars,unclear,unclear,1,not_verified
IA,Midwest,Mount Pleasant,unclear,fire,1,not_verified
IA,Midwest,Mount Pleasant,unclear,non_safety,1,not_verified
IA,Midwest,Pleasant Hill,"July 1, 2026 through June 30, 2027",non_safety,1,not_verified
IA,Midwest,Pleasant Hill,"unclear (operate period text not retrievable in current fetch; resolution text indicates 1-year and approval dates, but full duration/term clause not confirmed)",police,1,not_verified
IA,Midwest,Waverly,unclear,non_safety,1,not_verified
IA,Midwest,Waverly,unclear,police,1,not_verified
IA,Midwest,Waverly,unclear,unclear,1,not_verified
ID,West,Blackfoot,unclear,non_safety,1,not_verified
ID,West,Blackfoot,unclear,police,1,not_verified
ID,West,Blackfoot,unclear,unclear,1,not_verified
ID,West,Chubbuck,unclear,fire,1,not_verified
ID,West,Chubbuck,unclear,non_safety,1,not_verified
ID,West,Chubbuck,unclear,unknown,1,not_verified
ID,West,Garden City,unclear,fire,1,not_verified
ID,West,Garden City,unclear,non_safety,1,not_verified
ID,West,Garden City,unclear,police,1,not_verified
ID,West,Hailey,unclear,non_safety,2,not_verified
ID,West,Hayden,unclear,non_safety,1,not_verified
ID,West,Jerome,3-year contract; end date not stated in visible minutes text,fire,1,not_verified
ID,West,Jerome,"CBA effective Oct 1, 2015 to Sep 30, 2018 (MOU to CBA Addendum A referenced); specific MOU duration/term not separately stated beyond CBA date context",fire,1,not_verified
ID,West,Jerome,unclear,police,1,not_verified
ID,West,Jerome,unclear (resolution content indicates pay tables established/updated; operative effective date stated),non_safety,1,not_verified
ID,West,Middleton,unclear,non_safety,1,not_verified
ID,West,Payette,unclear,non_safety,1,not_verified
ID,West,Payette,unclear,police,1,not_verified
ID,West,Rathdrum,unclear,non_safety,1,not_verified
ID,West,Sandpoint,2024-10-01 to 2027-09-30 (per TERM OF AGREEMENT; otherwise remains in effect until a new agreement is reached),fire,1,not_verified
ID,West,Sandpoint,"One-time term ending no longer than July 1, 2025 (MOU term clause references expiration/limit date; effective date is last signature date)",fire,1,not_verified
ID,West,Sandpoint,unclear,non_safety,1,not_verified
ID,West,Sandpoint,unclear,police,1,not_verified
ID,West,Sandpoint,unclear (code language; not a specific wage/policy cycle document),unclear,1,not_verified
IL,Midwest,Downers Grove,2025 (year-specific compensation/classification artifact),non_safety,1,not_verified
IL,Midwest,Downers Grove,2026 (manual version),unclear,1,not_verified
IL,Midwest,Downers Grove,"May 1, 2026 through April 30, 2029",fire,1,not_verified
IL,Midwest,Maine,unclear,non_safety,2,not_verified
IL,Midwest,Rockford,"January 1, 2024 through March 31, 2025",non_safety,1,not_verified
IL,Midwest,Schaumburg,2021-2024 (cover/title indicates 2021-2024; operative duration end-date clause not extracted from visible text during scouting),fire,1,not_verified
IL,Midwest,Schaumburg,"Effective May 1, 2023 – April 30, 2026 (auto-renewal year-to-year unless terminated/modified with notice at least 60 days prior to April 30)",fire,1,not_verified
IL,Midwest,Schaumburg,"Effective May 1, 2024 – April 30, 2027 (with year-to-year continuation absent timely termination/modification notice)",police,1,not_verified
IL,Midwest,Schaumburg,unclear (coversheet excerpt does not state operative multi-year term),non_safety,1,not_verified
IL,Midwest,Schaumburg,unclear (scouting did not extract award/period dates),police,1,not_verified
IL,Midwest,Thornton,"May 1, 2024 through April 30, 2026",police,1,not_verified
IL,Midwest,Thornton,unclear,fire,1,not_verified
IL,Midwest,Wheeling,"May 1, 2023 to April 30, 2027",police,1,not_verified
IL,Midwest,Worth,2018 (operative year from title),non_safety,1,not_verified
IL,Midwest,Worth,2022-2027 (from document title),non_safety,2,not_verified
IL,Midwest,Worth,2023-2028 (from document title),police,1,not_verified
IL,Midwest,Worth,2025-2026 (from title),non_safety,1,not_verified
IL,Midwest,Worth,unclear,non_safety,1,not_verified
IL,Midwest,Worth,unclear,unclear,1,not_verified
IN,Midwest,Lawrence,"effective January 1, 2025 (CBA); resolution approval date: October 16, 2024",police,1,not_verified
IN,Midwest,Lawrence,"wage ordinance effective January 1, 2025",non_safety,1,not_verified
IN,Midwest,Portage,2021,police,1,not_verified
IN,Midwest,Warren,unclear,non_safety,1,not_verified
IN,Midwest,Warren,unclear,police,1,not_verified
KS,Midwest,Andover,unclear (classification/salary schedule does not present a collective-bargaining duration clause),non_safety,1,not_verified
KS,Midwest,Andover,unclear (salary administration plan text does not provide a labor-contract duration clause),non_safety,1,not_verified
KS,Midwest,Arkansas City,,fire,1,not_verified
KS,Midwest,Arkansas City,,police,1,not_verified
KS,Midwest,Arkansas City,unclear (effective date stated; no end/expiration in operative sections visible from scout-stage attachment),non_safety,1,not_verified
KS,Midwest,Arkansas City,unclear (manual adoption/effective date visible; no contract term/expiration visible from scout-stage view),non_safety,1,not_verified
KS,Midwest,El Dorado,unclear,non_safety,1,not_verified
KS,Midwest,El Dorado,unclear,police,1,not_verified
KS,Midwest,Great Bend,unclear,non_safety,1,not_verified
KS,Midwest,Great Bend,unclear,unclear,2,not_verified
KS,Midwest,McPherson,unclear,unknown,1,not_verified
KS,Midwest,McPherson,unknown,unknown,2,not_verified
KS,Midwest,Ottawa,unclear,non_safety,3,not_verified
KY,South,Ashland,unclear,non_safety,1,not_verified
KY,South,Ashland,unclear,police,2,not_verified
KY,South,Ashland,unclear,unclear,1,not_verified
KY,South,Danville,2025-2026 (plan period; exact pay schedule coverage details within document),non_safety,1,not_verified
KY,South,Madisonville,unclear,non_safety,1,not_verified
KY,South,Madisonville,unclear,police,1,not_verified
KY,South,Mount Washington,unclear,non_safety,1,not_verified
KY,South,Mount Washington,unclear,police,1,not_verified
KY,South,Murray,unclear,non_safety,1,not_verified
KY,South,Murray,unclear,police,2,not_verified
KY,South,Paducah,"July 1, 2026 – June 30, 2029",fire,1,not_verified
KY,South,Paducah,"July 1, 2026 – June 30, 2029",non_safety,1,not_verified
KY,South,Paducah,"July 1, 2026 – June 30, 2029",police,1,not_verified
KY,South,Paducah,unclear,unclear,1,not_verified
KY,South,Radcliff,unclear,fire,1,not_verified
KY,South,Radcliff,unclear,non_safety,2,not_verified
KY,South,Radcliff,unclear,police,1,not_verified
KY,South,Shelbyville,unclear,fire,1,not_verified
KY,South,Shelbyville,unclear,non_safety,1,not_verified
KY,South,Shelbyville,unclear,police,1,not_verified
KY,South,St. Matthews,unclear,police,1,not_verified
KY,South,St. Matthews,unclear,unclear,2,not_verified
KY,South,Winchester,"2024-2025 (shown as 2024-2025 salary schedule; effective June 30, 2024)",non_safety,1,not_verified
KY,South,Winchester,unclear,non_safety,1,not_verified
LA,South,Baker,unclear,unclear,1,not_verified
LA,South,Baker,unclear,unknown,1,not_verified
LA,South,Carencro,unclear,fire,1,not_verified
LA,South,Carencro,unclear,police,1,not_verified
LA,South,Carencro,unclear,unclear,1,not_verified
LA,South,Covington,unclear,unclear,2,not_verified
LA,South,Crowley,unclear,non_safety,1,not_verified
LA,South,Crowley,unclear,unclear,1,not_verified
LA,South,Gonzales,unclear,non_safety,1,not_verified
LA,South,Gonzales,unclear,unclear,1,not_verified
LA,South,Gonzales,unclear,unknown,1,not_verified
LA,South,Mandeville,unclear,non_safety,1,not_verified
LA,South,Mandeville,unclear,police,1,not_verified
LA,South,Mandeville,unclear,unclear,1,not_verified
LA,South,Mandeville,unclear,unknown,1,not_verified
LA,South,West Monroe,unclear,unclear,2,not_verified
LA,South,Youngsville,unclear,police,2,not_verified
LA,South,Zachary,unclear,unclear,2,not_verified
MA,Northeast,Andover,"July 1, 2019 - June 30, 2022",police,1,not_verified
MA,Northeast,Andover,"July 1, 2025 - June 30, 2028",fire,1,not_verified
MA,Northeast,Andover,"July 1, 2025 - June 30, 2028",non_safety,1,not_verified
MA,Northeast,Andover,"unclear (operative term observed as July 1, 2025 - June 30, 2028; earlier load showed July 1, 2022 - June 30, 2025)",police,1,not_verified
MA,Northeast,Billerica,unclear,fire,2,not_verified
MA,Northeast,Billerica,unclear,police,1,not_verified
MA,Northeast,Brookline,FY25–FY27 (exact start/end dates not fully confirmed from excerpted lines captured),fire,1,not_verified
MA,Northeast,Brookline,"July 1, 2021–June 30, 2024",non_safety,1,not_verified
MA,Northeast,Brookline,"July 1, 2023–June 30, 2024; July 1, 2024–June 30, 2027",police,1,not_verified
MA,Northeast,Brookline,award period unclear (excerpt-only; year shown as 2023),police,1,not_verified
MA,Northeast,Brookline,unclear,fire,1,not_verified
MA,Northeast,Brookline,unclear,non_safety,1,not_verified
MA,Northeast,Chelmsford,FY2023-FY2025,fire,1,not_verified
MA,Northeast,Chelmsford,FY2026-FY2028,non_safety,1,not_verified
MA,Northeast,Chelmsford,"June 1, 2026 - May 30, 2029",police,1,not_verified
MA,Northeast,Chelmsford,unclear,non_safety,1,not_verified
MA,Northeast,Dartmouth,"2016-2018 (references FY 2016-2018; operative implementation language present, but the actual CBA document not shown in the warrant excerpt)",police,1,not_verified
MA,Northeast,Dartmouth,FY 2023 and FY 2024 (implementation funding referenced in FY 2025 budget/appropriation language),unclear,1,not_verified
MA,Northeast,Dartmouth,unclear,unknown,1,not_verified
