scout_target_id,state,region,municipality,municipality_id,census_gov_id,population,government_name,expected_units_to_search,scout_purpose,anchor_cycle,selection_reason,broad_geographic_target_reason,source_family_diversification_reason,matched_non_safety_opportunity_flag,search_query_family,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,verification_status,download_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
BSSS-20260727-0011,AL,South,Alabaster,cog_2025_160707,160707,34107,Alabaster municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Alabaster"" AL municipal labor agreements police fire general employees","""Alabaster"" AL human resources pay plan wage salary schedule civil service","""Alabaster"" AL labor arbitration award factfinding report","""Alabaster"" AL salary ordinance compensation classification study budget pay plan","""Alabaster"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0012,AL,South,Athens,cog_2025_207518,207518,30904,Athens municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Athens"" AL municipal labor agreements police fire general employees","""Athens"" AL human resources pay plan wage salary schedule civil service","""Athens"" AL labor arbitration award factfinding report","""Athens"" AL salary ordinance compensation classification study budget pay plan","""Athens"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0013,AL,South,Bessemer,cog_2025_160637,160637,25037,Bessemer municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Bessemer"" AL municipal labor agreements police fire general employees","""Bessemer"" AL human resources pay plan wage salary schedule civil service","""Bessemer"" AL labor arbitration award factfinding report","""Bessemer"" AL salary ordinance compensation classification study budget pay plan","""Bessemer"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0014,AL,South,Daphne,cog_2025_160546,160546,30321,Daphne municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Daphne"" AL municipal labor agreements police fire general employees","""Daphne"" AL human resources pay plan wage salary schedule civil service","""Daphne"" AL labor arbitration award factfinding report","""Daphne"" AL salary ordinance compensation classification study budget pay plan","""Daphne"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0015,AL,South,Fairhope,cog_2025_160548,160548,24974,Fairhope municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Fairhope"" AL municipal labor agreements police fire general employees","""Fairhope"" AL human resources pay plan wage salary schedule civil service","""Fairhope"" AL labor arbitration award factfinding report","""Fairhope"" AL salary ordinance compensation classification study budget pay plan","""Fairhope"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0016,AL,South,Gadsden,cog_2025_183677,183677,33229,Gadsden municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Gadsden"" AL municipal labor agreements police fire general employees","""Gadsden"" AL human resources pay plan wage salary schedule civil service","""Gadsden"" AL labor arbitration award factfinding report","""Gadsden"" AL salary ordinance compensation classification study budget pay plan","""Gadsden"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0017,AL,South,Homewood,cog_2025_122554,122554,27758,Homewood municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Homewood"" AL municipal labor agreements police fire general employees","""Homewood"" AL human resources pay plan wage salary schedule civil service","""Homewood"" AL labor arbitration award factfinding report","""Homewood"" AL salary ordinance compensation classification study budget pay plan","""Homewood"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0018,AL,South,Northport,cog_2025_193062,193062,31111,Northport municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Northport"" AL municipal labor agreements police fire general employees","""Northport"" AL human resources pay plan wage salary schedule civil service","""Northport"" AL labor arbitration award factfinding report","""Northport"" AL salary ordinance compensation classification study budget pay plan","""Northport"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0019,AL,South,Opelika,cog_2025_160663,160663,33572,Opelika municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Opelika"" AL municipal labor agreements police fire general employees","""Opelika"" AL human resources pay plan wage salary schedule civil service","""Opelika"" AL labor arbitration award factfinding report","""Opelika"" AL salary ordinance compensation classification study budget pay plan","""Opelika"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0020,AL,South,Pelham,cog_2025_183682,183682,25121,Pelham municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Pelham"" AL municipal labor agreements police fire general employees","""Pelham"" AL human resources pay plan wage salary schedule civil service","""Pelham"" AL labor arbitration award factfinding report","""Pelham"" AL salary ordinance compensation classification study budget pay plan","""Pelham"" AL memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0021,AR,South,Bella Vista,cog_2025_220399,220399,32368,Bella Vista municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Bella Vista"" AR municipal labor agreements police fire general employees","""Bella Vista"" AR human resources pay plan wage salary schedule civil service","""Bella Vista"" AR labor arbitration award factfinding report","""Bella Vista"" AR salary ordinance compensation classification study budget pay plan","""Bella Vista"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0022,AR,South,Bryant,cog_2025_161059,161059,21877,Bryant municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Bryant"" AR municipal labor agreements police fire general employees","""Bryant"" AR human resources pay plan wage salary schedule civil service","""Bryant"" AR labor arbitration award factfinding report","""Bryant"" AR salary ordinance compensation classification study budget pay plan","""Bryant"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0023,AR,South,Centerton,cog_2025_160895,160895,23953,Centerton municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Centerton"" AR municipal labor agreements police fire general employees","""Centerton"" AR human resources pay plan wage salary schedule civil service","""Centerton"" AR labor arbitration award factfinding report","""Centerton"" AR salary ordinance compensation classification study budget pay plan","""Centerton"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0024,AR,South,El Dorado,cog_2025_194955,194955,16869,El Dorado municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""El Dorado"" AR municipal labor agreements police fire general employees","""El Dorado"" AR human resources pay plan wage salary schedule civil service","""El Dorado"" AR labor arbitration award factfinding report","""El Dorado"" AR salary ordinance compensation classification study budget pay plan","""El Dorado"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0025,AR,South,Jacksonville,cog_2025_194954,194954,29094,Jacksonville municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Jacksonville"" AR municipal labor agreements police fire general employees","""Jacksonville"" AR human resources pay plan wage salary schedule civil service","""Jacksonville"" AR labor arbitration award factfinding report","""Jacksonville"" AR salary ordinance compensation classification study budget pay plan","""Jacksonville"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0026,AR,South,Maumelle,cog_2025_161050,161050,19452,Maumelle municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Maumelle"" AR municipal labor agreements police fire general employees","""Maumelle"" AR human resources pay plan wage salary schedule civil service","""Maumelle"" AR labor arbitration award factfinding report","""Maumelle"" AR salary ordinance compensation classification study budget pay plan","""Maumelle"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0027,AR,South,Searcy,cog_2025_161086,161086,23813,Searcy municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Searcy"" AR municipal labor agreements police fire general employees","""Searcy"" AR human resources pay plan wage salary schedule civil service","""Searcy"" AR labor arbitration award factfinding report","""Searcy"" AR salary ordinance compensation classification study budget pay plan","""Searcy"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0028,AR,South,Siloam Springs,cog_2025_160897,160897,19336,Siloam Springs municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Siloam Springs"" AR municipal labor agreements police fire general employees","""Siloam Springs"" AR human resources pay plan wage salary schedule civil service","""Siloam Springs"" AR labor arbitration award factfinding report","""Siloam Springs"" AR salary ordinance compensation classification study budget pay plan","""Siloam Springs"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0029,AR,South,Van Buren,cog_2025_122864,122864,24138,Van Buren municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Van Buren"" AR municipal labor agreements police fire general employees","""Van Buren"" AR human resources pay plan wage salary schedule civil service","""Van Buren"" AR labor arbitration award factfinding report","""Van Buren"" AR salary ordinance compensation classification study budget pay plan","""Van Buren"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0030,AR,South,West Memphis,cog_2025_183727,183727,23825,West Memphis municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""West Memphis"" AR municipal labor agreements police fire general employees","""West Memphis"" AR human resources pay plan wage salary schedule civil service","""West Memphis"" AR labor arbitration award factfinding report","""West Memphis"" AR salary ordinance compensation classification study budget pay plan","""West Memphis"" AR memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0031,AZ,West,Apache Junction,cog_2025_160845,160845,41153,Apache Junction municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Apache Junction"" AZ municipal labor agreements police fire general employees","""Apache Junction"" AZ human resources pay plan wage salary schedule civil service","""Apache Junction"" AZ labor arbitration award factfinding report","""Apache Junction"" AZ salary ordinance compensation classification study budget pay plan","""Apache Junction"" AZ memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0032,AZ,West,Bullhead City,cog_2025_160836,160836,43302,Bullhead City municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Bullhead City"" AZ municipal labor agreements police fire general employees","""Bullhead City"" AZ human resources pay plan wage salary schedule civil service","""Bullhead City"" AZ labor arbitration award factfinding report","""Bullhead City"" AZ salary ordinance compensation classification study budget pay plan","""Bullhead City"" AZ memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0033,AZ,West,El Mirage,cog_2025_122747,122747,35850,El Mirage municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""El Mirage"" AZ municipal labor agreements police fire general employees","""El Mirage"" AZ human resources pay plan wage salary schedule civil service","""El Mirage"" AZ labor arbitration award factfinding report","""El Mirage"" AZ salary ordinance compensation classification study budget pay plan","""El Mirage"" AZ memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
BSSS-20260727-0034,AZ,West,Kingman,cog_2025_100252,100252,35334,Kingman municipal government,police; fire; non_safety/general municipal; CBAs/MOUs/settlements; arbitration/factfinding; salary/wage/pay plans; ordinances/personnel policy; compensation/classification studies,broad_geographic_source_family_diverse_discovery,,new_municipality_coverage; geographic_gap_fill; source_family_diversification,new_municipality_coverage; geographic_gap_fill,rotate_public_local_government_pay_document_families,false,broad_multi_source_family,"""Kingman"" AZ municipal labor agreements police fire general employees","""Kingman"" AZ human resources pay plan wage salary schedule civil service","""Kingman"" AZ labor arbitration award factfinding report","""Kingman"" AZ salary ordinance compensation classification study budget pay plan","""Kingman"" AZ memorandum MOU settlement agreement collective bargaining",not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
