scout_target_id,state,region,municipality,municipality_id,scout_outcome,candidate_row_count,failure_type
BSSS-20260727-0036,AZ,West,Prescott,cog_2025_189586,parseable_no_candidates,0,
BSSS-20260727-0037,AZ,West,Prescott Valley,cog_2025_160849,candidate_positive,3,
BSSS-20260727-0038,AZ,West,Sahuarita,cog_2025_183705,candidate_positive,3,
BSSS-20260727-0039,AZ,West,San Luis,cog_2025_160851,candidate_positive,2,
BSSS-20260727-0040,AZ,West,Sierra Vista,cog_2025_160822,candidate_positive,5,
BSSS-20260727-0041,CA,West,Agoura Hills,cog_2025_161196,candidate_positive,1,
BSSS-20260727-0042,CA,West,Albany,cog_2025_183819,candidate_positive,4,
BSSS-20260727-0043,CA,West,Chowchilla,cog_2025_161200,candidate_positive,3,
BSSS-20260727-0044,CA,West,Galt,cog_2025_211211,candidate_positive,5,
BSSS-20260727-0045,CA,West,Imperial Beach,cog_2025_207597,candidate_positive,4,
BSSS-20260727-0046,CA,West,Laguna Beach,cog_2025_183837,candidate_positive,5,
BSSS-20260727-0047,CA,West,Orinda,cog_2025_123099,candidate_positive,4,
BSSS-20260727-0048,CA,West,Seal Beach,cog_2025_161222,candidate_positive,3,
BSSS-20260727-0049,CA,West,South El Monte,cog_2025_189638,candidate_positive,2,
BSSS-20260727-0050,CA,West,Yucca Valley,cog_2025_161249,candidate_positive,2,
BSSS-20260727-0051,CO,West,Castle Rock,cog_2025_161355,candidate_positive,2,
BSSS-20260727-0052,CO,West,Commerce City,cog_2025_204113,candidate_positive,3,
BSSS-20260727-0053,CO,West,Englewood,cog_2025_207617,candidate_positive,3,
BSSS-20260727-0054,CO,West,Evans,cog_2025_161426,candidate_positive,2,
BSSS-20260727-0055,CO,West,Fountain,cog_2025_194649,candidate_positive,2,
BSSS-20260727-0056,CO,West,Lafayette,cog_2025_123724,candidate_positive,4,
BSSS-20260727-0057,CO,West,Montrose,cog_2025_161398,candidate_positive,2,
BSSS-20260727-0058,CO,West,Northglenn,cog_2025_161329,candidate_positive,2,
BSSS-20260727-0059,CO,West,Parker,cog_2025_161356,candidate_positive,4,
BSSS-20260727-0060,CO,West,Wheat Ridge,cog_2025_101405,parseable_no_candidates,0,
BSSS-20260727-0061,CT,Northeast,East Hartford,cog_2025_161466,candidate_positive,5,
BSSS-20260727-0062,CT,Northeast,Enfield,cog_2025_124049,candidate_positive,3,
BSSS-20260727-0063,CT,Northeast,Fairfield,cog_2025_161456,candidate_positive,4,
BSSS-20260727-0064,CT,Northeast,Greenwich,cog_2025_161457,candidate_positive,3,
BSSS-20260727-0065,CT,Northeast,Groton,cog_2025_161502,candidate_positive,4,
BSSS-20260727-0066,CT,Northeast,Hamden,cog_2025_161496,candidate_positive,4,
BSSS-20260727-0067,CT,Northeast,Southington,cog_2025_161472,candidate_positive,3,
BSSS-20260727-0068,CT,Northeast,Stratford,cog_2025_124046,candidate_positive,3,
BSSS-20260727-0069,CT,Northeast,Trumbull,cog_2025_101709,candidate_positive,5,
BSSS-20260727-0070,CT,Northeast,Wallingford,cog_2025_124059,candidate_positive,2,
BSSS-20260727-0071,DE,South,Camden,cog_2025_124144,candidate_positive,2,
BSSS-20260727-0072,DE,South,Clayton,cog_2025_161521,parseable_no_candidates,0,
BSSS-20260727-0073,DE,South,Elsmere,cog_2025_161528,candidate_positive,3,
BSSS-20260727-0074,DE,South,Harrington,cog_2025_161523,candidate_positive,2,
BSSS-20260727-0075,DE,South,Laurel,cog_2025_189795,candidate_positive,2,
BSSS-20260727-0076,DE,South,Lewes,cog_2025_161537,parseable_no_candidates,0,
BSSS-20260727-0077,DE,South,Millsboro,cog_2025_101820,parseable_no_candidates,0,
BSSS-20260727-0078,DE,South,Milton,cog_2025_161539,candidate_positive,3,
BSSS-20260727-0079,DE,South,New Castle,cog_2025_207648,candidate_positive,3,
BSSS-20260727-0080,DE,South,Selbyville,cog_2025_161541,failed_or_stopped,0,timeout_or_capacity
BSSS-20260727-0081,FL,South,Atlantic Beach,cog_2025_161617,candidate_positive,2,
BSSS-20260727-0082,FL,South,Florida City,cog_2025_101935,candidate_positive,2,
BSSS-20260727-0083,FL,South,Holly Hill,cog_2025_194770,failed_or_stopped,0,outer_timeout
BSSS-20260727-0084,FL,South,Key Biscayne,cog_2025_161612,candidate_positive,3,
BSSS-20260727-0085,FL,South,Lake City,cog_2025_161602,candidate_positive,2,
BSSS-20260727-0086,FL,South,Lantana,cog_2025_101986,candidate_positive,2,
BSSS-20260727-0087,FL,South,Miami Springs,cog_2025_207662,candidate_positive,3,
BSSS-20260727-0088,FL,South,North Palm Beach,cog_2025_124275,candidate_positive,5,
BSSS-20260727-0089,FL,South,South Daytona,cog_2025_207692,candidate_positive,3,
BSSS-20260727-0090,FL,South,West Park,cog_2025_215760,candidate_positive,2,
BSSS-20260727-0091,GA,South,Albany,cog_2025_193161,candidate_positive,2,
BSSS-20260727-0092,GA,South,Alpharetta,cog_2025_161874,candidate_positive,2,
BSSS-20260727-0093,GA,South,Brookhaven,cog_2025_240468,candidate_positive,2,
BSSS-20260727-0094,GA,South,Dunwoody,cog_2025_221292,candidate_positive,2,
BSSS-20260727-0095,GA,South,Johns Creek,cog_2025_219538,candidate_positive,3,
BSSS-20260727-0096,GA,South,Mableton,cog_2025_251616,candidate_positive,4,
BSSS-20260727-0097,GA,South,Marietta,cog_2025_161839,candidate_positive,2,
BSSS-20260727-0098,GA,South,Smyrna,cog_2025_102178,candidate_positive,2,
BSSS-20260727-0099,GA,South,Stonecrest,cog_2025_247151,candidate_positive,4,
BSSS-20260727-0100,GA,South,Valdosta,cog_2025_194685,candidate_positive,4,
BSSS-20260727-0101,IA,Midwest,Bondurant,cog_2025_104456,candidate_positive,2,
BSSS-20260727-0102,IA,Midwest,Carroll,cog_2025_164320,candidate_positive,2,
BSSS-20260727-0103,IA,Midwest,Fairfield,cog_2025_190201,candidate_positive,3,
BSSS-20260727-0104,IA,Midwest,Fort Madison,cog_2025_211717,candidate_positive,4,
BSSS-20260727-0105,IA,Midwest,Grinnell,cog_2025_193322,candidate_positive,3,
BSSS-20260727-0106,IA,Midwest,Keokuk,cog_2025_164468,candidate_positive,4,
BSSS-20260727-0107,IA,Midwest,Le Mars,cog_2025_208053,candidate_positive,2,
BSSS-20260727-0108,IA,Midwest,Mount Pleasant,cog_2025_126635,candidate_positive,2,
BSSS-20260727-0109,IA,Midwest,Pleasant Hill,cog_2025_164535,candidate_positive,2,
BSSS-20260727-0110,IA,Midwest,Waverly,cog_2025_164305,candidate_positive,3,
BSSS-20260727-0111,ID,West,Blackfoot,cog_2025_207749,candidate_positive,4,
BSSS-20260727-0112,ID,West,Chubbuck,cog_2025_184861,candidate_positive,3,
BSSS-20260727-0113,ID,West,Garden City,cog_2025_162036,candidate_positive,3,
BSSS-20260727-0114,ID,West,Hailey,cog_2025_162048,candidate_positive,2,
BSSS-20260727-0115,ID,West,Hayden,cog_2025_124667,candidate_positive,1,
BSSS-20260727-0116,ID,West,Jerome,cog_2025_162085,candidate_positive,4,
BSSS-20260727-0117,ID,West,Middleton,cog_2025_162061,candidate_positive,1,
BSSS-20260727-0118,ID,West,Payette,cog_2025_162109,candidate_positive,2,
BSSS-20260727-0119,ID,West,Rathdrum,cog_2025_211673,candidate_positive,1,
BSSS-20260727-0120,ID,West,Sandpoint,cog_2025_162055,candidate_positive,6,
BSSS-20260727-0121,IL,Midwest,Aurora,cog_2025_185079,candidate_positive,3,
BSSS-20260727-0122,IL,Midwest,Downers Grove,cog_2025_207885,candidate_positive,6,
BSSS-20260727-0123,IL,Midwest,Maine,cog_2025_162822,candidate_positive,2,
BSSS-20260727-0124,IL,Midwest,Proviso,cog_2025_185063,parseable_no_candidates,0,
BSSS-20260727-0125,IL,Midwest,Rockford,cog_2025_204332,candidate_positive,4,
BSSS-20260727-0126,IL,Midwest,Schaumburg,cog_2025_125141,candidate_positive,5,
BSSS-20260727-0127,IL,Midwest,Thornton,cog_2025_162829,candidate_positive,2,
BSSS-20260727-0128,IL,Midwest,Wheeling,cog_2025_207883,candidate_positive,3,
BSSS-20260727-0129,IL,Midwest,Worth,cog_2025_162830,candidate_positive,7,
BSSS-20260727-0130,IL,Midwest,York,cog_2025_194902,parseable_no_candidates,0,
BSSS-20260727-0131,IN,Midwest,Center,cog_2025_183879,parseable_no_candidates,0,
BSSS-20260727-0132,IN,Midwest,Clay,cog_2025_212007,parseable_no_candidates,0,
BSSS-20260727-0133,IN,Midwest,Lawrence,cog_2025_164004,candidate_positive,4,
BSSS-20260727-0134,IN,Midwest,North,cog_2025_126202,parseable_no_candidates,0,
BSSS-20260727-0135,IN,Midwest,Perry,cog_2025_207980,parseable_no_candidates,0,
BSSS-20260727-0136,IN,Midwest,Portage,cog_2025_185309,candidate_positive,4,
BSSS-20260727-0137,IN,Midwest,Warren,cog_2025_103975,candidate_positive,2,
BSSS-20260727-0138,IN,Midwest,Washington,cog_2025_164005,parseable_no_candidates,0,
BSSS-20260727-0139,IN,Midwest,Wayne,cog_2025_163727,parseable_no_candidates,0,
BSSS-20260727-0140,IN,Midwest,Wayne,cog_2025_164006,parseable_no_candidates,0,
BSSS-20260727-0141,KS,Midwest,Andover,cog_2025_184268,candidate_positive,2,
BSSS-20260727-0142,KS,Midwest,Arkansas City,cog_2025_164706,candidate_positive,4,
BSSS-20260727-0143,KS,Midwest,Bruno,cog_2025_164965,parseable_no_candidates,0,
BSSS-20260727-0144,KS,Midwest,El Dorado,cog_2025_201801,candidate_positive,3,
BSSS-20260727-0145,KS,Midwest,Fairmount,cog_2025_190270,parseable_no_candidates,0,
BSSS-20260727-0146,KS,Midwest,Great Bend,cog_2025_208090,candidate_positive,3,
BSSS-20260727-0147,KS,Midwest,McPherson,cog_2025_164795,candidate_positive,3,
BSSS-20260727-0148,KS,Midwest,Ottawa,cog_2025_164733,candidate_positive,3,
BSSS-20260727-0149,KS,Midwest,Riverside,cog_2025_104986,parseable_no_candidates,0,
BSSS-20260727-0150,KS,Midwest,Rockford,cog_2025_127196,parseable_no_candidates,0,
BSSS-20260727-0151,KS,Midwest,Soldier,cog_2025_127200,parseable_no_candidates,0,
BSSS-20260727-0152,KY,South,Ashland,cog_2025_105364,candidate_positive,4,
BSSS-20260727-0153,KY,South,Danville,cog_2025_165801,candidate_positive,1,
BSSS-20260727-0154,KY,South,Madisonville,cog_2025_165857,candidate_positive,3,
BSSS-20260727-0155,KY,South,Mount Washington,cog_2025_190352,candidate_positive,2,
BSSS-20260727-0156,KY,South,Murray,cog_2025_105367,candidate_positive,3,
BSSS-20260727-0157,KY,South,Paducah,cog_2025_225796,candidate_positive,4,
BSSS-20260727-0158,KY,South,Radcliff,cog_2025_105393,candidate_positive,4,
BSSS-20260727-0159,KY,South,Shelbyville,cog_2025_185637,candidate_positive,3,
BSSS-20260727-0160,KY,South,St. Matthews,cog_2025_165869,candidate_positive,3,
BSSS-20260727-0161,KY,South,Winchester,cog_2025_165826,candidate_positive,2,
BSSS-20260727-0162,LA,South,Baker,cog_2025_166053,candidate_positive,2,
BSSS-20260727-0163,LA,South,Carencro,cog_2025_127834,candidate_positive,3,
BSSS-20260727-0164,LA,South,Covington,cog_2025_166125,candidate_positive,2,
BSSS-20260727-0165,LA,South,Crowley,cog_2025_193416,candidate_positive,2,
BSSS-20260727-0166,LA,South,Gonzales,cog_2025_127804,candidate_positive,3,
BSSS-20260727-0167,LA,South,Mandeville,cog_2025_166127,candidate_positive,5,
BSSS-20260727-0168,LA,South,Pineville,cog_2025_166102,parseable_no_candidates,0,
BSSS-20260727-0169,LA,South,West Monroe,cog_2025_105774,candidate_positive,2,
BSSS-20260727-0170,LA,South,Youngsville,cog_2025_204584,candidate_positive,2,
BSSS-20260727-0171,LA,South,Zachary,cog_2025_166055,candidate_positive,2,
BSSS-20260727-0172,MA,Northeast,Andover,cog_2025_166486,candidate_positive,4,
BSSS-20260727-0173,MA,Northeast,Billerica,cog_2025_128142,candidate_positive,3,
BSSS-20260727-0174,MA,Northeast,Brookline,cog_2025_166534,candidate_positive,6,
BSSS-20260727-0175,MA,Northeast,Chelmsford,cog_2025_166522,candidate_positive,4,
BSSS-20260727-0176,MA,Northeast,Dartmouth,cog_2025_166477,candidate_positive,4,
BSSS-20260727-0177,MA,Northeast,Falmouth,cog_2025_106081,candidate_positive,5,
BSSS-20260727-0178,MA,Northeast,Lexington,cog_2025_128144,candidate_positive,4,
BSSS-20260727-0179,MA,Northeast,Natick,cog_2025_166526,candidate_positive,3,
BSSS-20260727-0180,MA,Northeast,Plymouth,cog_2025_106157,candidate_positive,4,
BSSS-20260727-0181,MA,Northeast,Shrewsbury,cog_2025_166571,candidate_positive,3,
BSSS-20260727-0182,MD,South,Centreville,cog_2025_166420,candidate_positive,4,
BSSS-20260727-0183,MD,South,Cheverly,cog_2025_184206,candidate_positive,2,
BSSS-20260727-0184,MD,South,Delmar,cog_2025_208254,candidate_positive,2,
BSSS-20260727-0185,MD,South,Denton,cog_2025_184207,candidate_positive,4,
BSSS-20260727-0186,MD,South,District Heights,cog_2025_166411,candidate_positive,3,
BSSS-20260727-0187,MD,South,Fruitland,cog_2025_106008,parseable_no_candidates,0,
BSSS-20260727-0188,MD,South,Glenarden,cog_2025_166413,candidate_positive,5,
BSSS-20260727-0189,MD,South,Leonardtown,cog_2025_212029,candidate_positive,2,
BSSS-20260727-0190,MD,South,Middletown,cog_2025_166391,candidate_positive,3,
BSSS-20260727-0191,MD,South,Poolesville,cog_2025_106003,candidate_positive,3,
BSSS-20260727-0192,ME,Northeast,Brunswick,cog_2025_166199,candidate_positive,3,
BSSS-20260727-0193,ME,Northeast,Falmouth,cog_2025_166200,candidate_positive,3,
BSSS-20260727-0194,ME,Northeast,Gorham,cog_2025_212024,candidate_positive,3,
BSSS-20260727-0195,ME,Northeast,Kennebunk,cog_2025_208240,candidate_positive,4,
BSSS-20260727-0196,ME,Northeast,Orono,cog_2025_166282,candidate_positive,4,
BSSS-20260727-0197,ME,Northeast,Scarborough,cog_2025_127906,candidate_positive,3,
BSSS-20260727-0198,ME,Northeast,Standish,cog_2025_166204,failed_or_stopped,0,outer_timeout
BSSS-20260727-0199,ME,Northeast,Wells,cog_2025_183933,candidate_positive,3,
BSSS-20260727-0200,ME,Northeast,Windham,cog_2025_105850,candidate_positive,6,
BSSS-20260727-0201,ME,Northeast,York,cog_2025_166359,candidate_positive,4,
BSSS-20260727-0202,MI,Midwest,Canton charter,cog_2025_106600,candidate_positive,6,
BSSS-20260727-0203,MI,Midwest,Chesterfield,cog_2025_167125,candidate_positive,4,
BSSS-20260727-0204,MI,Midwest,Clinton charter,cog_2025_106522,candidate_positive,4,
BSSS-20260727-0205,MI,Midwest,Georgetown charter,cog_2025_167249,candidate_positive,1,
BSSS-20260727-0206,MI,Midwest,Macomb,cog_2025_167127,candidate_positive,4,
BSSS-20260727-0207,MI,Midwest,Redford charter,cog_2025_106601,candidate_positive,3,
BSSS-20260727-0208,MI,Midwest,Shelby charter,cog_2025_212654,candidate_positive,2,
BSSS-20260727-0209,MI,Midwest,Waterford charter,cog_2025_167216,candidate_positive,9,
BSSS-20260727-0210,MI,Midwest,West Bloomfield charter,cog_2025_167217,candidate_positive,5,
BSSS-20260727-0211,MI,Midwest,Ypsilanti charter,cog_2025_193537,candidate_positive,4,
BSSS-20260727-0212,MN,Midwest,Big Lake,cog_2025_128769,candidate_positive,2,
BSSS-20260727-0213,MN,Midwest,Cloquet,cog_2025_167413,candidate_positive,4,
BSSS-20260727-0214,MN,Midwest,Lake Elmo,cog_2025_204765,candidate_positive,2,
BSSS-20260727-0215,MN,Midwest,Mounds View,cog_2025_106882,candidate_positive,2,
BSSS-20260727-0216,MN,Midwest,North St. Paul,cog_2025_106877,parseable_no_candidates,0,
BSSS-20260727-0217,MN,Midwest,Robbinsdale,cog_2025_194663,candidate_positive,3,
BSSS-20260727-0218,MN,Midwest,Rogers,cog_2025_194664,candidate_positive,1,
BSSS-20260727-0219,MN,Midwest,Sauk Rapids,cog_2025_167404,candidate_positive,4,
BSSS-20260727-0220,MN,Midwest,Vadnais Heights,cog_2025_167608,candidate_positive,1,
BSSS-20260727-0221,MN,Midwest,Waconia,cog_2025_128663,candidate_positive,3,
BSSS-20260727-0222,MO,Midwest,Carthage,cog_2025_107643,candidate_positive,2,
BSSS-20260727-0223,MO,Midwest,Grain Valley,cog_2025_168924,candidate_positive,2,
BSSS-20260727-0224,MO,Midwest,Jackson,cog_2025_168822,candidate_positive,2,
BSSS-20260727-0225,MO,Midwest,Lebanon,cog_2025_168952,candidate_positive,3,
BSSS-20260727-0226,MO,Midwest,Liberty,cog_2025_169368,candidate_positive,3,
BSSS-20260727-0227,MO,Midwest,Overland,cog_2025_190687,candidate_positive,2,
BSSS-20260727-0228,MO,Midwest,Polk,cog_2025_129676,parseable_no_candidates,0,
BSSS-20260727-0229,MO,Midwest,Poplar Bluff,cog_2025_129460,candidate_positive,4,
BSSS-20260727-0230,MO,Midwest,Troy,cog_2025_129533,parseable_no_candidates,0,
BSSS-20260727-0231,MO,Midwest,Washington,cog_2025_168890,candidate_positive,4,
BSSS-20260727-0232,MS,South,Bay St. Louis,cog_2025_184182,candidate_positive,1,
BSSS-20260727-0233,MS,South,Byram,cog_2025_223814,parseable_no_candidates,0,
BSSS-20260727-0234,MS,South,Canton,cog_2025_190641,candidate_positive,2,
BSSS-20260727-0235,MS,South,Cleveland,cog_2025_168609,candidate_positive,3,
BSSS-20260727-0236,MS,South,D'Iberville,cog_2025_168636,candidate_positive,2,
BSSS-20260727-0237,MS,South,Diamondhead,cog_2025_239972,candidate_positive,2,
BSSS-20260727-0238,MS,South,Flowood,cog_2025_107446,parseable_no_candidates,0,
BSSS-20260727-0239,MS,South,Petal,cog_2025_129291,candidate_positive,2,
BSSS-20260727-0240,MS,South,West Point,cog_2025_129286,candidate_positive,2,
BSSS-20260727-0241,MS,South,Yazoo City,cog_2025_107460,candidate_positive,3,
BSSS-20260727-0242,MT,West,Conrad,cog_2025_190757,candidate_positive,2,
BSSS-20260727-0243,MT,West,Cut Bank,cog_2025_208671,candidate_positive,3,
BSSS-20260727-0244,MT,West,Deer Lodge,cog_2025_169469,candidate_positive,3,
BSSS-20260727-0245,MT,West,Glasgow,cog_2025_108126,candidate_positive,3,
BSSS-20260727-0246,MT,West,Hardin,cog_2025_169434,parseable_no_candidates,0,
BSSS-20260727-0247,MT,West,Libby,cog_2025_169458,candidate_positive,3,
BSSS-20260727-0248,MT,West,Red Lodge,cog_2025_169440,candidate_positive,2,
BSSS-20260727-0249,MT,West,Shelby,cog_2025_169477,candidate_positive,3,
BSSS-20260727-0250,MT,West,Stevensville,cog_2025_193662,candidate_positive,3,
BSSS-20260727-0251,MT,West,Wolf Point,cog_2025_130017,candidate_positive,3,
BSSS-20260727-0252,NC,South,Apex,cog_2025_171302,candidate_positive,2,
BSSS-20260727-0253,NC,South,Garner,cog_2025_171304,candidate_positive,4,
BSSS-20260727-0254,NC,South,Holly Springs,cog_2025_110119,candidate_positive,3,
BSSS-20260727-0255,NC,South,Huntersville,cog_2025_171233,candidate_positive,2,
BSSS-20260727-0256,NC,South,Indian Trail,cog_2025_171296,candidate_positive,1,
BSSS-20260727-0257,NC,South,Jacksonville,cog_2025_208979,parseable_no_candidates,0,
BSSS-20260727-0258,NC,South,Monroe,cog_2025_211409,candidate_positive,3,
BSSS-20260727-0259,NC,South,Mooresville,cog_2025_212216,candidate_positive,2,
BSSS-20260727-0260,NC,South,Salisbury,cog_2025_110108,candidate_positive,5,
BSSS-20260727-0261,NC,South,Wilson,cog_2025_194743,parseable_no_candidates,0,
BSSS-20260727-0262,ND,Midwest,Apple Creek,cog_2025_171600,candidate_positive,1,
BSSS-20260727-0263,ND,Midwest,Beulah,cog_2025_186831,candidate_positive,3,
BSSS-20260727-0264,ND,Midwest,Devils Lake,cog_2025_171443,candidate_positive,3,
BSSS-20260727-0265,ND,Midwest,Gibbs,cog_2025_131971,parseable_no_candidates,0,
BSSS-20260727-0266,ND,Midwest,Grafton,cog_2025_225831,parseable_no_candidates,0,
BSSS-20260727-0267,ND,Midwest,Hay Creek,cog_2025_171611,parseable_no_candidates,0,
BSSS-20260727-0268,ND,Midwest,Horace,cog_2025_110213,parseable_no_candidates,0,
BSSS-20260727-0269,ND,Midwest,Lincoln,cog_2025_171367,candidate_positive,2,
BSSS-20260727-0270,ND,Midwest,Valley City,cog_2025_171347,candidate_positive,1,
BSSS-20260727-0271,ND,Midwest,Wahpeton,cog_2025_171454,candidate_positive,3,
BSSS-20260727-0272,ND,Midwest,Watford City,cog_2025_191079,candidate_positive,3,
BSSS-20260727-0273,NE,Midwest,Alliance,cog_2025_208687,candidate_positive,3,
BSSS-20260727-0274,NE,Midwest,Blair,cog_2025_169724,candidate_positive,1,
BSSS-20260727-0275,NE,Midwest,Crete,cog_2025_130280,candidate_positive,3,
BSSS-20260727-0276,NE,Midwest,Gering,cog_2025_208727,candidate_positive,2,
BSSS-20260727-0277,NE,Midwest,Gretna,cog_2025_204900,candidate_positive,1,
BSSS-20260727-0278,NE,Midwest,Lexington,cog_2025_169585,candidate_positive,5,
BSSS-20260727-0279,NE,Midwest,McCook,cog_2025_169682,candidate_positive,1,
BSSS-20260727-0280,NE,Midwest,Nebraska City,cog_2025_108444,candidate_positive,3,
BSSS-20260727-0281,NE,Midwest,Seward,cog_2025_204902,candidate_positive,2,
BSSS-20260727-0282,NE,Midwest,York,cog_2025_169737,candidate_positive,2,
BSSS-20260727-0283,NH,Northeast,Bedford,cog_2025_130745,candidate_positive,4,
BSSS-20260727-0284,NH,Northeast,Derry,cog_2025_193718,candidate_positive,6,
BSSS-20260727-0285,NH,Northeast,Exeter,cog_2025_170075,candidate_positive,6,
BSSS-20260727-0286,NH,Northeast,Goffstown,cog_2025_170049,candidate_positive,3,
BSSS-20260727-0287,NH,Northeast,Hampton,cog_2025_170076,candidate_positive,5,
BSSS-20260727-0288,NH,Northeast,Hudson,cog_2025_130747,candidate_positive,6,
BSSS-20260727-0289,NH,Northeast,Londonderry,cog_2025_193719,candidate_positive,5,
BSSS-20260727-0290,NH,Northeast,Merrimack,cog_2025_170056,candidate_positive,6,
BSSS-20260727-0291,NH,Northeast,Milford,cog_2025_108961,candidate_positive,3,
BSSS-20260727-0292,NH,Northeast,Salem,cog_2025_170082,candidate_positive,5,
BSSS-20260727-0293,NJ,Northeast,Brick,cog_2025_170330,candidate_positive,2,
BSSS-20260727-0294,NJ,Northeast,Cherry Hill,cog_2025_184021,candidate_positive,3,
BSSS-20260727-0295,NJ,Northeast,Edison,cog_2025_170312,candidate_positive,5,
BSSS-20260727-0296,NJ,Northeast,Franklin,cog_2025_186570,candidate_positive,2,
BSSS-20260727-0297,NJ,Northeast,Hamilton,cog_2025_184026,candidate_positive,4,
BSSS-20260727-0298,NJ,Northeast,Lakewood,cog_2025_208783,candidate_positive,4,
BSSS-20260727-0299,NJ,Northeast,Old Bridge,cog_2025_170309,candidate_positive,5,
BSSS-20260727-0300,NJ,Northeast,Toms River,cog_2025_130903,candidate_positive,3,
BSSS-20260727-0301,NJ,Northeast,Trenton,nj_trenton,candidate_positive,1,
BSSS-20260727-0302,NJ,Northeast,Woodbridge,cog_2025_130897,candidate_positive,3,
BSSS-20260727-0303,NM,West,Aztec,cog_2025_184186,candidate_positive,2,
BSSS-20260727-0304,NM,West,Bosque Farms,cog_2025_202186,candidate_positive,4,
BSSS-20260727-0305,NM,West,Clayton,cog_2025_186598,candidate_positive,2,
BSSS-20260727-0306,NM,West,Eunice,cog_2025_109323,candidate_positive,4,
BSSS-20260727-0307,NM,West,Los Ranchos de Albuquerque,cog_2025_170379,parseable_no_candidates,0,
BSSS-20260727-0308,NM,West,Peralta,cog_2025_221117,parseable_no_candidates,0,
BSSS-20260727-0309,NM,West,Rio Communities,cog_2025_244814,candidate_positive,3,
BSSS-20260727-0310,NM,West,Santa Rosa,cog_2025_225830,candidate_positive,1,
BSSS-20260727-0311,NM,West,Tucumcari,cog_2025_131033,candidate_positive,3,
BSSS-20260727-0312,NM,West,Tularosa,cog_2025_170397,candidate_positive,1,
BSSS-20260727-0313,NV,West,Caliente,cog_2025_139229,candidate_positive,3,
BSSS-20260727-0314,NV,West,Carlin,cog_2025_169989,candidate_positive,4,
BSSS-20260727-0315,NV,West,Ely,cog_2025_130693,candidate_positive,4,
BSSS-20260727-0316,NV,West,Lovelock,cog_2025_194952,candidate_positive,3,
BSSS-20260727-0317,NV,West,Wells,cog_2025_183877,candidate_positive,1,
BSSS-20260727-0318,NV,West,West Wendover,cog_2025_169990,candidate_positive,3,
BSSS-20260727-0319,NV,West,Yerington,cog_2025_169992,candidate_positive,4,
BSSS-20260727-0320,NY,Northeast,Amherst,cog_2025_131345,candidate_positive,3,
