municipality_cycle_id,municipality,state,cycle_label,normalized_record_count,explicit_safety_record_count,explicit_non_safety_record_count,comparison_readiness_status,blockers
B4X2500RESCUEGROUP-6c94ced35cd4821770653f83,Bellport,NY,2019-2020,5,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ad7a4d5cdbed354ba2ae8da9,Belvidere,IL,2022,11,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ef339d99e7ac62f5d73c7911,Benkelman,NE,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-72d0feea5d84630fdd758134,Bennington,NH,2021,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-bbc59bdf734f36f6ba84afeb,Bentley,KS,2023,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-d3dd1c2db04846ea0a14e24d,Benton,IL,2021,2,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-c0f37fbf2e8bbc0b28cd4850,Benton,KS,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-490ddedb7f55bb47b2f06982,Berkeley Lake,GA,2023,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-401d4ec4b2bdaf7b99a58167,Berlin,NJ,2020,7,4,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-a50a51f3cfb98e6e33ec0216,Bernards,NJ,2023,11,1,4,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-0dc3369d015df8f0c1304b75,Berrien Springs,MI,2022,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-49c60a4a41f81238f5e4daf3,Bertrand,NE,2023-2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7fcaafa1d0a500ef6c584a33,Bethalto,IL,2018,13,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-4167fc55dd05aecc67abf5f8,Bethalto,IL,2021,4,1,1,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-f5bdc47df298d6b1fe17f804,Big Bear Lake,CA,2023,13,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-784c1aeaa5556784d2ae31cc,Big Stone City,SD,2022,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-e28344edd56442e3ea6886a9,Biggs,CA,2021-2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-119d57ced3704d8e51b698ca,Biggs,CA,2022,4,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-52bdf250198b01602755ecdb,Biggs,CA,2022-2023,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-08aaff2419dea583e968775d,Biscayne Park,FL,2020,15,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-3e672dd830cb6099a4d0d464,Blackduck,MN,2018,7,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-4ca9074a63be352cf3d58836,Blacksburg,SC,2021-2022,4,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-c4146f505e1f36132ad6d4cc,Blacksburg,SC,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-a673f0bbf5ce7f605bc18ed8,Bladenboro,NC,2022-2023,5,1,1,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-593573f679c517f4bd900fed,Blandford,MA,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-3f98a3d8eaccb050bf542682,Blendon,OH,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-04321cfd0c819f5dcc96d63f,Bloom,OH,2019,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-c617b8cd80124f425c02d7d4,Bloom,OH,2020,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-84a2d801cd58967471015179,Bloom,OH,2021,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-514d1e997214ca08287d7a88,Bloom,OH,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f39f64312c013b3c788cf9bc,Bloom,OH,2023,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ff26f6291f9262584158045e,Bloom,OH,2024,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7c5898a61c3670211eccfedd,Bloomfield,KY,2024,4,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-df544e9c358d29649aca8855,Bloomfield Hills,MI,2019-2020,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ea56ffacbc2692e546b15304,Bloomfield Hills,MI,2020,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-a87bc1ccd3f84977f92dd730,Bloomfield Hills,MI,2020-2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-1f6ed554691f50dccd57f5f5,Bloomfield Hills,MI,2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7cc1edbce3ba1e5c4509a74c,Bloomfield Hills,MI,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-1b287bfe9f92790614326c75,Bloomington,WI,2024,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f8e607a51f47517754daa950,Blowing Rock,NC,2023,18,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-eff390d4a6c5f7bc706f9de5,Blue Earth,MN,2019,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-9f75b3435048ecb2fa987fa1,Boiling Springs,NC,2016,9,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0169d9719e41c09f0ce6d548,Boiling Springs,NC,2016-2017,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f9c3b2d6b9bf36ca7e7d5dc2,Boiling Springs,NC,2020,8,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-dc01955676ce30c7df6030b3,Boiling Springs,NC,2020-2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-052504a500dcc34eceefaf04,Bolivar,OH,2023,2,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-4280cc3529dd73bde1fcd1e0,Borger,TX,2024,15,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-4972c72c2421ab4601eb388e,Bowdle,SD,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-6c81f3f415cde2d3dbd81690,Bowdon,GA,2024,3,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-06e6f4008febb8e8889e679a,Bradford,ME,2021,7,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-679551aba13943cb40074935,Bradley,ME,2024,4,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7f171032b4a977eb3a39bd73,Braham,MN,2023,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-1c622eeef95ad2e965f9fd1a,Braham,MN,2024,14,1,1,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-877997c6ca4bd537ebb58a82,Brimfield,MA,2023,11,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7c631fb4e427ba44b50fc991,Brimfield,OH,2023,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-5e48066e6068fc9b1f2e20ae,Brimfield,OH,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-4c6a439de1dfd20ada14cbca,Bristol,IN,2024,11,2,2,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-c97e6968bb03d6921624a9ca,Broadview,IL,2020,10,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-bce45d90816e3a9f2aff2107,Broadway,NC,2022-2023,6,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-02f437bc5c7af6e3e68c7796,Brookfield,OH,2023,3,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-447c0729c9351ff9baa1e3f4,Brookfield,OH,2024,2,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-b813c986bf6a2eb57eb97e9a,Brooklawn,NJ,2022,6,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-2d420012ad8a892c7f1570e1,Brooklawn,NJ,2024,6,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-3afeb2865b1515138f6217d2,Brookline,VT,2017,2,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-3c5fe3959f47f24990aec2d1,Brooklyn,MI,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-998c69853bf6cfec42188f29,Brookneal,VA,2022,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-e9456192be7325b5e17faaf0,Brownsville,MN,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-43554dcd39a0c1a6f7185bef,Buchanan,MI,2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-43e9ced227bd5aa1b9135f8b,Buchanan,NY,2023-2024,9,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0788593967f198e3e477b0e4,Buda,TX,2023,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-2adf062970e4a5aad79f4e3b,Buda,TX,2023-2024,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0a7a86354f55e403496ba19a,Butler,OH,2018,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-6b45c82cefa1143afed15d4a,Butler,OH,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-550bbce0abf8b3ce1b33d084,Butler,WI,2014,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-da5ccff8d4884c216ec5164d,Butler,WI,2020,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0cdc129d8228d5df03ef19fe,Butler,WI,2022,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f0b1e85b7fe93ab489495cfc,Butler,WI,2023,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-31f9b4d8bce9f7d93b23b13e,Cabot,VT,2017,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-2f04426e69c8dae6f8c01d4b,Caledonia,MN,2022,19,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-39cb19f72c227c0908145561,Cameron,WV,2024,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7143b11af17fbf1a316e18f5,Cammack Village,AR,2024,7,1,3,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-34e856ba330207616254a90f,Campton Hills,IL,2024,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0f80c8959e5794fef813044f,Canaan,VT,2014,8,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-00ac8cf24cbd914d0a286a80,Canastota,NY,2023-2024,5,1,2,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-7d36284eb6d3e0023ea128e1,Canfield,OH,2022,2,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-209af6d480d0063ad425f759,Carlinville,IL,2021,1,0,1,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-e6a1dd4f3fc06cecdda9d63c,Carmel-by-the-Sea,CA,2024,24,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-c7c97eee071c60fe4a9bf1a3,Carrington,ND,2024,1,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-0287c024f73122d7bc714772,Caryville,TN,2021,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-d99b7154bdac74b62bc93618,Casey,IL,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-eb591d3a859ec62fd461c772,Casey,IL,2023,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-fe17d57375ee0fb3840ae59b,Casey,IL,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-b4a88961da393089582f440a,Cassopolis,MI,2017,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-3cf98d2918ddf41128198c28,Cassville,MO,2019,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-2d9730a5f6bbade3b850ee71,Castle Valley,UT,2023,5,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-5803b072e039b56dfd34bd16,Cathay,ND,2015,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-42a810b389a663301a882004,Cedarburg,WI,2021,7,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-3c91a51e51211ecb3054cfef,Champion,OH,2017,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-6dc24ad7c616b3b43b8651c7,Champion,OH,2020,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-49271af89403a2ecbc4cefe8,Champion,OH,2021,2,1,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ebf2d4e8b28072fe5fc47ae2,Champion,OH,2024,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-cb722e1a6e224100dace5e2a,Charleston,VT,2022,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-4c7a28725e9ee54409f79891,Chattahoochee Hills,GA,2022,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-e12cfec5af0ebb74fe381d71,Chattahoochee Hills,GA,2024,2,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-943039be37d688cd789e5a3b,Cheltenham,PA,2022,4,1,1,both_explicit_groups_present,[]
B4X2500RESCUEGROUP-29f8a1ed344e3dee6eed1510,Chesaning,MI,2023,4,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-efac5ab80a1b630f9399e8a7,Chester,NY,2020,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-18afdfdfaf8c4188407892d2,Chester,NY,2022,8,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-ed54a2b88bf3e13898c12a47,Chester,NY,2024,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-a62d04677d08861d81cf92cc,Chester,OH,2018,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-5876fbe864754b12dcea3902,Chester,OH,2021,14,5,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-f3372fb7e5e781770b423253,Chocowinity,NC,2020-2021,1,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-3c34c9a7620649e5b1da4241,Choudrant,LA,2021,3,0,0,not_matched,"[""missing_explicit_safety_or_non_safety_group""]"
B4X2500RESCUEGROUP-7adf488cbedeb8a093b1ea34,Churubusco,IN,2023,8,1,2,both_explicit_groups_present,[]
