rescue_id,normalized_record_id,municipality,state,reason
B4X2500RESCUE-7352407df58dfbd33cd13516,B4X2500NORM-05b0ad66a110f34368e6aeb3,Kennebec,SD,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-543bdb7b7c98c5d23b7314ea,B4X2500NORM-05b8b7e751290ec4fe0ac3b7,Quogue,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-537be676acff0a53da32a65e,B4X2500NORM-05c8cfae4fb702315c609c65,Udall,KS,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-cdad0368c75bae4244f9ba36,B4X2500NORM-05effc343b2f9160c734b0cd,Elberton,GA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-204bbfe45dd255cac2725d87,B4X2500NORM-05f0b42765e27012cff6f368,North Brunswick,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-58ebe7b651673ea0efb012b1,B4X2500NORM-05fbc3387379faf5793d0213,Champion,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-c9d3a21b35e71c3a31bde454,B4X2500NORM-0629c7beb96a619d64dd6861,Butler,WI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-909d5d985fb82b37eec67fb2,B4X2500NORM-062c694ca44f6378d048f9ff,Westfield,VT,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-bdbead4246e6841ed4879e45,B4X2500NORM-0632f153c5ebd5910ca8366f,Middletown,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-a9bcc82f8ea85a0c536c540e,B4X2500NORM-063cae1791f5283e3d2f5bab,Clay,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-af36395392e8daba37c422a5,B4X2500NORM-064107c93d1ce71ee72bc3ab,Ferguson,PA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-5878ed5a4d0b8c91439b3690,B4X2500NORM-06502fce3e72a1548c5585c4,Edgecomb,ME,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-79bf3d1fdc1c1b48b6ccf464,B4X2500NORM-06512fd975e51f4750afc98d,Bangor,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-7bb8ec7c3bf430a40e14ce23,B4X2500NORM-066298fff42dd4c234b06233,Williamston,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-74c9b719fc09e1d4c8d75e18,B4X2500NORM-066cd72870d2a304f0cceb5c,Kingwood,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-4c0eeb65fa6dd59bcd79ddb2,B4X2500NORM-067d63a94b0193b3f5fd836a,Liberty,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-5e49d46149e7571515e67db0,B4X2500NORM-0689c767f7fe0ca5995cb842,Bangor,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-ec00cd95410dd3e1b9280a10,B4X2500NORM-0697257da2b5e614bbdce1f3,Sagamore Hills,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-90de0bc0e8f079cc5c8d9824,B4X2500NORM-06a280a1c1a5fd38deb97417,Madison,GA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-bf8b8d73a57a92dd15e3c5fc,B4X2500NORM-06ade224846f5d95df8d12ab,Sandersville,GA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-72cb958d4c98ae943a48b6fb,B4X2500NORM-06bb214e0a944d1f5b82b598,Weathersfield,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-990d98341ee8a790ed44412f,B4X2500NORM-06bb46e56d798179c1921383,Mullen,NE,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-47e8ebbae6d770443989ef0a,B4X2500NORM-06bc73414f46ecaac25f7f6c,White Lake,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-64d21d0eb12a687e5fec349a,B4X2500NORM-06c3d9454d5538bf3870fc00,Aurora,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-7686acfe6c714a38ee3291e9,B4X2500NORM-06c67bb1753529b890e96191,Walton,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-991627c74bc208555cc6164f,B4X2500NORM-06d65b3ed218b6c623812fea,Union,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-e774ff02809aa1743527fcb6,B4X2500NORM-06dd056d35cd10b84ead6a51,Grand Marais,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d6e92acdd956da6f8ab58f7b,B4X2500NORM-06e9b1656f559a5ce96d4d51,Cassopolis,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-bea46a7ac2bcbec3b2470535,B4X2500NORM-06f186e64e003b0d06ab8e4f,Greece,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-8a6d1fa9f34ecca6a017c4e6,B4X2500NORM-06f990784e35f14e00843949,Perry,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-3a8787725607b8357f584a1d,B4X2500NORM-070596ae1a3f07189fbe0a4e,Halsey,OR,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-d624ce34804390a26b323b62,B4X2500NORM-071795525520d3fb27444689,Vershire,VT,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-0541b364a0ba665f4bc97c6b,B4X2500NORM-071bff8ac6a87212cfa7e3c5,Ravenna,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-cc5d3bf020b159fda29ffe72,B4X2500NORM-0727251989b0114d51a1ade0,Graettinger,IA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-153db78c7c8d9522b3dad0d0,B4X2500NORM-0727e3c527b71f05ce8af8f3,Kingsville,TX,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-7a4655749df5f7560fafc632,B4X2500NORM-0736d15a97f8eb9e623fe1f5,Shelby,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-7e218335d91692a8d5b0c67a,B4X2500NORM-073b797f17dd90f8dd9c4951,Coats,NC,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-0c97c7dadbadc3bfa4c12d6a,B4X2500NORM-07570c6585a6cbf6cebe53bf,Mountain Village,CO,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-ff58d836ae0c0066668cf972,B4X2500NORM-075bda470b9b86af3f4c2c4b,Dellwood,MN,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-9aed2f33caf0430e18f2d2bf,B4X2500NORM-0767b2fcdd57904dc40069b8,Hancock,MA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-30864064530f5b43ed34fd4f,B4X2500NORM-0777ff036dadd378a7c534f6,Cranberry,PA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-1d603bb19a5a189582ba658c,B4X2500NORM-07784411f697a7ea04058257,Dinosaur,CO,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-8b4c2b47613208a024d5b85c,B4X2500NORM-0778dbc436dfc7dff7f83a9e,Hiram,ME,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-f1e3ac776af186d7c909ca55,B4X2500NORM-07923c47786466336192ed61,Troy,NH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-792084c30d0df13f3ed4bcb9,B4X2500NORM-0793bc04b445ae4a3a596a03,North Brunswick,NJ,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-41add9836b036ad3b9bb7b9c,B4X2500NORM-0797daed9440cd8329f3db45,Alburtis,PA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-4eab704fd6f69610146b6b52,B4X2500NORM-079ac07a6270714da148c837,Winthrop Harbor,IL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-9619b30d93f0ffd45a5440e2,B4X2500NORM-079c54c8b2c03144114392f7,Hoopeston,IL,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-8b25a8e17703b855fe731192,B4X2500NORM-079fd573007fe60c7a977973,Orange,MA,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-0290e38f2a81fd36a10467c4,B4X2500NORM-07a2c987be150dc3b66743d7,Murray,NE,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-a19159761c76dcefafada240,B4X2500NORM-07a2cdf1bcb6abed7279cb8c,Urbana,OH,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-3881ca2cc99f3a946b808dd7,B4X2500NORM-07aa66c9d895224dd3e2f0ab,Meridian charter,MI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-ced04487ade97ac21c0c4033,B4X2500NORM-07aa94d8726f80362ce12386,Rockport,TX,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-427e0b0586309f43a89a1a96,B4X2500NORM-07aaa7d5ee8892a11ab06acb,Dickeyville,WI,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
B4X2500RESCUE-3b3e187cb9fd8f27ce18d3b2,B4X2500NORM-07b0b3d349bb5730c77859ce,Orchard Park,NY,"not used in Tier 1, Tier 2, or Tier 3 current evidence"
