annualization_assumption,annualization_hours_used,base_or_non_base,candidate_id,cba_non_cba_hint,character_end_offset,character_start_offset,classification_evidence_basis,codified_record_id,comparison_cycle_candidate,direction_bucket,effective_period_end,effective_period_start,evidence_category,extraction_id,final_locator,grade,growth_mechanism_claim_caveat,growth_mechanism_claim_text,growth_mechanism_type,growth_value_type,lane_position,line_offset,mechanism_attributes,mechanism_claim_ready,municipality,municipality_cycle_id_candidate,non_base_component_type,normalization_blocker_tags,normalization_needed_for_gap_claim,normalization_notes,normalization_status,normalized_annual_equivalent,normalized_at,normalized_growth_type,normalized_hourly_equivalent,normalized_pay_basis,normalized_percentage_growth,normalized_record_id,normalized_value_confidence,occupation_or_classification,original_locator,original_normalization_status,page_number,paragraph_offset,parsed_annual_salary,parsed_biweekly_rate,parsed_cola_cpi_value,parsed_contract_year,parsed_currency_amount,parsed_cycle_label,parsed_daily_rate,parsed_effective_date,parsed_end_date,parsed_fiscal_year,parsed_growth_period,parsed_growth_unit,parsed_growth_value,parsed_hourly_rate,parsed_lump_sum,parsed_monthly_rate,parsed_percentage_value,parsed_premium_amount,parsed_premium_percentage,parsed_start_date,parsed_step_or_grade_value,parsed_stipend_or_allowance,parsed_weekly_rate,payband,primary_mechanism_cluster,prior_comparable_wage_candidate_link,priority_bucket,quant_span_types,quantitative_growth_value_present,rank,rating_id,raw_base_nonbase_text,raw_compensation_text,raw_context_notes,raw_effective_period_text,raw_paraphrase,raw_rank_step_grade_text,raw_span_text,raw_unit_or_group_text,raw_unit_text,raw_value_text,raw_values_preserved,readiness_id,region,report_usability_bucket,rescue_basket,rescue_completed_at,rescue_id,rescue_lane,rescue_status,retained_source_id,safety_category,scout_target_id,section_heading,source_family,source_id,source_review_download_id,source_title,span_id,span_sha256,state,step,unit_or_group,verification_row_id,why_not_gap_comparable,comparable_wage_candidate_link,fields_repaired,fields_still_missing,gap_claim_blockers,gap_claim_readiness,manual_review_reason,matched_cycle_link,repair_confidence,repair_evidence_basis
not_applicable,,unclear,B4X2500LIVE-20260729-008282,cba_hint,16169,16073,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-4f2b0e6d89467e4f38f8ed04,2025,not_applicable,2026-01-01,2025-01-01,quantitative_compensation,B4X2500TXT-20260730-cf19aeb59f1f99461d7e,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-10-1015.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,percentage_raise,percentage_raise,104,238,"[""automatic_raise_mechanism""]",False,Liberty,B4X2500MC-83a6d3cad53590c93ac38136,,"[""base_nonbase_unresolved"", ""base_nonbase_unresolved"", ""cycle_outside_2014_2024_observation_window""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,across_the_board_raise,,percentage,3.0,B4X2500NORM-65f6abc41fe956bf86d79ef1,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-10-1015.pdf,normalization_mechanism_only,,49,,,,2025,31.11,2025,,2025-01-01,2026-01-01,,,percent,3.0,,,,3.0,,,2025-01-01,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""percentage_raise""]",True,,B4X2500-RATING-20260730-21504a17ddc24dd3296b5edc,,"The top wage rate will increase by 3% January 1, 2025 to $31.11 and by 3% on January 1, 2026 to",Collective Bargaining Agreement (Liberty Township Police Department) - Ohio Patrolmen's Benevolent Association (OPBA);,2025-01-01; 2026-01-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"The top wage rate will increase by 3% January 1, 2025 to $31.11 and by 3% on January 1, 2026 to",police,percentage_raise,$31.11; 3%; 3%,True,B4X2500RDY-20260730-4514d43bcbfe8effb6c4,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:25:57.868993Z,B4X2500RESCUE-ab0f163ea4daca01f168e927,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-dd76794c0ac45ca54555,police,B4X2500-20260729-08285,,cba,B4X2500LIVE-20260729-008282,B4X2500SRD-20260730-dd76794c0ac45ca54555,Collective Bargaining Agreement (Liberty Township Police Department) - Ohio Patrolmen's Benevolent Association (OPBA),B4X2500SPAN-20260730-013ad4df9a5efac84a30e975,5e55f6912bf7b320348201c2cb520d6fa4e5aa13a87a95eaa7c216805addf6ef,OH,,police,B4X2500V-20260730-03972,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
not_applicable,,non_base,B4X2500LIVE-20260729-003319,cba_hint,49614,49532,,B4X2500COD-20260730-4e60faef5755555454d0aa60,undated-source-B4X2500LIVE-20260729-003319,not_applicable,,,non_base_compensation,B4X2500TXT-20260730-8acd818c55e5133a7cef,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-01-0022.pdf,,,,,,105,1231,"[""non_base_compensation_signal""]",,Plain,B4X2500MC-23fe0e79857cc8179d2437ca,stipend_or_allowance,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""effective_period_or_cycle_unresolved""]",,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_partial,,2026-07-30T22:04:38Z,premium_or_differential,,stipend,,B4X2500NORM-1ba0b22982a23320daed33b4,moderate,unknown,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-01-0022.pdf,normalization_partial,,361,,,,,500.0,,,,,,,,,,,,,500.0,,,,500.0,,,non_base_compensation,,high_priority_verification_ready,"[""stipend_or_allowance""]",,,B4X2500-RATING-20260730-7e566fea9408f178a647edf0,non_base,Section A A uniform allowance of five hundred dollars ($500.00) per year shall be,"Negotiated Contract between Plain Township Board of Trustees and Utility Workers Union of America, AFL-CIO Local 561; Article 24: UNIFORMS",,The passage references a non-base compensation component for later review.,,Section A A uniform allowance of five hundred dollars ($500.00) per year shall be,,stipend_or_allowance,$500.00,True,B4X2500RDY-20260730-85186e7a5b88cb05eea2,Midwest,downstream_normalization_needed,partial_repair,2026-07-30T23:20:14.230651Z,B4X2500RESCUE-78ff57dd24a324eb1fc661a7,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-e3a372fbe6870ff29a53,unclear,B4X2500-20260729-03304,Article 24: UNIFORMS,cba,B4X2500LIVE-20260729-003319,B4X2500SRD-20260730-e3a372fbe6870ff29a53,"Negotiated Contract between Plain Township Board of Trustees and Utility Workers Union of America, AFL-CIO Local 561",B4X2500SPAN-20260730-5011a1966f52ea58cfc3f196,c5a80bfc3c277aefb765326a780f59f96b3a601cc1c4a06c771cc8382b84ffc4,OH,,unresolved_unit,B4X2500V-20260730-03981,,,[],"[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]","[""comparable_wage_value"", ""pay_basis"", ""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]",not_ready,comparable_wage_value;pay_basis;safety_category;occupation_or_unit;2014_2024_effective_cycle,B4X2500MC-23fe0e79857cc8179d2437ca,low,"[""prior_normalization_metadata_only""]"
not_applicable,,unclear,B4X2500LIVE-20260729-003291,cba_hint,47327,47238,"[""unresolved"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-32971876b5161c36aa7b3ec0,2021,neutral_or_general,,2021-08-01,quantitative_compensation,B4X2500TXT-20260730-7d6e8c93a57d174ba29d,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-09-0981.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,percentage_raise,percentage_raise,106,868,"[""automatic_raise_mechanism""]",False,Liberty,B4X2500MC-3e4b43795804dfb3d7749f5b,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""base_nonbase_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,across_the_board_raise,,percentage,2.0,B4X2500NORM-89ef0a5d55d64deb71ad7ef4,moderate,unknown,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-09-0981.pdf,normalization_mechanism_only,,152,,,,2021,,2021,,2021-08-01,,,2021,percent,2.0,,,,2.0,,,2021-08-01,,,,,automatic_wage_growth,,high_priority_verification_ready,"[""percentage_raise""]",True,,B4X2500-RATING-20260730-39a8ef65066aead043555ff8,,"Beginning August 1, 2021 all members of the bargaining unit shall receive a 2% increase.","Collective Bargaining Agreement (AFSCME Ohio Council 8) — Liberty Township, Butler County, Ohio; WAGES",2021-08-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Beginning August 1, 2021 all members of the bargaining unit shall receive a 2% increase.",,percentage_raise,2%,True,B4X2500RDY-20260730-9837d507c879d1836f6d,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:25:57.896337Z,B4X2500RESCUE-1ef6992c15ab17beb32fa7eb,rescue_lane_004,source_reported_percentage_growth_supported,B4X2500SRD-20260730-e9e1e8f8659fa2ddf8b5,unclear,B4X2500-20260729-03285,WAGES,cba,B4X2500LIVE-20260729-003291,B4X2500SRD-20260730-e9e1e8f8659fa2ddf8b5,"Collective Bargaining Agreement (AFSCME Ohio Council 8) — Liberty Township, Butler County, Ohio",B4X2500SPAN-20260730-d3032c06e4770a8673ae35bf,d34ec61fbe7b7195ad124453542c68dc444b9eba9856e64e05b0a7a6e2fce0b7,OH,,unresolved_unit,B4X2500V-20260730-03970,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008284,non_cba_or_other_hint,62836,62753,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-47bb120bb88b5ca22748844d,2012,neutral_or_general,,2012-01-01,quantitative_compensation,B4X2500TXT-20260730-efb326c2f53f13460214,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-02-0148.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,107,1057,"[""implementation_or_retroactivity_advantage""]",False,Liberty,B4X2500MC-4ee44e4cfaf497c800b95766,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved"", ""cycle_outside_2014_2024_observation_window""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-d989898fb77f4630b089c6cb,moderate,public_works,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-02-0148.pdf,normalization_mechanism_only,,221,,,,2012,,2012,,,,,,,,,,,,,,2012-01-01,,,,,non_base_compensation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-f17f52b9fc7210d1c7207f70,,"Effective September l, 2012, Liberty Township shall provide health care insurance","Collective Bargaining Agreement - Road Department employees (Liberty Township) - Chauffeurs, Teamsters, Warehousemen and Helpers of America, Local Union No. 377; Section J.",2012,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective September l, 2012, Liberty Township shall provide health care insurance",public_works,effective_date,,True,B4X2500RDY-20260730-3db8bcd614e02ee00efa,Midwest,pi_report_context_only,mechanism_only_repair,2026-07-30T23:25:57.963440Z,B4X2500RESCUE-9446a300ac9e77e6b0af9239,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-02297ecc50775cb57875,non_safety,B4X2500-20260729-08285,Section J.,wage_schedule,B4X2500LIVE-20260729-008284,B4X2500SRD-20260730-02297ecc50775cb57875,"Collective Bargaining Agreement - Road Department employees (Liberty Township) - Chauffeurs, Teamsters, Warehousemen and Helpers of America, Local Union No. 377",B4X2500SPAN-20260730-42e65e63cf3db1de29978974,0411ce496e462b1ebbf3768124495f9a5e27d8a8b7d45c6922e519671cc2b78d,OH,,public_works,B4X2500V-20260730-01132,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
standard_2080_hours,2080,base,B4X2500LIVE-20260729-000851,non_cba_or_other_hint,2324,2276,,B4X2500COD-20260730-5312f37d87e9b10747124863,2023,not_applicable,,2023-01-01,quantitative_compensation,B4X2500TXT-20260730-d45f67ac30083f209190,https://polandtownship.gov/government/meeting-minutes/item/02-08-2023-minutes,,,,,,108,47,"[""base_wage_direct_value""]",,Poland,B4X2500MC-9405f17f32b61482aebfb55c,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""annual_equivalent_uses_standard_2080_assumption""]",,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,1560.0,2026-07-30T22:04:39Z,not_growth_value,0.75,hourly,,B4X2500NORM-4e0772a288649e3d3a4acd37,moderate,unknown,https://polandtownship.gov/government/meeting-minutes/item/02-08-2023-minutes,normalization_partial,,24,,,,2023,0.75,2023,,,,,,,,0.75,,,,,,2023-01-01,,,,,quantitative_base_wage_needs_normalization,,high_priority_verification_ready,"[""hourly_rate""]",,,B4X2500-RATING-20260730-022564fa867bdbf5ddbefbe5,base,Part-time Casual/Seasonal employees- $0.75/hour,02-08-2023 Minutes;,2023,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,Part-time Casual/Seasonal employees- $0.75/hour,,hourly_rate,$0.75,True,B4X2500RDY-20260730-164483bd640eb5ff0427,Midwest,downstream_normalization_needed,partial_repair,2026-07-30T23:20:14.239547Z,B4X2500RESCUE-6173ca7793440387643c7fe1,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-2fc2d39206bfc1e131ee,unclear,B4X2500-20260729-00819,,agenda_packet_or_minutes,B4X2500LIVE-20260729-000851,B4X2500SRD-20260730-2fc2d39206bfc1e131ee,02-08-2023 Minutes,B4X2500SPAN-20260730-8b1f4eefccef9db2477c280b,973efd11280bbf474c2029a2021397b482148441b71903b77472a5c6fc9d82b7,OH,,unresolved_unit,B4X2500V-20260730-05390,,,[],"[""comparable_wage_value"", ""safety_category"", ""occupation_or_unit""]","[""comparable_wage_value"", ""safety_category"", ""occupation_or_unit""]",not_ready,comparable_wage_value;safety_category;occupation_or_unit,B4X2500MC-9405f17f32b61482aebfb55c,low,"[""prior_normalization_metadata_only""]"
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008282,cba_hint,87929,87835,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-60b0ed8bff01678756507efc,2024,neutral_or_general,,2024-01-01,quantitative_compensation,B4X2500TXT-20260730-cf19aeb59f1f99461d7e,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-10-1015.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,109,1437,"[""implementation_or_retroactivity_advantage""]",False,Liberty,B4X2500MC-ccb2008177796037d71e107a,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-067d63a94b0193b3f5fd836a,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-10-1015.pdf,normalization_mechanism_only,,286,,,,2024,,2024,,2024-01-01,,,2024,,,,,,,,,2024-01-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-b76e3bee96c8c4102d080cfb,,"This Agreement shall be effective January 1, 2024 and shall continue in full force and effect",Collective Bargaining Agreement (Liberty Township Police Department) - Ohio Patrolmen's Benevolent Association (OPBA); DURATION,2024-01-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"This Agreement shall be effective January 1, 2024 and shall continue in full force and effect",police,effective_date,,True,B4X2500RDY-20260730-4514d43bcbfe8effb6c4,Midwest,pi_report_context_only,mechanism_only_repair,2026-07-30T23:25:57.795332Z,B4X2500RESCUE-4c0eeb65fa6dd59bcd79ddb2,rescue_lane_004,mechanism_with_no_quant_value,B4X2500SRD-20260730-dd76794c0ac45ca54555,police,B4X2500-20260729-08285,DURATION,cba,B4X2500LIVE-20260729-008282,B4X2500SRD-20260730-dd76794c0ac45ca54555,Collective Bargaining Agreement (Liberty Township Police Department) - Ohio Patrolmen's Benevolent Association (OPBA),B4X2500SPAN-20260730-9ea172b0046ddb2f62f97fcd,36bd0a7716db8c8e07d679c8b1958b7b4dfda9fe7ca6e5e7ddd38768d36b25b9,OH,,police,B4X2500V-20260730-03972,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008285,cba_hint,123276,123256,"[""unit_specific_source_title"", ""unresolved"", ""unresolved""]",B4X2500COD-20260730-88fd29967fc3a6504f36f5dc,undated-source-B4X2500LIVE-20260729-008285,not_applicable,,,quantitative_compensation,B4X2500TXT-20260730-d7ddec955f380096b9ba,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1291.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,110,2223,"[""implementation_or_retroactivity_advantage""]",False,Liberty,B4X2500MC-14c42fb9ace6888b54afd566,,"[""base_nonbase_unresolved"", ""effective_period_or_cycle_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-0ba1ff25be5a42506778e197,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1291.pdf,normalization_mechanism_only,,513,,,,,,,,,,,,,,,,,,,,,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-8ccdf3dc5ac90ff27664b222,,Effective January I.,Collective Bargaining Agreement (Liberty Township Police / OPBA);,,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,Effective January I.,police,effective_date,,True,B4X2500RDY-20260730-3423367bd9361296cb3e,Midwest,pi_report_context_only,mechanism_only_repair,2026-07-30T23:25:57.799631Z,B4X2500RESCUE-c5c5d0c347dd2013b82e5d92,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-bb72dcab6e155041dfac,police,B4X2500-20260729-08286,,cba,B4X2500LIVE-20260729-008285,B4X2500SRD-20260730-bb72dcab6e155041dfac,Collective Bargaining Agreement (Liberty Township Police / OPBA),B4X2500SPAN-20260730-14af8bf3d790af69cd2f1065,c67dcaa558463d833bcd8352f910a2d1cdcac8b80dd3c911111b4027bae03149,OH,,police,B4X2500V-20260730-05414,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
standard_2080_hours,2080,base,B4X2500LIVE-20260729-005795,non_cba_or_other_hint,22570,22542,,B4X2500COD-20260730-9f01763989378bde6f21ef34,2026,non_safety_advantage,,2026-01-01,quantitative_compensation,B4X2500TXT-20260730-0486820604c7ccaadeca,https://prairietownship.org/AgendaCenter/ViewFile/Minutes/_12102025-986,,,,,,111,598,"[""base_wage_direct_value""]",,Prairie,B4X2500MC-b69899c6358ee72ab94802e9,,"[""safety_category_unresolved"", ""occupation_or_unit_unresolved"", ""annual_equivalent_uses_standard_2080_assumption"", ""cycle_outside_2014_2024_observation_window""]",,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates. Annual/hourly conversion uses 2,080 hours and is capped at moderate confidence unless later document-specific hours are found.",normalization_partial,22880.0,2026-07-30T22:04:39Z,not_growth_value,11.0,hourly,,B4X2500NORM-17e65bf177da19de30b1ecb7,moderate,unknown,https://www.prairietownship.org/AgendaCenter/ViewFile/Minutes/_12102025-986,normalization_partial,,137,,,,2026,11.0,2026,,,,,,,,11.0,,,,,,2026-01-01,,,,,quantitative_base_wage_needs_normalization,,medium_priority_verification_ready,"[""hourly_rate""]",,,B4X2500-RATING-20260730-9638880d1a06e55dabd0f26f,base,per hour to $11.00 per hour.,Record of Proceedings (Minutes) — Board of Trustees meeting (includes township employee pay increase due to 2026 minimum wage; also references pay increases/step increases in agenda/minutes context);,2026,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,per hour to $11.00 per hour.,,hourly_rate,$11.00,True,B4X2500RDY-20260730-5038547cc923483c792d,Midwest,downstream_normalization_needed,partial_repair,2026-07-30T23:20:14.247829Z,B4X2500RESCUE-c1601b023dbd76e0a8b9b4d4,rescue_lane_004,downgraded_unusable,B4X2500SRD-20260730-efaf06ced6dbc19b466b,unclear,B4X2500-20260729-05814,,agenda_packet_or_minutes,B4X2500LIVE-20260729-005795,B4X2500SRD-20260730-efaf06ced6dbc19b466b,Record of Proceedings (Minutes) — Board of Trustees meeting (includes township employee pay increase due to 2026 minimum wage; also references pay increases/step increases in agenda/minutes context),B4X2500SPAN-20260730-d79bff14d724a945685b9914,8adaa0f9c88297b4bef7f1d65dbe53cbb7fddddf4b291283fe72a5adc7a7b1be,OH,,unresolved_unit,B4X2500V-20260730-03877,,,[],"[""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]","[""safety_category"", ""occupation_or_unit"", ""2014_2024_effective_cycle""]",not_ready,safety_category;occupation_or_unit;2014_2024_effective_cycle,B4X2500MC-b69899c6358ee72ab94802e9,low,"[""prior_normalization_metadata_only""]"
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-008285,cba_hint,237,183,"[""exact_span"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-d750519bed3289b05a4fd03f,2020,neutral_or_general,2023-12-31,2020-09-01,quantitative_compensation,B4X2500TXT-20260730-d7ddec955f380096b9ba,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1291.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,112,19,"[""implementation_or_retroactivity_advantage""]",False,Liberty,B4X2500MC-4ec06c3cd1583d3a239cec33,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-418a967ef790d4afb30eef5c,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1291.pdf,normalization_mechanism_only,,8,,,,2020,,2020,,2020-09-01,2023-12-31,,2020,,,,,,,,,2020-09-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-9d9f8f14cc2f6b2b17e638cc,,"Effective September 1, 2020 through December 31, 2023",Collective Bargaining Agreement (Liberty Township Police / OPBA); PATROL UNIT,2020-09-01; 2023-12-31,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective September 1, 2020 through December 31, 2023",police,effective_date,,True,B4X2500RDY-20260730-3423367bd9361296cb3e,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:25:57.841616Z,B4X2500RESCUE-4f49a564eb1fcdc725db7fd7,rescue_lane_004,mechanism_with_no_quant_value,B4X2500SRD-20260730-bb72dcab6e155041dfac,police,B4X2500-20260729-08286,PATROL UNIT,cba,B4X2500LIVE-20260729-008285,B4X2500SRD-20260730-bb72dcab6e155041dfac,Collective Bargaining Agreement (Liberty Township Police / OPBA),B4X2500SPAN-20260730-61c635567b001017d1385771,74c9c0724379ad49ebac2298d688f41ebb8112ce55ca830b19c0b765cc072a38,OH,,police,B4X2500V-20260730-05414,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
not_safe_to_annualize,,unclear,B4X2500LIVE-20260729-003295,cba_hint,218,195,"[""unit_specific_source_title"", ""unresolved"", ""prior_normalization_metadata""]",B4X2500COD-20260730-bce9c9516720e5e3b7aabbb2,2019,not_applicable,,2020-07-01,quantitative_compensation,B4X2500TXT-20260730-1cbfd3afd18e766c9b1e,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1292.pdf,,"Source-reported mechanism only; not an analyst-computed wage gap, national estimate, prevalence claim, or causal effect.",,,,113,19,"[""implementation_or_retroactivity_advantage""]",False,Liberty,B4X2500MC-53e31824b541ecbfb7a6124d,,"[""base_nonbase_unresolved"", ""pay_basis_unresolved"", ""base_nonbase_unresolved""]",True,"Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",normalization_mechanism_only,,2026-07-30T22:04:39Z,unknown,,unknown,,B4X2500NORM-50903d5e427a2fcc8fb18005,moderate,police,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-11-1292.pdf,normalization_mechanism_only,,8,,,,2019,,2019,,2020-07-01,,,2019,,,,,,,,,2020-07-01,,,,,timing_implementation,,high_priority_verification_ready,"[""effective_date""]",False,,B4X2500-RATING-20260730-d8c15327680d8ce313ba39d8,,"Effective July 1, 2020",Negotiated Agreement between Liberty Township and Ohio Patrolmen's Benevolent Association (Sergeants and Captains) (SERB Case No. 2019-MED-11-1292); SERGEANTS AND CAPTAINS,2020-07-01,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",,"Effective July 1, 2020",police,effective_date,,True,B4X2500RDY-20260730-f2ad3590af4e92830682,Midwest,downstream_normalization_needed,mechanism_only_repair,2026-07-30T23:25:57.853465Z,B4X2500RESCUE-58dc943cf785af5e42af5b35,rescue_lane_004,mechanism_with_no_quant_value,B4X2500SRD-20260730-cdb7169fb6862e60e3f1,police,B4X2500-20260729-03286,SERGEANTS AND CAPTAINS,cba,B4X2500LIVE-20260729-003295,B4X2500SRD-20260730-cdb7169fb6862e60e3f1,Negotiated Agreement between Liberty Township and Ohio Patrolmen's Benevolent Association (Sergeants and Captains) (SERB Case No. 2019-MED-11-1292),B4X2500SPAN-20260730-9959787e405b3a9c369aba6b,5ff5f90c665d011fa64ff3fd48a0edde9f1ba91aaaa7fb4f5ce143f1d43610bc,OH,,police,B4X2500V-20260730-01086,"A growth-mechanism value is not a directly comparable wage level unless a separate matched record validates pay basis, unit, and period.",,,,,,,,,
