mechanism_tag,mechanism_name,category_type,profile_id,all_geography_event_count,alaska_event_count,alaska_root_event_count,alaska_municipality_count,alaska_cycle_count,alaska_safety_count,alaska_non_safety_count,alaska_mixed_count,alaska_side_independent_count,alaska_unresolved_count,alaska_display_mode,hex_density_used_for_alaska,category_map_count_matches,all_events_accounted_for,analytical_unit
overtime,Overtime,reader_facing_mechanism,non-base-compensation,38,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
inflation_indexing,Inflation Indexing,reader_facing_mechanism,scheduled-base-growth,31,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
holiday_pay,Holiday Pay,reader_facing_mechanism,non-base-compensation,22,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
lump_sum,Lump Sum,reader_facing_mechanism,non-base-compensation,18,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
bargaining_leverage,Bargaining Leverage,reader_facing_mechanism,formal-bargaining,17,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
collective_bargaining,Collective Bargaining,reader_facing_mechanism,formal-bargaining,17,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
salary_range_change,Salary Range Change,reader_facing_mechanism,classification-structure,12,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
contract_ratification,Contract Ratification,reader_facing_mechanism,formal-bargaining,9,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
vacancy_pressure,Vacancy Pressure,reader_facing_mechanism,staffing-market-pressure,8,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
reimbursement,Reimbursement,reader_facing_mechanism,non-base-compensation,7,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
comparability_parity,Comparability Parity,reader_facing_mechanism,staffing-market-pressure,6,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
classification_civil_service,Classification Civil Service,reader_facing_mechanism,classification-structure,4,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
interest_arbitration,Interest Arbitration,reader_facing_mechanism,formal-bargaining,1,0,0,0,0,0,0,0,0,0,explicit_none,False,True,True,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event
