state,municipality,unit_type,contract_or_document_period,download_queue_rows,retained_sources,coverage_status
CO,Englewood,safety_and_non_safety_bargaining_units,"January 1, 2021 – December 31, 2022",1,1,retained_source_not_ingested
CO,Fruita,safety_and_non_safety_compensation_units,"2023 Budget context (meeting dated Nov 1, 2022)",1,1,retained_source_not_ingested
CO,Lafayette,safety_and_non_safety_bargaining_units,Not explicitly stated in lead metadata (file name suggests 2015-era CBA),1,1,retained_source_not_ingested
CO,Wheat Ridge,safety_and_non_safety_bargaining_units,referenced negotiations leading to a one-year contract starting by 2014–2015 context (exact dates not stated in the lead),1,0,no_retained_source_in_tier_a_b
CT,East Hartford,safety_and_non_safety_bargaining_units,"Effective July 1, 2019 through June 30, 2022",1,1,retained_source_not_ingested
CT,East Hartford,safety_and_non_safety_bargaining_units,"Effective July 1, 2021 through June 30, 2025",1,1,retained_source_not_ingested
CT,Greenwich,safety_and_non_safety_bargaining_units,2012-2013 through 2014-2015 (document title indicates 2012–2015; exact term boundaries indicated within the document),1,1,retained_source_not_ingested
CT,Greenwich,safety_and_non_safety_bargaining_units,2021-2024 (and document shows/links into 2024-2027 formatting),1,1,retained_source_not_ingested
CT,Groton,safety_and_non_safety_bargaining_units,Not unit-specific; serves as a gateway to mediation/arbitration processes and related procedures,1,1,retained_source_not_ingested
CT,New Milford,safety_and_non_safety_bargaining_units,"July 1, 2022 – June 30, 2026",1,0,no_retained_source_in_tier_a_b
CT,Seymour,safety_and_non_safety_compensation_units,"Includes language indicating a general wage increase retroactive to July 1, 2014 (full term not extracted)",1,1,retained_source_not_ingested
CT,Suffield,safety_and_non_safety_compensation_units,Document filename indicates 2013-2016; includes year-by-year hourly/salary-related amounts (snippet mentions 2014-15 and 2015-16),1,1,retained_source_not_ingested
CT,Suffield,safety_and_non_safety_compensation_units,"Effective July 1, 2014 (document references “2014-17”)",1,1,retained_source_not_ingested
CT,Wallingford,safety_and_non_safety_bargaining_units,"Interest Arbitration Award effective July 1, 2013 to June 30, 2016",1,1,retained_source_not_ingested
CT,Wallingford,safety_and_non_safety_bargaining_units,Reported arbitration ruling affecting wage/contract terms around 2013-2014,1,1,retained_source_not_ingested
CT,Westport,safety_and_non_safety_bargaining_units,"July 1, 2019 – June 30, 2022",1,1,retained_source_not_ingested
CT,Wilton,non_safety_municipal_units,"July 1, 2022 to June 30, 2026",1,1,retained_source_not_ingested
CT,Windsor,safety_and_non_safety_bargaining_units,"2015-MBA-0207 (award dated August 30, 2016)",1,1,retained_source_not_ingested
DE,Wilmington,non_safety_comparator,"CBA referenced as July 7, 2015 through June 30, 2018 (as stated in the amendment)",1,1,retained_source_not_ingested
DE,Wilmington,non_safety_comparator,"July 1, 2018 through June 30, 2022 (per resolution synopsis/title)",1,1,retained_source_not_ingested
FL,Haines City,non_safety_comparator,"through September 30, 2024 (other operative duration terms not verified in scout stage)",1,1,retained_source_not_ingested
FL,Niceville,non_safety_comparator,"July 1, 2024 through June 30, 2027",1,1,retained_source_not_ingested
FL,Orange City,non_safety_comparator,"Fiscal Years 2023/24, 2024/25, 2025/26",1,1,retained_source_not_ingested
FL,Palm Bay,non_safety_comparator,10/1/2021 - 9/30/2024,1,1,retained_source_not_ingested
GA,Americus,safety_and_non_safety_compensation_units,2014-2024 target window (reference indicates 2024 Council Approved / Implementation Completed),1,1,retained_source_not_ingested
GA,Buford,non_safety_municipal_units,Fiscal Year 2015,1,1,retained_source_not_ingested
GA,Buford,non_safety_municipal_units,Fiscal Year 2024,1,1,retained_source_not_ingested
GA,Decatur,non_safety_municipal_units,Adopted 2017-2018,1,1,retained_source_not_ingested
GA,Decatur,non_safety_municipal_units,Adopted 2023-2024 (FY2023),1,1,retained_source_not_ingested
GA,Dublin,safety_and_non_safety_compensation_units,FY24 (Operating Budget adoption; compensation/classification schedule attached),1,1,retained_source_not_ingested
GA,Marietta,safety_and_non_safety_bargaining_units,2014-2024 (target window; requires targeted navigation),1,1,retained_source_not_ingested
GA,Monroe,safety_and_non_safety_compensation_units,2020,1,1,retained_source_not_ingested
GA,Tifton,safety_and_non_safety_compensation_units,2022,1,1,retained_source_not_ingested
GA,Villa Rica,non_safety_municipal_units,2023 (RFP document date/identifier),1,1,retained_source_not_ingested
GA,Winder,non_safety_municipal_units,"Fiscal Year Ending June 30, 2014 (Annual Budget)",1,1,retained_source_not_ingested
GA,Winder,non_safety_municipal_units,"Fiscal Year Ending June 30, 2024 (Annual Budget)",1,1,retained_source_not_ingested
IA,Indianola,non_safety_comparator,unclear (tentative labor agreement referenced; specific dates not extracted here),1,1,retained_source_not_ingested
ID,Post Falls,non_safety_comparator,SY24-25 (as indicated by filename),1,1,retained_source_not_ingested
IL,Addison,non_safety_comparator,"January 1, 2015 – December 31, 2017 (referenced)",1,1,retained_source_not_ingested
IL,Bloomington City,safety_and_non_safety_bargaining_units,"CBA at issue effective September 1, 2014 (per search snippet)",1,1,retained_source_not_ingested
IL,Bradley,safety_and_non_safety_compensation_units,"May 1, 2020 – April 30, 2024",1,1,retained_source_not_ingested
IL,Bremen,safety_and_non_safety_bargaining_units,2024-09-18 meeting agenda (references Bremen-related case(s) and includes 'Strike Report Update' agenda item),1,1,retained_source_not_ingested
IL,Bridgeview,safety_and_non_safety_compensation_units,"May 1, 2024 – April 30, 2028",1,1,retained_source_not_ingested
IL,Cahokia Heights,safety_and_non_safety_compensation_units,"April 1, 2024 prevailing wage rate schedule",1,1,retained_source_not_ingested
IL,Cahokia Heights,safety_and_non_safety_compensation_units,Effective on/after 8/16/2021 (exact effective date stated within the PDF),1,1,retained_source_not_ingested
IL,Champaign City,safety_and_non_safety_bargaining_units,"May 1, 2012 to April 30, 2015 (as indicated in search snippet for this arbitration award PDF)",1,1,retained_source_not_ingested
IL,Collinsville,non_safety_comparator,"Fiscal Year 2012-2013 (July 1, 2012 through June 30, 2013)",1,1,retained_source_not_ingested
IL,Collinsville,non_safety_comparator,Referenced as part of a 2011-2013 collective bargaining agreement context (document includes wage offer/appendix content),1,1,retained_source_not_ingested
IL,Downers Grove,safety_and_non_safety_bargaining_units,2024-2028,1,1,retained_source_not_ingested
IL,Du Page,safety_and_non_safety_bargaining_units,"Award dated August 18, 2015 (interest in successor or contract administration timeline referenced in document snippet)",1,1,retained_source_not_ingested
IL,Du Page,safety_and_non_safety_bargaining_units,"Successor CBA; interest arbitration award (hearing Feb 17, 2017; mediation May 16, 2017; briefs Aug 14, 2017)",1,1,retained_source_not_ingested
IL,Dundee,safety_and_non_safety_bargaining_units,2023-2026 (as named in filename),1,1,retained_source_not_ingested
IL,Dundee,safety_and_non_safety_bargaining_units,"agenda packet (Aug. 5, 2024)",1,1,retained_source_not_ingested
IL,Elgin,safety_and_non_safety_bargaining_units,Mid-2010s (article indicates impasse then settlement; exact contract dates not confirmed here),1,1,retained_source_not_ingested
IL,Elk Grove,safety_and_non_safety_bargaining_units,Interest Arbitration Award (case/timeframe tied to S-MA-16-150),1,1,retained_source_not_ingested
IL,Frankfort,safety_and_non_safety_bargaining_units,"not specified in locator snippet (meeting document dated Nov. 24, 2020; within 2014–2024 window)",1,1,retained_source_not_ingested
IL,Galesburg City,safety_and_non_safety_bargaining_units,"Entered June 3, 2024; term shown as 2024-2026 on file title",1,1,retained_source_not_ingested
IL,Galesburg City,safety_and_non_safety_bargaining_units,"Entered May 20, 2024; term shown as 2024-2026 on file title",1,1,retained_source_not_ingested
IL,La Grange,safety_and_non_safety_compensation_units,2014 (exact term not visible in search snippet; document appears to relate to a police CBA dated in 2014),1,0,no_retained_source_in_tier_a_b
IL,Lake Villa,safety_and_non_safety_bargaining_units,2016 (describes a four-year tentative agreement after impasse/mediation),1,1,retained_source_not_ingested
IL,Lake in the Hills,non_safety_comparator,"January 1, 2018 – December 31, 2022",1,1,retained_source_not_ingested
IL,Lake in the Hills,non_safety_comparator,"January 1, 2023 – December 31, 2026",1,1,retained_source_not_ingested
IL,Libertyville,safety_and_non_safety_bargaining_units,Arbitration award document S-MA-18-345--346 (within target window requested: 2014-2024),1,1,retained_source_not_ingested
IL,Libertyville,safety_and_non_safety_bargaining_units,Arbitration award document referenced as S-MA-16-123 (within target window requested: 2014-2024),1,1,retained_source_not_ingested
IL,Libertyville,safety_and_non_safety_bargaining_units,Document/case dated around the docket cycle indicated by case number (within target window requested: 2014-2024),1,1,retained_source_not_ingested
IL,Lyons,safety_and_non_safety_bargaining_units,Effective 2019-01-01 through 2027-12-31 (expiration shown as 12-31-27),1,1,retained_source_not_ingested
IL,Lyons,safety_and_non_safety_bargaining_units,Interest arbitration award issued 2019-08-17 (covers disputed contract terms; document also references issues such as time off requests and vacation week),1,1,retained_source_not_ingested
IL,Mattoon,non_safety_comparator,"Two-year contract renewal dated Aug. 6, 2024 (successor renewal referenced in ordinance text)",1,1,retained_source_not_ingested
IL,McHenry,safety_and_non_safety_bargaining_units,"Award dated March 20, 2014; successor CBA negotiations following expiration of 2008-2012 CBA (exact term dates not extracted here)",1,1,retained_source_not_ingested
IL,Mount Prospect,non_safety_comparator,"2022–2027 (document indicates the parties’ current CBA spans multiple years, covering 2023–2025)",1,1,retained_source_not_ingested
IL,Mount Vernon,safety_and_non_safety_compensation_units,"May 1, 2022 through April 30, 2026",1,1,retained_source_not_ingested
IL,Peoria City,safety_and_non_safety_bargaining_units,"January 1, 2014 through December 31, 2016",1,1,retained_source_not_ingested
IL,Proviso,safety_and_non_safety_bargaining_units,2017-2021,1,1,retained_source_not_ingested
IL,Proviso,safety_and_non_safety_bargaining_units,2021-2025,1,1,retained_source_not_ingested
IL,Quincy,safety_and_non_safety_bargaining_units,"Existing agreements expired April 30, 2021; successor CBA terms resolved by interest arbitration (Section 14) (period not explicitly confirmed in snippet)",1,1,retained_source_not_ingested
IL,Round Lake,non_safety_municipal_units,"Fiscal Year End April 30, 2017 (ordinance/plan confirmation packet)",1,1,retained_source_not_ingested
IL,Round Lake,non_safety_municipal_units,"Fiscal Year Ended April 30, 2020",1,1,retained_source_not_ingested
IL,Round Lake Beach,non_safety_comparator,"January 1, 2026 through December 31, 2028",1,0,no_retained_source_in_tier_a_b
IL,Rutland,safety_and_non_safety_bargaining_units,FY09 (2009) — outside 2014-2024 target window,1,1,retained_source_not_ingested
IL,Schaumburg,safety_and_non_safety_bargaining_units,Not specified in target window (document appears to address successor agreement period earlier than 2014-2024),1,1,retained_source_not_ingested
IL,Shiloh,safety_and_non_safety_compensation_units,"FY 2020 annual reporting (covers interest arbitration awards dataset, including Shiloh reference)",1,1,retained_source_not_ingested
IL,Skokie,non_safety_comparator,"School Years 2021-22, 2022-23, 2023-24, 2024-25, and 2025-26",1,1,retained_source_not_ingested
IL,Skokie,non_safety_comparator,"School Years 2022-2023, 2023-2024, 2024-2025, 2025-2026, and 2026-2027",1,1,retained_source_not_ingested
IL,Sterling,safety_and_non_safety_compensation_units,"May 1, 2016 – April 30, 2020",1,1,retained_source_not_ingested
IL,Sycamore,safety_and_non_safety_compensation_units,2015-2019,1,1,retained_source_not_ingested
IL,Thornton,safety_and_non_safety_bargaining_units,"May 1, 2024 through April 30, 2026 (shown within packet)",1,1,retained_source_not_ingested
IL,Tinley Park,non_safety_comparator,2016-2021 (as indicated by filename/title),1,1,retained_source_not_ingested
IL,Tinley Park,non_safety_comparator,2021-2026 (as indicated by filename/title),1,1,retained_source_not_ingested
IL,Vernon,safety_and_non_safety_bargaining_units,2014-2024 target window,2,2,retained_source_not_ingested
IL,Waukegan,safety_and_non_safety_bargaining_units,"May 1, 2022 - April 30, 2026",3,3,retained_source_not_ingested
IL,Westchester,safety_and_non_safety_compensation_units,FY2024 (expected to cover a fiscal year within 2014-2024 window),1,1,retained_source_not_ingested
IN,Cedar Creek,safety_and_non_safety_compensation_units,Order context dated for 2023 initial maximum levy request (budgeting context for district transition covering Cedar Creek unincorporated areas),1,1,retained_source_not_ingested
IN,Centre,safety_and_non_safety_compensation_units,2024 Budget Order,1,1,retained_source_not_ingested
IN,Evansville,non_safety_comparator,"July 1, 2025 through June 30, 2027 (academic-year contract term stated in agreement)",1,1,retained_source_not_ingested
IN,Jasper,safety_and_non_safety_compensation_units,Ordinance No. 2020-38 (for Year 2021),1,1,retained_source_not_ingested
IN,Silver Creek,safety_and_non_safety_compensation_units,"July 1, 2024 - June 30, 2025",1,1,retained_source_not_ingested
IN,Silver Creek,safety_and_non_safety_compensation_units,"July 1, 2025 - June 30, 2026",1,1,retained_source_not_ingested
IN,Wayne,safety_and_non_safety_bargaining_units,2022-2024,1,0,no_retained_source_in_tier_a_b
KS,Kansas City,non_safety_comparator,2000-era memorandum of agreement referenced within PEERA decision,1,1,retained_source_not_ingested
KS,Kansas City,non_safety_comparator,2025-2028 memorandum of agreement,1,1,retained_source_not_ingested
KS,Kansas City,non_safety_comparator,"2025-26 negotiated agreement (signed September 23, 2025)",1,0,no_retained_source_in_tier_a_b
KY,Berea,safety_and_non_safety_compensation_units,calendar year impact stated in the ordinance document (within 2014; exact implementation dates to be confirmed in the source),1,0,no_retained_source_in_tier_a_b
KY,Metro Government Of Louisville-Jefferson County,non_safety_comparator,"Effective Oct 3, 2021 – June 30, 2025 (CBA title page indicates effective date/expiration)",1,1,retained_source_not_ingested
KY,Metro Government Of Louisville-Jefferson County,non_safety_comparator,"July 31, 2018 – June 30, 2023",1,1,retained_source_not_ingested
LA,Alexandria,non_safety_comparator,"Fiscal Year 2025 wage adjustment effective with first full pay period commencing on/after July 1, 2024 (exact full CBA term not captured in lead snippet)",1,1,retained_source_not_ingested
MA,Andover,safety_and_non_safety_bargaining_units,2014-2024 (browse-linked agreement documents),1,1,retained_source_not_ingested
MA,Andover,safety_and_non_safety_bargaining_units,Fiscal 2015; Fiscal Year 2016; Fiscal Year 2017 (referencing contract expired in 2014 and arbitration process),1,1,retained_source_not_ingested
MA,Brockton,non_safety_comparator,"July 1, 2019 – June 30, 2022",3,3,retained_source_not_ingested
MA,Chelmsford,safety_and_non_safety_bargaining_units,2014-2024 (interest arbitration decision related to JLMC 16-5506; arbitration award period not asserted here),1,1,retained_source_not_ingested
MA,Duxbury,safety_and_non_safety_compensation_units,"July 1, 2019 — June 30, 2022",1,1,retained_source_not_ingested
MA,Duxbury,safety_and_non_safety_compensation_units,"July 1, 2022 — June 30, 2025",2,2,retained_source_not_ingested
MA,Fairhaven,safety_and_non_safety_compensation_units,FY24 (non-union classification/compensation scale; publicly labeled FY24),1,1,retained_source_not_ingested
MA,Fall River,non_safety_comparator,2017-20,1,1,retained_source_not_ingested
MA,Fall River,non_safety_comparator,2024-2027 (at least one item shown on page snippet),1,0,no_retained_source_in_tier_a_b
MA,Foxborough,non_safety_municipal_units,"Contract dated July 1, 2022 to June 30, 2023 (referenced in Annual Town Meeting articles)",1,0,no_retained_source_in_tier_a_b
MA,Holliston,safety_and_non_safety_compensation_units,Not stated in search snippet (implied around FY2017 based on archive context),1,1,retained_source_not_ingested
MA,Holliston,safety_and_non_safety_compensation_units,Revised 2/2/2016 (period not fully specified in snippet),1,1,retained_source_not_ingested
MA,Lynn,non_safety_comparator,2016-2018 (paraprofessional contract; PDF filename indicates 16-18),1,1,retained_source_not_ingested
MA,Milford,safety_and_non_safety_bargaining_units,Referenced as retroactive to July 2018 (exact term not captured in lead snippet),1,1,retained_source_not_ingested
MA,Needham,safety_and_non_safety_bargaining_units,Memorandum of Agreement - 7/1/2019 to 6/30/2020 (MoA links for both Police and Fire referenced on page),1,1,retained_source_not_ingested
MA,Newton,non_safety_comparator,"September 1, 2015 – August 31, 2018",1,1,retained_source_not_ingested
MA,North Andover,safety_and_non_safety_bargaining_units,Includes Fire Chief's Agreement 7-1-2024 – 6-30-2027 (also includes other North Andover labor agreements on the same page),1,1,retained_source_not_ingested
MA,Northborough,safety_and_non_safety_compensation_units,FY2023–FY2025,1,1,retained_source_not_ingested
MA,Northborough,safety_and_non_safety_compensation_units,FY2023–FY2025 (effective wage changes include FY2023/FY2024/FY2025 step and market adjustment tables),1,1,retained_source_not_ingested
MA,Raynham,safety_and_non_safety_compensation_units,2015-2017 (continued to 2017-2019 as described),1,1,retained_source_not_ingested
MA,Somerville,non_safety_comparator,Contract period(s) available via DESE download interface for the district/teacher contract; targeted to support finding agreements within 2012–2018,1,1,retained_source_not_ingested
MA,Somerville,non_safety_comparator,"Retroactive to July 1, 2010 – June 30, 2013; and extending through June 30, 2016 (two agreements per unit)",1,1,retained_source_not_ingested
MA,Swampscott,safety_and_non_safety_compensation_units,"As of July 1, 2014 (plan appears embedded in 2014 ATM minutes)",1,1,retained_source_not_ingested
MA,Worcester,non_safety_comparator,"July 1, 2017 - June 30, 2020",1,1,retained_source_not_ingested
MD,Hagerstown,non_safety_comparator,"July 1, 2017 through June 30, 2022",1,1,retained_source_not_ingested
ME,Brewer,non_safety_comparator,"2021-2024 (expires June 30, 2024)",1,1,retained_source_not_ingested
ME,Portland,non_safety_comparator,2025-2027 (agreement labeled 2025-2027; wage rates revised during term),1,1,retained_source_not_ingested
ME,Presque Isle,non_safety_comparator,2024-2026 (as listed in locator/filename),1,1,retained_source_not_ingested
ME,Presque Isle,non_safety_comparator,2024-2027 (as listed in locator/filename),1,1,retained_source_not_ingested
ME,Presque Isle,non_safety_comparator,period not yet confirmed (filename does not show 2024-2026),1,1,retained_source_not_ingested
MI,Bangor charter,safety_and_non_safety_compensation_units,2014-2024 window (contract expiration 6/30/2021; inferred cycle ~7/1/2020–6/30/2021),1,1,retained_source_not_ingested
MI,Bangor charter,safety_and_non_safety_compensation_units,2014-2024 window (contract expiration 6/30/2022; inferred cycle ~7/1/2021–6/30/2022),2,2,retained_source_not_ingested
MI,Bloomfield charter,safety_and_non_safety_bargaining_units,"April 1, 2020 to March 31, 2026",2,2,retained_source_not_ingested
MI,Brownstown charter,safety_and_non_safety_bargaining_units,Case initiated 10/14/2024 (mediation listing in MERC meeting packet),1,0,no_retained_source_in_tier_a_b
MI,DeWitt charter,safety_and_non_safety_compensation_units,"Final Report concluded in 2023; proposed implementation January 1, 2024",1,1,retained_source_not_ingested
MI,Detroit,non_safety_comparator,2022-2027,2,0,no_retained_source_in_tier_a_b
MI,Gaines charter,safety_and_non_safety_bargaining_units,"July 1, 2021 through June 30, 2024",1,1,retained_source_not_ingested
MI,Gaines charter,safety_and_non_safety_bargaining_units,"Term beginning July 1, 2024 and continuing through December 31, 2025",1,1,retained_source_not_ingested
MI,Garfield charter,non_safety_municipal_units,Budget year 2024 (document filename indicates 2024-budget),1,0,no_retained_source_in_tier_a_b
MI,Genesee charter,non_safety_municipal_units,Budget year 2022 (with prior-year comparison shown in document tables),1,1,retained_source_not_ingested
MI,Genoa,non_safety_municipal_units,2019-20 (fiscal year),1,1,retained_source_not_ingested
MI,Genoa,non_safety_municipal_units,2022-23 (with proposed/recommended context into 2023-24),1,1,retained_source_not_ingested
MI,Harper Woods,safety_and_non_safety_compensation_units,Local association section on the page includes a 2025–2027/2029-style duration plus wage increases including 2024 (+3%) (per page content),1,1,retained_source_not_ingested
MI,Holland charter,safety_and_non_safety_bargaining_units,"CBA Settlement Agreement 2020–2023 (effective July 1, 2020 through June 30, 2023 stated in resolution snippet)",1,1,retained_source_not_ingested
MI,Holland charter,safety_and_non_safety_bargaining_units,Document dated 2023-06-21; specific CBA/settlement term not stated in snippet,1,1,retained_source_not_ingested
MI,Huron charter,safety_and_non_safety_compensation_units,Referenced documents dated 2016-07-13 (including “Police Chief Contract 7-13-16”),1,1,retained_source_not_ingested
MI,Independence charter,safety_and_non_safety_bargaining_units,"Document includes a cited work-schedule period example: February 16 to February 23, 2014; (publication/decision date not determined from snippet)",1,1,retained_source_not_ingested
MI,Inkster,non_safety_comparator,Not clearly labeled as 2024-2026 in the lead metadata shown,1,1,retained_source_not_ingested
MI,Macomb,safety_and_non_safety_bargaining_units,In-document CBA effective 01/01/2014 through 12/31/2016 (as stated in source snippet),1,0,no_retained_source_in_tier_a_b
MI,Macomb,safety_and_non_safety_bargaining_units,"Ratified/term context referenced indirectly via CBA grievance procedure timing (initiated Sept. 5, 2013; arbitration-related litigation covered in 2014 archive entry)",1,1,retained_source_not_ingested
MI,Meridian charter,safety_and_non_safety_bargaining_units,2017-2019 (as referenced in board minutes),1,1,retained_source_not_ingested
MI,Monroe charter,safety_and_non_safety_compensation_units,July 2021 - 2026,1,0,no_retained_source_in_tier_a_b
MI,Northville,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,retained_source_not_ingested
MI,Plainfield charter,safety_and_non_safety_bargaining_units,Act 312 compulsory arbitration award (award dated 2007-08-08),1,1,retained_source_not_ingested
MI,Portage,non_safety_comparator,"2024-27 collective bargaining agreement (includes effective period covering July 1, 2024 through June 30, 2027 — likely)",1,1,retained_source_not_ingested
MI,Southfield,safety_and_non_safety_compensation_units,2012-2017,1,1,retained_source_not_ingested
MI,Southfield,safety_and_non_safety_compensation_units,2023-2026,1,1,retained_source_not_ingested
MI,Van Buren charter,safety_and_non_safety_bargaining_units,MERC/BER decision (2016) referencing Act 312 arbitration / bargaining over issues related to pension (exact CBA term not asserted here),1,0,no_retained_source_in_tier_a_b
MI,Waterford charter,safety_and_non_safety_bargaining_units,Contains links indicating: MAP contract 2022-2025; 2016-2018 Dispatchers Contract; Fire Contract-2016-2018 with extensions and Fire Contract 2022-2025 (periods named on the page),1,1,retained_source_not_ingested
MI,West Bloomfield charter,safety_and_non_safety_bargaining_units,2016-2017 (case docket C16 G-079; decision issued 2017-04-25),1,0,no_retained_source_in_tier_a_b
MI,Ypsilanti charter,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,retained_source_not_ingested
MI,Ypsilanti charter,safety_and_non_safety_bargaining_units,"AFSCME: July 1, 2013–June 30, 2017 (explicit in snippet)",1,1,retained_source_not_ingested
MN,Brooklyn Park,non_safety_comparator,"January 1, 2022 through December 31, 2023 (agreement period referenced/approved)",1,1,retained_source_not_ingested
MN,Brooklyn Park,non_safety_comparator,"January 1, 2024 through December 31, 2025 (agreement period referenced/approved)",1,1,retained_source_not_ingested
MN,Coon Rapids,non_safety_comparator,"January 1, 2026 - December 31, 2027",1,1,retained_source_not_ingested
MN,Eden Prairie,non_safety_comparator,"Effective July 1, 2022 through June 30, 2024",1,1,retained_source_not_ingested
MN,Robbinsdale,safety_and_non_safety_compensation_units,Active contract ending 12-31-2028 (per locator filename),1,1,retained_source_not_ingested
MO,Festus,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,retained_source_not_ingested
MO,Marshall,safety_and_non_safety_compensation_units,Document draft date shown in snippet: 03/26/2019 (exact term not stated in snippet),1,1,retained_source_not_ingested
MO,Moberly,safety_and_non_safety_compensation_units,2014-2024 target window,2,2,retained_source_not_ingested
MO,Poplar Bluff,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,no_retained_source_in_tier_a_b
MO,Washington,safety_and_non_safety_compensation_units,Financial Statement 2021,1,1,retained_source_not_ingested
MS,D'Iberville,safety_and_non_safety_compensation_units,2022 (agenda items approving specific job salary rates),1,1,retained_source_not_ingested
MS,D'Iberville,safety_and_non_safety_compensation_units,2024-2025 (document includes 2024–2025 salary scale table),1,1,retained_source_not_ingested
MS,D'Iberville,safety_and_non_safety_compensation_units,FY 2015-2016 (agenda motion references budget + set salary schedule),1,1,retained_source_not_ingested
NC,Kernersville,safety_and_non_safety_bargaining_units,Related to COA16-928; case-linked timeframe within 2016-2017 (within 2014-2024 window),1,0,no_retained_source_in_tier_a_b
NC,Knightdale,non_safety_municipal_units,FY2024 (Budget Ordinance document; includes Effective 07/01/2023 for Attachment B),1,1,retained_source_not_ingested
NC,Lewisville,safety_and_non_safety_compensation_units,"Request for Proposals (RFP) dated August 30, 2024",1,1,retained_source_not_ingested
NC,Stallings,safety_and_non_safety_compensation_units,Effective 07-01-2024 (within 2014-2024 target window for cycle/implementation discovery),1,1,retained_source_not_ingested
NE,North Platte,non_safety_comparator,"Oct 1, 2024 through Sep 30, 2027 (term stated in minutes)",1,1,retained_source_not_ingested
NE,Omaha,non_safety_comparator,2015-2016,1,1,retained_source_not_ingested
NE,Omaha,non_safety_comparator,2015-2016; 2016-2017; 2017-2018 (salary schedules included per locator snippet),1,1,retained_source_not_ingested
NH,Derry,safety_and_non_safety_bargaining_units,2024 - 2029 (effective dates not fully captured in search snippet),1,1,retained_source_not_ingested
NH,Derry,safety_and_non_safety_bargaining_units,"July 1, 2021 - June 30, 2026",1,1,retained_source_not_ingested
NH,Merrimack,safety_and_non_safety_bargaining_units,2023 to 2026 (expires June 2026 per related CBA set),1,1,retained_source_not_ingested
NH,Merrimack,safety_and_non_safety_bargaining_units,2023–2026,1,1,retained_source_not_ingested
