candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verification_timestamp,candidate_only_lineage_status
TS4L-2345ca6981381672e4d5,lane_1,tier_a,verification_ready_high,https://cms5.revize.com/revize/greenfield/Document_Center/Department/Human%20Resource/Collective%20Bargaining%20Agreements/Collective%20Bargaining%20Agreement%20DPW%20CBA%2024-26.pdf,"Collective Bargaining Agreement DPW CBA 24-26 (City of Greenfield, WI) — collective bargaining agreement",Greenfield,WI,non_safety_comparator,DPW (Department of Public Works),DPW bargaining unit (DPW CBA 24-26),24-26 (wage schedule/FY24 language visible in search snippet),2023-07-01 (FY24 Jul,2024-06-30 (FY24 end,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlap_possible,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
TS4L-246beb7c50a2ceccb32b,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-04-0526.pdf,"Collective Bargaining Agreement (Upper Sandusky Education Association; Board of Education of the Upper Sandusky Exempted Village School District) — July 1, 2021 to June 30, 2024",Upper Sandusky,OH,non_safety_comparator,certificated personnel (per document recognition/scope language),Upper Sandusky Education Association,"JULY 1, 2021 - JUNE 30, 2024",2021-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city (Upper Sandusky; Upper Sandusky Exempted Village School District),overlaps expected period (covers 2021-2022 portion of 2020-2022 window),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:05Z,verified_source_lead_not_downloaded
TS4L-28cea38d600b12352ef4,lane_1,tier_a,verification_ready_high,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3754/OSD/3902360/Teacher_OEA_Contract_2022-2025.pdf,Teacher OEA Contract 2022-2025 (Onalaska Education),Onalaska,WI,non_safety_comparator,Education (teachers),OEA (teacher bargaining unit as reflected in title),2022-2025,2022,2025,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,on_city (Onalaska; education contract document),overlaps_expected_period (covers 2023-2025),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-2a13f12fe46f8f072a92,lane_1,tier_a,verification_ready_high,https://www.maine.gov/mlrb/sites/maine.gov.mlrb/files/inline-files/publicworks.brewer.2021-24.pdf,"Brewer Water Pollution Control Facility Contract (City of Brewer & AFSCME Council 93 Local 656-04) — Expires June 30, 2024",Brewer,ME,non_safety_comparator,"Water Pollution Control Facility bargaining unit (Operator IIs, Operator II (nights), Operator Laborers, Mechanics)","Council No. 93, A.F.S.C.M.E., LOCAL UNION NO. 656-04 (AFSCME) — Water Pollution Control Facility unit","2021-2024 (expires June 30, 2024)",2021-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_expected_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:05Z,verified_source_lead_not_downloaded
TS4L-3152ebe74c568550d0c8,lane_1,tier_a,verification_ready_high,https://profiles.doe.mass.edu/statereport/educatorcontractsdownload.aspx?orgcode=02740000&type=T,"Massachusetts DESE Profiles - Educator Contracts Download (Somerville, orgcode 02740000; Teacher contracts)",Somerville,MA,non_safety_comparator,Public school teachers / educator bargaining (non-public safety comparator),Somerville Teachers Association (as reflected by Somerville Public Schools educator contract submissions on DESE profiles),Contract period(s) available via DESE download interface for the district/teacher contract; targeted to support finding agreements within 2012–2018,2012,2018,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_2012_2018,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-3196738fb25bf3391a90,lane_1,tier_a,verification_ready_high,https://louisvilleky.gov/sites/default/files/migration/missing-files/union_contracts/afscmemastercba-7-31-2018thru6-30-2023.pdf,"AFSCME Master Collective Bargaining Agreement (July 31, 2018 – June 30, 2023)",Metro Government Of Louisville-Jefferson County,KY,non_safety_comparator,non_safety_comparator,"American Federation of State, County and Municipal Employees (AFSCME), Local 2629 (Metro Government master agreement)","July 31, 2018 – June 30, 2023",2018-07-31,2023-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,yes,overlaps_expected_period_2021-2023,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-3dd781f1891673a0be1f,lane_1,tier_a,verification_ready_high,https://files.pseofwa.org/onlinecontracts/Federal%20Way%20Prof%20Tech%20CBA.pdf,"Federal Way Professional-Technical Collective Bargaining Agreement (CBA) (2022-2025), PSE",Federal Way,WA,non_safety_comparator,"Professional-Technical (includes Security, AV, and Other Techs, Accountants, etc.)",PSE Professional-Technical (Chapter #717) — Federal Way Public Schools District #210,"2022-2025 (September 1, 2022 onward)",2022-09-01,2025-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"likely_same_city_match (Federal Way, WA)",overlaps_expected_period (covers 2022-2024 portion),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-446ccf50e393a7173a58,lane_1,tier_a,verification_ready_high,https://meetings.boardbook.org/Documents/DownloadPDF/b2dad1f0-359b-404f-bafd-c92b8c439f99?org=1173,BoardBook Meetings - 2015-2016 PARAPROFESSIONAL (manual/contract doc download),Omaha,NE,non_safety_comparator,Educational paraprofessionals (support staff wage/salary schedule likely included),Educational Paraprofessionals (unit name not fully specified in locator snippet),2015-2016,2015-08-01,2016-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,match_omaha,overlaps_2015_2020,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:05Z,verified_source_lead_not_downloaded
TS4L-484473bc94e0578dae56,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2015/15-MED-08-0685.pdf,"Memorandum of Understanding re: Wage Schedule Revision (OPBA/City of Findlay) — effective Jan 1, 2016 to Dec 31, 2018 (PDF, SERB-hosted)",Findlay,OH,non_safety_comparator,Police (OPBA Patrolmen’s Unit) — includes wage schedule provisions; snippet references dispatch/training pay and non-uniformed officers,Ohio Patrolmen’s Benevolent Association (OPBA) — Patrolmen’s Unit,"Collective bargaining agreement effective January 1, 2016 and expiring December 31, 2018 (MOU addresses wage schedule revision/payment issues within that window)",2016-01-01,2018-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_target_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:30:59Z,verified_source_lead_not_downloaded
TS4L-4a9cba00da47bbd008a6,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2022/22-CON-01-2025.pdf,"Collective Bargaining Agreement — Ontario Local School District (SERB contract PDF, includes Salary Schedule / teacher contract content, filename indicates 2022 SERB upload)",Ontario,OH,non_safety_comparator,Classroom teachers,Ontario Local School District (teacher bargaining unit / district teacher contract context),Contract year spanning 2022–2023 (filename indicates 2022 SERB upload; likely includes teacher wage/salary schedule and contract articles),2022-08-01,2023-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same municipality match (Ontario, OH)",overlaps expected period (2020-2022) via 2022 portion,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:30:59Z,verified_source_lead_not_downloaded
TS4L-4d77853982adfb6e38d9,lane_1,tier_a,verification_ready_high,https://www.maine.gov/mlrb/sites/maine.gov.mlrb/files/inline-files/schools.presqueisle_0.pdf,Maine Labor Relations Board: Presque Isle — schools collective bargaining agreement / contract document (period not yet confirmed),Presque Isle,ME,non_safety_comparator,Schools (non-safety public employees; specific job groups not yet identified),Presque Isle schools bargaining unit (name not yet extracted),period not yet confirmed (filename does not show 2024-2026),,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_expected,unknown_overlap,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:05Z,verified_source_lead_not_downloaded
TS4L-4ebac999a9a820cc3540,lane_1,tier_a,verification_ready_high,https://www.fallriverschools.org/employment/contracts,Employment Contracts — Fall River Public Schools (collective bargaining agreements list),Fall River,MA,non_safety_comparator,Public school workforce (classified/administrative/instructional depending on listed contracts),Fall River Public Schools (bargaining units per listed agreements),2024-2027 (at least one item shown on page snippet),2024,2027,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city=True (Fall River),unknown_overlap_cycle (page shows at least one 2024–2027 period),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
TS4L-55bc47b7d0349ccd5d41,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-CON-01-2025.pdf,"Collective Bargaining Agreement — Ontario Local School District (SERB contract PDF, includes Salary Schedule for Teachers, effective beginning of the 2020-2021 contract)",Ontario,OH,non_safety_comparator,Classroom teachers,Ontario Local School District (teacher bargaining unit / district teacher contract context),Contract year spanning 2020–2021 (salary schedule effective beginning of the 2020-2021 contract; filename indicates 2020 SERB upload),2020-08-01,2021-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same municipality match (Ontario, OH)",overlaps expected period (2020-2022),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:30:59Z,verified_source_lead_not_downloaded
TS4L-5a1cef80103df8d43929,lane_1,tier_a,verification_ready_high,https://cms3.revize.com/revize/rocksprings/Documents/Departments/Finance%20and%20Administration/Budget/Final%20Budget/14103692618422.pdf,City of Rock Springs (Wyoming) – 2014–2016 Collective Labor Agreement (UMWA / labor agreement material within budget packet),Rock Springs,WY,non_safety_comparator,Regular full-time nonexempt personnel (bargaining-unit described in material),International Union of United Mine Workers of America (UMWA),"2014–2016 (material references resolutions dated 2014; target two-year term July 1, 2014–June 30, 2016)",2014-07-01,2016-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city (Rock Springs, WY) indicated by document context",overlaps expected cycle (2014–2016 referenced),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-5bd718d79151d037d9b5,lane_1,tier_a,verification_ready_high,https://www.d57.org/Downloads/MPEA%202022-2027%20CBA4.pdf,Memorandum of Understanding / Collective Bargaining Agreement — Board of Education of Mount Prospect School District 57 and the Mount Prospect Educational Association (MPEA) (2022–2027),Mount Prospect,IL,non_safety_comparator,Teachers / educational professionals (MPEA),"Mount Prospect Educational Association, IEA-NEA","2022–2027 (document indicates the parties’ current CBA spans multiple years, covering 2023–2025)",2023-01-01,2025-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Mount Prospect School District 57 (same-city match expected from source title/affiliation),Overlaps expected period 2023–2025 (CBA range includes those years),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:05Z,verified_source_lead_not_downloaded
TS4L-5ef86fb33f6b59e69dfa,lane_1,tier_a,verification_ready_high,https://www.yakimawa.gov/services/hr/files/AFSCME-Municipal-2022-2026-Executed-Copy.pdf,AFSCME Municipal Employees Collective Bargaining Agreement (Executed Copy) — 2022–2026,Yakima,WA,non_safety_comparator,Municipal employees (AFSCME),AFSCME Municipal Employees (City of Yakima),2022–2026 (includes 2024–2026),2024-01-01,2026-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,yes,overlaps_2024-2026,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-63f603be0d80a5ca2a39,lane_1,tier_a,verification_ready_high,https://www.maine.gov/mlrb/sites/maine.gov.mlrb/files/inline-files/schools.presqueisle.2024-2026.pdf,Maine Labor Relations Board: Presque Isle (2024-2026) — schools collective bargaining agreement / contract document,Presque Isle,ME,non_safety_comparator,Schools (non-safety public employees; specific job groups not yet identified),Presque Isle schools bargaining unit (name not yet extracted),2024-2026 (as listed in locator/filename),2024,2026,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_expected,overlapping_expected,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:07Z,verified_source_lead_not_downloaded
TS4L-694ca99c1ea9ca72985c,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-03-0286.pdf,"Collective Bargaining Agreement (Negotiated Agreement) — Groveport Madison Local School District Board of Education and Local #312 (Ohio Association of Public School Employees/AFSCME Local 4/AFLCIO), July 1, 2021 through June 30, 2024",Groveport,OH,non_safety_comparator,"Non-teaching school district employees (classified: e.g., cafeteria/custodial/maintenance/clerical/aides as described in the bargaining unit recognition)",Local #312 (OAPSE/AFSCME Local 4/AFLCIO),"July 1, 2021 through June 30, 2024",2021-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_municipality_match_not_a_city_police_unit (Groveport Madison Local School District / Groveport community),overlaps_target_period_2021_2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:30:59Z,verified_source_lead_not_downloaded
TS4L-719616376983f41c6386,lane_1,tier_a,verification_ready_high,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2897/Ocsd/49c249b0-2633-470b-b132-7a3df490dd9a/OCEA_Master_Contract_24-27.pdf?disposition=inline,OCEA Master Contract 24-27 (Okaloosa County instructional salary schedule / master contract PDF),Niceville,FL,non_safety_comparator,Instructional personnel (teachers/instructional staff bargaining unit),Okaloosa County Education Association (OCEA) - Instructional,"July 1, 2024 through June 30, 2027",2024-07-01,2027-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,unconfirmed_niceville_within_okaloosa_county_service_area,overlaps_exact_2024-2027,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-721ebf2deeee8795e415,lane_1,tier_a,verification_ready_high,https://cms5.revize.com/revize/greenfield/Document_Center/Department/Human%20Resource/Collective%20Bargaining%20Agreements/Central_%20Maint_CBA_24-26.pdf,"Central Maint CBA 24-26 (City of Greenfield, WI) — collective bargaining agreement",Greenfield,WI,non_safety_comparator,Central Maintenance (CM),Central Maintenance (CM) bargaining unit (per CM wage schedule reference),24-26 (wage schedule referenced as FY24/FY25/FY26 with July 1 step/cola language visible in search snippet),"2023-07-01 (July 1, ",unknown (document sn,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlap_possible,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:09Z,verified_source_lead_not_downloaded
TS4L-734c4413f1b5547f379b,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-03-0443.pdf,"Collective Bargaining Agreement (Upper Sandusky Support Staff OEA/NEA; Upper Sandusky Exempted Village School District) — July 1, 2021 through June 30, 2024",Upper Sandusky,OH,non_safety_comparator,"support staff (custodians, bus drivers, secretaries, educational assistants, mechanics, maintenance, food service, delivery drivers, clerks — per document scope)",Upper Sandusky Support Staff OEA/NEA,"JULY 1, 2021 through JUNE 30, 2024",2021-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city (Upper Sandusky; Upper Sandusky Exempted Village School District),overlaps expected period (covers 2021-2022 portion of 2020-2022 window),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:30:59Z,verified_source_lead_not_downloaded
TS4L-768de0c44b0f30af9f0c,lane_1,tier_a,verification_ready_high,https://mccmeetingspublic.blob.core.usgovcloudapi.net/sndpointid-meet-e8dd6a6f60434d0d8c441a401b0507b6/ITEM-Attachment-001-928946a2534d452599ddbbd5307456b7.pdf,2021–2024 Collective Bargaining Agreement (City of Chandler / Firefighters pay scale referenced),Chandler,AZ,non_safety_comparator,Firefighters / Fire bargaining unit (exact unit terms to be confirmed from document),Not specified in lead snippet (firefighters unit referenced),"2021–2024 (pay scale effective October 1, 2024 referenced inside document)",2021 (per document t,2024 (per document t,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_candidate_lead,expected_period_overlap_possible_with_2023_2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:09Z,verified_source_lead_not_downloaded
TS4L-781cd7f955d0788748d6,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2022/22-MED-03-0216.pdf,"Stow-Munroe Falls City Schools — Collective Bargaining Agreement (SERB PDF) (Effective July 1, 2022 through June 30, 2023)",Munroe Falls,OH,non_safety_comparator,School bargaining unit (not specified in search snippet),Stow-Munroe Falls City Schools (bargaining unit not evidenced in visible snippet),"Effective July 1, 2022 through June 30, 2023","July 1, 2022","June 30, 2023",collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_metro_including_Munroe Falls (Stow-Munroe Falls City Schools; Munroe Falls in named district),"overlaps_expected_cycle (end June 30, 2023)",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:07Z,verified_source_lead_not_downloaded
TS4L-7d9210bd56b859bcbef5,lane_1,tier_a,verification_ready_high,https://ecommons.cornell.edu/bitstreams/1f85b3b8-8808-4ef2-b2d2-98b937f4547e/download,"NYS PERB Contract Collection – Metadata Header (Rome City School District Aides, Teaching Assistants, Monitors and Cafeteria Unit, CSEA)",Rome,NY,non_safety_comparator,aides/teaching assistants/monitors/cafeteria employees,"Aides, Teaching Assistants, Monitors and Cafeteria Unit (CSEA)","January 1, 2011 - December 31, 2015",,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Rome, NY (Rome City School District)",Unknown from search snippet/locator (cannot confirm dates from lead alone),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-8d16c4dbec489d3148e4,lane_1,tier_a,verification_ready_high,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3220/BCSD/2406014/BASA__Admin__2021-2024.pdf,"BASA (Admin) Agreement — July 1, 2021 to June 30, 2024 (Binghamton City School District)",Binghamton,NY,non_safety_comparator,Administrative & supervisory employees (BASA),Binghamton Administrative & Supervisory Association (BASA),"July 1, 2021 - June 30, 2024",2021-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Likely same-city (Binghamton City School District),Strong overlap with expected period (covers 2020-2024 window via 2021-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
