retained_source_id,candidate_id,lane_id,source_title,municipality,state,source_family,target_mechanism_family,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
RS429-96fd25f51a2d7c67efaa,TS4L-2345ca6981381672e4d5,lane_1,"Collective Bargaining Agreement DPW CBA 24-26 (City of Greenfield, WI) — collective bargaining agreement",Greenfield,WI,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1086484,66459ff79cb2e928325ba131f9d3cb412f3b93f10d217e0995bf6f8817d50ce1,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-96fd25f51a2d7c67efaa.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-0fdd483045f8e4450d41,TS4L-28cea38d600b12352ef4,lane_1,Teacher OEA Contract 2022-2025 (Onalaska Education),Onalaska,WI,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,619449,9ba405660baec149d3dc087030e6f67bbefa21979741353d24c3bce4b9e9a449,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-0fdd483045f8e4450d41.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-c4aed8253f1034ac5639,TS4L-2a13f12fe46f8f072a92,lane_1,"Brewer Water Pollution Control Facility Contract (City of Brewer & AFSCME Council 93 Local 656-04) — Expires June 30, 2024",Brewer,ME,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1913022,0eccf0c3d93a573db376d43aaa5070b87475ff124b290fa294cdbba769421d68,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c4aed8253f1034ac5639.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-72e2189c682277e151ba,TS4L-3152ebe74c568550d0c8,lane_1,"Massachusetts DESE Profiles - Educator Contracts Download (Somerville, orgcode 02740000; Teacher contracts)",Somerville,MA,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,910155,5d05dca0f5dfb48c1e689cbcfc1f9cb197d32687a6d7090fd301697ee5014fe4,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-72e2189c682277e151ba.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-c9bdc5d41231e3c2fa3f,TS4L-3196738fb25bf3391a90,lane_1,"AFSCME Master Collective Bargaining Agreement (July 31, 2018 – June 30, 2023)",Metro Government Of Louisville-Jefferson County,KY,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,805384,6614f1deca7adfb37708b276e8cc8e384aef4e564181870af76fd1b94a89e787,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c9bdc5d41231e3c2fa3f.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-b067f188411cb379ab12,TS4L-3dd781f1891673a0be1f,lane_1,"Federal Way Professional-Technical Collective Bargaining Agreement (CBA) (2022-2025), PSE",Federal Way,WA,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1366616,66a474ca73f6f4d210c9f5f129691e5dae77c209bae50e86d24fbdbec38df374,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-b067f188411cb379ab12.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-5e7ef8d45de1713f083d,TS4L-446ccf50e393a7173a58,lane_1,BoardBook Meetings - 2015-2016 PARAPROFESSIONAL (manual/contract doc download),Omaha,NE,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,603149,3d69a5eddf095fc7f507170b12691ea4ab6805e46192bcaa5d45872b860b9ca5,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5e7ef8d45de1713f083d.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-e9d20f49d33b80d24f0e,TS4L-484473bc94e0578dae56,lane_1,"Memorandum of Understanding re: Wage Schedule Revision (OPBA/City of Findlay) — effective Jan 1, 2016 to Dec 31, 2018 (PDF, SERB-hosted)",Findlay,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,6184011,ebf287a4392bf0150ff386281af96ae78bf11bba1a827f30cc127a75e83f7a1e,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-e9d20f49d33b80d24f0e.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-97b0c1bfdd4ecdc400ef,TS4L-4a9cba00da47bbd008a6,lane_1,"Collective Bargaining Agreement — Ontario Local School District (SERB contract PDF, includes Salary Schedule / teacher contract content, filename indicates 2022 SERB upload)",Ontario,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,835330,70c140f803bed24be3bfea7a435d9fe8de13d52413d90cc90f22b04c682d6e06,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-97b0c1bfdd4ecdc400ef.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-457c325232d270b4f8c4,TS4L-4d77853982adfb6e38d9,lane_1,Maine Labor Relations Board: Presque Isle — schools collective bargaining agreement / contract document (period not yet confirmed),Presque Isle,ME,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1573241,fa13e9b5d2c18822c58174b37ea324be3b98eabe8c7c2718e824a763ba81ce5c,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-457c325232d270b4f8c4.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-9e2eee763e63279405ab,TS4L-55bc47b7d0349ccd5d41,lane_1,"Collective Bargaining Agreement — Ontario Local School District (SERB contract PDF, includes Salary Schedule for Teachers, effective beginning of the 2020-2021 contract)",Ontario,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,5319354,608f711c70bcb2ea7198e834d5605285ab6b39860be352cfdf7cc6e713ff7939,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-9e2eee763e63279405ab.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-ccd05089fdf37c6612b7,TS4L-5a1cef80103df8d43929,lane_1,City of Rock Springs (Wyoming) – 2014–2016 Collective Labor Agreement (UMWA / labor agreement material within budget packet),Rock Springs,WY,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,3853185,ae233a5bd426c6a0c100f9b685d2fb4c195fe2fd85fe9d1d7a83225643166340,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-ccd05089fdf37c6612b7.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-35a81f9f96d2922af1a3,TS4L-5bd718d79151d037d9b5,lane_1,Memorandum of Understanding / Collective Bargaining Agreement — Board of Education of Mount Prospect School District 57 and the Mount Prospect Educational Association (MPEA) (2022–2027),Mount Prospect,IL,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,2177886,332fa0586dac2234457c421dcfce562aec885cd635bf411af922d924ad3069ec,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-35a81f9f96d2922af1a3.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-20a594e247c8da14f0f9,TS4L-5ef86fb33f6b59e69dfa,lane_1,AFSCME Municipal Employees Collective Bargaining Agreement (Executed Copy) — 2022–2026,Yakima,WA,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,25322044,ce7517eb3e5e36f094c58d8afc652ae675ac1c85223d0d5c85a29523dd308b0f,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-20a594e247c8da14f0f9.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-f344d0fca0fde4ccebd8,TS4L-63f603be0d80a5ca2a39,lane_1,Maine Labor Relations Board: Presque Isle (2024-2026) — schools collective bargaining agreement / contract document,Presque Isle,ME,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1501740,754ced64d509951309f98a0bbdecbafe10308e55e9ebf50e462f45a3fe78493b,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-f344d0fca0fde4ccebd8.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-6a4963bcf8bf12c0bb21,TS4L-694ca99c1ea9ca72985c,lane_1,"Collective Bargaining Agreement (Negotiated Agreement) — Groveport Madison Local School District Board of Education and Local #312 (Ohio Association of Public School Employees/AFSCME Local 4/AFLCIO), July 1, 2021 through June 30, 2024",Groveport,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,9538122,c0b1d47df58c08c6c294b133f067a03e4fefc94a7c7086661087d1272adf6839,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-6a4963bcf8bf12c0bb21.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-a32e1bbf829b492e6776,TS4L-719616376983f41c6386,lane_1,OCEA Master Contract 24-27 (Okaloosa County instructional salary schedule / master contract PDF),Niceville,FL,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,6476016,badf0dc0e36abb419e95b20ce2e27c968fab5f8da602c355eda3596347e36573,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-a32e1bbf829b492e6776.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-82ba1dca230067f43810,TS4L-721ebf2deeee8795e415,lane_1,"Central Maint CBA 24-26 (City of Greenfield, WI) — collective bargaining agreement",Greenfield,WI,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,10846544,6b5593e8d95d87457e884d7525d121c3f65cc1e2b7d987661d14bdafd136ba13,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-82ba1dca230067f43810.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-ef00eb7a9a982c36fdd6,TS4L-734c4413f1b5547f379b,lane_1,"Collective Bargaining Agreement (Upper Sandusky Support Staff OEA/NEA; Upper Sandusky Exempted Village School District) — July 1, 2021 through June 30, 2024",Upper Sandusky,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1790919,486a6e1911197d1f43cee97b323d867df30fcb8a9c7b1172b54cf5965866081f,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-ef00eb7a9a982c36fdd6.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-ed261fb6a8bc489b2ac9,TS4L-768de0c44b0f30af9f0c,lane_1,2021–2024 Collective Bargaining Agreement (City of Chandler / Firefighters pay scale referenced),Chandler,AZ,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,460607,bdcc63c4cf3628a6505661fe213c7870b0455969fd5ab13edad2517f6b7b4583,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-ed261fb6a8bc489b2ac9.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-5c3b4665133b7d1f5c4c,TS4L-781cd7f955d0788748d6,lane_1,"Stow-Munroe Falls City Schools — Collective Bargaining Agreement (SERB PDF) (Effective July 1, 2022 through June 30, 2023)",Munroe Falls,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,10465147,207ee1ea0c846f71c98f1c4c0485998107cf8f91e0edc49b78fd5730e02786d5,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5c3b4665133b7d1f5c4c.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-c7b3e53a18bad332a3c5,TS4L-7d9210bd56b859bcbef5,lane_1,"NYS PERB Contract Collection – Metadata Header (Rome City School District Aides, Teaching Assistants, Monitors and Cafeteria Unit, CSEA)",Rome,NY,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1039204,7e251e3c1b3385a284e91f492a2ef94ab18b71020586b27f3b51f637e43d7c0e,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c7b3e53a18bad332a3c5.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-89e6df22518a1f375a43,TS4L-8d16c4dbec489d3148e4,lane_1,"BASA (Admin) Agreement — July 1, 2021 to June 30, 2024 (Binghamton City School District)",Binghamton,NY,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1459465,43eda470c5b79a311e96195586ae1b3289dd37ecd91a5c868d95050162ce4764,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-89e6df22518a1f375a43.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-7e46e02bbbc0921aa433,TS4L-910e7bcdeae0cbacf46a,lane_1,"Agreement by and between the Village of Lake in the Hills and SEIU Local 73 (Public Works) (Jan 1, 2023 – Dec 31, 2026) [PDF]",Lake in the Hills,IL,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,16959858,8c100394b6467bb7eb79eb8e88815bee8a0d84fa5ce7d2a414d02a732f94913f,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-7e46e02bbbc0921aa433.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-75d8e3bf87260b417bcd,TS4L-92c43d5c16351d92e907,lane_1,Aurora Education Association Master Agreement (PDF) (mentions 2023-2024 to 2024-2025 salary changes),Aurora,CO,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,882915,ca1a2caaaa47b7785ba522948c05b038e93d94c50efc81f1261d5102d213431c,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-75d8e3bf87260b417bcd.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-c107759240c483b0843d,TS4L-9a09c3613e16d8a97593,lane_1,"City of Somerville news: SMEA vote to approve new contract (six-year term for SMEA Units A, B, and D)",Somerville,MA,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,text/html,.html,57511,d652309bed10eab2eedbc944ebfde55d2233001aeff543e94ab17f2a95d24f1c,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c107759240c483b0843d.html,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-83b318c4ca1aae0db067,TS4L-a1f72c7eaac5c376d84f,lane_1,COLLECTIVE BARGAINING AGREEMENT by and between the School District of Reading and the Reading Education Association (Contract Document),Reading,PA,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,5904782,79e49dadb4c23c5dc6cd5f6887e92fd89c8055b8e9b7e608935250ac94ad8b99,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-83b318c4ca1aae0db067.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-a1041591353e2f23459e,TS4L-a9b0c5cebd4af19c46d1,lane_1,Maine Labor Relations Board: RSU 1 (2024-2027) — schools collective bargaining agreement / contract document,Presque Isle,ME,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1314602,7966627ca8a2d029be2e6d62e3383adfd95326cee309475c4e93bbecb4831879,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-a1041591353e2f23459e.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-bab5e33abee02b2708fd,TS4L-ab2835f9a40702ccca9d,lane_1,Collective Bargaining Agreement — Riverside Local School District Board of Education and United Riverside Education Association (2022-2025),Riverside,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,3628648,790939637ace87c1e752607145657ca9e7ce878aafc976759b4ed748a690021c,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-bab5e33abee02b2708fd.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-5409652bf0e90bd3cf4c,TS4L-b2fef76c51996bf48d5f,lane_1,"Memorandum of Understanding (Upper Sandusky Exempted Village Schools Board of Education; Upper Sandusky Education Association) — amends Supplemental Salary Schedule effective July 1, 2022",Upper Sandusky,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1250008,829257d5395042a96fe94d2d6a697946f9d5f5476acfc2dcd86dfa3d36f54e26,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5409652bf0e90bd3cf4c.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-bb4d36d48b9916ce1b81,TS4L-c02b04de6ef106a65708,lane_1,Addendum to Collective Bargaining Agreement (Springboro Classified Employees Association & Springboro Board of Education) – 01-09-2019 (SERB DAM),Springboro,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1006633,9a80e47945b20a089c0e3bb79e3fc46fac5106bb7c1145f51f16696a528f03e2,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-bb4d36d48b9916ce1b81.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-a41bf2298e64f457781b,TS4L-c6f811af184d68979d52,lane_1,Collective Bargaining Agreement — Riverside Local School District Board of Education and United Riverside Education Association (2019-2022),Riverside,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,2869190,1657a1b3271f1344991e9d1e523ba61d9ff6738bdee64b06a9fb691187f85f01,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-a41bf2298e64f457781b.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
