comparison_candidate_id,matched_cycle_id,safety_normalized_record_id,non_safety_normalized_record_id,comparison_type,pay_basis_comparable,effective_period_comparable,unit_rank_step_comparable,base_nonbase_comparable,normalization_quality,comparison_readiness,comparison_blocker_tags,allowed_output
B4X2500PAIR-8704dc4e18cd64121be09e40,B4X2500MATCH-04627211092a602932e45d85,B4X2500NORM-ed36ce222ee884450022ae12,B4X2500NORM-11fda021d52619adce454036,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
B4X2500PAIR-974ec0a399970ea5bef8b6b6,B4X2500MATCH-f9be4e25cc7194f25945710a,B4X2500NORM-64cd04f5f9a98c479f2767d7,B4X2500NORM-dd29da5b11e20a62f1c37f9c,non_base_component_candidate,false,true,false,true,moderate,needs_manual_review,"[""pay_basis_not_comparable"",""unit_rank_step_not_comparable""]",descriptive_structure_only
B4X2500PAIR-af6ccbb8e0168c50d3ce9fc6,B4X2500MATCH-f9be4e25cc7194f25945710a,B4X2500NORM-97df6995ed407d7a86413644,B4X2500NORM-dd29da5b11e20a62f1c37f9c,non_base_component_candidate,false,true,false,true,moderate,needs_manual_review,"[""pay_basis_not_comparable"",""unit_rank_step_not_comparable""]",descriptive_structure_only
B4X2500PAIR-e528d8ef4f67a8322549f31b,B4X2500MATCH-f9be4e25cc7194f25945710a,B4X2500NORM-9e875d36b1f4b86962d9becb,B4X2500NORM-dd29da5b11e20a62f1c37f9c,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-8f8037cb089e6eb803dd7e15,B4X2500MATCH-16618e55ab8667e7468eae19,B4X2500NORM-268b1d801976334a82fc9bdc,B4X2500NORM-121c68e5a1d81f45082f8c0b,mechanism_context_pair,false,false,true,false,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-2132f7115f385f5641aefa9a,B4X2500MATCH-16618e55ab8667e7468eae19,B4X2500NORM-8a6847d2f2be026f8d0f9653,B4X2500NORM-121c68e5a1d81f45082f8c0b,mechanism_context_pair,false,false,true,false,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-f3c8ed1037274fac16d02bc4,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-156d5ac598688ae5e42c105e,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-6c50fc57ebc411a4422a73df,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-28afc5b2313a157fbc370298,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-2db3aafe5dbfd94fb2421e75,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-28fcd7fabdfe19b6f7faa4ed,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-9e27351bfe519b3bc3aab075,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-2f078db757e4edafaaa89c36,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-cbed5855f79299ca6d7073be,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-4c2ea5347e51d125fa8a52e1,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-0fbfc2095b5150b54d42b277,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-621548d1f921c7c7a1288641,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-8c796e951762649afd2e0ba2,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-867cec9b5850d94cbfada96d,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-404f5ee33022b69dcb85dbb2,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-9a40133af0c6c5003a6aeb65,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-3bad1e134d974595527546bf,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-bfe8d0cf49e13e9a018c8c85,B4X2500NORM-dc7632319460bbe4b1120a63,base_wage_level_candidate,false,true,true,true,moderate,needs_manual_review,"[""pay_basis_not_comparable""]",descriptive_structure_only
B4X2500PAIR-db5b90a7e0ae244ec931e659,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-e66fd81a130b97a8f8bf5194,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-85afb27dcbbb58788ff02c9b,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-ed4e22fe6876f2f5dafb9d13,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-969537b90d62164981e5621e,B4X2500MATCH-c625f1761129c31bfd008151,B4X2500NORM-fa13962d32924f2eaf7d71fc,B4X2500NORM-dc7632319460bbe4b1120a63,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-520f48bc0083bd86f7a17ee5,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-03a569781139e68b0efc0c13,B4X2500NORM-936783432f8237ea61d45ac9,percentage_growth_candidate,true,true,true,false,moderate,needs_manual_review,"[""base_nonbase_not_comparable""]",descriptive_structure_only
B4X2500PAIR-7cee20f86d82ea0ce800a2dd,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-06c50046201f8175adf617bb,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-94b432f9ba1aff02431b5003,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-26a77616a8c2525fa796ff09,B4X2500NORM-936783432f8237ea61d45ac9,percentage_growth_candidate,true,true,true,false,moderate,needs_manual_review,"[""base_nonbase_not_comparable""]",descriptive_structure_only
B4X2500PAIR-ac9f86f35f4be7221f875a1d,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-3fba58b57bf021904c2542fc,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-a37bf1abd6c288f36e8fd1dd,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-551364b8b2897f41757ab57d,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-ab4f7ad6ede3d1a7eb755738,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-80ab897a8b2d6d0855b36fa0,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-e9842fb60d2581aa774eb08e,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-85a899d53684339a9dbc93e2,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-ca068e16d9703d987bee29fd,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-880e0b1f7cda0dfcb8988ae8,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-eac511ca0751c39f425c603a,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-89b89a80a68190169dadfa51,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-10f1dde416f0be817c07d5ca,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-a524b48d7da911302a85820b,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-59141b9bf1d1ad3adf44a7db,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-a6c72d8713f975af1a681034,B4X2500NORM-936783432f8237ea61d45ac9,percentage_growth_candidate,true,true,true,false,moderate,needs_manual_review,"[""base_nonbase_not_comparable""]",descriptive_structure_only
B4X2500PAIR-1b6310dbb5601e8a9e0cb1ba,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-fa828ec5aa3012fd11560465,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-5c71e53ccc41886f49cc1e1a,B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500NORM-fee5aa42c93c61adf90ae584,B4X2500NORM-936783432f8237ea61d45ac9,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-2e65ad3ce831bc6ff2a0ead9,B4X2500MATCH-5102d85098c66923f8555724,B4X2500NORM-e8eb40ba8e130e3cf3faf7f7,B4X2500NORM-7bcb77821c9fa810fbb00d89,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-3e99aa4f159151ac5d6ec089,B4X2500MATCH-5102d85098c66923f8555724,B4X2500NORM-fd82691ba68b1f4204970064,B4X2500NORM-7bcb77821c9fa810fbb00d89,percentage_growth_candidate,true,true,false,false,moderate,needs_manual_review,"[""unit_rank_step_not_comparable"",""base_nonbase_not_comparable""]",descriptive_structure_only
B4X2500PAIR-8dec9484471062d391d6373e,B4X2500MATCH-8344e6ae59eefd2e7fc1170c,B4X2500NORM-e76a24b65adea7e80759573e,B4X2500NORM-71855da9678ffce4b81f76df,non_base_component_candidate,false,true,true,true,moderate,needs_manual_review,"[""pay_basis_not_comparable""]",descriptive_structure_only
B4X2500PAIR-40992e2b48b6c2ccc959ab15,B4X2500MATCH-4da85f52f97336f952d94c3d,B4X2500NORM-17863ace587f4a05e01f941b,B4X2500NORM-ef87572ce925abb1afb8e2f0,mechanism_context_pair,true,true,true,false,moderate,needs_manual_review,"[""base_nonbase_not_comparable""]",descriptive_structure_only
B4X2500PAIR-6ba85e36429466372d3d1e71,B4X2500MATCH-4da85f52f97336f952d94c3d,B4X2500NORM-393b2cef9046fe226ef64062,B4X2500NORM-ef87572ce925abb1afb8e2f0,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-01fbc7464b022cc9b8cca761,B4X2500MATCH-4da85f52f97336f952d94c3d,B4X2500NORM-46a24cc9124b5639b9d3b352,B4X2500NORM-ef87572ce925abb1afb8e2f0,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
B4X2500PAIR-4e8cb68a12584f976f8a3080,B4X2500MATCH-4da85f52f97336f952d94c3d,B4X2500NORM-614d2e6faca23173062df901,B4X2500NORM-ef87572ce925abb1afb8e2f0,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-0ea4556ebaab7f4f3887ace3,B4X2500MATCH-4da85f52f97336f952d94c3d,B4X2500NORM-d1913c9533bd20665b5b4be1,B4X2500NORM-ef87572ce925abb1afb8e2f0,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
B4X2500PAIR-bdb9dbe863dc4e8ad26328c4,B4X2500MATCH-4da85f52f97336f952d94c3d,B4X2500NORM-ee4659a78218ad4e4b271cf9,B4X2500NORM-ef87572ce925abb1afb8e2f0,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-8314104dd8ac20eacda88251,B4X2500MATCH-ec714308cdee5b6becac8b62,B4X2500NORM-151dc8d6661a802e9bfe1c55,B4X2500NORM-e411dd1fde108201b56235c5,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-4cd1554ee25d8baf5ec023e3,B4X2500MATCH-ec714308cdee5b6becac8b62,B4X2500NORM-28e8c27e5d88ee9723e2ed31,B4X2500NORM-e411dd1fde108201b56235c5,base_wage_level_candidate,false,true,true,true,moderate,needs_manual_review,"[""pay_basis_not_comparable""]",descriptive_structure_only
B4X2500PAIR-ccea918d889573448d520274,B4X2500MATCH-ec714308cdee5b6becac8b62,B4X2500NORM-2dbe37c52aab8af33d6b0bfa,B4X2500NORM-e411dd1fde108201b56235c5,base_wage_level_candidate,false,true,true,true,moderate,needs_manual_review,"[""pay_basis_not_comparable""]",descriptive_structure_only
B4X2500PAIR-71c9a7e355922432e0280406,B4X2500MATCH-ec714308cdee5b6becac8b62,B4X2500NORM-3c6ebb50789ec2590f40c511,B4X2500NORM-e411dd1fde108201b56235c5,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-044b359a546c280288351c9a,B4X2500MATCH-ec714308cdee5b6becac8b62,B4X2500NORM-9eb0afc1f4542ef618750985,B4X2500NORM-e411dd1fde108201b56235c5,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-6f9604623ecd30424e161c2f,B4X2500MATCH-f14097aafbdcddb4e7d444c6,B4X2500NORM-602d23d06f5324937a0e1508,B4X2500NORM-4448da0bec168e17dbe2421f,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-26e2f3d253ac91a1d2ac7898,B4X2500MATCH-f14097aafbdcddb4e7d444c6,B4X2500NORM-68f7960458d1cb70a76f4678,B4X2500NORM-4448da0bec168e17dbe2421f,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-4c12141020d941c85e95dea0,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-163111fa04c25f4bd5ec2c28,B4X2500NORM-6342c95290f0b052e6a00833,base_wage_level_candidate,true,true,false,true,moderate,needs_manual_review,"[""unit_rank_step_not_comparable""]",descriptive_structure_only
B4X2500PAIR-04b60eff5486d5b78c26c79c,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-30080fdedbd5878524b68750,B4X2500NORM-604286eccedd93eb46792bc5,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-c588be147823b47a2885e876,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-56eb09491c37dcb3f0562e1e,B4X2500NORM-604286eccedd93eb46792bc5,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-2d4dbf541345b67a77f7ba41,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-62d5df6567f63aa4a221d3cf,B4X2500NORM-6342c95290f0b052e6a00833,base_wage_level_candidate,true,true,false,true,moderate,needs_manual_review,"[""unit_rank_step_not_comparable""]",descriptive_structure_only
B4X2500PAIR-507ca8354a59a9b80e3a682c,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-7309381170d44695f7721957,B4X2500NORM-6342c95290f0b052e6a00833,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
B4X2500PAIR-d64b604f39cc83f9727eed89,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-b201427f2528fc7a36b0cfd7,B4X2500NORM-6342c95290f0b052e6a00833,base_wage_level_candidate,false,true,false,true,moderate,needs_manual_review,"[""pay_basis_not_comparable"",""unit_rank_step_not_comparable""]",descriptive_structure_only
B4X2500PAIR-890426ba924f56be7e9f5adc,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-cf9aeee9576dbec9c8c613f6,B4X2500NORM-604286eccedd93eb46792bc5,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-06cfc37541e5810ab5329843,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-d42b2bf0f994613e5dc9506e,B4X2500NORM-604286eccedd93eb46792bc5,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-afcb6fa4d7ec92f40ef194ea,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-d924c8e9b018974f138edb97,B4X2500NORM-6342c95290f0b052e6a00833,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
B4X2500PAIR-b4284edaddd0baec32a2c7ab,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-ee716701eddc4956eb14617d,B4X2500NORM-6342c95290f0b052e6a00833,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
B4X2500PAIR-bfaef0426c7c6dd8f2dbbcdc,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-f8ca5f5b3deb84bf941517ad,B4X2500NORM-604286eccedd93eb46792bc5,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-0c89cc4e18c2128235f2effa,B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500NORM-fc662b5bdfd6dffc2e937ed3,B4X2500NORM-6342c95290f0b052e6a00833,mechanism_context_pair,true,true,true,false,moderate,needs_manual_review,"[""base_nonbase_not_comparable""]",descriptive_structure_only
B4X2500PAIR-50fa0144fd2cbd7157d9799e,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-0d391e91773e4937988bb0e1,B4X2500NORM-eafe5896d642edf0baa6aee3,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-8828a1323ca671aa6e5ca8c2,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-2a8927f11f3a971ba9d93e7f,B4X2500NORM-eafe5896d642edf0baa6aee3,mechanism_context_pair,false,false,true,false,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-423e6e1703a24f7e638ce200,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-451f00fedffa302ddd5a6de9,B4X2500NORM-eafe5896d642edf0baa6aee3,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-f03d0fb4e7ad9047c84db7df,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-8ff8c711a2e8608a07a109dc,B4X2500NORM-eafe5896d642edf0baa6aee3,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-bac1f86d8346caf2f1dcbd7d,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-92e55b1b09b9f2cba737f48b,B4X2500NORM-eafe5896d642edf0baa6aee3,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-456beba512ea2497de4941d5,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-b10c6001fcca8fc23f3fcb02,B4X2500NORM-eafe5896d642edf0baa6aee3,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-d283e701d4c95e5b00e319a3,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-c037ef8d253b513e7ef85427,B4X2500NORM-eafe5896d642edf0baa6aee3,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-1b7461b73b0f2772771d840b,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-d187d3a011fff89d98088920,B4X2500NORM-eafe5896d642edf0baa6aee3,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-c0804e6b9c9d54d7b6fc864f,B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500NORM-daf31718489ed02883eaf175,B4X2500NORM-eafe5896d642edf0baa6aee3,non_base_component_candidate,false,false,true,true,low,not_ready,"[""pay_basis_not_comparable"",""effective_period_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-9b6c95c5845b356a705d674d,B4X2500MATCH-c9ccb50e91050c716cecf59e,B4X2500NORM-198f5577bc9f2983ad02386f,B4X2500NORM-37302ae05b0264aa8d336c3e,non_base_component_candidate,false,true,true,true,moderate,needs_manual_review,"[""pay_basis_not_comparable""]",descriptive_structure_only
B4X2500PAIR-c51c4eb2334094a71b3d387f,B4X2500MATCH-c9ccb50e91050c716cecf59e,B4X2500NORM-4f13a46686c43ebf0521604a,B4X2500NORM-37302ae05b0264aa8d336c3e,non_base_component_candidate,false,true,true,true,moderate,needs_manual_review,"[""pay_basis_not_comparable""]",descriptive_structure_only
