matched_cycle_id,municipality_cycle_id,municipality,state,cycle_start,cycle_end,cycle_label,safety_units_present,non_safety_units_present,safety_record_count,non_safety_record_count,comparable_base_wage_records_present,comparable_growth_records_present,comparable_nonbase_records_present,mechanism_overlap,directional_hint_summary,match_quality,match_blocker_tags,report_use
B4X2500MATCH-146e564cd90d33edc6703909,B4X2500MC-943039be37d688cd789e5a3b,Cheltenham,PA,2022,2022,2022,"[""police""]","[""clerical_admin""]",3,1,false,false,false,"[""timing_implementation""]","{""non_safety_advantage"":1,""not_applicable"":3}",incomplete,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-39f79cc4ce0946e4fa45f29b,B4X2500MC-95ca9c1cca3a10c121470ef3,South Amherst,OH,2019,2019,2019,"[""fire""]","[""public_works""]",6,2,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":2,""not_applicable"":6}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_growth_records"",""pay_basis_unresolved""]",report_ready_structure
B4X2500MATCH-209eff54371a44adbd26ef8e,B4X2500MC-a314588c990acd2c7d589bf6,Tyrone,GA,2019,2019,2019,"[""police""]","[""library""]",2,5,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":5,""not_applicable"":2}",moderate,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-25c3a09f6b9b5afa6216a3ce,B4X2500MC-a501959e7ef1621c04b15776,Kings Point,NY,,,undated-source-B4X2500LIVE-20260729-003955,"[""police""]","[""public_works""]",3,2,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""not_applicable"":5}",weak,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_growth_records""]",normalization_needed
B4X2500MATCH-5032cac4ddcf3da0be63abf8,B4X2500MC-a50a51f3cfb98e6e33ec0216,Bernards,NJ,2023,2023,2023,"[""police""]","[""clerical_admin""]",1,2,false,false,false,[],"{""neutral_or_general"":3,""not_applicable"":8}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-014464226c222b56796c3abc,B4X2500MC-a673f0bbf5ce7f605bc18ed8,Bladenboro,NC,2022,2023,2022-2023,"[""police""]","[""sanitation""]",1,1,false,false,false,[],"{""neutral_or_general"":2,""not_applicable"":3}",incomplete,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-dfb71f441aa9b2cd82bcd47d,B4X2500MC-a7da159df78ee2e5e7ac1572,River Forest,IL,,,undated-source-B4X2500LIVE-20260729-005147,"[""police""]","[""clerical_admin""]",7,1,false,true,false,"[""rank_step_specialization_classification""]","{""neutral_or_general"":5,""not_applicable"":3}",weak,"[""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""non_compensation_numeric_context"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]",normalization_needed
B4X2500MATCH-0522029e739331b1a978af68,B4X2500MC-ae5e7a6aa08fa4f04b155e9a,Gun Barrel City,TX,2019,2020,2019-2020,"[""police""]","[""clerical_admin""]",5,1,false,true,false,"[""automatic_wage_growth""]","{""neutral_or_general"":3,""not_applicable"":3}",moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-ba2c67a4c58cebf35770e866,B4X2500MC-b0c0d81f868d3242f891ef57,Howland,OH,,,undated-source-B4X2500LIVE-20260729-003285,"[""police""]","[""clerical_admin""]",8,1,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":1,""not_applicable"":8}",weak,"[""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-f07cdcd1e36025286b7d9bf7,B4X2500MC-b1603b1ecfb8d964e9f149ee,Flandreau,SD,,,undated-source-B4X2500LIVE-20260729-008376,"[""police""]","[""clerical_admin""]",8,1,true,false,false,"[""rank_step_specialization_classification""]","{""neutral_or_general"":4,""not_applicable"":5}",weak,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-bf7270e3f7855a91c94d8596,B4X2500MC-b3fd72c7cbe7b37eab8403d3,Chesterville,ME,,,undated-source-B4X2500LIVE-20260729-001116,"[""fire""]","[""clerical_admin"",""public_works""]",5,5,false,true,true,"[""automatic_wage_growth"",""non_base_compensation""]","{""neutral_or_general"":5,""non_safety_advantage"":2,""not_applicable"":3}",weak,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-072c154b6003a2b8c7f4964c,B4X2500MC-b65eba923e291aa2fe3687d2,Mamaroneck,NY,2023,2023,2023,"[""police""]","[""clerical_admin""]",1,1,false,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":6,""not_applicable"":3}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-d36ee49d304e46a0718b39f1,B4X2500MC-b8fd2d9e28776514b9c514a3,Greenwich,NJ,2024,2024,2024,"[""police""]","[""clerical_admin""]",6,5,false,false,false,[],"{""neutral_or_general"":4,""not_applicable"":10}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-411ecb4e950ad62f1d5a56ca,B4X2500MC-bcc1c873b1c94c1db43677ec,Farmington,IL,,,undated-source-B4X2500LIVE-20260729-007586,"[""police""]","[""clerical_admin""]",6,1,false,false,false,"[""weak_context_exclusion""]","{""neutral_or_general"":3,""not_applicable"":4}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-9fde838749a73647eee66089,B4X2500MC-c3cc7f05263f80b5cf99c735,Delhi,OH,2020,2020,2020,"[""police""]","[""public_works""]",2,2,false,false,false,"[""timing_implementation""]","{""neutral_or_general"":1,""not_applicable"":3}",incomplete,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-7acc85a4c24ebadc9952ca90,B4X2500MC-c44f93649b9cac0ba93c1a41,McLouth,KS,,,undated-source-B4X2500LIVE-20260729-002847,"[""police""]","[""clerical_admin""]",6,1,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":4,""not_applicable"":3}",weak,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_growth_records"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]",normalization_needed
B4X2500MATCH-ca46fa916a820f1457154198,B4X2500MC-cbbedf45ad78d43e136412f2,Clayton,NY,,,undated-source-B4X2500LIVE-20260729-001436,"[""police""]","[""public_works""]",1,3,false,false,false,[],"{""neutral_or_general"":1,""not_applicable"":3}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records""]",context_only
B4X2500MATCH-cb47df2dba5b4dae5aea680b,B4X2500MC-cf54c0a6b70cead4b0691be4,Cohasset,MA,2022,2022,2022,"[""police""]","[""public_works""]",10,1,false,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":1,""not_applicable"":10}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]",context_only
B4X2500MATCH-405e86dfa6b021ad892f767d,B4X2500MC-cf650b8ee94ad6d40fbfc00a,West Bridgewater,MA,2023,2023,2023,"[""police""]","[""public_works""]",1,2,false,false,false,"[""timing_implementation""]","{""neutral_or_general"":6,""not_applicable"":4}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-c5e252fb4b73a6cb77d57295,B4X2500MC-d1304e11d45b97f907b48e3d,Oregon,IL,2019,2023,2019-2023,"[""police""]","[""general_municipal""]",10,1,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":7,""not_applicable"":4}",moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]",normalization_needed
B4X2500MATCH-9e1ebc120cd92407a1a58001,B4X2500MC-dbb9471f1044a59effb1288d,Pleasantville,IA,,,undated-source-B4X2500LIVE-20260729-007519,"[""police""]","[""sanitation""]",3,2,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":3,""not_applicable"":2}",weak,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-34e5b382f9de3a0b3f7fff3a,B4X2500MC-dd9caff8f79b5490024d4a9e,Harbor Beach,MI,2023,2023,2023,"[""police""]","[""clerical_admin""]",1,1,false,false,false,[],"{""neutral_or_general"":4,""not_applicable"":4}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-3ad09b6273ada2c6d47eca99,B4X2500MC-deaa1d7be187472817af2894,Howland,OH,2020,2020,2020,"[""police""]","[""public_works""]",2,2,false,true,false,"[""timing_implementation""]","{""neutral_or_general"":3,""not_applicable"":1}",moderate,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records""]",normalization_needed
B4X2500MATCH-63e5d7f846f0cc467da0a0e7,B4X2500MC-ea6ed47b2b4cfd4d5824b596,Bainbridge,OH,,,undated-source-B4X2500LIVE-20260729-000761,"[""police""]","[""clerical_admin""]",6,3,false,false,false,[],"{""neutral_or_general"":3,""not_applicable"":6}",incomplete,"[""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-d6aaec07402332b299a598c5,B4X2500MC-eb12b3ae357aea93bdea70cb,New Glarus,WI,,,undated-source-B4X2500LIVE-20260729-008448,"[""police""]","[""utilities""]",1,11,false,false,false,[],"{""neutral_or_general"":7,""not_applicable"":5}",incomplete,"[""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]",context_only
