municipality_cycle_id,municipality,state,region,cycle_start,cycle_end,contract_year,fiscal_year,cycle_label,source_count,span_count,normalized_record_count,safety_record_count,non_safety_record_count,unclear_record_count,base_record_count,non_base_record_count,mechanism_clusters_present,comparison_readiness_status,cycle_confidence,blockers
B4X2500MC-0148f7bea0f256abd5358861,Farmington,IA,Midwest,,,,,undated-source-B4X2500LIVE-20260729-000023,1,2,2,0,0,2,2,0,"[""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,low,"[""annual_equivalent_uses_standard_2080_assumption"",""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-014fb7813f7d2704ac544de1,Andover,ME,Northeast,2025,2025,2025,,2025,1,7,7,0,0,7,2,3,"[""non_base_compensation"",""timing_implementation"",""weak_context_exclusion""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-016396cd79f2ae6aba428bb9,Sugarcreek,OH,Midwest,2020,2020,2020,,2020,1,2,2,2,0,0,0,0,"[""timing_implementation""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-01686c99d01c946531d52bc5,Stoddard,WI,Midwest,,,,,undated-source-B4X2500LIVE-20260729-005972,1,3,3,0,0,3,3,0,"[""quantitative_base_wage_needs_normalization"",""timing_implementation""]",unit_classification_incomplete,low,"[""annual_equivalent_uses_standard_2080_assumption"",""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-0169d9719e41c09f0ce6d548,Boiling Springs,NC,South,2016,2017,2016,2016,2016-2017,1,1,1,0,0,1,0,0,"[""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,high,"[""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-0172e68d5b6d9896914aec09,Mancelona,MI,Midwest,,,,,undated-source-B4X2500LIVE-20260729-007934,1,1,1,0,0,1,1,0,"[""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-01743c50fbfaf231d8d4ae3b,Brownville,NE,Midwest,,,,,undated-source-B4X2500LIVE-20260729-000701,1,3,3,0,0,3,0,3,"[""non_base_compensation""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-01d7bfce91caeef0aecc8459,Fort Valley,GA,South,,,,,undated-source-B4X2500LIVE-20260729-001818,1,5,5,0,0,5,1,4,"[""non_base_compensation"",""weak_context_exclusion""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""rank_step_grade_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-01f809fa4991adeed8e0dfff,Le Roy,IL,Midwest,,,,,undated-source-B4X2500LIVE-20260729-000156,1,5,5,0,0,5,1,4,"[""non_base_compensation""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-0214bf845d1d4222dd177cc0,White Lake,NC,South,2025,2026,2025,2025,2025-2026,1,10,10,0,0,10,2,4,"[""automatic_wage_growth"",""non_base_compensation"",""quantitative_base_wage_needs_normalization"",""weak_context_exclusion""]",unit_classification_incomplete,high,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-021b7c74b5f956054638c7f8,Buchanan,NY,Northeast,1995,1995,1995,,1995,1,1,1,1,0,0,0,0,"[""timing_implementation""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-021c4ffdab369658b3c65970,Grand Island,NY,Northeast,2025,2025,2025,,2025,1,5,5,0,0,5,3,0,"[""quantitative_base_wage_needs_normalization"",""rank_step_specialization_classification"",""timing_implementation""]",unit_classification_incomplete,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-0237fe9ff77b2df1f33bcfb2,Sealy,TX,South,2020,2021,2020,2020,2020-2021,1,16,16,0,0,16,6,5,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization"",""timing_implementation"",""weak_context_exclusion""]",unit_classification_incomplete,high,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""non_compensation_numeric_context"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-02460285ff0ed9390565bae4,Crane,MO,Midwest,,,,,undated-source-B4X2500LIVE-20260729-000596,1,6,6,0,0,6,0,6,"[""non_base_compensation"",""weak_context_exclusion""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-02463df1a7baa35e49c19f83,Beaver,OH,Midwest,2022,2022,2022,,2022,1,1,1,0,0,1,0,0,"[""timing_implementation""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-028554d4dbc455519221d1c2,Ferguson,PA,Northeast,2027,2027,2027,,2027,1,1,1,0,0,1,0,0,"[""automatic_wage_growth""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-0287c024f73122d7bc714772,Caryville,TN,South,2021,2021,2021,,2021,1,2,2,0,0,2,1,1,"[""non_base_compensation"",""weak_context_exclusion""]",unit_classification_incomplete,moderate,"[""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-02be27124a9a13fdd0d3a4fb,Fontanelle,IA,Midwest,2022,2022,2022,,2022,1,1,1,0,0,1,0,0,"[""automatic_wage_growth""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-02ef5dea19ecfd288717756e,Kiowa,OK,South,1991,1991,1991,,1991,1,1,1,0,0,1,0,0,"[""weak_context_exclusion""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-02f437bc5c7af6e3e68c7796,Brookfield,OH,Midwest,2023,2023,2023,,2023,1,3,3,3,0,0,1,0,"[""quantitative_base_wage_needs_normalization"",""timing_implementation""]",missing_non_safety_evidence,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-02fec43e761761e1a5390619,Quogue,NY,Northeast,2023,2023,2023,,2023,1,3,3,0,0,3,1,1,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization"",""timing_implementation""]",unit_classification_incomplete,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-030e96e65f7f0891e6f4d7a7,Sherburn,MN,Midwest,2026,2026,2026,,2026,1,1,1,1,0,0,0,0,"[""automatic_wage_growth""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""missing_non_safety_unit_in_cycle""]"
B4X2500MC-031616b4b3264fe375b1cc76,Zap,ND,Midwest,,,,,undated-source-B4X2500LIVE-20260729-003205,1,1,1,0,0,1,1,0,"[""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,low,"[""annual_equivalent_uses_standard_2080_assumption"",""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-032b9e46422481e45d719ecf,Fort Branch,IN,Midwest,1991,1991,1991,,1991,1,1,1,1,0,0,0,1,"[""non_base_compensation""]",missing_non_safety_evidence,moderate,"[""cycle_outside_2014_2024_observation_window"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-038fd52ce7fa81f7338f93ad,Eaton,NH,Northeast,2024,2024,2024,,2024,1,5,5,0,0,5,1,0,"[""automatic_wage_growth"",""timing_implementation"",""weak_context_exclusion""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-0393818e65cd42bbed22f1ca,Colo,IA,Midwest,2015,2015,2015,,2015,1,3,3,0,0,3,0,1,"[""timing_implementation"",""weak_context_exclusion""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-03bed523f9d5cb50486a5dc1,Clinton,NJ,Northeast,,,,,undated-source-B4X2500LIVE-20260729-001226,1,1,1,0,0,1,0,1,"[""non_base_compensation""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-03d3a4abce11c5e7ef8cb46b,Mount Morris,NY,Northeast,,,,,undated-source-B4X2500LIVE-20260729-006456,1,3,3,3,0,0,2,0,"[""quantitative_base_wage_needs_normalization"",""timing_implementation""]",missing_non_safety_evidence,low,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""effective_period_or_cycle_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-03dd4a3f788a6ddbaf883b29,Fairfax,IA,Midwest,2016,2016,2016,,2016,1,8,8,0,0,8,3,4,"[""automatic_wage_growth"",""non_base_compensation"",""quantitative_base_wage_needs_normalization"",""weak_context_exclusion""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""rank_step_grade_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-03dda7e90639860c7d166a4e,Roberts,WI,Midwest,,,,,undated-source-B4X2500LIVE-20260729-008469,1,4,4,4,0,0,1,3,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization"",""weak_context_exclusion""]",missing_non_safety_evidence,low,"[""annual_equivalent_uses_standard_2080_assumption"",""effective_period_or_cycle_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-03e0a45658a32a25bef32d1b,Moore Haven,FL,South,2021,2021,2021,2021,2021,1,1,1,0,0,1,1,0,"[""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-03f12273d937a76901224cda,Tetonia,ID,West,,,,,undated-source-B4X2500LIVE-20260729-004861,1,2,2,0,0,2,2,0,"[""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-04321cfd0c819f5dcc96d63f,Bloom,OH,Midwest,2019,2019,2019,,2019,1,1,1,0,0,1,0,0,"[""timing_implementation""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-044ab1f730e02ff57fc91465,Gibraltar,MI,Midwest,1995,1995,1995,,1995,1,3,3,2,1,0,0,0,"[""timing_implementation""]",safety_non_safety_evidence_present,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""pay_basis_unresolved""]"
B4X2500MC-044f26365fb24c7566f9a923,Readington,NJ,Northeast,2025,2025,2025,,2025,1,4,4,0,1,3,0,0,"[""automatic_wage_growth"",""timing_implementation""]",missing_safety_evidence,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""missing_safety_unit_in_cycle"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]"
B4X2500MC-047d918276d93634087ca73c,Evesham,NJ,Northeast,,,,,undated-source-B4X2500LIVE-20260729-008761,1,9,9,0,9,0,4,5,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization"",""weak_context_exclusion""]",missing_safety_evidence,low,"[""annual_equivalent_uses_standard_2080_assumption"",""effective_period_or_cycle_unresolved"",""missing_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-0488ba3a531b2fadb7b09cf4,Earlham,IA,Midwest,2023,2023,2023,,2023,1,2,2,2,0,0,1,0,"[""quantitative_base_wage_needs_normalization"",""timing_implementation""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-04d389fb2ef14914b7a6d45c,Forest Hill,LA,South,2017,2017,2017,,2017,1,1,1,1,0,0,0,0,"[""timing_implementation""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-051edd5f974495f85f0867f3,Margate City,NJ,Northeast,2025,2025,2025,,2025,1,1,1,1,0,0,0,0,"[""automatic_wage_growth""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""missing_non_safety_unit_in_cycle""]"
B4X2500MC-052504a500dcc34eceefaf04,Bolivar,OH,Midwest,2023,2023,2023,,2023,1,2,2,1,0,1,2,0,"[""quantitative_base_wage_needs_normalization""]",missing_non_safety_evidence,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""missing_non_safety_unit_in_cycle"",""occupation_or_unit_unresolved"",""safety_category_unresolved""]"
B4X2500MC-0558d5223ca425c3446ffdcb,Washington,OH,Midwest,2020,2020,2020,,2020,1,1,1,0,0,1,0,0,"[""timing_implementation""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-0569e29766507733bdcb72da,Farmer,SD,Midwest,2025,2025,2025,,2025,1,6,6,1,0,5,1,3,"[""non_base_compensation"",""rank_step_specialization_classification"",""timing_implementation""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""missing_non_safety_unit_in_cycle"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]"
B4X2500MC-05b24d615b5eabd17fdc2c67,Russell,OH,Midwest,,,,,undated-source-B4X2500LIVE-20260729-008329,1,12,12,12,0,0,0,11,"[""automatic_wage_growth"",""non_base_compensation"",""weak_context_exclusion""]",missing_non_safety_evidence,low,"[""base_nonbase_unresolved"",""effective_period_or_cycle_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-05b5cc05f63625045dd0b57d,Sheridan,IN,Midwest,2024,2024,2024,,2024,1,2,2,0,0,2,0,2,"[""non_base_compensation"",""weak_context_exclusion""]",unit_classification_incomplete,moderate,"[""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-05e996593622d27c55dac8a4,Avoca,IA,Midwest,,,,,undated-source-B4X2500LIVE-20260729-002499,1,4,4,0,4,0,2,2,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization""]",missing_safety_evidence,low,"[""annual_equivalent_uses_standard_2080_assumption"",""effective_period_or_cycle_unresolved"",""missing_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-05ff1b689e05cda28522c6ef,Eufaula,OK,South,,,,,undated-source-B4X2500LIVE-20260729-007065,1,4,4,4,0,0,0,4,"[""non_base_compensation"",""weak_context_exclusion""]",missing_non_safety_evidence,low,"[""effective_period_or_cycle_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-0601896949adf9473a24afa4,Jasper,MN,Midwest,2025,2025,2025,,2025,1,1,1,0,1,0,1,0,"[""quantitative_base_wage_needs_normalization""]",missing_safety_evidence,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_outside_2014_2024_observation_window"",""missing_safety_unit_in_cycle""]"
B4X2500MC-061fb3847204a876ad3be9c3,Rogers City,MI,Midwest,2022,2022,2022,,2022,1,1,1,1,0,0,1,0,"[""timing_implementation""]",missing_non_safety_evidence,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""missing_non_safety_unit_in_cycle""]"
B4X2500MC-0625174414df20cce1d545ef,Delhi,OH,Midwest,,,,,undated-source-B4X2500LIVE-20260729-003263,1,10,10,10,0,0,4,6,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization"",""weak_context_exclusion""]",missing_non_safety_evidence,low,"[""annual_equivalent_uses_standard_2080_assumption"",""effective_period_or_cycle_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-06264df31bb6b80f6d683983,Mullen,NE,Midwest,,,,,undated-source-B4X2500LIVE-20260729-005705,1,8,8,0,2,6,5,3,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization""]",missing_safety_evidence,low,"[""annual_equivalent_uses_standard_2080_assumption"",""effective_period_or_cycle_unresolved"",""missing_safety_unit_in_cycle"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]"
B4X2500MC-06578519262b8d55e7483567,Cortland,NE,Midwest,2024,2025,2024,2024,2024-2025,1,1,1,0,0,1,0,0,"[""weak_context_exclusion""]",unit_classification_incomplete,high,"[""base_nonbase_unresolved"",""cycle_partially_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-066cae57c97449adb8008aa7,Lecompton,KS,Midwest,2025,2025,2025,,2025,2,3,3,0,0,3,2,0,"[""automatic_wage_growth"",""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-069b440ab11c9106eb7a88bd,Homer,GA,South,2021,2021,2021,,2021,1,2,2,0,0,2,2,0,"[""automatic_wage_growth"",""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-06b01587ee82f5604e211180,Maple Plain,MN,Midwest,2024,2024,2024,,2024,1,1,1,1,0,0,0,0,"[""timing_implementation""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
