municipality,state,region,county,shard_id,scout_target_count,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_diversification_opportunity_flags,matched_safety_non_safety_opportunity_flag,planned_search_query_families,dashboard_map_inclusion_rule,notes
Sandwich,IL,Midwest,DeKalb County (17037; primary); Kendall County (17093),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Shorewood,IL,Midwest,Will County (17197; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Swansea,IL,Midwest,St. Clair County (17163; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Troy,IL,Midwest,Madison County (17119; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Washington,IL,Midwest,Tazewell County (17179; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Westchester,IL,Midwest,Cook County (17031; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Avon,IN,Midwest,Hendricks County (18063; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Cedar Lake,IN,Midwest,Lake County (18089; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Columbia City,IN,Midwest,Whitley County (18183; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Crawfordsville,IN,Midwest,Montgomery County (18107; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Cumberland,IN,Midwest,Hancock County (18059; primary); Marion County (18097),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Danville,IN,Midwest,Hendricks County (18063; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Dyer,IN,Midwest,Lake County (18089; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Edinburgh,IN,Midwest,Johnson County (18081; primary); Bartholomew County (18005); Shelby County (18145),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Garrett,IN,Midwest,DeKalb County (18033; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Greensburg,IN,Midwest,Decatur County (18031; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Hobart,IN,Midwest,Lake County (18089; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Huntertown,IN,Midwest,Allen County (18003; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Lebanon,IN,Midwest,Boone County (18011; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mooresville,IN,Midwest,Morgan County (18109; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mount Vernon,IN,Midwest,Posey County (18129; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
New Castle,IN,Midwest,Henry County (18065; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Rensselaer,IN,Midwest,Jasper County (18073; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
St. John,IN,Midwest,Lake County (18089; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Tell City,IN,Midwest,Perry County (18123; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Tipton,IN,Midwest,Tipton County (18159; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Yorktown,IN,Midwest,Delaware County (18035; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Abilene,KS,Midwest,Dickinson County (20041; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Beloit,KS,Midwest,Mitchell County (20123; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Bonner Springs,KS,Midwest,Wyandotte County (20209; primary); Johnson County (20091); Leavenworth County (20103),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Cherryvale,KS,Midwest,Montgomery County (20125; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Clay Center,KS,Midwest,Clay County (20027; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Columbus,KS,Midwest,Cherokee County (20021; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Fredonia,KS,Midwest,Wilson County (20205; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Girard,KS,Midwest,Crawford County (20037; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Goodland,KS,Midwest,Sherman County (20181; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Hiawatha,KS,Midwest,Brown County (20013; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Hoisington,KS,Midwest,Barton County (20009; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Lansing,KS,Midwest,Leavenworth County (20103; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Louisburg,KS,Midwest,Miami County (20121; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Lyons,KS,Midwest,Rice County (20159; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mission Hills,KS,Midwest,Johnson County (20091; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Park City,KS,Midwest,Sedgwick County (20173; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Phillipsburg,KS,Midwest,Phillips County (20147; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Spring Hill,KS,Midwest,Johnson County (20091; primary); Miami County (20121),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
St. Marys,KS,Midwest,Pottawatomie County (20149; primary); Wabaunsee County (20197),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Ulysses,KS,Midwest,Grant County (20067; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Wamego,KS,Midwest,Pottawatomie County (20149; primary); Wabaunsee County (20197),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Wellington,KS,Midwest,Sumner County (20191; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Alma,MI,Midwest,Gratiot County (26057; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Alpena,MI,Midwest,Alpena County (26007; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Clare,MI,Midwest,Clare County (26035; primary); Isabella County (26073),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Clawson,MI,Midwest,Oakland County (26125; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
DeWitt,MI,Midwest,Clinton County (26037; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Dowagiac,MI,Midwest,Cass County (26027; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Flushing,MI,Midwest,Genesee County (26049; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Frankenmuth,MI,Midwest,Saginaw County (26145; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Grand Blanc,MI,Midwest,Genesee County (26049; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Grosse Pointe Farms,MI,Midwest,Wayne County (26163; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Houghton,MI,Midwest,Houghton County (26061; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Huntington Woods,MI,Midwest,Oakland County (26125; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Ironwood,MI,Midwest,Gogebic County (26053; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Kingsford,MI,Midwest,Dickinson County (26043; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Ludington,MI,Midwest,Mason County (26105; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Manistee,MI,Midwest,Manistee County (26101; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Muskegon Heights,MI,Midwest,Muskegon County (26121; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Plymouth,MI,Midwest,Wayne County (26163; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Richmond,MI,Midwest,Macomb County (26099; primary); St. Clair County (26147),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Riverview,MI,Midwest,Wayne County (26163; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Saline,MI,Midwest,Washtenaw County (26161; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Sturgis,MI,Midwest,St. Joseph County (26149; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Albertville,MN,Midwest,Wright County (27171; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Baxter,MN,Midwest,Crow Wing County (27035; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Belle Plaine,MN,Midwest,Scott County (27139; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Carver,MN,Midwest,Carver County (27019; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Chatfield,MN,Midwest,Fillmore County (27045; primary); Olmsted County (27109),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Dilworth,MN,Midwest,Clay County (27027; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Glencoe,MN,Midwest,McLeod County (27085; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Jordan,MN,Midwest,Scott County (27139; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Little Canada,MN,Midwest,Ramsey County (27123; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Luverne,MN,Midwest,Rock County (27133; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mendota Heights,MN,Midwest,Dakota County (27037; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
New Prague,MN,Midwest,Scott County (27139; primary); Le Sueur County (27079),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Park Rapids,MN,Midwest,Hubbard County (27057; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Rockford,MN,Midwest,Wright County (27171; primary); Hennepin County (27053),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Sauk Centre,MN,Midwest,Stearns County (27145; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
St. Anthony,MN,Midwest,Hennepin County (27053; primary); Ramsey County (27123),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
St. Charles,MN,Midwest,Winona County (27169; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
St. Joseph,MN,Midwest,Stearns County (27145; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
St. Paul Park,MN,Midwest,Washington County (27163; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Victoria,MN,Midwest,Carver County (27019; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Waite Park,MN,Midwest,Stearns County (27145; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Berkeley,MO,Midwest,St. Louis County (29189; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Caruthersville,MO,Midwest,Pemiscot County (29155; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
